,https://roic.ai/company/AIT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,7100000,7700000,8300000,8800000,8200000,11100000,12600000,12800000,13600000,14000000,15400000,13600000,21000000,22700000,22988000,22509000,17548000,15205000,16252000,16471000,12337000,13743000,14044000,22391000,21616000,22616000,22701000,25734000,28000000,42375000,41546000,39677000,49863000,62119000,62749000,55145000
15,EBITDA,10500000,18900000,31200000,38200000,28500000,18600000,10700000,28100000,35300000,43700000,56200000,58700000,70800000,55300000,73536000,67857000,29203000,46137000,62723000,102810000,125436000,147573000,165759000,93728000,132371000,177585000,189984000,204020000,195162000,226367000,129528000,215474000,278723000,297388000,155249000,263014000
16,EBITDA ratio,0.0214,0.0385,0.0575,0.0606,0.0438,0.0229,0.0131,0.0338,0.0377,0.0414,0.0491,0.0506,0.0475,0.0362,0.0468,0.0417,0.0202,0.0315,0.0413,0.0599,0.0660,0.0733,0.0793,0.0487,0.0699,0.0803,0.0800,0.0829,0.0793,0.0823,0.0514,0.0831,0.0907,0.0856,0.0478,0.0813
17,Operating Income,20000000,13900000,25000000,33400000,29200000,17100000,4600000,20400000,27900000,36900000,49200000,50700000,58500000,42400000,57717000,55001000,30834000,36254000,51448000,87968000,115592000,135011000,152824000,72493000,110050000,150763000,168395000,176399000,164358000,184619000,88801000,174590000,225827000,233788000,88989000,205454000
18,Operating Income ratio,0.0408,0.0283,0.0460,0.0530,0.0448,0.0210,0.0056,0.0245,0.0298,0.0350,0.0430,0.0437,0.0392,0.0278,0.0367,0.0338,0.0213,0.0248,0.0339,0.0512,0.0608,0.0670,0.0731,0.0377,0.0581,0.0681,0.0709,0.0716,0.0668,0.0671,0.0352,0.0673,0.0735,0.0673,0.0274,0.0635
19,Total Other Income Expenses (Gains),-16600000,-2700000,-2100000,-4000000,-8900000,-9600000,-6500000,-5100000,-6200000,-7200000,-8400000,-5600000,-8700000,-9800000,-7169000,-9653000,-7079000,-5322000,-4977000,-1629000,-2493000,-1181000,-1109000,-6679000,-5033000,2125000,-1569000,1266000,1904000,-8748000,-9823000,-7624000,-21109000,-39307000,-33753000,-28392000
20,Income Before Tax,3400000,11200000,22900000,29400000,20300000,7500000,-1900000,15300000,21700000,29700000,40800000,45100000,49800000,32600000,50548000,45348000,23755000,30932000,46471000,86339000,113099000,133830000,151715000,65814000,105017000,152888000,166826000,177665000,166262000,175871000,78978000,166966000,204718000,194481000,55236000,177062000
21,Income Before Tax Ratio,0.0069,0.0228,0.0422,0.0466,0.0312,0.0092,-0.0023,0.0184,0.0232,0.0282,0.0357,0.0389,0.0334,0.0213,0.0322,0.0279,0.0164,0.0211,0.0306,0.0503,0.0595,0.0664,0.0726,0.0342,0.0555,0.0691,0.0702,0.0722,0.0676,0.0639,0.0313,0.0644,0.0666,0.0560,0.0170,0.0547
22,Income Tax expense (Gain),1200000,5000000,8000000,11100000,8100000,3200000,-200000,6400000,9000000,12800000,17500000,18000000,19700000,12700000,19500000,17300000,9000000,11100000,15000000,31000000,40800000,47808000,56259000,23554000,39114000,56129000,58047000,59516000,53441000,60387000,49401000,33056000,63093000,50488000,31194000,32305000
23,Net Income,2200000,6200000,14900000,18300000,12200000,4300000,-1700000,8900000,12700000,16900000,23300000,27100000,30100000,19900000,31048000,28048000,2655000,19832000,31471000,55339000,72299000,86022000,95456000,42260000,65903000,96759000,108779000,118149000,112821000,115484000,29577000,133910000,141625000,143993000,24042000,144757000
24,Net Income ratio,0.0045,0.0126,0.0274,0.0290,0.0187,0.0053,-0.0021,0.0107,0.0136,0.0160,0.0204,0.0234,0.0202,0.0130,0.0198,0.0173,0.0018,0.0135,0.0207,0.0322,0.0380,0.0427,0.0457,0.0220,0.0348,0.0437,0.0458,0.0480,0.0459,0.0420,0.0117,0.0516,0.0461,0.0415,0.0074,0.0447
25,EPS,0.00,0.01,0.05,0.10,0.07,0.02,-0.01,0.05,0.07,0.43,0.56,0.65,0.62,0.41,0.68,0.64,0.06,0.47,0.73,1.25,1.62,1.97,2.23,1.00,1.56,2.28,2.58,2.81,2.69,2.82,0.75,3.43,3.65,3.72,0.62,3.73
26,EPS Diluted,0.00,0.01,0.05,0.10,0.07,0.02,-0.01,0.05,0.07,0.43,0.56,0.65,0.61,0.41,0.67,0.63,0.06,0.46,0.71,1.20,1.57,1.93,2.19,0.99,1.54,2.24,2.54,2.78,2.67,2.80,0.75,3.40,3.61,3.68,0.62,3.68
27,Weighted Average Shares Outstanding,45582156,42077912,39061429,37312678,35966274,35653837,35894346,36977763,38115010,38889205,41388158,41763699,48375000,48145161,45959211,44131469,42669643,42497143,43176677,44389572,44629012,43665990,42797000,42287000,42312000,42433000,42139000,42060000,41942000,40892000,39254000,39013000,38752000,38670000,38658000,38758000
28,Weighted Average Shares Outstanding Diluted,45582156,42077912,39061429,37312678,35966274,35653837,35894346,36977763,38115010,38889205,41388158,41763699,49076087,48145161,46572000,44757447,45951923,43322330,44256094,46115833,46050318,44570984,43552000,42794000,42917000,43254000,42823000,42542000,42331000,41187000,39466000,39404000,39281000,39160000,38999000,39296000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109563/000095015294000978/0000950152-94-000978-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/109563/000095015297006816/0000950152-97-006816-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109563/000095015201504565/0000950152-01-504565-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095015202007147/0000950152-02-007147-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095015203008299/0000950152-03-008299-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095015204006757/0000950152-04-006757-index.html,- -,https://www.sec.gov/Archives/edgar/data/109563/000095015206007266/0000950152-06-007266-index.htm,https://www.sec.gov/Archives/edgar/data/109563/000095015207007127/0000950152-07-007127-index.html,https://www.sec.gov/Archives/edgar/data/109563/000136231008004784/0001362310-08-004784-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095012309036454/0000950123-09-036454-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095012310077196/0000950123-10-077196-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095012311078219/0000950123-11-078219-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956312000038/0000109563-12-000038-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956313000029/0000109563-13-000029-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956314000034/0000109563-14-000034-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956315000129/0000109563-15-000129-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956316000283/ait-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/109563/000010956317000128/0000109563-17-000128-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956318000111/0000109563-18-000111-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956319000095/0000109563-19-000095-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956320000083/0000109563-20-000083-index.htm,https://www.sec.gov/Archives/edgar/data/109563/000010956321000082/0000109563-21-000082-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11000000,22100000,2300000,7100000,5700000,8400000,9300000,4600000,10900000,4800000,9200000,22400000,9300000,19200000,12349000,13981000,23060000,55079000,69667000,127136000,106428000,119665000,101830000,27642000,175777000,91092000,78442000,73164000,71189000,69470000,59861000,105057000,54150000,108219000,268551000,257745000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11000000,22100000,2300000,7100000,5700000,8400000,9300000,4600000,10900000,4800000,9200000,22400000,9300000,19200000,12349000,13981000,23060000,55079000,69667000,127136000,106428000,119665000,101830000,27642000,175777000,91092000,78442000,73164000,71189000,69470000,59861000,105057000,54150000,108219000,268551000,257745000
34,Net Receivables,60300000,62700000,70400000,79100000,128800000,104200000,110000000,113000000,129800000,145700000,155500000,153100000,206300000,195700000,212254000,190935000,180904000,173915000,190815000,202226000,231524000,248698000,245119000,198792000,246402000,290751000,307043000,329880000,375732000,376305000,347857000,390931000,548811000,540902000,449998000,516322000
35,Inventory,93600000,81500000,92500000,96700000,155400000,111200000,101700000,95000000,106200000,112600000,127900000,103100000,192000000,169700000,182102000,191570000,166083000,159798000,159594000,175533000,190537000,199886000,210723000,254690000,173253000,204066000,228506000,281417000,335747000,362419000,338221000,345145000,422069000,447555000,389150000,362547000
36,Other Current Assets,12600000,2300000,2100000,4500000,10500000,11400000,12900000,8600000,2300000,2300000,2500000,6900000,7300000,4600000,8286000,9974000,11011000,11702000,22957000,22606000,29955000,32284000,48525000,44470000,23428000,33005000,51771000,52819000,53480000,51111000,35687000,41409000,32990000,51462000,52070000,59961000
37,Total Current Assets,177500000,168600000,167300000,187400000,300400000,235200000,233900000,221200000,249200000,265400000,295100000,285500000,414900000,389200000,414991000,406460000,381058000,400494000,443033000,527501000,558444000,600533000,606197000,525594000,618860000,618914000,665762000,737280000,836148000,859305000,781626000,882542000,1058020000,1148138000,1159769000,1196575000
38,PP&E,52200000,51500000,50000000,58400000,70400000,78100000,82600000,80100000,80100000,79300000,86300000,90800000,113100000,107200000,97200000,90263000,83095000,77942000,77025000,71441000,70794000,67788000,64997000,62735000,58471000,69014000,83103000,83243000,103596000,104447000,107765000,108068000,121343000,124303000,212537000,202700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57222000,57550000,64685000,63108000,63405000,76981000,83080000,106849000,193494000,254406000,202700000,206135000,646643000,661991000,540594000,560077000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53200000,62400000,67089000,65113000,46410000,49687000,49852000,51083000,- -,- -,19164000,95832000,85916000,89551000,84840000,91267000,159508000,198828000,191240000,163562000,435947000,368866000,343215000,279628000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53200000,62400000,67089000,65113000,46410000,49687000,49852000,51083000,57222000,57550000,83849000,158940000,149321000,166532000,167920000,198116000,353002000,453234000,393940000,369697000,1082590000,1030857000,883809000,839705000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48493000,43447000,26424000,21026000,21166000,97000,12277000,8985000,- -,- -,- -,- -
44,Other Non-Current Assets,2200000,3100000,5700000,5600000,9400000,14600000,14100000,14600000,14200000,14500000,22700000,17800000,24900000,15500000,15387000,17018000,24003000,25281000,26931000,40145000,44211000,51498000,43728000,62059000,16375000,17024000,18974000,19041000,20257000,17885000,16921000,18303000,23788000,28399000,27436000,32827000
45,Total Non-Current Assets,54400000,54600000,55700000,64000000,79800000,92700000,96700000,94700000,94300000,93800000,109000000,108600000,191200000,185100000,179676000,172394000,153508000,152910000,153808000,162669000,172227000,176836000,192574000,283734000,272660000,296017000,296421000,321426000,498021000,575663000,530903000,505053000,1227721000,1183559000,1123782000,1075232000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,231900000,223200000,223000000,251400000,380200000,327900000,330600000,315900000,343500000,359200000,404100000,394100000,606100000,574300000,594667000,578854000,534566000,553404000,596841000,690170000,730671000,777369000,798771000,809328000,891520000,914931000,962183000,1058706000,1334169000,1434968000,1312529000,1387595000,2285741000,2331697000,2283551000,2271807000
48,Accounts Payable,- -,- -,- -,42000000,67300000,46400000,57800000,42600000,50900000,53700000,67700000,49500000,79100000,78800000,93587000,75896000,76316000,75411000,78767000,99047000,109440000,97166000,109822000,80655000,94529000,108509000,120890000,136575000,172401000,179825000,148543000,180614000,256886000,237289000,186270000,208162000
49,Short-Term Debt,- -,- -,32400000,51400000,143100000,114100000,110000000,22700000,19800000,24300000,41500000,36800000,62400000,- -,- -,- -,- -,- -,- -,- -,- -,50395000,- -,5000000,75000000,- -,- -,- -,2720000,3349000,3352000,4814000,19183000,49036000,78646000,43525000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,48200000,47500000,57300000,18900000,25900000,20000000,24200000,25100000,33900000,33800000,34000000,34400000,51600000,53300000,66272000,51563000,54098000,65724000,72562000,82648000,78991000,87449000,87189000,70901000,101803000,106179000,109279000,109325000,115834000,126898000,122493000,124325000,156482000,137469000,161167000,176013000
53,Total Current Liabilities,48200000,47500000,89700000,112300000,236300000,180500000,192000000,90400000,104600000,111800000,143200000,120700000,193100000,132100000,159859000,127459000,130414000,141135000,151329000,181695000,188431000,235010000,197011000,156556000,271332000,214688000,230169000,245900000,290955000,310072000,274388000,309753000,432551000,423794000,426083000,427700000
54,Long-Term Debt,44800000,44800000,- -,- -,- -,- -,- -,80000000,80000000,74300000,62900000,51400000,90000000,126000000,112168000,113494000,83478000,78558000,77767000,76977000,76186000,25000000,25000000,75000000,- -,- -,- -,- -,167992000,317646000,324982000,286769000,944522000,908850000,855143000,784855000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5000000,5500000,4300000,4300000,4300000,4800000,5500000,5700000,3400000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,100000,- -,4300000,8400000,4300000,4900000,5000000,6800000,8700000,14400000,28500000,22600000,23309000,26383000,22527000,25855000,28210000,38211000,51232000,66376000,74685000,69670000,65149000,66680000,59883000,53191000,74914000,65922000,55243000,45817000,93705000,102019000,158783000,126706000
58,Total Non-Current Liabilities,49800000,50300000,4400000,4300000,8600000,13200000,9800000,90600000,88400000,82000000,71600000,65800000,118500000,148600000,135477000,139877000,106005000,104413000,105977000,115188000,127418000,91376000,99685000,144670000,65149000,66680000,59883000,53191000,242906000,383568000,380225000,332586000,1038227000,1010869000,1013926000,911561000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,98000000,97800000,94100000,116600000,244900000,193700000,201800000,181000000,193000000,193800000,214800000,186500000,311600000,280700000,295336000,267336000,236419000,245548000,257306000,296883000,315849000,326386000,296696000,301226000,336481000,281368000,290052000,299091000,533861000,693640000,654613000,642339000,1470778000,1434663000,1440009000,1339261000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,10000000,10000000,10000000,10000000,10000000,10000000,- -,- -,- -,10000000,- -,- -,- -,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
64,Retained Earnings,123100000,125400000,136500000,150600000,158200000,157900000,151500000,155900000,165800000,177400000,197200000,216600000,236100000,246000000,267145000,285661000,279046000,289724000,311922000,354521000,408847000,473899000,543692000,560574000,601370000,668421000,743360000,824362000,896776000,969548000,944821000,1033751000,1129678000,1229148000,1200570000,1294413000
65,Other Comprehensive Income/Loss,-27800000,-32700000,-37100000,-43100000,-46200000,-51100000,-54500000,-49700000,-53300000,-58800000,-63600000,-68800000,-63100000,-70400000,-75300000,-75176000,-81229000,1940000,-37000,-1814000,4796000,-682000,6249000,-7849000,-6048000,5059000,-4569000,-3421000,-1615000,-60171000,-85546000,-81702000,-90223000,-99886000,-129430000,-93092000
66,Other Total Stockholders Equity,38600000,32700000,29500000,27300000,23300000,27400000,31800000,28700000,38000000,46800000,55700000,59800000,121500000,108000000,97486000,91033000,90330000,6192000,17650000,30580000,975000,- -,- -,-54623000,- -,- -,- -,-71326000,-104853000,-178049000,-211359000,-216793000,-234492000,-242228000,-237598000,-278775000
67,Total Stockholders Equity,133900000,125400000,128900000,134800000,135300000,134200000,128800000,134900000,150500000,165400000,189300000,207600000,294500000,293600000,299331000,311518000,298147000,307856000,339535000,393287000,414822000,450983000,502075000,508102000,555039000,633563000,672131000,759615000,800308000,741328000,657916000,745256000,814963000,897034000,843542000,932546000
68,Total Liabilities And Stockholders Equity,231900000,223200000,223000000,251400000,380200000,327900000,330600000,315900000,343500000,359200000,404100000,394100000,606100000,574300000,594667000,578854000,534566000,553404000,596841000,690170000,730671000,777369000,798771000,809328000,891520000,914931000,962183000,1058706000,1334169000,1434968000,1312529000,1387595000,2285741000,2331697000,2283551000,2271807000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,231900000,223200000,223000000,251400000,380200000,327900000,330600000,315900000,343500000,359200000,404100000,394100000,606100000,574300000,594667000,578854000,534566000,553404000,596841000,690170000,730671000,777369000,798771000,809328000,891520000,914931000,962183000,1058706000,1334169000,1434968000,1312529000,1387595000,2285741000,2331697000,2283551000,2271807000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109563/000095015294000978/0000950152-94-000978-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/109563/000095015297006816/0000950152-97-006816-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109563/000095015201504565/0000950152-01-504565-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095015202007147/0000950152-02-007147-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095015203008299/0000950152-03-008299-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095015204006757/0000950152-04-006757-index.html,- -,https://www.sec.gov/Archives/edgar/data/109563/000095015206007266/0000950152-06-007266-index.htm,https://www.sec.gov/Archives/edgar/data/109563/000095015207007127/0000950152-07-007127-index.html,https://www.sec.gov/Archives/edgar/data/109563/000136231008004784/0001362310-08-004784-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095012309036454/0000950123-09-036454-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095012310077196/0000950123-10-077196-index.html,https://www.sec.gov/Archives/edgar/data/109563/000095012311078219/0000950123-11-078219-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956312000038/0000109563-12-000038-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956313000029/0000109563-13-000029-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956314000034/0000109563-14-000034-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956315000129/0000109563-15-000129-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956316000283/ait-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/109563/000010956317000128/0000109563-17-000128-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956318000111/0000109563-18-000111-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956319000095/0000109563-19-000095-index.html,https://www.sec.gov/Archives/edgar/data/109563/000010956320000083/0000109563-20-000083-index.htm,https://www.sec.gov/Archives/edgar/data/109563/000010956321000082/0000109563-21-000082-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,18300000,12200000,4300000,-1700000,8900000,12700000,16900000,23300000,27100000,30100000,19900000,31048000,28048000,2655000,19832000,31471000,55339000,72299000,86022000,95456000,42260000,65903000,96759000,108779000,118149000,112821000,115484000,29577000,133910000,141625000,143993000,24042000,144757000
74,Depreciation and Amortization,- -,- -,- -,8800000,8200000,11100000,12600000,12800000,13600000,14000000,15400000,13600000,21000000,22700000,22988000,22509000,17548000,15205000,16252000,16471000,12337000,13743000,14044000,22391000,21616000,22616000,22701000,25734000,28000000,42375000,41546000,39677000,49863000,62119000,62749000,55145000
75,Deferred Income Tax,- -,- -,- -,-1300000,-2400000,300000,-1500000,3500000,2400000,-3300000,-1400000,1900000,5100000,-2900000,-2886000,-1800000,-5000000,-2700000,-5700000,-3900000,1000000,-6424000,-5809000,-16648000,2408000,4784000,8641000,10179000,-8209000,-4961000,-6581000,-2852000,1615000,2368000,-13292000,-31080000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4092000,2361000,3379000,4592000,3444000,2703000,2851000,2524000,3629000,4666000,4474000,4000000,6454000
77,Change in Working Capital,- -,- -,- -,-10100000,-11000000,-9400000,-12800000,88900000,13800000,9000000,-1700000,12900000,57000000,35300000,-1968000,23869000,-28357000,8715000,32345000,54102000,24207000,-4490000,43663000,-40148000,-21510000,56698000,31367000,55787000,53813000,4040000,-41995000,65551000,52680000,98875000,9342000,35189000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63929000,-48578000,-36271000,-22748000,-15721000,-29089000,13129000,26414000,-42267000,-83103000,8465000,74437000,-59119000
79,Inventory,- -,- -,- -,-4200000,-1100000,44700000,9500000,6700000,-2000000,-5100000,-12900000,18900000,-34500000,25400000,1138000,-8522000,27020000,10436000,4795000,-10360000,2103000,-7934000,-1484000,-20581000,83497000,-21197000,-28511000,-26745000,-29171000,-15704000,25081000,-3624000,-33436000,-16590000,57028000,41318000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38124000,13566000,12926000,14157000,12206000,21369000,1040000,-28644000,32076000,50345000,-29788000,-53856000,10919000
