,https://roic.ai/company/RTX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0706,0.0064,0.0601,0.0622,0.0614,0.0565,-0.0445,0.0051,0.0397,0.0466,0.0537,0.0614,0.0672,0.0731,0.0489,0.1015,0.1006,0.1161,0.1118,0.1097,0.1096,0.1148,0.1166,0.1182,0.1088,0.1203,0.1307,0.1198,0.1327,0.1365,0.1153,0.1246,0.1297,0.1245,0.1070,-0.0416,0.0766
22,Income Tax expense (Gain),422300000,51400000,440500000,460100000,497800000,479100000,75000000,77000000,336000000,384000000,464000000,523000000,573000000,623000000,325000000,853000000,755000000,887000000,941000000,1085000000,1253000000,1494000000,1836000000,1883000000,1581000000,1827000000,2231000000,1711000000,2238000000,2264000000,2111000000,1697000000,2843000000,2626000000,2295000000,575000000,786000000
23,Net Income,312700000,72700000,591700000,659100000,702100000,750600000,-1021000000,-287000000,487000000,585000000,750000000,906000000,1072000000,1255000000,1531000000,1808000000,1938000000,2236000000,2361000000,2788000000,3069000000,3732000000,4224000000,4689000000,3829000000,4373000000,4979000000,5130000000,5721000000,6220000000,7608000000,5055000000,4552000000,5269000000,5537000000,-3519000000,3864000000
24,Net Income ratio,0.0209,0.0046,0.0345,0.0366,0.0359,0.0345,-0.0480,-0.0130,0.0235,0.0281,0.0332,0.0389,0.0438,0.0489,0.0642,0.0690,0.0695,0.0793,0.0761,0.0745,0.0718,0.0780,0.0771,0.0799,0.0724,0.0805,0.0856,0.0889,0.0914,0.0955,0.1356,0.0883,0.0761,0.0792,0.0719,-0.0622,0.0600
25,EPS,0.03,0.00,0.07,0.08,0.08,0.09,-0.14,-0.04,0.06,0.55,0.71,0.86,1.11,1.34,1.61,1.89,2.03,2.33,2.46,5.62,3.10,3.81,4.38,5.00,4.17,4.82,5.58,5.73,6.35,6.92,8.72,6.18,5.76,6.58,6.48,-2.59,2.78
26,EPS Diluted,0.03,0.00,0.07,0.08,0.08,0.09,-0.14,-0.04,0.05,0.55,0.71,0.86,1.05,1.26,1.50,1.77,1.92,2.21,2.35,5.52,3.03,3.71,4.27,4.90,4.12,4.74,5.49,5.66,6.25,6.82,8.62,6.12,5.70,6.50,6.41,-2.59,2.76
27,Weighted Average Shares Outstanding,983160000,1043592000,1043304000,1046112000,968736000,969248000,975184000,990200000,8063808000,1005454545,1023157895,1050434783,965765766,936567164,930434783,939682540,940400000,944800000,947600000,980000000,991000000,980000000,964000000,938000000,917000000,908000000,892000000,895287958,901000000,898000000,873000000,818000000,790000000,800000000,855000000,1357800000,1490500000
28,Weighted Average Shares Outstanding Diluted,983160000,1043592000,1043304000,1046112000,968736000,969248000,975184000,990200000,8935296000,1005454545,1023157895,1050434783,1018527316,994059406,995348837,1000563380,1010800000,1011200000,1005800000,1006000000,1014000000,1006000000,989000000,956000000,929000000,923000000,907000000,906360424,915000000,912000000,883000000,826000000,799000000,810000000,864000000,1357800000,1500200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101829/000010182902000006/0000101829-02-000006-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182903000069/0000101829-03-000069-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312504015495/0001193125-04-015495-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312505025271/0001193125-05-025271-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312506024473/0001193125-06-024473-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312507024306/0001193125-07-024306-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312508022346/0001193125-08-022346-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312509024624/0001193125-09-024624-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312510027861/0001193125-10-027861-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312511029695/0001193125-11-029695-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312512047752/0001193125-12-047752-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312513042195/0001193125-13-042195-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182914000006/0000101829-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182915000005/0000101829-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182916000050/0000101829-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182917000007/0000101829-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182918000005/0000101829-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182919000007/0000101829-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182920000013/0000101829-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182921000008/0000101829-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182922000005/0000101829-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1558000000,2080000000,1623000000,2265000000,2247000000,2546000000,2904000000,4327000000,4449000000,4083000000,5960000000,4819000000,4619000000,5235000000,7075000000,7157000000,8985000000,6152000000,7378000000,8802000000,7832000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1558000000,2080000000,1623000000,2265000000,2247000000,2546000000,2904000000,4327000000,4449000000,4083000000,5960000000,4819000000,4619000000,5235000000,7075000000,7157000000,8985000000,6152000000,7378000000,8802000000,7832000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4093000000,4277000000,5187000000,6315000000,7240000000,7679000000,8844000000,9112000000,8469000000,8925000000,9546000000,12710000000,13422000000,13248000000,10653000000,11481000000,12595000000,17757000000,17708000000,19185000000,21022000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3973000000,3719000000,3794000000,5006000000,5659000000,6657000000,8101000000,8340000000,7509000000,7766000000,7797000000,9537000000,10330000000,9865000000,8135000000,8704000000,9881000000,10083000000,10950000000,9411000000,9178000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1639000000,1675000000,1760000000,1936000000,2060000000,1962000000,2222000000,2320000000,2767000000,2736000000,2455000000,2544000000,1071000000,1410000000,843000000,1208000000,1397000000,1511000000,1461000000,5978000000,4018000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11263000000,11751000000,12364000000,15522000000,17206000000,18844000000,22071000000,24099000000,23194000000,23510000000,25758000000,29610000000,29442000000,29758000000,26706000000,28550000000,32858000000,35503000000,37497000000,43376000000,42050000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4549000000,4587000000,5080000000,5231000000,5623000000,5725000000,6296000000,6348000000,6364000000,6280000000,6201000000,8518000000,8866000000,9276000000,8732000000,9158000000,10186000000,12297000000,15354000000,16842000000,16930000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6802000000,6981000000,9329000000,10111000000,13007000000,14146000000,16120000000,15363000000,16298000000,17721000000,17943000000,27801000000,28168000000,27796000000,27301000000,27059000000,27910000000,48112000000,48063000000,54285000000,54436000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2016000000,3059000000,3216000000,3757000000,3443000000,3538000000,4060000000,3918000000,15189000000,15521000000,15560000000,15603000000,15684000000,15883000000,26424000000,26046000000,40539000000,38516000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6802000000,6981000000,9329000000,12127000000,16066000000,17362000000,19877000000,18806000000,19836000000,21781000000,21861000000,42990000000,43689000000,43356000000,42904000000,42743000000,43793000000,74536000000,74109000000,94824000000,92952000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150000000,1156000000,978000000,1018000000,1398000000,2372000000,3023000000,3477000000,3144000000,2848000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1205000000,1658000000,1283000000,1124000000,719000000,1690000000,1126000000,3633000000,2102000000,1970000000,2387000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3150000000,4113000000,6592000000,6031000000,6311000000,3520000000,5205000000,3583000000,4266000000,4952000000,5245000000,7141000000,7441000000,7921000000,8124000000,7857000000,7711000000,8852000000,9279000000,3967000000,6624000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15706000000,17339000000,22284000000,24513000000,28719000000,28297000000,32504000000,32370000000,32568000000,34983000000,35694000000,59799000000,61152000000,61531000000,60778000000,61156000000,64062000000,98708000000,102219000000,118777000000,119354000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26969000000,29090000000,34648000000,40035000000,45925000000,47141000000,54575000000,56469000000,55762000000,58493000000,61452000000,89409000000,90594000000,91289000000,87484000000,89706000000,96920000000,134211000000,139716000000,162153000000,161404000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2156000000,2095000000,2867000000,3490000000,3820000000,4263000000,5059000000,5226000000,4634000000,5206000000,5570000000,6431000000,6965000000,6967000000,6875000000,7483000000,9579000000,11080000000,10809000000,8639000000,8751000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,722000000,241000000,1044000000,1360000000,2305000000,894000000,1133000000,2139000000,1487000000,279000000,759000000,1624000000,500000000,1922000000,1105000000,2204000000,2496000000,4345000000,5860000000,797000000,158000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5936000000,6444000000,5262000000,3952000000,4217000000,4547000000,5720000000,6180000000,12889000000,13720000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5493000000,5567000000,6384000000,8097000000,9220000000,10051000000,11277000000,12069000000,11792000000,12247000000,12287000000,9795000000,8891000000,8744000000,10686000000,8002000000,7769000000,10223000000,11737000000,13523000000,12820000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8371000000,7903000000,10295000000,12947000000,15345000000,15208000000,17469000000,19434000000,17913000000,17732000000,18616000000,23786000000,22800000000,22895000000,22618000000,21906000000,24391000000,31368000000,34586000000,35848000000,35449000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4237000000,4632000000,4257000000,4231000000,5935000000,7037000000,8015000000,9337000000,8257000000,10010000000,9501000000,21597000000,19741000000,17872000000,19320000000,21697000000,24989000000,41192000000,37788000000,32542000000,32984000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5732000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5442000000,7611000000,7680000000,7939000000,6876000000,6763000000,6824000000,10772000000,8593000000,8102000000,10157000000,16957000000,14834000000,17958000000,16702000000,16934000000,16119000000,21041000000,17379000000,19911000000,18272000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9679000000,12243000000,11937000000,12170000000,12811000000,13800000000,14839000000,20109000000,16850000000,18112000000,19658000000,38554000000,34575000000,35830000000,36022000000,38631000000,41108000000,62233000000,60899000000,52453000000,51256000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2688000000,1516000000,1657000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18050000000,20146000000,22232000000,25117000000,28156000000,29008000000,32308000000,39543000000,34763000000,35844000000,38274000000,62340000000,57375000000,58725000000,58640000000,60537000000,65499000000,93601000000,95485000000,88301000000,86705000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5090000000,5447000000,6587000000,7159000000,8793000000,9622000000,10572000000,11179000000,11746000000,12597000000,13445000000,13976000000,14764000000,15300000000,16033000000,17285000000,17574000000,22514000000,23019000000,36930000000,37445000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9149000000,10836000000,12527000000,14569000000,16051000000,18754000000,21751000000,25159000000,27396000000,30191000000,33487000000,36776000000,40539000000,44611000000,49956000000,52873000000,55242000000,57823000000,61594000000,49423000000,50265000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5856000000,-6282000000,-7002000000,-7505000000,-194000000,-1439000000,584000000,-5934000000,-3487000000,-3769000000,-5490000000,-5448000000,-2880000000,-6661000000,-7619000000,-8334000000,-7525000000,-9333000000,-10149000000,-3734000000,-1915000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1646000000,-405000000,-215000000,-7659000000,-9640000000,-11552000000,-14487000000,-15589000000,-17634000000,-19562000000,-19390000000,-20557000000,-22037000000,-31012000000,-34245000000,-35681000000,-32558000000,-32690000000,-10456000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8369000000,8355000000,11707000000,14008000000,16991000000,17297000000,21355000000,15917000000,20066000000,21385000000,21880000000,25914000000,31866000000,31213000000,27358000000,27579000000,29610000000,38446000000,41774000000,72163000000,73068000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26419000000,28501000000,33939000000,39125000000,45147000000,46305000000,53663000000,55460000000,54829000000,57229000000,60154000000,88254000000,89241000000,89938000000,85998000000,88116000000,95109000000,132047000000,137259000000,160464000000,159773000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550000000,589000000,709000000,910000000,778000000,836000000,912000000,1009000000,933000000,1264000000,1298000000,1155000000,1353000000,1351000000,1486000000,1590000000,1811000000,2164000000,2457000000,1689000000,1631000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26969000000,29090000000,34648000000,40035000000,45925000000,47141000000,54575000000,56469000000,55762000000,58493000000,61452000000,89409000000,90594000000,91289000000,87484000000,89706000000,96920000000,134211000000,139716000000,162153000000,161404000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/101829/000010182902000006/0000101829-02-000006-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182903000069/0000101829-03-000069-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312504015495/0001193125-04-015495-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312505025271/0001193125-05-025271-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312506024473/0001193125-06-024473-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312507024306/0001193125-07-024306-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312508022346/0001193125-08-022346-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312509024624/0001193125-09-024624-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312510027861/0001193125-10-027861-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312511029695/0001193125-11-029695-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312512047752/0001193125-12-047752-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312513042195/0001193125-13-042195-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182914000006/0000101829-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182915000005/0000101829-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182916000050/0000101829-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182917000007/0000101829-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182918000005/0000101829-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182919000007/0000101829-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182920000013/0000101829-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182921000008/0000101829-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182922000005/0000101829-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,702100000,750600000,-1021000000,-287000000,487000000,585000000,750000000,906000000,1072000000,1255000000,1531000000,1808000000,1938000000,2236000000,2361000000,2788000000,3069000000,3732000000,4224000000,4689000000,3829000000,4373000000,4979000000,5130000000,5721000000,6220000000,7608000000,5055000000,4552000000,5269000000,5537000000,-3519000000,3864000000
