,https://roic.ai/company/CAMP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,5000000,2800000,2400000,2900000,3200000,3800000,6400000,9200000,10600000,13000000,13500000,13800000,17800000,13100000,25100000,17600000,17622000,12323000,11600000,27859000,28543000,71532000,119300000,38374000,32375000,31618000,34649000,40913000,61588000,62464000,74874000,143229000,142935000,120054000,159960000,125871000
11,COGS and Expenses,20900000,6800000,6900000,9400000,10600000,14600000,18600000,31500000,38000000,41900000,54100000,48600000,50700000,39700000,87300000,116100000,95456000,91834000,122600000,206508000,193290000,244470000,241700000,98618000,122098000,116393000,131358000,164599000,217560000,225666000,252634000,350979000,357957000,336090000,382764000,312053000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,- -,300000,-500000,-400000,- -,- -,-300000,- -,- -,- -,-1900000,1091000,940000,1445000,1261000,487000,365000,72000,7595000,9896000,10280000,16726000,20096000,15487000
14,Depreciation and Amortization,1700000,400000,400000,500000,400000,400000,600000,900000,1400000,2500000,2700000,2000000,3300000,3000000,2990000,4250000,4317000,3669000,3400000,4340000,4372000,6920000,9681000,6549000,2522000,3079000,2447000,2764000,8105000,9386000,10208000,23469000,22957000,20016000,31987000,22002000
15,EBITDA,-5100000,800000,600000,-400000,600000,-100000,2500000,5200000,3700000,6300000,10600000,3200000,-900000,1100000,290000,11950000,10088000,11664000,8800000,17268000,28801000,-21487000,-97219000,-38255000,-8763000,1069000,8987000,18699000,26381000,34258000,39315000,23898000,60535000,53810000,-6767000,-18259000
16,EBITDA ratio,-0.3493,0.1039,0.0800,-0.0440,0.0550,-0.0070,0.1214,0.1453,0.0909,0.1379,0.1721,0.0649,-0.0192,0.0296,0.0034,0.0956,0.1002,0.1166,0.0684,0.0785,0.1324,-0.0966,-0.6900,-0.3889,-0.0782,0.0093,0.0648,0.1036,0.1118,0.1367,0.1401,0.0681,0.1654,0.1479,-0.0185,-0.0592
17,Operating Income,-6300000,900000,600000,-300000,300000,-300000,2000000,4300000,2700000,3800000,7500000,700000,-3800000,-2600000,7821000,8875000,5259000,8210000,5983000,13048000,23893000,-28981000,-100818000,-44984000,-9985000,-2060000,7370000,15980000,18343000,24940000,28085000,123000,7955000,19695000,-40200000,-6825000
18,Operating Income ratio,-0.4315,0.1169,0.0800,-0.0330,0.0275,-0.0210,0.0971,0.1201,0.0663,0.0832,0.1218,0.0142,-0.0810,-0.0701,0.0914,0.0710,0.0522,0.0821,0.0465,0.0593,0.1099,-0.1303,-0.7155,-0.4573,-0.0891,-0.0180,0.0531,0.0885,0.0778,0.0995,0.1000,0.0004,0.0217,0.0541,-0.1098,-0.0221
19,Total Other Income Expenses (Gains),-500000,-500000,-400000,- -,100000,100000,-100000,- -,-400000,- -,100000,300000,-400000,400000,-10021000,-775000,-1078000,-215000,-283000,-120000,536000,574000,-2482000,-911000,-2240000,-1395000,-2091000,-532000,-432000,-140000,-5744000,-8306000,20754000,4160000,-18120000,-13771000
20,Income Before Tax,-6800000,400000,200000,- -,- -,- -,1900000,4300000,2300000,3800000,7600000,1000000,-4200000,-2200000,-2200000,8100000,4181000,7995000,5700000,12928000,24429000,-28407000,-103300000,-45895000,-12225000,-3455000,5279000,15448000,17911000,24800000,22341000,-8183000,28709000,23855000,-58320000,-20596000
21,Income Before Tax Ratio,-0.4658,0.0519,0.0267,- -,- -,- -,0.0922,0.1201,0.0565,0.0832,0.1234,0.0203,-0.0896,-0.0593,-0.0257,0.0648,0.0415,0.0799,0.0443,0.0588,0.1123,-0.1278,-0.7331,-0.4666,-0.1090,-0.0302,0.0381,0.0855,0.0759,0.0990,0.0796,-0.0233,0.0785,0.0656,-0.1593,-0.0667
22,Income Tax expense (Gain),-1100000,200000,100000,- -,- -,- -,300000,1200000,700000,1300000,2700000,400000,-1500000,-800000,-800000,2900000,1307000,2835000,- -,4852000,9867000,2781000,-20900000,3770000,-1374000,-172000,61000,-29178000,6108000,8292000,4572000,-1563000,10681000,-1330000,20454000,561000
23,Net Income,-5700000,200000,100000,-900000,200000,-500000,1600000,3100000,1600000,2500000,5000000,600000,-2700000,-1400000,-1400000,5200000,4464000,5160000,5700000,8076000,14562000,-31188000,-84100000,-49665000,-10851000,-3283000,5218000,44626000,11803000,16508000,16940000,-7904000,16617000,18398000,-79304000,-56309000
24,Net Income ratio,-0.3904,0.0260,0.0133,-0.0989,0.0183,-0.0350,0.0777,0.0866,0.0393,0.0547,0.0812,0.0122,-0.0576,-0.0377,-0.0164,0.0416,0.0443,0.0516,0.0443,0.0367,0.0670,-0.1403,-0.5969,-0.5049,-0.0968,-0.0287,0.0376,0.2471,0.0500,0.0659,0.0603,-0.0225,0.0454,0.0506,-0.2166,-0.1825
25,EPS,-0.83,0.03,0.02,-0.12,0.03,-0.06,0.16,0.30,0.14,0.22,0.41,0.05,-0.23,-0.12,-0.12,0.39,0.33,0.35,0.39,0.38,0.64,-1.34,-3.53,-2.01,-0.43,-0.12,0.19,1.54,0.34,0.46,0.46,-0.20,0.47,0.53,-2.36,-1.64
26,EPS Diluted,-0.83,0.03,0.02,-0.12,0.03,-0.06,0.16,0.30,0.14,0.22,0.41,0.05,-0.23,-0.12,-0.12,0.37,0.32,0.35,0.37,0.36,0.62,-1.34,-3.53,-2.01,-0.43,-0.12,0.18,1.49,0.33,0.45,0.46,-0.20,0.46,0.52,-2.36,-1.64
27,Weighted Average Shares Outstanding,6867470,6666667,7502000,7500000,6666667,8333333,10000000,10333333,11428571,11363636,12182000,12551000,11739130,11666667,12072000,13365000,13727000,14639000,14791000,21460000,22605000,23353000,23881000,24765000,25309000,27181000,27658000,28886000,34969000,35784000,36448000,35917000,35250000,34589000,33670000,34389000
28,Weighted Average Shares Outstanding Diluted,6867470,6666667,7502000,7500000,6666667,8333333,10000000,10333333,11428571,11363636,12182000,12551000,11739130,11666667,13147000,14217000,13979000,14870000,15390000,22193000,23415000,23353000,23881000,24765000,25309000,27181000,28458000,29982000,36023000,36530000,36950000,35917000,36139000,35294000,33670000,34389000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730255/000073025502000014/0000730255-02-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730255/000073025507000011/0000730255-07-000011-index.html,https://www.sec.gov/Archives/edgar/data/730255/000073025508000019/0000730255-08-000019-index.html,https://www.sec.gov/Archives/edgar/data/730255/000073025509000017/0000730255-09-000017-index.html,https://www.sec.gov/Archives/edgar/data/730255/000095012310045515/0000950123-10-045515-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/730255/000120677413001591/0001206774-13-001591-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677414001353/0001206774-14-001353-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677415001341/0001206774-15-001341-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677416005479/0001206774-16-005479-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677417001612/0001206774-17-001612-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459018012631/0001564590-18-012631-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459019014471/0001564590-19-014471-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459020021390/0001564590-20-021390-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459021020114/0001564590-21-020114-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,600000,200000,100000,100000,100000,500000,800000,700000,1700000,11600000,3200000,4400000,9300000,3100000,10000000,23156000,21947000,22900000,31048000,45783000,37537000,6600000,6913000,2986000,4241000,5601000,63101000,19233000,34184000,139388000,93706000,132603000,256500000,107404000,94624000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,10177000,88718000,6722000,23400000,17512000,- -,- -
33,Cash and Short-Term Investments,100000,600000,200000,100000,100000,100000,500000,800000,700000,1700000,11600000,3200000,4400000,9300000,3100000,10000000,23156000,21947000,22900000,31048000,45783000,37537000,6600000,6913000,2986000,4241000,5601000,63101000,27733000,44361000,228106000,100428000,156003000,274012000,107404000,94624000
34,Net Receivables,2000000,800000,1200000,1400000,1300000,900000,2300000,4700000,5300000,6000000,4600000,7300000,6100000,5000000,16000000,12400000,8219000,16053000,18600000,27027000,28630000,38439000,20000000,13682000,16520000,16814000,14383000,19111000,36904000,47917000,49432000,67403000,71580000,78079000,72273000,63325000
35,Inventory,1100000,800000,1600000,1500000,2600000,2000000,3900000,4400000,5600000,6000000,6700000,8200000,6900000,4000000,12900000,10400000,9472000,12862000,20300000,21465000,18279000,25729000,25100000,15139000,10608000,9890000,10057000,13516000,14968000,18666000,16731000,29279000,36302000,32033000,36778000,23663000
36,Other Current Assets,1300000,100000,100000,100000,300000,200000,300000,1000000,1200000,1300000,1700000,1200000,2500000,2000000,9200000,2700000,4892000,2230000,5600000,8994000,6544000,11819000,15100000,8441000,7376000,7158000,9748000,11041000,12636000,16477000,4498000,9595000,12000000,19373000,21411000,32676000
37,Total Current Assets,4500000,2300000,3100000,3100000,4300000,3200000,7000000,10900000,12800000,15000000,24600000,19900000,19900000,20300000,41200000,35500000,45739000,53092000,67400000,88534000,99236000,113524000,66800000,44175000,37490000,38103000,39789000,106769000,92241000,127421000,298767000,206705000,275885000,403497000,237866000,214288000
38,PP&E,5500000,4800000,4500000,1000000,1000000,1000000,1400000,3500000,4800000,5500000,6200000,7400000,7100000,4500000,9700000,10200000,7375000,9322000,4400000,5383000,5438000,6308000,5100000,2139000,2055000,1877000,1761000,2778000,4771000,10525000,11225000,21162000,21262000,27023000,76504000,55354000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,3600000,- -,- -,20900000,- -,- -,90001000,28500000,- -,- -,- -,- -,1112000,15422000,15483000,16508000,72980000,72980000,80805000,106335000,94617000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3287000,20938000,- -,96862000,96690000,18643000,24400000,6473000,5144000,4012000,2738000,4603000,29131000,22596000,17010000,67223000,52456000,47165000,45895000,37488000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,3600000,3287000,20938000,20900000,96862000,96690000,108644000,52900000,6473000,5144000,4012000,2738000,5715000,44553000,38079000,33518000,140203000,125436000,127970000,152230000,132105000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,518000,- -,6633000,4684000,8837000,4913000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5400000,- -,5285000,2344000,- -,- -,13111000,10017000,9887000,6412000,34616000,35131000,23455000,30213000,27504000,31581000,22626000,4437000,4889000
44,Other Non-Current Assets,100000,- -,- -,500000,600000,600000,700000,1600000,2000000,1600000,900000,1200000,800000,700000,900000,500000,287000,845000,4900000,691000,638000,1227000,18200000,3749000,2247000,1606000,781000,893000,2051000,3137000,4007000,7881000,9992000,17597000,24768000,27169000
45,Total Non-Current Assets,5600000,4800000,4500000,1500000,1600000,1600000,2100000,5100000,6800000,7100000,8000000,9600000,7900000,5200000,14400000,14300000,10949000,36505000,30200000,108221000,105110000,116179000,76200000,25472000,19463000,17382000,11692000,44002000,87024000,75196000,85596000,201434000,197108000,200129000,257939000,219517000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10100000,7100000,7600000,4600000,5900000,4800000,9100000,16000000,19600000,22100000,32600000,29500000,27800000,25500000,55600000,49800000,56688000,89597000,97600000,196755000,204346000,229703000,143000000,69647000,56953000,55485000,51481000,150771000,179265000,202617000,384363000,408139000,472993000,603626000,495805000,433805000
48,Accounts Payable,- -,- -,- -,- -,1200000,1000000,2600000,4600000,3800000,2500000,3200000,2100000,1900000,2600000,9200000,5700000,5713000,11553000,17400000,18389000,12011000,26186000,10900000,5422000,16186000,14103000,9523000,11871000,20508000,24012000,24938000,30266000,35478000,39898000,28450000,35767000
49,Short-Term Debt,4000000,800000,1000000,1000000,1200000,600000,500000,1500000,900000,1000000,1000000,800000,700000,600000,5000000,600000,917000,3005000,3603000,2897000,2168000,2944000,5343000,21078000,5901000,7489000,1100000,2261000,1156000,688000,- -,- -,- -,- -,37781000,9243000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1597000,1323000,1935000,- -,3609000,4740000,5796000,6305000,6410000,8251000,10748000,9438000,14662000,17757000,24264000,36081000,35396000
52,Other Current Liabilities,4100000,1100000,1200000,1500000,1200000,900000,2200000,2200000,2000000,2900000,4700000,2000000,2400000,1700000,13100000,8700000,8850000,3847000,3597000,6779000,6371000,7572000,23857000,15349000,6268000,5481000,6673000,8407000,12203000,11557000,15189000,32913000,42294000,19430000,19163000,26839000
53,Total Current Liabilities,8100000,1900000,2200000,2500000,3600000,2500000,5300000,8300000,6700000,6400000,8900000,4900000,5000000,4900000,27300000,15000000,15480000,18405000,24600000,29662000,21873000,38637000,40100000,45458000,33095000,32869000,23601000,28949000,42118000,47005000,49565000,77841000,95529000,83592000,121475000,107245000
54,Long-Term Debt,700000,3400000,3200000,200000,200000,300000,100000,400000,800000,800000,800000,500000,1100000,500000,100000,4500000,3628000,12569000,7700000,7679000,5511000,31314000,27200000,- -,4170000,4460000,1900000,2434000,702000,- -,139800000,146827000,154299000,275905000,177088000,199215000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401000,- -,- -,1285000,1977000,1652000,1070000,12257000,16763000,27106000,27452000,19893000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7451000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,963000,122000,178000
57,Other Non-Current Liabilities,- -,100000,- -,100000,100000,- -,- -,- -,-100000,- -,-100000,- -,- -,100000,400000,700000,- -,- -,- -,1126000,853000,1050000,2300000,990000,88000,554000,1003000,554000,1321000,2575000,4481000,7972000,7486000,10407000,31749000,12189000
58,Total Non-Current Liabilities,700000,3500000,3200000,300000,300000,300000,100000,400000,700000,800000,700000,500000,1100000,600000,500000,5200000,3628000,12569000,7700000,8805000,6364000,39815000,29500000,990000,4659000,5014000,2903000,4273000,4000000,4227000,145351000,167056000,178548000,314381000,236411000,231475000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28941000,21987000
61,Total Liabilities,8800000,5400000,5400000,2800000,3900000,2800000,5400000,8700000,7400000,7200000,9600000,5400000,6100000,5500000,27800000,20200000,19108000,30974000,32300000,38467000,28237000,78452000,69600000,46448000,37754000,37883000,26504000,33222000,46118000,51232000,194916000,244897000,274077000,397973000,357886000,338720000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,100000,100000,100000,136000,147000,100000,227000,232000,236000,300000,252000,277000,281000,287000,350000,359000,362000,367000,353000,357000,336000,343000,352000
64,Retained Earnings,-3700000,-3300000,-3100000,-3800000,-3600000,-4100000,-2500000,600000,2100000,4600000,9500000,10200000,7500000,6100000,4700000,6200000,10676000,15836000,21600000,29626000,44188000,13000000,-71100000,-120814000,-131665000,-134948000,-129730000,-85104000,-73301000,-56793000,-39853000,-47757000,-19459000,-2227000,-81531000,-137974000
65,Other Comprehensive Income/Loss,-2200000,-2200000,-2600000,-2400000,-2400000,-2000000,-2400000,-2900000,-4200000,-4200000,-8300000,-200000,-14200000,-400000,-400000,-1400000,-19625000,-801000,-822000,-3349000,-3333000,-1160000,1000,-1120000,-866000,-866000,-65000,-65000,-65000,-65000,-226000,-541000,-199000,-661000,-1375000,-985000
66,Other Total Stockholders Equity,7200000,7200000,7900000,8000000,8000000,8100000,8600000,9600000,14300000,14500000,21600000,14000000,28400000,14300000,23400000,24700000,46393000,43441000,44485000,131784000,135022000,139175000,144219000,144881000,151453000,153135000,154485000,202368000,206154000,207881000,229159000,211187000,218217000,208205000,220482000,233692000
67,Total Stockholders Equity,1300000,1700000,2200000,1800000,2000000,2000000,3700000,7300000,12200000,14900000,22900000,24100000,21700000,20100000,27800000,29600000,37580000,58623000,65363000,158288000,176109000,151251000,73420000,23199000,19199000,17602000,24977000,117549000,133147000,151385000,189447000,163242000,198916000,205653000,137919000,95085000
68,Total Liabilities And Stockholders Equity,10100000,7100000,7600000,4600000,5900000,4800000,9100000,16000000,19600000,22100000,32500000,29500000,27800000,25600000,55600000,49800000,56688000,89597000,97663000,196755000,204346000,229703000,143020000,69647000,56953000,55485000,51481000,150771000,179265000,202617000,384363000,408139000,472993000,603626000,495805000,433805000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,-100000,- -,- -,- -,- -,-63000,- -,- -,- -,-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10100000,7100000,7600000,4600000,5900000,4800000,9100000,16000000,19600000,22100000,32600000,29500000,27800000,25500000,55600000,49800000,56688000,89597000,97600000,196755000,204346000,229703000,143000000,69647000,56953000,55485000,51481000,150771000,179265000,202617000,384363000,408139000,472993000,603626000,495805000,433805000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730255/000073025502000014/0000730255-02-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730255/000073025507000011/0000730255-07-000011-index.html,https://www.sec.gov/Archives/edgar/data/730255/000073025508000019/0000730255-08-000019-index.html,https://www.sec.gov/Archives/edgar/data/730255/000073025509000017/0000730255-09-000017-index.html,https://www.sec.gov/Archives/edgar/data/730255/000095012310045515/0000950123-10-045515-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/730255/000120677413001591/0001206774-13-001591-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677414001353/0001206774-14-001353-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677415001341/0001206774-15-001341-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677416005479/0001206774-16-005479-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677417001612/0001206774-17-001612-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459018012631/0001564590-18-012631-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459019014471/0001564590-19-014471-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459020021390/0001564590-20-021390-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459021020114/0001564590-21-020114-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,200000,-500000,1600000,3100000,1600000,2500000,5000000,600000,-2700000,-1400000,-1400000,5200000,4464000,5160000,5700000,8076000,14562000,-31188000,-84100000,-49665000,-10851000,-3283000,5218000,44626000,11803000,16508000,16940000,-7904000,16617000,18398000,-79304000,-56309000
74,Depreciation and Amortization,- -,- -,- -,- -,400000,400000,600000,900000,1400000,2500000,2700000,2000000,3300000,3000000,2990000,4250000,4317000,3669000,3400000,4340000,4372000,6920000,9681000,6549000,2522000,3079000,2447000,2764000,8105000,9386000,10208000,23469000,22957000,20016000,31987000,22002000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-600000,- -,- -,- -,- -,- -,400000,-3470000,2608000,-2233000,-2950000,-233000,4201000,6236000,1485000,-20784000,3373000,39000,807000,- -,-29231000,5935000,7927000,4122000,-2735000,6372000,-1244000,18552000,-1000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1268000,1981000,2109000,2375000,2910000,2924000,4100000,5854000,7833000,9298000,11029000,12421000,11364000
77,Change in Working Capital,- -,- -,- -,- -,-200000,- -,1000000,900000,3500000,2500000,7100000,-700000,-100000,500000,-1500000,6600000,9759000,4428000,8113000,16072000,18491000,-2476000,-48187000,-27983000,5678000,-1835000,825000,61620000,-27697000,30293000,168786000,-120338000,51492000,139549000,-203514000,-9348000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6288000,-2780000,-294000,2431000,-4728000,-11401000,-11058000,-1515000,3090000,-6447000,-4855000,9602000,1624000
79,Inventory,- -,- -,- -,- -,-1100000,600000,-1900000,-500000,-1200000,-400000,-700000,-1500000,2000000,2900000,-6322000,2520000,283000,-2360000,-7391000,-825000,4266000,-2059000,1116000,9442000,4626000,718000,-167000,-3459000,-1301000,-3704000,1935000,221000,-6516000,5435000,1017000,8691000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5453000,10764000,-2083000,-4580000,2348000,7522000,3504000,926000,-4623000,5068000,1876000,-16440000,10166000
81,Other Working Capital,- -,- -,- -,- -,700000,700000,1700000,2600000,6100000,8600000,15700000,15000000,14900000,15400000,13900000,20500000,30259000,34687000,42800000,58872000,77363000,74887000,26700000,-1283000,4395000,1056000,509000,77820000,50123000,80416000,249202000,128864000,180356000,319905000,116391000,107043000
82,Other Non-Cash Items,- -,- -,- -,- -,-200000,400000,-1700000,-2000000,-6500000,-4100000,-4500000,-7200000,2500000,3500000,3673000,-11149000,-3994000,-4828000,-11886000,-20153000,-21281000,41982000,141914000,80218000,3103000,-20000,1567000,-66092000,21746000,-39569000,-158510000,125471000,-39842000,-140008000,231402000,60877000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,200000,300000,1500000,2300000,- -,3400000,10300000,-5300000,3000000,6000000,293000,7509000,12313000,5479000,5094000,12536000,22380000,16723000,-1476000,13760000,2472000,857000,12432000,16597000,22816000,28645000,47400000,25796000,66894000,47740000,11544000,28585000
84,CAPEX,- -,- -,- -,- -,-400000,-400000,-1000000,-3000000,-2800000,-3000000,-3400000,-3400000,-2800000,-1300000,-5352000,-4337000,-1534000,-1670000,-2693000,-2359000,-2296000,-2828000,-1359000,-831000,-1066000,-1245000,-1076000,-1852000,-2133000,-7437000,-4317000,-7962000,-8339000,-12007000,-22192000,-11356000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6170000,- -,- -,-16534000,- -,-1776000,-4897000,-50539000,-28148000,-887000,- -,- -,- -,-1000000,-52954000,- -,-7706000,-119618000,-2281000,-15662000,-61182000,- -
