,https://roic.ai/company/CERN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,- -,2300000,-300000,146500000,-4800000,5555000,- -,7017000,- -,697000,-1269000,- -,-3056000,-308000,5341000,5068000,4226000,- -,3993000,4479000,8012000,7987000,14469000,29080000,43474000
14,Depreciation and Amortization,500000,900000,1600000,2400000,2800000,3600000,5300000,6400000,10100000,12200000,15500000,- -,18100000,25400000,37988000,47305000,57346000,- -,69330000,114055000,125254000,152817000,- -,170466000,189603000,212556000,222580000,263538000,- -,302353000,504236000,580723000,642591000,687966000,697423000,718854000
15,EBITDA,3000000,7700000,6700000,8000000,5300000,11200000,21600000,30600000,42600000,49400000,30800000,- -,44800000,58400000,356688000,-20795000,142701000,- -,147547000,249299000,293551000,355448000,- -,448910000,481995000,687591000,815324000,855864000,- -,1080487000,1427149000,1555864000,1451429000,1356947000,1717976000,1461788000
16,EBITDA ratio,0.1734,0.2333,0.1663,0.1411,0.1033,0.1493,0.2197,0.2611,0.2733,0.2643,0.1629,- -,0.1829,0.1765,0.8818,-0.0383,0.1898,- -,0.1757,0.2148,0.2130,0.2339,- -,0.2678,0.2883,0.3121,0.3059,0.2940,- -,0.3175,0.2975,0.3026,0.2705,0.2384,0.3120,0.2536
17,Operating Income,2400000,6000000,4800000,5700000,2700000,5800000,13800000,21000000,33700000,37200000,10600000,- -,22200000,30000000,-895000,61532000,90820000,- -,78097000,140436000,166167000,204083000,- -,278885000,292006000,459798000,571662000,576012000,- -,763084000,911013000,960471000,774785000,600669000,914567000,708276000
18,Operating Income ratio,0.1387,0.1818,0.1191,0.1005,0.0526,0.0773,0.1404,0.1792,0.2162,0.1990,0.0561,- -,0.0906,0.0907,-0.0022,0.1134,0.1208,- -,0.0930,0.1210,0.1206,0.1343,- -,0.1664,0.1747,0.2087,0.2145,0.1979,- -,0.2243,0.1899,0.1868,0.1444,0.1055,0.1661,0.1229
19,Total Other Income Expenses (Gains),100000,800000,300000,-100000,-200000,1800000,2500000,3200000,-1200000,- -,2300000,- -,2300000,3300000,172995000,-124832000,-10220000,- -,-6897000,-5192000,1333000,-83000,- -,2515000,694000,9896000,16038000,12088000,- -,11116000,7421000,6658000,26066000,53843000,76906000,-8816000
20,Income Before Tax,2500000,6800000,5100000,5600000,2500000,7600000,16300000,24200000,32500000,37200000,12900000,- -,24500000,33300000,172100000,-63300000,80600000,- -,71200000,135244000,167500000,204000000,- -,281400000,292700000,469694000,587700000,588100000,- -,774200000,918434000,967129000,800851000,654512000,991473000,699460000
21,Income Before Tax Ratio,0.1445,0.2061,0.1266,0.0988,0.0487,0.1013,0.1658,0.2065,0.2085,0.1990,0.0682,- -,0.1000,0.1006,0.4255,-0.1167,0.1072,- -,0.0848,0.1165,0.1216,0.1342,- -,0.1679,0.1751,0.2132,0.2205,0.2020,- -,0.2275,0.1915,0.1881,0.1492,0.1150,0.1801,0.1213
22,Income Tax expense (Gain),1000000,2800000,1700000,2000000,900000,2900000,6400000,9600000,13000000,14700000,4700000,- -,9300000,12700000,66900000,-20900000,31800000,- -,28400000,48993000,57700000,76800000,- -,92800000,99200000,163067000,190476000,189700000,- -,248741000,281950000,100151000,170792000,125058000,211385000,143864000
23,Net Income,1500000,4000000,3400000,3600000,1600000,4700000,9900000,14600000,19500000,22500000,8300000,- -,15100000,20600000,105300000,-42400000,48000000,- -,42800000,86251000,109900000,127100000,- -,188700000,193500000,306627000,397200000,398400000,- -,525400000,636484000,866978000,630059000,529454000,780088000,555596000
24,Net Income ratio,0.0867,0.1212,0.0844,0.0635,0.0312,0.0627,0.1007,0.1246,0.1251,0.1204,0.0439,- -,0.0616,0.0623,0.2603,-0.0781,0.0638,- -,0.0510,0.0743,0.0798,0.0836,- -,0.1126,0.1157,0.1392,0.1490,0.1369,- -,0.1544,0.1327,0.1686,0.1174,0.0930,0.1417,0.0964
25,EPS,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.08,0.05,0.02,- -,0.06,0.08,0.39,-0.15,0.09,- -,0.15,0.14,0.35,0.40,- -,0.58,0.60,0.91,1.16,1.16,- -,1.54,1.88,2.62,1.91,1.66,2.54,1.81
26,EPS Diluted,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.08,0.04,0.02,- -,0.06,0.08,0.37,-0.15,0.08,- -,0.15,0.14,0.34,0.38,- -,0.56,0.58,0.88,1.13,1.13,- -,1.50,1.85,2.57,1.89,1.65,2.52,1.81
27,Weighted Average Shares Outstanding,220480000,227904000,230400000,232448000,230736000,202176000,205264000,217728000,238167939,259912000,263128000,- -,262608696,261587302,273415584,280105785,567328000,- -,282915702,592864000,310764000,317812500,- -,322196000,323924000,337268000,341862000,343636000,- -,342150000,337740000,331373000,330084000,318229000,306669000,306669000
28,Weighted Average Shares Outstanding Diluted,220480000,227904000,230400000,232448000,230736000,202176000,205264000,217728000,238167939,259912000,263128000,- -,268444444,270163934,284500000,280105785,592800000,- -,290108475,623040000,326892000,332352941,- -,333740000,335528000,347734000,351394000,352281000,- -,350386000,343653000,337999000,333572000,321235000,309136000,306669000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/804753/000080475399000056/0000804753-99-000056-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/804753/000095013403003674/c75354e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/804753/000095013704001988/c83827e10vk.htm,https://www.sec.gov/Archives/edgar/data/804753/000095013706003137/c03479e10vk.htm,https://www.sec.gov/Archives/edgar/data/804753/000095013707002997/c12737e10vk.htm,https://www.sec.gov/Archives/edgar/data/804753/000095013708002851/c24264e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/804753/000095013709001436/0000950137-09-001436-index.html,https://www.sec.gov/Archives/edgar/data/804753/000095012310015243/0000950123-10-015243-index.html,https://www.sec.gov/Archives/edgar/data/804753/000119312512063585/0001193125-12-063585-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475313000004/0000804753-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475314000006/a201310-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/804753/000080475315000009/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/804753/000080475317000004/0000804753-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475318000006/0000804753-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475319000009/0000804753-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475320000007/0000804753-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475321000009/0000804753-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/804753/000080475322000009/0000804753-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13400000,12200000,7300000,7400000,7100000,8700000,13700000,16800000,15300000,112100000,6900000,- -,7500000,42700000,90900000,107500000,142500000,- -,121800000,113057000,162500000,182900000,- -,270500000,241800000,243146000,317100000,202400000,- -,635200000,170861000,370923000,374126000,441843000,615615000,589847000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,- -,70000000,- -,- -,- -,- -,- -,- -,161230000,146200000,161600000,- -,38400000,317100000,531635000,719700000,677000000,- -,785700000,185588000,434844000,401285000,99931000,442473000,252622000
33,Cash and Short-Term Investments,13400000,12200000,7300000,7400000,7100000,8700000,13700000,16800000,15300000,112100000,110900000,- -,77500000,42700000,90900000,107500000,142500000,- -,121800000,274287000,308700000,344500000,- -,308900000,558900000,774781000,1036800000,879400000,- -,1420900000,356449000,805767000,775411000,541774000,1058088000,842469000
34,Net Receivables,7600000,17600000,27500000,35400000,28900000,29300000,29400000,46400000,65100000,98200000,96200000,- -,125500000,167400000,188000000,220200000,272700000,- -,256600000,316965000,361400000,391100000,- -,468900000,461400000,563209000,577800000,582900000,- -,672800000,944943000,1042781000,1183494000,1139595000,1168712000,1161361000
35,Inventory,1500000,4100000,3300000,1900000,2000000,1500000,1800000,1000000,2200000,2200000,1600000,- -,1700000,2700000,2200000,5800000,9000000,- -,12400000,9585000,18100000,10700000,- -,10100000,11200000,23296000,23700000,32300000,- -,23800000,14740000,15749000,25029000,23182000,23027000,28159000
36,Other Current Assets,200000,700000,600000,500000,600000,200000,1000000,3000000,1100000,4400000,3700000,- -,3700000,4100000,7400000,14200000,23500000,- -,38200000,50794000,57800000,72300000,- -,71000000,114800000,141027000,152200000,267100000,- -,231300000,303229000,515930000,334870000,392073000,401160000,417465000
37,Total Current Assets,22700000,34600000,38700000,45200000,38600000,39700000,45900000,67200000,83700000,216900000,212400000,- -,208400000,216900000,288500000,347700000,447700000,- -,429000000,651631000,746000000,818600000,- -,858900000,1146300000,1502313000,1790500000,1761700000,- -,2348800000,1619361000,2380227000,2318804000,2096624000,2650987000,2449454000
38,PP&E,1800000,2700000,4300000,4200000,6200000,6400000,9200000,13800000,41100000,53700000,60000000,- -,65700000,77300000,82200000,94700000,134300000,- -,205000000,292608000,357900000,462800000,- -,483400000,509200000,488996000,569700000,792800000,- -,924300000,1552524000,1603319000,1743575000,1981927000,1908619000,1739111000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,6400000,8900000,22200000,23900000,45900000,- -,51600000,116142000,128800000,143900000,- -,146700000,151500000,211826000,247600000,307400000,- -,320500000,844200000,853005000,847544000,883158000,914520000,1131121000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,8600000,6400000,4400000,30100000,- -,40600000,55000000,83300000,115000000,140500000,- -,165100000,60448000,242200000,247200000,- -,270700000,267000000,324116000,399400000,491200000,- -,546800000,1285256000,1301912000,1299817000,1304298000,1338598000,1458839000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,8600000,6400000,4400000,34100000,- -,47000000,63900000,105500000,138900000,186400000,- -,216700000,176590000,371000000,391100000,- -,417400000,418500000,535942000,647000000,798600000,- -,867300000,2129456000,2154917000,2147361000,2187456000,2253118000,2589960000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71700000,130600000,123000000,1000000,- -,700000,- -,- -,- -,- -,105300000,- -,359324000,509467000,554873000,- -,231147000,109374000,196837000,300046000,419419000,510220000,461984000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12800000,- -,16500000,22100000,57400000,62400000,35800000,- -,59500000,- -,68700000,68700000,- -,100500000,98400000,- -,143200000,170400000,- -,256600000,- -,365674000,336379000,377657000,- -,- -
44,Other Non-Current Assets,1300000,2600000,3800000,5700000,7600000,10100000,11600000,15300000,25200000,28900000,-4500000,- -,-5800000,-15400000,-47800000,-54400000,-25900000,- -,-51600000,182800000,-52200000,-51200000,- -,-84500000,-23800000,113783000,44633000,20027000,- -,-97547000,219248000,-231663000,-137529000,-168461000,198152000,193649000
45,Total Non-Current Assets,3100000,5300000,8100000,9900000,13800000,16500000,20800000,37700000,72700000,87000000,102400000,- -,123400000,219600000,327900000,364600000,331600000,- -,430300000,651998000,745400000,871400000,- -,1022100000,1002300000,1498045000,1914000000,2336700000,- -,2181800000,4010602000,4089084000,4389832000,4797998000,4870109000,4984704000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25800000,39900000,46800000,55100000,52400000,56200000,66700000,104900000,156400000,303900000,314800000,- -,331800000,436500000,616400000,712300000,779300000,- -,859300000,1303629000,1491400000,1690000000,- -,1881000000,2148600000,3000358000,3704500000,4098400000,- -,4530600000,5629963000,6469311000,6708636000,6894622000,7521096000,7434158000
48,Accounts Payable,- -,- -,- -,17400000,11400000,11100000,8100000,11500000,13500000,14900000,9300000,- -,11300000,14100000,20500000,20900000,46800000,- -,20800000,65377000,79700000,79800000,- -,93700000,36900000,85545000,141200000,145000000,- -,160300000,238134000,218996000,293534000,273440000,235755000,329582000
49,Short-Term Debt,2600000,6400000,7100000,2200000,2300000,400000,500000,1500000,200000,100000,- -,- -,- -,- -,- -,- -,12202000,- -,21162000,28743000,20242000,14260000,- -,30116000,25014000,39722000,59582000,54107000,- -,67460000,26197000,11585000,4914000,- -,- -,225000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45055000,- -,64879000,79890000,2423000,10368000,- -,1402000,8055000,153139000,189652000,209746000,- -,209655000,311839000,311337000,399189000,360025000,393293000,531234000
52,Other Current Liabilities,4600000,10200000,12400000,3700000,4100000,5600000,6800000,11600000,17600000,27800000,31900000,- -,40200000,84100000,81800000,137300000,61543000,- -,70659000,86080000,198935000,183672000,- -,215982000,288131000,160314000,189666000,231547000,- -,196885000,269231000,247677000,265053000,393983000,539578000,540442000
53,Total Current Liabilities,7200000,16600000,19500000,23300000,17800000,17100000,15400000,24600000,31300000,42800000,41200000,- -,51500000,98200000,102300000,158200000,165600000,- -,177500000,260090000,301300000,288100000,- -,341200000,358100000,438720000,580100000,640400000,- -,634300000,845401000,789595000,962690000,1027448000,1168626000,1626258000
54,Long-Term Debt,900000,900000,1400000,1600000,7700000,8000000,8300000,10400000,30200000,30100000,30000000,- -,30000000,25000000,102300000,92100000,136600000,- -,124600000,194265000,187400000,177600000,- -,111400000,95500000,86821000,136600000,111700000,- -,62900000,537552000,515130000,438802000,1038382000,1336069000,1611256000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13787000,10937000,8159000,- -,10813000,12800000,13564000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,800000,1500000,2100000,2700000,3500000,4300000,5800000,9100000,9600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,72922000,- -,- -,- -,- -,- -,150229000,143212000,170392000,- -,256601000,306263000,365674000,336379000,377657000,376035000,395177000
57,Other Non-Current Liabilities,1400000,1000000,200000,- -,100000,100000,100000,-100000,- -,- -,12800000,- -,16500000,42100000,68100000,67200000,35800000,- -,62600000,14533000,84600000,91800000,- -,117400000,114300000,- -,-49000,49000,- -,-14000,- -,- -,42376000,133807000,157799000,121005000
58,Total Non-Current Liabilities,2300000,2700000,3100000,3700000,10500000,11600000,12700000,16100000,39300000,39700000,42800000,- -,46500000,67100000,170400000,159300000,172400000,- -,187200000,281720000,272000000,269400000,- -,228800000,209800000,250837000,290700000,290300000,- -,330300000,856615000,894368000,817557000,1549846000,1869903000,2127438000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,9500000,19300000,22600000,27000000,28300000,28700000,28100000,40700000,70600000,82500000,84000000,- -,98000000,165300000,272700000,317500000,338000000,- -,364700000,541810000,573300000,557500000,- -,570000000,567900000,689557000,870800000,930700000,- -,964600000,1702016000,1683963000,1780247000,2577294000,3038529000,3753696000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,300000,300000,400000,400000,400000,- -,400000,785000,800000,800000,- -,800000,800000,1696000,1700000,3400000,- -,3500000,3537000,3592000,3622000,3676000,3732000,3802000
64,Retained Earnings,500000,4500000,7900000,11500000,13100000,16400000,26300000,40900000,60400000,82900000,91100000,- -,106300000,126900000,230900000,188600000,236600000,- -,279400000,430262000,540200000,671400000,- -,860100000,1053600000,1597462000,1994700000,2393000000,- -,2918500000,4094327000,4938866000,5576525000,5934909000,6475551000,6751692000
65,Other Comprehensive Income/Loss,-700000,-1200000,-2200000,-3500000,-5000000,-6400000,-8500000,-12000000,-15800000,-21400000,-29400000,- -,-36000000,-500000,-59400000,9900000,-1744000,- -,4770000,4367000,600000,8311000,- -,-12977000,-3254000,-11967000,-5255000,-13429000,- -,-44096000,-110165000,-73382000,-103552000,-118660000,-120804000,-127558000
66,Other Total Stockholders Equity,16500000,17300000,18500000,20100000,16000000,17500000,20800000,35300000,41200000,159900000,168700000,- -,163100000,144400000,171800000,195900000,205988000,- -,210110000,325119000,376532000,451917000,- -,463086000,529532000,723490000,842505000,784693000,- -,688064000,-59752000,-83728000,-548206000,-1502597000,-1875912000,- -
67,Total Stockholders Equity,16300000,20600000,24200000,28100000,24100000,27500000,38600000,64200000,85800000,221400000,230700000,- -,233700000,271100000,343700000,394800000,441244000,- -,494680000,760533000,918132000,1132428000,- -,1311009000,1580678000,2310681000,2833650000,3167664000,- -,3565968000,3927947000,4785348000,4928389000,4317328000,4482567000,3680462000
68,Total Liabilities And Stockholders Equity,25800000,39900000,46800000,55100000,52400000,56200000,66700000,104900000,156400000,303900000,314700000,- -,331700000,436400000,616400000,712300000,779244000,- -,859380000,1302343000,1491432000,1689928000,- -,1881009000,2148578000,3000238000,3704450000,4098364000,- -,4530568000,5629963000,6469311000,6708636000,6894622000,7521096000,7434158000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,100000,- -,- -,56000,- -,-80000,1286000,-32000,72000,- -,-9000,22000,120000,50000,36000,- -,32000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25800000,39900000,46800000,55100000,52400000,56200000,66700000,104900000,156400000,303900000,314800000,- -,331800000,436500000,616400000,712300000,779300000,- -,859300000,1303629000,1491400000,1690000000,- -,1881000000,2148600000,3000358000,3704500000,4098400000,- -,4530600000,5629963000,6469311000,6708636000,6894622000,7521096000,7434158000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/804753/000080475399000056/0000804753-99-000056-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/804753/000095013403003674/c75354e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/804753/000095013704001988/c83827e10vk.htm,https://www.sec.gov/Archives/edgar/data/804753/000095013706003137/c03479e10vk.htm,https://www.sec.gov/Archives/edgar/data/804753/000095013707002997/c12737e10vk.htm,https://www.sec.gov/Archives/edgar/data/804753/000095013708002851/c24264e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/804753/000095013709001436/0000950137-09-001436-index.html,https://www.sec.gov/Archives/edgar/data/804753/000095012310015243/0000950123-10-015243-index.html,https://www.sec.gov/Archives/edgar/data/804753/000119312512063585/0001193125-12-063585-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475313000004/0000804753-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475314000006/a201310-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/804753/000080475315000009/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/804753/000080475317000004/0000804753-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475318000006/0000804753-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475319000009/0000804753-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475320000007/0000804753-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475321000009/0000804753-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/804753/000080475322000009/0000804753-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,3600000,1600000,4700000,9900000,14600000,19500000,22500000,8300000,- -,15100000,20600000,105300000,-42400000,48000000,- -,42800000,86251000,109900000,127100000,- -,188700000,193500000,306627000,397200000,398400000,- -,525400000,636484000,866978000,630059000,529454000,780088000,555596000
74,Depreciation and Amortization,- -,- -,- -,2400000,2800000,3600000,5300000,6400000,10100000,12200000,15500000,- -,18100000,25400000,37988000,47305000,57346000,- -,69330000,114055000,125254000,152817000,- -,170466000,189603000,212556000,222580000,263538000,- -,302353000,504236000,580723000,642591000,687966000,697423000,718854000
75,Deferred Income Tax,- -,- -,- -,600000,700000,1900000,-400000,7500000,8000000,7700000,2900000,- -,8200000,15800000,67640000,-43199000,8710000,- -,24686000,-6874000,2503000,-4496000,- -,-2521000,-4141000,-22113000,8342000,-22647000,- -,106905000,-11517000,47409000,34428000,51125000,1502000,7351000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15786000,27919000,36113000,46295000,- -,59292000,74536000,83019000,95423000,103641000,153449000,195654000
77,Change in Working Capital,- -,- -,- -,2400000,-1100000,1800000,7900000,12100000,9800000,121700000,-2900000,- -,-14300000,-38200000,16200000,3300000,92600000,- -,-30600000,81241000,53159000,85800000,- -,-12800000,270500000,223393000,146807000,-89100000,- -,593200000,-276007000,816672000,-234518000,-286938000,413185000,160378000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,1500000,-100000,500000,-400000,800000,-1200000,- -,600000,- -,-100000,-900000,595000,-3252000,-2762000,- -,-3393000,-2078000,-8405000,5435000,- -,-2542000,290000,-12329000,-279000,-8111000,- -,8117000,-666000,-972000,-9307000,1855000,960000,-5131000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53417000,17504000,35265000,4130000,- -,2974000,-13197000,6960000,65202000,-8734000,-62663000,42485000
81,Other Working Capital,- -,- -,- -,21900000,20800000,22600000,30500000,42600000,52400000,174100000,171200000,- -,156900000,118700000,186200000,189500000,282100000,- -,251500000,391541000,444700000,530500000,- -,517700000,788200000,1063593000,1210400000,1121300000,- -,1714500000,773960000,1590632000,1356114000,1069176000,1482361000,104226000
82,Other Non-Cash Items,- -,- -,- -,-300000,1700000,-2600000,-8700000,-24700000,-28500000,-148800000,2800000,- -,-8400000,-17600000,-173815000,99832000,-169750000,- -,28085000,-45808000,-58098000,-86656000,- -,-62043000,-317957000,-202088000,-102728000,99379000,- -,-740123000,227880000,-1087126000,286026000,227851000,-608942000,133851000
83,Cash Provided by Operating Activities,- -,- -,- -,8700000,5700000,9400000,14000000,15900000,18900000,15300000,26600000,- -,18700000,6000000,53313000,64838000,36906000,- -,134301000,228865000,232718000,274565000,- -,281802000,347291000,546294000,708314000,695865000,- -,847027000,1155612000,1307675000,1454009000,1313099000,1436705000,1771684000
