,https://roic.ai/company/MU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-4800000,-28600000,-18200000,118900000,150400000,3800000,11800000,13700000,166000000,620100000,1296500000,944500000,402400000,-493600000,-47000000,2293300000,-976500000,-1025300000,-1186500000,249700000,217500000,350000000,-280000000,-1595000000,-1675000000,1589000000,755000000,-618000000,236000000,3087000000,2998000000,168000000,5868000000,14994000000,7376000000,3003000000,6283000000
18,Operating Income ratio,-0.0632,-0.5849,-0.1996,0.3957,0.3369,0.0114,0.0277,0.0271,0.2004,0.3807,0.4391,0.2585,0.1144,-0.1639,-0.0125,0.3126,-0.2481,-0.3960,-0.3839,0.0567,0.0446,0.0664,-0.0492,-0.2731,-0.3487,0.1873,0.0859,-0.0751,0.0260,0.1887,0.1852,0.0135,0.2888,0.4934,0.3151,0.1401,0.2268
19,Total Other Income Expenses (Gains),-1700000,- -,- -,-700000,15400000,-700000,-5900000,-4100000,-3400000,5900000,54000000,14500000,216600000,158600000,-45000000,23700000,16500000,26300000,-13500000,-17700000,-18500000,83000000,112000000,-16000000,-129000000,331000000,-204000000,-136000000,1049000000,-354000000,-389000000,-449000000,-672000000,-687000000,-328000000,-20000000,-65000000
20,Income Before Tax,-6500000,- -,- -,118200000,165800000,3100000,5900000,9600000,162600000,626000000,1350500000,959000000,619000000,-335000000,-92000000,2317000000,-960000000,-999000000,-1200000000,232000000,199000000,433000000,-168000000,-1611000000,-1804000000,1920000000,551000000,-754000000,1285000000,2733000000,2609000000,-281000000,5196000000,14307000000,7048000000,2983000000,6218000000
21,Income Before Tax Ratio,-0.0856,- -,- -,0.3933,0.3714,0.0093,0.0139,0.0190,0.1963,0.3843,0.4574,0.2625,0.1761,-0.1112,-0.0244,0.3158,-0.2439,-0.3859,-0.3882,0.0527,0.0408,0.0821,-0.0295,-0.2758,-0.3756,0.2264,0.0627,-0.0916,0.1416,0.1671,0.1611,-0.0227,0.2557,0.4708,0.3011,0.1392,0.2244
22,Income Tax expense (Gain),-6700000,- -,- -,20200000,59700000,-1800000,800000,3000000,58500000,225000000,506400000,357000000,267000000,-119000000,-36000000,796700000,446000000,91000000,-73000000,-74000000,-10000000,18000000,30000000,18000000,-2000000,19000000,203000000,-17000000,8000000,128000000,157000000,19000000,114000000,168000000,703000000,280000000,394000000
23,Net Income,200000,-33900000,-22900000,98000000,106100000,4900000,5100000,6600000,104100000,401000000,844100000,594000000,332000000,-234000000,-69000000,1504200000,-625000000,-907000000,-1273000000,157000000,188000000,408000000,-320000000,-1619000000,-1835000000,1850000000,167000000,-1032000000,1190000000,3045000000,2899000000,-276000000,5089000000,14135000000,6313000000,2687000000,5861000000
24,Net Income ratio,0.0026,-0.6933,-0.2511,0.3261,0.2377,0.0147,0.0120,0.0130,0.1257,0.2462,0.2859,0.1626,0.0944,-0.0777,-0.0183,0.2050,-0.1588,-0.3503,-0.4118,0.0356,0.0385,0.0774,-0.0563,-0.2772,-0.3821,0.2181,0.0190,-0.1253,0.1312,0.1861,0.1790,-0.0223,0.2504,0.4651,0.2697,0.1254,0.2116
25,EPS,0.00,-0.18,-0.10,0.34,0.29,0.02,0.02,0.02,0.26,0.96,1.98,1.38,0.77,-0.55,-0.13,2.73,-1.05,-1.51,-2.11,0.24,0.29,0.59,-0.42,-2.10,-2.35,2.09,0.17,-1.04,1.16,2.87,2.71,-0.27,4.67,12.27,5.67,2.42,5.23
26,EPS Diluted,0.00,-0.18,-0.10,0.33,0.29,0.02,0.02,0.02,0.26,0.95,1.95,1.38,0.77,-0.55,-0.13,2.56,-1.05,-1.51,-2.11,0.24,0.29,0.57,-0.42,-2.10,-2.35,1.85,0.17,-1.04,1.13,2.54,2.47,-0.27,4.41,11.51,5.51,2.37,5.14
27,Weighted Average Shares Outstanding,191600000,188333333,229000000,288235294,365862069,368972000,450000000,330000000,400384615,418000000,427800000,430000000,432600000,424400000,521400000,550900000,592400000,601500000,607500000,641500000,647700000,692000000,769100000,772500000,800700000,887500000,988000000,991200000,1021700000,1060000000,1070000000,1036000000,1089000000,1152000000,1114000000,1110000000,1120000000
28,Weighted Average Shares Outstanding Diluted,191600000,188333333,229000000,296969697,365862069,368972000,450000000,330000000,400384615,420800000,432400000,430000000,435000000,424400000,521400000,605400000,592400000,601500000,607500000,645700000,702000000,725000000,769100000,772500000,800700000,1050700000,1007500000,991200000,1056300000,1198000000,1170000000,1036000000,1154000000,1229000000,1143000000,1131000000,1141000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723125/000072312594000020/0000723125-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/723125/000072312595000016/0000723125-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/723125/000095010996006513/0000950109-96-006513-index.html,- -,https://www.sec.gov/Archives/edgar/data/723125/000101287098002758/0001012870-98-002758-index.html,- -,https://www.sec.gov/Archives/edgar/data/723125/000091205700045119/0000912057-00-045119-index.html,https://www.sec.gov/Archives/edgar/data/723125/000091205701535432/0000912057-01-535432-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000091205702038669/0000912057-02-038669-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000104746903033422/0001047469-03-033422-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000110465904030617/0001104659-04-030617-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000110465905052716/0001104659-05-052716-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000110465906072331/0001104659-06-072331-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/723125/000072312509000128/0000723125-09-000128-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312510000174/0000723125-10-000174-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312511000189/0000723125-11-000189-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312512000156/0000723125-12-000156-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312513000228/0000723125-13-000228-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312514000195/0000723125-14-000195-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312515000112/0000723125-15-000112-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312516000269/0000723125-16-000269-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312517000131/0000723125-17-000131-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312518000092/0000723125-18-000092-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312519000094/0000723125-19-000094-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312520000082/0000723125-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312521000065/0000723125-21-000065-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000000,128100000,276000000,620000000,559000000,295000000,701700000,469000000,398000000,570000000,486000000,525000000,1431000000,2192000000,1243000000,1485000000,2913000000,2160000000,2459000000,2880000000,4150000000,2287000000,4140000000,5109000000,6506000000,7152000000,7624000000,7763000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,355000000,427700000,11000000,368000000,91000000,1319000000,1764700000,1209000000,588000000,352000000,745000000,766000000,1648000000,424000000,119000000,315000000,582000000,483000000,100000000,221000000,384000000,1234000000,258000000,319000000,296000000,803000000,518000000,870000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,433000000,555800000,287000000,988000000,650000000,1614000000,2466400000,1678000000,986000000,922000000,1231000000,1291000000,3079000000,2616000000,1362000000,1800000000,3495000000,2643000000,2559000000,3101000000,4534000000,3521000000,4398000000,5428000000,6802000000,7955000000,8142000000,8633000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,236000000,455400000,347000000,459000000,490000000,693000000,1573700000,792000000,538000000,643000000,774000000,794000000,956000000,994000000,1032000000,798000000,1531000000,1497000000,1289000000,2326000000,2906000000,2507000000,2068000000,3759000000,5478000000,3193000000,3912000000,5311000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,204800000,251000000,454000000,291000000,366000000,704800000,491000000,545000000,417000000,578000000,772000000,963000000,1532000000,1291000000,987000000,1770000000,2080000000,1812000000,2649000000,2455000000,2340000000,2889000000,3123000000,3595000000,5118000000,5607000000,4487000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,58100000,79000000,71000000,68000000,157000000,159500000,177000000,50000000,55000000,56000000,69000000,103000000,92000000,94000000,-241000000,-463000000,-388000000,98000000,835000000,350000000,228000000,140000000,147000000,164000000,237000000,304000000,1476000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,793000000,1274100000,964000000,1972000000,1499000000,2830000000,4904400000,3138000000,2119000000,2037000000,2639000000,2926000000,5101000000,5234000000,3779000000,3344000000,6333000000,5832000000,5758000000,8911000000,10245000000,8596000000,9495000000,12457000000,16039000000,16503000000,17965000000,19907000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,664000000,1385600000,2708000000,2761000000,3031000000,3800000000,4257600000,4704000000,4700000000,4511000000,4713000000,4684000000,5888000000,8279000000,8811000000,7081000000,6601000000,7555000000,7103000000,7626000000,8682000000,10554000000,14686000000,19431000000,23672000000,28240000000,31615000000,33764000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502000000,515000000,58000000,- -,- -,- -,- -,- -,- -,- -,- -,1228000000,1228000000,1228000000,1228000000,1228000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,41600000,43000000,51000000,85000000,213000000,213000000,198000000,317000000,290000000,276000000,260000000,388000000,401000000,364000000,344000000,323000000,414000000,371000000,386000000,468000000,449000000,464000000,387000000,331000000,340000000,334000000,349000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,41600000,43000000,51000000,85000000,213000000,213000000,198000000,317000000,290000000,276000000,260000000,890000000,916000000,422000000,344000000,323000000,414000000,371000000,386000000,468000000,449000000,464000000,1615000000,1559000000,1568000000,1562000000,1577000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315000000,582000000,483000000,763000000,895000000,1790000000,3492000000,1778000000,633000000,473000000,1164000000,1048000000,1765000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,- -,157000000,240000000,284000000,309000000,- -,19000000,- -,41000000,42000000,35000000,49000000,65000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,766000000,- -,- -,707000000,782000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29000000,73600000,-120000000,-173000000,-211000000,-187000000,256500000,304000000,419000000,279000000,90000000,101000000,293000000,324000000,418000000,371000000,854000000,468000000,333000000,1300000000,1313000000,1052000000,1117000000,434000000,1633000000,1412000000,781000000,1054000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,737000000,1500800000,2788000000,2879000000,3189000000,4135000000,4727100000,5225000000,5436000000,5121000000,5121000000,5080000000,7120000000,9584000000,9651000000,8111000000,8360000000,8920000000,8570000000,10207000000,12253000000,15547000000,18045000000,22879000000,27337000000,32384000000,35713000000,38942000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1530000000,2774900000,3752000000,4851000000,4688000000,6965000000,9631500000,8363000000,7555000000,7158000000,7760000000,8006000000,12221000000,14818000000,13430000000,11455000000,14693000000,14752000000,14328000000,19118000000,22498000000,24143000000,27540000000,35336000000,43376000000,48887000000,53678000000,58849000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502300000,- -,- -,- -,- -,1465800000,512000000,554000000,714000000,796000000,752000000,854000000,856000000,597000000,526000000,799000000,1187000000,818000000,1048000000,1119000000,1020000000,1186000000,1333000000,1692000000,1677000000,2191000000,1744000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26500000,90000000,11000000,10000000,- -,47900000,- -,- -,- -,- -,- -,166000000,423000000,275000000,- -,- -,- -,- -,- -,- -,- -,- -,905000000,- -,- -,270000000,155000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000000,364000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16400000,- -,- -,- -,- -,87900000,159000000,14000000,27000000,18000000,31000000,53000000,169000000,114000000,209000000,298000000,443000000,248000000,243000000,309000000,205000000,200000000,605000000,284000000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,274000000,59600000,575000000,739000000,730000000,922000000,45900000,16000000,185000000,252000000,158000000,196000000,588000000,578000000,612000000,1157000000,1605000000,850000000,1177000000,2834000000,3383000000,2680000000,3449000000,2491000000,3778000000,4713000000,4174000000,4525000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,274000000,604800000,665000000,750000000,740000000,922000000,1647500000,687000000,753000000,993000000,972000000,979000000,1661000000,2026000000,1598000000,1892000000,2702000000,2480000000,2243000000,4125000000,4811000000,3905000000,4835000000,5334000000,5754000000,6390000000,6635000000,6424000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,129400000,315000000,762000000,757000000,1528000000,933700000,445000000,361000000,997000000,1028000000,1020000000,405000000,1987000000,2451000000,2674000000,1648000000,1861000000,3038000000,4452000000,5012000000,6301000000,9154000000,9060000000,3780000000,4541000000,6906000000,7125000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,643000000,808000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93300000,- -,- -,- -,- -,333500000,- -,- -,- -,- -,- -,28000000,25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000000,51200000,270000000,456000000,498000000,551000000,85500000,96000000,75000000,131000000,145000000,161000000,445000000,421000000,338000000,2235000000,2323000000,1941000000,1347000000,1399000000,1904000000,1635000000,1471000000,1472000000,1548000000,2075000000,498000000,559000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,206000000,273900000,585000000,1218000000,1255000000,2079000000,1352700000,541000000,436000000,1128000000,1173000000,1181000000,878000000,2433000000,2789000000,4909000000,3971000000,3802000000,4385000000,5851000000,6916000000,7936000000,10625000000,10532000000,5328000000,6616000000,8047000000,8492000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,911000000,792000000,1406000000,1190000000,845000000,591000000,1019000000,1307000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,480000000,878700000,1250000000,1968000000,1995000000,3001000000,3000200000,1228000000,1189000000,2121000000,2145000000,2160000000,2539000000,4459000000,4387000000,6801000000,6673000000,6282000000,6628000000,9976000000,11727000000,11841000000,15460000000,15866000000,11082000000,13006000000,14682000000,14916000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,20600000,21000000,21000000,21000000,27000000,56700000,60000000,121000000,127000000,61000000,62000000,75000000,76000000,76000000,85000000,99000000,98000000,102000000,104000000,107000000,108000000,109000000,112000000,117000000,118000000,119000000,122000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,671000000,1484100000,2046000000,2378000000,2145000000,2045000000,3549600000,2925000000,2016000000,734000000,890000000,1078000000,1486000000,1164000000,-456000000,-2291000000,-536000000,-370000000,-1402000000,-212000000,2729000000,5588000000,5299000000,10260000000,24395000000,30761000000,33384000000,39051000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-499000000,-638400000,-831000000,-1190000000,-1642000000,-2000000,-2828500000,-6000000,2000000,-4836000000,-5510000000,-6345000000,-2000000,-7000000,-8000000,-4000000,11000000,132000000,80000000,63000000,56000000,13000000,-35000000,29000000,10000000,9000000,71000000,2000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,867000000,1029900000,1266000000,1674000000,2169000000,1894000000,5654200000,4156000000,4228000000,8946000000,10173800000,11051800000,6555000000,- -,- -,6864000000,8446000000,8610000000,8920000000,9187000000,7879000000,6593000000,6707000000,8220000000,7772000000,4993000000,5422000000,4758000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1049000000,1896200000,2502000000,2883000000,2693000000,3964000000,6432000000,7135000000,6367000000,4971000000,5614800000,5846800000,8114000000,7752000000,6178000000,4654000000,8020000000,8470000000,7700000000,9142000000,10771000000,12302000000,12080000000,18621000000,32294000000,35881000000,38996000000,43933000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1529000000,2774900000,3752000000,4851000000,4688000000,6965000000,9432200000,8363000000,7556000000,7092000000,7759800000,8006800000,10653000000,12211000000,10565000000,11455000000,14693000000,14752000000,14328000000,19118000000,22498000000,24143000000,27540000000,34487000000,43376000000,48887000000,53678000000,58849000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,199300000,- -,-1000000,66000000,200000,-800000,1568000000,2607000000,2865000000,- -,- -,- -,- -,- -,- -,- -,- -,849000000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1530000000,2774900000,3752000000,4851000000,4688000000,6965000000,9631500000,8363000000,7555000000,7158000000,7760000000,8006000000,12221000000,14818000000,13430000000,11455000000,14693000000,14752000000,14328000000,19118000000,22498000000,24143000000,27540000000,35336000000,43376000000,48887000000,53678000000,58849000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/723125/000072312594000020/0000723125-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/723125/000072312595000016/0000723125-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/723125/000095010996006513/0000950109-96-006513-index.html,- -,https://www.sec.gov/Archives/edgar/data/723125/000101287098002758/0001012870-98-002758-index.html,- -,https://www.sec.gov/Archives/edgar/data/723125/000091205700045119/0000912057-00-045119-index.html,https://www.sec.gov/Archives/edgar/data/723125/000091205701535432/0000912057-01-535432-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000091205702038669/0000912057-02-038669-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000104746903033422/0001047469-03-033422-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000110465904030617/0001104659-04-030617-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000110465905052716/0001104659-05-052716-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000110465906072331/0001104659-06-072331-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/723125/000072312509000128/0000723125-09-000128-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312510000174/0000723125-10-000174-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312511000189/0000723125-11-000189-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312512000156/0000723125-12-000156-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312513000228/0000723125-13-000228-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312514000195/0000723125-14-000195-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312515000112/0000723125-15-000112-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312516000269/0000723125-16-000269-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312517000131/0000723125-17-000131-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312518000092/0000723125-18-000092-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312519000094/0000723125-19-000094-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312520000082/0000723125-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312521000065/0000723125-21-000065-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,106100000,4900000,5100000,6600000,104100000,401000000,844100000,594000000,332000000,-234000000,-69000000,1504200000,-625000000,-907000000,-1273000000,157000000,188000000,408000000,-320000000,-1619000000,-1835000000,1850000000,167000000,-1032000000,1190000000,3045000000,2899000000,-276000000,5089000000,14135000000,6313000000,2687000000,5861000000
