,https://roic.ai/company/BIO-B,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.21,0.28,0.34,0.41,0.45,0.46,0.34,0.66,0.12,0.64,1.03,1.06,0.67,0.99,0.48,1.27,1.79,2.70,3.00,2.65,3.13,3.92,3.49,3.32,5.28,6.70,6.36,5.98,2.72,3.08,3.87,0.96,3.87,12.10,58.93,127.86,142.63
26,EPS Diluted,0.21,0.28,0.34,0.41,0.45,0.46,0.34,0.66,0.12,0.64,1.03,1.06,0.66,0.98,0.48,1.26,1.74,2.61,2.90,2.58,3.06,3.83,3.41,3.25,5.20,6.59,6.26,5.91,2.69,3.05,3.85,0.95,3.82,11.94,58.27,126.20,140.78
27,Weighted Average Shares Outstanding,20000000,21785714,22647059,22891566,22696629,23516484,23768116,23816794,24347826,24225000,24411000,24546000,24520000,24528000,24220000,24422000,24648000,25104000,25416000,25724000,26063000,26376000,26684000,27001000,27404000,27665000,28031000,28290000,28586000,28876000,29186000,29440000,29655000,29836000,29843000,29768000,29768000
28,Weighted Average Shares Outstanding Diluted,20000000,21785714,22647059,22891566,22696629,23516484,23768116,23816794,24347826,24255319,24411000,24947368,24788000,24716000,24330000,24568000,25442000,26021000,26310000,26489000,26662000,26949000,27260000,27527000,27828000,28151000,28468000,28642000,28906000,29133000,29409000,29646000,30034000,30228000,30184000,30160000,30160000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12208/000001220812000008/0000012208-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220813000007/0000012208-13-000007-index.htm,- -,https://www.sec.gov/Archives/edgar/data/12208/000001220815000012/0000012208-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220816000053/0000012208-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220817000012/0000012208-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000119312518134929/0001193125-18-134929-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220819000014/0000012208-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220820000012/0000012208-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220821000012/0000012208-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220822000011/0000012208-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27733000,148642000,195734000,296716000,223607000,161764000,204524000,649938000,906551000,574231000,463388000,331551000,413251000,457549000,456264000,383824000,431526000,660672000000,662205000,470783000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165899000,116343000,264473000,61977000,38950000,94876000,118636000,238884000,457685000,277369000,284384000,328718000,383176000,371154000,413270000,453973000000,328913000,399135000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27733000,148642000,361633000,413059000,488080000,223741000,243474000,744814000,1025187000,813115000,921073000,608920000,697635000,786267000,839440000,754978000,844796000,1114645000000,991118000,869918000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212282000,234085000,261243000,247192000,292970000,358076000,339653000,345734000,387996000,398674000,398739000,422660000,377640000,391485000,372348000,464847000,392443000,392672000000,419424000,423537000
