,https://roic.ai/company/TTGT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-769000,-533000,-3292000,8886000,7173000,8166000,1764000,-5116000,-1182000,4689000,4024000,-1837000,4081000,7186000,2419000,6803000,12955000,16875000,17068000,949000
24,Net Income ratio,-0.0290,-0.0164,-0.0705,0.1331,0.0908,0.0863,0.0169,-0.0591,-0.0124,0.0444,0.0402,-0.0208,0.0384,0.0643,0.0227,0.0627,0.1068,0.1260,0.1150,0.0036
25,EPS,-0.55,-0.51,-0.33,-0.06,-0.46,0.15,0.04,-0.12,-0.03,0.12,0.10,-0.05,0.12,0.22,0.08,0.25,0.47,0.61,0.61,0.03
26,EPS Diluted,-0.55,-0.51,-0.33,-0.06,-0.46,0.13,0.04,-0.12,-0.03,0.12,0.10,-0.05,0.12,0.21,0.08,0.24,0.45,0.60,0.61,0.03
27,Weighted Average Shares Outstanding,7686000,7901256,30377878,29482720,7824374,28384303,41424920,41864789,42771000,38532000,40211000,37886000,33010000,32963000,29954000,27550000,27738000,27873000,27855000,27855000
28,Weighted Average Shares Outstanding Diluted,7686000,7901256,30377878,29482720,31153758,31346738,43439619,41864789,42771000,40210000,40910000,37886000,34641000,34476000,30774000,28271000,28653000,28312000,28675000,28675000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1293282/000129328208000010/body10_k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1293282/000095012311025959/c14174e10vk.htm,https://www.sec.gov/Archives/edgar/data/1293282/000119312512117637/0001193125-12-117637-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000119312513112734/0001193125-13-112734-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000119312514101991/d651252d10k.htm,https://www.sec.gov/Archives/edgar/data/1293282/000119312515090866/d851680d10k.htm,https://www.sec.gov/Archives/edgar/data/1293282/000119312516501216/0001193125-16-501216-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000119312517078368/0001193125-17-078368-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459018005332/0001564590-18-005332-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459019007403/0001564590-19-007403-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459020011181/0001564590-20-011181-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459021009906/0001564590-21-009906-index.htm,https://www.sec.gov/Archives/edgar/data/1293282/000095017022002322/0000950170-22-002322-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7860000,- -,7214000,46879000,30830000,10693000,24130000,20884000,32584000,25786000,48409000,15412000,19275000,14783000,18485000,25966000,34673000,52487000,82616000,361623000
32,Short-Term Investments,- -,- -,33000000,- -,- -,51308000,42863000,50496000,17550000,30684000,6610000,14401000,5480000,10646000,10988000,7650000,500000,5012000,84000,20076000
33,Cash and Short-Term Investments,7860000,- -,40214000,46879000,30830000,62001000,66993000,71380000,50134000,56470000,55019000,29813000,24755000,25429000,29473000,33616000,35173000,57499000,82700000,381699000
34,Net Receivables,- -,- -,9620000,8817000,12096000,15198000,17622000,15816000,24678000,26272000,24185000,22116000,23200000,26549000,22551000,29601000,30042000,27102000,40183000,51095000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,613000,2878000,2736000,4909000,9210000,5135000,1750000,3069000,2289000,6071000,5516000,9815000,5913000,4391000,4903000,2830000,4880000,5317000
37,Total Current Assets,- -,- -,50447000,58574000,45662000,82108000,93825000,92331000,76562000,85811000,81493000,58000000,53471000,61793000,57937000,67608000,70118000,87431000,127763000,438111000
38,PP&E,- -,- -,2132000,2401000,2520000,4401000,3904000,3760000,6235000,7942000,8817000,9457000,9215000,8922000,9232000,9786000,10901000,38756000,39692000,42059000
39,Goodwill,- -,- -,29362000,26535000,36190000,88326000,88958000,88958000,92382000,92519000,93792000,94171000,93979000,93701000,93469000,93793000,93687000,93639000,179118000,197073000
40,Intangible Assets,- -,- -,10866000,5915000,6066000,21939000,17242000,12528000,10469000,8277000,7043000,4958000,2995000,1448000,601000,506000,849000,710000,108872000,110390000
41,Intangible Assets,- -,- -,40228000,32450000,42256000,110265000,106200000,101486000,102851000,100796000,100835000,99129000,96974000,95149000,94070000,94299000,94536000,94349000,287990000,307463000
42,Investments,- -,- -,- -,- -,- -,- -,2575000,11177000,- -,6751000,21321000,3959000,13428000,9262000,7801000,496000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,1563000,1355000,2910000,3369000,5182000,7985000,9743000,7457000,5873000,3230000,1893000,139000,98000,55000,136000,216000,474000
44,Other Non-Current Assets,- -,- -,113000,172000,854000,203000,139000,127000,125000,204000,269000,564000,1166000,840000,898000,882000,853000,936000,907000,893000
45,Total Non-Current Assets,- -,- -,42473000,36586000,46985000,117779000,116187000,121732000,117196000,125436000,138699000,118982000,124013000,116066000,112140000,105561000,106345000,134177000,328805000,350889000
46,Other Assets,12687000,15692000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12687000,15692000,92920000,95160000,92647000,199887000,210012000,214063000,193758000,211247000,220192000,176982000,177484000,177859000,170077000,173169000,176463000,221608000,456568000,789000000
48,Accounts Payable,- -,- -,2465000,3669000,2928000,2919000,3404000,3106000,3797000,2941000,2907000,2686000,2733000,1807000,2100000,1542000,1871000,2036000,4303000,3783000
49,Short-Term Debt,- -,- -,3000000,3000000,3000000,3000000,3000000,- -,- -,- -,- -,- -,- -,- -,6157000,9888000,1241000,3812000,3611000,4073000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,398000,226000,1287000,1186000,- -,1088000,516000,122000,218000,176000,65000,487000,474000
51,Deferred Revenue,- -,- -,5863000,2962000,2544000,3761000,8749000,8402000,6603000,5610000,5985000,7097000,6940000,7595000,6079000,7598000,5573000,4335000,15689000,30492000
52,Other Current Liabilities,- -,- -,6082000,3695000,6080000,6104000,3610000,4116000,4386000,6589000,5954000,4475000,6850000,5629000,3612000,4958000,5868000,6220000,22815000,31652000
53,Total Current Liabilities,- -,- -,17410000,13326000,14552000,15784000,18763000,15624000,14786000,15140000,14846000,14258000,16523000,15031000,17948000,23986000,14553000,16403000,46418000,70000000
54,Long-Term Debt,- -,- -,22000000,19000000,6000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,32286000,22339000,23714000,22473000,153882000,477215000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2060000,702000,745000,473000,582000,200000,838000,662000,1611000,23848000,16249000
57,Other Non-Current Liabilities,- -,- -,115814000,126557000,137321000,455000,312000,575000,5112000,4372000,5330000,4917000,4642000,2245000,2080000,5259000,4949000,28170000,29914000,2779000
58,Total Non-Current Liabilities,- -,- -,137814000,145557000,143321000,3455000,312000,575000,5112000,6432000,6032000,5662000,5115000,2827000,34566000,28436000,29325000,52254000,207644000,496243000
59,Other Liabilities,40558000,87915000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30741000,30554000,28094000
61,Total Liabilities,40558000,87915000,155224000,158883000,157873000,19239000,19075000,16199000,19898000,21572000,20878000,19920000,21638000,17858000,52514000,52422000,43878000,68657000,254062000,566243000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,32000,33000,8000,41000,42000,42000,43000,45000,46000,48000,50000,51000,52000,53000,54000,55000,56000,57000
64,Retained Earnings,- -,- -,-58119000,-59544000,-65283000,-29077000,-30627000,-35743000,-36925000,-32236000,-28212000,-30049000,-25968000,-18782000,-16363000,-9318000,3637000,20512000,37580000,38762000
65,Other Comprehensive Income/Loss,- -,- -,331000,336000,49000,-89000,-77000,8000,5000,-250000,-136000,199000,-87000,-322000,-248000,65000,-215000,-319000,1611000,298000
66,Other Total Stockholders Equity,- -,- -,-4548000,-4548000,- -,209773000,221599000,233557000,210737000,222116000,227616000,186864000,181851000,179054000,134122000,129947000,129109000,132703000,163259000,183640000
67,Total Stockholders Equity,-27871000,-72223000,-62304000,-63723000,-65226000,180648000,190937000,197864000,173860000,189675000,199314000,157062000,155846000,160001000,117563000,120747000,132585000,152951000,202506000,222757000
68,Total Liabilities And Stockholders Equity,12687000,15692000,92920000,95160000,92647000,199887000,210012000,214063000,193758000,211247000,220192000,176982000,177484000,177859000,170077000,173169000,176463000,221608000,456568000,789000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12687000,15692000,92920000,95160000,92647000,199887000,210012000,214063000,193758000,211247000,220192000,176982000,177484000,177859000,170077000,173169000,176463000,221608000,456568000,789000000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1293282/000129328208000010/body10_k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1293282/000095012311025959/c14174e10vk.htm,https://www.sec.gov/Archives/edgar/data/1293282/000119312512117637/0001193125-12-117637-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000119312513112734/0001193125-13-112734-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000119312514101991/d651252d10k.htm,https://www.sec.gov/Archives/edgar/data/1293282/000119312515090866/d851680d10k.htm,https://www.sec.gov/Archives/edgar/data/1293282/000119312516501216/0001193125-16-501216-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000119312517078368/0001193125-17-078368-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459018005332/0001564590-18-005332-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459019007403/0001564590-19-007403-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459020011181/0001564590-20-011181-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459021009906/0001564590-21-009906-index.htm,https://www.sec.gov/Archives/edgar/data/1293282/000095017022002322/0000950170-22-002322-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-3292000,8886000,7173000,8166000,1764000,-5116000,-1182000,4689000,4024000,-1837000,4081000,7186000,2419000,6803000,12955000,16875000,17068000,949000
74,Depreciation and Amortization,- -,- -,2472000,6964000,6173000,6350000,7712000,6933000,6912000,6735000,6630000,6046000,5822000,5364000,4893000,4636000,4548000,4999000,6937000,20450000
75,Deferred Income Tax,- -,- -,- -,-2995000,174000,-921000,1746000,-1253000,-1748000,-1374000,231000,1554000,-104000,1748000,1125000,895000,-137000,-1097000,-203000,2849000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,8671000,12623000,11001000,7469000,5267000,5585000,7332000,6624000,6852000,6912000,9113000,14217000,16809000,38550000
77,Change in Working Capital,- -,- -,1333000,12211000,-14138000,35214000,8738000,1645000,-14931000,8895000,-4024000,-22905000,-6794000,9814000,-6773000,3633000,11943000,15463000,10317000,-4410000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-2871000,1595000,-7523000,-1661000,1860000,1496000,-1845000,-4180000,3107000,-7855000,-1548000,2601000,97000,-11634000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,476000,-296000,648000,-853000,-144000,-239000,56000,-921000,299000,-810000,332000,164000,1222000,-517000
81,Other Working Capital,- -,- -,33037000,45248000,31110000,66324000,75062000,76707000,61776000,70671000,66647000,43742000,36948000,46762000,39989000,43622000,55565000,71028000,81345000,16556000
82,Other Non-Cash Items,- -,- -,6359000,-13731000,12957000,-35507000,-18066000,4901000,12827000,-10556000,6508000,19832000,7880000,-19473000,9647000,-4230000,-14545000,-11008000,1525000,23311000
83,Cash Provided by Operating Activities,- -,- -,6872000,11335000,12339000,13302000,10565000,19733000,12879000,15858000,18636000,8275000,18217000,11263000,18163000,18649000,23877000,39449000,52453000,81699000
84,CAPEX,- -,- -,-1756000,-2141000,-1263000,-3722000,-2037000,-2075000,-4805000,-4481000,-4150000,-4477000,-3847000,-3699000,-4410000,-4137000,-5538000,-6335000,-6660000,-12631000
85,Acquisitions Net,- -,- -,-36725000,- -,-15017000,-64162000,-1184000,- -,-4951000,-2049000,-1117000,- -,- -,- -,- -,- -,-370000,- -,-174018000,-24346000
86,Purchases of Investments,- -,- -,-66000000,- -,- -,-354729000,-77217000,-59868000,-43486000,-38211000,-21373000,-16433000,-15101000,-7891000,-9766000,-500000,- -,-5012000,-111000,-20007000
87,Sales/Maturities of Investments,- -,- -,33000000,33000000,- -,303421000,83266000,41961000,86054000,17370000,29954000,25555000,14215000,6657000,10560000,10900000,7600000,500000,5042000,- -
88,Other Investing Activites,- -,- -,- -,233000,- -,- -,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-71481000,31092000,-16280000,-119192000,2778000,-19982000,32812000,-27371000,3314000,4645000,-4733000,-4933000,-3616000,6263000,1692000,-10847000,-175747000,-56984000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-3000000,-3000000,- -,- -,- -,- -,- -,- -,-11250000,-6250000,-32500000,-1250000,-23750000,-147149000
91,Common Stock Issued,- -,- -,85216000,238000,892000,85627000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-43689000,- -,- -,- -,- -,- -,-35343000,- -,-467000,-47912000,-14989000,-15098000,-48782000,-8085000,-7089000,-7067000,-14824000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,22308000,-3000000,-13000000,126000,3094000,3000,1352000,4871000,1119000,1926000,5454000,4293000,49102000,-3051000,22811000,-2404000,191940000,401608000
95,Cash Used/Provided by Financing Activities,- -,- -,63835000,-2762000,-12108000,85753000,94000,-2997000,-33991000,4871000,652000,-45986000,-9535000,-10805000,-10930000,-17386000,-16778000,-10721000,153366000,254459000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156000,21000,69000,-86000,-17000,85000,-45000,-84000,-67000,57000,-167000
97,Net Change In Cash,- -,- -,-774000,39665000,-16049000,-20137000,13437000,-3246000,11700000,-6798000,22623000,-32997000,3863000,-4492000,3702000,7481000,8707000,17814000,30129000,279007000
98,Cash at the End of Period,- -,- -,7214000,46879000,30830000,10693000,24130000,20884000,32584000,25786000,48409000,15412000,19275000,14783000,18485000,25966000,34673000,52487000,82616000,361623000
99,Cash at the Beginning of Period,- -,- -,7988000,7214000,46879000,30830000,10693000,24130000,20884000,32584000,25786000,48409000,15412000,19275000,14783000,18485000,25966000,34673000,52487000,82616000
100,Free Cash Flow,- -,- -,5116000,9194000,11076000,9580000,8528000,17658000,8074000,11377000,14486000,3798000,14370000,7564000,13753000,14512000,18339000,33114000,45793000,69068000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1293282/000129328208000010/body10_k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1293282/000095012311025959/c14174e10vk.htm,https://www.sec.gov/Archives/edgar/data/1293282/000119312512117637/0001193125-12-117637-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000119312513112734/0001193125-13-112734-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000119312514101991/d651252d10k.htm,https://www.sec.gov/Archives/edgar/data/1293282/000119312515090866/d851680d10k.htm,https://www.sec.gov/Archives/edgar/data/1293282/000119312516501216/0001193125-16-501216-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000119312517078368/0001193125-17-078368-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459018005332/0001564590-18-005332-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459019007403/0001564590-19-007403-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459020011181/0001564590-20-011181-index.html,https://www.sec.gov/Archives/edgar/data/1293282/000156459021009906/0001564590-21-009906-index.htm,https://www.sec.gov/Archives/edgar/data/1293282/000095017022002322/0000950170-22-002322-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
