,https://roic.ai/company/BRT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,-900000,-3700000,4100000,3028000,741000,2142000,7369000,3821000,5904000,5256000,7683000,10709000,8806000,11226000,14207000,19849000,21196000,2978000,-7427000,-5714000,1442000,-7484000,766000,-4835000,8407000,10080000,13091000,38588000,8648000,-1755000,-529000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1663000,-7762000,-1861000,-854000,-631000,-329000,-1264000,-1076000,-313000,-444000,-985000,-2005000,-244000,-106000,-3914000,-4721000,-4120000,-6026000,-132882000,-33860000,-43130000,-59407000,-46844000,-9298000,-16769000,-1580000,-887000,-1308000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1350000,- -,-4045000,4206000,5522000,- -,-4679000,19242000,-21894000,-5172000,-30385000,-13700000,-107447000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3700000,-347000,- -,-20626000,- -,- -,-2034000,- -,-1000000,- -,-49000,-67103000,-18005000,-21578000,-131310000,-100241000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,820000,18000,3667000,3463000,1315000,723000,4311000,8047000,3384000,1059000,- -,24597000,87660000,26986000,45416000,122274000,128697000,1318000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,1700000,6400000,7100000,35539000,34320000,15380000,18400000,5276000,11835000,3845000,-21990000,-19395000,18908000,-66606000,-56277000,-89274000,24020000,34628000,7687000,12456000,1766000,-50894000,2170000,-219324000,21586000,147603000,173371000,-45672000,53321000,18536000,85349000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,1700000,6400000,7400000,33876000,26558000,14339000,13864000,7965000,14969000,-16730000,-22343000,-15397000,24477000,-64207000,-58223000,-89518000,48462000,55185000,18018000,36294000,-13736000,-136614000,-176443000,-219324000,-67388000,-135783000,-76877000,-50844000,22936000,4836000,-22098000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,3700000,-9800000,-12200000,-32096000,-46602000,-26079000,-14859000,-3068000,-6065000,-1084000,-134000,-9915000,-14745000,-130071000,-158839000,-224468000,-266464000,-83000000,-17402000,-105000,-5270000,-11141000,-7025000,-1577000,-40756000,-135171000,-101485000,-89856000,-38747000,-8041000,-50293000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1408000,2400000,10412000,- -,22000,954000,366000,813000,711000,537000,453000,77114000,6971000,- -,- -,- -,- -,- -,- -,- -,- -,- -,20411000,7517000,12077000,9624000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2400000,-10400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-769000,-16508000,-1624000,-1225000,-880000,- -,- -,-2422000,-2115000,-193000,-41000,-46000,-616000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3226000,-7681000,-7035000,-12714000,-14999000,-16438000,-22924000,-28633000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11463000,-13468000,-15116000,-15769000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,-200000,-200000,-5596000,25514000,7014000,-2431000,-4933000,- -,- -,4951000,22500000,4690000,179107000,217280000,312806000,151326000,65930000,13262000,3938000,4317000,190339000,164727000,192012000,94534000,274832000,150448000,108182000,13859000,4882000,89301000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,2500000,-10000000,-12400000,-37692000,-21088000,-17657000,-17290000,-7989000,-6065000,-1062000,2545000,5270000,-16277000,37033000,43979000,72353000,-60948000,-39501000,-20648000,2209000,-2178000,178318000,157702000,190435000,51356000,137546000,48770000,27233000,-30885000,-6814000,32863000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,2500000,-10000000,-12400000,-788000,6211000,-1176000,3943000,3797000,14808000,-12536000,-12115000,582000,17006000,-15948000,-37000,2684000,8710000,18662000,-10057000,32789000,-14472000,34220000,-17975000,-33724000,-7625000,11843000,-15016000,14977000,699000,-3733000,10236000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1174000,7385000,6209000,10152000,13949000,28757000,16221000,4106000,4688000,21694000,5746000,5709000,8393000,17103000,35765000,25708000,58497000,44025000,78245000,60270000,23181000,15556000,27399000,12383000,27360000,32418000,28685000,38921000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,8900000,12200000,2900000,1962000,1174000,7385000,6209000,10152000,13949000,28757000,16221000,4106000,4688000,21694000,5746000,5709000,8393000,17103000,35765000,25708000,58497000,44025000,78245000,56905000,23181000,15556000,27399000,12383000,31719000,32418000,28685000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-900000,-3700000,4100000,1365000,-7021000,281000,6515000,3190000,5575000,3992000,6607000,10396000,8362000,10241000,12202000,19605000,21090000,-936000,-12148000,-9834000,-4584000,-140366000,-33094000,-47965000,-51000000,-36764000,3793000,21819000,7068000,-2642000,-1837000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14846/000091205794004339/0000912057-94-004339-index.html,https://www.sec.gov/Archives/edgar/data/14846/000091205795011335/0000912057-95-011335-index.html,https://www.sec.gov/Archives/edgar/data/14846/000001484696000027/0000014846-96-000027-index.html,https://www.sec.gov/Archives/edgar/data/14846/000001484697000027/0000014846-97-000027-index.html,https://www.sec.gov/Archives/edgar/data/14846/000001484698000010/0000014846-98-000010-index.html,https://www.sec.gov/Archives/edgar/data/14846/000001484699000018/0000014846-99-000018-index.html,https://www.sec.gov/Archives/edgar/data/14846/000001484600000018/0000014846-00-000018-index.html,https://www.sec.gov/Archives/edgar/data/14846/000001484601500014/0000014846-01-500014-index.html,https://www.sec.gov/Archives/edgar/data/14846/000001484602000012/0000014846-02-000012-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14846/000114420407067454/0001144204-07-067454-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000114420408068870/0001144204-08-068870-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000104746909010733/0001047469-09-010733-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000104746910010374/0001047469-10-010374-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000104746911010045/0001047469-11-010045-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000104746912011213/0001047469-12-011213-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000104746913011169/0001047469-13-011169-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000104746914009874/0001047469-14-009874-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000001484615000012/0000014846-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000001484616000062/0000014846-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000001484617000051/0000014846-17-000051-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000001484618000041/0000014846-18-000041-index.htm,- -,https://www.sec.gov/Archives/edgar/data/14846/000001484621000008/0000014846-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/14846/000001484622000010/0000014846-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
