,https://roic.ai/company/DHI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,5800000,9200000,8900000,17700000,20500000,27400000,36200000,93400000,159800000,191719000,257009000,404692000,625955000,975100000,1470500000,1233300000,-712500000,-2633600000,-545300000,245100000,71800000,956300000,462700000,533500000,750700000,886300000,1038400000,1460300000,1618500000,2373700000,4175800000
24,Net Income ratio,0.0467,0.0504,0.0468,0.0450,0.0469,0.0501,0.0432,0.0429,0.0506,0.0525,0.0577,0.0601,0.0717,0.0899,0.1061,0.0819,-0.0631,-0.3963,-0.1491,0.0557,0.0197,0.2196,0.0739,0.0665,0.0694,0.0729,0.0737,0.0909,0.0920,0.1169,0.1503
25,EPS,0.01,0.02,0.01,0.03,0.05,0.24,0.28,0.48,0.70,0.85,1.13,1.51,2.11,3.14,4.71,3.94,-2.27,-8.34,-1.72,0.77,0.23,3.01,1.44,1.57,2.05,2.39,2.77,3.88,4.34,6.49,11.56
26,EPS Diluted,0.01,0.02,0.01,0.03,0.05,0.24,0.28,0.43,0.69,0.84,1.11,1.44,2.05,3.08,4.62,3.90,-2.27,-8.34,-1.72,0.77,0.23,2.77,1.33,1.50,2.03,2.36,2.74,3.81,4.29,6.41,11.41
27,Weighted Average Shares Outstanding,523883729,97134880,100794197,98955379,107606199,114042322,130197713,193717431,227455513,225585975,226766978,268891616,297358362,310286594,312208068,313020305,313876652,315700000,316900000,318100000,318300000,318100000,322100000,340500000,366300000,371000000,374300000,376600000,372600000,365500000,361100000
28,Weighted Average Shares Outstanding Diluted,523883729,97134880,100794197,98955379,107606199,114042322,130197713,217311221,232004624,227191569,230840636,282008281,305336269,316326236,318290043,316230769,313876652,315700000,316900000,318600000,318500000,359000000,364900000,366600000,369800000,375100000,378900000,383400000,377400000,370200000,365800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882184/000093066100003182/0000930661-00-003182-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095013401508934/0000950134-01-508934-index.html,https://www.sec.gov/Archives/edgar/data/882184/000093066102004301/d10k.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013403016601/d10877e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013404019034/d20584e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013405023092/d30840e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013406022931/d41553e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013407024545/0000950134-07-024545-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095013408021337/0000950134-08-021337-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095012309064812/0000950123-09-064812-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095012310106707/0000950123-10-106707-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095012311099334/0000950123-11-099334-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218412000065/0000882184-12-000065-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218413000084/0000882184-13-000084-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218414000097/0000882184-14-000097-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218415000085/0000882184-15-000085-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218416000203/0000882184-16-000203-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218417000103/0000882184-17-000103-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218418000120/0000882184-18-000120-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218419000147/0000882184-19-000147-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218420000143/0000882184-20-000143-index.htm,https://www.sec.gov/Archives/edgar/data/882184/000088218421000190/0000882184-21-000190-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14400000,8500000,19900000,11200000,16700000,32500000,44000000,76800000,128600000,72525000,239280000,104344000,582905000,518000000,1149800000,587600000,269600000,1387300000,1957300000,1309300000,732600000,1047700000,936500000,661800000,1383800000,1303200000,1007800000,1473100000,1494300000,3018500000,3210400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297700000,297600000,298000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14400000,8500000,19900000,11200000,16700000,32500000,44000000,76800000,128600000,72525000,239280000,104344000,582905000,518000000,1149800000,587600000,269600000,1387300000,1957300000,1607000000,1030200000,1345700000,936500000,661800000,1383800000,1303200000,1007800000,1473100000,1494300000,3018500000,3210400000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293100000,16000000,12400000,14400000,- -,- -,- -,- -,- -,- -,- -,224300000,321700000
35,Inventory,43300000,90400000,129000000,204000000,282900000,345300000,604600000,1358000000,1866100000,2191031000,2804377000,4343069000,5082295000,6567400000,8486800000,11343100000,9343500000,4683200000,3663000000,3449000000,3449700000,4165200000,6197400000,7700500000,7807000000,8340900000,9237100000,10395000000,11282000000,12237400000,16479100000
36,Other Current Assets,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248300000,- -,- -,55200000,53700000,49100000,758800000,77800000,10000000,9700000,9500000,9300000,32900000,19700000,2253700000,3186400000
37,Total Current Assets,57600000,98900000,148900000,215200000,299600000,377800000,648600000,1434800000,1994700000,2263556000,3043657000,4447413000,5665200000,7085400000,9636600000,12179000000,9613100000,6070500000,5968600000,5125700000,4541400000,6284100000,7211700000,8372300000,9200500000,9653600000,10254200000,11901000000,12796000000,17733900000,23197600000
38,PP&E,500000,1700000,2800000,4500000,5400000,5600000,13100000,25500000,37000000,38960000,53096000,71895000,81675000,91900000,107200000,131400000,110200000,65900000,57800000,60500000,57600000,72600000,148000000,239500000,191100000,252300000,377000000,401100000,497700000,104400000,114600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,579230000,578900000,578900000,- -,578900000,95300000,15900000,15900000,15900000,15900000,38900000,38900000,94800000,87200000,80000000,80000000,109200000,163500000,163500000,163500000
40,Intangible Assets,- -,- -,- -,2000000,3100000,4300000,28600000,56800000,112500000,115966000,136223000,- -,- -,- -,578900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17100000,4100000
41,Intangible Assets,- -,- -,- -,2000000,3100000,4300000,28600000,56800000,112500000,115966000,136223000,579230000,578900000,578900000,578900000,578900000,95300000,15900000,15900000,15900000,15900000,38900000,38900000,94800000,87200000,80000000,80000000,109200000,163500000,180600000,167600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395100000,476900000,631000000,654000000,587300000,11000000,6500000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,863800000,213500000,- -,- -,- -,- -,586600000,565000000,558100000,476300000,365000000,194000000,163100000,144900000,155300000
44,Other Non-Current Assets,1600000,3700000,7000000,9200000,10700000,15200000,29500000,150700000,217600000,276095000,419214000,918989000,953602000,1229000000,2192100000,1931400000,873900000,1343800000,714300000,736500000,743500000,852600000,476100000,454000000,483100000,442700000,521100000,1498300000,1979800000,748500000,380800000
45,Total Non-Current Assets,2100000,5400000,9800000,15700000,19200000,25100000,71200000,233000000,367100000,431021000,608533000,1570114000,1614177000,1899800000,2878200000,2641700000,1943200000,1639100000,788000000,812900000,817000000,964100000,1644700000,1830200000,1950500000,1905300000,1930400000,2213600000,2810600000,1178400000,818300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,59700000,104300000,158700000,230900000,318800000,402900000,719800000,1667800000,2361800000,2694577000,3652190000,6017527000,7279377000,8985200000,12514800000,14820700000,11556300000,7709600000,6756600000,5938600000,5358400000,7248200000,8856400000,10202500000,11151000000,11558900000,12184600000,14114600000,15606600000,18912300000,24015900000
48,Accounts Payable,5000000,12200000,21400000,27400000,29300000,34400000,55500000,259000000,368800000,375347000,508749000,848388000,1149093000,470700000,844700000,1041100000,590900000,281500000,278900000,186700000,154000000,266600000,400000000,525000000,514900000,577500000,632300000,624700000,634000000,900500000,1177000000
49,Short-Term Debt,34000000,31600000,62200000,108600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1191700000,387800000,3748400000,- -,2085300000,1588100000,2305300000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22500000,21600000,59900000,41900000,68100000,63300000,53800000,73200000,128400000,86700000,139200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93100000,193400000
52,Other Current Liabilities,- -,- -,- -,- -,169900000,- -,- -,- -,- -,- -,- -,- -,- -,888200000,1196900000,1143000000,933300000,814900000,932000000,-1128100000,-758300000,-1411500000,622200000,564000000,579800000,536600000,511100000,541600000,650900000,181700000,808200000
53,Total Current Liabilities,39000000,43800000,83600000,136000000,199200000,34400000,55500000,259000000,368800000,375347000,508749000,848388000,1149093000,1358900000,2041600000,3375800000,1912000000,4844800000,1210900000,1143900000,983800000,1160400000,1022200000,1089000000,1094700000,1114100000,1143400000,1166300000,1284900000,1175300000,2178600000
54,Long-Term Debt,- -,- -,- -,- -,- -,169900000,355300000,854600000,1190600000,1344403000,1884330000,2878331000,2963123000,3499200000,4909600000,4886900000,3989000000,- -,3277300000,2171800000,1704600000,2493100000,3509000000,3682800000,3811500000,3271300000,2871600000,3203500000,3399400000,4283300000,5449400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39300000,49500000,58900000,54200000,44900000,58100000,97800000,93100000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4200000,4600000,9200000,10300000,13500000,21000000,46200000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46500000,- -,224500000,261500000,290500000,326300000,377100000,527800000,529400000,1239100000,1171700000
58,Total Non-Current Liabilities,4200000,4600000,9200000,10300000,13500000,190900000,401500000,856000000,1190600000,1344403000,1884330000,2878331000,2963123000,3499200000,4909600000,4886900000,3989000000,- -,3277300000,2171800000,1751100000,2493100000,3772800000,3993800000,4160900000,3651800000,3293600000,3789400000,4026600000,5615500000,6621100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,37000000
61,Total Liabilities,43200000,48400000,92800000,146300000,212700000,225300000,457000000,1115000000,1559400000,1719750000,2393079000,3726719000,4112216000,4858100000,6951200000,8262700000,5901000000,4844800000,4488200000,3315700000,2734900000,3653500000,4795000000,5082800000,5255600000,4765900000,4437000000,4955700000,5311500000,6790800000,8799700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,600000,701000,769000,1465000,1574000,2400000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3300000,3300000,3700000,3800000,3800000,3800000,3900000,3900000,3900000,4000000
64,Retained Earnings,- -,6800000,4400000,10800000,14200000,17600000,51700000,247400000,400100000,468664000,544636000,923221000,1509079000,2417300000,3791300000,4887000000,3986100000,1210500000,617700000,810600000,834600000,1743100000,2145600000,2630500000,3289600000,4057200000,4946000000,6217900000,7640100000,9757800000,13644300000
65,Other Comprehensive Income/Loss,- -,-400000,-400000,-400000,-400000,-5000000,-5000000,-5000000,-5000000,-38285000,-54038000,-71812000,-2163000,-118100000,-141300000,-141300000,-141300000,-156500000,-25700000,300000,100000,200000,1900000,2200000,1400000,- -,- -,- -,-260900000,-284400000,- -
66,Other Total Stockholders Equity,16500000,49500000,61900000,74200000,92300000,165000000,216100000,310400000,406700000,543747000,767744000,1437934000,1522770000,1659100000,1707200000,1704000000,1738900000,1777100000,1664400000,1799100000,1782700000,1845500000,1907700000,2479400000,2599500000,2731500000,2797300000,2762600000,2637800000,2362700000,1238200000
67,Total Stockholders Equity,16500000,55900000,65900000,84600000,106100000,177600000,262800000,552800000,802400000,974827000,1259111000,2290808000,3031260000,3960700000,5360400000,6452900000,5586900000,2834300000,2259600000,2613200000,2620600000,3592100000,4058500000,5115800000,5894300000,6792500000,7747100000,8984400000,10020900000,11840000000,14886500000
68,Total Liabilities And Stockholders Equity,59700000,104300000,158700000,230900000,318800000,402900000,719800000,1667800000,2361800000,2694577000,3652190000,6017527000,7143476000,8818800000,12311600000,14715600000,11487900000,7679100000,6747800000,5928900000,5355500000,7245600000,8853500000,10198600000,11149900000,11558400000,12184100000,13940100000,15332400000,18630800000,23686200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135901000,166400000,203200000,105100000,68400000,30500000,8800000,9700000,2900000,2600000,2900000,3900000,1100000,500000,500000,174500000,274200000,281500000,329700000
70,Total Liabilities & Equity,59700000,104300000,158700000,230900000,318800000,402900000,719800000,1667800000,2361800000,2694577000,3652190000,6017527000,7279377000,8985200000,12514800000,14820700000,11556300000,7709600000,6756600000,5938600000,5358400000,7248200000,8856400000,10202500000,11151000000,11558900000,12184600000,14114600000,15606600000,18912300000,24015900000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882184/000093066100003182/0000930661-00-003182-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095013401508934/0000950134-01-508934-index.html,https://www.sec.gov/Archives/edgar/data/882184/000093066102004301/d10k.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013403016601/d10877e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013404019034/d20584e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013405023092/d30840e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013406022931/d41553e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013407024545/0000950134-07-024545-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095013408021337/0000950134-08-021337-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095012309064812/0000950123-09-064812-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095012310106707/0000950123-10-106707-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095012311099334/0000950123-11-099334-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218412000065/0000882184-12-000065-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218413000084/0000882184-13-000084-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218414000097/0000882184-14-000097-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218415000085/0000882184-15-000085-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218416000203/0000882184-16-000203-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218417000103/0000882184-17-000103-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218418000120/0000882184-18-000120-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218419000147/0000882184-19-000147-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218420000143/0000882184-20-000143-index.htm,https://www.sec.gov/Archives/edgar/data/882184/000088218421000190/0000882184-21-000190-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5800000,9200000,8900000,17700000,20500000,27400000,36200000,93400000,159800000,191719000,257009000,404692000,625955000,975100000,1470500000,1233300000,-712500000,-2633600000,-545300000,245100000,71800000,956300000,462700000,533500000,750700000,886300000,1038400000,1460300000,1618500000,2373700000,4175800000
74,Depreciation and Amortization,200000,300000,400000,1200000,2000000,2600000,4400000,9800000,20800000,24492000,36062000,40645000,45861000,55500000,57100000,61700000,71000000,60400000,25700000,17200000,19900000,18800000,22700000,38400000,54100000,61000000,54700000,62400000,72000000,80400000,73900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-489000000,650300000,213500000,- -,- -,-709500000,130900000,17400000,3100000,75300000,110800000,170900000,20100000,14100000,-10000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13700000,13300000,14200000,18100000,19000000,26200000,42200000,49000000,59200000,55800000,73200000,77800000,91400000
77,Change in Working Capital,1700000,10200000,13900000,21200000,243000000,249700000,582700000,450100000,262309000,646699000,1064117000,917082000,1210393000,1868500000,1208200000,-1102100000,-6475400000,3532000000,-775900000,-424200000,1566100000,1065800000,1093800000,822500000,433700000,571300000,1623900000,776400000,5047500000,4460400000,-3852000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-300000,-47100000,-38600000,-61200000,-56400000,-62400000,-145100000,-261200000,-385600000,-299931000,-333142000,-244216000,-486006000,-1411100000,-1855200000,-3109000000,737600000,2139700000,577000000,144800000,-74500000,-646400000,-2050900000,-1431800000,-89500000,-506500000,-946700000,-1056600000,-591800000,-1063500000,-3759100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139500000,115900000,60300000,52100000,83900000,129100000,126200000,566200000,845100000
81,Other Working Capital,55100000,65300000,79200000,100400000,343400000,593100000,1175800000,1625900000,1888209000,2534908000,3599025000,4516107000,5726500000,7595000000,8803200000,7701100000,1225700000,4757700000,3981800000,3557600000,5123700000,6189500000,7283300000,8105800000,8539500000,9110800000,10734700000,11511100000,16558600000,21019000000,- -
82,Other Non-Cash Items,2300000,-51800000,-42000000,-84100000,-297800000,-303600000,-706400000,-678600000,-613809000,-970458000,-1412472000,-1453016000,-1458890000,-3321600000,-3356500000,-1383700000,8961400000,270800000,2209500000,858000000,-1657100000,-1647600000,-2960200000,-2099400000,-583400000,-1024900000,-2451900000,-1980600000,-5939200000,-5584800000,55300000
83,Cash Provided by Operating Activities,10000000,-32100000,-18800000,-44000000,-32300000,-23900000,-83100000,-125300000,-170900000,-107548000,-55284000,-90597000,423319000,-422500000,-620700000,-1190800000,1355500000,1879900000,1141200000,709400000,14900000,-298100000,-1231100000,-661400000,700400000,618000000,435100000,545200000,892100000,1421600000,534400000
84,CAPEX,-600000,-1400000,-1500000,-2600000,-2400000,-2700000,-5300000,-11600000,-17300000,-15789000,-33368000,-39818000,-48668000,-55200000,-68200000,-83300000,-39800000,-6600000,-6200000,-19200000,-16300000,-33600000,-58000000,-100200000,56000000,-86100000,-157300000,222700000,46900000,-286800000,-267400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11559000,-61897000,-153761000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96500000,-9400000,-244100000,-70900000,-82200000,-4100000,-141700000,-311400000,-5400000,-24500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-328000000,-300100000,-240800000,-47500000,- -,-14800000,- -,-8800000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27700000,292500000,232800000,326800000,- -,- -,35800000,- -,7300000,- -,- -,- -
88,Other Investing Activites,3200000,- -,- -,-3500000,-4600000,-1300000,-55700000,-34000000,-5500000,-29032000,-1988000,486000,- -,- -,- -,- -,- -,- -,-53200000,1500000,4600000,-200000,-31000000,62200000,46400000,19900000,-800000,205100000,44600000,-64200000,-227700000
89,Cash Used for Investing Activites,2600000,-1400000,-1500000,-6100000,-7000000,-4000000,-61000000,-45600000,-22800000,-56380000,-97253000,-193093000,-48668000,-55200000,-68200000,-83300000,-39800000,-6600000,-59400000,-318000000,-19300000,-138300000,180900000,-282100000,-95400000,-112600000,-171000000,2600000,-394000000,-166100000,-252200000
