,https://roic.ai/company/KIRK,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
52,Other Current Liabilities,- -,18266000,20572000,13635000,22246000,24127000,25600000,30330000,28948000,22172000,23243000,20798000,26723000,25710000,27477000,35345000,41599000,36663000,15645000,21959000,13757000
53,Total Current Liabilities,- -,37200000,40567000,37100000,48300000,47400000,41400000,43831000,48100000,45900000,46500000,44000000,52600000,57380000,59495000,74441000,96940000,86536000,141440000,137600000,134614000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195736000,148976000,111021000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38976000,- -,48280000,52656000,53303000,51871000,- -,- -,- -
56,Deferred Tax Liabilities,- -,2279000,230000,- -,- -,- -,- -,- -,4395000,1440000,1108000,3128000,3337000,4138000,4671000,479000,- -,1703000,- -,- -,- -
57,Other Non-Current Liabilities,- -,421000,3102000,27900000,31900000,36100000,38200000,30582000,24605000,29460000,37292000,44272000,5287000,47907000,3115000,8757000,8193000,6238000,8311000,5614000,4428000
58,Total Non-Current Liabilities,- -,2700000,3332000,27900000,31900000,36100000,38200000,30582000,29000000,30900000,38400000,47400000,47600000,52045000,56066000,61892000,61496000,59812000,204047000,154590000,115449000
59,Other Liabilities,217767000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248890000,193949000,152289000
61,Total Liabilities,217767000,39900000,43899000,65000000,80200000,83500000,79600000,74413000,77100000,76800000,84900000,91400000,100200000,109425000,115561000,136333000,158436000,146348000,345487000,292190000,250063000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,135800000,138149000,138600000,139000000,140800000,141300000,- -,143400000,146700000,150400000,153400000,156200000,159015000,162173000,165245000,167501000,169477000,172885000,174391000,175856000
64,Retained Earnings,- -,-96400000,-78299000,-72900000,-72600000,-72800000,-98800000,-89459000,-54900000,-28500000,-32700000,-35500000,-21000000,-7953000,-42478000,-31432000,-26740000,-38677000,-95930000,-79469000,-94730000
65,Other Comprehensive Income/Loss,- -,-225000,-620000,-619000,-65100000,-74400000,-75000000,-83383000,-86800000,-94400000,-92100000,-94400000,-102900000,-116467000,-134478000,-154901000,-174383000,-196697000,-223017000,- -,- -
66,Other Total Stockholders Equity,- -,-18000,- -,39000,65108000,74382000,75070000,225193000,86785000,94489000,92062000,94375000,102929000,116467000,134478000,154901000,174383000,196697000,223017000,- -,- -
67,Total Stockholders Equity,-113167000,39157000,59230000,65120000,66408000,67982000,42570000,52351000,88485000,118289000,117662000,117875000,135229000,151062000,119695000,133813000,140761000,130800000,76955000,94922000,81126000
68,Total Liabilities And Stockholders Equity,104600000,79057000,103129000,130120000,146608000,151482000,122170000,126764000,165585000,195089000,202562000,209275000,235429000,260487000,235256000,270146000,299197000,277148000,422442000,387112000,331189000
69,Minority Interest,- -,43000,- -,-20000,-8000,18000,-70000,- -,-85000,11000,38000,-75000,-29000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,104600000,79100000,103129000,130100000,146600000,151500000,122100000,126764000,165500000,195100000,202600000,209200000,235400000,260487000,235256000,270146000,299197000,277148000,422442000,387112000,331189000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1056285/000095014403005956/0000950144-03-005956-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095014404003912/0000950144-04-003912-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095014405003877/g93701e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056285/000095014406003444/g00736e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056285/000095014407004136/0000950144-07-004136-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095014408003474/0000950144-08-003474-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095014409003336/0000950144-09-003336-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095012310035197/0000950123-10-035197-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095012311035677/0000950123-11-035677-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000119312512160837/d326034d10k.htm,https://www.sec.gov/Archives/edgar/data/1056285/000119312513160519/0001193125-13-160519-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000119312514147510/0001193125-14-147510-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000119312515129317/0001193125-15-129317-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000119312516535625/0001193125-16-535625-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000119312517106527/0001193125-17-106527-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000105628518000026/0001056285-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000105628519000017/0001056285-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000105628520000026/0001056285-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000156459021015837/0001564590-21-015837-index.htm,https://www.sec.gov/Archives/edgar/data/1056285/000156459022011815/0001564590-22-011815-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,15900000,18143000,6600000,200000,-100000,-25900000,9305000,34600000,26400000,19100000,13800000,14500000,17814000,16573000,11046000,5296000,3780000,-53265000,16639000,22026000
74,Depreciation and Amortization,- -,7687000,7688000,12202000,15319000,18084000,20391000,18741000,14505000,12817000,12410000,13175000,15947000,18639000,22182000,25322000,27150000,29453000,27720000,23256000,20431000
75,Deferred Income Tax,- -,-1230000,2030000,3450000,-1215000,-856000,960000,-4510000,-3118000,2979000,2203000,4291000,-966000,40000,742000,-2242000,-1497000,513000,178000,1525000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1323000,2667000,3113000,2712000,2830000,2772000,3773000,3194000,2134000,2015000,3254000,1171000,1667000
77,Change in Working Capital,- -,-7220000,15313000,-213000,-3100000,6300000,-14300000,20991000,38109000,25200000,-7400000,-8200000,15500000,9249000,-41664000,10314000,1860000,-9054000,-5310000,26405000,-75949000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-6709000,-2102000,4501000,-12107000,4390000,3544000,2560000,-669000,-5097000,-2854000,-2271000,-3060000,-3138000,-12447000,-7225000,-8064000,-3179000,-10240000,32591000,-51946000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,2088000,4647000,1356000,50000,1460000,1603000,2221000,10422000,14159000,-3800000,10762000,-2883000,6455000
81,Other Working Capital,- -,12500000,27813000,27600000,24500000,30800000,16500000,37491000,75600000,100800000,93400000,85200000,100700000,109949000,68285000,78599000,80459000,71405000,-11349000,-10411000,-21866000
82,Other Non-Cash Items,- -,3572000,-14203000,8300000,8967000,6055000,13970000,-14965000,-35447000,-33363000,12339000,6569000,-8598000,-4026000,30435000,4214000,10182000,-4386000,19154000,9567000,1040000
83,Cash Provided by Operating Activities,- -,18709000,28971000,30339000,20171000,29483000,-4879000,29562000,49972000,36700000,41765000,32347000,39213000,44488000,32041000,51848000,45125000,22321000,-8269000,78563000,-30785000
84,CAPEX,- -,-8406000,-15816000,-30025000,-24116000,-19505000,-14835000,-2740000,-10313000,-22633000,-26652000,-31373000,-17954000,-29647000,-35114000,-32180000,-28424000,-28775000,-15680000,-8698000,-7128000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,15000,25000,4000,33000,61000,73000,3700000,-10246000,-22596000,-26652000,-31373000,-17954000,-29647000,-35114000,-32176000,-28424000,-28775000,-15680000,-8489000,-7060000
89,Cash Used for Investing Activites,- -,-8391000,-15791000,-30021000,-24083000,-19444000,-14762000,960000,-10246000,-22596000,-26652000,-31373000,-17954000,-29647000,-35114000,-32176000,-28424000,-28775000,-15680000,-8489000,-7060000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,-40000000,- -
91,Common Stock Issued,- -,66621000,394000,259000,361000,351000,171000,103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-34054000,- -,- -,- -,- -,- -,- -,- -,- -,-23378000,-16622000,- -,-4803000,-25196000,- -,-604000,-15717000,-3657000,-178000,-37287000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25951000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-68392000,-395000,-88000,607000,- -,-68000,- -,241000,706000,166000,322000,-6000,50000,-566000,-87000,122000,-39000,24792000,40309000,-202000
95,Cash Used/Provided by Financing Activities,- -,-35825000,-1000,171000,968000,351000,103000,103000,241000,706000,-23212000,-16300000,-6000,-4753000,-51713000,-87000,-482000,-15756000,-3865000,131000,-37489000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-25507000,13179000,489000,-2944000,10390000,-19538000,30625000,39967000,14810000,-8099000,-15326000,21253000,10088000,-54786000,19585000,16219000,-22210000,-27814000,70205000,-75334000
98,Cash at the End of Period,- -,4244000,17423000,17912000,14968000,25358000,5820000,36445000,76412000,91222000,83123000,67797000,89050000,99138000,44352000,63937000,80156000,57946000,30132000,100337000,25003000
99,Cash at the Beginning of Period,- -,29751000,4244000,17423000,17912000,14968000,25358000,5820000,36445000,76412000,91222000,83123000,67797000,89050000,99138000,44352000,63937000,80156000,57946000,30132000,100337000
100,Free Cash Flow,- -,10303000,13155000,314000,-3945000,9978000,-19714000,26822000,39659000,14067000,15113000,974000,21259000,14841000,-3073000,19668000,16701000,-6454000,-23949000,69865000,-37913000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1056285/000095014403005956/0000950144-03-005956-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095014404003912/0000950144-04-003912-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095014405003877/g93701e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056285/000095014406003444/g00736e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056285/000095014407004136/0000950144-07-004136-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095014408003474/0000950144-08-003474-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095014409003336/0000950144-09-003336-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095012310035197/0000950123-10-035197-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000095012311035677/0000950123-11-035677-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000119312512160837/d326034d10k.htm,https://www.sec.gov/Archives/edgar/data/1056285/000119312513160519/0001193125-13-160519-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000119312514147510/0001193125-14-147510-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000119312515129317/0001193125-15-129317-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000119312516535625/0001193125-16-535625-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000119312517106527/0001193125-17-106527-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000105628518000026/0001056285-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000105628519000017/0001056285-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000105628520000026/0001056285-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1056285/000156459021015837/0001564590-21-015837-index.htm,https://www.sec.gov/Archives/edgar/data/1056285/000156459022011815/0001564590-22-011815-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
