,https://roic.ai/company/CRH,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405349000,488986000,464000000,178188601,94561293,49208671,37586676,40997699,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,355000000,698208572,721365327,619018346,945462842,1163591819,924809475,1504982621,1948527546,2181426266,1572732005,2034144542,1304239000,1610320000,1631846000,1791323000,1764717000,1942878000,1933000000,1290475262,2060289988,2350046549,1716026181,2379189039,3507415283,3966632618,2752935517,2575617349,2537370732,2683596431,4206246079,7721000000,5783000000
34,Net Receivables,254341693,283434900,273442260,280208430,321829011,387261954,385119558,610396159,- -,904501728,- -,1539956886,1599078918,1439301086,1577242135,1725624579,2324434400,2990597884,3203698770,3096000000,2454000000,2531000000,- -,2592000000,2516000000,2659000000,3982000000,3983000000,3795000000,- -,- -,- -,- -
35,Inventory,158500000,249051610,238449976,199963149,219115511,362075611,404886118,570629405,693530554,955594332,1071405177,1348725317,893172000,1117519000,1405047000,1692708000,2038697000,2687641000,3251000000,3442659465,2876955699,2908631467,2962866956,3170047875,3112485846,2748188141,3141057879,3090951159,3257192216,3501487074,3071511784,3117000000,3611000000
36,Other Current Assets,47558307,137380125,117408475,35924620,55212066,222855109,220274595,386694722,1284500837,598691704,1751163401,753775174,-90107918,162826914,536361865,753022421,642718600,1202406116,1481301230,1227857783,1179446043,853758612,3492968699,1116307985,1017651855,1238319909,397769532,230116823,2132729923,4694577900,4248812618,4139000000,4650000000
37,Total Current Assets,815400000,1368075207,1350666039,1135114545,1541619431,2135784493,1935089746,3072702907,3926558938,4640214030,4395300582,5676601919,3706382000,4329967000,5150497000,5962678000,6770567000,8823523000,9869000000,9056992511,8570691730,8643436627,8171861837,9257544899,10153552984,10612140668,10273762928,9879685331,11722292871,10879661405,11526570481,14977000000,14044000000
38,PP&E,633700000,851244979,795167555,681081718,836486746,1260914090,1383237746,2115725176,2510837308,3797164998,5218388689,6797258955,4590641000,5256121000,6468797000,7206337000,8075612000,9871444000,12012000000,12372971017,12228494470,11826040697,11581880630,11172534187,10410395206,9025244419,14280716332,13346093980,15708904192,18029055136,19517877946,19317000000,19502000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3750344000,- -,- -,- -,- -,- -,5607427196,5156176641,4885938032,8096997792,7778385428,8283945581,9283916724,9066672641,9032000000,9451000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,229396921,1017860670,1425796897,1028115000,1212151000,1853741000,1955365000,2665834000,164183000,5391000000,5718740429,5867098401,5725495412,5816862161,272436321,244414372,188481930,452627206,383871103,370708064,362617250,380858500,341000000,397000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,229396921,1017860670,1425796897,1028115000,1212151000,1853741000,1955365000,2665834000,3914527000,5391000000,5718740429,5867098401,5725495412,5816862161,5879863517,5400591013,5074419962,8549624997,8162256531,8654653646,9646533974,9447531141,9373000000,9848000000
42,Investments,- -,38832666,66809953,66971621,50678140,97338117,166656360,190812938,206381776,74693878,93663867,107540413,459700909,- -,- -,- -,229151733,162013734,187999694,743000000,962000000,1037000000,1500874862,871000000,1363000000,1352000000,1345000000,1325000000,1273000000,- -,- -,609000000,- -
43,Tax Assets,- -,698208572,721365327,619018346,945462842,1163591819,924809475,1504982621,1948527546,2181426266,1572732005,2034144542,2389634306,2353375726,1840447613,335300123,552103000,645646000,491000000,463568784,482835693,512036175,375866762,260533764,147753321,207938129,162902062,167220563,113971735,81217113,75051528,129000000,109000000
44,Other Non-Current Assets,46900000,-685172161,-703024869,-606151842,-929381398,-1146734141,-908833163,-1477749825,-1937481747,-2168813046,-1558659143,-1986348803,-2567863215,-2064752726,-1402061613,616170877,704984267,794577266,945000306,1047238606,949284314,798350446,272179379,553339408,734544809,501202977,381324536,347205629,477365909,1598032487,1226588404,539000000,1167000000
45,Total Non-Current Assets,680600000,903114057,880317966,760919843,903246332,1375109885,1565870418,2333770911,2728264884,4113869018,6343986088,8378392003,5900228000,6756895000,8760924000,10113173000,12227685000,15388208000,19027000000,20345518835,20489712878,19898922729,19547663794,18737270876,18056284349,16160805487,24719567927,23347776703,26227895482,29354838710,30267049019,29967000000,30626000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1496000000,2271189264,2230984005,1896034388,2444865762,3510894378,3500960164,5406473818,6654823821,8754083048,10739286670,14054993923,9606610000,11086862000,13911421000,16075851000,18998252000,24211731000,28896000000,29402511346,29060404608,28542359356,27719525630,27994815775,28209837333,26772946155,34993330855,33227462034,37950188353,40234500114,41793619500,44944000000,44670000000
48,Accounts Payable,- -,221317283,212526714,168556567,206390450,322954958,326479433,528035672,634575415,801723860,886824382,1168448021,702790000,782368000,1031155000,2218835000,1425762000,1846664000,2154000000,4063535373,3540317497,3572283548,3704231741,1999629698,2064403877,1831314753,2756215424,2661856884,2764114500,2805994052,2466618873,2164000000,2727000000
49,Short-Term Debt,138600000,201435813,150667203,140519110,188979498,619552165,332034196,201645166,217782923,313552479,420604271,1600399161,448770000,244510000,641549000,558095000,689152000,851799000,832000000,1421332517,545876555,885756085,672671894,894014336,1327018145,543557566,826536637,289217955,379105982,706932052,1216506855,1553000000,846000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45433300,110455327,284499520,271499342,216000296,243999518,186000520,- -,264662854,260514549,239373661,208511696,187265918,438414274,414370451,549463733,506749028,563446545,619000000,550000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,686000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,343400000,253185464,237160820,213973405,266044317,470433497,498540670,602392640,825452032,806375911,952342526,1107213295,772578000,804635000,1084210000,267804000,1699743000,2354259000,2827000000,534565804,458478996,514696103,430302638,1464395429,2179016267,2327447833,3380491111,3251861512,4092185138,3440860215,3463572005,3748000000,4008000000
53,Total Current Liabilities,482000000,675938560,600354737,523049082,661414265,1412940620,1157054299,1332073478,1677810370,1921652251,2259771179,3876060478,1924138000,1831513000,2756914000,3044734000,3814657000,5052722000,5813000000,6019433694,4544673047,4972735736,4807206273,5044039464,5570438289,4702320152,6963243172,6202936351,7235405619,6953786319,7146697733,7465000000,7581000000
54,Long-Term Debt,408100000,851749926,839141015,724134802,855009763,804985042,888295831,2060638573,2499703923,3078759420,3852561563,4346695937,2543325000,3161718000,3892040000,4539400000,5354746000,7011965000,8657000000,8948408831,7082067740,6244181407,5784459854,5606104690,6323013615,6589571477,9254805064,7903537924,9189720949,9949668268,10573304060,10958000000,11312000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4100000,7574193,8597715,7874944,17389208,25570173,30296387,68335412,136731180,140756297,226801980,396703208,311509000,502464000,610496000,715635000,1401856000,1717324000,1916000000,2033855834,2176342484,2251629206,1933769684,1720580845,1610096937,1586896250,2211750815,2111816920,1998704321,2526881720,2618962273,2613000000,2734000000
57,Other Non-Current Liabilities,44000000,63160177,77035129,75767215,49472886,62532510,63899252,113736668,153057142,559878351,778601217,789223814,486561000,487970000,555180000,596160000,1049409000,1053464000,798000000,1045465935,1345349304,1227556856,1477545201,1641230460,1331160761,1493263291,1755843701,1819443860,1558413513,1867993594,1874047854,3560000000,2129000000
58,Total Non-Current Liabilities,456200000,922484295,924773859,807776961,921871857,893087725,982491470,2242710653,2789492245,3779394068,4857964760,5532622959,3341395000,4152152000,5057716000,5851195000,7806011000,9782753000,11371000000,12027730601,10603759528,9723367469,9195774739,8967915994,9264271314,9669731018,13222399580,11834798704,12746838784,14344543583,15066314186,17131000000,16175000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7558788136,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23669597409,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1692579980,1635000000,1671000000
61,Total Liabilities,938200000,1598422855,1525128595,1330826043,1583286122,2306028345,2139545769,3574784131,4467302615,5701046319,7117735939,9408683437,5265533000,5983665000,7814630000,8895929000,11620668000,14835475000,17184000000,18047164295,15148432575,14696103205,14002981012,14011955458,14834709603,14372051170,20185642752,18037735055,19982244403,21298329902,22213011919,24596000000,23756000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1260000,1509000,1626000,1420000,1584000,1000000,1392098,1432747,1329964,1296092,1322506,1380872,1216012,1093302,1051702,1199702,1143903,1120172,1000000,1000000
63,Common Stock,- -,143880329,141016543,114831288,135111162,181753282,182890475,214996035,209592415,212465619,215317381,210449069,158027000,187163000,225416000,245183000,215752000,243503000,272000000,258930312,345291994,324511238,320134794,329304097,346598912,307651150,307217983,298683270,343114908,328300160,304686800,333000000,309000000
64,Retained Earnings,400000,294716763,331575544,259326701,341159917,489481184,617101721,755318726,1108496260,1473648909,2420732458,2975565180,2267913000,2647071000,3130679000,3896371000,4180950000,6148816000,8533000000,8891332795,9324316580,8572948530,8227593805,8314597826,7807451186,6572547303,6341154090,6806613100,9481248650,11223976207,11114347164,11565000000,19770000000
65,Other Comprehensive Income/Loss,-368800000,-343055475,-404261221,-428174370,-463340570,-507705396,-886704045,-1089173471,-1285569382,-1492235946,-1834640701,-2257136665,-1723507000,9908982,9882497,9893026,270694229,-85499255,-478051390,-644000000,-740000000,-226000000,-8845829823,-169000000,-542000000,57000000,700000000,629000000,-386000000,-11139327385,-11702437494,650000000,- -
66,Other Total Stockholders Equity,926200000,575445956,635798995,617826807,847285455,1039506674,1446317124,1948543518,2153065019,2857166091,2818201048,3715641038,3638644000,2141316018,2615402503,2914958974,2663439771,3012684255,3288051390,2750244954,4876340191,5063079399,13917438922,5459025657,5728555829,5436944258,6879865742,6878046401,7945325287,17921528254,19257998028,7107000000,153000000
67,Total Stockholders Equity,557800000,670987573,704129861,563810426,860215964,1203035744,1359605275,1829684808,2185584313,3051044673,3619610185,4644518621,4341077000,4986719000,5982889000,7068032000,7332256000,9321088000,11616000000,11257900159,13807381512,13735869132,13620633789,13935250086,13341986799,12375358724,14229331118,14613394472,17384888548,18335621139,18975714670,19656000000,20233000000
68,Total Liabilities And Stockholders Equity,1496000000,2269410428,2229258456,1894636469,2443502086,3509064089,3499151045,5404468939,6652886928,8752090992,10737346124,14053202058,9606610000,10970384000,13797519000,15963961000,18952924000,24156563000,28800000000,29305064454,28955814087,28431972337,27623614801,27947205544,28176696401,26747409893,34414973870,32651129528,37367132951,39633951041,41188726588,44252000000,43989000000
69,Minority Interest,- -,1778835,1725548,1397919,1363677,1830289,1809120,2004879,1936894,1992056,1940546,1791865,- -,116478000,113902000,111890000,45328000,55168000,96000000,97446891,104590521,110387020,95910829,47610231,33140932,25536261,578356985,576332506,583055402,600549073,604892912,692000000,681000000
70,Total Liabilities & Equity,1496000000,2271189264,2230984005,1896034388,2444865762,3510894378,3500960164,5406473818,6654823821,8754083048,10739286670,14054993923,9606610000,11086862000,13911421000,16075851000,18998252000,24211731000,28896000000,29402511346,29060404608,28542359356,27719525630,27994815775,28209837333,26772946155,34993330855,33227462034,37950188353,40234500114,41793619500,44944000000,44670000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849395/000119312504098758/0001193125-04-098758-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312505134929/0001193125-05-134929-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312506120931/0001193125-06-120931-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312507100954/0001193125-07-100954-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312508113260/0001193125-08-113260-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312509104764/0001193125-09-104764-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312510074375/0001193125-10-074375-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312511084349/0001193125-11-084349-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312512136915/0001193125-12-136915-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312513129631/0001193125-13-129631-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312514098046/0001193125-14-098046-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312515089240/0001193125-15-089240-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312516506917/0001193125-16-506917-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312517077859/0001193125-17-077859-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312518076345/0001193125-18-076345-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312519068446/0001193125-19-068446-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312520064341/0001193125-20-064341-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,97600000,128120142,94320640,70758711,91785693,184469400,247612600,335191908,402606122,507428709,734598162,744412932,518826000,654757000,805362000,1032341000,1181015000,1597222000,2088000000,1756828243,848186142,574544487,764694446,730023541,-408738159,707719247,791550959,1307265155,2145068023,2879203844,2160811901,1122000000,2565000000
74,Depreciation and Amortization,49300000,79301693,53044810,57945865,71616324,110066156,125530734,177500126,213503739,271724001,413162042,525301598,441461000,479252000,576049000,669714000,666192000,906702000,1126000000,1142912827,1214969339,1219577071,1017432441,1051392599,1001132315,820808405,981785582,1135837786,1286081052,1294898193,1788914777,1694000000,1765000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33410363,40116912,25269318,27217938,18515090,20713082,19456199,29519166,48378276,77980661,76641501,86253248,96000000,110000000
77,Change in Working Capital,- -,- -,5976880,17345493,4897121,-1808104,10400566,-19816993,11175927,156024809,-49827294,-59445237,-57311000,69845000,-77947000,-127739000,-176815000,-159036000,381000000,-79349612,1121840793,188854901,-273475471,-99187981,106327156,42560436,639581921,58895293,-250737817,-529627088,-71691012,196000000,-228000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,752000000,123000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,9142956,1295338,-24685929,-22956487,4698233,-18000098,-26061364,-12618752,-104553179,-5348000,-28253000,10309000,-170138000,-144387000,-67970000,-36999949,-173000074,633274113,-21279425,-89430367,-132250641,51092270,41344423,31705770,-57843591,-219545553,-203614733,-88493593,63000000,-439000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-411000000,49000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500219,261316470,- -,- -,33000000,- -,-16000000,-6000000,-21000000,33000000,40000000,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-146900000,-207421835,7585164,-25532498,-13355645,82171278,-46920205,-58248743,-57553769,-110047586,-172929714,-30314362,103480000,149353000,214605000,142369000,-24262000,-65197000,-161000000,-218559457,-164765889,-158265727,-206078673,-345174174,788478003,-86336884,14212932,-89394641,-632243204,-1548844658,-81772560,830000000,-2000000
