,https://roic.ai/company/FE,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1595400000,3513500000,3907300000,4722762000,4072684000,5704088000,5513000000,5773000000,5912000000,5142000000,5497000000,5550000000,5205000000,5094000000,6337000000,6794000000,6056000000,6991000000,6519000000,6680000000,6862000000,5256000000,5775000000,6035000000,5458000000
11,COGS and Expenses,2081700000,4497200000,4784300000,5524054000,6314240000,9969814000,10668000000,10242000000,9923000000,9395000000,10511000000,11181000000,11088000000,11150000000,13640000000,13502000000,12515000000,13987000000,12692000000,12159000000,11439000000,8903000000,9199000000,9105000000,8903000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,165000000,70000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848000000,845000000,1008000000,929000000,941000000,955000000,1015000000,1054000000,1099000000,1051000000,962000000,988000000,1066000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,736000000,746000000,1121000000,1334000000,1411000000,1500000000,1836000000,1997000000,1700000000,1384000000,1217000000,1199000000,1601000000
15,EBITDA,489600000,732600000,963100000,975772000,1120904000,1178756000,829000000,1549000000,1615000000,2049000000,2192000000,2119000000,2835000000,2857000000,3588000000,3586000000,2939000000,2712000000,3744000000,-6181000000,1970000000,4273000000,3304000000,3392000000,4270000000
16,EBITDA ratio,0.1735,0.1250,0.1524,0.1388,0.1401,0.0970,0.0674,0.1244,0.1347,0.1782,0.1712,0.1555,0.2186,0.2142,0.2207,0.2343,0.1970,0.1802,0.2492,-0.4245,0.1405,0.3795,0.2994,0.3144,0.3836
17,Operating Income,739700000,1364000000,1535400000,1504907000,1685122000,2182183000,1639000000,2211000000,2066000000,2106000000,2291000000,2446000000,1879000000,1805000000,1698000000,2176000000,1607000000,1062000000,2292000000,-8262000000,172000000,2502000000,2510000000,2162000000,1726000000
18,Operating Income ratio,0.2622,0.2327,0.2430,0.2141,0.2107,0.1796,0.1332,0.1775,0.1723,0.1831,0.1790,0.1795,0.1449,0.1353,0.1044,0.1422,0.1077,0.0706,0.1525,-0.5674,0.0123,0.2222,0.2275,0.2004,0.1550
19,Total Other Income Expenses (Gains),-250100000,-600900000,-572300000,-529135000,-555719000,-946306000,-811000000,-666000000,-439000000,-53000000,-99000000,-327000000,-644000000,-563000000,-255000000,-852000000,-1037000000,-891000000,-1399000000,-970000000,-1001000000,-990000000,-1393000000,-1033000000,-167000000
20,Income Before Tax,489600000,763100000,963100000,975772000,1129403000,1235877000,828000000,1545000000,1627000000,2053000000,2192000000,2119000000,1235000000,1242000000,1443000000,1324000000,570000000,171000000,893000000,-9232000000,-829000000,1512000000,1117000000,1129000000,1559000000
21,Income Before Tax Ratio,0.1735,0.1302,0.1524,0.1388,0.1412,0.1017,0.0673,0.1241,0.1357,0.1785,0.1712,0.1555,0.0952,0.0931,0.0888,0.0865,0.0382,0.0114,0.0594,-0.6340,-0.0591,0.1343,0.1012,0.1046,0.1400
22,Income Tax expense (Gain),183800000,321700000,394800000,376802000,474457000,549476000,406000000,671000000,754000000,795000000,883000000,777000000,245000000,482000000,574000000,553000000,195000000,-42000000,315000000,-3055000000,895000000,490000000,213000000,126000000,320000000
23,Net Income,305800000,410900000,568300000,598970000,646447000,629280000,423000000,878000000,861000000,1254000000,1309000000,1342000000,1006000000,784000000,885000000,770000000,392000000,299000000,578000000,-6177000000,-1724000000,1348000000,912000000,1079000000,1283000000
24,Net Income ratio,0.1084,0.0701,0.0899,0.0852,0.0808,0.0518,0.0344,0.0705,0.0718,0.1090,0.1022,0.0985,0.0776,0.0588,0.0544,0.0503,0.0263,0.0199,0.0385,-0.4242,-0.1230,0.1197,0.0826,0.1000,0.1153
25,EPS,1.94,1.82,2.50,2.69,2.82,2.15,1.39,2.68,2.62,3.84,4.27,4.41,3.31,2.58,2.22,1.85,0.94,0.71,1.37,-14.49,-3.88,1.99,1.70,1.99,2.36
26,EPS Diluted,1.94,1.82,2.50,2.69,2.81,2.14,1.39,2.67,2.61,3.81,4.22,4.38,3.29,2.57,2.21,1.84,0.94,0.71,1.37,-14.49,-3.88,1.99,1.68,1.99,2.35
27,Weighted Average Shares Outstanding,157464000,226373000,227227000,222444000,229512000,293194000,303582000,327387000,328000000,324000000,306000000,304000000,304000000,304000000,399000000,418000000,418000000,420000000,422000000,426000000,444000000,492000000,535000000,542000000,544000000
28,Weighted Average Shares Outstanding Diluted,157464000,226373000,227360406,222444000,230430000,294421000,304972000,328982000,330000000,327000000,310000000,307000000,306000000,305000000,401000000,419000000,419000000,421000000,424000000,426000000,444000000,494000000,542000000,543000000,545000000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/20947/000103129699000005/0001031296-99-000005-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129600000008/0001031296-00-000008-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129601500009/0001031296-01-500009-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129602000017/0001031296-02-000017-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129603000070/0001031296-03-000070-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129604000074/0001031296-04-000074-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129605000087/0001031296-05-000087-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129606000044/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1031296/000004077907000024/form_10k.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129608000049/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129609000008/0001031296-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000011/0001031296-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000095012311014700/c11256e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129612000012/0001031296-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129613000010/0001031296-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129614000010/fe-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129615000011/fe-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129616000071/0001031296-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129617000015/0001031296-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129618000015/0001031296-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129619000010/0001031296-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129620000008/0001031296-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129621000020/0001031296-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129622000013/0001031296-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,77800000,111800000,49258000,220178000,196301000,114000000,53000000,64000000,90000000,129000000,545000000,874000000,1019000000,202000000,172000000,218000000,85000000,131000000,199000000,589000000,367000000,627000000,1734000000,1462000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,77800000,111800000,49258000,220178000,196301000,114000000,53000000,64000000,90000000,129000000,545000000,874000000,1019000000,202000000,172000000,218000000,85000000,131000000,199000000,589000000,367000000,627000000,1734000000,1462000000
34,Net Receivables,- -,561400000,767900000,918449000,1548214000,1626592000,1506000000,1356000000,1498000000,1267000000,1256000000,1304000000,1397000000,1568000000,1794000000,1929000000,1918000000,1779000000,1595000000,1615000000,1654000000,1511000000,1294000000,1439000000,1279000000
35,Inventory,- -,256000000,254000000,283718000,397518000,427075000,421000000,458000000,518000000,577000000,521000000,605000000,647000000,638000000,811000000,861000000,752000000,817000000,785000000,564000000,463000000,252000000,281000000,317000000,260000000
36,Other Current Assets,- -,171900000,168000000,189869000,336610000,203630000,202000000,145000000,237000000,149000000,324000000,599000000,402000000,473000000,548000000,806000000,999000000,1195000000,529000000,572000000,402000000,262000000,242000000,224000000,236000000
37,Total Current Assets,- -,1067100000,1301700000,1441294000,2502520000,2453598000,2243000000,2012000000,2317000000,2083000000,2230000000,3053000000,3320000000,3698000000,3355000000,3768000000,3887000000,3876000000,3040000000,2950000000,3108000000,2392000000,2444000000,3714000000,3237000000
38,PP&E,- -,9242600000,9093300000,7575076000,12428429000,12679813000,13268000000,13478000000,13998000000,14667000000,15383000000,17723000000,19164000000,19788000000,30337000000,32903000000,33252000000,35783000000,37214000000,29387000000,28879000000,29911000000,31650000000,33294000000,34744000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5575000000,5575000000,6441000000,6447000000,6418000000,6418000000,6418000000,5618000000,5618000000,5618000000,5618000000,5618000000,5618000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,73000000,- -
41,Intangible Assets,- -,- -,2129900000,2088770000,5600918000,5896292000,6128000000,6050000000,6010000000,5898000000,5607000000,5575000000,5575000000,5575000000,6441000000,6447000000,6418000000,6418000000,6418000000,5618000000,5618000000,5618000000,5698000000,5691000000,5618000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,3351000000,3534000000,4298000000,3017000000,3023000000,3002000000,3522000000,3194000000,3104000000,3222000000,2788000000,3026000000,3184000000,1299000000,569000000,605000000,655000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,7753800000,5699100000,6836154000,16819646000,12551070000,11271000000,9528000000,6165000000,5014000000,4550000000,4153000000,3222000000,2742000000,3671000000,4094000000,3763000000,2867000000,2727000000,2167000000,1468000000,843000000,1940000000,1160000000,1178000000
45,Total Non-Current Assets,- -,16996400000,16922300000,16500000000,34848993000,31127175000,30667000000,29056000000,29524000000,29113000000,29838000000,30468000000,30984000000,31107000000,43971000000,46638000000,46537000000,48290000000,49147000000,40198000000,39149000000,37671000000,39857000000,40750000000,42195000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,18063500000,18224000000,17941294000,37351513000,33580773000,32910000000,31068000000,31841000000,31196000000,32068000000,33521000000,34304000000,34805000000,47326000000,50406000000,50424000000,52166000000,52187000000,43148000000,42257000000,40063000000,42301000000,44464000000,45432000000
48,Accounts Payable,- -,305300000,360400000,478661000,704184000,918268000,725000000,611000000,727000000,726000000,777000000,794000000,829000000,872000000,1174000000,1599000000,1250000000,1279000000,1075000000,1043000000,1027000000,965000000,1005000000,827000000,943000000
49,Short-Term Debt,- -,1130900000,1180300000,1236247000,2481955000,2795639000,2276000000,1111000000,2774000000,2975000000,2917000000,4873000000,3015000000,2186000000,1621000000,3968000000,4819000000,2603000000,2874000000,4360000000,1382000000,1753000000,1380000000,2346000000,1606000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,314000000,326000000,558000000,543000000,485000000,490000000,519000000,580000000,571000000,533000000,545000000,640000000,647000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,746800000,836700000,878897000,1483318000,1456593000,1471000000,1586000000,1952000000,1554000000,1454000000,1431000000,1444000000,1640000000,2060000000,2038000000,1568000000,1679000000,1653000000,1723000000,1668000000,1916000000,2477000000,1831000000,1867000000
53,Total Current Liabilities,- -,2183000000,2377400000,2593805000,4669457000,5170500000,4472000000,3308000000,5453000000,5255000000,5148000000,7098000000,5288000000,4698000000,4855000000,7605000000,7637000000,5561000000,5602000000,7126000000,4077000000,4634000000,4862000000,5004000000,4416000000
54,Long-Term Debt,- -,6352400000,6001300000,5742048000,11433313000,10872216000,9789000000,10013000000,8155000000,8535000000,8869000000,9100000000,11908000000,12579000000,15716000000,15179000000,15831000000,19176000000,19192000000,18192000000,21115000000,17751000000,19618000000,22131000000,22248000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,993000000,959000000,925000000,1398000000,1148000000,1041000000,988000000,919000000,853000000,89000000,49000000,30000000,- -
56,Deferred Tax Liabilities,- -,2569100000,2500400000,2335112000,2944751000,2603755000,2178000000,2324000000,2726000000,2740000000,2671000000,2163000000,2468000000,2879000000,5670000000,6616000000,6968000000,7057000000,6773000000,3765000000,1359000000,2502000000,2849000000,3095000000,3437000000
57,Other Non-Current Liabilities,- -,1674500000,2133300000,1968840000,10425936000,7479029000,7846000000,6499000000,6135000000,5631000000,6403000000,6877000000,5090000000,5177000000,6861000000,6515000000,6145000000,6909000000,7210000000,6905000000,10928000000,8273000000,7948000000,6967000000,6656000000
58,Total Non-Current Liabilities,- -,10596000000,10635000000,10046000000,24804000000,20955000000,19813000000,18836000000,17016000000,16906000000,17943000000,18140000000,20459000000,21594000000,29172000000,29708000000,30092000000,34183000000,34163000000,29781000000,34255000000,28615000000,30464000000,32223000000,32341000000
59,Other Liabilities,- -,21907300000,21797700000,20620363000,50087457000,42245224000,39962000000,38007000000,34216000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,13000000
61,Total Liabilities,- -,13494300000,13540100000,13168168000,29952914000,26460724000,24621000000,22479000000,22653000000,22161000000,23091000000,25238000000,25747000000,26292000000,34027000000,37313000000,37729000000,39744000000,39765000000,36907000000,38332000000,33249000000,35326000000,37227000000,36757000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,- -,- -,- -
63,Common Stock,- -,23700000,23200000,22453000,29764000,29764000,33000000,33000000,33000000,32000000,31000000,31000000,31000000,31000000,42000000,42000000,42000000,42000000,42000000,44000000,44000000,51000000,54000000,54000000,57000000
64,Retained Earnings,- -,718400000,945200000,1209991000,1521805000,1711457000,1604000000,1857000000,2159000000,2806000000,3487000000,4159000000,4495000000,4609000000,3047000000,2888000000,2590000000,2285000000,2256000000,-4532000000,-6262000000,-4879000000,-3967000000,-2888000000,-1605000000
65,Other Comprehensive Income/Loss,- -,-6012800000,-5919200000,-5263483000,-8161022000,-741513000,-411000000,-356000000,-47000000,-269000000,-50000000,-1380000000,-1415000000,-1539000000,426000000,385000000,284000000,246000000,171000000,174000000,142000000,41000000,20000000,-5000000,-15000000
66,Other Total Stockholders Equity,- -,9839900000,9634700000,8804165000,14008052000,6120341000,7063000000,7055000000,7043000000,6466000000,5509000000,5473000000,5448000000,5444000000,9765000000,9769000000,9776000000,9847000000,9952000000,10555000000,10001000000,11530000000,10868000000,10076000000,- -
67,Total Stockholders Equity,- -,4569200000,4683900000,4773126000,7398599000,7120049000,8289000000,8589000000,9188000000,9035000000,8977000000,8283000000,8559000000,8545000000,13280000000,13084000000,12692000000,12420000000,12421000000,6241000000,3925000000,6814000000,6975000000,7237000000,8675000000
68,Total Liabilities And Stockholders Equity,- -,18063500000,18224000000,17941294000,37351513000,33580773000,32910000000,31068000000,31841000000,31196000000,32068000000,33521000000,34306000000,34837000000,47307000000,50397000000,50421000000,52164000000,52186000000,43148000000,42257000000,40063000000,42301000000,44464000000,45432000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-32000000,19000000,9000000,3000000,2000000,1000000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,18063500000,18224000000,17941294000,37351513000,33580773000,32910000000,31068000000,31841000000,31196000000,32068000000,33521000000,34304000000,34805000000,47326000000,50406000000,50424000000,52166000000,52187000000,43148000000,42257000000,40063000000,42301000000,44464000000,45432000000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/20947/000103129699000005/0001031296-99-000005-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129600000008/0001031296-00-000008-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129601500009/0001031296-01-500009-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129602000017/0001031296-02-000017-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129603000070/0001031296-03-000070-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129604000074/0001031296-04-000074-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129605000087/0001031296-05-000087-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129606000044/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1031296/000004077907000024/form_10k.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129608000049/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129609000008/0001031296-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000011/0001031296-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000095012311014700/c11256e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129612000012/0001031296-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129613000010/0001031296-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129614000010/fe-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129615000011/fe-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129616000071/0001031296-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129617000015/0001031296-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129618000015/0001031296-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129619000010/0001031296-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129620000008/0001031296-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1031296/000103129621000020/0001031296-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129622000013/0001031296-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,305800000,410900000,568300000,598970000,646447000,629280000,423000000,878000000,861000000,1254000000,1309000000,1342000000,1006000000,784000000,885000000,770000000,392000000,299000000,578000000,-6177000000,-1724000000,1348000000,912000000,1079000000,1283000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,736000000,746000000,1121000000,1334000000,1411000000,1500000000,1836000000,1997000000,1700000000,1384000000,1217000000,1199000000,1601000000
75,Deferred Income Tax,-29600000,-5900000,-45100000,-79429000,31625000,91032000,80000000,258000000,154000000,159000000,-9000000,366000000,384000000,470000000,798000000,647000000,243000000,162000000,284000000,-3063000000,839000000,485000000,252000000,113000000,297000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,-1000000,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,60900000,-1116800000,40200000,-76811000,-1014426000,-549965000,487902000,933000000,-1840000000,-36000000,254000000,-1127000000,2077000000,968000000,-500000000,-2337000000,87000000,2065000000,-877000000,-1614000000,3207000000,-1273000000,-176000000,1128000000,338000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-18900000,-14200000,19600000,-29653000,-50052000,-29557000,5000000,-37000000,-60000000,-25000000,79000000,-52000000,-11000000,2000000,14000000,-50000000,96000000,-65000000,-15000000,41000000,-6000000,24000000,-37000000,-32000000,57000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,43000000,35000000,71000000,-25000000,42000000,-243000000,-37000000,72000000,109000000,-49000000,-138000000,117000000
81,Other Working Capital,900000,-1115900000,-1075700000,-1152511000,-2166937000,-2716902000,-2229000000,-1296000000,-3136000000,-3172000000,-2918000000,-4045000000,-1968000000,-1000000000,-1500000000,-3837000000,-3750000000,-1685000000,-2562000000,-4176000000,-969000000,-2242000000,-2418000000,-1290000000,-5000000
82,Other Non-Cash Items,519300000,1867100000,924900000,1065096000,1618038000,1744940000,961098000,-192000000,3045000000,562000000,140000000,1638000000,-1758000000,109000000,769000000,1906000000,529000000,-1313000000,1626000000,12228000000,-214000000,-534000000,262000000,-2096000000,-708000000
83,Cash Provided by Operating Activities,856400000,1155300000,1488300000,1507826000,1281684000,1915287000,1952000000,1877000000,2220000000,1939000000,1694000000,2219000000,2465000000,3076000000,3063000000,2320000000,2662000000,2713000000,3447000000,3371000000,3808000000,1410000000,2467000000,1423000000,2811000000
84,CAPEX,-203800000,-652900000,-624900000,-587618000,-852449000,-997723000,-856000000,-846000000,-1208000000,-1315000000,-1633000000,-2888000000,-2203000000,-1963000000,-2278000000,-2964000000,-2888000000,-3545000000,-2894000000,-3067000000,-2841000000,-2675000000,-2665000000,-2657000000,-2445000000
85,Acquisitions Net,-1582500000,- -,- -,- -,-2013218000,- -,- -,- -,- -,- -,- -,- -,- -,-113000000,587000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000000
86,Purchases of Investments,-8900000,-47800000,- -,- -,- -,- -,- -,- -,- -,- -,-1397000000,-1749000000,-2306000000,-3219000000,-4309000000,-3020000000,-2096000000,-2236000000,-1648000000,-1789000000,-2268000000,-963000000,-1675000000,-208000000,-59000000
87,Sales/Maturities of Investments,- -,- -,41200000,17449000,- -,- -,- -,278000000,- -,121000000,1294000000,1656000000,2229000000,3238000000,4267000000,3082000000,2024000000,2168000000,1541000000,1678000000,2170000000,909000000,1637000000,186000000,48000000
88,Other Investing Activites,-62300000,-82200000,-28000000,-120195000,-209008000,182028000,144000000,87000000,-125000000,85000000,1423000000,-2000000,95000000,109000000,777000000,-255000000,-133000000,254000000,-121000000,-103000000,223000000,-289000000,-170000000,-229000000,-258000000
89,Cash Used for Investing Activites,-1857500000,-782900000,-611700000,-690364000,-3074675000,-815695000,-712000000,-481000000,-1333000000,-1109000000,-313000000,-2983000000,-2185000000,-1948000000,-956000000,-3157000000,-3093000000,-3359000000,-3122000000,-3281000000,-2716000000,-3018000000,-2873000000,-2908000000,-2559000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3856000000,-1393000000,-2609000000,-940000000,-3600000000,-1759000000,-879000000,-2331000000,-2291000000,-2608000000,-789000000,-1114000000,-532000000
91,Common Stock Issued,1558200000,204200000,- -,- -,96739000,- -,934000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,850000000,- -,- -,1000000000
92,Common Stock Repurchased,-5000000,-21400000,-182300000,-233466000,-100774000,-522223000,-127000000,-2000000,-170000000,-793000000,-969000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-237800000,-339100000,-341500000,-334220000,-334633000,-439628000,-453000000,-491000000,-546000000,-586000000,-616000000,-671000000,-670000000,-670000000,-881000000,-920000000,-920000000,-604000000,-607000000,-611000000,-639000000,-772000000,-820000000,-845000000,-849000000
94,Other Financing Activites,-293400000,-236600000,-318800000,-312306000,2302579000,-161618000,-1677000000,-964000000,-160000000,575000000,243000000,1851000000,4575000000,1080000000,566000000,2667000000,4997000000,2876000000,1207000000,2920000000,2228000000,3924000000,2265000000,4566000000,-161000000
95,Cash Used/Provided by Financing Activities,1022000000,-392900000,-842600000,-879992000,1963911000,-1123469000,-1323000000,-1457000000,-876000000,-804000000,-1342000000,1180000000,49000000,-983000000,-2924000000,807000000,477000000,513000000,-279000000,-22000000,-702000000,1394000000,656000000,2607000000,-542000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,20900000,-20400000,34000000,-62530000,170920000,-23877000,-82000000,-61000000,11000000,26000000,39000000,416000000,329000000,145000000,-817000000,-30000000,46000000,-133000000,46000000,68000000,390000000,-214000000,250000000,1122000000,-290000000
98,Cash at the End of Period,98200000,77800000,111800000,49258000,220178000,196301000,114000000,53000000,64000000,90000000,129000000,545000000,874000000,1019000000,202000000,172000000,218000000,85000000,131000000,199000000,589000000,429000000,679000000,1801000000,1511000000
99,Cash at the Beginning of Period,77300000,98200000,77800000,111788000,49258000,220178000,196000000,114000000,53000000,64000000,90000000,129000000,545000000,874000000,1019000000,202000000,172000000,218000000,85000000,131000000,199000000,643000000,429000000,679000000,1801000000
100,Free Cash Flow,652600000,502400000,863400000,920208000,429235000,917564000,1096000000,1031000000,1012000000,624000000,61000000,-669000000,262000000,1113000000,785000000,-644000000,-226000000,-832000000,553000000,304000000,967000000,-1265000000,-198000000,-1234000000,366000000
