,https://roic.ai/company/NGVC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),2038957,2465772,2166800,3955219,6379000,8281000,9432000,5864000,3414000,-2168000,2398000,5692000,5475000
23,Net Income,3537675,4407963,3503811,6648800,10552000,13473000,16204000,11471000,6891000,12661000,9416000,20009000,20581000
24,Net Income ratio,0.0172,0.0194,0.0132,0.0198,0.0245,0.0259,0.0259,0.0163,0.0090,0.0149,0.0104,0.0193,0.0195
25,EPS,0.16,0.20,0.16,0.30,0.47,0.60,0.72,0.51,0.31,0.57,0.42,0.89,0.91
26,EPS Diluted,0.16,0.20,0.16,0.30,0.47,0.60,0.72,0.51,0.31,0.56,0.42,0.89,0.91
27,Weighted Average Shares Outstanding,22372184,22372184,22372184,22372184,22399346,22466432,22490260,22492986,22453409,22361898,22424328,22501779,22591816
28,Weighted Average Shares Outstanding Diluted,22461405,22461405,22461405,22463093,22441382,22479835,22500833,22507152,22463675,22413038,22554603,22577646,22711003
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1547459/000110465912084706/0001104659-12-084706-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000110465913089909/0001104659-13-089909-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774914021985/0001437749-14-021985-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774915021984/0001437749-15-021984-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774916043133/0001437749-16-043133-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774917020347/0001437749-17-020347-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774918021661/0001437749-18-021661-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774919023923/0001437749-19-023923-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774920025108/0001437749-20-025108-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774921028226/0001437749-21-028226-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,445570,377549,17290948,8132000,5113000,2915000,4017000,6521000,9398000,6214000,28534000,23678000
32,Short-Term Investments,- -,- -,- -,777445,1149000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,445570,377549,18068393,9281000,5113000,2915000,4017000,6521000,9398000,6214000,28534000,23678000
34,Net Receivables,- -,3184745,3840533,1855416,2401000,2146000,2576000,3747000,4860000,4738000,5059000,8519000,8489000
35,Inventory,- -,25564128,29820321,37543861,45472000,58381000,74818000,86330000,93612000,94228000,96179000,100175000,100546000
36,Other Current Assets,- -,908617,1038794,1439053,2711000,1473000,1974000,3233000,3222000,2590000,7728000,6185000,2914000
37,Total Current Assets,- -,30103060,35077197,58906723,59865000,67113000,82283000,97327000,108215000,110954000,115180000,143413000,135627000
38,PP&E,- -,27960539,41737234,64602743,98910000,120224000,145219000,178297000,184417000,188768000,201635000,527264000,507154000
39,Goodwill,- -,511029,511029,511029,511000,511000,5198000,5198000,5198000,5198000,5198000,5198000,5198000
40,Intangible Assets,- -,639139,490301,416464,389000,389000,425000,403000,457000,450000,3446000,5270000,6511000
41,Intangible Assets,- -,1150168,1001330,927493,900000,900000,5623000,5601000,5655000,5648000,8644000,10468000,11709000
42,Investments,- -,- -,- -,973729,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1057994,1099622,251008,228000,748000,799000,1021000,1704000,1713000,1655000,647000,589000
45,Total Non-Current Assets,- -,30168701,43838186,66754973,100038000,121872000,151641000,184919000,191776000,196129000,211934000,538379000,519452000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,60271761,78915383,125661696,159903000,188985000,233924000,282246000,299991000,307083000,327114000,681792000,655079000
48,Accounts Payable,- -,13028680,16087882,26031756,28918000,33835000,49896000,53615000,56849000,61104000,63162000,69163000,68949000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38234000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8322000
51,Deferred Revenue,- -,- -,- -,555757,625000,725000,864000,866000,906000,1453000,1410000,1819000,2157000
52,Other Current Liabilities,- -,11278084,17884094,7499744,8855000,15326000,19118000,12060000,13806000,17134000,18696000,58168000,24432000
53,Total Current Liabilities,- -,24306764,33971976,34087257,38398000,49886000,69878000,66541000,71561000,79691000,83268000,129150000,133772000
54,Long-Term Debt,- -,16200000,15700000,- -,- -,- -,- -,27428000,28392000,13192000,5692000,- -,363283000
55,Deferred Revenue,- -,2241559,2845292,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,815592,4947870,4143351,6877000,5409000,6073000,12178000,12419000,6447000,10420000,14429000,15293000
57,Other Non-Current Liabilities,- -,4400753,5523266,14481911,30095000,34836000,42485000,49374000,53736000,61027000,70828000,365147000,- -
58,Total Non-Current Liabilities,- -,23657904,29016428,18625262,36972000,40245000,48558000,88980000,94547000,80666000,86940000,379576000,378576000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,5525842,19822000,21977000,27607000,31907000,33428000,41142000,52520000,400139000,377829000
61,Total Liabilities,- -,47964668,62988404,52712519,75370000,90131000,118436000,155521000,166108000,160357000,170208000,508726000,512348000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,22372,22000,22000,22000,23000,23000,23000,23000,23000,23000
64,Retained Earnings,- -,10101965,13605776,20254576,30807000,44280000,60484000,71955000,78846000,91507000,100923000,116291000,85419000
65,Other Comprehensive Income/Loss,- -,-23290356,-30899922,-39041171,-51920000,-69118000,-90389000,-114456000,-143437000,-164655000,-186851000,-205516000,- -
66,Other Total Stockholders Equity,- -,24084711,31694277,91713400,105624000,123670000,145371000,169203000,198451000,219851000,242811000,262268000,- -
67,Total Stockholders Equity,- -,10896320,14400131,72949177,84533000,98854000,115488000,126725000,133883000,146726000,156906000,173066000,142731000
68,Total Liabilities And Stockholders Equity,- -,58860988,77388535,125661696,159903000,188985000,233924000,282246000,299991000,307083000,327114000,681792000,655079000
69,Minority Interest,- -,1410773,1526848,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,60271761,78915383,125661696,159903000,188985000,233924000,282246000,299991000,307083000,327114000,681792000,655079000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1547459/000110465912084706/0001104659-12-084706-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000110465913089909/0001104659-13-089909-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774914021985/0001437749-14-021985-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774915021984/0001437749-15-021984-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774916043133/0001437749-16-043133-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774917020347/0001437749-17-020347-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774918021661/0001437749-18-021661-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774919023923/0001437749-19-023923-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774920025108/0001437749-20-025108-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774921028226/0001437749-21-028226-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,3537675,4407963,3503811,6648800,10552000,13473000,16204000,11471000,6891000,12661000,9416000,20009000,20581000
74,Depreciation and Amortization,4271911,5576905,7758615,10016080,13522000,17212000,21337000,25533000,29511000,29430000,28977000,31193000,29633000
75,Deferred Income Tax,763169,596108,3937798,2673248,2452000,-1186000,630000,6971000,241000,-5972000,3973000,3742000,864000
76,Stock Based Compensation,- -,- -,- -,779979,602000,532000,573000,879000,758000,810000,1185000,1129000,877000
77,Change in Working Capital,1308521,5235844,-4691075,23714245,-3352466,-4240000,-4822000,18381000,5868000,-5391000,649000,-17649000,537000
78,Accounts Receivable,-131493,-1785741,55976,283200,-546000,255000,-430000,-1171000,-1100000,145000,-315000,-3418000,30000
79,Inventory,-3633447,-3811490,-4256193,-7723540,-7928000,-12909000,-15711000,-11512000,-7282000,-615000,-1951000,-3996000,-371000
80,Accounts Payable,3652816,-562718,2107957,6860498,4480000,5202000,12891000,3314000,7224000,1845000,1024000,10103000,-2639000
81,Other Working Capital,560452,5796296,1105221,24819466,21467000,17227000,12405000,30786000,36654000,31263000,31912000,14263000,- -
82,Other Non-Cash Items,1723192,-8168480,6232372,-18630007,1941466,5958000,7081000,-34408000,-2420000,11325000,-6818000,28079000,1388000
83,Cash Provided by Operating Activities,11604468,7648340,16741521,25202345,25717000,31749000,41003000,28827000,40849000,42863000,37382000,66503000,53880000
84,CAPEX,-8937295,-11532985,-20446122,-25258595,-39708000,-36512000,-36750000,-53759000,-41231000,-23717000,-32733000,-29584000,-28287000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-5601000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-1751174,-521000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1100000,1140000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-64640,-155517,-65927,1451455,4505000,500000,13000,19000,2732000,174000,-1835000,-2805000,-1405000
89,Cash Used for Investing Activites,-9001935,-11598502,-20512049,-25558314,-34624000,-34872000,-42338000,-53740000,-38499000,-23543000,-31865000,-29557000,-27755000
90,Debt Repayment,-3626963,-1850944,-619412,-27236809,-484000,-46622000,-203125000,-207599000,-291279000,-391773000,-414180000,-244063000,-80036000
91,Common Stock Issued,- -,- -,- -,58134770,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-829000,-261000,-581000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6301000,-51453000
94,Other Financing Activites,-555053,4106783,4321919,-13628593,232000,46726000,202262000,234443000,291694000,375911000,405479000,235738000,100508000
95,Cash Used/Provided by Financing Activities,-4182016,2255839,3702507,17269368,-252000,104000,-863000,26015000,154000,-16443000,-8701000,-14626000,-30981000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1579483,-1694323,-68021,16913399,-9159000,-3019000,-2198000,1102000,2504000,2877000,-3184000,22320000,-4856000
98,Cash at the End of Period,2139893,445570,377549,17290948,8132000,5113000,2915000,4017000,6521000,9398000,6214000,28534000,23678000
99,Cash at the Beginning of Period,3719376,2139893,445570,377549,17291000,8132000,5113000,2915000,4017000,6521000,9398000,6214000,28534000
100,Free Cash Flow,2667173,-3884645,-3704601,-56250,-13991000,-4763000,4253000,-24932000,-382000,19146000,4649000,36919000,25593000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1547459/000110465912084706/0001104659-12-084706-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000110465913089909/0001104659-13-089909-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774914021985/0001437749-14-021985-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774915021984/0001437749-15-021984-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774916043133/0001437749-16-043133-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774917020347/0001437749-17-020347-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774918021661/0001437749-18-021661-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774919023923/0001437749-19-023923-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774920025108/0001437749-20-025108-index.htm,https://www.sec.gov/Archives/edgar/data/1547459/000143774921028226/0001437749-21-028226-index.htm
102,false,,,,,,,,,,,,,
