,https://roic.ai/company/HWKN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,21212121,21487603,18181818,18181818,18181818,20062696,19886364,19191919,19027484,21074380,24000000,23684211,23207790,23200000,22647059,21231762,20693928,10219432,20433376,20433376,20445338,20423668,20347438,20428774,20498054,20565986,20705266,20817146,21082284,21199510,21267108,21156084,21192220,21287438,21452352,21308800,21260296
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46250/000091205796030470/0000912057-96-030470-index.html,https://www.sec.gov/Archives/edgar/data/46250/000104746997008969/0001047469-97-008969-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/46250/000091205700054869/0000912057-00-054869-index.html,- -,https://www.sec.gov/Archives/edgar/data/46250/000110465902002921/0001104659-02-002921-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465903013294/0001104659-03-013294-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465904016596/0001104659-04-016596-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465905031014/0001104659-05-031014-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465906042138/0001104659-06-042138-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710107001283/0000897101-07-001283-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710108001344/0000897101-08-001344-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710109001182/0000897101-09-001182-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710110001212/0000897101-10-001212-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000095012311057926/0000950123-11-057926-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000119312512256380/0001193125-12-256380-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625013000007/0000046250-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625014000013/0000046250-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625015000011/0000046250-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625016000047/0000046250-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625017000016/0000046250-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625018000014/0000046250-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625019000017/0000046250-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625020000027/0000046250-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625021000019/0000046250-21-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4300000,4300000,4800000,5200000,4100000,3900000,4800000,7500000,9500000,6900000,9900000,8900000,8100000,3200000,4800000,2200000,- -,7339895,1400000,1600000,4600000,6300000,11600000,21500000,29500000,18800000,18900000,28600000,28715000,33500000,18639000,20014000,6861000,4990000,9199000,4277000,2998000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,10500000,12000000,14500000,17400000,12000000,- -,7170748,22900000,21300000,6700000,14200000,13700000,2300000,- -,25900000,15300000,12200000,15625000,13800000,14485000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4300000,4300000,4800000,5200000,4100000,3900000,4800000,7500000,9500000,6900000,17900000,19400000,20100000,17700000,22200000,14200000,- -,14510643,24300000,22900000,11300000,20500000,25300000,23800000,29500000,44700000,34200000,40800000,44340000,47300000,33124000,20014000,6861000,4990000,9199000,4277000,2998000
34,Net Receivables,4000000,3600000,4200000,5000000,5000000,7300000,9000000,7600000,8100000,9900000,10700000,9900000,11300000,11700000,11600000,11800000,- -,10610386,11300000,11300000,13700000,16200000,19700000,23800000,30600000,29300000,37900000,40500000,35920000,37900000,41087000,65333000,58571000,66150000,64493000,67391000,90778000
35,Inventory,3000000,3200000,3300000,4100000,5200000,7900000,8500000,9600000,7300000,9200000,8700000,8600000,8600000,10800000,8400000,8900000,- -,9397541,9400000,8900000,8600000,10500000,12800000,14000000,20000000,21300000,29200000,27600000,28208000,26200000,37028000,47719000,51249000,59736000,60482000,54436000,63864000
36,Other Current Assets,200000,200000,200000,800000,2200000,2400000,600000,1000000,4500000,7900000,1600000,1000000,1900000,1900000,2500000,2700000,- -,1977667,2400000,3500000,2100000,2200000,3200000,3600000,4000000,2200000,2900000,2000000,2613000,3200000,3101000,4222000,4238000,4106000,5235000,4927000,5367000
37,Total Current Assets,11500000,11300000,12500000,15100000,16500000,21500000,22900000,25700000,29400000,33900000,38900000,38900000,41900000,42100000,44700000,37600000,- -,36496237,47400000,46600000,35700000,49400000,61000000,65200000,84100000,97500000,104200000,110900000,111081000,114600000,114340000,137288000,120919000,134982000,139409000,131031000,163007000
38,PP&E,4600000,4500000,4700000,5600000,6300000,6600000,7800000,8800000,8900000,9600000,11400000,13200000,15500000,18400000,18700000,23700000,- -,27940170,27500000,29500000,31000000,34700000,34700000,35900000,45600000,47800000,62400000,73300000,90974000,90500000,93730000,116321000,121540000,123826000,118628000,135434000,156242000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1200000,1200000,6200000,6500000,6495000,7400000,11750000,97724000,97556000,58440000,58440000,58440000,70720000
40,Intangible Assets,400000,300000,300000,200000,200000,200000,200000,100000,100000,900000,900000,800000,700000,700000,600000,3800000,- -,3345148,3100000,2800000,2500000,2100000,1800000,5700000,5200000,3600000,8800000,8200000,7678000,8500000,11154000,82934000,76883000,71179000,65726000,60653000,76368000
41,Intangible Assets,400000,300000,300000,200000,200000,200000,200000,100000,100000,900000,900000,800000,700000,700000,600000,3800000,- -,3345148,3100000,2800000,2500000,2100000,1800000,6900000,6400000,4800000,15000000,14700000,14173000,15900000,22904000,180658000,174439000,129619000,124166000,119093000,147088000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1800000,1900000,2100000,- -,- -,- -,1800000,16100000,5700000,3000000,600000,- -,8972000,3175000,5139000,5597000,15852000,17249000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,1000000,1000000,1000000,900000,- -,- -,1300000,1600000,1200000,300000,400000,1100000,4100000,7600000,7900000,10400000,- -,10200000,9978000,42242000,42040000,27383000,- -,25106000,- -
44,Other Non-Current Assets,-100000,1000000,1000000,1200000,1300000,1600000,1600000,1500000,1700000,1700000,2100000,3200000,2800000,2500000,2100000,1800000,- -,3705578,1800000,300000,1200000,1900000,400000,-800000,-3900000,-6372000,-7675000,-10339000,323000,-9852000,-9739000,-40018000,-40354000,-24819000,3396000,-21336000,6213000
45,Total Non-Current Assets,4900000,5800000,6000000,7000000,7800000,8400000,9600000,10400000,10700000,12200000,14800000,17600000,21800000,24400000,24300000,32300000,- -,34990896,33700000,36000000,52000000,44700000,40300000,43700000,52200000,62800000,80800000,93200000,111067000,122600000,134122000,299203000,297665000,256009000,246190000,258297000,309543000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16400000,17100000,18500000,22100000,24300000,29900000,32500000,36100000,40100000,46100000,53700000,56500000,63700000,66500000,69000000,69900000,- -,71487133,81100000,82600000,87700000,94100000,101300000,108900000,136300000,160300000,185000000,204100000,222148000,237200000,248462000,436491000,418584000,390991000,385599000,389328000,472550000
48,Accounts Payable,- -,- -,- -,- -,4400000,5500000,4900000,4800000,4700000,5800000,8700000,6700000,5700000,5000000,5000000,5000000,- -,4095820,5900000,4800000,5900000,8700000,10900000,11800000,14400000,13900000,23400000,18600000,18516000,18300000,20083000,30121000,29756000,33424000,29314000,34129000,37313000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116823,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5489000,7989000,9864000,9907000,11430000,11494000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1446000,1444000,- -,- -,- -,- -,- -,59000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1254649000,1614843000,1178422000,265324000,420521000,1097097000,4120000,3364000,2619000,3170000,- -,2900000,2698000,42242000,42040000,27383000,- -,25106000,- -
52,Other Current Liabilities,4900000,4700000,4800000,7000000,2300000,2500000,3000000,3700000,4200000,4500000,5900000,5800000,7500000,6600000,6300000,6500000,- -,5537141,-1246649000,-1606643000,-1170022000,-256424000,-410721000,-1086197000,9280000,13336000,13481000,14530000,16609000,14600000,13562000,-18087000,-24113000,-10104000,16175000,-8445000,21655000
53,Total Current Liabilities,4900000,4700000,4800000,7000000,6700000,8000000,7900000,8500000,8900000,10300000,14600000,12500000,13200000,11600000,11300000,11500000,- -,9749784,13900000,13000000,14300000,17600000,20700000,22700000,27800000,30600000,39500000,36300000,35125000,35800000,36343000,59765000,55672000,60567000,55396000,62220000,70462000
54,Long-Term Debt,300000,100000,100000,100000,- -,- -,- -,- -,- -,700000,600000,600000,500000,400000,300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123616000,94626000,90762000,74658000,49751000,99076000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,200000,200000,200000,300000,300000,300000,300000,300000,300000,- -,- -,- -,- -,- -,- -,- -,953851,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8062000,10186000,9978000,42242000,42040000,27383000,26673000,25106000,24445000
57,Other Non-Current Liabilities,-100000,-100000,- -,- -,- -,100000,- -,- -,- -,- -,400000,400000,1000000,1100000,1800000,1500000,- -,353063,1500000,1700000,1200000,400000,600000,1200000,4800000,8200000,9100000,11200000,8789000,8814000,8177000,9893000,8418000,10032000,11011000,18767000,13321000
58,Total Non-Current Liabilities,400000,200000,300000,300000,300000,400000,300000,300000,300000,1000000,1000000,1000000,1500000,1500000,2100000,1700000,- -,1306914,1500000,1700000,1200000,400000,600000,1200000,4800000,8200000,9100000,11200000,16851000,19000000,18155000,175751000,145084000,128177000,112342000,93624000,136842000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9172000,11818000
61,Total Liabilities,5300000,4900000,5100000,7300000,7000000,8400000,8200000,8800000,9200000,11300000,15600000,13500000,14700000,13100000,13400000,13200000,- -,11056698,15400000,14700000,15500000,18000000,21300000,23900000,32600000,38800000,48600000,47500000,51976000,54800000,54498000,235516000,200756000,188744000,167738000,155844000,207304000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,600000,600000,600000,500000,500000,- -,510834,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,525000,500000,528000,526000,529000,532000,530000,526000,210000
64,Retained Earnings,2000000,1700000,1200000,-100000,2500000,3500000,4700000,5500000,6600000,7400000,3400000,3800000,5800000,10900000,14900000,17700000,- -,22317637,27400000,29500000,33800000,38700000,42200000,46400000,64900000,81900000,95000000,111000000,120974000,131400000,142567000,152265000,165897000,147242000,164405000,182947000,213898000
65,Other Comprehensive Income/Loss,-3800000,-3900000,-4200000,-4700000,-5200000,-6200000,-6800000,-7600000,-8700000,-9700000,-10500000,-11400000,-12800000,-14300000,-15800000,-16600000,- -,-19852259,79063,196328,-394733,-125754,-13605,-9321,-10000,37000,-145000,-123000,-106000,-44000,-32000,-5000,298000,596000,317000,-79000,- -
66,Other Total Stockholders Equity,12900000,14400000,16400000,19600000,20000000,24200000,26400000,29400000,33000000,37100000,44700000,50000000,55300000,56300000,56000000,55100000,- -,57454223,37734441,37708317,38294300,37021793,37291248,38130731,38340000,39061000,41088000,45230000,48779000,50557000,50901000,48189000,51104000,53877000,52609000,50090000,51138000
67,Total Stockholders Equity,11100000,12200000,13400000,14800000,17300000,21500000,24300000,27300000,30900000,34800000,38100000,43000000,48900000,53500000,55600000,56700000,- -,60430435,65713504,67904645,72199567,76096039,79977643,85021410,103730000,121498000,136443000,156607000,170172000,182413000,193964000,200975000,217828000,202247000,217861000,233484000,265246000
68,Total Liabilities And Stockholders Equity,16400000,17100000,18500000,22100000,24300000,29900000,32500000,36100000,40100000,46100000,53700000,56500000,63600000,66600000,69000000,69900000,- -,71487133,81113504,82604645,87699567,94096039,101277643,108921410,136330000,160298000,185043000,204107000,222148000,237213000,248462000,436491000,418584000,390991000,385599000,389328000,472550000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-100000,- -,- -,- -,- -,-13504,-4645,433,3961,22357,-21410,-30000,2000,-43000,-7000,- -,-13000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16400000,17100000,18500000,22100000,24300000,29900000,32500000,36100000,40100000,46100000,53700000,56500000,63700000,66500000,69000000,69900000,- -,71487133,81100000,82600000,87700000,94100000,101300000,108900000,136300000,160300000,185000000,204100000,222148000,237200000,248462000,436491000,418584000,390991000,385599000,389328000,472550000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46250/000091205796030470/0000912057-96-030470-index.html,https://www.sec.gov/Archives/edgar/data/46250/000104746997008969/0001047469-97-008969-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/46250/000091205700054869/0000912057-00-054869-index.html,undefined,https://www.sec.gov/Archives/edgar/data/46250/000110465902002921/0001104659-02-002921-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465903013294/0001104659-03-013294-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465904016596/0001104659-04-016596-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465905031014/0001104659-05-031014-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465906042138/0001104659-06-042138-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710107001283/0000897101-07-001283-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710108001344/0000897101-08-001344-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710109001182/0000897101-09-001182-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710110001212/0000897101-10-001212-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000095012311057926/0000950123-11-057926-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000119312512256380/0001193125-12-256380-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625013000007/0000046250-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625014000013/0000046250-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625015000011/0000046250-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625016000047/0000046250-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625017000016/0000046250-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625018000014/0000046250-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625019000017/0000046250-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625020000027/0000046250-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625021000019/0000046250-21-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2900000,3200000,3500000,3800000,4500000,5100000,5300000,6500000,7800000,8200000,9700000,8600000,7117578,3100000,8400000,5800000,8100000,8900000,8100000,9100000,23800000,23800000,20300000,22700000,17126000,18100000,19214000,18143000,22555000,-9177000,24433000,28367000,40980000
74,Depreciation and Amortization,- -,- -,- -,- -,900000,1100000,1000000,1100000,1200000,1300000,1400000,1500000,1700000,2000000,2100000,2259864,2727577,1480000,2958975,2992104,4522861,3688448,4337009,5248855,5581000,6292000,7148000,8458000,10248000,12605000,13015000,15511000,20875000,22390000,21756000,21584000,22669000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,- -,-200000,-100000,-800000,600000,- -,200000,-300000,800000,-1000000,177320,414641,320000,-121770,270612,23033,-953694,159676,678072,3046000,7152000,-600000,3082000,-2985000,2150000,-418000,1103000,-525000,-14757000,-607000,-1421000,-689000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277000,659000,1952000,1350000,1621000,1322000,1631000,1706000,2127000,1371000,2010000,2273000,3343000
77,Change in Working Capital,- -,- -,- -,- -,-1400000,3700000,1500000,2200000,3300000,3100000,700000,2100000,2300000,1800000,2900000,-7300000,-240566,2597930,6753547,100000,-12200000,10400000,8500000,2200000,13800000,10600000,-2200000,9900000,1356000,2844000,-803000,-474000,-12276000,9168000,9598000,-15202000,23734000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178306000,- -,- -,- -,- -,- -,- -,-5095000,4050000,-5929000,-2407000,2149000,-1698000,-1051000,-2950000,2259000,-6164000,-487000,-3387000,-21323000
79,Inventory,- -,- -,- -,- -,-1100000,-700000,-600000,-1000000,3200000,-2000000,-1700000,500000,-1200000,-2200000,2400000,-513886,-3654766,3187182000,-797,511257,299471,-1862061,-2336677,-959289,-7830000,514000,-3141000,1319000,-573000,2122000,-9977000,-322000,-3529000,-8487000,-746000,6045000,-7960000
