,https://roic.ai/company/DSS,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/771999/000090901299000253/0000909012-99-000253-index.html,- -,https://www.sec.gov/Archives/edgar/data/771999/000090901201000215/0000909012-01-000215-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771999/000116768705000022/0001167687-05-000022-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420406008848/0001144204-06-008848-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420407015325/0001144204-07-015325-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420408015849/0001144204-08-015849-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420409017790/0001144204-09-017790-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420410015509/0001144204-10-015509-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420411019189/0001144204-11-019189-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420412015842/0001144204-12-015842-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420413013265/0001144204-13-013265-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420414017894/0001144204-14-017894-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420415019400/0001144204-15-019400-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315216008415/0001493152-16-008415-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315217002906/0001493152-17-002906-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315218002948/0001493152-18-002948-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315219003423/0001493152-19-003423-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315220005310/0001493152-20-005310-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315221007382/0001493152-21-007382-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315222008520/0001493152-22-008520-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,56,- -,- -,- -,- -,456223,5115722,2657865,3953482,5802615,742468,87820,448895,4086574,717679,1887163,2477031,2343675,1440256,5871738,4188623,2317659,1096248,5226000,56595000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1788000,- -
33,Cash and Short-Term Investments,56,- -,- -,- -,- -,456223,5115722,2657865,3953482,5802615,742468,87820,448895,4086574,717679,1887163,2477031,2343675,1440256,5871738,4188623,2317659,1096248,7014000,56595000
34,Net Receivables,- -,- -,- -,- -,- -,137130,156900,381923,164726,618622,617320,1284208,1143939,2227877,1595750,2123019,2149123,2097671,2097433,1890981,2025284,2217877,4211906,3910000,5673000
35,Inventory,- -,- -,- -,- -,- -,26437,76644,62494,148804,239416,259442,359034,184174,601359,783442,817685,834979,869262,937830,1206377,1651246,1563593,1707690,1955000,10380000
36,Other Current Assets,- -,- -,- -,- -,- -,15614,41457,64158,225114,224782,608447,273851,91310,231190,95399,290402,626430,783963,606571,527898,517329,415906,459868,-429000,9776000
37,Total Current Assets,56,- -,- -,- -,- -,635404,5390723,3166440,4492126,6885435,2227677,2004913,1868318,7147000,3192270,5118269,6087563,6094571,5082090,9496994,8382482,6515035,7475712,12450000,82424000
38,PP&E,1250660,1259166,- -,- -,- -,205665,144446,380971,451195,637732,1494540,1517357,1286226,2543494,4019829,3723908,5157852,5016539,5003818,4573841,4805640,5014494,6283440,4146000,18172000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,284278,- -,1396734,1396734,1396734,1315721,1943081,3322799,3322799,15046197,12046197,2453349,2453349,2453597,2453597,2453597,- -,56606000
40,Intangible Assets,- -,- -,- -,- -,- -,409267,365291,343624,4920747,5389564,6149530,2873789,1588969,1847859,2043212,1852677,29602591,3908399,3017544,1896018,1220752,881411,934765,23456000,38630000
41,Intangible Assets,- -,- -,- -,- -,- -,409267,365291,627902,4920747,6786298,7546264,4270523,2904690,3790940,5366011,5175476,44648788,15954596,5470893,4349367,3674349,3335008,3388362,23456000,95236000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000,- -,- -,- -,11448008,686912,100632,- -,484930,324930,2154175,23158000,11001000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,400,400,1284566,225935,271300,2900,- -,441652,469050,156734,325303,264529,305507,325953,244356,232815,- -,- -,- -,45821,83376,90319,843070,-14022000,77993000
45,Total Non-Current Assets,1251060,1259566,1284566,225935,271300,617832,509737,1450525,5840992,7580764,9366107,6052409,4846423,6660387,9630196,9132199,61254648,21658047,10575343,8969029,9048295,8764751,12669047,36738000,202402000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1251116,1259566,1284566,225935,271300,1253236,5900460,4616965,10333118,14466199,11593784,8057322,6714741,13807387,12822466,14250468,67342211,27752618,15657433,18466023,17430777,15279786,20144759,49188000,284826000
48,Accounts Payable,106554,154340,189210,223939,30988,67408,248333,409868,547512,1283503,1795085,1411942,1673901,1828138,1666963,1417460,1421765,1037359,1945073,2212653,728652,1347491,1492494,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,103785,109141,78557,84265,34814,79948,730878,78167,1003609,1312506,1151694,1596432,754745,5576440,1202335,4612266,713427,1337796,445000,4309000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,564439,732355,30193,25163,- -,- -,- -,- -,- -,- -,- -,- -,1106346,- -,5270000,21180000
52,Other Current Liabilities,41084,43085,70085,70584,89909,36048,158327,51305,212559,877261,818606,1312745,909432,1312363,1292629,1218534,1455629,1997241,1964726,4286903,4059347,2255942,1325535,-278000,2322000
53,Total Current Liabilities,147638,197425,259295,294523,120897,207241,515801,539730,844336,2760017,3425994,3485758,2686663,4144110,4272098,3787688,4473826,3789345,9486239,7701891,9400265,5423206,4155825,5437000,27811000
54,Long-Term Debt,- -,- -,- -,- -,- -,214139,189875,218226,167309,- -,300000,2283000,1537616,2161242,2819783,1483676,3087358,7439036,2258115,5249569,1734171,1721936,2309847,278000,55711000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,51878,70830,89779,108727,127675,1364447,148258,162107,45619,125982,168986,43567,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,118267,84931,517292,310759,210365,182424,3965368,121821,127883,27566,520180,63697,2184843,1384500,391325,1332703,507000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,214139,189875,336493,252240,517292,810759,2545243,1790870,6216389,3050331,1739234,4479371,8107474,2483919,7480031,3244653,2282247,3686117,785000,55711000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10722000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,118267,84931,50417,294821,288732,260591,187308,99305,4710,- -,- -,- -,- -,- -,- -,1222742,182000,- -
61,Total Liabilities,147638,197425,259295,294523,120897,421380,705676,876223,1096576,3277309,4236753,6031001,4477533,10360499,7322429,5526922,8953197,11896819,11970158,15181922,12644918,7705453,7841942,15374000,83522000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -
63,Common Stock,5951402,5981402,5981402,19374,44776,186196,217376,218536,253977,270894,273087,287395,327957,387825,390262,434118,988230,923448,1037639,270053,331987,348517,723612,116000,1594000
64,Retained Earnings,-4847924,-4919261,-4956131,-6049990,-6288238,-6396585,-7848775,-9552641,-12395431,-17227797,-24214627,-32499769,-36489782,-41093672,-43174778,-47455606,-44862076,-86019128,-100328608,-101278611,-101856767,-100391798,-103280945,- -,-132384000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-182586,-267817,- -,-663666,-499458,-815286,-1090465,-25834,-110688,-127883,-27566,-61180,-63697,-45343,-23069,-7052,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,5962028,6393865,7042245,13008769,13342664,21377996,28809459,31798029,35053981,39489498,44178569,48395241,55872917,97790426,101012659,103041941,104338002,106333708,107624666,114860150,72998000,130790000
67,Total Stockholders Equity,1103478,1062141,1025271,-68588,150403,831856,5194784,3740742,9236542,11188890,7357031,2026321,2237208,3446888,5500037,8723546,53889014,15855799,3687275,3284101,4785859,7574333,12302817,73115000,201304000
68,Total Liabilities And Stockholders Equity,1251116,1259566,1284566,225935,271300,1253236,5900460,4616965,10333118,14466199,11593784,8057322,6714741,13807387,12822466,14250468,62842211,27752618,15657433,18466023,17430777,15279786,20144759,88489000,284826000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,- -,- -,- -,- -,- -,- -,-39301000,- -
70,Total Liabilities & Equity,1251116,1259566,1284566,225935,271300,1253236,5900460,4616965,10333118,14466199,11593784,8057322,6714741,13807387,12822466,14250468,67342211,27752618,15657433,18466023,17430777,15279786,20144759,49188000,284826000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/771999/000090901299000253/0000909012-99-000253-index.html,- -,https://www.sec.gov/Archives/edgar/data/771999/000090901201000215/0000909012-01-000215-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771999/000116768705000022/0001167687-05-000022-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420406008848/0001144204-06-008848-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420407015325/0001144204-07-015325-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420408015849/0001144204-08-015849-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420409017790/0001144204-09-017790-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420410015509/0001144204-10-015509-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420411019189/0001144204-11-019189-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420412015842/0001144204-12-015842-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420413013265/0001144204-13-013265-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420414017894/0001144204-14-017894-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420415019400/0001144204-15-019400-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315216008415/0001493152-16-008415-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315217002906/0001493152-17-002906-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315218002948/0001493152-18-002948-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315219003423/0001493152-19-003423-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315220005310/0001493152-20-005310-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315221007382/0001493152-21-007382-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315222008520/0001493152-22-008520-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-456562,-71337,-36870,-1093859,-238248,-108347,-1452190,-1703866,-2842790,-4832366,-6986830,-8285142,-3990013,-4603890,-3222146,-4280828,2593530,-41157052,-14309480,-950003,-578156,1464969,-2889147,-1668000,-34050000
74,Depreciation and Amortization,- -,- -,- -,1058631,- -,28195,105140,127894,720603,1233016,1945119,2288061,1661522,1261122,766977,845137,2966368,5274323,1558899,1391815,1413838,1281634,1403836,1084000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-169131,18948,-10948875,-988630,22184,- -,80363,9673,-125419,-1774000,-4032000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1747368,182810,423471,398090,846705,1894719,1355430,974137,328567,214862,131733,421673,188000,78000
77,Change in Working Capital,- -,-49843,-61870,-35228,173626,549060,4446759,-2248212,1021080,477628,-5323735,-282528,662500,3821235,-4082718,2410409,283156,691489,-6709375,6199252,-2812886,2109612,2228058,3693113,47600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209399,109108,200339,701482,-527269,-26104,51452,238,206452,-134303,-192593,-1994029,-309000,-2084000
79,Inventory,- -,- -,- -,- -,- -,-23633,-30207,14150,-81233,-20465,-20026,-32342,73849,86977,-182083,-34243,-17294,-34283,-68568,-268547,-444869,87653,-144097,-705000,-8425000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31096,276070,-209516,-229528,-249503,159948,-384406,907714,267581,-893431,618836,145003,-201000,463000
81,Other Working Capital,-147582,-197425,-259295,-294523,-120897,428163,4874922,2626710,3647790,4125418,-1198317,-1480845,-818345,3002890,-1079828,1330581,1613737,2305226,-4404149,1795103,-1017783,1091829,3319887,7013000,54613000
82,Other Non-Cash Items,455468,121124,98740,70456,64622,-417478,-3426419,2399988,-588614,1710045,7146124,2141470,-111920,-2661191,4184423,-3003654,61863,32434202,17487005,-1503106,314449,-6380542,-6381875,-7206113,-18608000
83,Cash Provided by Operating Activities,-1094,-56,- -,- -,- -,51430,-326710,-1424196,-1689721,-1411677,-3219322,-2390771,-1595101,-1759253,-2124505,-3163283,-3149239,-2390238,-976630,5466525,-1367530,-1382921,-5342874,-5683000,-9012000
84,CAPEX,- -,- -,- -,- -,- -,-13412,-19945,-328602,-107083,-972024,-1843157,-1683466,-238605,-427151,-595665,-358681,-2972082,-1524616,-162257,-3386531,-970371,-1103551,-1358611,-325000,-14283000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1301670,- -,-1082537,- -,-2000000,61995,- -,6568112,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-74798,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-750000,- -,- -,- -,- -,-1829245,-9791000,-4130000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131004,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-361624,-185912,- -,-97345,-848666,-176083,-269729,-72069,-113569,-1840495,-1243714,41124,421339,-11552,-100138,-1162930,-574000,-103595000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-88210,-19945,-690226,-292995,-2273694,-1940502,-2266003,-107601,-2427151,-533670,-358681,4099030,-2274616,-115974,151469,-970371,-1103551,-3981051,-10690000,-122008000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-586037,-1716124,-323283,-447402,-1122441,-433345,-774480,-939151,-1386420,-818332,-1188081,-274468,-304000,-1950000
91,Common Stock Issued,- -,- -,- -,- -,- -,500000,5025062,- -,3296878,5545778,355225,1205163,1374901,6251696,- -,- -,73422,1764978,1128336,199908,951118,887755,6658906,- -,121736000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-6997,-18908,-343435,-18545,-11274,-255548,3383000,2405000,1895670,-263318,5813889,- -,4041000,- -,- -,522000,790155,1587750,20973000,59439000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,493003,5006154,-343435,3278333,5534504,99677,4002126,2063777,7824083,-710720,4691448,-359923,5031498,189185,-1186512,654786,489829,7972188,20669000,179225000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1094,- -,- -,- -,- -,- -,4659499,-2457857,1295617,1849133,-5060147,-654648,361075,3637679,-3368895,1169484,589868,366644,-903419,4431482,-1683115,-1996643,-1351737,4130000,51369000
98,Cash at the End of Period,56,- -,- -,- -,- -,456223,5115722,2657865,3953482,5802615,742468,87820,448895,4086574,717679,1887163,2477031,2343675,1440256,5871738,4188623,2447985,1096248,5226000,56595000
99,Cash at the Beginning of Period,1150,56,- -,- -,- -,- -,456223,5115722,2657865,3953482,5802615,742468,87820,448895,4086574,717679,1887163,1977031,2343675,1440256,5871738,4444628,2447985,1096000,5226000
100,Free Cash Flow,-1094,-56,- -,- -,- -,38018,-346655,-1752798,-1796804,-2383701,-5062479,-4074237,-1833706,-2186404,-2720170,-3521964,-6121321,-3914854,-1138887,2079994,-2337901,-2486472,-6701485,-6008000,-23295000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/771999/000090901299000253/0000909012-99-000253-index.html,- -,https://www.sec.gov/Archives/edgar/data/771999/000090901201000215/0000909012-01-000215-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771999/000116768705000022/0001167687-05-000022-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420406008848/0001144204-06-008848-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420407015325/0001144204-07-015325-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420408015849/0001144204-08-015849-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420409017790/0001144204-09-017790-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420410015509/0001144204-10-015509-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420411019189/0001144204-11-019189-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420412015842/0001144204-12-015842-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420413013265/0001144204-13-013265-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420414017894/0001144204-14-017894-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000114420415019400/0001144204-15-019400-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315216008415/0001493152-16-008415-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315217002906/0001493152-17-002906-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315218002948/0001493152-18-002948-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315219003423/0001493152-19-003423-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315220005310/0001493152-20-005310-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315221007382/0001493152-21-007382-index.htm,https://www.sec.gov/Archives/edgar/data/771999/000149315222008520/0001493152-22-008520-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
