,https://roic.ai/company/SRPT,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Operating Expenses,2700000,2800000,4500000,8100000,8400000,11955129,16108718,26177833,19843344,25474456,22300119,33098340,44092767,38799451,33092000,50354000,82917000,67032000,104503000,143546000,221437000,269473000,287610000,612691000,846570000,1040880000
11,COGS and Expenses,2700000,2300000,4000000,7900000,8400000,11538632,16108718,26177833,19843344,25474456,22300119,33098340,44092767,38799451,33092000,50354000,82917000,67032000,104503000,143546000,221437000,269603000,294963000,646884000,903156000,1104262000
12,Interest Income ,- -,- -,- -,- -,- -,1001338,- -,- -,491098,- -,840495,1910037,- -,- -,- -,- -,677000,- -,- -,- -,- -,- -,1809000,6810000,7238000,2970000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454000,- -,90000,- -,- -,- -,- -,- -,5781000,33709000,30669000,59947000
14,Depreciation and Amortization,500000,500000,500000,200000,300000,416497,556472,1333335,1484349,1888008,1997672,2090375,2013859,1468980,1379000,1463000,1300000,1525000,1277000,3690000,5247000,5611000,8092000,12245000,30547000,26911000
15,EBITDA,-2100000,-1600000,-3100000,-26500000,-8000000,-8823459,-26368702,-28025716,-13132279,-22889686,-14678192,-28982637,-25153866,-22483645,-23326000,-30714000,-928000,-119762000,-110708000,-132099000,-214783000,-261654000,-34755000,-316656000,-652664000,-466207000
16,EBITDA ratio,-21.0000,-16.0000,-31.0000,-132.5000,-80.0000,-6.8012,-37.3440,-33.4922,-13.5403,-53.1748,-3.0683,-251.3868,-2.2898,-1.0576,-1.3265,-1.0440,-0.0197,-3.2083,-7.7859,-13.5389,-171.4150,-48.2667,-0.2248,-1.0519,-1.7138,-0.8632
17,Operating Income,-2600000,-2200000,-3900000,-7700000,-8300000,-10241294,-15402616,-25341049,-18873478,-25043995,-17516359,-32983049,-33107576,-27457567,-15507000,-20934000,-35927000,-29703000,-90284000,-133789000,-220184000,-266730000,-171638000,-343628000,-705563000,-564163000
18,Operating Income ratio,-26.0000,-22.0000,-39.0000,-38.5000,-83.0000,-7.8941,-21.8136,-30.2839,-19.4599,-58.1795,-3.6616,-286.0852,-3.0138,-1.2916,-0.8818,-0.7116,-0.7646,-0.7957,-6.3495,-13.7121,-175.7255,-49.2031,-1.1103,-1.1415,-1.8527,-1.0446
19,Total Other Income Expenses (Gains),- -,200000,400000,-19000000,-100000,- -,-12523088,-4478260,3765752,- -,- -,- -,4955875,-6755194,-9198000,-11502000,33022000,-91584000,-21701000,-2000000,154000,-535000,123010000,-18982000,-8317000,11098000
20,Income Before Tax,-2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-121287000,-111985000,-135789000,-220030000,-267265000,-48628000,-362610000,-713880000,-553065000
21,Income Before Tax Ratio,-26.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3.2491,-7.8757,-13.9171,-175.6026,-49.3018,-0.3146,-1.2045,-1.8745,-1.0240
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2060000,-692000,1195000,1063000
23,Net Income,-2600000,-2100000,-3600000,-26700000,-8300000,-9239956,-26925174,-29359051,-14616628,-24777694,-16675864,-31073012,-27167725,-23952625,-25159000,-32177000,-2318000,-121287000,-111985000,-135789000,-220030000,-267265000,-50688000,-361918000,-715075000,-554128000
24,Net Income ratio,-26.0000,-21.0000,-36.0000,-133.5000,-83.0000,-7.1222,-38.1321,-35.0856,-15.0708,-57.5608,-3.4859,-269.5181,-2.4731,-1.1267,-1.4307,-1.0937,-0.0493,-3.2491,-7.8757,-13.9171,-175.6026,-49.3018,-0.3279,-1.2022,-1.8777,-1.0260
25,EPS,-2.17,-1.50,-2.16,-13.62,-3.72,-2.94,-7.20,-6.84,-2.94,-4.14,-2.22,-3.54,-3.00,-2.04,-1.62,-1.74,-0.12,-5.14,-3.31,-3.39,-5.20,-5.49,-0.86,-5.46,-9.71,-7.11
26,EPS Diluted,-2.17,-1.50,-2.16,-13.62,-3.72,-2.94,-7.20,-6.84,-2.94,-4.14,-2.22,-3.54,-3.00,-2.04,-1.62,-1.74,-0.12,-5.14,-3.31,-3.39,-5.20,-5.49,-0.86,-5.46,-9.71,-7.11
27,Weighted Average Shares Outstanding,1200000,1400003,1679830,1966912,2240038,3120761,3733174,4281933,4968099,5999174,7442516,8776802,8990353,11581935,15515031,18538870,21599209,23602000,33850000,40026000,42290000,48697000,58818000,66250000,73615000,77956000
28,Weighted Average Shares Outstanding Diluted,1200000,1400003,1679830,1966912,2240038,3120761,3733174,4281933,4968099,5999174,7442516,8776802,8990353,11581935,15515031,18538870,21599209,23602000,33850000,40026000,42290000,48697000,58818000,66250000,73615000,77956000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/873303/000091205701008483/a2042175z10-k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465902001268/j3110_10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465903005410/j8825_10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465904007381/a04-3283_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465905011420/a05-1837_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465906017196/a06-2021_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465907020052/a07-5560_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465908018004/a08-2579_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465909016044/a09-1369_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465910014622/a09-35851_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312511066190/d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312512112142/d252735d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312513109941/d446380d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312514080447/d628320d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312515063997/d835729d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459016013358/srpt-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459017002842/srpt-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459018004107/srpt-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459019005170/srpt-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459020006769/srpt-10k_20191231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459021009835/0001564590-21-009835-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,3000000,17600000,8500000,8700000,25898513,11069451,10384963,12524915,16654829,34597734,20159201,24802562,11192238,48275000,33589000,39904000,187661000,256965000,73551000,80304000,122420000,599691000,370829000,835080000,1502648000
32,Short-Term Investments,200000,- -,- -,- -,2900000,6213586,14527670,8908682,25074221,2860487,12453348,12992931,271851,282062,171000,- -,- -,- -,- -,136793000,112187000,195425000,479369000,803083000,289668000,435923000
33,Cash and Short-Term Investments,900000,3000000,17600000,8500000,11600000,32112099,25597121,19293645,37599136,19515316,47051082,33152132,25074413,11474300,48446000,33589000,39904000,187661000,256965000,210344000,192491000,317845000,1079060000,1173912000,1124748000,1938571000
34,Net Receivables,- -,- -,- -,- -,- -,- -,1715032,513250,- -,- -,1236446,51498,2869760,4971495,2085000,3224000,3633000,4713000,3530000,2416000,3977000,5228000,29468000,49044000,93938000,138583000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12813000,83605000,125445000,171379000,231961000
36,Other Current Assets,- -,- -,100000,500000,100000,1019166,198923,595093,791383,683075,365866,736283,767278,598562,779000,1025000,1647000,1534000,10311000,35036000,28075000,37590000,36511000,77782000,78848000,176081000
37,Total Current Assets,900000,3000000,17700000,9000000,11700000,33131265,27511076,20401988,38390519,20198391,48653394,33939913,28711451,17044357,51310000,37838000,45184000,193908000,270806000,247796000,224543000,373476000,1228644000,1426183000,1468913000,2485196000
38,PP&E,900000,500000,400000,400000,400000,1036749,4897788,6584290,7008426,6313644,5599269,4329583,6825145,5188984,2466000,4035000,4265000,3397000,15049000,38501000,37344000,37801000,43156000,97024000,167553000,282191000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,400000,- -,600000,700000,800000,890532,1376402,1587632,1716231,1968987,2117710,2558541,3066625,3267778,3759000,3980000,4764000,4913000,5042000,5891000,6642000,8076000,14355000,11574000,12497000,13628000
41,Intangible Assets,400000,- -,600000,700000,800000,890532,1376402,1587632,1716231,1968987,2117710,2558541,3066625,3267778,3759000,3980000,4764000,4913000,5042000,5891000,6642000,8076000,14355000,11574000,12497000,13628000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647000,- -,- -,- -,9980000,- -,31937000,38799000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,700000,100000,100000,- -,29847,29847,29847,29847,37609,37609,34709,34709,34709,2492000,123000,155000,2775000,25000,2845000,5253000,4751000,11829000,107294000,141922000,164904000
45,Total Non-Current Assets,1400000,1200000,1100000,1200000,1200000,1957128,6304037,8201769,8754504,8320240,7754588,6922833,9926479,8491471,8717000,8138000,9184000,11085000,20763000,47237000,49239000,50628000,79320000,215892000,353909000,499522000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2300000,4200000,18800000,10200000,12900000,35088393,33815113,28603757,47145023,28518631,56407982,40862746,38637930,25535828,60027000,45976000,54368000,204993000,291569000,295033000,273782000,424104000,1307964000,1642075000,1822822000,2984718000
48,Accounts Payable,100000,200000,200000,900000,700000,1290804,2772434,4540745,3052932,1456196,1861604,1401584,3026072,2014130,1381000,1311000,9396000,7532000,17634000,12408000,20234000,29690000,8467000,33829000,68094000,111090000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71099,73877,77000,81000,85000,89000,92000,2590000,8429000,10108000,6175000,- -,- -,80367000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,737500,2190000,3428000,3304000,3304000,3304000,3299000,3318000,3303000,3303000,3316000,3303000,- -,89244000
52,Other Current Liabilities,200000,100000,300000,300000,300000,431988,508632,581389,698061,793402,886369,1749261,5917658,3009569,28621000,41161000,7816000,67961000,14941000,18551000,30328000,32321000,70374000,136558000,196673000,135325000
53,Total Current Liabilities,300000,300000,500000,1200000,1000000,1722792,3281066,5122134,3750993,2249598,2747973,3150845,9752329,7287576,33507000,45857000,20601000,78886000,35966000,36867000,62294000,75422000,88332000,173690000,264767000,416026000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2070704,2000789,1924000,1842000,1757000,1668000,1576000,3738000,14969000,6042000,424876000,420554000,681900000,992493000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,663488000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433150,515621,966000,1094000,993000,760000,6835000,6775000,6172000,5949000,5539000,15555000,57968000,150952000
58,Total Non-Current Liabilities,- -,3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2503854,2516410,2890000,2936000,2750000,2428000,8411000,10513000,21141000,11991000,430415000,436109000,739868000,1806933000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47720000,80367000
61,Total Liabilities,300000,3400000,500000,1200000,1000000,1722792,3281066,5122134,3750993,2249598,2747973,3150845,12256183,9803986,36397000,48793000,23351000,81314000,44377000,47380000,83435000,87413000,518747000,609799000,1004635000,2222959000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3100000,- -,- -,- -,- -,2151,2322,2656,3447,3614,5118,5318,6445,7110,11000,11000,13000,3000,4000,4000,5000,5000,6000,7000,8000,8000
64,Retained Earnings,-10300000,-12400000,-16000000,-42800000,-51100000,-60293833,-87219007,-116578058,-131194686,-155972380,-172648244,-203721256,-226357555,-250310180,-275469000,-307646000,-309964000,-431251000,-543236000,-679025000,-899055000,-1166320000,-1217008000,-1578926000,-2294001000,-2848129000
65,Other Comprehensive Income/Loss,100000,-1900000,-2300000,-2400000,-2500000,-2658549,-2941458,-4007186,-5198912,-6729046,-8396923,-10174712,-11816549,-12919371,-14026000,-14963000,-15765000,-16708000,-17328000,-19896000,-24594000,-30346000,-18022000,-28149000,-50995000,3000
66,Other Total Stockholders Equity,9200000,15100000,36600000,54200000,65500000,96315832,120692190,144064211,179784181,188966845,234700058,251602551,264549406,278954283,313114000,319781000,356733000,571635000,807752000,946570000,1113991000,1533352000,2024241000,2639344000,3163175000,3609877000
67,Total Stockholders Equity,2100000,800000,18300000,9000000,11900000,33365601,30534047,23481623,43394030,26269033,53660009,37711901,26381747,15731842,23630000,-2817000,31017000,123679000,247192000,247653000,190347000,336691000,789217000,1032276000,818187000,761759000
68,Total Liabilities And Stockholders Equity,2400000,4200000,18800000,10200000,12900000,35088393,33815113,28603757,47145023,28518631,56407982,40862746,38637930,25535828,60027000,45976000,54368000,204993000,291569000,295033000,273782000,424104000,1307964000,1642075000,1822822000,2984718000
69,Minority Interest,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2300000,4200000,18800000,10200000,12900000,35088393,33815113,28603757,47145023,28518631,56407982,40862746,38637930,25535828,60027000,45976000,54368000,204993000,291569000,295033000,273782000,424104000,1307964000,1642075000,1822822000,2984718000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/873303/000091205701008483/a2042175z10-k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465902001268/j3110_10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465903005410/j8825_10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465904007381/a04-3283_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465905011420/a05-1837_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465906017196/a06-2021_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465907020052/a07-5560_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465908018004/a08-2579_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465909016044/a09-1369_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465910014622/a09-35851_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312511066190/d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312512112142/d252735d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312513109941/d446380d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312514080447/d628320d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312515063997/d835729d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459016013358/srpt-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459017002842/srpt-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459018004107/srpt-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459019005170/srpt-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459020006769/srpt-10k_20191231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459021009835/0001564590-21-009835-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2600000,-2100000,-3600000,-26700000,-8300000,-9239956,-26925174,-29359051,-14616628,-24777694,-16675864,-31073012,-27167725,-23952625,-25159000,-32177000,-2318000,-121287000,-111985000,-135789000,-220030000,-267265000,-50688000,-361918000,-715075000,-554128000
74,Depreciation and Amortization,500000,500000,500000,200000,300000,416497,556472,1333335,1484349,1888008,1997672,2090375,2013859,1468980,1379000,1463000,1300000,1525000,1277000,3690000,5247000,5611000,8092000,12245000,30547000,26911000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2374000,3169000,3129000,3078000,11127000,20345000,32117000,29962000,30465000,50127000,78602000,108070000
77,Change in Working Capital,60000,2100000,14500000,-9400000,2900000,20708473,-7178463,-8950156,19359672,-16690733,27956628,-15116353,-11829946,-9202341,8046219,-25822000,32602000,90439000,119818000,-23911000,-48680000,135805000,842258000,112181000,-48347000,865024000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1063000,-3587000,2801000,1114000,-1561000,-1251000,-24240000,-19576000,-41835000,-10461000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12813000,-70792000,-41840000,-45934000,-60582000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7996000,-1718000,9468000,10763000,18297000,7309000,12925000,90162000,122979000,41998000
81,Other Working Capital,600000,2700000,17200000,7800000,10700000,31408473,24230010,15279854,34639526,17948793,45905421,30789068,18959122,9756781,17803000,-8019000,24583000,115022000,234840000,210929000,162249000,298054000,1140312000,1252493000,1204146000,2069170000
82,Other Non-Cash Items,260000,-2100000,-14400000,29200000,-2500000,-21013759,20725036,16713013,-23708145,15798466,-27947403,23485621,12306657,19346673,4559781,38158000,-58392000,-3449000,-84932000,7126000,81881000,-149933000,-1062123000,-201295000,197810000,-338411000
83,Cash Provided by Operating Activities,-1780000,-1600000,-3000000,-6700000,-7600000,-9128745,-12822129,-20262859,-17480752,-23781953,-14668967,-20613369,-24677155,-12339313,-8800000,-15209000,-23679000,-29694000,-64695000,-128539000,-149465000,-245820000,-231996000,-388660000,-456463000,107466000
84,CAPEX,-270000,-100000,-300000,-2300000,-200000,-813187,-4177405,-2777663,-1639949,-1070338,-1467882,-1453889,-2127094,-1217531,-1994000,-1954000,-2305000,-1145000,-3775000,-26825000,-4833000,-6866000,-21215000,-64345000,-62713000,-82202000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11375,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-172556000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-8114802,-19095394,-44421888,-13123205,-13140581,-14969926,-110417,-10211,- -,-7000,- -,- -,-7897000,-274368000,-172696000,-195427000,-589520000,-1171956000,-1193632000,-1333568000
87,Sales/Maturities of Investments,- -,200000,- -,- -,- -,- -,- -,19927122,31002342,35494101,3693329,14435793,12813079,- -,111000,- -,- -,- -,- -,142163000,185939000,112100000,306920000,865813000,1715626000,1189480000
88,Other Investing Activites,20000,- -,-200000,-300000,-300000,-282557,-475976,-453404,-397135,-462591,- -,- -,- -,- -,-1063000,-1122000,-1127000,-1037000,-1405000,-1381000,-1432000,-1525000,115785000,-3188000,-3082000,104569000
89,Cash Used for Investing Activites,-250000,100000,-500000,-2600000,-500000,-1095744,-12768183,-2399339,-15456630,20837967,-10915134,-1988022,10575568,-1239117,-1883000,-1961000,-2305000,-1145000,-11672000,-159030000,8410000,-90193000,-178815000,-370488000,286725000,-121721000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74000,-77000,-81000,-85000,-89000,-94000,-2598000,-7603000,-54754000,-267219000,- -,- -
91,Common Stock Issued,- -,4000000,18400000,200000,8200000,27439997,10761250,21977710,35077334,7073900,43527006,8162858,18744948,80805,47840000,2561000,32380000,178681000,145986000,104249000,130805000,364802000,353959000,513409000,365354000,312053000
92,Common Stock Repurchased,860000,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-112699,- -,- -,- -,- -,-226000,- -,19601000,20930000,588877000,283960000,277200000,370270000
95,Cash Used/Provided by Financing Activities,860000,3900000,18200000,200000,8200000,27439997,10761250,21977710,35077334,7073900,43527006,8162858,18744948,-31894,47766000,2484000,32299000,178596000,145671000,104155000,147808000,378129000,888082000,530150000,642554000,682323000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1170000,3900000,18200000,200000,200000,17215508,-14829062,-684488,2139952,4129914,17942905,-14438533,4643361,-13610324,37083000,-14686000,6315000,147757000,69304000,-183414000,6753000,42116000,477271000,-228998000,472816000,668068000
98,Cash at the End of Period,-1170000,- -,- -,- -,8700000,25898513,11069451,10384963,12524915,16654829,34597734,20159201,24802562,11192238,48275000,33589000,39904000,187661000,256965000,73551000,80304000,122420000,599827000,370829000,843645000,1511713000
99,Cash at the Beginning of Period,- -,700000,3000000,17600000,8500000,8683005,25898513,11069451,10384963,12524915,16654829,34597734,20159201,24802562,11192000,48275000,33589000,39904000,187661000,256965000,73551000,80304000,122556000,599827000,370829000,843645000
100,Free Cash Flow,-2050000,-1700000,-3300000,-9000000,-7800000,-9941932,-16999534,-23040522,-19120701,-24852291,-16136849,-22067258,-26804249,-13556844,-10794000,-17163000,-25984000,-30839000,-68470000,-155364000,-154298000,-252686000,-253211000,-453005000,-519176000,25264000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/873303/000091205701008483/a2042175z10-k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465902001268/j3110_10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465903005410/j8825_10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465904007381/a04-3283_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465905011420/a05-1837_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465906017196/a06-2021_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465907020052/a07-5560_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465908018004/a08-2579_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465909016044/a09-1369_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000110465910014622/a09-35851_110k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312511066190/d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312512112142/d252735d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312513109941/d446380d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312514080447/d628320d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000119312515063997/d835729d10k.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459016013358/srpt-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459017002842/srpt-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459018004107/srpt-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459019005170/srpt-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459020006769/srpt-10k_20191231.htm,https://www.sec.gov/Archives/edgar/data/873303/000156459021009835/0001564590-21-009835-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
