,https://roic.ai/company/TT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,-21800000,-61100000,-34800000,331100000,-86300000,-56000000,-61200000,-170400000,102500000,105700000,-36000000,-200800000,-30500000,362700000,-840900000,-1827900000,179500000,374500000,-7338700000,7413300000,-317300000,4613600000,-4888200000,-60200000,-1410000000,-24600000,903200000,-1356200000,565500000,-416500000,-2594100000,975400000,42100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,214100000,222200000,231100000,169700000,164900000,301800000,403600000,385700000,703500000,899000000,869300000,774100000,601600000,708800000,148100000,753200000,809100000,972200000,896100000,330900000,1734600000,695400000,1186800000,1180900000,1170400000,973200000,851100000,1500200000,1523500000,1407800000,1919500000,1435000000,1588300000
84,CAPEX,- -,- -,- -,- -,-110400000,-149200000,-140900000,-131700000,-132000000,-196400000,-211700000,-195000000,-186000000,-276600000,-351700000,-186600000,-200600000,-122900000,-107900000,-108600000,-111800000,-212300000,-119700000,-306000000,-204200000,-179500000,-242900000,-262600000,-242200000,-233500000,-249600000,-182700000,-221300000,-365600000,-254100000,-146200000,-223000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2336600000,-158300000,-112700000,-21300000,-33700000,-514700000,-121500000,6128600000,-7054400000,- -,-14000000,354000000,52700000,4700000,-8200000,-961800000,413300000,-154900000,-285200000,-1539700000,-193600000,-269200000
86,Purchases of Investments,- -,- -,- -,- -,-3700000,- -,- -,- -,- -,- -,- -,-3600000,-400000,- -,- -,-3300000,- -,- -,- -,- -,-153200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,13900000,1200000,600000,1600000,6400000,2800000,- -,- -,- -,1400000,1500000,- -,97200000,5500000,147600000,- -,- -,155800000,700000,7800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,9500000,-157800000,122300000,24000000,64900000,52000000,-1096200000,48700000,-2556100000,91800000,113200000,989300000,74900000,42700000,796800000,1471200000,38000000,16800000,-14900000,46200000,-182700000,-164600000,-146500000,-199100000,-220100000,-188800000,-231100000,-173200000,-219800000,-344200000,-240300000,-182600000,-276500000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-90700000,-305800000,-18000000,-106100000,-60700000,-141600000,-1307900000,-149900000,-2742500000,-183400000,-237000000,-1537200000,-186800000,-187400000,815200000,1328900000,-741700000,-161200000,5994700000,-7306400000,-182700000,-178600000,207500000,-146400000,-215400000,-197000000,-1192900000,240100000,-374700000,-629400000,-1780000000,-376200000,-545700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2232900000,-530300000,-93100000,-420300000,-1265000000,-508000000,-23900000,- -,- -,-1123000000,-7500000,-307500000,-432500000
91,Common Stock Issued,- -,- -,- -,- -,4500000,6100000,1900000,13500000,13100000,3000000,118200000,16300000,43300000,36100000,70200000,8300000,9700000,36800000,211100000,170700000,90900000,95700000,160200000,18500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-400000,-100000000,- -,- -,- -,- -,- -,- -,-33000000,-106400000,-205800000,-121300000,-72500000,- -,- -,-355900000,-837200000,-1096300000,-1999900000,-2000000,- -,- -,-1157500000,-839800000,-1213200000,-1374900000,-250100000,-250100000,-1016900000,-900200000,-750100000,-250000000,-1100300000
93,Dividends Paid,- -,- -,- -,- -,-67200000,-67000000,-68400000,- -,-73500000,-75900000,-78500000,-83900000,-93600000,-98300000,-105300000,-109800000,-113100000,-114900000,-123200000,-152600000,-192100000,-217600000,-209800000,-212900000,-181000000,-110900000,-137300000,-192400000,-245500000,-264700000,-303300000,-348600000,-430100000,-479500000,-510100000,-507300000,-561100000
94,Other Financing Activites,- -,- -,- -,- -,-163100000,149700000,-60600000,11000000,-25700000,-114800000,790500000,-128900000,2041500000,-583800000,-204200000,869800000,-214100000,-217900000,-939800000,-469400000,62700000,-140500000,-513600000,2974500000,1205800000,237500000,141500000,148600000,3070300000,1288100000,87000000,-106500000,14500000,1123900000,1538200000,1949100000,-33700000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-226200000,-11200000,-127100000,24500000,-86100000,-187700000,830200000,-196500000,1958200000,-752400000,-445100000,647000000,-390000000,-296000000,-851900000,-807200000,-875700000,-1358700000,-2563100000,2778100000,-1208100000,-403700000,-1246400000,-1303900000,346600000,-859500000,-490300000,-705200000,-1432500000,-1378800000,270500000,884300000,-2127600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,3600000,8700000,700000,-8200000,-6900000,6600000,4400000,7500000,1600000,3800000,-7800000,-32400000,-7800000,2800000,4100000,-7300000,-14200000,29400000,51800000,12300000,-17300000,24500000,-1500000,-9200000,-72800000,-148700000,-136300000,-57200000,118400000,-45600000,-9800000,68200000,-45700000
97,Net Change In Cash,- -,- -,- -,- -,-226200000,-11200000,-127100000,24500000,-86100000,-187700000,830200000,-196500000,1958200000,-752400000,179400000,-148500000,17000000,228200000,115500000,1267600000,-822500000,-518300000,4379500000,-4185100000,326500000,137600000,146400000,-278600000,1228800000,-232000000,-968400000,977900000,-165300000,-646000000,400200000,2011300000,-1130700000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222900000,74400000,114000000,342200000,457700000,1703700000,880600000,362300000,4735300000,550200000,876700000,1014300000,1160700000,882100000,1937200000,1705200000,736800000,1714700000,1549400000,903400000,1303600000,3289900000,2159200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,235600000,136400000,50300000,136900000,216800000,228000000,207000000,137300000,184100000,104900000,43500000,222900000,97000000,114000000,342200000,436100000,1703100000,880600000,355800000,4735300000,550200000,876700000,1014300000,1160700000,708400000,1937200000,1705200000,736800000,1714700000,1549400000,903400000,1278600000,3289900000
100,Free Cash Flow,- -,- -,- -,- -,103700000,73000000,90200000,38000000,32900000,105400000,191900000,190700000,517500000,622400000,517600000,587500000,401000000,585900000,40200000,644600000,697300000,759900000,776400000,24900000,1530400000,515900000,943900000,918300000,928200000,739700000,601500000,1317500000,1302200000,1042200000,1665400000,1288800000,1365300000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1466258/000119312510043035/0001193125-10-043035-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000119312511042044/0001193125-11-042044-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000144530512000370/0001445305-12-000370-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625813000006/0001466258-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625814000009/0001466258-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000146625815000045/0001466258-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000146625816000319/0001466258-16-000319-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625817000053/0001466258-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625818000063/0001466258-18-000063-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625819000073/0001466258-19-000073-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625820000064/0001466258-20-000064-index.html,https://www.sec.gov/Archives/edgar/data/1466258/000146625821000027/0001466258-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1466258/000146625822000031/0001466258-22-000031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
