,https://roic.ai/company/CGNT,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
23,Net Income,-7900000,-8400000,-9400000,-6200000,-2600000,-2100000,-4777788,-1291020,- -,- -,-3748203000,-2505303000,-4035588000,20631592000,-9342535000,-8225000,-12424000,-11843000,-11016000,-10557000,-7714000,-7709158,- -,-882750,- -,8728000,20191000,14203000,-14890000
24,Net Income ratio,-1.1618,-1.0909,-1.5161,-0.7470,-0.3250,-0.2800,-0.6773,-0.1791,- -,- -,-0.3776,-0.2426,-0.3619,0.7906,-0.9390,-0.6409,-1.1493,-1.0866,-0.6602,-0.6906,-0.4509,-0.2906,- -,-0.0157,- -,0.0201,0.0442,0.0320,-0.0314
25,EPS,-3.95,-4.15,-4.20,-2.30,-0.85,-0.58,-1.20,-0.30,-0.07,-0.06,-0.12,-0.08,-0.11,0.59,-0.26,-0.24,-0.34,-0.31,-0.43,-0.41,-0.30,-0.30,- -,-0.01,- -,0.13,0.31,0.22,-0.22
26,EPS Diluted,-3.95,-4.15,-4.20,-2.30,-0.85,-0.57,-1.19,-0.30,-0.07,-0.06,-0.12,-0.08,-0.11,0.58,-0.26,-0.24,-0.34,-0.31,-248.97,-0.23,-0.17,-0.49,- -,-0.01,- -,0.13,0.31,0.22,-0.22
27,Weighted Average Shares Outstanding,2000000,2024096,2238095,2691264,3044800,3644889,3990968,4471075,26988494000000,27194454000000,30213223000,31447332000,35102798000,35166760000,35286184000,34270833,36853000,38318000,25509584,25509584,25509584,25509584,- -,59981534,- -,65773335,65773335,65773000,66570000
28,Weighted Average Shares Outstanding Diluted,2000000,2024096,2238095,2691264,3044800,3666667,4000000,4471075,26988494000000,27194454000000,30213223000,31447332000,35102798000,35772764000,35286184000,34270833,36853000,38318000,44246,45945000,46155000,15753157,- -,59981534,- -,65773335,65773335,65773000,66570000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/894237/000091205702021265/0000912057-02-021265-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000104746903022790/0001047469-03-022790-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000104746904022088/0001047469-04-022088-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000104746905018325/0001047469-05-018325-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000110465906044524/0001104659-06-044524-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000110465907050898/0001104659-07-050898-index.html,https://www.sec.gov/Archives/edgar/data/894237/000104746908008001/0001047469-08-008001-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000143774909000698/0001437749-09-000698-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000143774910001774/0001437749-10-001774-index.html,https://www.sec.gov/Archives/edgar/data/894237/000143774911003780/0001437749-11-003780-index.html,https://www.sec.gov/Archives/edgar/data/894237/000143774912005491/0001437749-12-005491-index.html,https://www.sec.gov/Archives/edgar/data/894237/000143774913008017/0001437749-13-008017-index.html,https://www.sec.gov/Archives/edgar/data/894237/000143774914010311/0001437749-14-010311-index.html,https://www.sec.gov/Archives/edgar/data/894237/000114036115025428/0001140361-15-025428-index.html,undefined,https://www.sec.gov/Archives/edgar/data/894237/000114036118016156/0001140361-18-016156-index.html,undefined,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5300000,3500000,1700000,2700000,1900000,2200000,1581381,2568724,2890364,2744143,2714941,9868586,6138148,28955497,10655033,1975000,2540000,9180000,2674000,788000,1237000,9261903,- -,20909605,- -,240192000,201090000,78570000,152590000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,1243068,251445,125072,- -,- -,- -,- -,8062418,7948000,447000,- -,- -,- -,- -,- -,- -,6247265,- -,31061000,6603000,4713000,10434000
33,Cash and Short-Term Investments,5300000,3500000,1700000,2700000,1900000,2200000,1581381,3811792,3141809,2869215,2714941,9868586,6138148,28955497,18717451,9923000,2987000,9180000,2674000,788000,1237000,9261903,- -,27156870,- -,271253000,207693000,83283000,163024000
34,Net Receivables,1200000,1000000,1100000,1800000,1400000,1100000,1079590,1148092,834577,736711,1683459,1662486,1767913,1230285,1092460,1818000,1147000,1592000,2132000,3624000,3818000,7306653,- -,8275518,- -,203813000,211344000,196697000,212570000
35,Inventory,3800000,3300000,1800000,700000,700000,600000,1278084,1006016,1193181,1160372,1352716,1876824,2384993,2102757,4021077,5486000,4175000,6096000,3970000,5158000,4194000,4825984,- -,7176695,- -,16750000,14893000,14542000,14366000
36,Other Current Assets,9700000,3100000,4500000,200000,1100000,1100000,76743,66339,76932,51113,62182,61964,59532,111282,446682,406000,886000,332000,197000,276000,455000,749466,- -,1075170,- -,77728000,78269000,55714000,30103000
37,Total Current Assets,20000000,10900000,9100000,5400000,5100000,5000000,4015798,6032239,5246499,4817411,5813298,13469860,10350586,32399821,24277670,17633000,9195000,17200000,8973000,9846000,9704000,22144006,- -,43684253,- -,569544000,512199000,350236000,420063000
38,PP&E,1300000,1800000,1800000,1300000,900000,700000,560796,559981,657575,539676,581025,1203173,1091931,540694,1776457,1788000,1929000,2221000,2033000,1454000,1062000,1813343,- -,2427479,- -,34761000,75731000,69721000,55870000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18749888,- -,19153554,- -,147154000,158143000,158183000,158233000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13749000,- -,7362000,- -,12521000,19547000,16614000,17082000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32498888,- -,26515554,- -,159675000,177690000,174797000,175315000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1871360,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296860,- -,245078,- -,7503000,2015000,3303000,1548000
44,Other Non-Current Assets,200000,100000,200000,100000,200000,2200000,331336,602441,96100,89759,334251,74816,68505,62393,363225,65000,375000,345000,1593000,77000,67000,-418,- -,- -,- -,33864000,37476000,30761000,11809000
45,Total Non-Current Assets,1500000,1900000,2000000,1400000,1100000,2900000,892132,1162422,753675,629435,915276,1277989,1160436,603087,2139682,1853000,2304000,2566000,3626000,1531000,1129000,34608673,- -,31059471,- -,235803000,292912000,278582000,244542000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,21500000,12800000,11100000,6800000,6200000,7900000,4907930,7194661,6000174,5446846,6728574,14747849,11511022,33002908,26417352,19486000,11499000,19766000,12599000,11377000,10833000,56752679,- -,74743724,- -,805347000,805111000,628818000,664605000
48,Accounts Payable,800000,200000,400000,500000,500000,500000,374684,287458,286730,294312,681998,637408,892398,591166,1768859,1014000,867000,921000,587000,1300000,1217000,3967975,- -,2983899,- -,45719000,43389000,41552000,36664000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1243068,251445,125072,- -,- -,- -,- -,8062418,7948000,447000,- -,- -,- -,- -,- -,- -,6247265,- -,13035000,13086000,45857000,107409000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5767000,7120000,6834000,9547000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5693000,672000,130000,210000,- -,- -,774635,- -,139753000,143695000,127012000,83158000
52,Other Current Liabilities,1300000,1600000,2100000,1900000,1900000,1600000,1618760,226031,918926,689688,1040016,1238008,1116113,1996219,-5566450,-5915000,1699000,1553000,1692000,1459000,1414000,6285751,- -,-627105,- -,69907000,79886000,84607000,92365000
53,Total Current Liabilities,2100000,1800000,2500000,2400000,2400000,2100000,1993444,1756557,1457101,1109072,1722014,1875416,2008511,2587385,4264827,3047000,3013000,8167000,2951000,2889000,2841000,10253726,- -,9378694,- -,268414000,280056000,299028000,319596000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,212504,- -,- -,40614,31089,4193,- -,- -,- -,2500000,- -,10000000,17000000,22414000,22529497,- -,- -,- -,192000,26956000,24135000,17179000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,93000,- -,- -,- -,- -,17767000,23305000,22037000,14520000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28496000,11662000,10989000,12051000
57,Other Non-Current Liabilities,300000,200000,100000,- -,- -,400000,- -,- -,421110,201648,- -,- -,- -,1443434000,81083,28000,61000,5075000,97000,22000,- -,1221546,- -,1329335,- -,15160000,7961000,2258000,2170000
58,Total Non-Current Liabilities,300000,200000,100000,- -,- -,400000,- -,212504,421110,201648,40614,31089,4193,1443434000,81083,28000,2561000,5075000,10097000,17084000,22507000,23751043,- -,1329335,- -,61615000,69884000,59419000,45920000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000,33017000,31220000,24588000
61,Total Liabilities,2400000,2000000,2600000,2400000,2400000,2500000,1993444,1969061,1878211,1310720,1762628,1906505,2012704,2587385,4345910,3075000,5574000,13242000,13048000,19973000,25348000,34004769,- -,10708029,- -,330029000,349940000,358447000,365516000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,209010,265207,271052,295882,306879,349988,351483,352438,356475,368000,369000,440000,454000,463000,476000,256763,- -,609059,- -,481069000,458467000,273006000,- -
64,Retained Earnings,-17800000,-26300000,-35700000,-41900000,-44400000,-46600000,-51348982,-52641064,-54535591,-56242686,-59990889,-62496192,-66531780,-46420188,-55762723,-63988000,-76412000,-88255000,-99271000,-109828000,-117542000,-51883229,- -,-81999901,- -,- -,- -,- -,-14890000
65,Other Comprehensive Income/Loss,-700000,-1100000,-1400000,-1900000,-2400000,-2600000,-2846318,-3083860,-3297582,-3529977,-3728242,-4040060,-4489529,-4071537,-4282783,-1576000,-2237000,-2970000,-3149000,-3733000,-4302000,-7370000,- -,-4626000,- -,-13462000,-13923000,-15505000,-16679000
66,Other Total Stockholders Equity,37600000,38200000,45600000,48200000,50600000,54600000,56900776,60685317,61684084,63612907,68378198,79027608,80168144,80554810,81760473,81607000,84205000,97309000,101517000,104502000,106853000,81744376,- -,150052681,- -,- -,- -,- -,- -
67,Total Stockholders Equity,19100000,10800000,8500000,4400000,3800000,5400000,2914486,5225600,4121963,4136126,4965946,12841344,9498318,30415523,22071442,16411000,5925000,6524000,-449000,-8596000,-14515000,22747910,- -,64035839,- -,467607000,444544000,257501000,285137000
68,Total Liabilities And Stockholders Equity,21500000,12800000,11100000,6800000,6200000,7900000,4907930,7194661,6000174,5446846,6728574,14747849,11511022,33002908,26417352,19486000,11499000,19766000,12599000,11377000,10833000,56752679,- -,74743868,- -,797636000,794484000,615948000,650653000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144,- -,7711000,10627000,12870000,13952000
70,Total Liabilities & Equity,21500000,12800000,11100000,6800000,6200000,7900000,4907930,7194661,6000174,5446846,6728574,14747849,11511022,33002908,26417352,19486000,11499000,19766000,12599000,11377000,10833000,56752679,- -,74743724,- -,805347000,805111000,628818000,664605000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/894237/000091205702021265/0000912057-02-021265-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000104746903022790/0001047469-03-022790-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000104746904022088/0001047469-04-022088-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000104746905018325/0001047469-05-018325-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000110465906044524/0001104659-06-044524-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000110465907050898/0001104659-07-050898-index.html,https://www.sec.gov/Archives/edgar/data/894237/000104746908008001/0001047469-08-008001-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000143774909000698/0001437749-09-000698-index.htm,https://www.sec.gov/Archives/edgar/data/894237/000143774910001774/0001437749-10-001774-index.html,https://www.sec.gov/Archives/edgar/data/894237/000143774911003780/0001437749-11-003780-index.html,https://www.sec.gov/Archives/edgar/data/894237/000143774912005491/0001437749-12-005491-index.html,https://www.sec.gov/Archives/edgar/data/894237/000143774913008017/0001437749-13-008017-index.html,https://www.sec.gov/Archives/edgar/data/894237/000143774914010311/0001437749-14-010311-index.html,https://www.sec.gov/Archives/edgar/data/894237/000114036115025428/0001140361-15-025428-index.html,undefined,https://www.sec.gov/Archives/edgar/data/894237/000114036118016156/0001140361-18-016156-index.html,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-7900000,-8400000,-9400000,-6200000,-2600000,-2100000,-4777788,-1291020,- -,- -,-3748203000,-2505303000,-4035588000,20631592000,-9342535000,-8225000,-12424000,-11843000,-11016000,-10557000,-7714000,-7709158,- -,-882750,- -,8728000,20191000,14203000,-10256000
74,Depreciation and Amortization,200000,300000,600000,500000,500000,400000,290946,247665,220063,238736,204606,318205,455780,490263,254788,471000,653000,747000,832000,795000,695000,278953,- -,3165980,- -,21021000,17325000,22519000,21278000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83402,- -,-80048,- -,9003000,5603000,-2195000,5860000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,966000,1568000,1678000,2018000,1469000,694000,1389169,- -,1452911,- -,25536000,31028000,27423000,32865000
77,Change in Working Capital,-2100000,1000000,1900000,600000,400000,400000,-1052027,-82049,-159270,-134941,-595859,-304685,-541605,1430990,-500823,-3086000,1291000,2865000,-3882000,-2932000,344000,1544337,- -,-1534389,- -,-11565000,-11455000,7938000,-48048000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-726000,628000,-236000,-539000,-1497000,-215000,-337842,- -,-661770,- -,-44137000,-24140000,1496000,-5718000
79,Inventory,-1900000,600000,1500000,1100000,- -,- -,-644513,272068,-187165,32809,-192344,-524108,-508169,282236,-1918323,-1465000,1130000,-2599000,1773000,-1372000,692000,140610,- -,276090,- -,-3616000,-392000,-1142000,-363000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000,-334000,713000,-83000,231663,- -,-90320,- -,-7750000,1307000,8668000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291000,-20000,- -,-58000,-481000,-61000,713935,- -,-670951,- -,30963000,7927000,-14855000,-49963000
82,Other Non-Cash Items,100000,100000,-100000,100000,100000,1800000,3930170,563564,-973417,-1822104,3747852833,2502980276,4032050228,-20636864077,9333226802,-4846000,80000,-68000,419000,1579000,66000,215478,- -,185007,- -,1012000,4494000,1423000,931000
83,Cash Provided by Operating Activities,-9700000,-7000000,-7000000,-5000000,-1600000,500000,-1608699,-561840,-912624,-1718309,-741420,-2309204,-3623597,-3350824,-9554233,-14720000,-8832000,-6621000,-11629000,-9646000,-5915000,-4364623,- -,2306711,- -,53735000,67186000,71311000,2630000
84,CAPEX,-600000,-1000000,-500000,-200000,-200000,-200000,-162527,-138281,-311316,-114496,-239614,-666466,-338227,-627451,-1332040,-617000,-533000,-269000,-209000,-95000,-53000,-420726,- -,-856875,- -,-12610000,-21329000,-19331000,-17792000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3811000,-18693000,- -,- -
86,Purchases of Investments,- -,- -,-1200000,- -,-1000000,- -,970608,-1243068,- -,- -,- -,- -,- -,- -,-47121608,-20799000,-2572000,-149000,- -,- -,- -,- -,- -,-2438322,- -,-57735000,-29099000,-48585000,-58973000
87,Sales/Maturities of Investments,4300000,6500000,- -,4200000,- -,- -,- -,- -,991623,126373,125072,- -,- -,- -,39059190,20928000,10003000,596000,- -,- -,- -,3450000,- -,15020000,- -,28243000,53527000,51174000,52978000
88,Other Investing Activites,-100000,- -,-100000,- -,- -,-3000000,-1486667,-500000,- -,- -,-250833,-14452,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25113000,-21585000,28028000,-97000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68339000,-29541000,16418000,-17851000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49000,-52000,-64000,-87000,-91000,-58000,- -,- -,-3319698,- -,-1000000,-6000000,-7025000,- -
91,Common Stock Issued,200000,- -,7000000,2100000,2000000,3000000,1641718,3453473,602375,1616805,978339,10198122,194746,92427,529131,- -,- -,- -,- -,878000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14000,-36000,-28000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000000
94,Other Financing Activites,- -,-100000,- -,- -,- -,- -,2085,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,13000000,-5000,- -,- -,- -,- -,- -,- -,7057000,-79973000,-198592000,93743000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6057000,-85973000,-205617000,58743000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-544000,-985000,-864000,41000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-643482,987343,321640,-146221,-29202,7153645,-3730438,22817349,-18300464,-8672000,557000,6640000,-6506000,-1886000,449000,580293,- -,11539981,- -,-9091000,-49313000,-118752000,43563000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1581381,2568724,2890364,2744143,2714941,9868586,6138148,28955497,10655033,1983000,2540000,9180000,2674000,788000,1237000,9261903,- -,20909605,- -,282722000,233409000,114657000,158220000
99,Cash at the Beginning of Period,11200000,5300000,3500000,1700000,2700000,1900000,2224863,1581381,2568724,2890364,2744143,2714941,9868586,6138148,28955497,10655000,1983000,2540000,9180000,2674000,788000,8681610,- -,9369624,- -,291813000,282722000,233409000,114657000
100,Free Cash Flow,-10300000,-8000000,-7500000,-5200000,-1800000,300000,-1771226,-700121,-1223940,-1832805,-981034,-2975670,-3961824,-3978275,-10886273,-15337000,-9365000,-6890000,-11838000,-9741000,-5968000,-4785349,- -,1449836,- -,41125000,45857000,51980000,-15162000
