,https://roic.ai/company/WAT,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,110600000,180200000,177500000,170700000,165455000,163479000,227644000,268720000,313786000,294934000,396860000,414385000,418016000,475242000,472973000,489063000,536979000,589462000,587209000,574886000,559135000,588214000,602516000,596331000,703007000,680266000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,36100000,70100000,59600000,74600000,80486000,86481000,27834000,38580000,36848000,79975000,71511000,68752000,76992000,49387000,52996000,54972000,100166000,111980000,115406000,146903000,130361000,116728000,118664000,137533000,- -,328725000
45,Total Non-Current Assets,- -,221500000,339000000,326100000,337100000,348549000,364167000,374491000,415462000,486542000,515939000,617633000,643993000,666596000,735555000,741029000,781130000,910424000,1026374000,1024198000,1055144000,1026614000,1054220000,1064263000,1244564000,1197010000,1556904000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,365500000,552100000,577700000,584400000,692345000,886911000,1010947000,1130861000,1460426000,1428931000,1617313000,1881055000,1622898000,1907931000,2327670000,2723234000,3168150000,3582629000,3877934000,4268677000,4662059000,5324354000,3727426000,2557055000,2598043000,3094932000
48,Accounts Payable,- -,17500000,33100000,36500000,34800000,43310000,35979000,45199000,43884000,46180000,44243000,47073000,47451000,47240000,49573000,64406000,55317000,54724000,64961000,65704000,70573000,67740000,64537000,68168000,49001000,72212000,- -
49,Short-Term Debt,- -,1700000,7400000,4300000,14200000,4879000,1140000,2665000,121309000,206663000,326286000,403461000,384176000,36120000,131772000,66055000,290832000,132781000,133346000,225243000,175309000,125297000,100273000,178000,127491000,177764000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13267000,11909000,9449000,60888000,19770000,15143000,14894000,15244000,73008000,22943000,45967000,76558000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,46014000,48508000,55923000,66783000,71733000,76131000,87348000,87492000,94680000,106445000,109922000,121470000,128056000,129706000,141505000,148837000,166840000,164965000,176360000,198240000,- -
52,Other Current Liabilities,- -,63600000,130200000,144800000,148800000,172344000,197873000,223843000,157405000,173364000,161629000,159169000,139459000,118654000,118543000,148944000,145792000,195267000,161169000,160942000,176689000,178447000,274507000,215620000,238482000,356767000,- -
53,Total Current Liabilities,- -,82800000,170700000,185600000,197800000,220533000,281006000,320215000,378521000,492990000,603891000,685834000,658434000,289506000,394568000,385850000,601863000,504242000,487532000,581595000,564076000,520321000,606157000,448931000,591334000,804983000,- -
54,Long-Term Debt,- -,210500000,305300000,218300000,81100000,- -,- -,- -,125000000,250000000,500000000,500000000,500000000,500000000,500000000,700000000,700000000,1045000000,1190000000,1240000000,1493027000,1701966000,1897501000,1148172000,1580797000,1206515000,1513870000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72604000,77764000,72613000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,7200000,5700000,14600000,13300000,20031000,24160000,25422000,36863000,38750000,41408000,69096000,136545000,172387000,91810000,95259000,122180000,151551000,141924000,161673000,152723000,137823000,586908000,563065000,601205000,97968000,1213508000
58,Total Non-Current Liabilities,- -,217700000,311000000,232900000,94400000,20031000,24160000,25422000,161863000,288750000,541408000,569096000,636545000,672387000,664414000,873023000,894793000,1196551000,1331924000,1401673000,1645750000,1839789000,2484409000,1711237000,2182002000,1304483000,2727378000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94006000,95961000,- -
61,Total Liabilities,- -,300500000,481700000,418500000,292200000,240564000,305166000,345637000,540384000,781740000,1145299000,1254930000,1294979000,961893000,1058982000,1258873000,1496656000,1700793000,1819456000,1983268000,2209826000,2360110000,3090566000,2160168000,2773336000,1802793000,2727378000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,600000,1298000,1309000,1322000,1367000,1414000,1423000,1441000,1471000,1481000,1488000,1511000,1528000,1537000,1552000,1567000,1577000,1586000,1598000,1605000,1610000,1617000,- -
64,Retained Earnings,- -,-87800000,-96100000,-21700000,100000000,245383000,359926000,507638000,678529000,902582000,1104557000,1326757000,1590924000,1913403000,2236716000,2618479000,3051447000,3512890000,3962893000,4394513000,4863566000,5385069000,5405380000,5995205000,6587403000,7107989000,- -
65,Other Comprehensive Income/Loss,- -,-19700000,-30100000,-45400000,-56400000,-68357000,-86421000,4443000,45409000,63627000,24417000,43665000,66232000,-8581000,15574000,-11795000,-36055000,-26395000,5879000,-78705000,-146726000,-216280000,-110067000,-117971000,-119471000,-117943000,-111865000
66,Other Total Stockholders Equity,- -,172500000,196600000,226300000,248000000,273457000,306931000,151907000,-134828000,-288937000,-846765000,-1009480000,-1072551000,-1245298000,-1404829000,-1539398000,-1790342000,-2020675000,-2207151000,-2422709000,-2659566000,-2868426000,-3063123000,-4311581000,-6685823000,-6759519000,- -
67,Total Stockholders Equity,- -,65000000,70400000,159200000,292200000,451781000,581745000,665310000,590477000,678686000,283632000,362383000,586076000,661005000,848949000,1068797000,1226578000,1467357000,1763173000,1894666000,2058851000,2301949000,2233788000,1567258000,-216281000,232144000,367554000
68,Total Liabilities And Stockholders Equity,- -,365500000,552100000,577700000,584400000,692345000,886911000,1010947000,1130861000,1460426000,1428931000,1617313000,1881055000,1622898000,1907931000,2327670000,2723234000,3168150000,3582629000,3877934000,4268677000,4662059000,5324354000,3727426000,2557055000,2034937000,3094932000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563106000,- -
70,Total Liabilities & Equity,- -,365500000,552100000,577700000,584400000,692345000,886911000,1010947000,1130861000,1460426000,1428931000,1617313000,1881055000,1622898000,1907931000,2327670000,2723234000,3168150000,3582629000,3877934000,4268677000,4662059000,5324354000,3727426000,2557055000,2598043000,3094932000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1000697/000104746999012709/0001047469-99-012709-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000697/000092701601001505/0000927016-01-001505-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000697/000092701603001234/0000927016-03-001234-index.html,https://www.sec.gov/Archives/edgar/data/1000697/000095013504001254/0000950135-04-001254-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000095013505001421/0000950135-05-001421-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000095013506001427/0000950135-06-001427-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000095013507001300/0000950135-07-001300-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000095013508001339/0000950135-08-001339-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000095013509001331/0000950135-09-001331-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000095012310017583/0000950123-10-017583-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000095012311018381/0000950123-11-018381-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312512077126/0001193125-12-077126-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312513076804/0001193125-13-076804-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312514072515/0001193125-14-072515-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312515067900/0001193125-15-067900-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312516480594/0001193125-16-480594-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312517056239/0001193125-17-056239-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312518060830/0001193125-18-060830-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312519051872/0001193125-19-051872-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312520048303/0001193125-20-048303-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312521054385/0001193125-21-054385-index.htm,https://www.sec.gov/Archives/edgar/data/1000697/000119312522051509/0001193125-22-051509-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2000000,-2400000,-8300000,74400000,122300000,145342000,114543000,147712000,170891000,224053000,201975000,222200000,268072000,322479000,323313000,381763000,432968000,461443000,450003000,431620000,469053000,521503000,20311000,593794000,592198000,521571000,692843000
74,Depreciation and Amortization,16500000,17800000,21100000,28400000,29600000,29437000,33951000,37194000,33848000,41926000,43685000,46159000,53317000,65271000,57272000,62558000,66387000,68831000,79695000,94231000,89987000,96449000,106002000,108408000,105296000,68685000,131680000
75,Deferred Income Tax,- -,- -,-5900000,-10400000,3400000,-4444000,1841000,-756000,-5926000,1468000,10235000,506000,5946000,-19626000,36276000,-15037000,-5824000,-52219000,169000,1583000,6581000,1204000,45510000,2405000,9620000,-2693000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28255000,24852000,27579000,29183000,31708000,32998000,33368000,40998000,39436000,37541000,38577000,36865000,29918000
77,Change in Working Capital,8800000,61200000,-18800000,23600000,-16500000,73763000,118475000,74503000,20637000,144016000,-171793000,4745000,264782000,88168000,111012000,422983000,139450000,413243000,315239000,203418000,377316000,465667000,548853000,-1449745000,-1493075000,-125107000,-107167000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16905000,-43286000,-12528000,-39836000,-35233000,-29435000,-49888000,-31721000,-24013000,-47921000,-22195000,37467000,- -
79,Inventory,5600000,5400000,-2300000,-8200000,-1500000,-10455000,-15931000,-4575000,3628000,-11575000,-6973000,-29853000,-6368000,-20618000,-6823000,-37036000,-18838000,-21655000,-11389000,-15984000,-19967000,-20147000,731000,-25396000,-31854000,18940000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11845000,563000,-28127000,-13687000,27451000,6842000,3175000,-81663000,9784000,140598000,- -
81,Other Working Capital,- -,61200000,42400000,66000000,49500000,123263000,241738000,316241000,336878000,480894000,309101000,313846000,578628000,666796000,777808000,1200791000,1340241000,1753484000,2068723000,2272141000,2649457000,3115124000,3663977000,2214232000,721157000,596050000,- -
82,Other Non-Cash Items,18900000,-20900000,108300000,-5800000,11400000,-68512000,-79660000,-39007000,-62445000,-152014000,213965000,-10016000,-221610000,-38044000,-137865000,-419263000,-163186000,-471201000,-391938000,-252202000,-416012000,-496745000,-62472000,1312043000,1390471000,291186000,- -
83,Cash Provided by Operating Activities,46200000,55700000,96400000,110200000,150200000,175586000,189150000,219646000,157005000,259449000,298067000,263594000,370507000,418248000,418263000,457856000,497374000,449280000,484876000,511648000,560293000,629076000,697640000,604446000,643087000,790507000,747274000
84,CAPEX,-6300000,-10100000,-179200000,-18200000,-21800000,-35368000,-42408000,-37965000,-34586000,-66236000,-51045000,-51421000,-60342000,-69065000,-93796000,-62740000,-85436000,-104749000,-118450000,-106248000,-103012000,-94967000,-90473000,-96079000,-163823000,-172384000,-168266000
85,Acquisitions Net,- -,- -,- -,- -,- -,-1710000,-2580000,-5851000,-35204000,-42369000,- -,-78953000,-9076000,-7805000,-36086000,- -,-11100000,-31016000,-41395000,-27008000,-23494000,-5609000,- -,-31486000,- -,-80545000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-15223000,- -,- -,- -,- -,- -,- -,-394074000,-19738000,-518390000,-1234671000,-1749161000,-1815988000,-2972116000,-2196153000,-2010368000,-2396032000,-2967379000,-1013695000,-45794000,-25884000,-63364000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294861000,115419000,229244000,885896000,1489721000,1655359000,2667232000,1925816000,1731981000,2004690000,2522100000,2824562000,978419000,20862000,- -
88,Other Investing Activites,-8200000,-83000000,-5300000,-5400000,-3900000,614000,-3277000,-14500000,51127000,- -,- -,- -,724000,- -,- -,- -,- -,- -,- -,1563000,5154000,4000000,- -,- -,- -,-6143000,-7000000
89,Cash Used for Investing Activites,-14500000,-93100000,-184500000,-23600000,-25700000,-51687000,-48265000,-58316000,-18663000,-108605000,-51045000,-130374000,-167907000,18811000,-419028000,-411515000,-355976000,-296394000,-464729000,-402030000,-399739000,-487918000,-535752000,1683302000,768802000,-264094000,-231630000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92556000,-182856000,-373751000,-32107000,-886644000,-239776000,-120140000,-325323000,-1310214000,-850435000,-390482000,-640366000,- -
91,Common Stock Issued,86200000,1300000,2500000,6600000,11200000,23813000,9018000,11276000,27824000,44982000,16801000,39913000,91427000,28646000,19099000,100584000,60153000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-9500000,- -,- -,-99296000,-324578000,-231287000,-659285000,-249203000,-200648000,-237500000,-211377000,-296292000,-370835000,-295878000,-301580000,-337444000,-334705000,-325759000,-332544000,-1315106000,-2469258000,- -,-648930000
93,Dividends Paid,-16200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-115800000,33400000,88600000,-90200000,-127300000,-75188000,3064000,-50669000,233114000,207812000,370469000,83384000,-10465000,-364084000,194554000,318312000,624011000,261450000,1123636000,469999000,385251000,549225000,1578889000,46019000,987062000,199864000,210655000
95,Cash Used/Provided by Financing Activities,-45800000,34700000,91100000,-83600000,-125600000,-51375000,12082000,-138689000,-63640000,21507000,-272015000,-125906000,-119686000,-572938000,-90280000,-60252000,-60422000,-66535000,-64588000,-107221000,-69594000,-101857000,-63869000,-2119522000,-1872678000,-440502000,-438275000
96,Effect of Forex Changes on Cash,600000,100000,-400000,-600000,-600000,-818000,-1678000,13873000,18767000,9945000,-20496000,13264000,253000,-32932000,3634000,-18702000,-5484000,10694000,4202000,-21016000,-25472000,-21335000,38669000,-14265000,224000,15069000,-12830000
97,Net Change In Cash,-13500000,-2600000,- -,- -,-1700000,71706000,151289000,36514000,93469000,182296000,-45489000,20578000,83167000,-168811000,-87411000,-32613000,75492000,97045000,-40239000,-18619000,65488000,17966000,136688000,153961000,-460565000,100980000,64539000
98,Cash at the End of Period,3200000,600000,- -,- -,3800000,75509000,226798000,263312000,356781000,539077000,493588000,514166000,597333000,428522000,341111000,308498000,383990000,481035000,440796000,422177000,487665000,505631000,642319000,796280000,335715000,436695000,501234000
99,Cash at the Beginning of Period,16700000,3200000,600000,3100000,5500000,3803000,75509000,226798000,263312000,356781000,539077000,493588000,514166000,597333000,428522000,341111000,308498000,383990000,481035000,440796000,422177000,487665000,505631000,642319000,796280000,335715000,436695000
100,Free Cash Flow,39900000,45600000,-82800000,92000000,128400000,140218000,146742000,181681000,122419000,193213000,247022000,212173000,310165000,349183000,324467000,395116000,411938000,344531000,366426000,405400000,457281000,534109000,607167000,508367000,479264000,618123000,579008000
