,https://roic.ai/company/PEAK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,12800000,37500000,51700000,75000000,80800000,91600000,107900000,108600000,117800000,53562000,60395000,64017000,66446000,115407000,149099000,216213000,205018000,223526000,257663000,259186000,279292000,338316000,450681000,442868000,471100000,649858000,1052230000,1179025000,1269051000,1339506000,1323130000,719176000,550666000,484678000,356315000,215148000,137728000
18,Operating Income ratio,1.2800,1.3021,1.3056,1.4098,1.2928,1.2705,1.3589,1.2975,1.2735,0.5411,0.5714,0.5317,0.5171,0.7144,0.6633,0.6556,0.6167,0.6216,0.6439,0.6046,0.5852,0.5465,0.4587,0.4317,0.4072,0.5178,0.6099,0.6203,0.6043,0.5911,0.5200,0.3378,0.2979,0.2625,0.1784,0.1308,0.0726
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,9756000,1232000,- -,-2090000,- -,- -,-3577000,- -,-216310000,-366346000,-260931000,-547399000,-422232000,-417036000,-446068000,-1889977000,-351892000,-140266000,573536000,-304891000,2535000,-9361000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226558000,104754000,388927000,504831000,756793000,852015000,893438000,-566847000,367284000,410400000,1058214000,51424000,217683000,128367000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2209,0.0905,0.3099,0.2926,0.3982,0.4057,0.3942,-0.2228,0.1725,0.2220,0.5730,0.0257,0.1323,0.0677
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4292000,1924000,412000,1249000,-1636000,5815000,250000,-9011000,4473000,-1333000,-17854000,-17262000,-9423000,-3261000
23,Net Income,5000000,13000000,14200000,13700000,13800000,23200000,26500000,35700000,44100000,49977000,80266000,60641000,64789000,87167000,96225000,133767000,121166000,137380000,158585000,169040000,173057000,417547000,589015000,448495000,130199000,330709000,538891000,832540000,970837000,922233000,-559235000,627747000,414169000,1061093000,45530000,413563000,505540000
24,Net Income ratio,0.5000,0.4514,0.3586,0.2575,0.2208,0.3218,0.3338,0.4265,0.4768,0.5048,0.7594,0.5037,0.5042,0.5396,0.4281,0.4056,0.3645,0.3821,0.3963,0.3943,0.3626,0.6745,0.5995,0.4372,0.1125,0.2635,0.3123,0.4380,0.4623,0.4069,-0.2198,0.2948,0.2241,0.5746,0.0228,0.2514,0.2666
25,EPS,0.07,0.11,0.11,0.10,0.10,0.13,0.14,0.34,0.41,0.94,1.42,1.06,1.10,1.28,1.13,1.06,0.90,0.97,0.49,1.12,1.13,2.67,2.73,1.80,0.40,1.01,1.29,1.90,2.13,2.01,-1.21,1.34,0.88,2.25,0.09,0.77,0.98
26,EPS Diluted,0.07,0.11,0.11,0.10,0.10,0.13,0.14,0.34,0.41,0.94,1.42,1.06,1.09,1.27,1.13,1.06,0.89,0.96,0.48,1.11,1.12,2.66,2.71,1.79,0.40,1.00,1.29,1.90,2.13,2.00,-1.21,1.34,0.88,2.24,0.09,0.77,0.98
27,Weighted Average Shares Outstanding,19400000,32584000,32628000,32668000,36800000,45928000,46246000,52888000,53246000,53358000,56696000,57304000,57564000,61494000,69584000,102114000,107758000,115654000,249884000,131854000,134673000,148236000,207924000,237301000,274216000,305574000,398446000,427047000,455002000,458425000,462795000,467195000,468759000,470551000,486255000,530555000,539021000
28,Weighted Average Shares Outstanding Diluted,19400000,32584000,32628000,32668000,36800000,45928000,46246000,52888000,53246000,53358000,56696000,57304000,58029224,61917323,69584000,102114000,108164045,116294000,252260000,133362000,135560000,149226000,209254000,238296000,274631000,306900000,400218000,428316000,455702000,458796000,462795000,467403000,468935000,475387000,489335000,531056000,539388000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/765880/000076588095000014/0000765880-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/765880/000076588096000003/0000765880-96-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/765880/000101706201000490/0001017062-01-000490-index.html,- -,https://www.sec.gov/Archives/edgar/data/765880/000102140803003237/d10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000119312504042307/d10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000119312505049849/d10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000110465906008648/a06-2628_110k.htm,https://www.sec.gov/Archives/edgar/data/765880/000110465907009885/a07-3771_110k.htm,https://www.sec.gov/Archives/edgar/data/765880/000104746908001116/a2182240z10-k.htm,https://www.sec.gov/Archives/edgar/data/765880/000104746909001929/0001047469-09-001929-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746910000766/0001047469-10-000766-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746911000945/a2201949z10-k.htm,https://www.sec.gov/Archives/edgar/data/765880/000104746912000940/0001047469-12-000940-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746913000878/0001047469-13-000878-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746914000766/a2218127z10-k.htm,https://www.sec.gov/Archives/edgar/data/765880/000155837015000067/hcp-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000155837016003110/0001558370-16-003110-index.html,https://www.sec.gov/Archives/edgar/data/765880/000155837017000535/0001558370-17-000535-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828018001552/0001628280-18-001552-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828019001407/0001628280-19-001407-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828020001456/0001628280-20-001456-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828021001804/0001628280-21-001804-index.htm,https://www.sec.gov/Archives/edgar/data/765880/000162828022002117/0001628280-22-002117-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,2000000,2811000,4084000,4504000,7696000,58623000,8408000,8495000,17768000,20555000,21342000,60687000,96269000,57562000,112259000,1036701000,33506000,247673000,300556000,183810000,346500000,94730000,55306000,110790000,144232000,44226000,158287000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,703402000,888946000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,2000000,2811000,4084000,4504000,7696000,58623000,8408000,8495000,17768000,20555000,21342000,764089000,985215000,57562000,112259000,1036701000,33506000,247673000,300556000,183810000,346500000,94730000,55306000,110790000,144232000,44226000,158287000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14920000,20940000,22382000,16471000,14834000,13313000,31026000,44892000,34211000,43726000,34504000,26681000,616474000,762414000,1299164000,1203560000,1164846000,354059000,111169000,249996000,237644000,464502000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57496000,171000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2707404000,- -,- -,3523806000,8680526000,10867844000,35078000,33000000,36319000,41553000,37848000,47048000,48976000,60616000,970126000,443911000,137142000,544819000,2693512000,90644000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2738281000,- -,- -,3558461000,9533137000,11898122000,126851000,188985000,1107524000,101740000,901995000,1110018000,1531950000,1610676000,2229702000,853276000,359101000,939047000,2975382000,713433000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,475795000,527994000,623734000,786502000,1131119000,2192988000,2100509000,2194556000,2371411000,2505845000,2816372000,3241852000,6867191000,9249799000,8710091000,8585345000,8676764000,9385432000,- -,- -,- -,- -,- -,- -,- -,172486000,192349000,233942000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50346000,50346000,50346000,50346000,50346000,50346000,42386000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38804000,479612000,623650000,507100000,389698000,316375000,373763000,552701000,489842000,481013000,614227000,479805000,410082000,305079000,331693000,519917000,519760000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38804000,479612000,623650000,507100000,389698000,366721000,424109000,603047000,540188000,531359000,664573000,522191000,410082000,305079000,331693000,519917000,519760000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32664000,210045000,60506000,48598000,703402000,888946000,921163000,868055000,805508000,6968882000,7341244000,7594064000,8117224000,6613211000,1392710000,1515192000,1253906000,910119000,447577000,448340000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2393939000,- -,- -,-3290450000,-7570593000,-10138745000,1584621000,2177652000,2375406000,528312000,11069269000,10831600000,11189407000,12561389000,11614662000,11309911000,10800467000,11679546000,11784864000,13342044000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10136000,- -,- -,38804000,479612000,623650000,11722975000,12020750000,12224399000,17306735000,19013560000,18965852000,19837990000,19839173000,13529563000,13235185000,12359452000,13093844000,12944707000,14544086000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,573826000,667831000,753653000,940964000,1356612000,2469390000,2398703000,2431153000,- -,3035957000,3102634000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,573826000,667831000,753653000,940964000,1356612000,2469390000,2398703000,2431153000,2748417000,3035957000,3102634000,3597265000,10012749000,12521772000,11849826000,12209735000,13331923000,17408475000,19915555000,20075870000,21369940000,21449849000,15759265000,14088461000,12718553000,14032891000,15920089000,15257519000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227638000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000000,215500000,204500000,108500000,267800000,198000000,300100000,258600000,1129093000,951700000,- -,- -,- -,- -,- -,- -,838516000,397432000,899718000,1017076000,80103000,93000000,129590000,1165975000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60185000,85127000,77653000,65614000,- -,- -,- -,- -,- -,- -,- -,- -,774316000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,61000000,37000000,113000000,52000000,89500000,95500000,126500000,134200000,188000000,196900000,240400000,516907000,2257300000,211691000,309596000,313806000,275478000,293994000,318427000,-405582000,38807000,-478582000,-601307000,312605000,399522000,404812000,542802000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,61000000,37000000,113000000,140000000,305000000,300000000,235000000,402000000,386000000,497000000,499000000,1646000000,3209000000,271876000,394723000,391459000,341092000,293994000,318427000,432934000,436239000,421136000,415769000,392708000,492522000,1308718000,1936415000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,20581000,145090000,112034000,452858000,709045000,1179507000,1158928000,1057752000,1333848000,1407284000,1486206000,1956946000,5516447000,5209207000,5937456000,5456143000,4646345000,7722619000,8693820000,8661627000,9759773000,11069003000,9189495000,7880466000,5567908000,6351613000,6348284000,5208561000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15300000,22551000,20795000,55990000,- -,- -,- -,- -,68055000,65872000,95411000,123017000,149181000,144709000,190683000,289680000,774316000,789207000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,239419000,121910000,267966000,-66858000,-88045000,-215507000,-204928000,-108752000,-267848000,-198284000,-315506000,-281497000,-464242000,-56197000,439223000,400260000,148072000,124142000,105909000,98810000,84723000,75273000,58145000,52579000,54663000,231602000,144199000,177232000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,260000000,267000000,380000000,386000000,621000000,964000000,954000000,949000000,1066000000,1209000000,1186000000,1698000000,5073000000,5209000000,6376679000,5856403000,4794417000,7846761000,8867784000,8826309000,9939907000,11267293000,9396821000,8077754000,5813254000,6872895000,7266799000,6175000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105909000,98810000,84723000,75273000,58145000,52579000,54663000,156611000,179895000,204547000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,284946000,309652000,399243000,476350000,737803000,1228729000,1214604000,1114461000,1395993000,1478419000,1561411000,2048215000,6556948000,8078792000,6648555000,6251126000,5185876000,8187853000,9161778000,9144736000,10372841000,11703532000,9817957000,8493523000,6205962000,7365417000,8575517000,8111415000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274487000,285173000,285173000,285173000,285173000,285173000,285173000,285173000,285173000,285173000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,26733000,28574000,28678000,30216000,30987000,51421000,50874000,56387000,59470000,131040000,133658000,136194000,198599000,216819000,253601000,293548000,370925000,408629000,453191000,456961000,459746000,465488000,468081000,469436000,477496000,505222000,538405000,539097000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62379000,-42280000,-47544000,-54681000,-56724000,-66676000,-107988000,-176945000,-252914000,-318678000,-391770000,-467102000,-316369000,-120920000,-130068000,-515450000,-775476000,-1024274000,-1067367000,-1053215000,-1132541000,-2738414000,-3089734000,-3370520000,-2927196000,-3601199000,-3976232000,-4120774000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111540000,-121983000,-147860000,-170502000,-190941000,-230509000,-287719000,-339971000,-424788000,-486421000,-534573000,-1000000,18000000,-2000000,-81000000,-2000000,-13000000,-20000000,-15000000,-14000000,-24000000,-30000000,-30000000,-24000000,-5000000,-3000000,-3685000,-3147000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,416589000,475149000,503532000,637236000,812097000,1446021000,1489388000,1707253000,1624634000,1829503000,1926954000,1446501000,3108633000,3724637000,4873565000,5719266000,8089745000,9383954000,11180413000,11333554000,11432092000,11646569000,8199248000,8226089000,8399139000,9184035000,10229857000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,269403000,339460000,336806000,442269000,595419000,1200257000,1144555000,1246724000,1280889000,1440617000,1419442000,1399766000,3294036000,4103709000,5201271000,5780537000,7957367000,9033482000,10551237000,10723300000,10735297000,9343643000,5547595000,5301005000,5944439000,6085058000,6788345000,6515470000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,554349000,649112000,736049000,918619000,1333222000,2428986000,2359159000,2361185000,2676882000,2919036000,2980853000,3447981000,9850984000,12182501000,11849826000,12031663000,13143243000,17221335000,19713015000,19868036000,21108138000,21047175000,15365552000,13794528000,12150401000,13450475000,15363862000,14626885000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,19477000,18719000,17604000,22345000,23390000,40404000,39544000,69968000,71535000,116921000,121781000,149284000,161765000,339271000,- -,178072000,188680000,187140000,202540000,207834000,261802000,402674000,393713000,293933000,568152000,582416000,556227000,630634000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,573826000,667831000,753653000,940964000,1356612000,2469390000,2398703000,2431153000,2748417000,3035957000,3102634000,3597265000,10012749000,12521772000,11849826000,12209735000,13331923000,17408475000,19915555000,20075870000,21369940000,21449849000,15759265000,14088461000,12718553000,14032891000,15920089000,15257519000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/765880/000076588095000014/0000765880-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/765880/000076588096000003/0000765880-96-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/765880/000101706201000490/0001017062-01-000490-index.html,- -,https://www.sec.gov/Archives/edgar/data/765880/000102140803003237/d10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000119312504042307/d10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000119312505049849/d10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000110465906008648/a06-2628_110k.htm,https://www.sec.gov/Archives/edgar/data/765880/000110465907009885/a07-3771_110k.htm,https://www.sec.gov/Archives/edgar/data/765880/000104746908001116/a2182240z10-k.htm,https://www.sec.gov/Archives/edgar/data/765880/000104746909001929/0001047469-09-001929-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746910000766/0001047469-10-000766-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746911000945/a2201949z10-k.htm,https://www.sec.gov/Archives/edgar/data/765880/000104746912000940/0001047469-12-000940-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746913000878/0001047469-13-000878-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746914000766/a2218127z10-k.htm,https://www.sec.gov/Archives/edgar/data/765880/000155837015000067/hcp-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000155837016003110/0001558370-16-003110-index.html,https://www.sec.gov/Archives/edgar/data/765880/000155837017000535/0001558370-17-000535-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828018001552/0001628280-18-001552-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828019001407/0001628280-19-001407-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828020001456/0001628280-20-001456-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828021001804/0001628280-21-001804-index.htm,https://www.sec.gov/Archives/edgar/data/765880/000162828022002117/0001628280-22-002117-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,13800000,23200000,26500000,35700000,44100000,49977000,80266000,60641000,64789000,87167000,96225000,133767000,121166000,137380000,158585000,169040000,173057000,417547000,589015000,448495000,130199000,330709000,538891000,832540000,970837000,922233000,-559235000,627747000,414169000,1061093000,45530000,413563000,505540000
74,Depreciation and Amortization,- -,- -,- -,- -,14800000,15500000,18500000,18100000,17900000,17521000,16691000,20700000,22667000,29577000,44789000,72590000,84098000,75722000,79095000,89357000,106054000,144215000,301592000,312796000,305345000,307069000,352885000,356013000,416666000,459046000,509490000,566911000,534726000,549499000,659989000,697143000,684286000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47195000,-5523000,-18525000,-18253000,-14573000,-5792000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13765000,14388000,14924000,- -,23277000,39980000,21885000,26127000,22884000,14258000,16563000,18162000,17368000,18202000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44000000,-17000000,24000000,-76000000,-27000000,-165000000,5000000,65000000,2571281000,-2722281000,-111000000,3556461000,4827676000,801985000,-8834147000,-60713000,921803000,-955417000,847353000,183590000,307425000,75421000,634129000,-1371059000,-471114000,480132000,1220139000,26394000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-2500000,-800000,-5900000,385000,-3686000,-1632000,278000,1880000,-7003000,-13948000,-27736000,10681000,4408000,9222000,2590000,-7469000,6656000,-8845000,-9569000,3813000,-24782000,5686000,-49771000,15281000,18626000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
