,https://roic.ai/company/PLPC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,46906000,51528000,51095000,40483000,43683000,49529000,53088000,60383000,63279000,65308000,81425000,93581000,98762000,94969000,94520000,82350000,87881000,91535000,96863000,105602000,109597000,95796000
11,COGS and Expenses,190706000,188794000,170268000,147849000,167285000,187913000,200220000,232888000,245754000,237746000,311514000,377136000,393516000,373844000,361757000,333564000,315101000,351119000,385510000,409868000,422033000,446971000
12,Interest Income ,682000,685000,287000,421000,696000,1103000,1494000,1150000,846000,380000,374000,575000,648000,618000,483000,391000,291000,430000,486000,783000,259000,169000
13,Interest Expense (Gain),1608000,1427000,687000,490000,429000,379000,564000,595000,544000,523000,649000,827000,597000,450000,658000,565000,844000,1061000,1290000,2217000,2396000,-2023000
14,Depreciation and Amortization,11411000,10320000,9018000,8329000,7385000,7214000,7538000,8079000,8549000,7249000,9394000,10525000,11564000,12088000,12857000,11532000,11996000,12790000,12444000,13748000,13838000,15564000
15,EBITDA,30154000,19179000,9126000,17783000,26119000,26099000,25678000,30589000,34434000,37889000,40331000,57346000,56988000,44332000,34925000,23803000,33793000,39657000,46322000,47390000,56847000,62437000
16,EBITDA ratio,0.1454,0.0977,0.0537,0.1160,0.1426,0.1268,0.1184,0.1201,0.1277,0.1473,0.1192,0.1351,0.1298,0.1082,0.0900,0.0671,0.1004,0.1049,0.1101,0.1065,0.1219,0.1207
17,Operating Income,18805000,7571000,-426000,5484000,15827000,17891000,16717000,21719000,23988000,19460000,28480000,45354000,44122000,31148000,21238000,12349000,21479000,26108000,32934000,32627000,40207000,47549000
18,Operating Income ratio,0.0907,0.0386,-0.0025,0.0358,0.0864,0.0869,0.0771,0.0853,0.0889,0.0757,0.0842,0.1069,0.1005,0.0760,0.0547,0.0348,0.0638,0.0690,0.0783,0.0733,0.0862,0.0919
19,Total Other Income Expenses (Gains),-1670000,-139000,-153000,3480000,122000,615000,859000,250000,772000,10133000,1703000,640000,705000,646000,172000,-643000,-526000,-302000,-346000,-1169000,364000,1347000
20,Income Before Tax,17135000,7432000,-579000,8964000,15949000,18506000,17576000,21969000,24760000,29593000,30183000,45994000,44827000,31794000,21410000,11706000,20953000,25806000,32588000,31458000,40571000,48896000
21,Income Before Tax Ratio,0.0826,0.0378,-0.0034,0.0585,0.0871,0.0899,0.0810,0.0863,0.0918,0.1151,0.0892,0.1084,0.1021,0.0776,0.0552,0.0330,0.0622,0.0682,0.0774,0.0707,0.0870,0.0945
22,Income Tax expense (Gain),6084000,2256000,561000,4581000,5268000,6520000,5516000,7756000,7718000,6760000,7175000,15010000,15541000,11207000,8549000,5031000,5698000,13152000,6007000,8122000,10810000,13175000
23,Net Income,11051000,5176000,-1140000,4383000,13037000,11986000,12060000,14159000,17623000,23357000,23113000,30984000,29286000,20587000,12861000,6675000,15255000,12654000,26581000,23303000,29803000,35721000
24,Net Income ratio,0.0533,0.0264,-0.0067,0.0286,0.0712,0.0582,0.0556,0.0556,0.0653,0.0908,0.0683,0.0730,0.0667,0.0502,0.0331,0.0188,0.0453,0.0335,0.0632,0.0524,0.0639,0.0690
25,EPS,1.91,0.90,-0.20,0.76,2.27,2.09,2.15,2.64,3.34,4.46,4.41,5.89,5.50,3.84,2.39,1.25,2.95,2.48,5.28,4.63,6.05,7.28
26,EPS Diluted,1.91,0.90,-0.20,0.76,2.25,2.07,2.13,2.61,3.30,4.35,4.33,5.78,5.45,3.77,2.39,1.24,2.95,2.47,5.21,4.58,5.98,7.19
27,Weighted Average Shares Outstanding,5790000,5755000,5766000,5783000,5732000,5725000,5611000,5372000,5279000,5232000,5242000,5259000,5324000,5361000,5377000,5350000,5166000,5102000,5032000,5031000,4923000,4907000
28,Weighted Average Shares Outstanding Diluted,5790000,5755000,5791000,5801000,5789000,5783000,5660000,5416000,5339000,5366000,5335000,5358000,5371000,5467000,5382000,5366000,5178000,5133000,5107000,5087000,4984000,4970000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80035/000095015205002460/0000950152-05-002460-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015206002120/0000950152-06-002120-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015207002116/0000950152-07-002116-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015208002587/0000950152-08-002587-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015209002598/0000950152-09-002598-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095012310024630/0000950123-10-024630-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095012311024606/0000950123-11-024606-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312512114113/0001193125-12-114113-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312513108944/0001193125-13-108944-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312514099760/0001193125-14-099760-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312515088960/0001193125-15-088960-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312516501390/0001193125-16-501390-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459017003953/0001564590-17-003953-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459018005116/0001564590-18-005116-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459019007041/0001564590-19-007041-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459020009196/0001564590-20-009196-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459021011273/0001564590-21-011273-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095017022002892/0000950170-22-002892-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9470000,8409000,11629000,28209000,29744000,39592000,29949000,23392000,19869000,24097000,22655000,32126000,28120000,24291000,29643000,30393000,30737000,44358000,43609000,38929000,45175000,36406000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9470000,8409000,11629000,28209000,29744000,39592000,29949000,23392000,19869000,24097000,22655000,32126000,28120000,24291000,29643000,30393000,30737000,44358000,43609000,38929000,45175000,36406000
34,Net Receivables,30839000,29251000,24763000,24225000,29217000,26481000,30029000,40482000,36899000,49245000,56102000,68949000,61695000,67587000,67942000,63626000,63415000,73972000,73139000,83517000,92686000,98203000
35,Inventory,43648000,38637000,33750000,31113000,36264000,37618000,40415000,47563000,48412000,56036000,73121000,88613000,86916000,73835000,80037000,69912000,74484000,77886000,85259000,95718000,97537000,114507000
36,Other Current Assets,3826000,6933000,8380000,6084000,6378000,6702000,5143000,7751000,7490000,9581000,15464000,15802000,17370000,20021000,23041000,24566000,20471000,10914000,12256000,13811000,20916000,22995000
37,Total Current Assets,87783000,83230000,78522000,89631000,101603000,110393000,105536000,119188000,112670000,138959000,167342000,205490000,194101000,185734000,200663000,188497000,189107000,207130000,214263000,231975000,256314000,272111000
38,PP&E,58743000,54206000,48569000,47888000,48169000,48804000,52810000,62901000,55940000,67766000,76266000,82860000,93326000,100461000,102531000,91965000,105104000,108598000,102955000,136471000,139104000,162174000
39,Goodwill,- -,- -,- -,- -,- -,- -,2166000,3928000,5520000,6925000,12346000,12199000,15537000,13873000,17792000,15821000,15769000,16544000,15621000,27840000,29508000,28194000
40,Intangible Assets,8077000,7410000,5596000,5553000,5377000,4889000,2546000,5637000,3858000,8087000,12735000,11352000,14038000,11787000,14121000,11288000,10475000,10020000,8458000,15116000,14443000,12039000
41,Intangible Assets,8077000,7410000,5596000,5553000,5377000,4889000,4712000,9565000,9378000,15012000,25081000,23551000,29575000,25660000,31913000,27109000,26244000,26564000,24079000,42956000,43951000,40233000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,1323000,1435000,863000,434000,1213000,2060000,5145000,4022000,6943000,5873000,3615000,5585000,6069000,3416000,5773000,5299000,10208000,7774000,6900000,7564000,10863000,3839000
44,Other Non-Current Assets,14685000,14909000,11234000,6116000,2446000,2401000,2760000,8190000,5944000,7762000,8675000,9862000,9993000,17135000,13087000,11703000,10274000,9719000,10600000,14605000,10855000,10661000
45,Total Non-Current Assets,82828000,77960000,66262000,59991000,57205000,58154000,65427000,84678000,78205000,96413000,113637000,121858000,138963000,146672000,153304000,136076000,151830000,152655000,144534000,201596000,204773000,216907000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,170611000,161190000,144784000,149622000,158808000,168547000,170963000,203866000,190875000,235372000,280979000,327348000,333064000,332406000,353967000,324573000,340937000,359785000,358797000,433571000,461087000,489018000
48,Accounts Payable,10289000,9560000,7844000,7648000,11111000,10878000,11606000,16083000,14632000,18764000,27001000,25630000,21822000,21750000,22332000,20377000,21978000,25141000,26414000,28282000,31646000,42376000
49,Short-Term Debt,- -,14399000,2922000,2903000,2007000,5962000,5895000,6025000,3595000,4511000,2522000,2631000,468000,1300000,1925000,523000,2763000,2312000,10490000,12050000,24884000,16423000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5456000,1108000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,15955000,13679000,13188000,15420000,14804000,17885000,15904000,20241000,17021000,23065000,27035000,33572000,35953000,29165000,31070000,30991000,30714000,35380000,32583000,40741000,47244000,46736000
53,Total Current Liabilities,26244000,37638000,23954000,25971000,27922000,34725000,33405000,42349000,35248000,46340000,56558000,61833000,58243000,52215000,55327000,51891000,55455000,62833000,69487000,81073000,103774000,105535000
54,Long-Term Debt,20160000,2341000,5847000,2515000,2362000,122000,2204000,3010000,2653000,3099000,9374000,27991000,9322000,13054000,31749000,31754000,42943000,34598000,24960000,53722000,42076000,56356000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2791000
56,Deferred Tax Liabilities,307000,431000,161000,97000,187000,157000,439000,1486000,725000,- -,3606000,3255000,4485000,3621000,3283000,3447000,2078000,2090000,1711000,3116000,2921000,2791000
57,Other Non-Current Liabilities,- -,- -,726000,309000,- -,- -,3982000,6396000,15248000,15112000,15976000,21411000,19945000,11186000,20683000,18497000,16918000,21727000,13269000,27092000,20247000,5445000
58,Total Non-Current Liabilities,20467000,2772000,6734000,2921000,2549000,279000,6625000,10892000,18626000,18211000,28956000,52657000,33752000,27861000,55715000,53698000,61939000,58415000,39940000,83930000,65244000,67383000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10308000,10983000,- -
61,Total Liabilities,46711000,40410000,30688000,28892000,30471000,35004000,40030000,53241000,53874000,64551000,85514000,114490000,91995000,80076000,111042000,105589000,117394000,121248000,109427000,165003000,169018000,172918000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,11536000,11514000,11545000,11629000,11413000,11470000,10721000,10762000,10448000,10497000,10542000,10667000,10756000,10782000,10794000,12478000,12508000,12593000,12662000,12848000,13028000,- -
64,Retained Earnings,127994000,128721000,123124000,123022000,128738000,135481000,131734000,140339000,146624000,165953000,184060000,206512000,227622000,238168000,244470000,292311000,303415000,311765000,334170000,353292000,379035000,410673000
65,Other Comprehensive Income/Loss,- -,-68994000,-75016000,-85421000,-91253000,-15000000,-13000000,-4000000,-25000000,-11000000,-6000000,-17000000,-14000000,-18000000,-35000000,-54000000,-57000000,-47000000,-60000000,-57000000,-54551000,-61719000
66,Other Total Stockholders Equity,- -,49539000,54443000,71500000,79439000,1592000,1478000,2620000,4193000,5516000,7538000,12679000,16691000,21380000,22661000,-31805000,-35380000,-38821000,-37462000,-40605000,-45434000,- -
67,Total Stockholders Equity,123856000,120780000,114096000,120730000,128337000,133543000,130933000,149721000,136265000,170966000,196140000,212858000,241069000,252330000,242925000,218984000,223543000,238537000,249370000,268535000,292078000,316100000
68,Total Liabilities And Stockholders Equity,170567000,161190000,144784000,149622000,158808000,168547000,170963000,202962000,190139000,235517000,281654000,327348000,333064000,332406000,353967000,324573000,340937000,359785000,358797000,433538000,461096000,489018000
69,Minority Interest,44000,- -,- -,- -,- -,- -,- -,904000,736000,-145000,-675000,- -,- -,- -,- -,- -,- -,- -,- -,33000,-9000,- -
70,Total Liabilities & Equity,170611000,161190000,144784000,149622000,158808000,168547000,170963000,203866000,190875000,235372000,280979000,327348000,333064000,332406000,353967000,324573000,340937000,359785000,358797000,433571000,461087000,489018000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80035/000095015205002460/0000950152-05-002460-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015206002120/0000950152-06-002120-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015207002116/0000950152-07-002116-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015208002587/0000950152-08-002587-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015209002598/0000950152-09-002598-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095012310024630/0000950123-10-024630-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095012311024606/0000950123-11-024606-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312512114113/0001193125-12-114113-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312513108944/0001193125-13-108944-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312514099760/0001193125-14-099760-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312515088960/0001193125-15-088960-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312516501390/0001193125-16-501390-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459017003953/0001564590-17-003953-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459018005116/0001564590-18-005116-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459019007041/0001564590-19-007041-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459020009196/0001564590-20-009196-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459021011273/0001564590-21-011273-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095017022002892/0000950170-22-002892-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11051000,5176000,-1140000,4383000,13037000,11986000,12060000,14159000,17623000,23357000,23113000,30984000,29286000,20587000,12861000,6675000,15255000,12654000,26581000,23303000,29803000,35721000
74,Depreciation and Amortization,11411000,10320000,9018000,8329000,7385000,7214000,7538000,8079000,8549000,7249000,9394000,10525000,11564000,12088000,12857000,11532000,11996000,12790000,12444000,13748000,13838000,15564000
75,Deferred Income Tax,-838000,-263000,-2124000,1901000,-531000,-838000,-658000,-36000,-845000,682000,-900000,-688000,-2927000,-1105000,-1697000,-944000,2249000,2436000,314000,-1274000,-3380000,6544000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1962000,2966000,2933000,3080000,3057000,1542000,248000,1366000,3055000,4236000,4396000,4089000,4163000
77,Change in Working Capital,1733000,-15947000,8976000,9092000,10021000,1987000,-3537000,4708000,583000,15197000,18165000,32873000,-7799000,-2339000,11817000,-8730000,-2954000,10645000,479000,6126000,1638000,14036000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-594000,-4977000,-16061000,5047000,-10273000,-2435000,-2965000,-2292000,-9205000,-4499000,-9777000,-10539000,2895000
79,Inventory,561000,3023000,2402000,4483000,-3703000,-1728000,-1688000,-4942000,-9499000,922000,-8268000,-21197000,1290000,3040000,-5704000,-2297000,-6354000,-2208000,-13703000,-9455000,80000,3052000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3196000,-3906000,6716000,5652000,3279000,4732000,3048000,6087000,6952000,11558000
81,Other Working Capital,61539000,45592000,54568000,63660000,73681000,75668000,72131000,76839000,77422000,92619000,110784000,143657000,135858000,133519000,145336000,136606000,133652000,144297000,144776000,150902000,152540000,166576000
82,Other Non-Cash Items,147000,17894000,3851000,-2973000,-17043000,1216000,-646000,-12240000,-7641000,-19432000,-24050000,-59578000,17181000,-10749000,-12124000,11448000,-1938000,-7750000,-21078000,-19082000,-4346000,-42430000
83,Cash Provided by Operating Activities,23504000,17180000,18581000,20732000,12869000,21565000,14757000,14670000,18269000,29015000,28688000,17049000,50385000,21539000,25256000,20229000,25974000,33830000,22976000,27217000,41642000,33598000
84,CAPEX,-14388000,-6196000,-4706000,-4018000,-6187000,-7737000,-10198000,-9639000,-10011000,-10667000,-12274000,-18912000,-21043000,-21034000,-17663000,-10754000,-24725000,-11233000,-9528000,-29467000,-24569000,-18384000
85,Acquisitions Net,-5724000,-1058000,-39000,-472000,-456000,- -,- -,-8438000,-3839000,-13199000,-14324000,- -,-5173000,- -,-14975000,- -,- -,- -,- -,-18894000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3082000,- -,- -,- -,- -,- -,- -,- -,- -,-4690000,-496000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1925000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2953000,2309000,- -,- -
88,Other Investing Activites,-12501000,757000,1284000,7160000,984000,-23000,320000,399000,9670000,-6413000,-11517000,-18776000,-19078000,-24144000,-18318000,-10862000,-28469000,-1900000,-12286000,-31722000,-14044000,-18384000
89,Cash Used for Investing Activites,-18225000,-6497000,-3461000,2670000,-3734000,-7760000,-9878000,-17678000,-4180000,-22694000,-25841000,-18776000,-24251000,-24144000,-33293000,-10862000,-28469000,-1900000,-14023000,-48803000,-14044000,-18243000
90,Debt Repayment,-20140000,- -,- -,- -,- -,- -,- -,- -,- -,-529000,-2465000,-1239000,-90794000,-69884000,-57123000,-52715000,-57742000,-64518000,-85496000,-64124000,-110083000,-113537000
91,Common Stock Issued,- -,- -,271000,620000,84000,789000,102000,735000,452000,352000,285000,1064000,549000,1519000,166000,80000,248000,1962000,222000,213000,252000,409000
92,Common Stock Repurchased,-935000,-155000,- -,- -,-2977000,-700000,-12140000,-651000,-7457000,-168000,-1081000,-3522000,-2790000,-6911000,-2234000,-7553000,-5070000,-8477000,-4165000,-6826000,-9462000,- -
93,Dividends Paid,-3479000,-4030000,-4615000,-4623000,-4593000,-4577000,-4508000,-4295000,-4247000,-4271000,-4344000,-4381000,-6492000,-2305000,-4412000,-4391000,-4170000,-4099000,-4088000,-4230000,-4184000,-4128000
94,Other Financing Activites,23158000,-5481000,-7853000,-4414000,-1203000,1561000,1373000,-352000,-1809000,1452000,4673000,20502000,69107000,74404000,76812000,51922000,71123000,55581000,84476000,92681000,100312000,94026000
95,Cash Used/Provided by Financing Activities,-1396000,-9666000,-12197000,-8417000,-8689000,-2927000,-15173000,-4563000,-13061000,-3164000,-2932000,12424000,-30420000,-3177000,13209000,-12657000,4389000,-19551000,-9051000,17714000,-23165000,-23230000
96,Effect of Forex Changes on Cash,-1320000,-2078000,297000,1595000,1089000,-1030000,651000,1014000,-4551000,1071000,-1357000,-1226000,280000,1953000,180000,4040000,-1550000,1242000,-1591000,-775000,1479000,-894000
97,Net Change In Cash,2563000,-1061000,3220000,16580000,1535000,9848000,-9643000,-6557000,-3523000,4228000,-1442000,9471000,-4006000,-3829000,5352000,750000,344000,13621000,-1689000,-4647000,5912000,-8769000
98,Cash at the End of Period,9470000,8409000,11629000,28209000,29744000,39592000,29949000,23392000,19869000,24097000,22655000,32126000,28120000,24291000,29643000,30393000,30737000,44358000,43910000,39263000,45175000,36406000
99,Cash at the Beginning of Period,6907000,9470000,8409000,11629000,28209000,29744000,39592000,29949000,23392000,19869000,24097000,22655000,32126000,28120000,24291000,29643000,30393000,30737000,45599000,43910000,39263000,45175000
100,Free Cash Flow,9116000,10984000,13875000,16714000,6682000,13828000,4559000,5031000,8258000,18348000,16414000,-1863000,29342000,505000,7593000,9475000,1249000,22597000,13448000,-2250000,17073000,15214000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80035/000095015205002460/0000950152-05-002460-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015206002120/0000950152-06-002120-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015207002116/0000950152-07-002116-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015208002587/0000950152-08-002587-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095015209002598/0000950152-09-002598-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095012310024630/0000950123-10-024630-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095012311024606/0000950123-11-024606-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312512114113/0001193125-12-114113-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312513108944/0001193125-13-108944-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312514099760/0001193125-14-099760-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312515088960/0001193125-15-088960-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000119312516501390/0001193125-16-501390-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459017003953/0001564590-17-003953-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459018005116/0001564590-18-005116-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459019007041/0001564590-19-007041-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459020009196/0001564590-20-009196-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000156459021011273/0001564590-21-011273-index.htm,https://www.sec.gov/Archives/edgar/data/80035/000095017022002892/0000950170-22-002892-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
