,https://roic.ai/company/BBY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
18,Operating Income ratio,0.0734,0.0643,0.0205,0.0199,0.0257,0.0164,0.0202,0.0222,0.0257,0.0240,0.0170,0.0068,0.0224,0.0362,0.0432,0.0394,0.0478,0.0482,0.0531,0.0526,0.0533,0.0556,0.0540,0.0415,0.0450,0.0421,0.0214,-0.0028,0.0269,0.0359,0.0348,0.0471,0.0437,0.0443,0.0460,0.0506,0.0587
19,Total Other Income Expenses (Gains),-100000,200000,-4200000,-6600000,-3700000,-3500000,-3400000,-3900000,-9200000,-27900000,-43500000,-50200000,-33000000,500000,23741000,36692000,-1000000,4000000,-8000000,1000000,77000000,131000000,67000000,-170000000,-40000000,-36000000,-42000000,-61000000,-53000000,-63000000,-65000000,-38000000,-26000000,-12000000,-16000000,-14000000,-15000000
20,Income Before Tax,8200000,15600000,4800000,3500000,9500000,7400000,15400000,32100000,68000000,94000000,79000000,3000000,153900000,365000000,563000000,641000000,936000000,1014000000,1296000000,1443000000,1721000000,2130000000,2228000000,1700000000,2195000000,2078000000,1043000000,-186000000,1087000000,1387000000,1310000000,1816000000,1817000000,1888000000,1993000000,2377000000,3024000000
21,Income Before Tax Ratio,0.0725,0.0651,0.0109,0.0069,0.0185,0.0111,0.0166,0.0198,0.0226,0.0185,0.0109,0.0004,0.0184,0.0362,0.0451,0.0418,0.0478,0.0484,0.0528,0.0526,0.0558,0.0593,0.0557,0.0378,0.0442,0.0413,0.0206,-0.0041,0.0256,0.0344,0.0331,0.0461,0.0431,0.0440,0.0457,0.0503,0.0584
22,Income Tax expense (Gain),4100000,7900000,2000000,1400000,3800000,2900000,5800000,12200000,27000000,36000000,31000000,1000000,59400000,141000000,216000000,245640000,120000000,120000000,496000000,509000000,581000000,752000000,815000000,674000000,802000000,714000000,709000000,231000000,398000000,141000000,503000000,609000000,818000000,424000000,452000000,579000000,574000000
23,Net Income,4100000,7700000,2800000,2100000,5700000,4500000,9600000,19900000,41000000,58000000,48000000,2000000,94500000,224000000,347000000,396000000,570000000,99000000,705000000,984000000,1140000000,1377000000,1407000000,1003000000,1317000000,1277000000,-1231000000,-441000000,532000000,1233000000,897000000,1228000000,1000000000,1464000000,1541000000,1798000000,2450000000
24,Net Income ratio,0.0363,0.0322,0.0064,0.0041,0.0111,0.0068,0.0103,0.0123,0.0136,0.0114,0.0067,0.0003,0.0113,0.0222,0.0278,0.0258,0.0291,0.0047,0.0287,0.0359,0.0370,0.0383,0.0352,0.0223,0.0265,0.0254,-0.0243,-0.0098,0.0125,0.0306,0.0227,0.0312,0.0237,0.0341,0.0353,0.0380,0.0473
25,EPS,0.03,0.04,0.01,0.01,0.03,0.02,0.04,0.07,0.11,0.15,0.12,0.00,0.24,0.50,0.76,0.85,1.20,0.21,1.45,2.01,2.33,2.86,3.20,2.43,3.16,3.14,-3.36,-1.30,1.56,3.53,2.59,3.86,3.33,5.30,5.82,6.93,9.94
26,EPS Diluted,0.03,0.04,0.01,0.01,0.03,0.02,0.04,0.07,0.11,0.14,0.12,0.00,0.23,0.48,0.73,0.83,1.18,0.20,1.43,1.96,2.27,2.79,3.12,2.39,3.10,3.08,-3.36,-1.30,1.53,3.49,2.56,3.81,3.26,5.20,5.75,6.84,9.84
27,Weighted Average Shares Outstanding,153598322,192307692,209784970,157338728,213539130,202301744,239760240,298203288,371329413,381457339,385328613,382108339,394686000,446367298,458977408,464608025,473763118,481409295,484707646,488605697,490300000,482100000,439900000,412500000,416800000,406100000,366300000,339000000,342100000,349500000,346500000,318500000,300400000,276400000,264900000,259600000,246800000
28,Weighted Average Shares Outstanding Diluted,153598322,192307692,209784970,157338728,213539130,202301744,239760240,298203288,371329413,405299092,385328613,382108339,450567000,471397871,477827054,478002378,483508246,486956522,491754123,504647676,504800000,496200000,452900000,422900000,427500000,416500000,366300000,339000000,347600000,353600000,350700000,322600000,307100000,281400000,268100000,263000000,249300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764478/000091205794001820/0000912057-94-001820-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/764478/000091205797018902/0000912057-97-018902-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/764478/000091205700026218/0000912057-00-026218-index.html,https://www.sec.gov/Archives/edgar/data/764478/000091205701518254/0000912057-01-518254-index.html,https://www.sec.gov/Archives/edgar/data/764478/000110465902002715/0001104659-02-002715-index.html,https://www.sec.gov/Archives/edgar/data/764478/000110465903011338/j1536_10k.htm,https://www.sec.gov/Archives/edgar/data/764478/000104746904014114/a2134459z10-k.htm,https://www.sec.gov/Archives/edgar/data/764478/000104746905014212/a2157382z10-k.htm,https://www.sec.gov/Archives/edgar/data/764478/000110465906033306/a06-10808_110k.htm,https://www.sec.gov/Archives/edgar/data/764478/000110465907034935/0001104659-07-034935-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746908005591/0001047469-08-005591-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746909004730/0001047469-09-004730-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746910004349/0001047469-10-004349-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746911004045/0001047469-11-004045-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447812000035/bby-201210k.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447813000014/bby-2013x10kt.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447814000011/bby-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447815000014/bby-2015x10k.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447816000064/0000764478-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447817000008/0000764478-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447818000013/0000764478-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447819000009/0000764478-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447820000017/0000764478-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447821000024/0000764478-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447822000008/0000764478-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,2600000,600000,800000,23800000,27100000,112800000,7100000,60000000,145000000,86000000,90000000,520100000,786000000,751000000,747000000,1855000000,1914000000,2600000000,354000000,681000000,1205000000,1438000000,498000000,1826000000,1103000000,1199000000,1826000000,2678000000,2432000000,1976000000,2240000000,1101000000,1980000000,2229000000,5494000000,2936000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2994000000,3051000000,2588000000,64000000,11000000,90000000,22000000,- -,- -,223000000,1456000000,1305000000,1681000000,2032000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,2600000,600000,800000,23800000,27100000,112800000,7100000,60000000,145000000,86000000,90000000,520100000,786000000,751000000,747000000,1855000000,1914000000,2600000000,3348000000,3732000000,3793000000,1502000000,509000000,1916000000,1125000000,1199000000,1826000000,2901000000,3888000000,3281000000,3921000000,3133000000,1980000000,2229000000,5494000000,2936000000
34,Net Receivables,3400000,6800000,8200000,6500000,7300000,8700000,16000000,38000000,66000000,186000000,268000000,159000000,95700000,206000000,262000000,313000000,326000000,322000000,349000000,375000000,506000000,548000000,549000000,1868000000,2020000000,2348000000,2288000000,2704000000,1308000000,1280000000,1162000000,1347000000,1049000000,1015000000,1149000000,1061000000,1042000000
35,Inventory,23700000,62400000,98400000,101800000,93000000,95700000,135800000,250000000,638000000,908000000,1201000000,1132000000,1060800000,1046000000,1184000000,1767000000,2258000000,2046000000,2607000000,2851000000,3338000000,4028000000,4708000000,4753000000,5486000000,5897000000,5731000000,6571000000,5376000000,5174000000,5051000000,4864000000,5209000000,5409000000,5174000000,5612000000,5965000000
36,Other Current Assets,1200000,2800000,4200000,3900000,3900000,8100000,8500000,9800000,1000000,2000000,6000000,4000000,33700000,25000000,41000000,102000000,172000000,585000000,168000000,329000000,409000000,712000000,583000000,1062000000,1144000000,1103000000,1079000000,946000000,900000000,1387000000,392000000,384000000,438000000,466000000,305000000,373000000,596000000
37,Total Current Assets,28400000,74600000,111400000,113000000,128000000,139600000,273100000,304900000,765000000,1241000000,1561000000,1385000000,1710300000,2063000000,2238000000,2929000000,4611000000,4867000000,5724000000,6903000000,7985000000,9081000000,7342000000,8192000000,10566000000,10473000000,10297000000,12047000000,10485000000,11729000000,9886000000,10516000000,9829000000,8870000000,8857000000,12540000000,10539000000
38,PP&E,3300000,12900000,27800000,24800000,27400000,39600000,58300000,126400000,173000000,237000000,311000000,332000000,332900000,424000000,698000000,1444000000,1897000000,2062000000,2244000000,2464000000,2712000000,2938000000,3306000000,4174000000,4070000000,3823000000,3471000000,3270000000,2598000000,2295000000,2346000000,2293000000,2421000000,2510000000,5037000000,4872000000,4904000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,385000000,773000000,429000000,477000000,513000000,557000000,919000000,1088000000,2203000000,2452000000,2454000000,1335000000,528000000,425000000,425000000,425000000,425000000,425000000,915000000,984000000,986000000,1384000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,37000000,40000000,44000000,81000000,102000000,495000000,438000000,336000000,359000000,334000000,101000000,57000000,18000000,- -,- -,18000000,381000000,301000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,385000000,773000000,462000000,514000000,553000000,601000000,1000000000,1190000000,2698000000,2890000000,2790000000,1694000000,862000000,526000000,482000000,443000000,425000000,425000000,933000000,1365000000,1287000000,1384000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,218000000,318000000,605000000,395000000,324000000,328000000,140000000,86000000,43000000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,100000,1100000,2100000,1400000,6300000,5800000,7800000,14000000,29000000,19000000,13000000,13100000,25000000,59000000,82000000,94000000,272000000,170000000,226000000,348000000,233000000,315000000,367000000,452000000,435000000,403000000,522000000,361000000,750000000,844000000,622000000,374000000,588000000,332000000,368000000,677000000
45,Total Non-Current Assets,3500000,13000000,28900000,26900000,28800000,45900000,64100000,134200000,187000000,266000000,330000000,349000000,346000000,449000000,757000000,1911000000,2764000000,2796000000,2928000000,3391000000,3879000000,4489000000,5416000000,7634000000,7736000000,7376000000,5708000000,4740000000,3528000000,3527000000,3633000000,3340000000,3220000000,4031000000,6734000000,6527000000,6965000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,31900000,87600000,140300000,139900000,156800000,185500000,337200000,439100000,952000000,1507000000,1891000000,1734000000,2056300000,2512000000,2995000000,4840000000,7375000000,7663000000,8652000000,10294000000,11864000000,13570000000,12758000000,15826000000,18302000000,17849000000,16005000000,16787000000,14013000000,15256000000,13519000000,13856000000,13049000000,12901000000,15591000000,19067000000,17504000000
48,Accounts Payable,- -,- -,- -,- -,29700000,41900000,68700000,118300000,294000000,407000000,674000000,488000000,727100000,1012000000,1314000000,1773000000,2449000000,2195000000,2535000000,2824000000,3234000000,3934000000,4297000000,4997000000,5276000000,4894000000,5364000000,6951000000,5122000000,5030000000,4450000000,4984000000,4873000000,5257000000,5288000000,6979000000,6803000000
49,Short-Term Debt,200000,5000000,2100000,5100000,200000,300000,38100000,9400000,11000000,82000000,94000000,128000000,50500000,- -,- -,- -,- -,1000000,368000000,72000000,418000000,60000000,189000000,837000000,698000000,998000000,523000000,596000000,45000000,41000000,395000000,44000000,544000000,56000000,674000000,817000000,661000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316000000,256000000,288000000,129000000,147000000,230000000,128000000,26000000,137000000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,499000000,565000000,451000000,399000000,737000000,357000000,418000000,453000000,446000000,281000000,1028000000,1103000000
52,Other Current Liabilities,15500000,20900000,37200000,33800000,19700000,32800000,39500000,58300000,97000000,143000000,207000000,202000000,256100000,375000000,471000000,942000000,1281000000,1597000000,1598000000,2063000000,2404000000,2307000000,2283000000,2601000000,3004000000,2272000000,2403000000,2812000000,1870000000,1969000000,1723000000,1676000000,1947000000,1754000000,1817000000,1697000000,2107000000
53,Total Current Liabilities,15700000,25900000,39300000,38900000,49600000,75000000,146300000,186000000,402000000,632000000,975000000,818000000,1033700000,1387000000,1785000000,2715000000,3730000000,3793000000,4501000000,4959000000,6056000000,6301000000,6769000000,8435000000,8978000000,8663000000,8855000000,10810000000,7436000000,7777000000,6925000000,7122000000,7817000000,7513000000,8060000000,10521000000,10674000000
54,Long-Term Debt,1700000,6000000,42800000,34700000,35100000,35400000,14900000,48100000,211000000,227000000,206000000,217000000,210400000,31000000,15000000,181000000,813000000,828000000,482000000,528000000,178000000,590000000,627000000,1126000000,1104000000,711000000,1685000000,1153000000,1612000000,1580000000,1339000000,1321000000,811000000,1332000000,1257000000,3174000000,3277000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343000000,317000000,62000000,50000000,- -,45000000,34000000,22000000,11000000,9000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000000,16000000,10000000,21000000,- -,391000000,359000000,230000000,273000000,20000000,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,5900000,5900000,18400000,18400000,22700000,28000000,42000000,48000000,31000000,17500000,30000000,99000000,122000000,311000000,312000000,247000000,358000000,373000000,478000000,878000000,1109000000,1900000000,1462000000,1387000000,1691000000,908000000,899000000,441000000,311000000,557000000,466000000,2766000000,785000000,533000000
58,Total Non-Current Liabilities,1800000,6000000,42800000,40600000,41000000,53800000,33300000,70800000,239000000,269000000,254000000,248000000,235000000,61000000,114000000,303000000,1124000000,1140000000,729000000,886000000,551000000,1068000000,1505000000,2235000000,3004000000,2584000000,3405000000,2916000000,2591000000,2479000000,2216000000,2025000000,1620000000,2082000000,4052000000,3959000000,3810000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2798000000,2743000000,- -
61,Total Liabilities,17500000,31900000,82100000,79500000,90600000,128800000,179600000,256800000,641000000,901000000,1229000000,1066000000,1268700000,1448000000,1899000000,3018000000,4854000000,4933000000,5230000000,5845000000,6607000000,7369000000,8274000000,10670000000,11982000000,11247000000,12260000000,13726000000,10027000000,10256000000,9141000000,9147000000,9437000000,9595000000,12112000000,14480000000,14484000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2000000,4000000,4000000,4000000,- -,10000000,20000000,21000000,31000000,32000000,32000000,33000000,49000000,48000000,41000000,41000000,42000000,39000000,34000000,34000000,35000000,35000000,32000000,31000000,28000000,27000000,26000000,26000000,23000000
64,Retained Earnings,5700000,13500000,16200000,18300000,24000000,14500000,24100000,44000000,85000000,143000000,191000000,193000000,287100000,512000000,828000000,1224000000,1794000000,1893000000,2468000000,3315000000,4304000000,5507000000,3933000000,4714000000,5797000000,6372000000,3621000000,2861000000,3159000000,4141000000,4130000000,4399000000,3270000000,2985000000,3158000000,4233000000,2668000000
65,Other Comprehensive Income/Loss,-1100000,-2400000,-7100000,-13900000,-15500000,-21300000,-29600000,-43400000,-61000000,-88000000,-133000000,-188000000,-248600000,-308000000,-395000000,-543000000,-12000000,27000000,86000000,149000000,261000000,216000000,502000000,-317000000,40000000,173000000,90000000,112000000,492000000,382000000,271000000,279000000,314000000,294000000,295000000,328000000,329000000
66,Other Total Stockholders Equity,9800000,44600000,49100000,56000000,57700000,63500000,163100000,181700000,285000000,547000000,600000000,659000000,749100000,850000000,643000000,1120000000,708000000,778000000,836000000,952000000,643000000,430000000,8000000,205000000,441000000,18000000,- -,54000000,300000000,437000000,-55000000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,14400000,55700000,58200000,60400000,66200000,56700000,157600000,182300000,311000000,606000000,662000000,668000000,787600000,1064000000,1096000000,1822000000,2521000000,2730000000,3422000000,4449000000,5257000000,6201000000,4484000000,4643000000,6320000000,6602000000,3745000000,3061000000,3986000000,4995000000,4378000000,4709000000,3612000000,3306000000,3479000000,4587000000,3020000000
68,Total Liabilities And Stockholders Equity,31900000,87600000,140300000,139900000,156800000,185500000,337200000,439100000,952000000,1507000000,1891000000,1734000000,2056300000,2512000000,2995000000,4840000000,7375000000,7663000000,8652000000,10294000000,11864000000,13570000000,12758000000,15313000000,18302000000,17849000000,16005000000,16787000000,14013000000,15251000000,13519000000,13856000000,13049000000,12901000000,15591000000,19067000000,17504000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,513000000,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,31900000,87600000,140300000,139900000,156800000,185500000,337200000,439100000,952000000,1507000000,1891000000,1734000000,2056300000,2512000000,2995000000,4840000000,7375000000,7663000000,8652000000,10294000000,11864000000,13570000000,12758000000,15826000000,18302000000,17849000000,16005000000,16787000000,14013000000,15256000000,13519000000,13856000000,13049000000,12901000000,15591000000,19067000000,17504000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764478/000091205794001820/0000912057-94-001820-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/764478/000091205797018902/0000912057-97-018902-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/764478/000091205700026218/0000912057-00-026218-index.html,https://www.sec.gov/Archives/edgar/data/764478/000091205701518254/0000912057-01-518254-index.html,https://www.sec.gov/Archives/edgar/data/764478/000110465902002715/0001104659-02-002715-index.html,https://www.sec.gov/Archives/edgar/data/764478/000110465903011338/j1536_10k.htm,https://www.sec.gov/Archives/edgar/data/764478/000104746904014114/a2134459z10-k.htm,https://www.sec.gov/Archives/edgar/data/764478/000104746905014212/a2157382z10-k.htm,https://www.sec.gov/Archives/edgar/data/764478/000110465906033306/a06-10808_110k.htm,https://www.sec.gov/Archives/edgar/data/764478/000110465907034935/0001104659-07-034935-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746908005591/0001047469-08-005591-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746909004730/0001047469-09-004730-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746910004349/0001047469-10-004349-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746911004045/0001047469-11-004045-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447812000035/bby-201210k.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447813000014/bby-2013x10kt.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447814000011/bby-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447815000014/bby-2015x10k.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447816000064/0000764478-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447817000008/0000764478-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447818000013/0000764478-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447819000009/0000764478-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447820000017/0000764478-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447821000024/0000764478-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447822000008/0000764478-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
