,https://roic.ai/company/VGZ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-866000,- -,-23000000,- -,-2960000,-6344000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66610732,69880,325534,- -,- -,- -,34000,339000,9847000,7938000,23553000,4324000,3080000,20378000,- -,28984000,24472000,- -,- -,- -,15883000,- -,- -,- -,1768000,13385000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12997722,2604268,964632,-587000,-695000,6793000,7748000,- -,- -,30726000,- -,28345000,245000,31109000,1085000,2252000,9650000,- -,- -,15000,-264000,-97000,13000,-87000,-401000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66610732,13067602,2929802,964632,-587000,-695000,6827000,8087000,9847000,7938000,54279000,4324000,31425000,19757000,31109000,7069000,26724000,6677000,-6344000,- -,15898000,-264000,-97000,13000,1681000,12984000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6566228,-6778382,2994909,-2411581,-2201000,578000,2769000,2077000,396000,-3889000,46671000,-32012000,-3420000,15142000,11430000,-21965000,408000,-12806000,-1761000,-2812000,1002000,-473000,-360000,337000,6354000,4995000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8609054,1816886,4817897,2342679,96000,674000,3443000,5520000,5916000,2027000,48698000,16686000,13266000,28408000,39838000,17873000,18281000,5475000,3714000,902000,1904000,1431000,1071000,1408000,7762000,12757000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15175282,8595268,1822988,4754260,2297000,96000,674000,3443000,5520000,5916000,2027000,48698000,16686000,13266000,28408000,39838000,17873000,18281000,5475000,3714000,902000,1904000,1431000,1071000,1408000,7762000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73687666,-13277243,-4427256,-3651823,-2803000,-1709000,-4304000,-3069000,-6137000,-11682000,-7310000,-11788000,-34858000,-13569000,-19948000,-26665000,-32221000,-26721000,-7065000,2875000,-5061000,-8801000,-8630000,-7093000,-7023000,-10759000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/783324/000091205701505656/0000912057-01-505656-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/783324/000104746909002633/0001047469-09-002633-index.html,https://www.sec.gov/Archives/edgar/data/783324/000078332410000002/0000783324-10-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/783324/000104746912002638/0001047469-12-002638-index.html,https://www.sec.gov/Archives/edgar/data/783324/000078332413000008/0000783324-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/783324/000078332414000014/vgz-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/783324/000078332415000013/0000783324-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/783324/000078332416000056/0000783324-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/783324/000078332417000005/0000783324-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/783324/000078332418000007/0000783324-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/783324/000078332419000004/0000783324-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/783324/000078332420000009/0000783324-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/783324/000078332421000005/0000783324-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/783324/000078332422000005/0000783324-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
