,https://roic.ai/company/VLGEA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,82100000,115000000,130600000,142600000,151800000,159000000,168100000,167600000,166800000,160600000,164400000,164100000,165400000,182700000,174400000,183400000,198500000,205200000,219337056,229200000,240200000,247600000,266400000,282900000,297667000,311800000,333300000,353600000,378700000,389584000,400702000,395977000,405549000,422040000,444833000,532981000
11,COGS and Expenses,395400000,553400000,606600000,645000000,669400000,678300000,709300000,708700000,692800000,672100000,682700000,682100000,693500000,739500000,768300000,803100000,860200000,882300000,932700000,956400000,987500000,1012100000,1089000000,1160500000,1216600000,1260600000,1366700000,1432300000,1488800000,1540258000,1590576000,1563840000,1578562000,1608826000,1742952000,1998267000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2064000,2020000,2207000,2571000,2783000,2622000,2399000,2506000,2841000,3845000,5283000,4060000,3633000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3016000,3660000,4280000,4415000,3771000,3602000,4535000,4495000,4452000,4460000,4436000,2611000,3943000
14,Depreciation and Amortization,3600000,6000000,6500000,7100000,7500000,7900000,8700000,8700000,8800000,8600000,8600000,7700000,7500000,7600000,8204456,7875059,8001659,8929000,9495425,10595000,11679000,12398000,13713000,15319000,16900000,18621000,19759000,20354000,22274000,23330000,24101000,24482000,24999000,27290000,31701000,35701000
15,EBITDA,9000000,14700000,16900000,15600000,14900000,11300000,9500000,11000000,7300000,9500000,11900000,11200000,14500000,15600000,22004456,22575059,28001659,27729000,32295425,37095000,40079000,47698000,52413000,65035000,64160000,59201000,77837000,68780000,54679000,69260000,70935000,68057000,62297000,67249000,66045000,68497000
16,EBITDA ratio,0.0223,0.0259,0.0272,0.0237,0.0219,0.0165,0.0133,0.0154,0.0105,0.0140,0.0173,0.0163,0.0206,0.0208,0.0280,0.0275,0.0317,0.0307,0.0337,0.0377,0.0394,0.0456,0.0465,0.0538,0.0508,0.0456,0.0547,0.0466,0.0360,0.0437,0.0434,0.0424,0.0386,0.0409,0.0366,0.0337
17,Operating Income,7500000,14000000,14900000,13100000,11800000,7700000,5800000,5200000,2300000,5200000,5900000,6800000,10100000,13700000,16664692,17486408,23165946,20161000,24935361,27274000,29344000,34317000,38746000,47559000,45258000,38316000,55552000,44177000,29828000,43531000,44328000,40734000,33453000,34676000,30284000,29163000
18,Operating Income ratio,0.0186,0.0247,0.0240,0.0199,0.0173,0.0112,0.0081,0.0073,0.0033,0.0077,0.0086,0.0099,0.0144,0.0182,0.0212,0.0213,0.0262,0.0223,0.0260,0.0277,0.0289,0.0328,0.0344,0.0394,0.0359,0.0295,0.0391,0.0299,0.0196,0.0275,0.0271,0.0254,0.0208,0.0211,0.0168,0.0144
19,Total Other Income Expenses (Gains),-2100000,-5300000,-4500000,-4600000,-4400000,-4300000,-5000000,-2900000,-4200000,-4300000,-2600000,-3400000,-3100000,-5700000,-2864692,-2786408,-3265946,-1361000,-2235361,-674000,-1044000,983000,54000,-959000,-1658000,-2116000,-1852000,423000,-1028000,-2136000,-1989000,-1611000,-615000,847000,1449000,-310000
20,Income Before Tax,5400000,8700000,10400000,8500000,7400000,3400000,800000,2300000,-1900000,900000,3300000,3400000,7000000,8000000,13800000,14700000,19900000,18800000,22700000,26600000,28300000,35300000,38800000,46600000,43600000,36200000,53700000,44600000,28800000,41395000,42339000,39123000,32838000,35523000,31733000,28853000
21,Income Before Tax Ratio,0.0134,0.0153,0.0167,0.0129,0.0109,0.0050,0.0011,0.0032,-0.0027,0.0013,0.0048,0.0049,0.0099,0.0107,0.0176,0.0179,0.0225,0.0208,0.0237,0.0270,0.0278,0.0337,0.0344,0.0386,0.0346,0.0279,0.0378,0.0302,0.0190,0.0261,0.0259,0.0244,0.0204,0.0216,0.0176,0.0142
22,Income Tax expense (Gain),2200000,4500000,4300000,3500000,3100000,1500000,300000,900000,-700000,300000,1300000,1400000,3000000,3300000,5400000,5300000,7400000,7700000,9500000,11000000,11900000,14800000,16200000,19400000,18200000,15300000,22263000,18855000,23803000,10775000,17295000,16202000,7758000,9984000,6794000,8859000
23,Net Income,3200000,4200000,6100000,5000000,4300000,1900000,500000,1400000,-800000,600000,2000000,2100000,4000000,4700000,8400000,9400000,12600000,11100000,13300000,15500000,16500000,20500000,22500000,27300000,25400000,21000000,31400000,25800000,5000000,30620000,25044000,22921000,25080000,25539000,24939000,19994000
24,Net Income ratio,0.0079,0.0074,0.0098,0.0076,0.0063,0.0028,0.0007,0.0020,-0.0012,0.0009,0.0029,0.0030,0.0057,0.0063,0.0107,0.0115,0.0143,0.0123,0.0139,0.0158,0.0162,0.0196,0.0200,0.0226,0.0201,0.0162,0.0221,0.0175,0.0033,0.0193,0.0153,0.0143,0.0156,0.0155,0.0138,0.0098
25,EPS,0.34,0.43,0.46,0.38,0.35,0.16,0.04,0.12,-0.07,0.05,0.17,0.18,0.34,0.40,0.70,0.78,1.03,0.90,1.06,1.23,1.29,1.95,2.12,2.08,1.89,1.86,2.74,2.18,0.41,2.44,1.98,1.80,1.95,1.98,1.93,1.53
26,EPS Diluted,0.34,0.43,0.46,0.38,0.35,0.16,0.04,0.12,-0.07,0.05,0.17,0.18,0.34,0.39,0.69,0.77,1.00,0.89,1.05,1.22,1.27,1.57,1.72,2.06,1.89,1.54,2.28,1.85,0.36,2.16,1.77,1.60,1.74,1.77,1.72,1.37
27,Weighted Average Shares Outstanding,9275362,9710983,13260870,13157895,12285714,11875000,11764706,11428571,11428571,12000000,11594203,11830986,11764706,11823899,11994656,12068118,12221546,12333333,12453451,12661507,12731274,10541388,6496000,13041000,6732000,11280645,11476277,13494000,13632000,12549180,12648485,12733889,12861538,12898485,14088000,14147000
28,Weighted Average Shares Outstanding Diluted,9275362,9710983,13260870,13157895,12285714,11875000,11764706,11428571,12631579,12000000,11666667,11830986,11940299,12129032,12211951,12264029,12557639,12542373,12631357,12791770,12930980,13059236,13154000,13262000,13234000,13624675,13791667,13606000,13694000,14175926,14149153,14325625,14413793,14428814,14088000,14147000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103595/000010359594000011/0000103595-94-000011-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359595000006/0000103595-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359596000006/0000103595-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359597000006/0000103595-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359598000007/0000103595-98-000007-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359599000012/0000103595-99-000012-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359500000014/0000103595-00-000014-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359501500009/0000103595-01-500009-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359502000008/0000103595-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359503000012/0000103595-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359504000015/0000103595-04-000015-index.html,https://www.sec.gov/Archives/edgar/data/103595/000109690605000641/0001096906-05-000641-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690606001258/0001096906-06-001258-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690607001366/0001096906-07-001366-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690608001852/0001096906-08-001852-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690609001197/0001096906-09-001197-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690610001278/0001096906-10-001278-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690611002364/0001096906-11-002364-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690612002512/0001096906-12-002512-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690613001552/0001096906-13-001552-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690614001399/0001096906-14-001399-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359515000018/0000103595-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359516000036/0000103595-16-000036-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359517000020/0000103595-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359518000017/0000103595-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359519000015/0000103595-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359520000033/0000103595-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359521000014/0000103595-21-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9100000,11700000,7600000,12900000,13900000,9900000,5300000,6600000,7200000,2800000,3200000,3400000,5700000,9800000,10400000,10200000,11000000,17600000,17300000,21400000,15400000,14400000,47900000,55000000,69000000,91400000,103100000,109600000,77400000,59040000,88379000,87435000,96108000,101121000,111681000,116314000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6900000,- -,900000,- -,- -,15300000,20900000,22700000,30900000,19600000,41400000,57400000,39400000,18291,19673,20263,22461,23406,24355,25012000,25750000,26467000,27093000,27093000,28644000,29462000,- -
33,Cash and Short-Term Investments,9100000,11700000,7600000,12900000,13900000,9900000,5300000,6600000,7200000,9700000,3200000,4300000,5700000,9800000,25700000,31100000,33700000,48500000,36900000,62800000,72800000,53800000,47918291,55019673,69020263,91422461,103123406,109624355,102412000,84790000,114846000,114528000,123201000,129765000,141143000,116314000
34,Net Receivables,2600000,3900000,5400000,22700000,4900000,7100000,6600000,7800000,4700000,5800000,5400000,5300000,5400000,5500000,2200000,2100000,2200000,3600000,25600000,5500000,5700000,6400000,6900000,23100000,8800000,9000000,10800000,34200000,12900000,16748000,13185000,36515000,35976000,11951000,- -,16971000
35,Inventory,11900000,17600000,20800000,4700000,24700000,24100000,26700000,26200000,25300000,24200000,25100000,24800000,26500000,29900000,31000000,30500000,33800000,32300000,31000000,30200000,29500000,29800000,33100000,34300000,36300000,38500000,40600000,41500000,44700000,45772000,42011000,41852000,39413000,38503000,42135000,42633000
36,Other Current Assets,500000,600000,600000,600000,400000,600000,400000,600000,900000,600000,700000,900000,800000,1100000,6000000,5300000,6900000,5200000,6300000,8000000,9800000,8000000,11081709,12180327,11779737,13377539,17076594,20075645,2788000,-11399000,-10208000,-11423000,-7692000,-11438000,14042000,20398000
37,Total Current Assets,24100000,33800000,34400000,40900000,43900000,41700000,39000000,41200000,38100000,40300000,34400000,35300000,38400000,46300000,64900000,69000000,76600000,89600000,99800000,106500000,117800000,98000000,99000000,124600000,125900000,152300000,171600000,205400000,162800000,135911000,159834000,181472000,190898000,168781000,197320000,196316000
38,PP&E,31800000,58400000,66000000,65000000,63400000,74800000,80900000,74100000,71400000,69900000,71400000,70400000,73300000,75300000,80600000,86500000,98700000,96300000,101100000,119900000,122500000,125800000,141800000,162300000,175300000,174500000,172400000,177000000,206700000,206594000,201470000,204440000,214566000,224890000,269741000,545615000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,10600000,10300000,10100000,11300000,10900000,10600000,10600000,10600000,10600000,10600000,10600000,10600000,10600000,10600000,10600000,10600000,12100000,12100000,12100000,12057000,12057000,12057000,12057000,12650000,24190000,24190000
40,Intangible Assets,3800000,17800000,17300000,16800000,16300000,15700000,15200000,14700000,- -,2800000,2500000,2300000,2000000,1800000,1500000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,3800000,17800000,17300000,16800000,16300000,15700000,15200000,14700000,- -,13700000,13100000,12600000,12100000,13100000,12400000,10800000,10600000,10600000,10600000,10600000,10600000,10600000,10600000,10600000,10600000,10600000,12100000,12100000,12100000,12057000,12057000,12057000,12057000,12650000,24190000,24190000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,9800000,10200000,10400000,10500000,10700000,13100000,13100000,13700000,- -,- -,- -,- -,- -,- -,19673000,20263000,22461000,23406000,24355000,25012000,25750000,26467000,27093000,27093000,28644000,29462000,33004000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700000,8200000,6100000,5200000,2400000,1400000,300000,- -,- -,- -,- -,- -,- -,- -,- -,12801000,- -
44,Other Non-Current Assets,6300000,5700000,7000000,7900000,8900000,9600000,10600000,11400000,25300000,1900000,2000000,4100000,4200000,4200000,5000000,3900000,4500000,20100000,19900000,10700000,10400000,42600000,48800000,19227000,23637000,26039000,29994000,8545000,50788000,51577000,50426000,30163000,36976000,67324000,382032000,89879000
45,Total Non-Current Assets,41900000,81900000,90300000,89700000,88600000,100100000,106700000,100200000,96700000,95300000,96700000,97500000,100100000,103300000,111100000,114300000,127500000,127000000,131600000,148900000,151700000,185100000,206400000,214200000,231200000,233900000,237900000,222000000,294600000,295978000,290420000,273753000,290692000,333508000,718226000,692688000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,66000000,115700000,124700000,130600000,132500000,141800000,145700000,141400000,134800000,135600000,131100000,132800000,138500000,149600000,176000000,183300000,204100000,216600000,231400000,255400000,269500000,283100000,305400000,338800000,357100000,386200000,409500000,427400000,457400000,431889000,450254000,455225000,481590000,502289000,915546000,889004000
48,Accounts Payable,- -,- -,- -,- -,- -,24100000,23700000,37900000,- -,25600000,24600000,27100000,27400000,27100000,28600000,28400000,30600000,32300000,32900000,40900000,41800000,41900000,52300000,53500000,47100000,55400000,55400000,59500000,63700000,58337000,59186000,59556000,61798000,66130000,29793000,95890000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,- -,- -,- -,7730000,7740909,6818000,6425000,5509000,4999000,4555000,13000,- -,- -,610000,898000,899000,855000,944000,878000,1065000,26311000,29766000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9352000,12805000,17879000,15134000,19281000,44387000,765000,5702000,604000,1321000,1070000,- -,1601000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8157000,6103000,5219000,2397000,1372000,277000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,22800000,31300000,29800000,34800000,37300000,20200000,19000000,5600000,42200000,18400000,20700000,20800000,20700000,24300000,25600000,23600000,25800000,21370000,27259091,21582000,17318000,22188000,27682000,33248000,36215000,52223000,44500000,50990000,81402000,34915000,39255000,35693000,39021000,45279000,106694000,26637000
53,Total Current Liabilities,22800000,31300000,29800000,34800000,37300000,44300000,42700000,43500000,42200000,44000000,45300000,47900000,48100000,53500000,54200000,52000000,56400000,61400000,67900000,69300000,73700000,75700000,90200000,93700000,84700000,107900000,99900000,111100000,146000000,94151000,99296000,96193000,101697000,112474000,162798000,152293000
54,Long-Term Debt,21000000,39800000,43400000,42700000,38300000,40300000,45700000,39500000,36900000,34900000,26800000,24000000,25700000,27200000,44000000,43400000,43600000,37200000,29200000,33600000,27100000,21800000,27500000,32600000,41800000,43100000,43100000,42700000,45200000,44425000,43561000,42646000,48186000,47725000,74194000,370078000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13259,13102000,- -,- -
56,Deferred Tax Liabilities,1900000,2900000,4100000,5100000,5700000,5700000,5500000,5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40792000,41019000,44168000,43699000,43184000,42532000,41768000,40753000,- -,- -
57,Other Non-Current Liabilities,- -,-100000,-100000,100000,-100000,- -,- -,100000,3300000,3700000,4000000,3800000,3100000,2400000,2600000,3200000,6600000,11200000,14200000,19300000,18200000,18100000,16600000,25100000,24900000,27000000,-4592000,-11919000,-11068000,-3153000,-7522000,-12966000,-13219259,-30437000,- -,25160000
58,Total Non-Current Liabilities,22900000,42600000,47400000,47900000,43900000,46000000,51200000,44700000,40200000,38600000,30800000,27800000,28800000,29600000,46600000,46600000,50200000,48400000,43400000,52900000,45300000,39900000,44100000,57700000,66700000,70100000,79300000,71800000,78300000,84971000,79223000,72212000,76748000,71143000,74194000,395238000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,494622000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4023000,3222820,13916000,13460000,12945000,21875000,31021000,13000,- -,40792000,41029000,44399000,44168000,43698000,43184000,42532000,41775000,340692000,322618000
61,Total Liabilities,45700000,73900000,77200000,82700000,81200000,90300000,93900000,88200000,82400000,82600000,76100000,75700000,76900000,83100000,100800000,98600000,106600000,109800000,111300000,122200000,119000000,115600000,134300000,151400000,151400000,178000000,179200000,182900000,224300000,179122000,178519000,168405000,178445000,183617000,583226000,547531000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19400000,19600000,20100000,20900000,21900000,23700000,26500000,30000000,33500000,36400000,40600000,45300000,47800000,52319000,55897000,58551000,62377000,65811000,68072000,71291000
64,Retained Earnings,18900000,22700000,28500000,33000000,37000000,38500000,38800000,40300000,39400000,40000000,42000000,44100000,47800000,52400000,60700000,70100000,82500000,93200000,105500000,119500000,133800000,150600000,152400000,171200000,185800000,187700000,209400000,211100000,203700000,221765000,234175000,244308000,258104000,270753000,286241000,293185000
65,Other Comprehensive Income/Loss,-24600000,-30100000,-30500000,-32300000,-36100000,-41600000,-11300000,-50400000,-56300000,-62000000,-67500000,-68800000,-67800000,-74600000,-81600000,-76400000,-1200000,-2330000,-2659831,-4662000,-2801000,-4526000,-4071000,-10535000,-10421000,-11142000,-15474000,-8467000,-12465000,-16874000,-13339000,-7406000,-8185000,-8342000,-8751000,-9064000
66,Other Total Stockholders Equity,26000000,49200000,49500000,47200000,50400000,54600000,24300000,63300000,50100000,55800000,61300000,62600000,62400000,69500000,76900000,71900000,- -,-3693000,-2849500,-2494000,-2394000,-2209000,-3798000,-3267000,-3104000,-4801000,-4215000,-3373000,-5899000,-4443000,-4998000,-8633000,-9151000,-9550000,-13242000,-13939000
67,Total Stockholders Equity,20300000,41800000,47500000,47900000,51300000,51500000,51800000,53200000,52400000,53000000,55000000,57100000,61600000,66500000,75200000,84800000,97400000,106777000,120090669,133244000,150505000,167565000,171031000,187398000,205775000,208157000,230311000,244560000,233136000,252767000,271735000,286820000,303145000,318672000,332320000,341473000
68,Total Liabilities And Stockholders Equity,66000000,115700000,124700000,130600000,132500000,141800000,145700000,141400000,134800000,135600000,131100000,132800000,138500000,149600000,176000000,183400000,204000000,216577000,231390669,255444000,269505000,283165000,305331000,338798000,357175000,386157000,409511000,427460000,457436000,431889000,450254000,455225000,481590000,502289000,915546000,889004000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,23000,9331,-44000,-5000,-65000,69000,2000,-75000,43000,-11000,-60000,-36000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,66000000,115700000,124700000,130600000,132500000,141800000,145700000,141400000,134800000,135600000,131100000,132800000,138500000,149600000,176000000,183300000,204100000,216600000,231400000,255400000,269500000,283100000,305400000,338800000,357100000,386200000,409500000,427400000,457400000,431889000,450254000,455225000,481590000,502289000,915546000,889004000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103595/000010359594000011/0000103595-94-000011-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359595000006/0000103595-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359596000006/0000103595-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359597000006/0000103595-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359598000007/0000103595-98-000007-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359599000012/0000103595-99-000012-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359500000014/0000103595-00-000014-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359501500009/0000103595-01-500009-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359502000008/0000103595-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359503000012/0000103595-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359504000015/0000103595-04-000015-index.html,https://www.sec.gov/Archives/edgar/data/103595/000109690605000641/0001096906-05-000641-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690606001258/0001096906-06-001258-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690607001366/0001096906-07-001366-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690608001852/0001096906-08-001852-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690609001197/0001096906-09-001197-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690610001278/0001096906-10-001278-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690611002364/0001096906-11-002364-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690612002512/0001096906-12-002512-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690613001552/0001096906-13-001552-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690614001399/0001096906-14-001399-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359515000018/0000103595-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359516000036/0000103595-16-000036-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359517000020/0000103595-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359518000017/0000103595-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359519000015/0000103595-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359520000033/0000103595-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359521000014/0000103595-21-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,1900000,500000,1400000,-800000,600000,2000000,2100000,4000000,4700000,8400000,9400000,12600000,11100000,13300000,15500000,16500000,20500000,22500000,27300000,25400000,21000000,31400000,25800000,5000000,30620000,25044000,22921000,25080000,25539000,24939000,19994000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,7900000,8700000,8700000,8800000,8600000,8600000,7700000,7500000,7600000,8204456,7875059,8001659,8929000,9495425,10595000,11679000,12398000,13713000,15319000,16900000,18621000,19759000,20354000,22274000,23330000,24101000,24482000,24999000,27290000,31701000,35701000
75,Deferred Income Tax,- -,- -,- -,- -,- -,100000,-700000,-100000,-900000,-100000,-100000,-1000000,-400000,-1000000,359654,308664,2028270,3094000,2112193,2189000,-1125000,-621000,810000,-16000,-900000,-1543000,1089000,-3499000,-8048000,14841000,-70000,2279000,-1050000,-1883000,11190000,-2542000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2573000,2929000,3007000,3180000,3222000,3229000,3169000,3195000,3134000,3715000,3098000,2958000,2522000
