,https://roic.ai/company/VCEL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,- -,-171.20,-203.20,-251.20,-120.00,-65.60,-27.20,-30.40,-30.40,-22.40,-20.80,-24.00,-24.00,-25.60,-17.60,-14.40,-10.20,-16.20,-6.95,-2.23,-0.97,-1.18,-0.52,-0.20,-0.22,0.06,-0.17
26,EPS Diluted,- -,-171.20,-203.20,-251.20,-120.00,-65.60,-27.20,-30.40,-30.40,-22.40,-20.80,-24.00,-24.00,-25.60,-17.60,-14.40,-10.20,-16.20,-6.95,-2.23,-0.97,-1.18,-0.52,-0.20,-0.22,0.06,-0.16
27,Weighted Average Shares Outstanding,- -,57827,70374,83518,95887,145900,212687,263256,318650,460643,584631,664462,747018,807000,893850,1236450,1931350,2059950,3016000,11642000,23760000,23093000,33355000,40242000,44180000,45221000,45221000
28,Weighted Average Shares Outstanding Diluted,- -,57827,70374,83518,95887,145900,212687,263256,318650,460643,584631,664462,747018,807000,893850,1236450,1931350,2059950,3016000,11642000,23760000,23093000,33355000,40242000,44180000,47282000,47282000
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887359/000089843000002751/0000898430-00-002751-index.html,https://www.sec.gov/Archives/edgar/data/887359/000095010901503540/0000950109-01-503540-index.html,https://www.sec.gov/Archives/edgar/data/887359/000093639202001214/a84646e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639203001243/a92649ore10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000095013704007675/a01800e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639205000299/a10790e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639206000885/a23567e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639207000734/0000936392-07-000734-index.html,https://www.sec.gov/Archives/edgar/data/887359/000093639208000575/0000936392-08-000575-index.html,https://www.sec.gov/Archives/edgar/data/887359/000095012309043021/0000950123-09-043021-index.html,https://www.sec.gov/Archives/edgar/data/887359/000095012310084160/0000950123-10-084160-index.html,- -,https://www.sec.gov/Archives/edgar/data/887359/000110465913021790/0001104659-13-021790-index.html,https://www.sec.gov/Archives/edgar/data/887359/000110465914019344/a14-2729_110k.htm,https://www.sec.gov/Archives/edgar/data/887359/000110465915022712/a14-26769_110k.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828016012668/0001628280-16-012668-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828017002492/0001628280-17-002492-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828018002753/0001628280-18-002753-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828019002007/0001628280-19-002007-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828020002229/0001628280-20-002229-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828021003081/0001628280-21-003081-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828022003661/0001628280-22-003661-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,11000000,1900000,2078000,7528000,2064000,10659000,8605000,10512000,16926000,14408000,9034000,13439000,16492000,17000000,31248000,5530000,13638000,8059000,30343000,14581000,22978000,26862000,18286000,26889000,4445000,68330000
32,Short-Term Investments,- -,- -,- -,9134000,- -,10681000,- -,1000000,- -,- -,18006000,33963000,14886000,5970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,64638000,42829000,42187000,35068000
33,Cash and Short-Term Investments,- -,11000000,1900000,11212000,7528000,12745000,10659000,9605000,10512000,16926000,32414000,42997000,28325000,22462000,17000000,31248000,5530000,13638000,8059000,30343000,14581000,22978000,26862000,82924000,69718000,46632000,103398000
34,Net Receivables,- -,100000,200000,167000,113000,242000,129000,120000,350000,246000,193000,139000,78000,18000,58000,25000,9000,28000,- -,8191000,10919000,17093000,18270000,23454000,32168000,-2336000,37437000
35,Inventory,- -,- -,- -,- -,1144000,- -,725000,1397000,806000,389000,116000,1000,8000,- -,1000,- -,- -,- -,- -,1920000,1379000,3488000,3793000,3558000,6816000,-2540000,13381000
36,Other Current Assets,- -,400000,15300000,270000,253000,158000,213000,225000,185000,271000,421000,528000,1766000,1583000,732000,426000,636000,324000,417000,1036000,464000,1164000,1581000,2847000,2953000,81804000,4246000
37,Total Current Assets,- -,11500000,17400000,11649000,9038000,13145000,11726000,11347000,11853000,17832000,33144000,43665000,30177000,24063000,17791000,31699000,6175000,13990000,8476000,41490000,27343000,44723000,50506000,112783000,111655000,123560000,158462000
38,PP&E,- -,1200000,1000000,725000,502000,292000,179000,206000,302000,334000,753000,1216000,2671000,2154000,1485000,1128000,1564000,1188000,739000,2892000,4049000,3875000,4071000,5906000,32247000,30000,59028000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3197000,2917000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3197000,2917000,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9247000,24099000,25687000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000,- -,528000
45,Total Non-Current Assets,- -,1200000,1000000,725000,502000,292000,179000,206000,302000,334000,753000,1216000,2671000,2154000,1485000,1128000,1564000,1188000,739000,6089000,6966000,3875000,4071000,5906000,41583000,24129000,85243000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,12700000,18400000,12374000,9540000,13437000,11905000,11553000,12155000,18166000,33897000,44881000,32848000,26217000,19276000,32827000,7739000,15178000,9215000,47579000,34309000,48598000,54577000,118689000,153238000,147689000,243705000
48,Accounts Payable,- -,1200000,1500000,1313000,836000,837000,856000,589000,406000,382000,533000,356000,532000,907000,- -,- -,2239000,2843000,2355000,5824000,7588000,6535000,5552000,7108000,6345000,33000,9016000
49,Short-Term Debt,- -,- -,100000,65000,- -,- -,- -,- -,- -,- -,- -,- -,439000,446000,479000,214000,40000,34000,6000,- -,- -,779000,350000,- -,5502000,4435000,2991000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,400000,200000,150000,193000,165000,155000,161000,174000,176000,336000,2183000,2529000,747000,1208000,29650000,18391000,2782000,2960000,6005000,4520000,5539000,7188000,7684000,7948000,18015000,14045000
53,Total Current Liabilities,- -,1600000,1800000,1528000,1029000,1002000,1011000,750000,580000,558000,869000,2539000,3500000,2100000,1687000,29864000,20670000,5659000,5321000,11829000,12108000,12853000,13090000,14792000,19795000,22483000,26052000
54,Long-Term Debt,- -,34400000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1097000,783000,305000,41000,40000,6000,- -,- -,71000,9350000,16888000,- -,- -,- -,47191000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000,- -,1687000,2059000,1666000,22352000,15000,- -
58,Total Non-Current Liabilities,- -,34500000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1097000,783000,305000,41000,40000,6000,- -,109000,71000,11037000,18947000,1666000,22352000,15000,47191000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48880000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27854000,53300000,50182000
61,Total Liabilities,- -,36100000,1800000,1528000,1029000,1002000,1011000,750000,580000,558000,869000,2539000,4597000,2883000,1992000,29905000,20710000,5665000,5321000,11938000,12179000,23890000,32037000,16458000,42147000,71348000,73243000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41613000,38389000,38389000,41539000,38389000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,59474000,72257000,92367000,96752000,104600000,114951000,131472000,158703000,- -,- -,- -,- -,- -,- -,243215000,253270000,305008000,307766000,329720000,383020000,471180000,489749000,6632000,553902000
64,Retained Earnings,- -,-27000000,-41300000,-58897000,-70334000,-79932000,-85858000,-93797000,-103376000,-113864000,-125675000,-142150000,-159744000,-179877000,-195823000,-222180000,-241848000,-275315000,-287765000,-307685000,-324025000,-343591000,-360877000,-369014000,-378679000,- -,-383286000
65,Other Comprehensive Income/Loss,- -,-1200000,-1700000,-2300000,-2480000,-2819000,-2862000,-2932000,-3040000,-3165000,-2192000,-2503000,-1940000,-2644000,-3115000,- -,- -,-3598000,-4087000,-71000,-5638000,-7093000,-6621000,-39000,21000,14000,-154000
66,Other Total Stockholders Equity,- -,4800000,59600000,12569000,9068000,2819000,2862000,2932000,3040000,3165000,2192000,186995000,189935000,205855000,216222000,- -,- -,3598000,4087000,- -,2488000,7283000,7018000,104000,- -,127614000,- -
67,Total Stockholders Equity,- -,-23400000,16600000,10846000,8511000,12435000,10894000,10803000,11575000,17608000,33028000,42342000,28251000,23334000,17284000,2922000,-12971000,9513000,3894000,35641000,22130000,24708000,22540000,102231000,111091000,134260000,170462000
68,Total Liabilities And Stockholders Equity,- -,12700000,18400000,12374000,9540000,13437000,11905000,11553000,12155000,18166000,33897000,44881000,32848000,26217000,19276000,32827000,7739000,15178000,9215000,47579000,34309000,48598000,54577000,118689000,153238000,205608000,243705000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57919000,- -
70,Total Liabilities & Equity,- -,12700000,18400000,12374000,9540000,13437000,11905000,11553000,12155000,18166000,33897000,44881000,32848000,26217000,19276000,32827000,7739000,15178000,9215000,47579000,34309000,48598000,54577000,118689000,153238000,147689000,243705000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887359/000089843000002751/0000898430-00-002751-index.html,https://www.sec.gov/Archives/edgar/data/887359/000095010901503540/0000950109-01-503540-index.html,https://www.sec.gov/Archives/edgar/data/887359/000093639202001214/a84646e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639203001243/a92649ore10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000095013704007675/a01800e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639205000299/a10790e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639206000885/a23567e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639207000734/0000936392-07-000734-index.html,https://www.sec.gov/Archives/edgar/data/887359/000093639208000575/0000936392-08-000575-index.html,https://www.sec.gov/Archives/edgar/data/887359/000095012309043021/0000950123-09-043021-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/887359/000110465913021790/0001104659-13-021790-index.html,https://www.sec.gov/Archives/edgar/data/887359/000110465914019344/a14-2729_110k.htm,https://www.sec.gov/Archives/edgar/data/887359/000110465915022712/a14-26769_110k.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828016012668/0001628280-16-012668-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828017002492/0001628280-17-002492-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828018002753/0001628280-18-002753-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828019002007/0001628280-19-002007-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828020002229/0001628280-20-002229-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828021003081/0001628280-21-003081-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828022003661/0001628280-22-003661-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-9900000,-14300000,-17233000,-11028000,-9390000,-5926000,-7939000,-9579000,-10488000,-11811000,-16475000,-17594000,-20133000,-15946000,-17729000,-19668000,-29474000,-15622000,-19920000,-16340000,-19566000,-17286000,-8137000,-9665000,2864000,-7471000
74,Depreciation and Amortization,- -,400000,500000,377000,226000,325000,102000,126000,119000,125000,99000,191000,-47000,351000,704000,592000,647000,649000,489000,752000,1592000,1886000,1612000,1426000,1744000,2383000,2965000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1362000,710000,3743000,3610000,926000,839000,2747000,2499000,2680000,7223000,13179000,13843000,34322000
77,Change in Working Capital,- -,500000,-5479000,-2112000,4134000,-1428000,-118000,676000,6001000,15001000,8851000,-14449000,-4714000,-5859000,753000,-15022000,-16330000,22826000,-5176000,26506000,-14426000,16635000,5546000,60575000,-6131000,9217000,-6154000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8714000,-2336000,-2933000
79,Inventory,- -,- -,- -,- -,-1144000,117000,-725000,-874000,-253000,164000,264000,115000,-7000,8000,-1000,1000,- -,- -,- -,119000,-86000,-2245000,-657000,235000,-3258000,-2540000,-4025000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2773000,1726000,-1076000,-1361000,899000,-1024000,33000,1491000
81,Other Working Capital,- -,15600000,10121000,8009000,12143000,10715000,10597000,11273000,17274000,32275000,41126000,26677000,21963000,16104000,16857000,1835000,-14495000,8331000,3155000,29661000,15235000,31870000,37416000,97991000,91860000,101077000,- -
82,Other Non-Cash Items,- -,-100000,5979000,3329000,-4530000,3616000,-420000,-1612000,-5531000,-14163000,-8204000,17215000,7529000,6114000,-678000,16364000,7116000,-27156000,-560000,-33587000,13081000,-21346000,-5735000,-61499000,-6310000,-10735000,5378000
83,Cash Provided by Operating Activities,- -,-9100000,-13300000,-15639000,-11198000,-6877000,-6362000,-8749000,-8990000,-9525000,-11065000,-13518000,-14826000,-19527000,-13805000,-15085000,-24492000,-29545000,-19943000,-25410000,-13346000,-19892000,-13183000,-412000,-7183000,17572000,29040000
84,CAPEX,- -,-400000,-400000,-234000,-73000,-136000,-58000,-153000,-119000,-157000,-586000,-789000,-1064000,-215000,-35000,-120000,-1031000,-273000,-40000,-829000,-2427000,-1415000,-1510000,-2678000,-2616000,-2626000,-7915000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1450000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-19200000,-12326000,-1000000,-10660000,-1500000,-5500000,- -,- -,-25938000,-43900000,-49376000,-30703000,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,-66549000,-72346000,-63057000,-60021000
87,Sales/Maturities of Investments,- -,8500000,4200000,18450000,10200000,- -,12250000,4500000,1000000,- -,8000000,28078000,69000000,40000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,2200000,85577000,48523000,64435000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000,35000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,8100000,-15400000,5890000,9127000,-10796000,10692000,-1153000,881000,-157000,-18524000,-16611000,18560000,9082000,5965000,-5120000,-1031000,-273000,-40000,-2178000,-2392000,-1415000,-1510000,-67027000,10615000,-17160000,-3501000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-445000,-479000,-227000,-40000,-34000,-8000,-35000,-2438000,-8040000,-17532000,- -,- -,- -
91,Common Stock Issued,- -,6000000,19900000,10057000,7586000,12209000,4265000,7848000,10016000,16096000,27071000,24755000,697000,13613000,8534000,17526000,32000,346000,14438000,49934000,11000,19455000,- -,74389000,- -,- -,11184000
92,Common Stock Repurchased,- -,- -,- -,-49000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,3300000,-200000,-124000,-65000,- -,- -,- -,- -,- -,- -,- -,-26000,-115000,259000,277000,- -,37620000,- -,- -,- -,12687000,26617000,2006000,5260000,6441000,-2013000
95,Cash Used/Provided by Financing Activities,- -,9300000,19700000,9884000,7521000,12209000,4265000,7848000,10016000,16096000,27071000,24755000,671000,13498000,8348000,17324000,-195000,37926000,14404000,49926000,-24000,29704000,18577000,58863000,5260000,6441000,9171000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,9300000,19700000,135000,5450000,-5464000,8595000,-2054000,1907000,6414000,-2518000,-5374000,4405000,3053000,508000,-2881000,-25718000,8108000,-5579000,22284000,-15762000,8397000,3884000,-8576000,8692000,6853000,34710000
98,Cash at the End of Period,- -,- -,- -,2078000,7528000,2064000,10659000,8605000,10512000,16926000,14408000,9034000,13439000,16492000,17000000,14119000,5530000,13638000,8059000,30343000,14581000,22978000,26862000,18286000,26978000,33831000,68541000
99,Cash at the Beginning of Period,- -,2700000,11000000,1943000,2078000,7528000,2064000,10659000,8605000,10512000,16926000,14408000,9034000,13439000,16492000,17000000,31248000,5530000,13638000,8059000,30343000,14581000,22978000,26862000,18286000,26978000,33831000
100,Free Cash Flow,- -,-9500000,-13700000,-15873000,-11271000,-7013000,-6420000,-8902000,-9109000,-9682000,-11651000,-14307000,-15890000,-19742000,-13840000,-15205000,-25523000,-29818000,-19983000,-26239000,-15773000,-21307000,-14693000,-3090000,-9799000,14946000,21125000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887359/000089843000002751/0000898430-00-002751-index.html,https://www.sec.gov/Archives/edgar/data/887359/000095010901503540/0000950109-01-503540-index.html,https://www.sec.gov/Archives/edgar/data/887359/000093639202001214/a84646e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639203001243/a92649ore10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000095013704007675/a01800e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639205000299/a10790e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639206000885/a23567e10vk.htm,https://www.sec.gov/Archives/edgar/data/887359/000093639207000734/0000936392-07-000734-index.html,https://www.sec.gov/Archives/edgar/data/887359/000093639208000575/0000936392-08-000575-index.html,https://www.sec.gov/Archives/edgar/data/887359/000095012309043021/0000950123-09-043021-index.html,https://www.sec.gov/Archives/edgar/data/887359/000095012310084160/0000950123-10-084160-index.html,- -,https://www.sec.gov/Archives/edgar/data/887359/000110465913021790/0001104659-13-021790-index.html,https://www.sec.gov/Archives/edgar/data/887359/000110465914019344/a14-2729_110k.htm,https://www.sec.gov/Archives/edgar/data/887359/000110465915022712/a14-26769_110k.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828016012668/0001628280-16-012668-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828017002492/0001628280-17-002492-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828018002753/0001628280-18-002753-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828019002007/0001628280-19-002007-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828020002229/0001628280-20-002229-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828021003081/0001628280-21-003081-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828022003661/0001628280-22-003661-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
