,https://roic.ai/company/ROAD,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1718227/000171822718000014/0001718227-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1718227/000171822719000098/0001718227-19-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1718227/000171822720000093/0001718227-20-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1718227/000171822721000107/0001718227-21-000107-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,51085000,27547000,99137000,80619000,148316000,57251000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,51085000,27547000,99137000,80619000,148316000,57251000
34,Net Receivables,110256000,125576000,137499000,159618000,139643000,181193000
35,Inventory,13245000,17487000,24556000,34291000,38561000,53792000
36,Other Current Assets,2342000,4520000,6263000,5438000,5041000,7790000
37,Total Current Assets,176928000,175130000,267455000,279966000,331561000,300026000
38,PP&E,104338000,115911000,178692000,205870000,244613000,411367000
39,Goodwill,29957000,30600000,32919000,38546000,46348000,85422000
40,Intangible Assets,2850000,2550000,3735000,3434000,3224000,4163000
41,Intangible Assets,32807000,33150000,36654000,41980000,49572000,89585000
42,Investments,- -,- -,1659000,496000,198000,108000
43,Tax Assets,2012000,1876000,1580000,1173000,386000,- -
44,Other Non-Current Assets,2197000,2483000,10270000,2284000,1784000,5534000
45,Total Non-Current Assets,141354000,153420000,228855000,251803000,296553000,506594000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,318282000,328550000,496310000,531769000,628114000,806620000
48,Accounts Payable,40763000,52402000,63510000,70442000,64732000,86390000
49,Short-Term Debt,- -,- -,14773000,7538000,13000000,11395000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,26888000,32108000,38738000,31115000,33704000,33719000
52,Other Current Liabilities,32392000,30036000,17520000,19078000,24393000,26459000
53,Total Current Liabilities,100043000,114546000,134541000,128173000,135829000,157963000
54,Long-Term Debt,46101000,47136000,48115000,42458000,79053000,211477000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,8938000,9667000,8890000,11480000,14003000,17362000
57,Other Non-Current Liabilities,6917000,5020000,5295000,6108000,14034000,10919000
58,Total Non-Current Liabilities,61956000,61823000,62300000,60046000,107090000,239758000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,7600000,6697000
61,Total Liabilities,161999000,176369000,196841000,188219000,242919000,397721000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,45000,45000,54000,55000,55000,56000
64,Retained Earnings,26987000,21734000,72525000,115646000,155721000,175898000
65,Other Comprehensive Income/Loss,-139564000,-148072000,-160795000,-177927000,-209532000,-23000
66,Other Total Stockholders Equity,268815000,278474000,387685000,405776000,438951000,232968000
67,Total Stockholders Equity,156283000,152181000,299469000,343550000,385195000,408899000
68,Total Liabilities And Stockholders Equity,318282000,328550000,496310000,531769000,628114000,806620000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,318282000,328550000,496310000,531769000,628114000,806620000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1718227/000171822718000014/0001718227-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1718227/000171822719000098/0001718227-19-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1718227/000171822720000093/0001718227-20-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1718227/000171822721000107/0001718227-21-000107-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,22022000,26040000,50791000,43121000,40297000,20177000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,8147000,865000,-481000,2997000,3310000,3745000
76,Stock Based Compensation,217000,513000,975000,957000,1570000,3549000
77,Change in Working Capital,1131000,-16301000,72330000,18879000,43939000,-24628000
78,Accounts Receivable,-13690000,-19619000,9273000,-20586000,7407000,-27074000
79,Inventory,3304000,-3063000,-2746000,-8826000,-1183000,-3932000
80,Accounts Payable,-10534000,11639000,7462000,6932000,-5710000,20201000
81,Other Working Capital,76885000,60584000,132914000,151793000,195732000,15000
82,Other Non-Cash Items,20177000,35810000,-57494000,-10680000,16057000,45657000
83,Cash Provided by Operating Activities,51694000,46927000,66121000,55274000,105173000,48500000
84,CAPEX,-24855000,-24399000,-42804000,-42479000,-52574000,-56332000
85,Acquisitions Net,- -,- -,-51000000,-25000000,- -,-210734000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,5850000,-6287000,4212000,7254000,-26789000,3654000
89,Cash Used for Investing Activites,-19005000,-30686000,-89592000,-60225000,-79363000,-263412000
90,Debt Repayment,-21976000,-65741000,-17361000,-13001000,-30412000,-95350000
91,Common Stock Issued,212000,638000,98014000,3000,- -,- -
92,Common Stock Repurchased,-3000000,-3000000,-2569000,-569000,- -,- -
93,Dividends Paid,- -,-31293000,- -,- -,- -,- -
94,Other Financing Activites,3883000,59617000,16977000,- -,72299000,219197000
95,Cash Used/Provided by Financing Activities,-20881000,-39779000,95061000,-13567000,41887000,123847000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,11808000,-23538000,71590000,-18518000,67697000,-91065000
98,Cash at the End of Period,51085000,27547000,99137000,80619000,148316000,57251000
99,Cash at the Beginning of Period,39277000,51085000,27547000,99137000,80619000,148316000
100,Free Cash Flow,26839000,22528000,23317000,12795000,52599000,-7832000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1718227/000171822718000014/0001718227-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1718227/000171822719000098/0001718227-19-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1718227/000171822720000093/0001718227-20-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1718227/000171822721000107/0001718227-21-000107-index.htm
102,false,,,,,,
