,https://roic.ai/company/FNHC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,-0.0262,-0.0792,0.1940,0.2044,-0.2900,0.1666,0.2049,0.2728,-0.0564,-0.2754,-0.1973,-0.0166,0.0983,0.1579,0.2896,0.2641,0.0086,0.0228,0.0510,0.0017,-0.2444,-0.4186
22,Income Tax expense (Gain),1000000,680061,-462396,-630553,3302849,3922350,-8600911,4689826,7396000,11226000,-1324000,-5921000,-3959000,-570000,2435000,6491000,20108000,24753000,2683000,3585000,5498000,-298000,-32619000,316000
23,Net Income,1800000,1566731,-522874,-992090,4570201,8364876,-10857775,12115530,13896000,21280000,-2478000,-10289000,-7996000,-430000,4313000,12727000,37199000,40885000,-196000,7989000,14928000,1011000,-73034000,-103100000
24,Net Income ratio,0.0870,0.0617,-0.0139,-0.0280,0.1126,0.1391,-0.1418,0.1280,0.1337,0.1786,-0.0368,-0.1748,-0.1319,-0.0071,0.0628,0.1045,0.1880,0.1656,-0.0006,0.0204,0.0377,0.0024,-0.1690,-0.4199
25,EPS,0.35,0.20,-0.10,-0.21,1.01,1.76,-1.86,1.95,1.84,2.69,-0.31,-1.29,-1.01,-0.05,0.53,1.50,3.08,2.98,-0.01,0.61,1.17,0.08,-5.27,-7.52
26,EPS Diluted,0.35,0.20,-0.10,-0.21,1.01,1.67,-1.86,1.83,1.72,2.65,-0.31,-1.29,-1.01,-0.05,0.53,1.45,2.99,2.92,-0.01,0.60,1.16,0.08,-5.27,-7.52
27,Weighted Average Shares Outstanding,5190405,7567467,5228740,4800435,4510067,4756972,5847102,6228043,7537550,7922542,7979436,8002365,7946384,7946384,7951906,8505967,12082269,13719799,13758000,13170000,12775000,12977000,13846000,13718000
28,Weighted Average Shares Outstanding Diluted,5190405,7567467,5228740,4800435,4534839,5022937,5847102,6628076,8085722,8030205,7979436,8002365,7946384,7946384,8016110,8772060,12438418,14001712,13758000,13250000,12867000,13023000,13846000,13718000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069996/000114420405009759/0001144204-05-009759-index.html,https://www.sec.gov/Archives/edgar/data/1069996/000114420406012513/0001144204-06-012513-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420407013168/0001144204-07-013168-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420408015873/0001144204-08-015873-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420409014329/0001144204-09-014329-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420410015932/0001144204-10-015932-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036111019672/0001140361-11-019672-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036112018226/0001140361-12-018226-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036113014741/0001140361-13-014741-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036114012986/0001140361-14-012986-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036115011840/0001140361-15-011840-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036116057540/0001140361-16-057540-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000156276217000034/0001562762-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999618000003/0001069996-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999619000018/0001069996-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000011/0001069996-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999621000048/0001069996-21-000048-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2300000,900000,2627041,2150665,4478383,6770169,6127706,6071460,17917000,22524000,124577000,28197000,16206000,15205000,21143000,41446000,40157000,53038000,74593000,86228000,64423000,133361000,103026000,83526000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122737000,213496000,323346000,377712000,404131000,438672000,446399000,546304000,491367000,327532000
33,Cash and Short-Term Investments,2300000,900000,2627041,2150665,4478383,6770169,6127706,6071460,17917000,22524000,124577000,28197000,16206000,15205000,143880000,254942000,363503000,430750000,478724000,524900000,510822000,679665000,594393000,411058000
34,Net Receivables,- -,- -,3044435,1560914,16230076,21917106,39429293,144181334,8009000,33159000,5829000,17380000,8032000,6746000,13129000,26840000,46297000,53999000,117255000,180504000,246435000,253589000,500405000,684391000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,31400000,31869496,41218461,45640761,48000582,72114960,113618094,5921207206,-8009000,-33159000,-5829000,-17380000,-8032000,-6746000,-135866000,-240336000,-369643000,-431711000,-521386000,-619176000,-692834000,-799893000,-992431000,- -
37,Total Current Assets,33700000,32769496,46889937,49352340,68709041,100802235,159175093,6071460000,17917000,22524000,124577000,28197000,16206000,15205000,21143000,41446000,40157000,53038000,74593000,86228000,64423000,133361000,102367000,- -
38,PP&E,1800000,2514505,5381780,5086884,4819617,4153643,4272733,3901385,1296000,1046000,855000,859000,767000,842000,564000,929000,1749000,2894000,4194000,4025000,4819000,- -,- -,- -
39,Goodwill,- -,- -,2795750,1789353,1789353,1739715,153546,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10997000,- -,- -
40,Intangible Assets,2700000,3402403,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2269000,- -,- -
41,Intangible Assets,2700000,3402403,2795750,1789353,1789353,1739715,153546,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13266000,- -,- -
42,Investments,- -,- -,- -,- -,25232753,47152849,84382173,100086409,124833000,136224000,26065000,114219000,122485000,129467000,130096000,220710000,344763000,384331000,409682000,444021000,451525000,550641000,491367000,333437000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-25232753,-47152849,-84382173,-5885293041,-124833000,-136224000,-26065000,-114219000,-122485000,-100617000,-104034000,-189468000,-241076000,-224890000,-139878000,-119815000,-76712000,-110315000,- -,- -
45,Total Non-Current Assets,4500000,5916908,8177530,6876237,6608970,5893358,4426279,-5781305247,1296000,1046000,855000,859000,767000,29692000,26626000,32171000,105436000,162335000,273998000,328231000,379632000,453592000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1331020000,1412670000
47,Total Assets,38200000,38686404,55067467,56228577,75318011,106695593,163601372,290154753,19213000,23570000,125432000,29056000,16973000,44897000,47769000,73617000,145593000,215373000,348591000,414459000,444055000,586953000,1433387000,1412670000
48,Accounts Payable,- -,- -,- -,- -,2070010,4360793,- -,1137979,5715000,120000,3699000,- -,- -,3109000,2624000,6473000,10924000,- -,79154000,71944000,63599000,102467000,201522000,102748000
49,Short-Term Debt,500000,417773,3212962,3522512,844947,6598786,14832698,12434678,8117000,8695000,8694000,8251000,7430000,7930000,5987000,6203000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,1676020,- -,- -,3019696,- -,4226000,- -,- -,- -,77000,- -,2379000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35035000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,6848080343,-4507000,1171000,-164000,-983000,2639000,682000,-1649000,-5197000,300128000,461785000,515589000,572041000,602109000,729334000,286688000,- -
53,Total Current Liabilities,500000,417773,3212962,3522512,2914957,10959579,14832698,6861653000,9325000,9986000,12229000,7268000,10069000,11721000,6962000,7479000,311052000,461785000,594743000,643985000,665708000,831801000,523245000,- -
54,Long-Term Debt,- -,- -,8091034,6676817,4312420,4375000,19023542,- -,4167000,- -,- -,- -,- -,- -,- -,- -,- -,5000000,4909000,49251000,44404000,98522000,98683000,118805000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,2500000,- -,2467000,1998000,- -,- -,- -,- -,- -,- -,10500000,- -,- -,6222000,4585000,6856000,6820000,5240000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1341000,5627000,1433000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5740000,-1433000,-6222000,-4585000,-6856000,-6820000,- -
58,Total Non-Current Liabilities,- -,- -,8091034,6676817,4312420,4375000,21523542,- -,6634000,- -,- -,- -,- -,- -,- -,- -,- -,4887000,4909000,49251000,44404000,98522000,98683000,124045000
59,Other Liabilities,22700000,22514743,44989542,45173751,58617810,68064638,145315481,- -,143249000,128118000,108649000,128179000,116049000,110115000,113021000,200768000,- -,- -,- -,- -,- -,- -,845541000,1477329000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,23200000,22932516,40111470,42019446,57220347,74649217,138624637,249387383,145940000,138104000,120878000,135447000,126118000,121836000,119983000,208247000,311052000,387539000,575271000,677414000,710112000,930323000,1270103000,1353284000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,33700,34107,34107,34117,40889,67448,74688,79000,79000,- -,80000,79000,79000,80000,109000,136000,138000,134000,130000,128000,144000,137000,174000
64,Retained Earnings,2700000,4297994,3642066,2400301,6521027,13643225,883757,10404872,20011000,35534000,27359000,15151000,6678000,6248000,10402000,21896000,57423000,96461000,80275000,70009000,77753000,70591000,-17537000,-125761000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-227091,-324881,-504972,-1537243,-967000,-2596000,-1187000,2026000,520000,877000,4067000,5964000,7718000,3985000,1941000,1770000,-3750000,10281000,11386000,-1034000
66,Other Total Stockholders Equity,12300000,11422194,11279824,11774723,11769611,18687143,24530502,31825053,47070000,48240000,49872000,50185000,50654000,50940000,51356000,80525000,127302000,131998000,136779000,139728000,141128000,167677000,164174000,186007000
67,Total Stockholders Equity,15000000,15753888,14955997,14209131,18097664,32046376,24976735,40767370,66193000,81257000,76231000,67442000,57931000,58144000,65905000,108494000,192579000,232582000,219129000,211637000,215259000,248693000,158160000,59386000
68,Total Liabilities And Stockholders Equity,38200000,38686404,55067467,56228577,75318011,106695593,163601372,290154753,212133000,219361000,197109000,202889000,184049000,179980000,185888000,316741000,503631000,620121000,794400000,889051000,925371000,1179016000,1428263000,1412670000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-192920000,-195791000,-71677000,-173833000,-167076000,-135083000,-138119000,-243124000,-358038000,-404748000,-445809000,-474592000,-481316000,-592063000,5124000,- -
70,Total Liabilities & Equity,38200000,38686404,55067467,56228577,75318011,106695593,163601372,290154753,19213000,23570000,125432000,29056000,16973000,44897000,47769000,73617000,145593000,215373000,348591000,414459000,444055000,586953000,1433387000,1412670000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069996/000114420405009759/0001144204-05-009759-index.html,https://www.sec.gov/Archives/edgar/data/1069996/000114420406012513/0001144204-06-012513-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420407013168/0001144204-07-013168-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420408015873/0001144204-08-015873-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420409014329/0001144204-09-014329-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420410015932/0001144204-10-015932-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036111019672/0001140361-11-019672-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036112018226/0001140361-12-018226-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036113014741/0001140361-13-014741-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036114012986/0001140361-14-012986-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036115011840/0001140361-15-011840-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036116057540/0001140361-16-057540-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000156276217000034/0001562762-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999618000003/0001069996-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999619000018/0001069996-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000011/0001069996-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999621000048/0001069996-21-000048-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1800000,1566731,-522874,-992090,4570201,8364876,-10857775,12115530,13896000,21280000,-2478000,-10289000,-7996000,-430000,4313000,12727000,37199000,40885000,-196000,7989000,14928000,1011000,-73034000,- -
74,Depreciation and Amortization,300000,731754,919804,885319,460876,728343,299271,222937,45000,-43000,290000,188000,221000,1417000,195000,263000,149000,624000,869000,1166000,1385000,1477000,1904000,- -
75,Deferred Income Tax,-100000,-106337,-1096850,-132284,-1107092,-338874,-625893,952098,-906000,-2030000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-193000,-44000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188000,293000,1660000,4527000,4420000,2846000,2367000,2176000,1580000,- -
77,Change in Working Capital,-8300000,-3049868,8213553,-6858127,10635846,5434863,31530808,-112697491,12511000,11081000,-9845000,-1498000,6624000,5612000,-3389000,67624000,24402000,5271000,62110000,8584000,6162000,33245000,-14641000,- -
78,Accounts Receivable,-5500000,-1469631,-883837,-8833059,-12348135,-3630169,-9537506,-120770630,122463000,9092000,509000,-7055000,4716000,29000,-3827000,-13556000,-14648000,-11499000,-52076000,-68277000,-70221000,758000,-212824000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1300000,-1420953,12405699,2261862,20915436,12443524,53376434,119353405,-100903000,-3189000,- -,- -,- -,- -,-486000,3849000,4451000,- -,18085000,-7210000,-8345000,14797000,100360000,- -
81,Other Working Capital,- -,- -,-8311596,7485467,6401675,-1018184,-3762856,- -,-122354000,-2906000,-3298000,-8765000,-1495000,-912000,2350000,2188000,-2255000,6876000,5545000,-15535000,3072000,-2365000,-22219000,- -
82,Other Non-Cash Items,3800000,-1143181,4309336,6151635,405609,-1919094,-1768615,118788222,1970000,2547000,-10297000,-15000,-5328000,-2449000,233000,-1194000,-266000,1584000,2547000,-7286000,5472000,-2593000,-7717000,- -
83,Cash Provided by Operating Activities,-2500000,-2000901,11822969,-945547,14965440,12270114,18577796,19381296,27516000,32835000,-22330000,-11614000,-6479000,4150000,1540000,79713000,63144000,52891000,69750000,13106000,30270000,35316000,-91908000,- -
84,CAPEX,-6000000,-910561,-3191018,-153387,-308936,-1289108,-719332,-181862,-400000,-67000,-99000,-193000,-130000,-243000,- -,-629000,-969000,-1736000,-2147000,-976000,-2026000,-2040000,-3357000,- -
85,Acquisitions Net,- -,-491697,- -,-301330,-199687,- -,5488489,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10402000,- -,- -
86,Purchases of Investments,-42100000,-34715726,-54081724,-60163976,-51088365,-188055815,-119153291,-139505023,-296209000,-214733000,-27870000,-141753000,-153969000,-113251000,-86203000,-192627000,-194087000,-231884000,-342113000,-375478000,-351318000,-234697000,-585603000,- -
87,Sales/Maturities of Investments,39800000,37826024,49117502,62652499,41754859,165867152,83502144,122532017,271265000,195812000,156674000,59227000,149025000,108318000,90449000,106173000,87151000,169979000,311109000,344747000,332160000,217324000,665327000,- -
88,Other Investing Activites,3700000,-3326341,-6417675,472153,2949290,1621384,- -,1689128,5608000,- -,- -,- -,- -,-243000,83000,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-4600000,-1618301,-14572915,2505959,-6892839,-21856387,-30881990,-15465740,-19736000,-18988000,128705000,-82719000,-5074000,-5176000,4329000,-87083000,-107905000,-63641000,-33151000,-31707000,-21184000,-9011000,76367000,- -
90,Debt Repayment,-600000,-400494,-3753831,-1414217,- -,- -,-1950244,-6951600,-4562000,-2083000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-48000000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,6868646,3003431,5319132,13269000,2212000,- -,- -,- -,- -,- -,27879000,43110000,171000,361000,103000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-223063,-291339,-743314,-253446,-681842,-11871,- -,-2001000,-3823000,-144000,-288000,- -,- -,- -,- -,- -,- -,-11317000,-10616000,-5061000,-3449000,-10418000,- -
93,Dividends Paid,-100000,- -,-67260,-188807,-449475,-1242678,-1879585,-2339335,-4290000,-5758000,-5697000,-1920000,-477000,- -,-159000,-1232000,-1672000,-1847000,-4677000,-4251000,-4184000,-4309000,-5077000,- -
94,Other Financing Activites,8400000,2915873,8566242,309550,-5041962,7286366,12500000,- -,1648000,214000,1519000,160000,39000,25000,228000,1026000,2034000,25307000,589000,45000000,-16646000,98391000,42000,- -
95,Cash Used/Provided by Financing Activities,7700000,2292316,4453812,-2036788,-5744883,12230492,11661731,-3971803,4064000,-9238000,-4322000,-2048000,-438000,25000,69000,27673000,43472000,23631000,-15044000,30236000,-30891000,42633000,-15453000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,600000,-1326886,1703866,-476376,2327718,2644219,-642463,-56246,11846000,4607000,102053000,-96380000,-11991000,-1001000,5938000,20303000,-1289000,12881000,21555000,11635000,-21805000,68938000,-30994000,- -
98,Cash at the End of Period,2300000,923175,2627041,2150665,4478383,6770169,6127706,6071460,17917000,22524000,124577000,28197000,16206000,15205000,21143000,41446000,40157000,53038000,74593000,86228000,64423000,133361000,102367000,- -
99,Cash at the Beginning of Period,1700000,2250061,923175,2627041,2150665,4125950,6770169,6127706,6071000,17917000,22524000,124577000,28197000,16206000,15205000,21143000,41446000,40157000,53038000,74593000,86228000,64423000,133361000,- -
100,Free Cash Flow,-8500000,-2911462,8631951,-1098934,14656504,10981006,17858464,19199434,27116000,32768000,-22429000,-11807000,-6609000,3907000,1540000,79084000,62175000,51155000,67603000,12130000,28244000,33276000,-95265000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069996/000114420405009759/0001144204-05-009759-index.html,https://www.sec.gov/Archives/edgar/data/1069996/000114420406012513/0001144204-06-012513-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420407013168/0001144204-07-013168-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420408015873/0001144204-08-015873-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420409014329/0001144204-09-014329-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114420410015932/0001144204-10-015932-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036111019672/0001140361-11-019672-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036112018226/0001140361-12-018226-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036113014741/0001140361-13-014741-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036114012986/0001140361-14-012986-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036115011840/0001140361-15-011840-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000114036116057540/0001140361-16-057540-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000156276217000034/0001562762-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999618000003/0001069996-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999619000018/0001069996-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999620000011/0001069996-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1069996/000106999621000048/0001069996-21-000048-index.htm,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,
