,https://roic.ai/company/MRCY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,12800000,36784000,54135000,37997000,40892000,54898000,131702000,113057000,72482000,60205000,44977000,18025000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6100000,16500000,42634000,67442000,55510000,68050000,203893000,174845000,136040000,123775000,119250000,91927000,74266000,162875000,115964000,39126000,47287000,77586000,81691000,41637000,66521000,257932000,226838000,113839000
34,Net Receivables,17100000,28900000,28130000,34928000,31797000,22975000,41609000,40033000,34518000,36203000,33109000,28595000,43664000,45845000,49450000,48241000,59661000,53786000,95894000,113673000,143814000,176219000,210727000,291728000
35,Inventory,9100000,12400000,15975000,12840000,14540000,10735000,10746000,16691000,19870000,22410000,24694000,16805000,17622000,18540000,25845000,37432000,31655000,31960000,58284000,81071000,108585000,137112000,178093000,221640000
36,Other Current Assets,13100000,4000000,3264000,8547000,12691000,8291000,9189000,10401000,10721000,11363000,8790000,8778000,10302000,12924000,16444000,21502000,21702000,24832000,9523000,9815000,12823000,10909000,19111000,15893000
37,Total Current Assets,45400000,61800000,90003000,123757000,114538000,110051000,265437000,241970000,201149000,193751000,185843000,146105000,145854000,240184000,207703000,146301000,160305000,188164000,245392000,246196000,331743000,582172000,634769000,643100000
38,PP&E,8500000,25300000,27574000,28793000,27961000,26349000,25866000,29484000,32091000,14764000,11183000,7960000,10298000,14520000,15929000,15019000,14144000,13226000,28337000,51643000,50980000,60001000,148350000,194897000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,91850000,94622000,80956000,57653000,57653000,79558000,132621000,176521000,168146000,168146000,344027000,380846000,497442000,562146000,614076000,804906000
40,Intangible Assets,- -,- -,- -,- -,7413000,6564000,34538000,42482000,22876000,14526000,7501000,2911000,1141000,16702000,25083000,34866000,25006000,17998000,116673000,129037000,177904000,206124000,208748000,307559000
41,Intangible Assets,- -,- -,- -,- -,7413000,6564000,34538000,42482000,114726000,109148000,88457000,60564000,58794000,96260000,157704000,211387000,193152000,186144000,460700000,509883000,675346000,768270000,822824000,1112465000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,2207000,435000,1321000,3612000,4481000,7535000,2085000,- -,- -,5419000,- -,- -,- -,- -,- -,- -,- -,- -,- -,13889000,- -
44,Other Non-Current Assets,19700000,10400000,26640000,28827000,16764000,46270000,40285000,58709000,30945000,40517000,53067000,4743000,3973000,4598000,4270000,1724000,6111000,2454000,2067000,8023000,6411000,6534000,-9112000,4675000
45,Total Non-Current Assets,28200000,35700000,54214000,59827000,52573000,80504000,104301000,135156000,185297000,166514000,152707000,73267000,78484000,115378000,177903000,228130000,213407000,201824000,491104000,569549000,732737000,834805000,975951000,1312037000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,73600000,97500000,144217000,183584000,167111000,190555000,369738000,377126000,386446000,360265000,338550000,219372000,224338000,355562000,385606000,374431000,373712000,389988000,736496000,815745000,1064480000,1416977000,1610720000,1955137000
48,Accounts Payable,3400000,5600000,9231000,6638000,4673000,5235000,10884000,8627000,14196000,14659000,15171000,3770000,10533000,7972000,9002000,4813000,7054000,6928000,26723000,27485000,21323000,39030000,41877000,47951000
49,Short-Term Debt,- -,400000,1157000,913000,759000,718000,948000,831000,10067000,140000,125301000,33408000,53000,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4117000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,2741000,5851000,8162000,12844000,13375000,16240000,7840000,8051000,6138000,4855000,5788000,5898000,7477000,7365000,6360000,12596000,11291000,18974000,38177000
52,Other Current Liabilities,9100000,13500000,11417000,14815000,13055000,16847000,33296000,25184000,20629000,24897000,23046000,20371000,15968000,22096000,23085000,20217000,19978000,18880000,23556000,39000000,37761000,47711000,65064000,64695000
53,Total Current Liabilities,12500000,19500000,21805000,22366000,18487000,25541000,50979000,42804000,57736000,53071000,179758000,65389000,34605000,36206000,36942000,30818000,32930000,33285000,67644000,72845000,71680000,98032000,125915000,150823000
54,Long-Term Debt,- -,600000,14052000,12985000,12318000,11599000,135827000,134997000,125627000,125083000,18000,2000,- -,- -,- -,- -,- -,- -,182275000,- -,195000000,- -,- -,271508000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7870000,6713000,5556000,4399000,3242000,2086000,929000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,8732000,392000,285000,- -,- -,3877000,7197000,7721000,5911000,3108000,11842000,4856000,13635000,17814000,- -,28810000
57,Other Non-Current Liabilities,100000,- -,- -,445000,581000,759000,2075000,1499000,2362000,13062000,11977000,1074000,3908000,8487000,3964000,4149000,5638000,2528000,1691000,12627000,12274000,16392000,100021000,19850000
58,Total Non-Current Liabilities,100000,600000,14052000,13430000,12899000,12358000,137902000,136496000,136721000,138537000,12280000,8946000,10621000,17920000,15560000,15112000,13635000,6565000,195808000,17483000,220909000,34206000,100021000,320168000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66981000,71508000
61,Total Liabilities,12600000,20100000,35857000,35796000,31386000,37899000,188881000,179300000,194457000,191608000,192038000,74335000,45226000,54126000,52502000,45930000,46565000,39850000,263452000,90328000,292589000,132238000,225936000,470991000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,214000,218000,222000,223000,223000,210000,210000,214000,220000,224000,229000,291000,297000,304000,312000,326000,387000,463000,469000,542000,547000,552000
64,Retained Earnings,35500000,48900000,73841000,104525000,120353000,140142000,157908000,188094000,113808000,75988000,40575000,39313000,67671000,86113000,108732000,95524000,84099000,94468000,114210000,139085000,179968000,226743000,312455000,374499000
65,Other Comprehensive Income/Loss,-12200000,-14700000,-19535000,-25611000,-26320000,-31567000,-37075000,-1000000,-53621000,3000000,5000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,-1000000,-3000000,-339000
66,Other Total Stockholders Equity,37700000,43100000,53840000,68656000,41470000,43858000,59801000,10522000,131592000,89455000,100717000,104500000,110212000,214032000,223075000,231673000,241736000,254344000,357447000,584869000,590454000,1058454000,1074782000,1109434000
67,Total Stockholders Equity,61000000,77400000,108360000,147788000,135725000,152656000,180857000,197826000,191989000,168657000,146512000,145037000,179112000,301436000,333104000,328501000,327147000,350138000,473044000,725417000,771891000,1284739000,1384784000,1484146000
68,Total Liabilities And Stockholders Equity,73600000,97500000,144217000,183584000,167111000,190555000,369738000,377126000,386446000,360265000,338550000,219372000,224338000,355562000,385606000,374431000,373712000,389988000,736496000,815745000,1064480000,1416977000,1610720000,1955137000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,73600000,97500000,144217000,183584000,167111000,190555000,369738000,377126000,386446000,360265000,338550000,219372000,224338000,355562000,385606000,374431000,373712000,389988000,736496000,815745000,1064480000,1416977000,1610720000,1955137000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1049521/000095013598005191/0000950135-98-005191-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000095013599004532/0000950135-99-004532-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000095013500004440/0000950135-00-004440-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000095013501502965/0000950135-01-502965-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000095013502004359/0000950135-02-004359-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312503048461/0001193125-03-048461-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312504154688/0001193125-04-154688-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312505184687/d10k.htm,https://www.sec.gov/Archives/edgar/data/1049521/000119312506190186/d10k.htm,https://www.sec.gov/Archives/edgar/data/1049521/000119312507197510/0001193125-07-197510-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312508195321/0001193125-08-195321-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312509187696/0001193125-09-187696-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312510192991/0001193125-10-192991-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312511226448/0001193125-11-226448-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312512365283/0001193125-12-365283-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952113000008/0001049521-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952114000020/0001049521-14-000020-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952115000038/0001049521-15-000038-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952116000094/mrcy201610-k.htm,https://www.sec.gov/Archives/edgar/data/1049521/000104952117000048/0001049521-17-000048-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952118000030/0001049521-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952119000033/0001049521-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952120000034/0001049521-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1049521/000104952121000032/0001049521-21-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8700000,13500000,24896000,30684000,15828000,22677000,22885000,30186000,-16168000,-37820000,-35413000,-1262000,28358000,18442000,22619000,-13208000,-11425000,10369000,19742000,24875000,40883000,46775000,85712000,62044000
74,Depreciation and Amortization,3300000,4500000,5099000,6128000,7086000,8212000,7406000,10573000,17560000,17962000,15988000,9364000,6857000,8348000,11658000,17209000,15608000,13840000,15742000,32269000,42277000,46392000,49330000,67083000
75,Deferred Income Tax,-1100000,-1200000,590000,-2717000,-1901000,-43000,-1423000,1036000,-5971000,1818000,3582000,-1373000,-9698000,1888000,- -,-10083000,-5499000,-1038000,-3061000,-7841000,-5464000,-1557000,-3019000,-1125000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4568000,4016000,5580000,6616000,7940000,9244000,8728000,9574000,15341000,17314000,19422000,26538000,28290000
77,Change in Working Capital,-3900000,9400000,25898000,33193000,-5340000,-11541000,129948000,-15292000,-55753000,-2733000,-134595000,74631000,30533000,92729000,-33217000,-55278000,11892000,27504000,22869000,-4397000,86712000,224077000,24714000,-16577000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1237000,-15256000,257000,6755000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-800000,-6000000,-4673000,3060000,-871000,3947000,343000,-3969000,-1636000,-2436000,-2494000,7478000,-859000,2514000,-7267000,453000,5818000,-345000,-865000,-9318000,-16230000,-17101000,-31609000,-27441000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13094000,1163000,-475000,18871000,3520000,-5267000,17949000,13610000,-6315000
81,Other Working Capital,32900000,42300000,68198000,101391000,96051000,84510000,214458000,199166000,143413000,140680000,6085000,80716000,111249000,203978000,170761000,115483000,127375000,154879000,177748000,173351000,260063000,484140000,508854000,492277000
82,Other Non-Cash Items,100000,-17100000,-25821000,-41210000,269000,31195000,-132874000,11483000,82385000,10460000,164164000,-74729000,-44358000,-95513000,24193000,51549000,-5579000,-27196000,-27926000,-1101000,-138401000,-237592000,-68091000,-42468000
83,Cash Provided by Operating Activities,7100000,9100000,30662000,26078000,15942000,50500000,25942000,37986000,22053000,-10313000,13726000,11199000,15708000,31474000,31869000,-1871000,14241000,32207000,36940000,59146000,43321000,97517000,115184000,97247000
84,CAPEX,-6300000,-19400000,-6637000,-7387000,-5786000,-6165000,-5599000,-11409000,-13402000,-8214000,-4625000,-4360000,-7584000,-11200000,-9477000,-3880000,-6701000,-5984000,-7885000,-32844000,-15106000,-26691000,-43294000,-45599000
85,Acquisitions Net,- -,- -,- -,- -,-7948000,- -,-17425000,-16184000,-67508000,-1513000,-2400000,- -,- -,-29508000,-71044000,-67721000,- -,- -,-309756000,-77757000,-185396000,-127083000,-96502000,-372826000
86,Purchases of Investments,-73600000,-114600000,-127019000,-113652000,-71074000,-66103000,-33459000,-237604000,-139928000,-125172000,-182528000,-138583000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,44600000,121800000,86230000,94544000,99124000,5800000,30002000,272298000,185448000,159186000,177983000,199099000,32025000,18025000,- -,- -,- -,- -,- -,- -,- -,- -,4310000,1538000
88,Other Investing Activites,-100000,-500000,1532000,4700000,5400000,33867000,- -,- -,- -,26365000,4322000,10556000,-1076000,-2375000,-331000,510000,-19000,386000,-567000,-486000,-375000,- -,- -,- -
89,Cash Used for Investing Activites,-35400000,-12700000,-45894000,-21795000,19716000,-32601000,-26481000,7101000,-35390000,50652000,-7248000,66946000,23615000,-22683000,-80802000,-71091000,-6720000,-5598000,-318208000,-111087000,-200877000,-153774000,-135486000,-416887000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125248000,- -,-298000,-185000,-7168000,-763000,-642000,- -,-200000000,-15000000,-324500000,-200000000,- -
91,Common Stock Issued,19100000,1700000,3741000,4320000,4429000,2855000,3742000,6145000,5918000,1824000,1590000,- -,- -,93605000,- -,- -,- -,- -,92778000,215725000,- -,454343000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-34993000,-10139000,- -,-24966000,-12284000,-507000,-1010000,-684000,-433000,- -,- -,- -,- -,-944000,-7955000,-8766000,-15508000,-7968000,-16249000,-66000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-300000,13672000,-1204000,-929000,-760000,118872000,-1447000,-286000,-13453000,123000,35035000,-30161000,4493000,2160000,3499000,1505000,5491000,200071000,4379000,213445000,125890000,205317000,206295000
95,Cash Used/Provided by Financing Activities,19100000,1400000,17413000,3116000,-31493000,-8044000,122614000,-20268000,-6652000,-12136000,703000,-90897000,-30594000,97800000,1975000,-3669000,742000,3905000,284894000,11338000,182937000,247765000,-10932000,206229000
96,Effect of Forex Changes on Cash,100000,-100000,-7000,58000,41000,-210000,-239000,-371000,-171000,107000,571000,657000,562000,43000,47000,-207000,-102000,-215000,479000,549000,-497000,-97000,140000,412000
97,Net Change In Cash,19100000,-2400000,2174000,7457000,4206000,9645000,121837000,24448000,-20160000,28310000,7752000,-12095000,9291000,106634000,-46911000,-76838000,8161000,30299000,4105000,-40054000,24884000,191411000,-31094000,-112999000
98,Cash at the End of Period,- -,3700000,5850000,13307000,17513000,27158000,148995000,43143000,22983000,51293000,59045000,46950000,56241000,162875000,115964000,39126000,47287000,77586000,81691000,41637000,66521000,257932000,226838000,113839000
99,Cash at the Beginning of Period,15200000,6100000,3676000,5850000,13307000,17513000,27158000,18695000,43143000,22983000,51293000,59045000,46950000,56241000,162875000,115964000,39126000,47287000,77586000,81691000,41637000,66521000,257932000,226838000
100,Free Cash Flow,800000,-10300000,24025000,18691000,10156000,44335000,20343000,26577000,8651000,-18527000,9101000,6839000,8124000,20274000,22392000,-5751000,7540000,26223000,29055000,26302000,28215000,70826000,71890000,51648000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1049521/000095013598005191/0000950135-98-005191-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000095013599004532/0000950135-99-004532-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000095013500004440/0000950135-00-004440-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000095013501502965/0000950135-01-502965-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000095013502004359/0000950135-02-004359-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312503048461/0001193125-03-048461-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312504154688/0001193125-04-154688-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312505184687/d10k.htm,https://www.sec.gov/Archives/edgar/data/1049521/000119312506190186/d10k.htm,https://www.sec.gov/Archives/edgar/data/1049521/000119312507197510/0001193125-07-197510-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312508195321/0001193125-08-195321-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312509187696/0001193125-09-187696-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312510192991/0001193125-10-192991-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312511226448/0001193125-11-226448-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000119312512365283/0001193125-12-365283-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952113000008/0001049521-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952114000020/0001049521-14-000020-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952115000038/0001049521-15-000038-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952116000094/mrcy201610-k.htm,https://www.sec.gov/Archives/edgar/data/1049521/000104952117000048/0001049521-17-000048-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952118000030/0001049521-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952119000033/0001049521-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1049521/000104952120000034/0001049521-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1049521/000104952121000032/0001049521-21-000032-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
