,https://roic.ai/company/SKYW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,16000000,22400000,30400000,20300000,24300000,28000000,32900000,31500000,38500000,45200000,54500000,62700000,64700000,76100000,83762000,106732000,184370000,209048000,139661000,205927000,335894000,357777000,1104811000,1061751000,1486778000,1995951000,229842000,239241000,263730000,259685000,255559000,299303000,272826000,243729000,-122694000,-166737000
11,COGS and Expenses,- -,43800000,51400000,71400000,78000000,93200000,109500000,121500000,127000000,163300000,205000000,239700000,267800000,263100000,324300000,388098000,544482000,654892000,779546000,1011268000,1743640000,2775496000,3029808000,3241018000,2401419000,2554504000,3608048000,3368385000,3144614000,3137822000,2861048000,2828241000,2816069000,2747399000,2437836000,2018304000,2353032000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20776000,11121000,14376000,8236000,7928000,3689000,4096000,1997000,2143000,4509000,8823000,14131000,5879000,1114000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106064000,86330000,86517000,80383000,77380000,68658000,65995000,75850000,78177000,104925000,120409000,127755000,123173000,123122000
14,Depreciation and Amortization,- -,3300000,3400000,5900000,6500000,5400000,6300000,7000000,7500000,9700000,13200000,16600000,20500000,24200000,24200000,28463000,45888000,57535000,74419000,76817000,115275000,216410000,208944000,220195000,221548000,236499000,254182000,251958000,245005000,259642000,264507000,284969000,292768000,334589000,368098000,474959000,440198000
15,EBITDA,- -,7200000,7300000,1600000,12200000,13200000,9700000,10100000,18000000,33500000,35400000,23400000,37100000,59800000,93300000,121301000,128701000,194451000,183906000,213404000,294901000,456437000,459265000,502442000,439611000,468917000,284395000,415234000,412195000,309294000,534679000,114334000,685876000,821312000,942158000,590805000,713930000
16,EBITDA ratio,- -,0.1463,0.1304,0.0232,0.1449,0.1324,0.0856,0.0806,0.1226,0.1782,0.1571,0.0930,0.1310,0.2013,0.2401,0.2555,0.2138,0.2511,0.2071,0.1846,0.1501,0.1465,0.1361,0.1437,0.1682,0.1696,0.0778,0.1175,0.1250,0.0955,0.1727,0.0366,0.2141,0.2549,0.3170,0.2778,0.2631
17,Operating Income,- -,5400000,4600000,-2500000,6200000,6500000,3800000,3800000,19800000,24700000,20400000,12000000,15500000,34000000,64300000,86680000,57383000,119555000,108480000,144776000,220408000,339160000,344524000,255231000,212195000,201826000,41105000,165987000,153111000,24848000,234515000,-172684000,388199000,474280000,512258000,108802000,275867000
18,Operating Income ratio,- -,0.1098,0.0821,-0.0363,0.0736,0.0652,0.0335,0.0303,0.1349,0.1314,0.0905,0.0477,0.0547,0.1144,0.1655,0.1826,0.0953,0.1544,0.1222,0.1252,0.1122,0.1089,0.1021,0.0730,0.0812,0.0730,0.0112,0.0470,0.0464,0.0077,0.0758,-0.0553,0.1212,0.1472,0.1724,0.0512,0.1017
19,Total Other Income Expenses (Gains),- -,-1500000,-700000,-1800000,-500000,1300000,-400000,-700000,-9300000,-900000,1800000,-5200000,1100000,1600000,5600000,6158000,25430000,8772000,1007000,-8189000,-40782000,-99133000,-94203000,-79048000,-80462000,-55925000,-91275000,-80091000,-54579000,-41191000,-40193000,-76128000,-100016000,-107966000,-65953000,-116129000,-125257000
20,Income Before Tax,- -,3900000,3900000,-4300000,5700000,7800000,3400000,3100000,10500000,23800000,22200000,6800000,16600000,35600000,69900000,92838000,82813000,128327000,109487000,136587000,179626000,240027000,250321000,176183000,131733000,145901000,-50170000,85896000,98532000,-16343000,194322000,-248812000,288183000,366314000,446305000,-7327000,150610000
21,Income Before Tax Ratio,- -,0.0793,0.0696,-0.0624,0.0677,0.0782,0.0300,0.0247,0.0715,0.1266,0.0985,0.0270,0.0586,0.1198,0.1799,0.1955,0.1376,0.1657,0.1233,0.1182,0.0915,0.0771,0.0742,0.0504,0.0504,0.0528,-0.0137,0.0243,0.0299,-0.0050,0.0628,-0.0797,0.0899,0.1137,0.1502,-0.0034,0.0555
22,Income Tax expense (Gain),- -,1500000,800000,-1500000,1900000,3100000,1400000,1100000,3800000,9400000,8500000,2400000,6500000,13700000,27300000,35734000,32297000,50050000,42700000,54635000,67359000,94221000,91129000,63254000,48075000,49551000,-22835000,34739000,39576000,7811000,76505000,-87226000,-140724000,85942000,106206000,1188000,38700000
23,Net Income,- -,2400000,3100000,-2800000,3800000,4700000,2000000,2000000,6700000,14400000,13700000,4400000,10100000,21900000,41800000,57104000,50516000,86866000,66787000,81952000,112267000,145806000,159192000,112929000,83658000,96350000,-27335000,51157000,58956000,-24154000,117817000,-161586000,428907000,280372000,340099000,-8515000,111910000
24,Net Income ratio,- -,0.0488,0.0554,-0.0406,0.0451,0.0471,0.0177,0.0160,0.0456,0.0766,0.0608,0.0175,0.0357,0.0737,0.1076,0.1203,0.0839,0.1122,0.0752,0.0709,0.0572,0.0468,0.0472,0.0323,0.0320,0.0348,-0.0075,0.0145,0.0179,-0.0075,0.0381,-0.0518,0.1339,0.0870,0.1144,-0.0040,0.0412
25,EPS,- -,0.15,0.14,-0.11,0.13,0.16,0.07,0.07,0.22,0.37,0.31,0.10,0.25,0.53,0.86,1.16,1.00,1.52,1.16,1.42,1.94,2.33,2.54,1.95,1.50,1.73,-0.52,1.00,1.14,-0.47,2.31,-3.14,8.28,5.40,6.68,-0.17,2.22
26,EPS Diluted,- -,0.15,0.14,-0.11,0.13,0.16,0.07,0.07,0.22,0.36,0.31,0.10,0.25,0.52,0.84,1.15,0.99,1.51,1.15,1.40,1.90,2.30,2.49,1.93,1.47,1.70,-0.52,0.99,1.12,-0.47,2.27,-3.14,8.08,5.30,6.62,-0.17,2.20
27,Weighted Average Shares Outstanding,- -,16000000,22142857,25454545,29230769,29375000,28571429,28571429,30454545,38918919,44446384,41135672,40341040,41598000,48398000,49126000,56365000,57229000,57745000,57858000,57851000,62474000,62710000,57790000,55854000,55610000,52201000,51090000,51688000,51237000,51077000,51505000,51804000,51914000,50932000,50195000,50348000
28,Weighted Average Shares Outstanding Diluted,- -,16000000,22142857,25454545,29230769,29375000,28571429,28571429,30454545,40000000,45333333,41135672,40341040,42336000,49574000,49922000,57237000,57551000,58127000,58350000,58933000,63382000,64044000,58633000,56814000,56526000,52201000,51746000,52422000,51237000,51825000,51505000,53100000,52871000,51375000,50195000,50753000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793733/000095014997001279/0000950149-97-001279-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/793733/000095014900001386/0000950149-00-001386-index.html,- -,https://www.sec.gov/Archives/edgar/data/793733/000091205703000160/0000912057-03-000160-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746904007527/0001047469-04-007527-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746905006092/0001047469-05-006092-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000110465906016557/0001104659-06-016557-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000110465907015112/0001104659-07-015112-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746908001764/0001047469-08-001764-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746909001647/0001047469-09-001647-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746910001111/0001047469-10-001111-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746911001402/0001047469-11-001402-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746912001456/0001047469-12-001456-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746913001174/0001047469-13-001174-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746914000913/0001047469-14-000913-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746915000907/0001047469-15-000907-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837016003629/0001558370-16-003629-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837017001066/0001558370-17-001066-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837018001097/0001558370-18-001097-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837019000847/0001558370-19-000847-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837020000911/0001558370-20-000911-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837021001367/0001558370-21-001367-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837022001335/0001558370-22-001335-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2700000,7600000,5900000,9300000,6900000,8500000,8700000,9800000,56400000,27400000,24500000,37800000,139800000,52200000,24544000,- -,130960000,112407000,113020000,140614000,415454000,122802000,125892000,76414000,112338000,129526000,133772000,170636000,132275000,203035000,146766000,181792000,328384000,87206000,215723000,258421000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21300000,19100000,18000000,14600000,109600000,146804000,- -,294464000,358827000,427517000,159054000,220076000,522925000,568567000,645301000,670739000,497552000,556117000,487239000,415273000,286668000,409898000,503503000,360945000,432966000,610185000,601989000
33,Cash and Short-Term Investments,- -,2700000,7600000,5900000,9300000,6900000,8500000,8700000,9800000,56400000,48700000,43600000,55800000,154400000,161800000,171348000,- -,425424000,471234000,540537000,299668000,635530000,645727000,694459000,721715000,783077000,627078000,689889000,657875000,547548000,489703000,556664000,685295000,689329000,520172000,825908000,860410000
34,Net Receivables,- -,4000000,5000000,3200000,4300000,5700000,5800000,5900000,8300000,9800000,7000000,12900000,10900000,10700000,13300000,9512000,- -,26341000,75100000,36963000,40801000,31250000,104330000,70326000,124510000,113563000,132078000,130102000,112026000,85878000,65033000,53905000,48047000,90130000,94118000,38378000,65348000
35,Inventory,- -,1200000,2100000,3100000,4700000,4900000,7400000,6300000,6100000,5900000,7200000,8900000,10000000,11200000,13900000,16195000,- -,27033000,26080000,33922000,68611000,85160000,105738000,104383000,89876000,106572000,115211000,113581000,138094000,137452000,140312000,118509000,119755000,127690000,110503000,91196000,104093000
36,Other Current Assets,- -,600000,2900000,1800000,1600000,7800000,2300000,3400000,4000000,15000000,8700000,11100000,13600000,16500000,27700000,36771000,- -,34435000,97954000,100915000,284552000,343514000,354344000,351500000,317998000,366353000,406097000,500468000,556442000,520125000,322522000,317999000,142036000,113645000,35553000,27320000,38742000
37,Total Current Assets,- -,8500000,17600000,14000000,19900000,25300000,24000000,24300000,28200000,87100000,71600000,76500000,90300000,192800000,216700000,233826000,- -,513233000,670368000,712337000,693632000,1095454000,1210139000,1220668000,1254099000,1369565000,1280464000,1434040000,1464437000,1291003000,1017570000,1047077000,995133000,1020794000,760346000,982802000,1068593000
38,PP&E,- -,9600000,29000000,43900000,41500000,41200000,46900000,46000000,56500000,90000000,110200000,145100000,137700000,133500000,198900000,233954000,- -,455998000,843918000,932547000,2552522000,2558453000,2700589000,2709375000,2879706000,2942819000,2883475000,2710996000,2651793000,3021188000,3470747000,3821697000,4183003000,5005744000,5730690000,5644410000,5737115000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,500000,400000,400000,300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33043000,30748000,28498000,26247000,23997000,21747000,19497000,17248000,14998000,12748000,10499000,8249000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,500000,400000,400000,300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33043000,30748000,28498000,26247000,23997000,21747000,19497000,17248000,14998000,12748000,10499000,8249000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1700000,2000000,1300000,2600000,2400000,2400000,2100000,2200000,6900000,6400000,6000000,4900000,4100000,2100000,2403000,- -,30153000,14924000,17403000,41449000,46764000,51299000,58001000,153000000,112379000,98472000,92353000,101991000,84989000,304070000,260228000,280143000,286674000,166093000,260410000,320239000
45,Total Non-Current Assets,- -,11800000,31400000,45600000,44400000,43900000,49300000,48100000,58700000,96900000,116600000,151100000,142600000,137600000,201000000,236357000,- -,486151000,858842000,949950000,2627014000,2635965000,2780386000,2793623000,3056703000,3076945000,3001444000,2820597000,2768782000,3118925000,3785316000,4090174000,4463146000,5292418000,5896783000,5904820000,6057354000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,20300000,49000000,59600000,64300000,69200000,73300000,72400000,86900000,184000000,188200000,227600000,232900000,330400000,417700000,470183000,- -,999384000,1529210000,1662287000,3320646000,3731419000,3990525000,4014291000,4310802000,4446510000,4281908000,4254637000,4233219000,4409928000,4802886000,5137251000,5458279000,6313212000,6657129000,6887622000,7125947000
48,Accounts Payable,- -,- -,- -,- -,- -,4200000,5100000,5000000,5800000,10000000,13800000,23700000,29200000,31200000,45600000,42385000,- -,39591000,46458000,57130000,95283000,156831000,133728000,110902000,165825000,206490000,220784000,222671000,245518000,270097000,279864000,241215000,288904000,331982000,284473000,278677000,496333000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,6200000,6400000,8200000,8500000,12437000,- -,12532000,30877000,32585000,391145000,108505000,118202000,129783000,148571000,159039000,208398000,171454000,177389000,211821000,272027000,305460000,309678000,350206000,364126000,402158000,470684000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,625931000,28869000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,5500000,8700000,8400000,8900000,6500000,6900000,8000000,10100000,10500000,8100000,13700000,9400000,10200000,20300000,24825000,- -,69265000,74624000,86116000,129489000,143095000,146289000,145919000,135439000,197111000,194966000,197300000,197557000,202437000,199495000,200590000,222243000,242638000,276077000,260887000,227604000
53,Total Current Liabilities,- -,5500000,8700000,8400000,8900000,10700000,12000000,13000000,15900000,20500000,25600000,43600000,45000000,49600000,74400000,79647000,- -,121388000,151959000,175831000,615917000,408431000,398219000,386604000,449835000,562640000,624148000,591425000,620464000,684355000,751386000,747265000,820825000,924826000,924676000,941722000,1194621000
54,Long-Term Debt,- -,7000000,13400000,21500000,16000000,13800000,16500000,13800000,18400000,26600000,29600000,53700000,47300000,49600000,61800000,48321000,- -,125379000,462773000,463233000,1452758000,1675626000,1732748000,1681705000,1816318000,1738936000,1606993000,1470568000,1293179000,1533990000,1676776000,2240051000,2377346000,2809768000,2628989000,2801538000,2875694000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121823000,117350000,107839000,98438000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,2300000,1200000,2900000,5300000,5700000,5500000,5900000,11000000,13000000,14400000,16000000,20000000,25200000,29995000,- -,63379000,154906000,189215000,225068000,327384000,445993000,507113000,536540000,569847000,567874000,657620000,727358000,669385000,749575000,694689000,419020000,518159000,623580000,625931000,663236000
57,Other Non-Current Liabilities,- -,900000,3400000,3600000,8100000,6900000,5600000,4800000,3900000,3100000,2300000,100000,- -,100000,- -,- -,- -,50552000,50509000,54953000,113705000,141685000,167558000,41525000,38540000,46325000,50194000,147849000,157279000,121852000,118714000,104303000,86766000,96178000,304870000,378886000,124882000
58,Total Non-Current Liabilities,- -,7900000,19100000,26300000,27000000,26000000,27800000,24100000,28200000,40700000,44900000,68200000,63300000,69700000,87000000,78316000,- -,239310000,668188000,707401000,1791531000,2144695000,2346299000,2352166000,2508748000,2462947000,2323499000,2276037000,2177816000,2325227000,2545065000,3039043000,2883132000,3424105000,3557439000,3806355000,3663812000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354043000,288486000,237160000
61,Total Liabilities,- -,13400000,27800000,34700000,35900000,36700000,39800000,37100000,44100000,61200000,70500000,111800000,108300000,119300000,161400000,157963000,- -,360698000,820147000,883232000,2407448000,2553126000,2744518000,2738770000,2958583000,3025587000,2947647000,2867462000,2798280000,3009582000,3296451000,3786308000,3703957000,4348931000,4482115000,4748077000,4858433000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87700000,88200000,89100000,155900000,162100000,165765000,- -,320085000,327028000,335241000,364535000,491405000,- -,- -,- -,- -,- -,609763000,618511000,626521000,641643000,657353000,672593000,690910000,686806000,704675000,722310000
64,Retained Earnings,- -,5800000,8800000,6400000,9800000,13800000,14900000,16400000,22700000,35500000,46100000,47900000,55700000,75500000,114400000,168331000,- -,340308000,402469000,477424000,582620000,720784000,871874000,977736000,1052375000,1139739000,1104144000,1147117000,1197819000,1165478000,1275142000,1103751000,1516957000,1776585000,2079179000,2052006000,2163916000
65,Other Comprehensive Income/Loss,- -,-6500000,-8400000,-12100000,-14900000,-17200000,-22400000,-29500000,-37000000,-46300000,-56700000,-71700000,-80300000,-98100000,-111800000,-107359000,- -,-203592000,-264514000,-329430000,-1000000,-1000000,-1000000,-3000000,1000000,1000000,1000000,2000000,2000000,-1902375000,-2085981000,-1318308000,-1467475000,-1761728000,-1998376000,- -,- -
66,Other Total Stockholders Equity,- -,7600000,20800000,30600000,33500000,35900000,41000000,48400000,57100000,133600000,40600000,51400000,60100000,77800000,91600000,85483000,- -,181885000,244080000,295820000,-32957000,-32896000,375133000,300785000,298844000,280184000,229117000,-371705000,-383391000,1510722000,1675631000,908147000,1032247000,1258514000,1407405000,-617136000,-618712000
67,Total Stockholders Equity,- -,6900000,21200000,24900000,28400000,32500000,33500000,35300000,42800000,122800000,117700000,115800000,124600000,211100000,256300000,312220000,- -,638686000,709063000,779055000,913198000,1178293000,1246007000,1275521000,1352219000,1420923000,1334261000,1387175000,1434939000,1400346000,1506435000,1350943000,1754322000,1964281000,2175014000,2139545000,2267514000
68,Total Liabilities And Stockholders Equity,- -,20300000,49000000,59600000,64300000,69200000,73300000,72400000,86900000,184000000,188200000,227600000,232900000,330400000,417700000,470183000,- -,999384000,1529210000,1662287000,3320646000,3731419000,3990525000,4014291000,4310802000,4446510000,4281908000,4254637000,4233219000,4409928000,4802886000,5137251000,5458279000,6313212000,6657129000,6887622000,7125947000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,20300000,49000000,59600000,64300000,69200000,73300000,72400000,86900000,184000000,188200000,227600000,232900000,330400000,417700000,470183000,- -,999384000,1529210000,1662287000,3320646000,3731419000,3990525000,4014291000,4310802000,4446510000,4281908000,4254637000,4233219000,4409928000,4802886000,5137251000,5458279000,6313212000,6657129000,6887622000,7125947000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793733/000095014997001279/0000950149-97-001279-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/793733/000095014900001386/0000950149-00-001386-index.html,undefined,https://www.sec.gov/Archives/edgar/data/793733/000091205703000160/0000912057-03-000160-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746904007527/0001047469-04-007527-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746905006092/0001047469-05-006092-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000110465906016557/0001104659-06-016557-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000110465907015112/0001104659-07-015112-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746908001764/0001047469-08-001764-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746909001647/0001047469-09-001647-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746910001111/0001047469-10-001111-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746911001402/0001047469-11-001402-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746912001456/0001047469-12-001456-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746913001174/0001047469-13-001174-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746914000913/0001047469-14-000913-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746915000907/0001047469-15-000907-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837016003629/0001558370-16-003629-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837017001066/0001558370-17-001066-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837018001097/0001558370-18-001097-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837019000847/0001558370-19-000847-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837020000911/0001558370-20-000911-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837021001367/0001558370-21-001367-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837022001335/0001558370-22-001335-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,4700000,2000000,2000000,6700000,14400000,13700000,4400000,10100000,21900000,41800000,57104000,50516000,86866000,66787000,81952000,112267000,145806000,159192000,112929000,83658000,96350000,-27335000,51157000,58956000,-24154000,117817000,-161586000,428907000,280372000,340099000,-8515000,111910000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,5400000,6300000,7000000,7500000,9700000,13200000,16600000,20500000,24200000,24200000,28463000,45888000,57535000,74419000,76817000,115275000,216410000,208944000,220195000,221548000,236499000,254182000,251958000,245005000,259642000,264507000,284969000,292768000,334589000,368098000,474959000,440198000
75,Deferred Income Tax,- -,- -,- -,- -,- -,2400000,500000,-200000,400000,5000000,2100000,1300000,1600000,4000000,5200000,4747000,6948000,22206000,91085000,29598000,17958000,90071000,106112000,55541000,59350000,58525000,- -,34800000,38007000,5054000,73844000,-83441000,-145517000,99139000,109654000,6100000,37305000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11489000,7944000,6428000,5365000,4693000,4363000,5318000,5368000,7568000,10580000,13105000,10274000,6802000,8685000
77,Change in Working Capital,- -,- -,- -,- -,- -,300000,5400000,3600000,-2600000,-700000,1000000,54300000,-20600000,-13100000,12400000,97900000,11879000,237666000,126564000,18097000,-458791000,609308000,124897000,22144000,-29800000,2661000,-150609000,186299000,1358000,-237325000,-340464000,33628000,-125504000,-78340000,-260298000,205410000,157965000
