,https://roic.ai/company/UNM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25962000000,-7333900000,-8361100000,5343400000,6421100000,7182100000,7974500000,9174300000,9417300000,9973800000,9804300000,9957700000,8047400000,10406000000,- -,979500000,-5818700000,-5694500000,1293300000,1389100000,1950500000,2111700000,1209700000,12006900000,1300000000,2797000000
82,Other Non-Cash Items,- -,- -,- -,- -,406500000,372200000,462200000,289200000,256200000,546100000,475000000,26401900000,-18187300000,1536300000,-12608600000,-1025300000,-142600000,82800000,-230000000,676500000,345700000,1109900000,851400000,2614400000,-2048700000,10641300000,-102300000,7199100000,-35600000,-6265500000,229700000,-478400000,-109400000,1813700000,-10266000000,10397800000,-1053200000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,553900000,557400000,667200000,538000000,556100000,700800000,756100000,660600000,827000000,916300000,1566700000,1211500000,1770600000,1786700000,1345200000,747000000,1503600000,1431900000,1750300000,1326100000,1237000000,1196800000,1193700000,1379600000,1031500000,1223600000,1292100000,1116100000,1149400000,1536500000,1741600000,597500000,1387000000
84,CAPEX,- -,- -,- -,- -,-6600000,-137100000,-43600000,-20100000,-18200000,-29900000,-27100000,- -,- -,- -,- -,- -,-19200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105500000,-114500000,-100200000,-85000000,-105300000,-144100000,-150900000,-119100000,-110000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-860300000,58000000,- -,-172400000,-402100000,-2800000,-262500000,-13600000,5300000,- -,98800000,48800000,- -,- -,- -,- -,- -,- -,-54300000,-129200000,- -,-145400000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1198900000,-1236800000,-1854900000,-2061500000,-1832200000,-2388900000,-3262400000,-5437400000,-4083300000,-3693500000,-6468800000,-3557500000,-5342200000,-6250500000,-7121200000,-4380500000,-4894500000,-4836600000,-5530200000,-4374900000,-4116500000,-4419500000,-3318800000,-3946700000,-3917300000,-3207400000,-4714800000,-3948200000,-3649000000,-4753000000,-4590900000,-3743300000,-4712000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,955800000,839300000,1195600000,1621400000,1778400000,1979400000,2663800000,3559100000,1368200000,1264900000,3965400000,2115500000,3069800000,4703100000,7002200000,3519100000,3185700000,3677800000,3663600000,3992500000,3009200000,3455900000,3006500000,2938600000,3982700000,2435200000,4156300000,3452400000,3269700000,4112400000,3348000000,3594700000,845000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2888100000,3413800000,2543800000,948800000,748700000,957100000,-40200000,-1726400000,-44700000,70200000,-63200000,-87200000,-91100000,-106600000,-110100000,-98000000,-105300000,200000,100000,- -,- -,- -,- -,300000,- -,2637000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-249700000,-534600000,-702900000,-460200000,-72000000,-439400000,-625700000,1009800000,-161600000,173200000,-1554600000,-865700000,-1736600000,-1590400000,-2107900000,-919700000,-1633300000,-1222000000,-1855000000,-424700000,-1213900000,-1073700000,-410300000,-1113400000,-39900000,-886600000,-713000000,-710000000,-484600000,-930100000,-1393500000,-267700000,-1340000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-92700000,-50100000,-1200000,-1300000,-2025200000,-2081900000,-1758500000,-613000000,- -,-222000000,-419700000,-274500000,-11300000,-7400000,-739200000,-775200000,-240800000,-251800000,-78300000,-84400000,-70000000,-116200000,-186600000,-226300000,-414000000,-63500000,-260000000,-493100000,-480000000,-500000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,389800000,11900000,69700000,11600000,20500000,22900000,551900000,5700000,18100000,580000000,307800000,4400000,8000000,10000000,14800000,4900000,11400000,12300000,6400000,8500000,10800000,4600000,6100000,4400000,3000000
92,Common Stock Repurchased,- -,- -,- -,- -,-287000000,-104400000,-300000,- -,-192500000,-183300000,- -,- -,- -,-156200000,- -,- -,- -,-45000000,- -,- -,- -,- -,- -,-700000000,- -,-356000000,-619900000,-496700000,-317200000,-306000000,-417900000,-405200000,-401800000,-356200000,-400300000,- -,-50000000
93,Dividends Paid,- -,- -,- -,- -,-22700000,-25900000,-32800000,-41900000,-61400000,-68300000,-75100000,-45500000,-60000000,-58100000,-138900000,-142100000,-142600000,-142800000,-98100000,-88400000,-88700000,-95600000,-105200000,-103500000,-104500000,-114800000,-121000000,-133800000,-146500000,-159400000,-174200000,-182600000,-196000000,-215600000,-229200000,-231900000,-239000000
94,Other Financing Activites,- -,- -,- -,- -,2400000,116900000,91600000,41100000,-182100000,6600000,-48300000,389000000,1105800000,864600000,849100000,-399500000,327600000,406200000,555500000,275900000,149000000,97800000,753800000,-9600000,346800000,398000000,90100000,390100000,-406300000,311100000,243300000,574700000,-37300000,237400000,758500000,490600000,618000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-307300000,-13400000,58500000,-93500000,-486100000,-246200000,-124700000,-1675900000,-646300000,-1096300000,166900000,-530000000,-16500000,-178400000,734800000,181900000,71000000,-157000000,181200000,-1049500000,-1500000,-141100000,-720400000,-305500000,-974800000,-328600000,-568700000,-418600000,-687800000,-589800000,-358000000,-216900000,-168000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,300000,400000,100000,2400000,100000,700000,- -,-700000,-200000,2200000,-1100000,-700000,2900000,4900000,2300000,-2600000,1300000,1300000,-1100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-307300000,-13400000,58500000,-93500000,-486100000,-246200000,-124700000,-5500000,18400000,-7000000,181200000,-185300000,16800000,20800000,-23000000,11500000,-61300000,54200000,77800000,-149200000,21700000,-18000000,63000000,-39300000,16800000,8400000,10400000,-12500000,-23000000,16600000,-9900000,112900000,-122000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19300000,37700000,30700000,292400000,107100000,123900000,144700000,119200000,130700000,69400000,121300000,199100000,49900000,71600000,53600000,116600000,77300000,94100000,102500000,112900000,100400000,77400000,94000000,84100000,197000000,75000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3100000,- -,9700000,32900000,20400000,20800000,36100000,24800000,19300000,37700000,111200000,292400000,107100000,123900000,142200000,119200000,130700000,67100000,121300000,199100000,49900000,71600000,53600000,116600000,77300000,94100000,102500000,112900000,100400000,77400000,94000000,84100000,197000000
100,Free Cash Flow,- -,- -,- -,- -,547300000,420300000,623600000,517900000,537900000,670900000,729000000,660600000,827000000,916300000,1566700000,1211500000,1751400000,1786700000,1345200000,747000000,1503600000,1431900000,1750300000,1326100000,1237000000,1196800000,1193700000,1379600000,926000000,1109100000,1191900000,1031100000,1044100000,1392400000,1590700000,478400000,1277000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5513/000093176397000370/0000931763-97-000370-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5513/000093176301000575/0000931763-01-000575-index.html,https://www.sec.gov/Archives/edgar/data/5513/000093176302000948/0000931763-02-000948-index.html,https://www.sec.gov/Archives/edgar/data/5513/000093176303000772/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312504039447/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312505049609/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312506044828/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312507043039/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312508037458/d10k.htm,https://www.sec.gov/Archives/edgar/data/5513/000119312509036287/0001193125-09-036287-index.html,https://www.sec.gov/Archives/edgar/data/5513/000119312510042716/0001193125-10-042716-index.html,- -,https://www.sec.gov/Archives/edgar/data/5513/000000551312000006/0000005513-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551313000007/0000005513-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551314000008/unm12312013-10xk.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551315000010/unm12312014-10xk.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551316000045/0000005513-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551317000018/0000005513-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551318000016/0000005513-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551319000004/0000005513-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551320000027/0000005513-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551321000015/0000005513-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551322000030/0000005513-22-000030-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
