,https://roic.ai/company/MDC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0651,0.0529,0.0203,-0.1031,-0.1237,0.0131,0.0044,0.0076,0.0397,0.0234,0.0200,0.0221,0.0227,0.0287,0.0570,0.0704,0.0732,0.0722,0.0727,0.0976,0.1035,0.0446,-0.2171,-0.2610,0.0275,-0.0676,-0.1166,0.0521,0.1871,0.0373,0.0345,0.0444,0.0550,0.0688,0.0724,0.0942,0.1092
25,EPS,0.36,0.38,0.17,-1.04,-1.18,-0.13,0.02,0.04,0.26,0.37,0.34,0.42,0.50,0.78,1.60,2.07,2.83,3.00,3.86,5.34,8.68,3.61,-10.54,-6.23,0.39,-1.06,-1.60,0.98,4.83,0.98,1.02,1.60,2.18,3.21,3.56,5.76,8.13
26,EPS Diluted,0.36,0.38,0.17,-1.04,-1.18,-0.13,0.02,0.04,0.24,0.35,0.31,0.38,0.43,0.65,1.57,2.03,2.75,2.90,3.70,5.11,8.31,3.52,-10.54,-6.23,0.39,-1.06,-1.60,0.97,4.79,0.98,1.01,1.59,2.13,3.14,3.44,5.58,7.83
27,Weighted Average Shares Outstanding,37131862,49904680,46755562,40338922,40031569,50796512,50315324,51197077,45977104,51372717,50662774,48210699,44492308,46450946,56007490,59446436,54971620,55691509,54918470,73182212,58259538,59457902,60430085,61054398,61554378,61674743,61386895,63040599,64088824,64303659,64500549,64606776,64926382,65416812,66546347,63455421,70174281
28,Weighted Average Shares Outstanding Diluted,37131862,49904680,46755562,40338922,40031569,50796512,50315324,51197077,45977104,60473588,60214283,57711858,55131389,56911283,57037160,60778209,56658989,57745064,57316838,76514617,60891706,60805731,60430085,61054398,62059648,61674743,61386895,63575247,64589684,64570877,64768823,64808588,66369864,66777221,68798879,65441279,72854601
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773141/0000912057-94-001562-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773141/000077314104000004/form10_k03.htm,https://www.sec.gov/Archives/edgar/data/773141/000103570405000091/d21846e10vk.htm,https://www.sec.gov/Archives/edgar/data/773141/000103570406000152/d33548e10vk.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312507042675/d10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312508022491/d10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312509023530/0001193125-09-023530-index.html,https://www.sec.gov/Archives/edgar/data/773141/000119312510022961/0001193125-10-022961-index.html,https://www.sec.gov/Archives/edgar/data/773141/000119312511031993/d10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312512035434/0001193125-12-035434-index.html,https://www.sec.gov/Archives/edgar/data/773141/000119312513031624/0001193125-13-031624-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774914001560/mdc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000143774915001397/mdc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000143774916024659/0001437749-16-024659-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774917001467/0001437749-17-001467-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774918001473/0001437749-18-001473-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774919001602/0001437749-19-001602-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774920001403/0001437749-20-001403-index.html,https://www.sec.gov/Archives/edgar/data/773141/000077314121000024/0000773141-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/773141/000077314122000012/0000773141-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,76100000,225600000,36400000,- -,- -,- -,- -,- -,- -,43600000,20800000,11300000,11700000,10100000,38500000,14115000,36600000,28942000,173565000,408150000,214531000,507947000,1004763000,1304728000,1234252000,572225000,343361000,160095000,199338000,153825000,180988000,282909000,505428000,463776000,459933000,488629000,590660000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54864000,327944000,968729000,519943000,671891000,680645000,244532000,219364000,234980000,229752000,190090000,253768000,232556000,282529000
33,Cash and Short-Term Investments,76100000,225600000,36400000,- -,- -,- -,- -,- -,- -,43600000,20800000,11300000,11700000,10100000,38500000,14115000,36600000,28942000,173565000,408150000,214531000,507947000,1004763000,1359592000,1562196000,1540954000,863304000,831986000,879983000,398357000,400352000,517889000,735180000,653866000,713701000,721185000,873189000
34,Net Receivables,34400000,81700000,50300000,- -,- -,- -,- -,- -,- -,- -,26200000,10200000,7600000,12800000,3500000,4713000,2621000,3519000,8394000,31018000,134270000,143936000,87431000,262241000,161044000,20010000,22669000,28163000,23407000,28555000,23314000,42492000,53362000,52982000,65829000,72466000,98580000
35,Inventory,307700000,519200000,615800000,- -,- -,- -,- -,- -,- -,- -,495400000,434800000,442900000,511300000,645700000,939374000,1052225000,1443256000,1636353000,2140506000,2923099000,2753829000,1456557000,637322000,523184000,787659000,806052000,1002521000,1411661000,1667960000,1763962000,1758814000,1829736000,2132994000,2366575000,2832230000,3760851000
36,Other Current Assets,13600000,21900000,41500000,- -,- -,- -,- -,- -,- -,- -,48600000,62900000,57200000,59000000,58200000,51631000,49544000,65936000,88419000,115544000,146271000,240873000,115900000,148813000,64436000,65534000,79002000,-653201000,-653183000,-223717000,-197117000,-217784000,-192609000,-152598000,-204834000,42272000,38857000
37,Total Current Assets,431800000,848400000,744000000,- -,- -,- -,- -,- -,- -,- -,591000000,519200000,519400000,593200000,745900000,1009833000,1140990000,1541653000,1906731000,2695218000,3418171000,3646585000,2664651000,2407968000,2310860000,2414157000,1771027000,1209469000,1661868000,1871155000,1990511000,2101411000,2425669000,2687244000,2941271000,3668153000,4771477000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9600000,9400000,9700000,2900000,2900000,3069000,2723000,10851000,10152000,28932000,30660000,44606000,44368000,38343000,38421000,40826000,36288000,33125000,31248000,30491000,28226000,28041000,26439000,58167000,90691000,91106000,86075000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6008000,6008000,6008000,6008000,6008000,6008000,6008000,6008000,6008000,6008000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4126000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4126000,- -,- -,- -,- -,- -,6008000,6008000,6008000,6008000,6008000,6008000,6008000,6008000,6008000,6008000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,557756000,600796000,174343000,129605000,126368000,91638000,40879000,56747000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25980000,32096000,40963000,54319000,124880000,160565000,- -,- -,- -,- -,- -,176262000,140486000,99107000,74888000,41480000,37178000,21768000,11454000,17942000
44,Other Non-Current Assets,175800000,397200000,550500000,1993400000,1663700000,1477100000,1316500000,858900000,776900000,725400000,34200000,88700000,92700000,117900000,128200000,48696000,47243000,16696000,20821000,24931000,281745000,89678000,86653000,28627000,80027000,92786000,51410000,139083000,119267000,135955000,162442000,191873000,189058000,171601000,221871000,88199000,82026000
45,Total Non-Current Assets,175800000,397200000,550500000,1993400000,1663700000,1477100000,1316500000,858900000,776900000,725400000,43800000,98100000,102400000,120800000,131100000,51765000,49966000,53527000,63069000,94826000,366724000,263290000,291586000,66970000,118448000,133612000,87698000,735972000,933581000,487283000,425388000,427178000,354623000,313833000,397085000,196767000,192051000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,607600000,1245600000,1294500000,1993400000,1663700000,1477100000,1316500000,858900000,776900000,725400000,634800000,617300000,621800000,714000000,877000000,1061598000,1190956000,1595180000,1969800000,2790044000,3784895000,3909875000,2956237000,2474938000,2429308000,2547769000,1858725000,1945441000,2595449000,2358438000,2415899000,2528589000,2780292000,3001077000,3338356000,3864920000,4963528000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112500000,138600000,131800000,176000000,205100000,230907000,253027000,295978000,349450000,438456000,352329000,171005000,71932000,28793000,36087000,35018000,26006000,73055000,21048000,42243000,46775000,42088000,48476000,62204000,103674000,132917000,174491000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,89100000,79600000,24400000,60000000,51100000,90200000,164459000,99642000,154074000,79240000,135478000,156532000,- -,- -,- -,29115000,25434000,48702000,76327000,63074000,60822000,88611000,114485000,112340000,116815000,149616000,202390000,266300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1444000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,162000000,295600000,347500000,- -,-134800000,-83300000,- -,- -,-57800000,- -,11900000,11400000,11800000,14600000,18300000,9558000,9953000,21571000,27490000,50979000,327628000,449839000,339610000,332825000,292969000,260819000,171273000,160907000,191699000,148859000,147980000,168117000,174448000,208628000,228328000,138331000,164413000
53,Total Current Liabilities,162000000,295600000,347500000,- -,- -,- -,- -,- -,- -,89100000,204000000,174400000,203600000,241700000,313600000,404924000,362622000,471623000,456180000,624913000,836489000,620844000,412986000,361618000,358171000,321271000,245981000,310289000,275821000,251924000,283366000,324690000,335264000,387647000,481618000,473638000,605204000
54,Long-Term Debt,271700000,676600000,696600000,513200000,1269500000,1123600000,1038800000,325800000,287900000,259200000,225700000,229000000,188600000,174300000,174400000,174444000,174503000,322990000,497700000,746310000,996297000,1127149000,1067238000,1032400000,997991000,1242815000,744108000,744842000,1095620000,861450000,855524000,856646000,1001597000,1002967000,1004422000,1077612000,1508221000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9413000,10759000,16728000,20717000,27183000,36144000,34463000,39001000,67022000,89353000
56,Deferred Tax Liabilities,40300000,54600000,24500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-100000,- -,1300700000,241000000,194700000,115700000,367400000,313100000,273900000,100000,100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30830000,126736000,163604000
58,Total Non-Current Liabilities,312000000,731100000,721100000,1813900000,1510500000,1318300000,1154500000,693200000,601000000,533100000,225800000,229100000,188600000,174200000,174400000,174444000,174503000,322990000,497700000,746310000,996297000,1127149000,1067238000,1032400000,997991000,1242815000,744108000,754255000,1106379000,878178000,876241000,883829000,1037741000,1037430000,1074253000,1271370000,1761178000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30830000,30221000,26440000
61,Total Liabilities,474000000,1026700000,1068600000,1813900000,1510500000,1318300000,1154500000,693200000,601000000,533100000,429800000,403500000,392200000,415900000,488000000,579368000,537125000,794613000,953880000,1371223000,1832786000,1747993000,1480224000,1394018000,1356162000,1564086000,990089000,1064544000,1382200000,1130102000,1159607000,1208519000,1373005000,1425077000,1555871000,1745008000,2366382000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,308000,314000,318000,326000,433000,447000,452000,461000,467000,471000,472000,480000,487000,488000,488000,489000,515000,561000,566000,626000,649000,707000
64,Retained Earnings,56800000,84100000,103100000,68700000,24000000,30700000,28900000,32200000,57900000,71500000,87500000,106200000,126500000,160300000,245200000,282893000,342485000,501498000,582927000,760780000,1232971000,1402261000,719841000,292905000,270659000,158749000,12927000,-21289000,293096000,307419000,324342000,313952000,258164000,406992000,433126000,711666000,887163000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-1000000,-1000000,-1000000,-5200000,5000000,-7000000,5000000,12000000,10000000,16000000,22000000,4000000,-62131000,-63835000,- -,- -
66,Other Total Stockholders Equity,76800000,134800000,122800000,110800000,126500000,126600000,131600000,132000000,118000000,120800000,117500000,107600000,103100000,137800000,143500000,199029000,311032000,298751000,432667000,657608000,719691000,760169000,756711000,788548000,807216000,819462000,862229000,896699000,907665000,910429000,915461000,983603000,1144562000,1230573000,1412568000,1407597000,1709276000
67,Total Stockholders Equity,133600000,218900000,225900000,179500000,150500000,157300000,160500000,164200000,175900000,192300000,205000000,213800000,229600000,298100000,389000000,482230000,653831000,800567000,1015920000,1418821000,1952109000,2161882000,1476013000,1080920000,1073146000,983683000,868636000,880897000,1213249000,1228336000,1256292000,1320070000,1407287000,1576000000,1782485000,2119912000,2597146000
68,Total Liabilities And Stockholders Equity,607600000,1245600000,1294500000,1993400000,1661000000,1475600000,1315000000,857400000,776900000,725400000,634800000,617300000,621800000,714000000,877000000,1061598000,1190956000,1595180000,1969800000,2790044000,3784895000,3909875000,2956237000,2474938000,2429308000,2547769000,1858725000,1945441000,2595449000,2358438000,2415899000,2528589000,2780292000,3001077000,3338356000,3864920000,4963528000
69,Minority Interest,- -,- -,- -,- -,2700000,1500000,1500000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,607600000,1245600000,1294500000,1993400000,1663700000,1477100000,1316500000,858900000,776900000,725400000,634800000,617300000,621800000,714000000,877000000,1061598000,1190956000,1595180000,1969800000,2790044000,3784895000,3909875000,2956237000,2474938000,2429308000,2547769000,1858725000,1945441000,2595449000,2358438000,2415899000,2528589000,2780292000,3001077000,3338356000,3864920000,4963528000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773141/0000912057-94-001562-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773141/000077314104000004/form10_k03.htm,https://www.sec.gov/Archives/edgar/data/773141/000103570405000091/d21846e10vk.htm,https://www.sec.gov/Archives/edgar/data/773141/000103570406000152/d33548e10vk.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312507042675/d10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312508022491/d10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312509023530/0001193125-09-023530-index.html,https://www.sec.gov/Archives/edgar/data/773141/000119312510022961/0001193125-10-022961-index.html,https://www.sec.gov/Archives/edgar/data/773141/000119312511031993/d10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312512035434/0001193125-12-035434-index.html,https://www.sec.gov/Archives/edgar/data/773141/000119312513031624/0001193125-13-031624-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774914001560/mdc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000143774915001397/mdc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000143774916024659/0001437749-16-024659-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774917001467/0001437749-17-001467-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774918001473/0001437749-18-001473-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774919001602/0001437749-19-001602-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774920001403/0001437749-20-001403-index.html,https://www.sec.gov/Archives/edgar/data/773141/000077314121000024/0000773141-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/773141/000077314122000012/0000773141-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-90100000,6800000,1900000,3900000,25900000,19300000,17300000,20400000,22000000,36300000,89400000,123303000,155715000,167305000,212229000,391165000,505723000,214253000,-636940000,-380545000,24679000,-64770000,-98390000,62699000,314385000,63143000,65791000,103211000,141835000,210780000,238312000,367582000,573657000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,12100000,15100000,20200000,17800000,21792000,27445000,26907000,35677000,41906000,54792000,59415000,47342000,9208000,5402000,5759000,6371000,4766000,3864000,3928000,4069000,5132000,5321000,21326000,23054000,27166000,31666000
75,Deferred Income Tax,- -,- -,- -,- -,3500000,10900000,200000,- -,-4200000,-3800000,-1800000,2900000,-1500000,-5700000,-3300000,-10620000,1740000,4101000,-6116000,-8867000,-13356000,-70561000,-35685000,160565000,- -,- -,- -,- -,-187171000,34226000,33333000,16145000,44787000,3729000,13670000,10688000,-6488000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15099000,17510000,15432000,16225000,9652000,5978000,10066000,7477000,5857000,14017000,26016000,30062000,39655000
77,Change in Working Capital,- -,- -,- -,- -,116600000,- -,- -,- -,- -,- -,387000000,-42200000,-29000000,35700000,80800000,172609000,173459000,291662000,380521000,619754000,511377000,444059000,-774076000,-205315000,-93661000,140197000,-567840000,-625866000,486867000,233184000,87914000,69576000,313684000,209192000,160056000,734862000,-869637000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,-1300000,-13600000,-76500000,-135700000,-190714000,-119892000,-391031000,-190618000,-506632000,-961518000,134811000,533093000,538702000,115662000,-283880000,-6063000,-196840000,-409281000,-257399000,-104939000,-3903000,-79717000,-316332000,-233061000,-464914000,-929290000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7294000,-1979000,- -,47473000,-58142000,- -,- -,- -,- -,- -,- -,- -,- -
