,https://roic.ai/company/WM,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,700000,200000,- -,200000,5200000,14200000,19700000,32800000,84600000,294800000,679900000,2511100000,1323400000,1787000000,1283000000,1644000000,1540000000,1699000000,1710000000,2029000000,2254000000,2234000000,1887000000,2116000000,2028000000,1851000000,1079000000,2299000000,2045000000,2296000000,2636000000,2789000000,2706000000,2434000000,2965000000
18,Operating Income ratio,0.4118,0.1053,- -,0.0541,0.2842,0.2720,0.2522,0.1862,0.1851,0.2245,0.2601,0.1977,0.1008,0.1431,0.1133,0.1475,0.1331,0.1357,0.1308,0.1518,0.1693,0.1669,0.1600,0.1691,0.1516,0.1356,0.0772,0.1643,0.1578,0.1687,0.1820,0.1870,0.1751,0.1599,0.1654
19,Total Other Income Expenses (Gains),- -,100000,200000,100000,-800000,-2800000,-4700000,-11200000,-65700000,-216800000,-216700000,-3211000000,-1486200000,-1466000000,-496000000,-397000000,-417000000,-521000000,-618000000,-555000000,-551000000,-478000000,-414000000,-485000000,-508000000,-548000000,-585000000,-548000000,-985000000,-474000000,-445000000,-413000000,-601000000,-541000000,-616000000
20,Income Before Tax,- -,300000,- -,- -,4400000,11400000,15000000,21600000,18900000,78000000,463200000,-699900000,-162800000,321000000,787000000,1247000000,1123000000,1178000000,1092000000,1474000000,1703000000,1756000000,1473000000,1631000000,1520000000,1303000000,494000000,1751000000,1060000000,1822000000,2191000000,2376000000,2105000000,1893000000,2349000000
21,Income Before Tax Ratio,- -,0.1579,- -,- -,0.2404,0.2184,0.1921,0.1226,0.0413,0.0594,0.1772,-0.0551,-0.0124,0.0257,0.0695,0.1119,0.0970,0.0941,0.0835,0.1103,0.1279,0.1312,0.1249,0.1303,0.1136,0.0955,0.0353,0.1251,0.0818,0.1339,0.1513,0.1593,0.1362,0.1244,0.1310
22,Income Tax expense (Gain),- -,100000,- -,- -,1400000,4100000,5400000,7800000,-11400000,45100000,189900000,66900000,232300000,418000000,284000000,424000000,404000000,247000000,-90000000,325000000,540000000,669000000,413000000,629000000,511000000,443000000,364000000,413000000,308000000,642000000,242000000,453000000,434000000,397000000,532000000
23,Net Income,400000,200000,100000,200000,3000000,7300000,9600000,13800000,30300000,32900000,267000000,-770700000,-397600000,-97000000,503000000,822000000,630000000,939000000,1182000000,1149000000,1163000000,1087000000,994000000,953000000,961000000,817000000,98000000,1298000000,753000000,1182000000,1949000000,1925000000,1670000000,1496000000,1816000000
24,Net Income ratio,0.2353,0.1053,0.0385,0.0541,0.1639,0.1398,0.1229,0.0783,0.0663,0.0250,0.1022,-0.0607,-0.0303,-0.0078,0.0444,0.0738,0.0544,0.0750,0.0904,0.0860,0.0874,0.0812,0.0843,0.0761,0.0718,0.0599,0.0070,0.0927,0.0581,0.0869,0.1346,0.1291,0.1081,0.0983,0.1013
25,EPS,0.24,0.09,0.03,0.08,0.32,0.65,0.32,0.08,0.55,0.24,1.28,-1.32,-0.65,-0.16,0.80,1.34,1.07,1.63,2.11,2.13,2.25,2.21,2.02,1.98,2.05,1.76,0.21,2.80,1.66,2.66,4.44,4.49,3.93,3.54,4.29
26,EPS Diluted,0.24,0.09,0.03,0.08,0.32,0.65,0.32,0.08,0.55,0.24,1.23,-1.32,-0.65,-0.16,0.80,1.33,1.06,1.61,2.09,2.10,2.23,2.19,2.01,1.98,2.04,1.76,0.21,2.79,1.65,2.65,4.41,4.45,3.91,3.52,4.27
27,Weighted Average Shares Outstanding,1666667,2222222,3333333,3333333,9375000,11230769,11864407,21388889,55270000,139740000,208246000,584301000,612932000,606250000,628750000,613432836,588785047,576073620,560189573,539436620,516888889,492100000,491200000,480200000,469700000,463600000,467700000,462600000,452700000,443500000,438800000,429100000,424600000,423000000,423000000
28,Weighted Average Shares Outstanding Diluted,1666667,2222222,3333333,3333333,9375000,11230769,11864407,21388889,55270000,139740000,233371000,584301000,612932000,606250000,628750000,618045113,594339623,583229814,565550239,547142857,521524664,495400000,493600000,482200000,471400000,464400000,469800000,465600000,455900000,446500000,441900000,432200000,427500000,425100000,425100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/823768/000095013496000861/0000950134-96-000861-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/823768/000095012904000722/h12380e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012905001427/h22314e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012906001649/h32785e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095013407003484/h43426e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095013408002947/h53869e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012909000426/0000950129-09-000426-index.html,https://www.sec.gov/Archives/edgar/data/823768/000095012310013022/0000950123-10-013022-index.html,https://www.sec.gov/Archives/edgar/data/823768/000095012311015242/h76657e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000119312512065370/0001193125-12-065370-index.html,https://www.sec.gov/Archives/edgar/data/823768/000119312513058892/0001193125-13-058892-index.html,https://www.sec.gov/Archives/edgar/data/823768/000119312514056656/d581129d10k.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012315002550/d793975d10k.htm,https://www.sec.gov/Archives/edgar/data/823768/000119312516467957/0001193125-16-467957-index.html,https://www.sec.gov/Archives/edgar/data/823768/000119312517046480/0001193125-17-046480-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837018000716/0001558370-18-000716-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837019000662/0001558370-19-000662-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837020000762/0001558370-20-000762-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837021001348/0001558370-21-001348-index.htm,https://www.sec.gov/Archives/edgar/data/823768/000155837022001179/0001558370-22-001179-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,13200000,23500000,51200000,86900000,181400000,94000000,730000000,264000000,135000000,443000000,666000000,614000000,348000000,480000000,1140000000,539000000,258000000,194000000,58000000,1307000000,39000000,32000000,22000000,61000000,3561000000,553000000,118000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177000000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,13200000,23500000,51200000,86900000,181400000,94000000,730000000,264000000,135000000,443000000,666000000,614000000,348000000,480000000,1140000000,539000000,258000000,194000000,235000000,1307000000,39000000,32000000,22000000,61000000,3561000000,553000000,118000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,72100000,235600000,498700000,2385900000,1916300000,1575000000,1669000000,1644000000,1811000000,1949000000,2004000000,1858000000,1892000000,1610000000,1527000000,1656000000,1775000000,1839000000,1810000000,1937000000,2094000000,2132000000,2374000000,2275000000,2319000000,2624000000,2546000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128300000,107200000,75000000,83000000,80000000,82000000,90000000,99000000,101000000,103000000,110000000,110000000,130000000,153000000,174000000,178000000,106000000,92000000,90000000,96000000,102000000,106000000,124000000,135000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,34800000,80900000,105500000,1280300000,4015600000,713000000,642000000,712000000,560000000,337000000,682000000,609000000,137000000,135000000,233000000,157000000,193000000,216000000,276000000,291000000,120000000,122000000,132000000,207000000,223000000,239000000,270000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,120100000,340000000,655400000,3881400000,6220500000,2457000000,3124000000,2700000000,2588000000,2819000000,3451000000,3182000000,2480000000,2335000000,3010000000,2482000000,2379000000,2423000000,2499000000,3641000000,2345000000,2376000000,2624000000,2645000000,6209000000,3540000000,3069000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,593300000,1810300000,3955000000,11637700000,10303800000,10126000000,10357000000,10612000000,11411000000,11476000000,11221000000,11179000000,11351000000,11402000000,11541000000,11868000000,12242000000,12651000000,12344000000,10657000000,10665000000,10950000000,11559000000,11942000000,12893000000,14148000000,14419000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5079000000,5266000000,- -,- -,5292000000,5406000000,5462000000,5632000000,5726000000,6215000000,6291000000,6070000000,5740000000,5984000000,6215000000,6247000000,6430000000,6532000000,8994000000,9028000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,118800000,517400000,1646000000,6250300000,5356700000,5193000000,5121000000,105000000,156000000,5453000000,5514000000,121000000,124000000,158000000,238000000,295000000,457000000,397000000,529000000,440000000,477000000,591000000,547000000,572000000,521000000,1024000000,898000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,118800000,517400000,1646000000,6250300000,5356700000,5193000000,5121000000,5184000000,5422000000,5453000000,5514000000,5413000000,5530000000,5620000000,5870000000,6021000000,6672000000,6688000000,6599000000,6180000000,6461000000,6806000000,6794000000,7002000000,7053000000,10018000000,9926000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,637000000,667000000,414000000,408000000,360000000,320000000,269000000,406000000,483000000,426000000,432000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,75800000,162800000,366400000,945800000,800400000,789000000,888000000,1135000000,1235000000,1157000000,949000000,826000000,814000000,870000000,733000000,1105000000,639000000,668000000,747000000,526000000,588000000,407000000,583000000,655000000,1105000000,1213000000,1251000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,787900000,2490500000,5967400000,18833800000,16460900000,16108000000,16366000000,16931000000,18068000000,18086000000,17684000000,17418000000,17695000000,17892000000,18144000000,18994000000,20190000000,20674000000,20104000000,17771000000,18074000000,18483000000,19205000000,20005000000,21534000000,25805000000,26028000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,908000000,2830500000,6622800000,22715200000,22681400000,18565000000,19490000000,19631000000,20656000000,20905000000,21135000000,20600000000,20175000000,20227000000,21154000000,21476000000,22569000000,23097000000,22603000000,21412000000,20419000000,20859000000,21829000000,22650000000,27743000000,29345000000,29097000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,32400000,94900000,237200000,1040600000,1062500000,865000000,809000000,526000000,639000000,772000000,719000000,693000000,656000000,716000000,567000000,692000000,838000000,842000000,744000000,740000000,721000000,799000000,1040000000,1037000000,1065000000,1121000000,1375000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,38900000,28700000,39300000,583700000,3098700000,113000000,515000000,231000000,514000000,384000000,522000000,822000000,329000000,835000000,749000000,233000000,631000000,743000000,726000000,1090000000,253000000,417000000,739000000,432000000,218000000,551000000,708000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,374000000,414000000,429000000,463000000,483000000,455000000,462000000,451000000,457000000,460000000,470000000,465000000,475000000,475000000,472000000,493000000,503000000,522000000,534000000,539000000,571000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,33900000,196400000,292200000,2669400000,3328300000,1959000000,2023000000,2002000000,1750000000,1586000000,1533000000,1298000000,1151000000,1034000000,1128000000,1100000000,1129000000,986000000,1069000000,1180000000,1064000000,1085000000,980000000,1117000000,1327000000,1342000000,1428000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,105200000,320000000,568700000,4293700000,7489500000,2937000000,3721000000,3173000000,3332000000,3205000000,3257000000,3268000000,2598000000,3036000000,2901000000,2485000000,3068000000,3036000000,3014000000,3485000000,2510000000,2794000000,3262000000,3108000000,3144000000,3553000000,4082000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,334900000,1158300000,2724400000,11114200000,8399300000,8372000000,7709000000,8062000000,7997000000,8182000000,8165000000,7495000000,8008000000,7491000000,8124000000,8674000000,9125000000,9173000000,9500000000,8345000000,8728000000,8893000000,8752000000,9594000000,13280000000,13259000000,12697000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,320400000,470100000,729900000,879000000,1127000000,1548000000,1663000000,1380000000,1364000000,1365000000,1411000000,1484000000,1509000000,1662000000,1884000000,1947000000,1842000000,1453000000,1391000000,1482000000,1248000000,1291000000,1407000000,1806000000,1694000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,65100000,188100000,380300000,2352600000,1652400000,1561000000,1528000000,1521000000,1851000000,1885000000,1947000000,1975000000,2056000000,2031000000,2029000000,2064000000,2102000000,2266000000,2245000000,2240000000,2423000000,2370000000,2525000000,2381000000,2842000000,3273000000,3498000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,400000000,1355200000,3425100000,13936900000,10781600000,10812000000,10364000000,11131000000,11511000000,11447000000,11476000000,10835000000,11475000000,11006000000,11662000000,12400000000,13111000000,13386000000,13587000000,12038000000,12542000000,12745000000,12525000000,13266000000,17529000000,18338000000,17889000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,505200000,1675200000,3993800000,18230600000,18271100000,13749000000,14085000000,14304000000,14843000000,14652000000,14733000000,14103000000,14073000000,14042000000,14563000000,14885000000,16179000000,16422000000,16601000000,15523000000,15052000000,15539000000,15787000000,16374000000,20673000000,21891000000,21971000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-324000000,-85600000,253500000,1066500000,662700000,560000000,1057000000,1873000000,2497000000,3004000000,3615000000,4410000000,5080000000,5631000000,6053000000,6400000000,6721000000,6879000000,6289000000,6888000000,6939000000,7388000000,8588000000,9797000000,10592000000,11159000000,12004000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-235000000,-572900000,-889000000,-6598100000,-6165500000,-6859000000,-7578000000,-179000000,-53000000,65000000,124000000,129000000,229000000,88000000,208000000,230000000,172000000,193000000,154000000,23000000,-127000000,-80000000,8000000,-87000000,-8000000,39000000,17000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,961800000,1813800000,3264500000,10016200000,9906800000,11109000000,11920000000,3608000000,3113000000,2896000000,2376000000,1677000000,477000000,177000000,18000000,-376000000,-829000000,-724000000,-742000000,-1051000000,-1473000000,-2017000000,-2583000000,-3441000000,-3522000000,-3752000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,402800000,1155300000,2629000000,4484600000,4410300000,4816000000,5405000000,5308000000,5563000000,5971000000,6121000000,6222000000,5792000000,5902000000,6285000000,6260000000,6070000000,6354000000,5707000000,5866000000,5345000000,5297000000,6019000000,6275000000,7068000000,7452000000,7124000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,908000000,2830500000,6622800000,22715200000,22681400000,18565000000,19490000000,19612000000,20406000000,20623000000,20854000000,20325000000,19865000000,19944000000,20848000000,21145000000,22249000000,22776000000,22308000000,21389000000,20397000000,20836000000,21806000000,22649000000,27741000000,29343000000,29095000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,250000000,282000000,281000000,275000000,310000000,283000000,306000000,331000000,320000000,321000000,295000000,23000000,22000000,23000000,23000000,1000000,2000000,2000000,2000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,908000000,2830500000,6622800000,22715200000,22681400000,18565000000,19490000000,19631000000,20656000000,20905000000,21135000000,20600000000,20175000000,20227000000,21154000000,21476000000,22569000000,23097000000,22603000000,21412000000,20419000000,20859000000,21829000000,22650000000,27743000000,29345000000,29097000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/823768/000095013496000861/0000950134-96-000861-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/823768/000095012904000722/h12380e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012905001427/h22314e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012906001649/h32785e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095013407003484/h43426e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095013408002947/h53869e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012909000426/0000950129-09-000426-index.html,https://www.sec.gov/Archives/edgar/data/823768/000095012310013022/0000950123-10-013022-index.html,https://www.sec.gov/Archives/edgar/data/823768/000095012311015242/h76657e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000119312512065370/0001193125-12-065370-index.html,https://www.sec.gov/Archives/edgar/data/823768/000119312513058892/0001193125-13-058892-index.html,https://www.sec.gov/Archives/edgar/data/823768/000119312514056656/d581129d10k.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012315002550/d793975d10k.htm,https://www.sec.gov/Archives/edgar/data/823768/000119312516467957/0001193125-16-467957-index.html,https://www.sec.gov/Archives/edgar/data/823768/000119312517046480/0001193125-17-046480-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837018000716/0001558370-18-000716-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837019000662/0001558370-19-000662-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837020000762/0001558370-20-000762-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837021001348/0001558370-21-001348-index.htm,https://www.sec.gov/Archives/edgar/data/823768/000155837022001179/0001558370-22-001179-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,100000,200000,3000000,7300000,9600000,13800000,30300000,32900000,267000000,-770700000,-397600000,-97000000,503000000,822000000,630000000,939000000,1182000000,1149000000,1163000000,1087000000,994000000,953000000,961000000,817000000,98000000,1298000000,753000000,1182000000,1949000000,1925000000,1670000000,1496000000,1816000000
74,Depreciation and Amortization,- -,- -,400000,700000,1600000,4800000,8200000,18800000,56400000,153200000,303200000,1498700000,1614200000,1429000000,1371000000,1222000000,1265000000,1336000000,1361000000,1334000000,1259000000,1238000000,1166000000,1194000000,1229000000,1297000000,1333000000,1292000000,1245000000,1301000000,1376000000,1477000000,1574000000,1671000000,1999000000
75,Deferred Income Tax,- -,- -,- -,- -,200000,900000,1000000,200000,-15600000,2900000,72800000,-450200000,317800000,65000000,131000000,319000000,363000000,156000000,-61000000,-23000000,70000000,150000000,-94000000,154000000,198000000,67000000,-149000000,-118000000,30000000,73000000,-251000000,25000000,100000000,165000000,-77000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,30000000,36000000,45000000,29000000,58000000,65000000,72000000,90000000,101000000,89000000,86000000,94000000,108000000
77,Change in Working Capital,- -,- -,-100000,- -,- -,- -,- -,- -,14900000,5100000,66700000,-499000000,-856700000,789000000,-117000000,124000000,-271000000,358000000,580000000,-280000000,-32000000,-583000000,810000000,-112000000,-686000000,76000000,98000000,671000000,-321000000,-253000000,-220000000,175000000,3528000000,-3078000000,126000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131000000,44000000,-268000000,-178000000,-78000000,-271000000,-16000000,-53000000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
