,https://roic.ai/company/NTUS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,153000,128000,268000,489000,1675000,438000,352000,430000,5081000,6794000,4941000,3656000,1872000
14,Depreciation and Amortization,1450000,1944000,1642000,1596000,1849000,1988000,3921000,4947000,6764000,7884000,9156000,10021000,12615000,12848000,11759000,15987000,16879000,30098000,33863000,30722000,28115000,28091000
15,EBITDA,1731000,-1871000,-5848000,-1144000,-261000,8649000,7044000,20961000,34389000,24604000,26997000,-496000,17523000,46086000,58206000,68748000,72212000,40329000,8397000,14406000,9706000,49318000
16,EBITDA ratio,0.0703,-0.0683,-0.2165,-0.0362,-0.0071,0.2009,0.0783,0.1771,0.2125,0.1478,0.1235,-0.0021,0.0600,0.1339,0.1636,0.1829,0.1891,0.0805,0.0158,0.0291,0.0233,0.1042
17,Operating Income,249000,-4757000,-8786000,-3336000,-1358000,5433000,2898000,15913000,25483000,14817000,17831000,-10555000,5254000,34279000,45851000,53473000,55260000,8717000,-24562000,-15666000,-20193000,23779000
18,Operating Income ratio,0.0101,-0.1736,-0.3253,-0.1056,-0.0372,0.1262,0.0322,0.1344,0.1575,0.0890,0.0815,-0.0454,0.0180,0.0996,0.1289,0.1423,0.1447,0.0174,-0.0463,-0.0316,-0.0486,0.0502
19,Total Other Income Expenses (Gains),32000,942000,1296000,596000,310000,1228000,225000,101000,2142000,1750000,-118000,-230000,-835000,-2716000,158000,-1064000,-357000,-3567000,-7698000,-5591000,-1872000,-4424000
20,Income Before Tax,281000,-3815000,-7490000,-2740000,-1048000,6661000,3123000,16014000,27625000,16567000,17713000,-10785000,4419000,31563000,46009000,52409000,54903000,5150000,-32260000,-21257000,-22065000,19355000
21,Income Before Tax Ratio,0.0114,-0.1392,-0.2773,-0.0867,-0.0287,0.1547,0.0347,0.1353,0.1707,0.0995,0.0810,-0.0464,0.0151,0.0917,0.1293,0.1394,0.1438,0.0103,-0.0608,-0.0429,-0.0531,0.0409
22,Income Tax expense (Gain),46000,68000,-38000,4000,297000,509000,4050000,6234000,10152000,5488000,5794000,912000,536000,8685000,13531000,14485000,12309000,25443000,-9325000,-5586000,-5452000,6178000
23,Net Income,235000,-3883000,-7452000,-2744000,-2407000,6152000,-927000,9780000,17473000,11079000,11919000,-11697000,3883000,22878000,32478000,37924000,42594000,-20293000,-22935000,-15671000,-16613000,13177000
24,Net Income ratio,0.0095,-0.1417,-0.2759,-0.0868,-0.0659,0.1429,-0.0103,0.0826,0.1080,0.0665,0.0545,-0.0503,0.0133,0.0665,0.0913,0.1009,0.1115,-0.0405,-0.0432,-0.0316,-0.0400,0.0278
25,EPS,-1.62,-0.62,-0.46,-0.17,-0.14,0.35,-0.05,0.45,0.69,0.40,0.43,-0.41,0.12,0.76,1.01,1.17,1.31,-0.62,-0.69,-0.42,-0.49,0.39
26,EPS Diluted,-1.62,-0.62,-0.46,-0.17,-0.14,0.33,-0.05,0.43,0.66,0.39,0.41,-0.41,0.12,0.74,0.97,1.14,1.29,-0.62,-0.69,-0.42,-0.49,0.39
27,Weighted Average Shares Outstanding,710000,7540000,16056000,16411000,16837000,17429000,19548000,21600000,25278000,27651000,28092000,28565000,29031000,29993000,31499000,32348000,32460000,32564000,33111000,33696000,33562000,33670000
28,Weighted Average Shares Outstanding Diluted,710000,7540000,16056000,16411000,16837000,18693000,19548000,22815000,26557000,28476000,29217000,28565000,29837000,30821000,32568000,33241000,33056000,32564000,33111000,33696000,33562000,33974000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/878526/000101287003001415/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312504058595/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312505065176/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312506056436/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312507057281/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312508056931/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312509049857/0001193125-09-049857-index.html,https://www.sec.gov/Archives/edgar/data/878526/000119312510056803/0001193125-10-056803-index.html,https://www.sec.gov/Archives/edgar/data/878526/000119312511066027/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312512114768/0001193125-12-114768-index.html,https://www.sec.gov/Archives/edgar/data/878526/000119312513149244/d444059d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312514102436/d642299d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312515093490/d875279d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000087852616000126/0000878526-16-000126-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852617000019/0000878526-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852618000028/0000878526-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852619000045/0000878526-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852620000022/0000878526-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852621000020/0000878526-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/878526/000087852622000026/0000878526-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,681000,30351000,17768000,9435000,16239000,40046000,15392000,11916000,56915000,32586000,28383000,32816000,23057000,56106000,66558000,82469000,213551000,88950000,56373000,63297000,82082000,75595000
32,Short-Term Investments,302000,22735000,27150000,28200000,19504000,12163000,- -,- -,- -,965000,1005000,- -,- -,- -,- -,- -,34019000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,983000,53086000,44918000,37635000,35743000,52209000,15392000,11916000,56915000,33551000,29388000,32816000,23057000,56106000,66558000,82469000,247570000,88950000,56373000,63297000,82082000,75595000
34,Net Receivables,4400000,5209000,5395000,5682000,6640000,8460000,20347000,27018000,36242000,43750000,54782000,55260000,89960000,82110000,82277000,99080000,86638000,126809000,127041000,115889000,93133000,111760000
35,Inventory,2194000,3598000,4560000,5263000,4347000,3482000,11743000,19264000,25009000,22408000,37627000,33389000,40756000,37685000,40051000,48572000,49587000,71529000,79736000,71368000,75650000,67745000
36,Other Current Assets,263000,655000,663000,528000,625000,1041000,4114000,7376000,7482000,8461000,7146000,9768000,15098000,20860000,28919000,11235000,22004000,18340000,22625000,19195000,20837000,22191000
37,Total Current Assets,7840000,62548000,55536000,49108000,47355000,65192000,51596000,65574000,125648000,108170000,128943000,131233000,168871000,196761000,217805000,241356000,405799000,305628000,285775000,269749000,271702000,277291000
38,PP&E,1308000,1757000,2247000,2668000,2503000,2116000,7897000,14504000,14002000,14066000,23408000,25350000,26512000,23295000,17923000,16967000,17333000,22071000,22913000,39748000,36185000,31071000
39,Goodwill,- -,- -,- -,- -,6848000,- -,25790000,54961000,60858000,92258000,96819000,80375000,92048000,97238000,96316000,107466000,113112000,172998000,147644000,146367000,151299000,- -
40,Intangible Assets,- -,- -,- -,4792000,2519000,10010000,37297000,54177000,57729000,70144000,69428000,70411000,96594000,98820000,92761000,86536000,77165000,172582000,139453000,114799000,92741000,- -
41,Intangible Assets,- -,- -,- -,4792000,9367000,10010000,63087000,109138000,118587000,162402000,166247000,150786000,188642000,196058000,189077000,194002000,190277000,345580000,287097000,261166000,244040000,214170000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12782000,14915000,10709000,22639000,30355000,27563000,23161000
44,Other Non-Current Assets,1570000,630000,1557000,452000,32000,78000,1583000,355000,385000,6853000,12449000,6946000,7828000,10324000,10016000,14389000,20688000,25931000,19716000,21509000,20904000,18595000
45,Total Non-Current Assets,2878000,2387000,3804000,7912000,11902000,12204000,72567000,123997000,132974000,183321000,202104000,183082000,222982000,229677000,217016000,238140000,243213000,404291000,352365000,352778000,328692000,286997000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10718000,64935000,59340000,57020000,59257000,77396000,124163000,189571000,258622000,291491000,331047000,314315000,391853000,426438000,434821000,479496000,649012000,709919000,638140000,622527000,600394000,564288000
48,Accounts Payable,750000,892000,1788000,1659000,1947000,1817000,8236000,9763000,7375000,11074000,21684000,16365000,32537000,29777000,21371000,23660000,18700000,25242000,28805000,27253000,23429000,36405000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,18554000,206000,178000,156000,188000,19826000,10517000,- -,- -,- -,- -,35000000,35000000,50000000,4964000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,331000,312000,405000,500000,279000,439000,2087000,4732000,3836000,4705000,4744000,7604000,13305000,12946000,11745000,11311000,23346000,15157000,17073000,20246000,21308000,25097000
52,Other Current Liabilities,2694000,2702000,2460000,2229000,4303000,5441000,10470000,13362000,11895000,17245000,18437000,16560000,32938000,26831000,36024000,42137000,37895000,51738000,52568000,60322000,51015000,48135000
53,Total Current Liabilities,3775000,3906000,4653000,4388000,6529000,7697000,20793000,46411000,23312000,33202000,45021000,40717000,98606000,80071000,69140000,77108000,79941000,92137000,133446000,142821000,145752000,114601000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,18262000,1082000,931000,737000,710000,13034000,27500000,- -,- -,140000000,154283000,69474000,19665000,5840000,6567000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1173000,1120000,1537000,1401000,1885000,4039000,4338000,4563000,4416000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,734000,2344000,6544000,3148000,7016000,13958000,7502000,8423000,9704000,8107000,3897000,3684000,19407000,16931000,14251000,10298000,1133000
57,Other Non-Current Liabilities,25226000,- -,- -,- -,-1000,- -,- -,2636000,4586000,7186000,8076000,7658000,1865000,1725000,3322000,6380000,6128000,17956000,15507000,25104000,22994000,17237000
58,Total Non-Current Liabilities,25226000,- -,- -,- -,-1000,734000,2344000,27442000,8816000,15133000,22771000,15870000,24495000,40049000,12966000,11678000,151697000,195685000,106250000,63583000,43548000,24937000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18521000,16184000,11531000
61,Total Liabilities,29001000,3906000,4653000,4388000,6528000,8431000,23137000,73853000,32128000,48335000,67792000,56587000,123101000,120120000,82106000,88786000,231638000,287822000,239696000,206404000,189300000,139538000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2902000,86007000,86593000,87038000,89373000,99634000,133071000,137837000,245476000,250374000,258872000,267499000,275395000,292055000,315296000,323745000,312986000,316577000,334215000,344476000,342828000,- -
64,Retained Earnings,-19653000,-24299000,-31751000,-34495000,-36902000,-30750000,-31677000,-22815000,-5342000,5737000,18057000,7170000,11638000,34516000,68890000,106814000,149408000,129115000,102261000,87922000,71309000,- -
65,Other Comprehensive Income/Loss,-1810000,-2610000,-3433000,-4579000,-5486000,-6804000,-6284000,1000000,-14000000,-13000000,-14000000,-17000000,-18000000,-20000000,-31000000,-40000000,-45000000,-24000000,-38000000,-16000000,-3043000,-13473000
66,Other Total Stockholders Equity,278000,1931000,3278000,4668000,5744000,6885000,5916000,-304000,360000,45000,326000,59000,-281000,-253000,-471000,151000,-20000,405000,-32000,-275000,- -,- -
67,Total Stockholders Equity,-18283000,61029000,54687000,52632000,52729000,68965000,101026000,115718000,226494000,243156000,263255000,257728000,268752000,306318000,352715000,390710000,417374000,422097000,398444000,416123000,411094000,424750000
68,Total Liabilities And Stockholders Equity,10718000,64935000,59340000,57020000,59257000,77396000,124163000,189571000,258622000,291491000,331047000,314315000,391853000,426438000,434821000,479496000,649012000,709919000,638140000,622527000,600394000,564288000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10718000,64935000,59340000,57020000,59257000,77396000,124163000,189571000,258622000,291491000,331047000,314315000,391853000,426438000,434821000,479496000,649012000,709919000,638140000,622527000,600394000,564288000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/878526/000101287003001415/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312504058595/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312505065176/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312506056436/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312507057281/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312508056931/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312509049857/0001193125-09-049857-index.html,https://www.sec.gov/Archives/edgar/data/878526/000119312510056803/0001193125-10-056803-index.html,https://www.sec.gov/Archives/edgar/data/878526/000119312511066027/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312512114768/0001193125-12-114768-index.html,https://www.sec.gov/Archives/edgar/data/878526/000119312513149244/d444059d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312514102436/d642299d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312515093490/d875279d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000087852616000126/0000878526-16-000126-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852617000019/0000878526-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852618000028/0000878526-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852619000045/0000878526-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852620000022/0000878526-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852621000020/0000878526-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/878526/000087852622000026/0000878526-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,235000,-3883000,-7452000,-2744000,-2407000,6152000,-927000,9780000,17473000,11079000,11919000,-11697000,3883000,22878000,32478000,37924000,42594000,-20293000,-22935000,-15671000,-16613000,13177000
74,Depreciation and Amortization,1450000,1944000,1642000,1596000,1849000,1988000,3921000,4947000,6764000,7884000,9156000,10021000,12615000,12848000,11759000,15987000,16879000,30098000,33863000,30722000,28115000,28091000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1899000,1573000,1044000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,3980000,5399000,6468000,6420000,6078000,6062000,6953000,9008000,9445000,17051000,8352000,9566000,14161000
77,Change in Working Capital,-1494000,54577000,-7759000,-6163000,-3894000,16669000,-26692000,-11640000,83173000,-27368000,8954000,6594000,-20251000,46425000,31975000,15583000,161610000,-112367000,-61162000,-25401000,-978000,2934000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78000,-3231000,3605000,-22031000,9357000,-2431000,-15272000,19723000,-30473000,-5199000,9817000,17651000,-13111000
79,Inventory,-941000,-1392000,-962000,-553000,903000,840000,-2045000,-3970000,-2726000,740000,-8181000,3958000,5117000,-2298000,-2017000,-12232000,-7668000,7581000,-7443000,7185000,1939000,4830000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,457000,-5478000,-7062000,11311000,-1387000,-7648000,3270000,-4965000,-1385000,4105000,-1367000,-4523000,13530000
81,Other Working Capital,4065000,58642000,50883000,44720000,40826000,57495000,30803000,19163000,102336000,74968000,83922000,90516000,70265000,116690000,148665000,164248000,325858000,213491000,152329000,126928000,125950000,72000
82,Other Non-Cash Items,184000,-57266000,7452000,4720000,7248000,-16926000,28830000,6278000,-96652000,31013000,-23902000,11209000,16725000,-51432000,-40131000,-39595000,-157404000,112843000,66203000,62058000,14336000,5632000
83,Cash Provided by Operating Activities,375000,-4628000,-6117000,-2591000,2796000,7883000,3233000,10938000,11802000,26588000,11526000,22595000,19392000,36797000,42143000,36852000,72687000,19726000,33020000,60060000,34426000,63995000
84,CAPEX,-668000,-1046000,-1663000,-1346000,- -,-931000,-2432000,-2775000,-5044000,-3612000,-4496000,-5005000,-7340000,-3700000,-5720000,-5194000,-3396000,-4066000,-8540000,-5339000,-8609000,-3620000
85,Acquisitions Net,- -,-9000,- -,-3735000,-7277000,-480000,-71773000,-49951000,-28996000,-47222000,-13415000,-15072000,-55123000,-18600000,-4925000,-14284000,-15849000,-190888000,151000,- -,-3997000,-1000000
86,Purchases of Investments,-602000,-163951000,-82337000,-49862000,-31976000,-24866000,- -,- -,-12120000,-965000,-975000,-300000,- -,- -,- -,- -,-34019000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,583000,141589000,77857000,48666000,41120000,32188000,12163000,- -,12120000,- -,975000,1005000,- -,- -,- -,- -,- -,34019000,- -,- -,- -,- -
88,Other Investing Activites,-75000,-72000,-1021000,-5000,79000,10000,2575000,- -,- -,-1003000,-344000,-825000,- -,-1875000,-1481000,-1126000,-210000,- -,-665000,-13000,- -,2674000
89,Cash Used for Investing Activites,-762000,-23489000,-7164000,-6282000,1946000,5921000,-59467000,-52726000,-34040000,-51799000,-17911000,-19372000,-62463000,-22300000,-10645000,-19478000,-53264000,-160935000,-8389000,-5339000,-12606000,-1946000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-429000,-1403000,-3013000,-4359000,-52226000,-38017000,- -,-16000000,-45000000,-50000000,-50478000,-58527000,-57410000
91,Common Stock Issued,120000,59156000,664000,504000,2308000,10160000,30981000,2045000,102142000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-307000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4633000,-11525000,-19289000,-2268000,-5630000,- -,-10495000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1139000,-1383000,- -,-161000,- -,- -,1051000,35580000,-33037000,918000,3099000,4712000,37776000,69473000,21736000,12357000,153706000,53094000,6118000,1946000,58145000,-3252000
95,Cash Used/Provided by Financing Activities,-1019000,57773000,664000,343000,2001000,10160000,32032000,37625000,69105000,489000,1696000,1699000,33417000,17247000,-20914000,832000,118417000,5826000,-49512000,-48532000,-10877000,-60662000
96,Effect of Forex Changes on Cash,- -,14000,34000,197000,61000,-157000,-452000,687000,-1868000,393000,486000,-489000,-105000,1305000,-132000,-2295000,-6758000,10782000,-7696000,735000,7842000,-7874000
97,Net Change In Cash,-1406000,29670000,-12583000,-8333000,6804000,23807000,-24654000,-3476000,44999000,-24329000,-4203000,4433000,-9759000,33049000,10452000,15911000,131082000,-124601000,-32577000,6924000,18785000,-6487000
98,Cash at the End of Period,681000,30351000,17768000,9435000,16239000,40046000,15392000,11916000,56915000,32586000,28383000,32816000,23057000,56106000,66558000,82469000,213551000,88950000,56373000,63297000,82082000,75595000
99,Cash at the Beginning of Period,2087000,681000,30351000,17768000,9435000,16239000,40046000,15392000,11916000,56915000,32586000,28383000,32816000,23057000,56106000,66558000,82469000,213551000,88950000,56373000,63297000,82082000
100,Free Cash Flow,-293000,-5674000,-7780000,-3937000,2796000,6952000,801000,8163000,6758000,22976000,7030000,17590000,12052000,33097000,36423000,31658000,69291000,15660000,24480000,54721000,25817000,60375000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/878526/000101287003001415/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312504058595/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312505065176/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312506056436/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312507057281/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312508056931/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312509049857/0001193125-09-049857-index.html,https://www.sec.gov/Archives/edgar/data/878526/000119312510056803/0001193125-10-056803-index.html,https://www.sec.gov/Archives/edgar/data/878526/000119312511066027/d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312512114768/0001193125-12-114768-index.html,https://www.sec.gov/Archives/edgar/data/878526/000119312513149244/d444059d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312514102436/d642299d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000119312515093490/d875279d10k.htm,https://www.sec.gov/Archives/edgar/data/878526/000087852616000126/0000878526-16-000126-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852617000019/0000878526-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852618000028/0000878526-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852619000045/0000878526-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852620000022/0000878526-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/878526/000087852621000020/0000878526-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/878526/000087852622000026/0000878526-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
