,https://roic.ai/company/SIRI,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,4100000,2300000,4075533,6864648,2930000,63518000,125634000,168456000,235586000,620166000,624244000,886442000,1006991000,885200000,5826860000,1147497000,1188546000,782826000,1300645000,1360052000,1453089000,1548206000,1591764000,1682283000,1735138000,2636000000,2599000000,2368000000
11,COGS and Expenses,4100000,2200000,4075533,6864648,2930000,63518000,125634000,168456000,305484000,706940000,745158000,1071385000,1704959000,1435156000,6690307000,2211505000,2287778000,1903925000,2530015000,2754542000,3061425000,3391370000,3585091000,3784265000,4043744000,6063000000,6178000000,6661000000
12,Interest Income ,- -,- -,50921,4073809,112000,17502000,24485000,17066000,- -,- -,- -,- -,- -,- -,- -,3645000,- -,- -,716000,6976000,15498000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,40155,1945963,13000,16806000,33595000,89686000,- -,- -,- -,- -,- -,- -,- -,306420000,295643000,304938000,265321000,204671000,269010000,299103000,331225000,345820000,350073000,390000000,394000000,415000000
14,Depreciation and Amortization,- -,100000,48847,29687,53000,861000,2352000,8997000,94658000,95353000,95370000,98555000,105749000,106780000,202596000,309450000,273691000,267880000,266295000,253314000,266423000,272214000,268979000,298602000,300720000,468000000,562000000,583000000
15,EBITDA,-4100000,-2000000,-4026686,-6834961,-2877000,-62657000,-123282000,-159459000,-327823000,-130862000,-612591000,-762131000,-997053000,-456037000,-5108216000,279061000,617009000,1014013000,1006084000,1095077000,1366219000,1463281000,1691864000,1908631000,2071367000,2055000000,1386000000,2524000000
16,EBITDA ratio,-41.0000,-20.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-407.2335,-10.1664,-9.1631,-3.1461,-1.5647,-0.4946,-3.0699,0.1129,0.2190,0.3364,0.2957,0.2882,0.3268,0.3202,0.3372,0.3518,0.3589,0.2637,0.1724,0.2902
17,Operating Income,-4000000,-2100000,-4075533,-6864648,-2930000,-63518000,-125634000,-168456000,-313127000,-437530000,-678304000,-829140000,-1067724000,-513090000,-5036749000,228326000,465414000,676117000,872025000,1044553000,1119670000,1178688000,1432129000,1640864000,1726948000,1647000000,858000000,2015000000
18,Operating Income ratio,-40.0000,-21.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-388.9776,-33.9908,-10.1460,-3.4227,-1.6756,-0.5565,-3.0269,0.0923,0.1652,0.2243,0.2563,0.2749,0.2678,0.2579,0.2854,0.3025,0.2993,0.2113,0.1067,0.2317
19,Total Other Income Expenses (Gains),100000,100000,10766,2127846,99000,696000,-9110000,-72620000,419290000,256538000,-29657000,-31546000,-35078000,-49727000,-274063000,-565135000,-417739000,-234922000,-397557000,-407461000,-288884000,-286724000,-340469000,-376655000,-306374000,-450000000,-428000000,-489000000
20,Income Before Tax,- -,- -,-4064767,-4736802,-2831000,-62822000,-134744000,-241076000,106163000,- -,-707961000,-860686000,-1102802000,-562817000,-5310812000,-336809000,47675000,441195000,474468000,637092000,830786000,891964000,1091660000,1264209000,1420574000,1197000000,430000000,1526000000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,131.8795,- -,-10.5897,-3.5530,-1.7306,-0.6104,-3.1916,-0.1362,0.0169,0.1464,0.1395,0.1677,0.1987,0.1952,0.2176,0.2330,0.2462,0.1536,0.0535,0.1755
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4201000,2311000,2065000,2435000,2476000,5981000,4620000,14234000,-2998234000,259877000,337545000,382240000,345727000,616301000,244681000,283000000,299000000,212000000
23,Net Income,-4100000,-2100000,-4064767,-4736802,-2831000,-62822000,-134744000,-235763000,-422481000,-226215000,-712162000,-862997000,-1104867000,-565252000,-5313288000,-342790000,43055000,426961000,3472702000,377215000,493241000,509724000,745933000,647908000,1175893000,914000000,131000000,1314000000
24,Net Income ratio,-41.0000,-21.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-524.8211,-17.5742,-10.6525,-3.5625,-1.7338,-0.6130,-3.1931,-0.1386,0.0153,0.1416,1.0208,0.0993,0.1180,0.1115,0.1487,0.1194,0.2038,0.1173,0.0163,0.1511
25,EPS,-0.48,-0.23,-0.48,-5.08,-0.29,-3.96,-4.72,-5.30,-6.13,-0.38,-0.57,-0.65,-0.79,-0.39,-2.45,-0.15,0.01,0.11,0.55,0.06,0.09,0.09,0.15,0.14,0.26,0.20,0.03,0.32
26,EPS Diluted,-0.48,-0.23,-0.48,-5.08,-0.29,-3.96,-4.72,-5.30,-6.13,-0.38,-0.57,-0.65,-0.79,-0.39,-2.45,-0.15,0.01,0.07,0.51,0.06,0.08,0.09,0.15,0.14,0.26,0.20,0.03,0.32
27,Weighted Average Shares Outstanding,8541667,9130435,8397668,11625834,9642000,24470000,38889000,52427000,76394000,827186000,1238585000,1325739000,1402619000,1462967000,2169489000,3585864000,3693259000,3744606000,4209073000,6227646000,5788944000,5375707000,4917050000,4637553000,4461827000,4501000000,4330000000,4062000000
28,Weighted Average Shares Outstanding Diluted,8541667,9130435,9500000,11625834,9642000,24470000,38889000,52427000,76394000,827186000,1238585000,1325739000,1402619000,1462967000,2169489000,3585864000,6391071000,6500822000,6873786000,6384791000,5862020000,5435166000,4964728000,4723535000,4560720000,4616000000,4429000000,4143000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908937/000095011705000996/0000950117-05-000996-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000095011706001134/0000950117-06-001134-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000093041307001865/0000930413-07-001865-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000095012308002331/0000950123-08-002331-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000119312509049874/0001193125-09-049874-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000095012310017181/0000950123-10-017181-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000095012311014617/0000950123-11-014617-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000119312512049086/0001193125-12-049086-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893713000004/0000908937-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893714000006/0000908937-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893715000003/0000908937-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000156459016012174/0001564590-16-012174-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893717000009/0000908937-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893718000014/0000908937-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893719000008/0000908937-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893720000011/0000908937-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893721000015/0000908937-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893722000007/0000908937-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1799814,170381220,204753000,81809000,14397000,4726000,18375000,520979000,753891000,762007000,393421000,438820000,380446000,383489000,586691000,773990000,520945000,134805000,147724000,111838000,213939000,69022000,54431000,106000000,71000000,191000000
32,Short-Term Investments,- -,- -,- -,- -,60870000,385264000,170663000,326216000,155327000,28904000,9983000,142415000,15500000,469000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1799814,170381220,265623000,467073000,185060000,330942000,173702000,549883000,763874000,904422000,408921000,439289000,380446000,383489000,586691000,773990000,520945000,134805000,147724000,111838000,213939000,69022000,54431000,106000000,71000000,191000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31688000,71014000,104072000,147974000,162318000,189234000,201224000,210567000,192912000,220579000,234782000,223029000,241727000,232986000,670000000,672000000,722000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14256000,34502000,29537000,24462000,16193000,21918000,36711000,25337000,13863000,19397000,22295000,20363000,20199000,22198000,11000000,10000000,- -
36,Other Current Assets,- -,- -,8781,928068,166000,741000,13288000,12303000,25907000,29781000,47166000,61082000,102829000,105959000,240124000,297780000,193932000,265029000,1071333000,1077433000,1162046000,192974000,185318000,139953000,168618000,216000000,214000000,267000000
37,Total Current Assets,- -,- -,1808595,171309288,265789000,467814000,198348000,343245000,199609000,579664000,811040000,1011448000,617266000,678857000,793006000,859780000,991775000,1276954000,1828182000,1419013000,1549746000,561889000,642649000,470901000,478233000,1003000000,967000000,1180000000
38,PP&E,- -,- -,221586,60430982,276476000,623468000,1013465000,1082915000,1032874000,941052000,881280000,828357000,810389000,806263000,1703476000,1711003000,1761274000,1673919000,1571922000,1594574000,1510112000,1415401000,1398693000,1462766000,1512865000,2092000000,2056000000,1808000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1834856000,1834856000,1834856000,1834856000,1815365000,2204553000,2205107000,2205107000,2205107000,2286582000,2289985000,3843000000,3122000000,3151000000
40,Intangible Assets,- -,- -,- -,83346000,83368000,83368000,83368000,83654000,83654000,83654000,83654000,83654000,83654000,83654000,2772325000,2695115000,2629200000,2573638000,2519610000,2700062000,2645046000,2593346000,2544801000,2522846000,2501361000,3467000000,3340000000,3186000000
41,Intangible Assets,- -,- -,- -,83346000,83368000,83368000,83368000,83654000,83654000,83654000,83654000,83654000,83654000,83654000,4607181000,4529971000,4464056000,4408494000,4334975000,4904615000,4850153000,4798453000,4749908000,4809428000,4791346000,7310000000,6462000000,6337000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,3396000,3973000,3999000,5718000,5922000,9888000,8918000,962080000,960316000,321000000,332000000,334000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1219256000,868057000,437736000,1115731000,1084330000,505528000,292703000,153000000,111000000,200000000
44,Other Non-Current Assets,- -,- -,303793,8721191,18247000,31962000,28401000,17791000,24803000,12947000,181639000,161903000,147219000,125375000,387032000,159374000,162585000,132656000,96509000,52803000,21840000,145300000,119097000,118671000,137273000,270000000,405000000,415000000
45,Total Non-Current Assets,- -,- -,525379,152498173,378091000,738798000,1125234000,1184360000,1141331000,1037653000,1146573000,1073914000,1041262000,1015292000,6697689000,6403748000,6391311000,6219042000,7226661000,7425767000,6825763000,7484773000,7360946000,7858473000,7694503000,10146000000,9366000000,9094000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,2333974,323807461,643880000,1206612000,1323582000,1527605000,1340940000,1617317000,1957613000,2085362000,1658528000,1694149000,7490695000,7263528000,7383086000,7495996000,9054843000,8844780000,8375509000,8046662000,8003595000,8329374000,8172736000,11149000000,10333000000,10274000000
48,Accounts Payable,- -,- -,- -,- -,13960000,49729000,54367000,39836000,45086000,1630000,5525000,6829000,26048000,69540000,877594000,543686000,593174000,543193000,587652000,578333000,587755000,625313000,713034000,794341000,735079000,1151000000,1223000000,1299000000
49,Short-Term Debt,- -,- -,- -,- -,70863000,114075000,- -,15000000,- -,- -,- -,- -,- -,35801000,399726000,13882000,195815000,1623000,4234000,507774000,7482000,4764000,5485000,5105000,3447000,2000000,49000000,49000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,14735000,80823000,251468000,412370000,548330000,985180000,1086205000,1201346000,1333965000,1474138000,1586611000,1632381000,1771915000,1832609000,1881825000,1931613000,1930000000,1721000000,1454000000
52,Other Current Liabilities,- -,- -,67237,415503,- -,- -,- -,5477000,3234000,65638000,183166000,348670000,436647000,420175000,144836000,432868000,359374000,368815000,248564000,66186000,86174000,94495000,117473000,140267000,132539000,210000000,174000000,178000000
53,Total Current Liabilities,- -,- -,67237,415503,84823000,163804000,54367000,60313000,48320000,82003000,269514000,606967000,875065000,1073846000,2407336000,2076641000,2349709000,2247596000,2314588000,2738904000,2313792000,2496487000,2668601000,2821538000,2802678000,3293000000,3167000000,2980000000
54,Long-Term Debt,- -,- -,240000,131364073,153033000,488835000,472602000,589990000,670357000,194803000,656274000,1084437000,1068249000,1278617000,2851740000,3062693000,3021763000,2683563000,2430986000,3093821000,4493863000,5443614000,5842764000,6741243000,6884536000,7842000000,8918000000,9194000000
55,Deferred Revenue,- -,- -,35967,22537,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283942000,273973000,198135000,159501000,149026000,151901000,157609000,176319000,174579000,148983000,130000000,118000000,97000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,2237000,2237000,2237000,2237000,- -,- -,- -,- -,- -,- -,894453000,940182000,914637000,1011084000,69000,- -,- -,6681000,6418000,8169000,47251000,70000000,266000000,478000000
57,Other Non-Current Liabilities,- -,- -,- -,112574928,31324000,268272000,503893000,552416000,54264000,15317000,31192000,68990000,104285000,134423000,1328629000,862638000,615368000,651473000,110134000,117287000,106116000,108762000,101508000,107719000,106209000,550000000,149000000,150000000
58,Total Non-Current Liabilities,- -,- -,275967,243961538,186594000,759344000,978732000,1144643000,724621000,210120000,687466000,1153427000,1172534000,1413040000,5074822000,5149455000,4825741000,4544255000,2700690000,3360134000,4751880000,5716666000,6127009000,7031710000,7186979000,8592000000,9451000000,9919000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502000000,468000000,411000000
61,Total Liabilities,- -,- -,343204,244377041,271417000,923148000,1033099000,1204956000,772941000,292123000,956980000,1760394000,2047599000,2486886000,7482158000,7226096000,7175450000,6791851000,5015278000,6099038000,7065672000,8213153000,8795610000,9853248000,9989657000,11885000000,12618000000,12899000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,531153000,- -,- -,- -,- -,- -,25000,38000,13000,13000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,9306,16049,23000,29000,42000,57000,77000,1138000,1277000,1346000,1435000,1471000,3652000,3882000,3933000,3753000,5263000,6096000,5653000,5153000,4745000,4530000,4346000,4000000,4000000,4000000
64,Retained Earnings,- -,- -,-15705265,-23272662,-71669000,-134491000,-269235000,-504998000,-927479000,-1153694000,-1865856000,-2728853000,-3833720000,-4398972000,-9712260000,-10241238000,-10211053000,-9784092000,-6311390000,-5934175000,-5440934000,-4931210000,-3891381000,-3243473000,-2057309000,-1143000000,-2285000000,-2636000000
65,Other Comprehensive Income/Loss,- -,- -,-160498,-243031,-21000,-880000,-3105000,-12102000,-93469000,-185964000,-281061000,-377645000,-469125000,-572507000,-8000000,-7000000,-6000000,-1261643000,-1469724000,-1657116000,-1849566000,-1000000,-1425117000,18000000,-6000000,8000000,15000000,15000000
66,Other Total Stockholders Equity,- -,- -,17847227,102930064,444130000,418806000,562781000,839692000,1057717000,2663714000,3146273000,3430120000,3912339000,4177271000,9725120000,10281750000,10420743000,11746114000,11815410000,10330937000,8594684000,4760566000,4519738000,1697069000,242042000,395000000,-19000000,- -
67,Total Stockholders Equity,- -,- -,1990770,79430420,372463000,283464000,290483000,322649000,567999000,1325194000,1000633000,324968000,-389071000,-792737000,8537000,37432000,207636000,704145000,4039565000,2745742000,1309837000,-166491000,-792015000,-1523874000,-1816921000,-736000000,-2285000000,-2625000000
68,Total Liabilities And Stockholders Equity,- -,- -,2333974,323807461,643880000,1206612000,1323582000,1527605000,1340940000,1617317000,1957613000,2085362000,1658528000,1694149000,7490695000,7263528000,7383086000,7495996000,9054843000,8844780000,8375509000,8046662000,8003595000,8329374000,8172736000,11149000000,10333000000,10274000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,2333974,323807461,643880000,1206612000,1323582000,1527605000,1340940000,1617317000,1957613000,2085362000,1658528000,1694149000,7490695000,7263528000,7383086000,7495996000,9054843000,8844780000,8375509000,8046662000,8003595000,8329374000,8172736000,11149000000,10333000000,10274000000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908937/000095011705000996/0000950117-05-000996-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000095011706001134/0000950117-06-001134-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000093041307001865/0000930413-07-001865-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000095012308002331/0000950123-08-002331-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000119312509049874/0001193125-09-049874-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000095012310017181/0000950123-10-017181-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000095012311014617/0000950123-11-014617-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000119312512049086/0001193125-12-049086-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893713000004/0000908937-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893714000006/0000908937-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893715000003/0000908937-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000156459016012174/0001564590-16-012174-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893717000009/0000908937-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893718000014/0000908937-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893719000008/0000908937-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893720000011/0000908937-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893721000015/0000908937-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/908937/000090893722000007/0000908937-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4100000,-2100000,-4064767,-4736802,-2831000,-62822000,-134744000,-235763000,-422481000,-226215000,-712162000,-862997000,-1104867000,-565252000,-5313288000,-342790000,43055000,426961000,3472702000,377215000,493241000,509724000,745933000,647908000,1175893000,914000000,131000000,1314000000
74,Depreciation and Amortization,- -,100000,48847,29687,53000,861000,2352000,8997000,94658000,95353000,95370000,98555000,105749000,106780000,202596000,309450000,273691000,267880000,266295000,253314000,266423000,272214000,268979000,298602000,300720000,468000000,562000000,583000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2311000,2065000,2435000,2476000,5981000,2308000,8264000,-3001818000,259787000,327461000,365499000,323562000,583520000,256575000,259000000,238000000,131000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,1206000,7176000,14044000,- -,- -,- -,- -,- -,- -,- -,73981000,60437000,53190000,63822000,68876000,78212000,84310000,108604000,124069000,133175000,250000000,223000000,202000000
77,Change in Working Capital,-500000,- -,1741358,169152427,10072215,123044000,-160029000,138951000,-131643000,346372000,43865000,-137045000,-662280000,-137190000,-1219341000,397469000,-141073000,387292000,484236000,-833485000,555845000,-1170552000,-91354000,-324685000,26192000,34445000,90000000,-411000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42158000,-39236000,-13211000,-38985000,-36189000,-72628000,-61440000,-44188000,-73777000,-42083000,-137000000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6329000,-20246000,4965000,8291000,8269000,-5725000,-14793000,11374000,11474000,-5534000,-2898000,1932000,1874000,-1999000,11000000,-2000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46043000,-44009000,-17191000,52696000,78920000,41367000,-20086000,109000000,42000000,104000000
81,Other Working Capital,- -,- -,1741358,170893785,180966000,304010000,143981000,282932000,151289000,497661000,541526000,404481000,-257799000,-394989000,-1614330000,-1216861000,-1357934000,-970642000,-486406000,-1319891000,-764046000,-1934598000,-2025952000,-2350637000,-2324445000,-2290000000,-2200000000,-280000000
82,Other Non-Cash Items,1000000,400000,-1305572,-167433609,-9014215,-334890000,216771000,-75055000,138655000,-499997000,238464000,625436000,1244784000,444461000,6174760000,-10261000,274477000,-599957000,-478472000,977125000,-467938000,1182856000,363513000,526175000,-12137000,91555000,774000000,179000000
83,Cash Provided by Operating Activities,-3600000,-1600000,-3580134,-2988297,-1720000,-272601000,-68474000,-148826000,-320811000,-284487000,-334463000,-273740000,-414549000,-148766000,-152797000,433830000,512895000,543630000,806765000,1102832000,1253244000,1244051000,1719237000,1855589000,1880418000,2017000000,2018000000,1998000000
84,CAPEX,- -,- -,-22228,-132653125,- -,-309059000,-398442000,-81631000,-41625000,-20118000,-28589000,-49888000,-99827000,-65264000,-130551000,-248511000,-311868000,-137429000,-97293000,-173617000,-121646000,-134892000,-205829000,-287970000,-355703000,-363000000,-350000000,-388000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820000000,- -,- -,- -,- -,-525000000,1000000,- -,- -,-108000000,-2000000,313000000,-394000000,-35000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-273196000,-24826000,-89706000,-170191000,-135839000,-310000,-3000000,- -,- -,-826000,-26000,-1719000,- -,-3966000,-4295000,-7847000,-7605000,-7000000,-8000000,-4000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,514500000,150000000,25000000,47932000,255715000,40191000,65869000,- -,9454000,- -,- -,- -,24178000,- -,- -,- -,- -,73000000,- -,- -
88,Other Investing Activites,- -,- -,-22228,-89644739,- -,-141126000,212380000,-154729000,- -,- -,443000,72000,127000,-28803000,-23893000,- -,- -,10367000,- -,-352000,144000,- -,- -,-742995000,-13968000,-19000000,11000000,227000000
89,Cash Used for Investing Activites,- -,- -,-22228,-138944739,- -,-309059000,-186062000,-236074000,199679000,105056000,-92852000,-172075000,20176000,-54186000,728425000,-248511000,-302414000,-127888000,-97319000,-700688000,-96324000,-138858000,-210124000,-1146812000,-379276000,-3000000,-741000000,-200000000
90,Debt Repayment,- -,- -,-400000,- -,-240000,- -,-115957000,-16000,- -,- -,- -,- -,- -,- -,- -,-1123769000,-1488943000,-239996000,-1142439000,-2157613000,-1016420000,-797117000,-1490082000,-1635643000,-15998000,-1711000000,-1538000000,-3565000000
91,Common Stock Issued,5400000,- -,5434789,- -,- -,- -,- -,- -,147522000,492659000,141926000,18543000,25787000,4097000,471000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3712000,- -,- -,- -,-1762360000,-2496799000,-2018254000,-1673518000,-1409035000,-1314286000,-2159000000,-1555000000,-1523000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-327062000,- -,- -,- -,-48079000,-190242000,-201434000,-226000000,-237000000,-268000000
94,Other Financing Activites,800000,- -,1190776,307730694,4744000,513279000,303081000,375245000,-12741000,189376000,518301000,435388000,- -,244254000,-634473000,945205000,1481664000,11553000,507010000,3131689000,2369218000,1674292000,1804667000,2381226000,16572000,2137000000,2016000000,3674000000
95,Cash Used/Provided by Financing Activities,6200000,- -,6225565,307730694,4504000,513279000,187124000,375229000,134781000,682035000,660227000,453931000,25787000,248351000,-634002000,-182276000,-7279000,-228443000,-962491000,-788284000,-1144001000,-1141079000,-1407012000,-853694000,-1515146000,-1959000000,-1314000000,-1682000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6200000,- -,2623203,165797658,2784000,-68381000,-67412000,-9671000,13649000,502604000,232912000,8116000,-368586000,45399000,-58374000,3043000,203202000,187299000,-253045000,-386140000,12919000,-35886000,102101000,-144917000,-14004000,55000000,-37000000,116000000
98,Cash at the End of Period,- -,- -,3400261,170381220,4584000,81809000,14397000,4726000,18375000,520979000,753891000,762007000,393421000,438820000,380446000,383489000,586691000,773990000,520945000,134805000,147724000,111838000,213939000,69022000,65370000,120000000,83000000,199000000
