,https://roic.ai/company/UBA,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.7581,0.6546,- -,- -,- -,- -,- -,0.6710,0.6779,0.5822,0.1187,0.6078,0.5595,0.7868,0.7570,0.6623,0.6970,0.6818,0.7178,0.7265,0.7645,0.7744,0.8705,0.7064,0.8798,0.6730,0.6507,0.5966,0.6524,0.6519,0.6017,0.9248,0.7386,0.5970,0.7480,0.5871,0.5764,0.5425,0.6594
17,Operating Income,8700000,10300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34076000,37243000,41141000,45327000,47266000,53426000,53687000,43536000,50597000
18,Operating Income ratio,0.7016,0.5309,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3616,0.3640,0.3568,0.3881,0.3825,0.3947,0.3902,0.3435,0.3732
19,Total Other Income Expenses (Gains),600000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4971000,15848000,-11306000,-10722000,8166000,-11243000,-12074000,-17466000,331000
20,Income Before Tax,9300000,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31556000,28898000,29105000,53091000,29835000,34605000,55432000,42183000,41613000,26070000,50928000
21,Income Before Tax Ratio,0.7500,0.6186,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3757,0.3480,0.3088,0.5188,0.2587,0.2963,0.4486,0.3117,0.3025,0.2057,0.3756
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,9400000,12700000,11700000,10600000,8000000,5800000,4100000,3800000,3100000,1600000,-5000000,1300000,3900000,10300000,8600000,8100000,9190000,8589000,13687000,14507000,20370000,23315000,30985000,25032000,44388000,28525000,27743000,27542000,31643000,28260000,29795000,65151000,49264000,33716000,52933000,37467000,37280000,26070000,47283000
24,Net Income ratio,0.7581,0.6546,Infinity,Infinity,Infinity,Infinity,Infinity,0.2452,0.2081,0.1096,-0.3125,0.0850,0.1548,0.3992,0.4019,0.3506,0.3371,0.3059,0.3821,0.3743,0.3897,0.4105,0.5041,0.3798,0.5949,0.3846,0.3625,0.3274,0.3767,0.3403,0.3161,0.6367,0.4272,0.2887,0.4284,0.2768,0.2710,0.2057,0.3487
25,EPS,2.00,2.19,1.99,1.79,1.35,0.97,0.68,0.70,0.58,0.30,-0.94,0.26,0.72,0.91,1.67,0.52,0.55,0.50,0.91,0.80,0.67,0.70,0.90,0.58,1.29,0.60,0.58,0.57,0.63,0.40,0.33,1.51,0.97,0.50,0.86,0.64,0.56,0.21,1.18
26,EPS Diluted,2.00,2.19,1.99,1.79,1.35,0.97,0.68,0.70,0.58,0.30,-0.94,0.26,0.72,0.90,1.67,0.52,0.54,0.49,0.88,0.78,0.66,0.69,0.87,0.57,1.25,0.58,0.58,0.55,0.63,0.40,0.31,1.42,0.90,0.49,0.80,0.60,0.52,0.20,1.18
27,Weighted Average Shares Outstanding,4700000,5800000,5879397,5921788,5925926,5979381,6029412,5428571,5344828,5333333,5319149,5000000,5416667,5402299,5146000,5125000,5236000,5351000,5881000,6089000,26232836,26522857,26640000,27051724,27167442,6990000,24979000,25449000,29563218,32315345,32565916,32805274,35721101,39141493,39393522,39636820,39856992,40069957,40069957
28,Weighted Average Shares Outstanding Diluted,4700000,5800000,5879397,5921788,5925926,5979381,6029412,5428571,5344828,5333333,5319149,5000000,5416667,5402299,5146000,5283000,5317000,5433000,6038000,6432000,26630303,26907246,27558621,27526316,28036800,7351000,25418000,26118000,29563218,32315345,32565916,32805274,35721101,39141493,39393522,39636820,39856992,40069957,40069957
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029800/000102980007000003/form10k2006.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980008000003/form10k2007.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980009000003/form10k2008.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980010000002/form10k2009.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980011000002/form10k2010.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980012000004/form10k2011.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980013000005/form10k2012.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980014000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980015000004/form10k2014.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980016000052/form10k2015.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980017000007/form10k2016.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980018000010/form10k2017.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980019000008/form10k2018.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980020000008/form10k2019.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980021000016/0001029800-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980022000008/0001029800-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,33000000,45000000,23700000,15400000,16500000,12300000,12700000,3100000,10200000,4500000,7100000,8700000,7100000,1800000,1900000,3900000,2800000,1952000,34080000,46342000,22449000,25940000,26494000,2800000,4218000,1664000,10340000,15675000,4529000,78092000,2945000,73029000,6623000,7271000,8674000,10285000,94079000,40795000,24057000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,933000,932000,932000,994000,96000,- -,- -,- -,- -,5567000,- -,- -,- -
33,Cash and Short-Term Investments,33000000,45000000,23700000,15400000,16500000,12300000,12700000,3100000,10200000,4500000,7100000,8700000,7100000,1800000,1900000,3900000,2800000,1952000,34080000,46342000,22449000,25940000,26494000,2800000,4218000,1664000,11273000,16607000,5461000,79086000,3041000,73029000,6623000,7271000,8674000,15852000,94079000,40795000,24057000
34,Net Receivables,2200000,3000000,2600000,1700000,1600000,1500000,1400000,12800000,10200000,10000000,1300000,10100000,2700000,6500000,6200000,5000000,5900000,6232000,7333000,9142000,8815000,13358000,16466000,18537000,17893000,19023000,19500000,20504000,22717000,21549000,21077000,20361000,22353000,32390000,19632000,22607000,22854000,- -,23806000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21718000,-20651000,12199000,11872000,11525000,15362000,23109000,22467000,15513000,- -,19175000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6460000,79984000,36317000,105262000,40501000,55023000,51415000,60926000,132446000,40795000,67038000
38,PP&E,74900000,84800000,106800000,103700000,103500000,108200000,108000000,105300000,101800000,114000000,99300000,120600000,132200000,121300000,116800000,143400000,161500000,159009000,171191000,264655000,344319000,341169000,409574000,418285000,437304000,473944000,461938000,483029000,504474000,519864000,576887000,669117000,776030000,830740000,895382000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,8900000,6700000,23700000,11300000,10600000,10400000,10500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31432000,39213000,39305000,38469000,38049000,37434000,29374000,28679000,29027000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1700000,2000000,1600000,1500000,1400000,1600000,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65330000,124395000,5390000,5413000,5239000,7092000,11867000,909873000,910484000,- -,877787000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,569804000,644259000,613709000,713743000,820574000,876301000,945298000,947307000,939858000,- -,906814000
46,Other Assets,157500000,159200000,181400000,159600000,154500000,150900000,149700000,135300000,130700000,137900000,119300000,142600000,149100000,132200000,137400000,165100000,183900000,181100000,218352000,353633000,392718000,394917000,464439000,451350000,471770000,506117000,504539000,557053000,- -,- -,- -,- -,- -,- -,- -,- -,- -,969384000,- -
47,Total Assets,157500000,159200000,181400000,159600000,154500000,150900000,149700000,135300000,130700000,137900000,119300000,142600000,149100000,132200000,137400000,165100000,183900000,181100000,218352000,353633000,392718000,394917000,464439000,451350000,471770000,506117000,504539000,557053000,576264000,724243000,650026000,819005000,861075000,931324000,996713000,1008233000,1072304000,1010179000,973852000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18033000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11600000,41850000,11600000,9250000,15550000,22750000,8000000,4000000,28595000,306606000,35000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2600000,2700000,5300000,4500000,3300000,3600000,3500000,3300000,2300000,3700000,2400000,2700000,2800000,2400000,5400000,11300000,11000000,8600000,11400000,12900000,15700000,13000000,15000000,13800000,28500000,24600000,18400000,23600000,17850000,84900000,167696000,206769000,263895000,277993000,301271000,297701000,11416000,264434000,11443000
53,Total Current Liabilities,2600000,2700000,5300000,4500000,3300000,3600000,3500000,3300000,3800000,3700000,2400000,2700000,2800000,2400000,5400000,11300000,11000000,8600000,11400000,12900000,15700000,13000000,15000000,13800000,28500000,24600000,18400000,35200000,59700000,96500000,176946000,222319000,286645000,285993000,305271000,326296000,318022000,317467000,11443000
54,Long-Term Debt,16500000,16400000,36200000,16100000,14000000,14000000,13900000,19800000,19700000,31200000,24200000,51400000,59700000,39800000,43700000,38900000,53300000,51903000,47115000,106429000,104588000,107443000,111786000,104341000,108482000,110054000,116417000,118202000,118135000,143236000,166246000,25000000,260457000,273016000,297071000,293801000,306606000,- -,296449000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354000,304000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-2000000,-3000,-15000,-29000,12000,-43000,14000,-41000,-12182000,-5054000,-371000,-306000,-35000,-36000,-139080000,96643000,-226805000,-226718000,-192859000,-194005000,-132048000,- -,90056000
58,Total Non-Current Liabilities,16500000,16400000,36200000,16100000,14000000,14000000,13900000,19800000,19700000,31200000,24200000,51400000,59700000,39800000,43700000,32900000,51300000,51900000,47100000,106400000,104600000,107400000,111800000,104300000,96300000,105000000,116400000,118200000,118100000,143200000,27166000,121643000,33652000,46298000,104212000,99796000,174558000,- -,386505000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,62500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321699000,332602000,329622000,296514000,- -,- -,- -,- -,- -,- -,- -,59570000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,19100000,19100000,41500000,20600000,17300000,17600000,17400000,23000000,23500000,35000000,26600000,54100000,62500000,42200000,47000000,42100000,57200000,55317000,54157000,111955000,112975000,113076000,121527000,112829000,121081000,120247000,223699000,249602000,271222000,249814000,204112000,343962000,320297000,332291000,409483000,426092000,492580000,377037000,397948000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14341000,52747000,52747000,113997000,113997000,113997000,157453000,61250000,61250000,61250000,190625000,190625000,199375000,204375000,204375000,190000000,190000000,225000000,225000000,225000000
63,Common Stock,129800000,131500000,132800000,134000000,134600000,135000000,135400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,109000,158000,251000,253000,258000,261000,264000,265000,263000,264000,292000,296000,324000,325000,328000,358000,392000,394000,397000,400000,102000,404000
64,Retained Earnings,8500000,8500000,7000000,5000000,2700000,-1700000,-3100000,-8100000,-12400000,-17000000,-27600000,-32200000,-34400000,-30700000,-28500000,-29700000,-31100000,-33397000,-31654000,-30487000,-33611000,-36581000,-35007000,-42400000,-31077000,-39181000,-49150000,-64557000,-74462000,-90701000,-112168000,-95702000,-94136000,-114091000,-120123000,-133858000,-158213000,- -,-170493000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4013000,-5262000,-6583000,-9022000,-682000,-820000,-270000,-216000,-229000,-154000,-17000,62000,63000,-1230000,-1303000,2742000,7466000,-8451000,-15707000,-7720000
66,Other Total Stockholders Equity,- -,- -,100000,- -,- -,- -,- -,120400000,119600000,119900000,120300000,120700000,121000000,120700000,116800000,150600000,152600000,153931000,191326000,254266000,258296000,264680000,267365000,262024000,264585000,258235000,261433000,310695000,315288000,362777000,367070000,370979000,431411000,509660000,514217000,518136000,520988000,361676000,528713000
67,Total Stockholders Equity,138300000,140000000,139900000,139000000,137300000,133300000,132300000,112300000,107200000,102900000,92700000,88500000,86600000,90000000,88300000,120900000,121600000,120643000,159830000,234358000,272423000,274521000,337594000,333203000,346950000,376500000,273581000,307451000,302218000,463008000,445914000,475043000,540778000,599033000,587230000,582141000,579724000,571071000,575904000
68,Total Liabilities And Stockholders Equity,157400000,159100000,181400000,159600000,154600000,150900000,149700000,135300000,130700000,137900000,119300000,142600000,149100000,132200000,135300000,163000000,178800000,175960000,213987000,346313000,385398000,387597000,459121000,446032000,468031000,496747000,497280000,557053000,573440000,712822000,650026000,819005000,861075000,931324000,996713000,1008233000,1072304000,948108000,973852000
69,Minority Interest,100000,100000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,2100000,5100000,5140000,4365000,7320000,7320000,7320000,5318000,5318000,3739000,9370000,7259000,- -,2824000,11421000,- -,- -,- -,- -,- -,- -,- -,62071000,- -
70,Total Liabilities & Equity,157500000,159200000,181400000,159600000,154500000,150900000,149700000,135300000,130700000,137900000,119300000,142600000,149100000,132200000,137400000,165100000,183900000,181100000,218352000,353633000,392718000,394917000,464439000,451350000,471770000,506117000,504539000,557053000,576264000,724243000,650026000,819005000,861075000,931324000,996713000,1008233000,1072304000,1010179000,973852000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029800/000102980007000003/form10k2006.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980008000003/form10k2007.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980009000003/form10k2008.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980010000002/form10k2009.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980011000002/form10k2010.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980012000004/form10k2011.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980013000005/form10k2012.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980014000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980015000004/form10k2014.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980016000052/form10k2015.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980017000007/form10k2016.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980018000010/form10k2017.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980019000008/form10k2018.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980020000008/form10k2019.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980021000016/0001029800-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1029800/000102980022000008/0001029800-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,10600000,8000000,5800000,4100000,3800000,3100000,1600000,-5000000,1300000,3900000,10300000,8600000,8100000,9190000,8589000,13687000,14507000,20370000,23315000,30985000,25032000,44388000,28525000,27743000,27542000,31643000,28260000,29795000,65151000,49264000,33716000,52933000,37467000,37280000,26070000,47283000
74,Depreciation and Amortization,- -,- -,- -,3020000,3210000,3450000,3990000,4200000,4800000,4600000,4400000,4200000,4900000,5100000,4200000,4700000,5900000,6307000,7568000,8064000,11493000,12563000,14016000,13243000,13482000,14374000,15366000,15066000,15292000,16721000,17816000,19249000,22435000,23025000,26512000,28324000,27927000,29187000,29032000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2692000,3277000,3881000,3812000,4069000,4097000,4201000,4442000,3956000,4085000,4381000,5448000,3909000
77,Change in Working Capital,- -,- -,- -,-1270000,1200000,-300000,100000,200000,-500000,100000,1300000,-300000,-100000,400000,-3000000,-5900000,300000,2400000,-2800000,-1500000,-2800000,2700000,-2000000,1200000,-14700000,3900000,6200000,-16800000,-18040000,36724000,-124113000,23572000,-129087000,15174000,-22886000,-11514000,79794000,-91096000,332267000
78,Accounts Receivable,- -,- -,- -,900000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2588000,1335000,-193000,-1443000,-2033000,4203000,-825000,-956000,-314000,-6715000,-3796000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-4500000,-3300000,-3600000,-3500000,-3300000,-3800000,-3700000,-2400000,-2700000,-2800000,-2400000,-5400000,-11300000,-11000000,-8600000,-11400000,-12900000,-15700000,-13000000,-15000000,-13800000,-28500000,-24600000,-18400000,-35200000,-53240000,-16516000,-140629000,-117057000,-246144000,-230970000,-253856000,-265370000,-185576000,-276672000,55595000
82,Other Non-Cash Items,- -,- -,- -,1470000,-1700000,1720000,1310000,-100000,500000,1600000,5800000,1200000,300000,-6000000,5000000,7000000,-990000,-3404000,2595000,-2539000,2113000,-7834000,-7496000,-4046000,6137000,-1802000,-9390000,16087000,13937000,-33013000,123385000,-61154000,104287000,-16295000,2480000,13222000,-77065000,92274000,-338822000
83,Cash Provided by Operating Activities,- -,- -,- -,13820000,10710000,10670000,9500000,8100000,7900000,7900000,6500000,6400000,9000000,9800000,14800000,13900000,14400000,13892000,21050000,18532000,31176000,30744000,35505000,35429000,49307000,44997000,42611000,45172000,46713000,52504000,50952000,50915000,51100000,60062000,62995000,71584000,72317000,61883000,73669000
