,https://roic.ai/company/ATAX,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),900000,1000000,1000000,400000,- -,- -,- -,- -,- -,- -,1442685,1894989,1467582,1615179,2295834,2119798,2106292,3531192,4106072,4202126,2514479,5769108,5530995,7235336,11398649,14826217,17332148,24479978,24863056,24717294,21215888,21943885
14,Depreciation and Amortization,2500000,2700000,2900000,1200000,- -,- -,- -,- -,- -,- -,- -,93409,39277,48155,3956037,3507864,2621203,4165117,5579536,6067330,4598257,5210414,6386788,6742439,7021557,8127800,6862530,5212859,3556265,3091417,2810073,2732922
15,EBITDA,9200000,12600000,10800000,7300000,5700000,5800000,5700000,5700000,1000000,5068803,5451650,8340734,8167227,6257998,-31458186,25192804,17504230,8637175,8654368,34108409,6712376,8735600,16364627,31692694,33454067,49563040,52938185,66303181,68637753,58346849,31314779,62840087
16,EBITDA ratio,0.5974,0.6528,0.6067,0.6759,0.9194,0.9063,0.9048,0.8906,0.1667,0.8407,0.7252,0.8871,0.8747,0.6797,-1.5472,1.3554,1.0976,0.4263,0.4785,1.6328,0.2988,0.3164,0.8354,0.7914,0.8939,0.9967,0.9510,1.0542,1.1016,1.0857,0.8765,1.0133
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,5156518,5451650,8247325,8127950,6209843,2608778,2940356,3103196,4459028,- -,- -,- -,-1673163,2763762,21769774,15029188,22884825,14662270,18928694,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8552,0.7252,0.8772,0.8705,0.6745,0.1283,0.1582,0.1946,0.2201,- -,- -,- -,-0.0606,0.1411,0.5436,0.4016,0.4602,0.2634,0.3010,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7235336,- -,- -,14080414,17753303,49240156,- -,- -,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1673163,2763762,14534438,15029188,22884825,28742684,36681997,40218432,30538138,7288818,38163280
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0606,0.1411,0.3629,0.4016,0.4602,0.5163,0.5832,0.6455,0.5682,0.2040,0.6154
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4959000,6019146,-921097,45987,79990,63792
23,Net Income,5800000,8900000,6900000,5700000,5700000,5800000,5700000,5700000,1000000,5068803,4008965,6352336,6660368,4594664,-37710057,19565142,12776735,940866,-1031240,23838953,-400360,-2243922,4446844,17714919,15033861,26609023,23784507,30591198,41139529,30492151,7208828,38099488
24,Net Income ratio,0.3766,0.4611,0.3876,0.5278,0.9194,0.9063,0.9048,0.8906,0.1667,0.8407,0.5333,0.6756,0.7133,0.4990,-1.8547,1.0526,0.8012,0.0464,-0.0570,1.1412,-0.0178,-0.0813,0.2270,0.4424,0.4017,0.5351,0.4273,0.4864,0.6603,0.5674,0.2018,0.6144
25,EPS,0.57,0.88,0.68,0.56,0.56,0.57,0.56,0.56,0.09,0.50,0.40,0.64,0.67,0.46,0.73,1.74,0.74,0.34,-0.20,0.15,0.07,-0.04,0.14,0.40,0.25,0.34,0.34,0.47,0.63,0.42,0.07,0.63
26,EPS Diluted,0.57,0.88,0.68,0.56,0.56,0.57,0.56,0.56,0.09,0.50,0.40,0.64,0.67,0.46,0.73,1.74,0.74,0.34,-0.20,0.15,0.07,-0.04,0.14,0.40,0.25,0.34,0.34,0.47,0.63,0.42,0.07,0.63
27,Weighted Average Shares Outstanding,10175439,10113636,10147059,10178571,10178571,10175439,10178571,10178571,11111111,9988952,9850770,9837928,9837928,9837928,9837928,9837928,9837928,12491490,13512928,16661969,27493449,30122928,37367600,43453476,59431010,60252928,60182264,60373674,60691467,60551775,60606989,60606989
28,Weighted Average Shares Outstanding Diluted,10175439,10113636,10147059,10178571,10178571,10175439,10178571,10178571,11111111,10000000,9850770,9837928,9837928,9837928,9837928,9837928,9837928,12491490,13512928,16661969,27493449,30122928,37367600,43453476,59431010,60252928,60182264,60373674,60691467,60551775,60606989,60606989
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1059142/000077673400000011/0000776734-00-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/1059142/000105914202000004/0001059142-02-000004-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000105914203000004/0001059142-03-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/1059142/000095013405007236/d24205e10vk.htm,https://www.sec.gov/Archives/edgar/data/1059142/000095013406006424/0000950134-06-006424-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000095013707003332/c12614e10vk.htm,https://www.sec.gov/Archives/edgar/data/1059142/000095013708003596/c24669e10vk.htm,https://www.sec.gov/Archives/edgar/data/1059142/000105914209000002/0001059142-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000105914210000016/0001059142-10-000016-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000105914211000004/atax12311010k.htm,https://www.sec.gov/Archives/edgar/data/1059142/000105914212000004/0001059142-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000105914213000005/0001059142-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000105914214000005/atax12311310k.htm,https://www.sec.gov/Archives/edgar/data/1059142/000105914215000007/atax12311410k.htm,https://www.sec.gov/Archives/edgar/data/1059142/000156459016013945/0001564590-16-013945-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000156459017003348/0001564590-17-003348-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000156459018003674/0001564590-18-003674-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000156459019005208/0001564590-19-005208-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000156459020006591/0001564590-20-006591-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000156459021008450/0001564590-21-008450-index.htm,https://www.sec.gov/Archives/edgar/data/1059142/000095017022001871/0000950170-22-001871-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,900000,3914863,5858216,8590489,7174898,3501243,2317342,3298605,8476928,14821946,7196274,17280535,13277048,20213413,30172773,11318015,49193343,17035782,20748521,69597699,32001925,42308153,44495538,68285501
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,71720000,113500000,122344000,122406776,143067841,19941166,29033964,31903398,66167116,44492526,69399763,100566643,135695352,210626674,62056379,61263123,644390427,737369119,838480243,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,900000,75634863,119358216,130934489,129581674,146569084,22258508,32332569,40380326,80989062,51688800,86680298,113843691,155908765,240799447,73374394,110456466,661426209,758117640,908077942,32001925,42308153,44495538,68285501
34,Net Receivables,500000,500000,- -,- -,- -,- -,- -,- -,- -,627379,948081,944531,922806,1068900,184938,142816,264160,534699,769201,993181,4670182,6984978,10667385,17868151,19214187,27996568,36746537,36055006,22972851,15431527,21132795,77335680
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12848614,5277217,25252756,13905367,3277497,-1486093,445617165,-13825335,-23005635,-27528244,-14694326,-6615857,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65306615,92950696,143766629,176799110,254744329,89756452,575287818,675597442,771858542,916604704,40280450,51123823,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89907631,74124025,56209929,78031621,80178863,91790893,81282420,110803789,85488292,103148934,122808314,141017390,114226600,76692192,64596348,1673242,1648742,1619714
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122406776,143067841,- -,- -,- -,- -,- -,- -,- -,- -,244651688,391649284,535793465,669968333,763706777,884111390,859396355,905322834,199969887,339872233
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456890,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12377798,6029131,16558200,10373646,-171733554,-50321638,-489650380,-614068570,-706135135,-807640287,18440093,71048609,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92556661,97820024,97840620,121177435,158406426,444476580,168951399,196917153,172255132,153163295,942432796,978044685,- -,- -
46,Other Assets,147600000,146000000,142700000,67100000,67400000,67700000,68000000,73200000,73400000,77989725,124365504,138152244,139141061,155553817,118147479,111574124,100200189,164879008,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1175247879,1385909483
47,Total Assets,147600000,146000000,142700000,67100000,67400000,67700000,68000000,73200000,73400000,77989725,124365504,138152244,139141061,155553817,118147479,111574124,100200189,164879008,157863276,190770720,241607249,297976545,413150755,534233032,744239217,872514595,944113674,1069767999,982713246,1029168508,1175247879,1385909483
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,242220,511178,901821,411149,385787,7623824,5917600,4551073,4376131,3380666,3931848,3528303,3559277,10580855,11896770,12244479,14427291,15273277,16918030,15119989,10391894,7214204,18220689
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,- -,- -,- -,56981577,- -,- -,- -,- -,- -,- -,18922261,59816667,50000000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,700000,-42220,1288822,1298179,1388851,1314213,20276176,19982400,3148927,4923869,2432327,2757945,3803399,3911340,- -,- -,- -,- -,- -,- -,- -,167372006,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,700000,200000,1800000,2200000,1800000,10700000,27900000,25900000,7700000,9300000,62794570,6689793,7331702,7470617,10580855,11896770,12244479,33349552,75089944,66918030,15119989,177763900,- -,- -
54,Long-Term Debt,- -,- -,10800000,- -,- -,- -,- -,- -,- -,5000000,49255000,59755000,59730000,67495000,18980833,18685000,45770000,19920000,30908790,85480187,106253982,158916883,217067507,257274000,422066834,524723141,546762545,593868521,568777140,- -,709566513,894769248
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000,45000,-30000,5000,43319167,27315000,30000,71380000,23196873,- -,- -,- -,1531462,61939497,- -,1317075,42127317,95141178,94350376,415079920,- -,- -
58,Total Non-Current Liabilities,- -,- -,10800000,- -,- -,- -,- -,- -,- -,5000000,49300000,59800000,59700000,67500000,62300000,46000000,45800000,91300000,54105663,85480187,106253982,158916883,218598969,319213497,422066834,526040216,588889862,689009699,663127516,415079920,709566513,894769248
59,Other Liabilities,13500000,13200000,24000000,500000,600000,600000,700000,600000,- -,10042220,98607714,- -,- -,135022323,124621193,92034134,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1430619873,1813808176
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,13500000,13200000,13200000,500000,600000,600000,700000,600000,700000,5242220,51107714,61998357,61475172,78222323,90221193,71934134,53453829,100507029,116900233,92169980,113585684,166387500,229179824,331110267,434311313,559389768,623191772,661613403,583897129,592843818,721053360,919038928
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40788034,94314326,94350376,94386427,94422477,94458528
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206953000,223589983,331035355,313119341,280129205,313840270,304465741,341938263,359772042,372412027
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23512962,-25035808,-20455896,-21091456,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32818075,-33880252,-28381932,-31543780,-17499670,-21868541,-23467105,-20840194,-19330063,-19128753,-24691800,-16023814,-16217028,-9580531,-12272387,- -,- -,- -
66,Other Total Stockholders Equity,134100000,132800000,129500000,66600000,66800000,67100000,67300000,72600000,72700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120469281,151488670,175942201,19330063,19128753,24691800,16023814,16217028,9580531,12272387,- -,- -,- -
67,Total Stockholders Equity,134100000,132800000,129500000,66600000,66800000,67100000,67300000,72600000,72700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181917192,203134087,309943899,313119341,320917239,408154596,398816117,436324690,454194519,466870555
68,Total Liabilities And Stockholders Equity,147600000,146000000,142700000,67100000,67400000,67700000,68000000,73200000,73400000,77942220,124407714,138198357,139175172,155522323,118121193,111534134,100153829,164807029,157700233,190770720,241607249,297976545,411097016,534244354,744255212,872509109,944109011,1069767999,982713246,1029168508,1175247879,1385909483
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,47505,-42210,-46113,-34111,31494,26286,39990,46360,71979,163043,- -,- -,- -,2053739,-11322,-15995,5486,4663,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,147600000,146000000,142700000,67100000,67400000,67700000,68000000,73200000,73400000,77989725,124365504,138152244,139141061,155553817,118147479,111574124,100200189,164879008,157863276,190770720,241607249,297976545,413150755,534233032,744239217,872514595,944113674,1069767999,982713246,1029168508,1175247879,1385909483
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1059142/000077673400000011/0000776734-00-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/1059142/000105914202000004/0001059142-02-000004-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000105914203000004/0001059142-03-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/1059142/000095013405007236/d24205e10vk.htm,https://www.sec.gov/Archives/edgar/data/1059142/000095013406006424/0000950134-06-006424-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000095013707003332/c12614e10vk.htm,https://www.sec.gov/Archives/edgar/data/1059142/000095013708003596/c24669e10vk.htm,https://www.sec.gov/Archives/edgar/data/1059142/000105914209000002/0001059142-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000105914210000016/0001059142-10-000016-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000105914211000004/atax12311010k.htm,https://www.sec.gov/Archives/edgar/data/1059142/000105914212000004/0001059142-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000105914213000005/0001059142-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000105914214000005/atax12311310k.htm,https://www.sec.gov/Archives/edgar/data/1059142/000105914215000007/atax12311410k.htm,https://www.sec.gov/Archives/edgar/data/1059142/000156459016013945/0001564590-16-013945-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000156459017003348/0001564590-17-003348-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000156459018003674/0001564590-18-003674-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000156459019005208/0001564590-19-005208-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000156459020006591/0001564590-20-006591-index.html,https://www.sec.gov/Archives/edgar/data/1059142/000156459021008450/0001564590-21-008450-index.htm,https://www.sec.gov/Archives/edgar/data/1059142/000095017022001871/0000950170-22-001871-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5800000,8900000,6900000,5700000,5700000,5800000,5700000,5700000,1000000,5068803,4008965,6352336,6660368,4594664,-37710057,19565142,12776735,940866,-1031240,23838953,-400360,-2243922,4446844,17714919,15033861,26609023,23784507,30591198,41139529,30492151,7208828,38099488
74,Depreciation and Amortization,2500000,2700000,2900000,1200000,- -,- -,- -,- -,- -,- -,- -,93409,39277,48155,3956037,3507864,2621203,4165117,5579536,6067330,4598257,5210414,6386788,6742439,7021557,8127800,6862530,5212859,3556265,3091417,2810073,2732922
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,366000,-400000,-957501,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,1400000,- -,- -,- -,- -,- -,- -,- -,-700000,500000,-1600000,-400000,400000,-8900000,-17200000,2000000,18200000,-1600000,11812045,83748858,50174024,32893566,74834981,-166303792,485183657,79204551,54520708,152918076,-824526213,-151800538,126640077,6039995
78,Accounts Receivable,200000,- -,200000,-100000,- -,-100000,- -,- -,100000,-265742,-317770,-343506,-2796,-166917,-965146,854604,721479,-254136,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,500000,- -,- -,-300000,- -,- -,100000,-100000,100000,-33964,268958,118419,-739256,-25362,1826876,-1177536,1184924,-611794,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-200000,-1800000,-2200000,-1800000,-10700000,-27900000,-25900000,-7700000,-9300000,2512045,86260903,136434927,169328493,244163474,77859682,563043339,642247890,696768598,849686674,25160461,-126640077,- -,- -
82,Other Non-Cash Items,-800000,-400000,200000,-300000,100000,-100000,100000,-100000,4800000,-799706,2651188,324913,-1072594,10878270,56461755,-21221179,-27960843,721040,-11915126,-113994495,-52171028,-25630758,-78186523,156079158,-489794904,-94553956,-70302214,-171182606,806453341,136211219,-120817481,-12932254
83,Cash Provided by Operating Activities,8900000,11200000,10000000,6600000,5800000,5700000,5800000,5600000,5100000,4769097,5060153,6370658,6027051,6621089,5507735,3851827,5637095,4227023,4445215,-339354,2200893,10229300,7482090,14232724,17444171,19387418,15231531,17139527,25665421,17994249,15841497,33940151
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227200,-1069126,-2082339,-929050,-638546,-1989065,-1641480,-14081507,-8029349,4064089,-23798209,-3282107,-635739,-441790,13450000,-126732,-416820,-156765
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32196883,10443223,- -,-12801328,-7886852,- -,-24779613,-60660913,-5961000,- -,22337912,-18751305,-14096478,-27643564,7940634,-16497576,8977255
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47285000,-6925823,-1492343,-200823,-1379756,-12000000,-22190000,-41974000,-12435000,-19271328,-29310363,-20917500,-66135243,-162856971,-144177727,-191461400,-139034215,-124059816,-41774652,-19655717,-9513450,-71672500
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7030000,4862224,155000,180000,500000,4026750,23175068,4850873,19427988,212667,547094,16619370,33002820,24699629,67757146,23049910,37294045,63176917,108384029,35034738,58969301,51911579
88,Other Investing Activites,-200000,- -,- -,- -,- -,- -,- -,- -,-300000,-1307996,-3090585,-6704547,32356,-21060067,-3779670,-49647,-2949166,-9955008,-10789830,38767757,-19786588,-2733677,4526570,-1295973,-5668850,10652212,38074828,53916003,10685597,- -,-70684471,-176532329
89,Cash Used for Investing Activites,-200000,- -,- -,- -,- -,- -,- -,- -,-300000,-1307996,-43345585,-8768146,-1304987,-21080890,-4886626,23104860,6396786,-48007185,-16598170,11822244,-48549857,-31811420,-97296115,-158421463,-105887640,-138703473,-83052386,-21505164,49118433,23192923,-38143016,-187472760
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000,-120000,-25000,-225000,-23339167,-16580833,-345000,-275000,-73259125,-83993840,-74600810,-14861669,-19728390,-18602756,-101786763,-245697693,-199946857,-188285735,-367865823,-139210945,-164736901,-83453920
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60003863,48213603,54740000,- -,40869000,53631000,2033731,- -,- -,33321250
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1690472,-1475097,-1697613,- -,-2106673,-1363736
93,Dividends Paid,- -,- -,-10200000,-7900000,-5500000,-5500000,-5500000,-5500000,-5500000,-5467039,-4026215,-5370239,-5373655,-5358630,-5366143,-8865904,-5365790,-7182913,-9139653,-10538321,-13574391,-15277141,-18987693,-22238937,-30168167,-31556898,-34245664,-33465038,-36161829,-35336852,-25421349,-28650420
94,Other Financing Activites,-10200000,-10200000,- -,-1800000,- -,- -,- -,- -,- -,5000000,44285000,10620000,-739000,16165641,27104435,-528687,-1144768,57583093,87090927,92968666,130520678,58657295,78644332,117803344,203533727,364413085,266547587,222809685,290592962,143277995,294371047,262621319
95,Cash Used/Provided by Financing Activities,-10200000,-10200000,-10200000,-9700000,-5500000,-5500000,-5500000,-5500000,-5500000,-467039,40228785,5129761,-6137655,10582011,-1600875,-25975424,-6855558,50125180,4692149,-1563495,42345477,28518485,99932112,125175254,126318797,87158494,71533594,53214815,-113098572,-31269802,102106124,182474493
