,https://roic.ai/company/LUB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.1000,0.1018,0.1018,0.1081,0.1041,0.1031,0.0984,0.0941,0.0965,0.1008,0.0883,0.0871,0.0573,0.0100,0.0570,0.0185,-0.0682,-0.0243,-0.1039,-0.0194,0.0107,0.0604,0.0340,0.0072,-0.0901,-0.0118,0.0085,0.0197,0.0085,-0.0086,-0.0053,-0.0257,-0.0619,-0.0919,-0.0471,-0.1376,-0.0720
25,EPS,0.32,0.53,0.58,0.67,0.72,1.17,1.18,1.19,1.31,1.51,1.55,1.66,1.22,0.22,1.27,0.41,-1.42,-0.43,-1.47,-0.29,0.15,0.75,0.42,0.08,-0.94,-0.10,0.10,0.24,0.11,-0.12,-0.07,-0.35,-0.79,-1.12,-0.51,-0.97,-0.10
26,EPS Diluted,0.32,0.53,0.58,0.67,0.72,1.17,1.18,1.19,1.31,1.51,1.55,1.66,1.22,0.22,1.26,0.41,-1.42,-0.43,-1.47,-0.29,0.15,0.71,0.40,0.08,-0.94,-0.10,0.10,0.24,0.11,-0.12,-0.07,-0.35,-0.79,-1.12,-0.51,-0.97,-0.10
27,Weighted Average Shares Outstanding,27306000,27321000,27336000,27336000,27344000,27435897,27372881,27394958,27099237,26092715,23870968,23614458,23278689,23181818,22519685,22256098,22451408,22428000,22451000,22470000,22608000,26024000,26121000,27799000,27969000,28129000,28237000,28351000,28618000,28812000,28974000,29226000,29476000,29901000,29786000,30294000,30398000
28,Weighted Average Shares Outstanding Diluted,27306000,27321000,27336000,27336000,27344000,27435897,27372881,27394958,27099237,26306306,24070796,23614458,23392857,23181818,22698413,22256098,22475000,24593000,24454000,22619000,23455000,27444000,27170000,28085000,27969000,28129000,28297000,28429000,28866000,28812000,28974000,29226000,29476000,29901000,29786000,30294000,30398000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16099/000001609994000018/0000016099-94-000018-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609995000011/0000016099-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609996000016/0000016099-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609997000012/0000016099-97-000012-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609998000012/0000016099-98-000012-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609999000017/0000016099-99-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/16099/000001609902000022/0000016099-02-000022-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609903000030/r10k803.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609904000038/r10k804.htm,https://www.sec.gov/Archives/edgar/data/16099/000114036105009562/body.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609906000032/form10_k.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609907000043/0000016099-07-000043-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312508230188/0001193125-08-230188-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312509229563/0001193125-09-229563-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312510252333/0001193125-10-252333-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312511309873/0001193125-11-309873-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312512465459/0001193125-12-465459-index.html,https://www.sec.gov/Archives/edgar/data/16099/000143774913014511/0001437749-13-014511-index.html,https://www.sec.gov/Archives/edgar/data/16099/000143774914020335/0001437749-14-020335-index.html,https://www.sec.gov/Archives/edgar/data/16099/000143774915020265/0001437749-15-020265-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609916000059/0000016099-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609917000106/0000016099-17-000106-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609918000141/0000016099-18-000141-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609919000084/0000016099-19-000084-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609920000124/0000016099-20-000124-index.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609921000047/0000016099-21-000047-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,12400000,2700000,6400000,3800000,300000,679000,4099000,1600000,900000,3300000,2789000,9700000,17500000,4600000,900000,2300000,1252000,1200000,1500000,2800000,1501000,1339000,1096000,3722000,3640000,15069000,14392000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19984000,24100000,20500000,2300000,1667000,- -,8600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,12400000,2700000,6400000,3800000,300000,679000,24083000,25700000,21400000,5600000,4456000,9700000,26100000,4600000,900000,2300000,1252000,1200000,1500000,2800000,1501000,1339000,1096000,3722000,3640000,15069000,14392000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,500000,500000,700000,600000,403000,4826000,7400000,300000,100000,151000,1500000,1700000,3400000,1500000,2200000,4429000,4000000,4100000,4100000,5175000,5919000,8011000,8787000,8852000,6092000,10184000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,4000000,4500000,4500000,5100000,3700000,3853000,2701000,2200000,1800000,2100000,2215000,2400000,2600000,3000000,3000000,3100000,4191000,3600000,5000000,5600000,4483000,4596000,4453000,4022000,3432000,1653000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3500000,3700000,4600000,5500000,5500000,6021000,7696000,4400000,5200000,2100000,2504000,2800000,2000000,3200000,800000,1600000,4892000,5000000,4700000,3400000,3989000,3688000,3431000,3219000,11471000,8333000,5492000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,18100000,20200000,11400000,16000000,15100000,10100000,10956000,39306000,39700000,28700000,9900000,9326000,16400000,32400000,14200000,6200000,9200000,14764000,13800000,15300000,15900000,15148000,15542000,16991000,19750000,27395000,31147000,30068000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,257800000,279200000,311600000,334000000,298600000,314400000,338124000,308227000,290000000,217700000,194000000,186009000,184000000,186000000,198100000,171200000,172000000,166963000,173700000,190500000,213500000,199859000,193218000,172814000,138287000,121743000,100599000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,195000,200000,2200000,1700000,1643000,1605000,1068000,555000,514000,195000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29300000,28098000,26700000,25500000,24000000,22570000,21074000,19640000,18179000,16781000,15343000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29500000,28293000,26900000,27700000,25700000,24213000,22679000,20708000,18734000,17295000,15538000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6903000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,10600000,5100000,- -,- -,1000000,1900000,- -,- -,7680000,- -,- -,- -,- -,8738000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13800000,13000000,12300000,18800000,25300000,21500000,18014000,5929000,7300000,22900000,23300000,10879000,6400000,200000,12300000,10097000,31600000,10320000,16600000,16800000,20300000,25038000,12048000,15944000,23218000,19567000,- -,176960000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,271600000,292200000,323900000,352800000,323900000,335900000,356138000,314156000,302800000,251200000,222400000,196888000,190400000,187200000,212300000,188200000,233100000,213256000,217200000,235000000,259500000,249110000,236683000,209466000,180239000,158605000,116137000,176960000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,289700000,312400000,335300000,368800000,339000000,346000000,367094000,353462000,342500000,279900000,232300000,206214000,206800000,219600000,226500000,194400000,242300000,228020000,231000000,250300000,275400000,264258000,252225000,226457000,199989000,186000000,147284000,207028000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,11000000,14600000,13600000,12500000,19700000,19843000,13696000,19100000,12500000,16800000,17759000,10900000,12900000,14300000,11600000,12500000,14226000,14800000,23700000,26300000,20173000,17539000,15937000,10457000,8465000,6770000,2968000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,57000000,- -,- -,- -,- -,- -,- -,118400000,98532000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39338000,- -,3903000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9655000,7983000,10180000,10103000,10666000,10604000,12893000,14443000,13574000,11395000,8046000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2726000,1777000,1073000,- -,1212000,624000,1580000,45000,431000,- -,1932000,1436000,587000,577000,- -,7254000,- -,1287000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,29100000,31500000,31900000,32100000,34900000,30100000,22533000,34585000,19074000,19191000,16027000,17720000,21988000,20776000,16120000,15655000,19469000,19196000,19168000,20164000,23113000,23798000,24164000,21189000,31769000,23202000,19586000,12382000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,56400000,99500000,46500000,45700000,47400000,49800000,42376000,48281000,159300000,132000000,33900000,35479000,34100000,34300000,32000000,27300000,32400000,33422000,35900000,45300000,50000000,44548000,41703000,44380000,81564000,32954000,30259000,15350000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,73000000,78000000,116000000,127401000,5900000,- -,53600000,13500000,- -,- -,- -,- -,41500000,21500000,13000000,19200000,42800000,37791000,37044000,30807000,137000,45512000,54118000,24205000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19700000,20100000,22200000,20300000,13200000,9900000,10162000,2271000,- -,- -,- -,5039000,- -,- -,- -,- -,- -,- -,1932000,1436000,587000,577000,- -,- -,1133000,948000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,40900000,- -,- -,5100000,1815000,4506000,13700000,16000000,15200000,7910000,7100000,7100000,6600000,3900000,7100000,8061000,7568000,6864000,7013000,6683000,7725000,7218000,4527000,5556000,- -,12679000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19800000,20200000,63100000,104300000,86200000,93000000,127977000,134178000,19600000,16000000,68800000,26449000,7100000,7100000,6600000,3900000,48600000,29561000,22500000,27500000,50400000,45051000,44769000,38025000,5797000,52016000,54118000,36884000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127663000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291000,44000,109000,137000,73000,21700000,7181000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,76200000,119700000,109600000,150000000,133600000,142800000,170353000,182459000,178900000,148000000,102700000,61928000,41200000,41400000,38600000,31200000,81000000,62983000,58400000,72800000,100400000,89599000,86472000,82405000,87361000,84970000,103804000,52234000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,8769000,8769000,8800000,8800000,8800000,8835000,8900000,8900000,9100000,9100000,9100000,9168000,9200000,9200000,9300000,9323000,9421000,9480000,9602000,9753000,9960000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,229000000,249000000,267400000,276100000,262500000,273200000,266596000,234715000,225100000,192000000,186500000,131023000,150600000,161400000,163200000,136800000,133900000,136872000,143700000,147000000,143200000,141105000,130759000,107497000,73929000,61182000,32759000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116200000,-131100000,-146900000,-156800000,-156900000,-173500000,-192651000,-194852000,-4000000,-679000,-173300000,-174070000,-171500000,-180900000,-187400000,-201700000,-182100000,-195299000,-205700000,-215100000,-228400000,-141764000,-130887000,-144724000,-140533000,-143536000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,100700000,74800000,105200000,99500000,99800000,94700000,114027000,122371000,- -,-68209000,111093000,178498000,177559000,188864000,203049000,218932000,200461000,214296000,225459000,236418000,250924000,165995000,156460000,171799000,169630000,173631000,30880000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,213500000,192700000,225700000,218800000,205400000,203200000,196741000,171003000,163600000,131912000,133093000,144286000,165559000,178264000,187949000,163132000,161361000,165037000,172659000,177518000,175024000,174659000,165753000,144052000,112628000,101030000,73599000,73599000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,289700000,312400000,335300000,368800000,339000000,346000000,367094000,353462000,342500000,279912000,235793000,206214000,206759000,219664000,226549000,194332000,242361000,228020000,231059000,250318000,275424000,264258000,252225000,226457000,199989000,186000000,177403000,125833000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,-3493000,- -,41000,-64000,-49000,68000,-61000,- -,-59000,-18000,-24000,- -,- -,- -,- -,- -,-30119000,81195000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,289700000,312400000,335300000,368800000,339000000,346000000,367094000,353462000,342500000,279900000,232300000,206214000,206800000,219600000,226500000,194400000,242300000,228020000,231000000,250300000,275400000,264258000,252225000,226457000,199989000,186000000,147284000,207028000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/16099/000001609994000018/0000016099-94-000018-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609995000011/0000016099-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609996000016/0000016099-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609997000012/0000016099-97-000012-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609998000012/0000016099-98-000012-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609999000017/0000016099-99-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/16099/000001609902000022/0000016099-02-000022-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609903000030/r10k803.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609904000038/r10k804.htm,https://www.sec.gov/Archives/edgar/data/16099/000114036105009562/body.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609906000032/form10_k.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609907000043/0000016099-07-000043-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312508230188/0001193125-08-230188-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312509229563/0001193125-09-229563-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312510252333/0001193125-10-252333-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312511309873/0001193125-11-309873-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312512465459/0001193125-12-465459-index.html,https://www.sec.gov/Archives/edgar/data/16099/000143774913014511/0001437749-13-014511-index.html,https://www.sec.gov/Archives/edgar/data/16099/000143774914020335/0001437749-14-020335-index.html,https://www.sec.gov/Archives/edgar/data/16099/000143774915020265/0001437749-15-020265-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609916000059/0000016099-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609917000106/0000016099-17-000106-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609918000141/0000016099-18-000141-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609919000084/0000016099-19-000084-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609920000124/0000016099-20-000124-index.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609921000047/0000016099-21-000047-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,29500000,32100000,32300000,32600000,35500000,39400000,37000000,39200000,28400000,5100000,28600000,9125000,-31881000,-9700000,-33100000,-6000000,3448000,19600000,10900000,2300000,-26400000,-2900000,2965000,6900000,3300000,-3400000,-2074000,-10346000,-23262000,-33568000,-15226000,-29450000,-3019000
74,Depreciation and Amortization,- -,- -,- -,- -,9900000,11400000,13000000,14500000,15400000,15700000,16400000,17700000,20200000,21100000,20000000,22784000,23329000,23034000,21173000,19533000,25260000,16221000,16639000,17852000,18918000,15488000,17278000,17974000,18571000,20221000,21431000,21906000,20438000,17453000,13998000,11514000,2142000
75,Deferred Income Tax,- -,- -,- -,- -,1800000,1400000,-1800000,700000,- -,- -,- -,2200000,-3700000,-12300000,3200000,-364000,-10964000,- -,6068000,- -,186000,- -,5137000,-17000,-6346000,-4672000,1078000,-314000,586000,-3348000,-1996000,4707000,2792000,8192000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1338000,955000,755000,795000,1106000,1163000,1514000,1477000,1561000,2144000,1140000,1034000,183000
77,Change in Working Capital,- -,- -,- -,- -,3900000,- -,- -,- -,- -,-38300000,-41000000,44200000,5400000,-2600000,-7400000,8280000,22445000,-110625000,16300000,79300000,-2153000,8453000,15800000,-15900000,-3300000,-2100000,4542000,-3442000,-7900000,-4100000,4700000,3239000,-1228000,-34425000,56255000,6447000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1889000,-135000,- -,55000,10000,-29000,-1063000,-744000,-2092000,-775000,- -,- -,679000
