,https://roic.ai/company/PRDO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0847,0.1380,0.1698,0.1824,0.1900,0.1971,0.2050,0.2045,0.2241,0.1264,0.1110,0.0975,0.1240,0.1460,0.0799,-0.0722,-0.1035,-0.1598,-0.0824,-0.0169,0.0833,0.1442,0.1621,0.2353,0.2406
17,Operating Income,2400000,8900000,2600000,39380000,68822000,113298000,196931000,291561000,369072000,166508000,120418000,77668000,222604000,246393000,39162000,-183750000,-214684000,-72716000,-92168000,-32344000,34136000,71298000,86462000,142934000,149016000
18,Operating Income ratio,0.0291,0.0617,0.0131,0.1211,0.1300,0.1509,0.1657,0.1687,0.1814,0.0932,0.0719,0.0455,0.1212,0.1160,0.0208,-0.1234,-0.2030,-0.0981,-0.1088,-0.0459,0.0572,0.1227,0.1377,0.2080,0.2150
19,Total Other Income Expenses (Gains),-3200000,-1200000,16600000,126000,915000,1062000,2513000,4108000,14211000,20936000,23259000,19478000,1441000,484000,2785000,2038000,-6656000,212000,-2270000,978000,2114000,3054000,6560000,3896000,68000
20,Income Before Tax,-800000,7700000,19200000,39506000,69737000,114360000,199444000,295669000,383283000,187444000,143677000,97146000,224045000,246877000,41947000,-181712000,-221340000,-72504000,-94438000,-31366000,36250000,74352000,93022000,146830000,149084000
21,Income Before Tax Ratio,-0.0097,0.0534,0.0964,0.1214,0.1318,0.1523,0.1678,0.1711,0.1884,0.1050,0.0858,0.0570,0.1220,0.1162,0.0223,-0.1220,-0.2093,-0.0978,-0.1115,-0.0445,0.0608,0.1279,0.1482,0.2136,0.2151
22,Income Tax expense (Gain),-300000,3400000,8300000,17322000,31382000,46888000,80276000,116050000,143347000,92692000,48175000,27570000,78663000,80287000,46146000,-46806000,-19672000,3736000,-147454000,-16550000,67125000,18561000,22428000,22476000,39430000
23,Net Income,-900000,4300000,10900000,21406000,38355000,67472000,119168000,179619000,233878000,46569000,59553000,60142000,81219000,157773000,18573000,-142796000,-164263000,-178163000,51885000,-18712000,-31897000,55181000,69982000,124264000,109637000
24,Net Income ratio,-0.0109,0.0298,0.0547,0.0658,0.0725,0.0898,0.1003,0.1039,0.1150,0.0261,0.0356,0.0353,0.0442,0.0743,0.0099,-0.0959,-0.1554,-0.2403,0.0612,-0.0266,-0.0535,0.0949,0.1115,0.1808,0.1582
25,EPS,-1.51,0.04,0.18,0.28,0.44,0.74,1.24,1.77,2.32,0.48,0.64,0.67,0.95,1.94,0.25,-2.13,-2.46,-2.64,0.76,-0.27,-0.46,0.79,1.00,1.79,1.57
26,EPS Diluted,-1.51,0.03,0.17,0.28,0.42,0.71,1.19,1.71,2.26,0.47,0.63,0.67,0.94,1.94,0.25,-2.15,-2.46,-2.65,0.76,-0.27,-0.46,0.77,0.97,1.74,1.55
27,Weighted Average Shares Outstanding,56798864,52168000,61480000,74748000,87502000,90814000,96214000,101629000,100974000,96190000,93705000,89833000,86570000,81209410,74498000,67069734,66738000,67521038,67860000,68373000,68949000,69598000,70088000,69414000,70024000
28,Weighted Average Shares Outstanding Diluted,56798864,54376000,63512000,77560000,90780000,95094000,100522000,105004000,103383000,98065000,94407000,90089000,86570000,81209410,74498000,67069734,66738000,67521038,68328000,68373000,68949000,71482000,72085000,71265000,70881000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1046568/000095013199001568/0000950131-99-001568-index.html,- -,https://www.sec.gov/Archives/edgar/data/1046568/000095013101500406/0000950131-01-500406-index.html,- -,https://www.sec.gov/Archives/edgar/data/1046568/000104746903008241/0001047469-03-008241-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000104746904007630/0001047469-04-007630-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000104746905006640/0001047469-05-006640-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000104746906002884/0001047469-06-002884-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000110465907015642/0001104659-07-015642-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312508041800/0001193125-08-041800-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312509034169/0001193125-09-034169-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312510040894/0001193125-10-040894-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312511041891/0001193125-11-041891-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1046568/000119312513083541/0001193125-13-083541-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312514071178/0001193125-14-071178-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312515075170/0001193125-15-075170-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459016013719/0001564590-16-013719-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459017002207/0001564590-17-002207-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459018002683/0001564590-18-002683-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459019003457/0001564590-19-003457-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459020005289/0001564590-20-005289-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459021008099/0001564590-21-008099-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459022006719/0001564590-22-006719-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18900000,23500000,44700000,33742000,39675000,33474000,161235000,349458000,132308000,188058000,215478000,244743000,284473000,289482000,280592000,240560000,318943000,93832000,66919000,49507000,18110000,32394000,108687000,105684000,319982000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,272093000,259766000,166618000,263953000,200379000,159671000,160607000,63876000,31592000,122858000,114901000,147681000,156178000,196428000,185488000,300676000,174213000
33,Cash and Short-Term Investments,18900000,23500000,44700000,33742000,39675000,33474000,161235000,349458000,404401000,447824000,382096000,508696000,484852000,449153000,441199000,304436000,350535000,216690000,181820000,197188000,174288000,228822000,294175000,406360000,494195000
34,Net Receivables,12200000,12400000,15900000,33651000,62813000,82320000,117360000,91360000,81462000,56244000,64704000,68310000,63079000,66419000,63487000,72785000,62090000,43489000,36812000,23754000,20038000,31318000,56399000,47555000,44725000
35,Inventory,600000,4500000,7800000,2874000,6808000,7407000,11652000,17347000,14090000,16713000,15031000,12352000,11271000,13142000,11356000,8575000,6741000,3305000,3353000,1868000,1112000,763000,576000,596000,904000
36,Other Current Assets,4900000,500000,1100000,15963000,21298000,26043000,45544000,54435000,78601000,141662000,125566000,78114000,69633000,90643000,94436000,157765000,40651000,117320000,66978000,25383000,15282000,8545000,9235000,12550000,14629000
37,Total Current Assets,36600000,40900000,69500000,86230000,130594000,149244000,335791000,512600000,578554000,662443000,587397000,667472000,628835000,619357000,610478000,543561000,460017000,380804000,288963000,248193000,210720000,269448000,360385000,467061000,554453000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349788000,- -,- -,- -,- -,- -,- -,- -,- -,72534000,65019000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,349703000,383844000,376072000,377515000,381476000,212626000,133025000,87356000,87356000,87356000,87356000,87356000,87356000,87356000,118312000,162579000
40,Intangible Assets,33600000,42600000,70500000,93634000,204596000,212444000,477035000,484777000,478870000,33984000,44395000,39904000,178520000,118763000,77186000,61681000,40117000,9819000,9300000,8500000,7900000,7900000,7900000,15522000,32208000
41,Intangible Assets,33600000,42600000,70500000,93634000,204596000,212444000,477035000,484777000,478870000,383687000,428239000,415976000,556035000,500239000,289812000,194706000,127473000,97175000,96656000,95856000,95256000,95256000,95256000,133834000,194787000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1289000,11440000,3659000,5092000,9522000,48070000,10644000,- -,137716000,158272000,98084000,81628000,60169000,40351000,25114000
44,Other Non-Current Assets,47400000,49400000,70500000,100835000,155599000,224448000,306324000,389635000,448681000,379533000,349541000,322435000,375313000,436168000,56520000,336366000,206911000,95555000,87580000,57280000,43036000,36161000,83336000,7737000,8060000
45,Total Non-Current Assets,81000000,92000000,141000000,194469000,360195000,436892000,783359000,874412000,927551000,763220000,779069000,749851000,935007000,941499000,705642000,579142000,345028000,192730000,321952000,311408000,236376000,213045000,238761000,254456000,292980000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,117600000,132900000,210500000,280699000,490789000,586136000,1119150000,1387012000,1506105000,1425663000,1366466000,1417323000,1563842000,1560856000,1316120000,1122703000,805045000,573534000,610915000,559601000,447096000,482493000,599146000,721517000,847433000
48,Accounts Payable,3600000,2400000,7600000,7608000,14206000,23410000,30627000,38263000,28627000,29861000,26038000,28450000,51108000,56013000,48408000,38440000,24651000,21968000,25906000,10099000,8515000,9195000,11533000,13259000,10838000
49,Short-Term Debt,3900000,300000,2300000,4494000,44369000,30083000,79822000,2274000,627000,12098000,11843000,354000,- -,- -,844000,80211000,- -,10000000,38000000,- -,- -,- -,11784000,11784000,9400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211000
51,Deferred Revenue,- -,- -,- -,- -,- -,52904000,113610000,166743000,152007000,131651000,151626000,153727000,184411000,176102000,144947000,112038000,61131000,37572000,40112000,28364000,22897000,32351000,24647000,34534000,70613000
52,Other Current Liabilities,15300000,22200000,33800000,44812000,61798000,53811000,82562000,113376000,145493000,138893000,181104000,172764000,206490000,231958000,135244000,122026000,121650000,131643000,88787000,130749000,81274000,55506000,55849000,44238000,49393000
53,Total Current Liabilities,22800000,24900000,43700000,56914000,120373000,160208000,306621000,320656000,326754000,312503000,370611000,355295000,442009000,464073000,329443000,352715000,207432000,201183000,192805000,169212000,112686000,97052000,103813000,103815000,140244000
54,Long-Term Debt,60100000,22300000,47600000,14626000,45553000,2686000,25453000,21591000,16358000,2763000,2179000,1889000,- -,- -,207000,- -,- -,- -,- -,- -,- -,- -,- -,- -,35549000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97644000,91725000,103996000,102079000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1200000,- -,4100000,6185000,8245000,1616000,18366000,39972000,31212000,16527000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,3400000,1100000,1400000,2081000,10213000,15929000,20890000,19962000,95534000,111469000,107568000,14843000,108584000,58403000,78410000,158198000,142229000,90418000,80500000,68886000,38205000,30238000,64038000,61795000,21530000
58,Total Non-Current Liabilities,64700000,23400000,53100000,22892000,64011000,20231000,64709000,81525000,143104000,130759000,109747000,114376000,200309000,162399000,180696000,158198000,142229000,90418000,80500000,68886000,38205000,30238000,64038000,61795000,57079000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3142000,2006000,1051000,- -,- -,- -,- -,- -,- -,- -,52391000,53194000,44949000
61,Total Liabilities,87500000,48300000,96800000,79806000,184384000,180439000,371330000,402181000,469858000,443262000,480358000,469671000,642318000,626472000,510139000,510913000,349661000,291601000,273305000,238098000,150891000,127290000,167851000,165610000,197323000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,100000,203000,447000,460000,1002000,1025000,1033000,1069000,930000,933000,954000,812000,820000,816000,819000,823000,830000,835000,843000,852000,860000,873000,887000
64,Retained Earnings,-12000000,-10100000,800000,22255000,60610000,128082000,247250000,408218000,642096000,675188000,736603000,807500000,889057000,356991000,375607000,232921000,68658000,-109403000,-57518000,-76230000,-108127000,-52946000,18071000,142335000,251972000
65,Other Comprehensive Income/Loss,-7300000,-14200000,-24500000,-39761000,-63349000,-95470000,-137020000,-179267000,2000000,6000000,16000000,6000000,8000000,-449542000,-5136000,-5000000,-1000000,-1000000,-1000000,-381415000,-213825000,-198052000,-92933000,364000,-96000
66,Other Total Stockholders Equity,49400000,108900000,137300000,218196000,308697000,372625000,636588000,754855000,391118000,300144000,132575000,133219000,23513000,1026123000,434690000,383053000,386907000,391513000,395298000,778313000,617314000,605349000,505297000,412335000,397347000
67,Total Stockholders Equity,30100000,84600000,113700000,200893000,306405000,405697000,747820000,984831000,1036247000,982401000,886108000,947652000,921524000,934384000,805981000,611790000,455384000,281933000,337610000,321503000,296205000,355203000,431295000,555907000,650110000
68,Total Liabilities And Stockholders Equity,117600000,132900000,210500000,280699000,490789000,586136000,1119150000,1387012000,1506105000,1425663000,1366466000,1417323000,1563842000,1560856000,1316120000,1122703000,805045000,573534000,610915000,559601000,447096000,482493000,599146000,721517000,847433000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,117600000,132900000,210500000,280699000,490789000,586136000,1119150000,1387012000,1506105000,1425663000,1366466000,1417323000,1563842000,1560856000,1316120000,1122703000,805045000,573534000,610915000,559601000,447096000,482493000,599146000,721517000,847433000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1046568/000095013199001568/0000950131-99-001568-index.html,- -,https://www.sec.gov/Archives/edgar/data/1046568/000095013101500406/0000950131-01-500406-index.html,- -,https://www.sec.gov/Archives/edgar/data/1046568/000104746903008241/0001047469-03-008241-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000104746904007630/0001047469-04-007630-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000104746905006640/0001047469-05-006640-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000104746906002884/0001047469-06-002884-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000110465907015642/0001104659-07-015642-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312508041800/0001193125-08-041800-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312509034169/0001193125-09-034169-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312510040894/0001193125-10-040894-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312511041891/0001193125-11-041891-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1046568/000119312513083541/0001193125-13-083541-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312514071178/0001193125-14-071178-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312515075170/0001193125-15-075170-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459016013719/0001564590-16-013719-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459017002207/0001564590-17-002207-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459018002683/0001564590-18-002683-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459019003457/0001564590-19-003457-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459020005289/0001564590-20-005289-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459021008099/0001564590-21-008099-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459022006719/0001564590-22-006719-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-900000,4300000,10900000,21406000,38355000,67472000,119168000,179619000,233878000,46569000,59553000,60142000,81219000,157773000,18573000,-142796000,-164263000,-178163000,51885000,-18712000,-31897000,55181000,69982000,124264000,109637000
74,Depreciation and Amortization,8200000,12200000,14600000,20594000,30818000,33636000,44177000,57816000,78720000,86415000,78183000,77688000,67596000,71624000,85367000,81813000,73150000,55455000,24938000,22747000,13990000,9394000,9145000,14786000,16766000
75,Deferred Income Tax,-1000000,-1300000,800000,4363000,13167000,-383000,11489000,7439000,-76000,-30018000,-14981000,-749000,-8702000,-17007000,14226000,-42014000,58087000,14250000,-145807000,-18087000,64225000,17863000,21556000,20353000,15330000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11522000,16516000,17318000,14831000,9687000,6699000,4277000,2857000,3237000,4970000,5614000,9274000,13379000,14972000
77,Change in Working Capital,-7200000,- -,2200000,9800000,3516000,-19095000,-21185000,40134000,162774000,59856000,98140000,-133154000,95391000,-125351000,-31542000,125751000,-90189000,61739000,-72964000,-83463000,-17177000,19053000,74362000,84176000,-9933000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42766000,-52000000,-68815000,-81666000,17913000,56072000,13281000,-1517000,6925000,5129000,-10541000,-33697000,7092000,6631000
79,Inventory,-4000000,800000,-2800000,-7662000,-3435000,-8937000,-16356000,231000,-29771000,-837000,6552000,11831000,2730000,-1542000,3418000,16244000,40257000,-1877000,6160000,2783000,8742000,3053000,-1180000,3031000,3285000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1505000,22507000,4364000,-3803000,-11984000,-8463000,-830000,2539000,-16264000,-1588000,698000,2320000,374000,-2744000
81,Other Working Capital,13800000,13800000,16000000,25800000,29316000,10221000,-10964000,29170000,191944000,251800000,349940000,216786000,312177000,186826000,155284000,281035000,190846000,252585000,179621000,96158000,78981000,98034000,172396000,256572000,-19169000
82,Other Non-Cash Items,700000,7000000,5700000,-30527000,-33875000,24600000,79638000,91146000,-97071000,53568000,-19082000,171271000,36231000,167902000,128995000,-49239000,30712000,-76182000,117405000,100190000,-55900000,-50118000,-111234000,-77002000,44344000
83,Cash Provided by Operating Activities,-200000,22200000,34200000,25636000,51981000,106230000,233287000,376154000,378225000,216390000,201813000,186720000,288251000,272259000,230450000,-16798000,-85804000,-118624000,-21686000,5912000,-21789000,56987000,73085000,179956000,191116000
84,CAPEX,-43700000,-12200000,-55900000,-28453000,-54550000,-60871000,-100272000,-142781000,-125626000,-69473000,-57586000,-53854000,-74087000,-127283000,-78333000,-37944000,-19636000,-13156000,-11695000,-4129000,-6332000,-6732000,-5174000,-9768000,-10453000
85,Acquisitions Net,- -,- -,- -,-34924000,-46165000,-7053000,-90164000,-43000,-1019000,- -,-30324000,- -,-26331000,-23046000,-9536000,-1721000,156816000,-1575000,-5381000,-62000,- -,- -,- -,-39819000,-57143000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-920163000,-938033000,-644977000,-580970000,-617032000,-291864000,-189258000,-147085000,-40842000,-157425000,-93360000,-160590000,-256243000,-309784000,-449367000,-403673000,-269739000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,648097000,950508000,740108000,483635000,668281000,332445000,188322000,246464000,73070000,64920000,100173000,126830000,250928000,275024000,462325000,287249000,391659000
88,Other Investing Activites,-1500000,-200000,- -,- -,23000,-163000,-10000,1054000,-826000,545000,-2408000,402000,-132000,88000,6219000,-1359000,-2542000,-387000,2272000,3600000,- -,- -,-85000,103000,- -
89,Cash Used for Investing Activites,-45200000,-12400000,-55900000,-63377000,-100692000,-68087000,-190446000,-141770000,-399537000,-56453000,4813000,-150787000,-49301000,-109660000,-82586000,58355000,166866000,-107623000,-7991000,-34351000,-11647000,-41492000,7699000,-165908000,54324000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10703000,-1066000,-5292000,-989000,-1162000,-80210000,- -,-10000000,-38000000,- -,- -,- -,- -,- -
91,Common Stock Issued,22400000,52800000,16600000,67952000,10971000,14254000,27894000,31528000,14801000,37676000,34486000,3239000,2797000,3109000,4370000,1599000,998000,1354000,1401000,773000,2722000,1682000,1774000,5723000,861000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-200158000,-166161000,-224264000,-14055000,-201119000,-154913000,-150445000,-56431000,- -,- -,- -,- -,- -,- -,-3875000,-17862000,-25296000
93,Dividends Paid,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,34800000,-57700000,26100000,-41063000,43937000,-58751000,53515000,-82443000,-4346000,17246000,4060000,471000,237000,223000,376000,-23696000,85315000,-374000,11117000,48446000,-1187000,-3345000,-2740000,-912000,-5511000
95,Cash Used/Provided by Financing Activities,56700000,-4900000,42700000,26889000,54908000,-44497000,81409000,-50915000,-189703000,-111239000,-185718000,-21048000,-199151000,-156873000,-146688000,-79690000,6103000,980000,2518000,11219000,1535000,-1663000,-4841000,-13051000,-29946000
96,Effect of Forex Changes on Cash,-100000,-300000,200000,-151000,-264000,153000,3511000,4754000,-6135000,8810000,6717000,-7732000,415000,-1316000,-10066000,-1837000,-8844000,156000,246000,-192000,-82000,- -,13000,- -,- -
97,Net Change In Cash,56700000,-4900000,21200000,-11003000,5933000,-6201000,127761000,188223000,-217150000,57508000,27625000,22773000,41619000,5148000,19948000,-40032000,206059000,-224636000,-26913000,-17412000,-31983000,13832000,75956000,997000,215494000
98,Cash at the End of Period,- -,- -,44700000,33742000,39675000,33474000,161235000,349458000,132308000,189816000,215478000,244743000,284473000,289482000,280592000,240560000,318943000,93832000,66919000,49507000,18899000,32731000,108687000,109684000,325178000
99,Cash at the Beginning of Period,7800000,18900000,23500000,44745000,33742000,39675000,33474000,161235000,349458000,132308000,187853000,221970000,242854000,284334000,260644000,280592000,112884000,318468000,93832000,66919000,50882000,18899000,32731000,108687000,109684000
100,Free Cash Flow,-43900000,10000000,-21700000,-2817000,-2569000,45359000,133015000,233373000,252599000,146917000,144227000,132866000,214164000,144976000,152117000,-54742000,-105440000,-131780000,-33381000,1783000,-28121000,50255000,67911000,170188000,180663000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1046568/000095013199001568/0000950131-99-001568-index.html,- -,https://www.sec.gov/Archives/edgar/data/1046568/000095013101500406/0000950131-01-500406-index.html,- -,https://www.sec.gov/Archives/edgar/data/1046568/000104746903008241/0001047469-03-008241-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000104746904007630/0001047469-04-007630-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000104746905006640/0001047469-05-006640-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000104746906002884/0001047469-06-002884-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000110465907015642/0001104659-07-015642-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312508041800/0001193125-08-041800-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312509034169/0001193125-09-034169-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312510040894/0001193125-10-040894-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312511041891/0001193125-11-041891-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1046568/000119312513083541/0001193125-13-083541-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312514071178/0001193125-14-071178-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000119312515075170/0001193125-15-075170-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459016013719/0001564590-16-013719-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459017002207/0001564590-17-002207-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459018002683/0001564590-18-002683-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459019003457/0001564590-19-003457-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459020005289/0001564590-20-005289-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459021008099/0001564590-21-008099-index.htm,https://www.sec.gov/Archives/edgar/data/1046568/000156459022006719/0001564590-22-006719-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
