,https://roic.ai/company/NNI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,48538000,27103000,149179000,181122000,68155000,32854000,28662000,139125000,189034000,204335000,177997000,302672000,307610000,267979000,256751000,173166000,227913000,141803000,352443000,393286000
74,Depreciation and Amortization,- -,- -,93864000,101375000,96725000,109077000,169066000,261385000,141605000,116038000,31811000,72557000,116781000,79484000,107969000,123736000,122547000,137823000,184682000,192662000,534000,132325000
75,Deferred Income Tax,- -,- -,-8475000,-3197000,11781000,46507000,-6380000,24979000,-9468000,-19057000,4273000,-7726000,-23829000,2539000,19659000,7049000,27005000,-1544000,10981000,-7265000,23747000,55622000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,7320000,2644000,2280000,2029000,3020000,3329000,4699000,5347000,4348000,4416000,6539000,6781000,16739000,- -
77,Change in Working Capital,- -,- -,-5507000,- -,14706626000,-15095432000,-70630000,108825000,965971000,-234825000,25836000,-79395000,208124000,-115905000,136452000,-100469000,-804502000,12153000,-179715000,-27021000,-18667067000,24206000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,6996000,45000,-10571000,18180000,883000,8341000,5205000,-3819000,-7439000,-39203000,-248869000,-54586000,21343000,-86982000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-47870000,-61745000,-678000,-538000,-4864000,-433000,3009000,5117000,14170000,4362000,11640000,-14394000,- -,40404000
81,Other Working Capital,- -,- -,- -,- -,14706626000,-388806000,-459436000,-350611000,615360000,380535000,406371000,326976000,535100000,419195000,555647000,455178000,-349324000,-337171000,-516886000,-543907000,-19210974000,- -
82,Other Non-Cash Items,- -,- -,5790000,27718000,-14723229000,14917834000,55031000,-154983000,-812987000,320781000,-58366000,119062000,-182775000,115061000,-218940000,87723000,719108000,-98506000,20492000,-8045000,18216852000,-60572000
83,Cash Provided by Operating Activities,- -,- -,134210000,152999000,241082000,159108000,215242000,273060000,321103000,324706000,194868000,310862000,299318000,387180000,357449000,391365000,325257000,227508000,270892000,298915000,-56752000,544867000
84,CAPEX,- -,- -,-13408000,-16361000,-16456000,-19195000,-51945000,-20061000,-5141000,-1204000,-12770000,-14167000,-9944000,-17010000,-26488000,-16761000,-67602000,-156005000,-125023000,-92499000,- -,-58952000
85,Acquisitions Net,- -,- -,- -,- -,- -,-228000000,-111000000,12000000,-18000000,- -,-3000000,-14000000,- -,- -,-47000000,-47000000,- -,5000000,-13000000,- -,-30000000,- -
86,Purchases of Investments,- -,- -,- -,-449959000,-954489000,-878089000,-765817000,-471347000,-2988000,- -,- -,- -,-190250000,-240196000,-238923000,-194424000,-117034000,-157862000,-113464000,-104260000,-342563000,-996911000
87,Sales/Maturities of Investments,- -,- -,267089000,442610000,853348000,999439000,797313000,530496000,- -,- -,- -,- -,165854000,103250000,241793000,125557000,160150000,168085000,94454000,70577000,- -,393399000
88,Other Investing Activites,- -,- -,-1904866000,-2058493000,-2965400000,-6392951000,-3786410000,-2520049000,1086055000,1814809000,-145527000,1467990000,-758314000,650536000,-38890000,1549990000,3283901000,3410872000,-575318000,1650748000,1106782000,1848399000
89,Cash Used for Investing Activites,- -,- -,-1637777000,-2065842000,-3082997000,-6518796000,-3917859000,-2468961000,1059926000,1813605000,-161297000,1439823000,-792654000,496580000,-109508000,1417362000,3259415000,3270090000,-732351000,1524566000,621219000,1185935000
90,Debt Repayment,- -,- -,-2259769000,-2350860000,-3536093000,-460885000,-5071626000,-5801219000,-6930484000,-6675009000,-5574162000,-3045663000,-4444099000,-5153057000,-3632741000,-4368180000,-4134890000,-5403224000,-3113503000,-4712908000,-49000,-3683770000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,710000,449000,528000,512000,480000,561000,656000,801000,889000,678000,1359000,1552000,1653000,1465000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-1536000,-430000,-39805000,-27134000,-22814000,-13136000,-15713000,-96169000,-69091000,-68896000,-45331000,-40411000,-73358000,-58111000
93,Dividends Paid,- -,- -,-2994000,- -,- -,- -,- -,- -,-3458000,-3492000,-34131000,-17763000,-66237000,-18569000,-18542000,-19025000,-21188000,-24097000,-26839000,-29485000,-31778000,-34457000
94,Other Financing Activites,- -,- -,3770045000,4421971000,6219750000,6883959000,8776521000,8002232000,5631840000,4688505000,5559619000,1098132000,5049467000,4297677000,3485613000,2606894000,645733000,1995039000,3896098000,2987981000,-994708000,2279986000
95,Cash Used/Provided by Financing Activities,- -,- -,1507282000,2071111000,2683657000,6423074000,3704895000,2201013000,-1302928000,-1989977000,-87951000,-1991916000,516797000,-886524000,-180727000,-1875679000,-3578547000,-3500500000,711784000,-1793271000,-1098240000,-1494887000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-176000,275000,158000,548000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-121000
97,Net Change In Cash,- -,- -,3715000,158268000,-158434000,63661000,2436000,5660000,78101000,148334000,-54380000,-241231000,23461000,-2764000,67214000,-66952000,6125000,-2902000,250325000,30210000,80247000,235794000
98,Cash at the End of Period,- -,- -,40155000,198423000,39989000,103650000,106086000,111746000,189847000,338181000,283801000,42570000,66031000,63267000,130481000,63529000,69654000,66752000,1192391000,1222601000,162958000,1194189000
99,Cash at the Beginning of Period,- -,- -,36440000,40155000,198423000,39989000,103650000,106086000,111746000,189847000,338181000,283801000,42570000,66031000,63267000,130481000,63529000,69654000,942066000,1192391000,82711000,958395000
100,Free Cash Flow,- -,- -,120802000,136638000,224626000,139913000,163297000,252999000,315962000,323502000,182098000,296695000,289374000,370170000,330961000,374604000,257655000,71503000,145869000,206416000,-56752000,485915000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1258602/000095013707003140/0000950137-07-003140-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000136231008001178/0001362310-08-001178-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000136231009003070/0001362310-09-003070-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000143774910000526/0001437749-10-000526-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000143774911001250/0001437749-11-001250-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860212000024/0001258602-12-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860213000022/0001258602-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860214000023/0001258602-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860215000019/0001258602-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860216000064/0001258602-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860217000020/0001258602-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860218000021/0001258602-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860219000022/0001258602-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860220000019/0001258602-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860221000027/0001258602-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1258602/000125860222000024/0001258602-22-000024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
