,https://roic.ai/company/AMD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,11000000,10000000,8000000,5000000,3000000,- -,2000000,6000000,18000000,15000000,8000000,8000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-1800000,- -,4700000,-16300000,-35000000,-42800000,- -,-31900000,-40700000,-82900000,-92800000,-211500000,- -,-367000000,-366000000,-458000000,199000000,180000000,175000000,177000000,177000000,160000000,156000000,126000000,121000000,94000000,47000000,34000000
14,Depreciation and Amortization,- -,112800000,152700000,153200000,136400000,128300000,155900000,152300000,175067000,215984000,262501000,332640000,394465000,467521000,515520000,579070000,622867000,756169000,995663000,1224252000,1219344000,837000000,1138000000,1223000000,1128000000,383000000,317000000,260000000,236000000,203000000,167000000,133000000,144000000,170000000,258000000,354000000,463000000
15,EBITDA,- -,28100000,107100000,172500000,186300000,74700000,301200000,423900000,492819000,673184000,675760000,183340000,301865000,236621000,551220000,1818964000,515867000,-542945000,641199000,1228490000,1166702000,694000000,-2585000000,-2173000000,1158000000,1091000000,984000000,-782000000,339000000,-18000000,-319000000,-169000000,256000000,619000000,737000000,1681000000,4172000000
16,EBITDA ratio,- -,0.0488,0.1074,0.1532,0.1687,0.0705,0.2456,0.2799,0.2990,0.3154,0.2781,0.0939,0.1281,0.0931,0.1929,0.3917,0.1326,-0.2013,0.1822,0.2456,0.1995,0.1229,-0.4299,-0.3741,0.2143,0.1680,0.1498,-0.1442,0.0640,-0.0033,-0.0799,-0.0396,0.0487,0.0956,0.1095,0.1722,0.2539
17,Operating Income,- -,-77800000,-16200000,31500000,38500000,-51200000,109100000,269900000,305053000,513139000,348277000,-253310000,-90653000,-163642000,-320916000,888736000,-58258000,-1225386000,-233384000,220809000,231655000,-47000000,-2865000000,-1955000000,664000000,848000000,368000000,-1056000000,103000000,-155000000,-481000000,-372000000,204000000,451000000,631000000,1369000000,3648000000
18,Operating Income ratio,- -,-0.1350,-0.0162,0.0280,0.0349,-0.0483,0.0889,0.1782,0.1851,0.2404,0.1433,-0.1297,-0.0385,-0.0644,-0.1123,0.1914,-0.0150,-0.4544,-0.0663,0.0441,0.0396,-0.0083,-0.4765,-0.3366,0.1229,0.1306,0.0560,-0.1948,0.0194,-0.0282,-0.1205,-0.0871,0.0388,0.0697,0.0937,0.1402,0.2220
19,Total Other Income Expenses (Gains),- -,-6900000,-29400000,4000000,11400000,5900000,57000000,1700000,12699000,-43539000,30056000,44510000,-10147000,-43758000,394516000,363163000,-35642000,-39214000,-88816000,-142509000,-197955000,-166000000,-456000000,-391000000,-256000000,123000000,-369000000,-161000000,-177000000,-243000000,-165000000,-76000000,-212000000,-121000000,-259000000,-94000000,21000000
20,Income Before Tax,- -,-84700000,-45600000,- -,49900000,- -,- -,271600000,317752000,469600000,378333000,-208800000,-100800000,-207400000,73600000,1251899000,-93900000,-1264600000,-322200000,78300000,33700000,-213000000,-3321000000,-2346000000,408000000,971000000,-1000000,-1217000000,-74000000,-398000000,-646000000,-448000000,-8000000,330000000,372000000,1275000000,3669000000
21,Income Before Tax Ratio,- -,-0.1470,-0.0457,- -,0.0452,- -,- -,0.1793,0.1928,0.2200,0.1557,-0.1069,-0.0428,-0.0816,0.0258,0.2696,-0.0241,-0.4689,-0.0916,0.0157,0.0058,-0.0377,-0.5523,-0.4039,0.0755,0.1495,-0.0002,-0.2245,-0.0140,-0.0723,-0.1619,-0.1049,-0.0015,0.0510,0.0553,0.1306,0.2233
22,Income Tax expense (Gain),- -,-48100000,2500000,- -,3800000,- -,- -,26600000,88971000,153700000,112738000,-85000000,-55200000,-91900000,167400000,256868000,-14500000,44586000,2936000,5838000,-6642000,23000000,23000000,68000000,112000000,38000000,-4000000,-34000000,9000000,5000000,14000000,39000000,19000000,-9000000,44000000,-1210000000,513000000
23,Net Income,- -,-36600000,-48100000,19300000,46100000,-53600000,145300000,245000000,228781000,305300000,300521000,-69000000,-21100000,-104000000,-88900000,983026000,-60600000,-1303000000,-274500000,91200000,165500000,-166000000,-3379000000,-3098000000,376000000,471000000,491000000,-1183000000,-83000000,-403000000,-660000000,-497000000,-33000000,337000000,341000000,2490000000,3162000000
24,Net Income ratio,- -,-0.0635,-0.0482,0.0171,0.0417,-0.0506,0.1185,0.1618,0.1388,0.1430,0.1237,-0.0353,-0.0090,-0.0409,-0.0311,0.2117,-0.0156,-0.4831,-0.0780,0.0182,0.0283,-0.0294,-0.5619,-0.5334,0.0696,0.0725,0.0748,-0.2182,-0.0157,-0.0732,-0.1654,-0.1163,-0.0063,0.0520,0.0507,0.2550,0.1924
25,EPS,- -,-0.33,-0.36,0.06,0.22,-0.39,0.77,1.29,0.88,1.51,1.43,-0.26,-0.07,-0.36,-0.30,3.18,-0.18,-3.81,-0.79,0.25,0.41,-0.34,-6.06,-5.10,0.46,0.66,0.68,-1.60,-0.11,-0.53,-0.84,-0.60,0.04,0.34,0.31,2.10,2.67
26,EPS Diluted,- -,-0.33,-0.36,0.06,0.22,-0.39,0.76,1.25,0.82,1.46,1.41,-0.26,-0.07,-0.36,-0.30,2.89,-0.18,-3.81,-0.79,0.25,0.40,-0.34,-6.06,-5.10,0.45,0.64,0.66,-1.60,-0.11,-0.53,-0.84,-0.60,0.04,0.32,0.30,2.06,2.62
27,Weighted Average Shares Outstanding,- -,110909091,155277778,148333333,162272727,164102564,175194805,181860465,190216000,195020000,211150000,271374000,280906000,287336000,294136000,309331000,332407000,342334000,346934000,358886000,400004000,492000000,558000000,607000000,673000000,711000000,727000000,741000000,754000000,768000000,783000000,835000000,952000000,982000000,1091000000,1184000000,1184000000
28,Weighted Average Shares Outstanding Diluted,- -,110909091,155277778,148333333,162272727,164102564,177500000,187680000,204126000,209140000,214070000,271374000,280906000,287336000,294136000,350000000,332407000,342334000,346934000,371066000,440776000,492000000,558000000,607000000,678000000,733000000,742000000,741000000,754000000,768000000,783000000,835000000,1039000000,1064000000,1120000000,1207000000,1207000000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2488/000095013195000530/0000950131-95-000530-index.html,https://www.sec.gov/Archives/edgar/data/2488/0000898430-96-003467-index.html,https://www.sec.gov/Archives/edgar/data/2488/000101287097000533/0001012870-97-000533-index.html,- -,https://www.sec.gov/Archives/edgar/data/2488/000101287099000892/0001012870-99-000892-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/2488/000101287002001071/0001012870-02-001071-index.html,https://www.sec.gov/Archives/edgar/data/2488/000101287003001181/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312504037179/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312505039876/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312506040130/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312507044191/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312508038588/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312509036235/0001193125-09-036235-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312510035218/0001193125-10-035218-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312511040392/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312512075837/0001193125-12-075837-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312513069422/0001193125-13-069422-index.html,- -,https://www.sec.gov/Archives/edgar/data/2488/000119312515054362/d871455d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/0000002488-16-000111-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/0000002488-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/0000002488-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/0000002488-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/0000002488-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/0001628280-21-001185-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15400000,- -,286800000,79700000,49100000,153900000,52000000,60423000,378000000,113354000,166000000,241000000,362000000,294000000,591457000,427000000,429000000,1186000000,918000000,633000000,1380000000,1432000000,933000000,1657000000,606000000,869000000,549000000,869000000,805000000,785000000,1264000000,1185000000,1078000000,1466000000,1595000000,2535000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377293000,220000000,226000000,335000000,302000000,701708000,443000000,609000000,128000000,277000000,1162000000,161000000,457000000,163000000,1019000000,1183000000,896000000,453000000,228000000,235000000,- -,- -,- -,78000000,37000000,695000000,1073000000
33,Cash and Short-Term Investments,- -,15400000,- -,286800000,79700000,49100000,153900000,52000000,60423000,378000000,490647000,386000000,467000000,697000000,596000000,1293165000,870000000,1038000000,1314000000,1195000000,1795000000,1541000000,1889000000,1096000000,2676000000,1789000000,1765000000,1002000000,1097000000,1040000000,785000000,1264000000,1185000000,1156000000,1503000000,2290000000,3608000000
34,Net Receivables,- -,109000000,- -,167400000,183600000,153500000,189500000,202100000,263617000,337000000,275733000,320000000,329000000,416000000,430000000,547200000,660000000,396000000,609000000,720000000,949000000,1150000000,640000000,320000000,745000000,968000000,919000000,630000000,832000000,818000000,533000000,311000000,454000000,1235000000,1859000000,2076000000,2708000000
35,Inventory,- -,42500000,- -,90500000,90500000,90000000,91500000,86000000,104050000,129000000,154670000,154000000,169000000,175000000,198000000,343541000,380000000,433000000,698000000,875000000,389000000,814000000,821000000,656000000,567000000,632000000,476000000,562000000,884000000,685000000,678000000,751000000,694000000,845000000,982000000,1399000000,1955000000
36,Other Current Assets,- -,76200000,- -,27600000,239900000,103900000,191300000,397600000,536096000,143000000,175718000,169000000,210000000,274000000,186000000,473783000,443000000,153000000,279000000,438000000,426000000,458000000,466000000,307000000,287000000,205000000,69000000,71000000,71000000,193000000,324000000,204000000,301000000,304000000,253000000,378000000,312000000
37,Total Current Assets,- -,243100000,- -,572300000,593700000,396500000,626200000,737700000,964186000,987000000,1096768000,1029000000,1175000000,1562000000,1410000000,2657689000,2353000000,2020000000,2900000000,3228000000,3559000000,3963000000,3816000000,2379000000,4275000000,3594000000,3229000000,2265000000,2884000000,2736000000,2320000000,2530000000,2634000000,3540000000,4597000000,6143000000,8583000000
38,PP&E,- -,486500000,- -,495500000,505900000,647000000,626300000,693300000,904326000,1264000000,1636092000,1787000000,1991000000,2268000000,2523000000,2636467000,2739000000,7039663000,10072394000,11037583000,5487605000,7337000000,7888000000,7158000000,3809000000,700000000,726000000,658000000,346000000,302000000,188000000,164000000,261000000,348000000,500000000,849000000,1069000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3217000000,1907000000,323000000,323000000,323000000,323000000,553000000,553000000,320000000,278000000,289000000,289000000,289000000,289000000,289000000,289000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1207000000,587000000,168000000,98000000,37000000,- -,96000000,358000000,65000000,189000000,232000000,239000000,226000000,210000000,229000000,328000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4424000000,2494000000,491000000,421000000,360000000,323000000,649000000,911000000,385000000,467000000,521000000,528000000,515000000,499000000,518000000,617000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,- -,197000000,204000000,237000000,274000000,- -,364000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,427000000,181000000,90000000,- -,- -,59000000,58000000,58000000,58000000,63000000,69000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,- -,95000000,96000000,35000000,60000000,- -,105000000,- -,158000000,104000000,93000000,- -,6000000,91000000,197000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,1245000000,931000000
44,Other Non-Current Assets,- -,1900000,- -,13500000,22800000,68200000,39300000,17100000,60719000,27000000,298408000,37000000,49000000,151000000,111000000,473579000,86000000,-3440663000,-6036394000,-6525583000,-1851605000,-2577000000,-2654000000,-2444000000,376000000,310000000,249000000,247000000,106000000,344000000,109000000,47000000,71000000,95000000,363000000,144000000,1150000000
45,Total Non-Current Assets,- -,488400000,- -,509000000,528700000,715200000,665600000,710400000,965045000,1459000000,1934500000,2116000000,2340000000,2691000000,2968000000,3110046000,3294000000,3599000000,4194000000,4616000000,3729000000,9184000000,7734000000,5296000000,4803000000,1370000000,1725000000,1735000000,1453000000,1031000000,764000000,791000000,918000000,1016000000,1431000000,2819000000,3836000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,731500000,- -,1081300000,1122400000,1111700000,1291800000,1448100000,1929231000,2446000000,3031268000,3145000000,3515000000,4253000000,4378000000,5767735000,5647000000,5619000000,7094000000,7844000000,7288000000,13147000000,11550000000,7675000000,9078000000,4964000000,4954000000,4000000000,4337000000,3767000000,3084000000,3321000000,3552000000,4556000000,6028000000,8962000000,12419000000
48,Accounts Payable,- -,- -,- -,- -,67700000,84600000,74400000,61700000,127151000,149000000,223708000,224000000,360000000,334000000,387000000,477369000,305000000,352000000,493000000,655000000,856000000,1338000000,1009000000,631000000,647000000,376000000,540000000,278000000,519000000,415000000,279000000,440000000,384000000,834000000,988000000,468000000,1321000000
49,Short-Term Debt,- -,10800000,- -,61800000,52400000,61000000,168600000,46700000,52199000,32000000,56931000,15000000,7000000,6000000,- -,129570000,63000000,161689000,193266000,230828000,43225000,125000000,238000000,286000000,308000000,233000000,489000000,5000000,60000000,177000000,230000000,- -,70000000,136000000,43000000,- -,312000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100057000,- -,- -,- -,- -,92828000,- -,57184000,102651000,87836000,92606000,169000000,64000000,28000000,9000000,143000000,123000000,108000000,145000000,72000000,53000000,63000000,22000000,- -,- -,- -,- -
52,Other Current Liabilities,- -,131600000,- -,204400000,155700000,171900000,212300000,244100000,275269000,411000000,241040000,344000000,360000000,501000000,524000000,524342000,946000000,801127000,663083000,872336000,830169000,1220000000,1314000000,1281000000,1246000000,922000000,622000000,1006000000,894000000,776000000,841000000,843000000,1037000000,1014000000,1328000000,1949000000,2607000000
53,Total Current Liabilities,- -,142400000,- -,266200000,275800000,317500000,455300000,352500000,454619000,592000000,621736000,583000000,727000000,841000000,911000000,1224109000,1314000000,1372000000,1452000000,1846000000,1822000000,2852000000,2625000000,2226000000,2210000000,1674000000,1774000000,1397000000,1618000000,1440000000,1403000000,1346000000,1513000000,1984000000,2359000000,2417000000,4240000000
54,Long-Term Debt,- -,151600000,- -,130400000,126400000,131300000,42000000,19700000,79504000,76000000,214965000,445000000,663000000,1372000000,1427000000,1167973000,673000000,1780000000,1900000000,1628000000,1327000000,3672000000,5031000000,4702000000,4252000000,2188000000,1527000000,2037000000,1998000000,2035000000,2007000000,1435000000,1325000000,1114000000,486000000,531000000,349000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,48200000,- -,39900000,29300000,26500000,11000000,29100000,42837000,- -,94439000,- -,- -,- -,- -,203986000,- -,- -,- -,- -,- -,31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,- -,- -,- -,100000,100000,100000,- -,42000000,- -,95000000,96000000,35000000,60000000,- -,105000000,- -,1304000000,1360000000,787000000,517000000,904000000,829000000,1968000000,89000000,63000000,28000000,177000000,105000000,86000000,124000000,118000000,192000000,356000000,177000000,333000000
58,Total Non-Current Liabilities,- -,199900000,- -,170300000,155700000,157900000,53100000,48900000,122341000,118000000,309404000,540000000,759000000,1407000000,1487000000,1371959000,778000000,1780000000,3204000000,2988000000,2114000000,4220000000,5935000000,5531000000,6220000000,2277000000,1590000000,2065000000,2175000000,2140000000,2093000000,1559000000,1443000000,1306000000,842000000,708000000,682000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000000,201000000,348000000
61,Total Liabilities,- -,342300000,- -,436500000,431500000,475400000,508400000,401400000,576960000,710000000,931140000,1123000000,1486000000,2248000000,2398000000,2596068000,2092000000,3152000000,4656000000,4834000000,3936000000,7072000000,8560000000,7757000000,8430000000,3951000000,3364000000,3462000000,3793000000,3580000000,3496000000,2905000000,2956000000,3290000000,3201000000,3125000000,4922000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,926000,1000000,1047000,1000000,1000000,1000000,1000000,3141000,3000000,3000000,4000000,4000000,4000000,5000000,6000000,6000000,7000000,7000000,7000000,7000000,7000000,8000000,8000000,9000000,9000000,10000000,12000000,12000000,12000000
64,Retained Earnings,- -,269200000,- -,171700000,207500000,143500000,278500000,513100000,731577000,1036000000,1363256000,1087000000,1066000000,962000000,873000000,1856261000,1796000000,493000000,218000000,308000000,474000000,308000000,-3100000000,-6198000000,-5939000000,-5468000000,-4977000000,-6160000000,-6243000000,-6646000000,-7306000000,-7803000000,-7775000000,-7436000000,-7095000000,-4605000000,-1451000000
65,Other Comprehensive Income/Loss,- -,-297100000,- -,-752300000,-756000000,-802300000,-904300000,-991100000,-1094037000,-1201000000,-1294881000,-24000000,-57000000,-60000000,-34000000,-2825334000,-266000000,49905000,258084000,380970000,163636000,156000000,163000000,108000000,154000000,1000000,-5000000,-3000000,-2000000,-5000000,-8000000,-5000000,6000000,-8000000,- -,17000000,-3000000
66,Other Total Stockholders Equity,- -,417100000,- -,1225400000,1239400000,1295100000,1409200000,1524700000,1713805000,1899000000,2030706000,958000000,1020000000,1102000000,1139000000,4137599000,2022000000,1921360000,1958226000,2317083000,2710201000,5316000000,5921000000,6002000000,6426000000,6473000000,6565000000,6694000000,- -,6830000000,6894000000,8215000000,8371000000,8700000000,9910000000,10413000000,- -
67,Total Stockholders Equity,- -,389200000,- -,644800000,690900000,636300000,783400000,1046700000,1352271000,1735000000,2100128000,2022000000,2030000000,2005000000,1979000000,3171667000,3555000000,2467265000,2438310000,3010053000,3351837000,5785000000,2990000000,-82000000,648000000,1013000000,1590000000,538000000,544000000,187000000,-412000000,416000000,611000000,1266000000,2827000000,5837000000,7497000000
68,Total Liabilities And Stockholders Equity,- -,731500000,- -,1081300000,1122400000,1111700000,1291800000,1448100000,1929231000,2445000000,3031268000,3145000000,3516000000,4253000000,4377000000,5767735000,5647000000,5619265000,7094310000,7844053000,7287837000,12857000000,11550000000,7675000000,9078000000,4964000000,4954000000,4000000000,4337000000,3767000000,3084000000,3321000000,3567000000,4556000000,6028000000,8962000000,12419000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,-1000000,- -,1000000,- -,- -,-265000,-310000,-53000,163000,290000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,731500000,- -,1081300000,1122400000,1111700000,1291800000,1448100000,1929231000,2446000000,3031268000,3145000000,3515000000,4253000000,4378000000,5767735000,5647000000,5619000000,7094000000,7844000000,7288000000,13147000000,11550000000,7675000000,9078000000,4964000000,4954000000,4000000000,4337000000,3767000000,3084000000,3321000000,3552000000,4556000000,6028000000,8962000000,12419000000
71,SEC Link,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2488/000095013195000530/0000950131-95-000530-index.html,https://www.sec.gov/Archives/edgar/data/2488/0000898430-96-003467-index.html,https://www.sec.gov/Archives/edgar/data/2488/000101287097000533/0001012870-97-000533-index.html,- -,https://www.sec.gov/Archives/edgar/data/2488/000101287099000892/0001012870-99-000892-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/2488/000101287002001071/0001012870-02-001071-index.html,https://www.sec.gov/Archives/edgar/data/2488/000101287003001181/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312504037179/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312505039876/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312506040130/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312507044191/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312508038588/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312509036235/0001193125-09-036235-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312510035218/0001193125-10-035218-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312511040392/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312512075837/0001193125-12-075837-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312513069422/0001193125-13-069422-index.html,- -,https://www.sec.gov/Archives/edgar/data/2488/000119312515054362/d871455d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/0000002488-16-000111-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/0000002488-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/0000002488-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/0000002488-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/0000002488-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/0001628280-21-001185-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,46100000,-53600000,145300000,245000000,228781000,305300000,300521000,-69000000,-21100000,-104000000,-88900000,983026000,-60600000,-1303000000,-274500000,91200000,165500000,-166000000,-3379000000,-3098000000,376000000,471000000,491000000,-1183000000,-83000000,-403000000,-660000000,-497000000,-33000000,337000000,341000000,2490000000,3162000000
