,https://roic.ai/company/TEUM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084384/000101738605000046/0001017386-05-000046-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084384/000114420409020778/v146257_10k.htm,https://www.sec.gov/Archives/edgar/data/1084384/000114420410017315/0001144204-10-017315-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420411018565/v216601_10k.htm,https://www.sec.gov/Archives/edgar/data/1084384/000114420412019020/0001144204-12-019020-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420413019750/0001144204-13-019750-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420414019632/v370409_10k.htm,https://www.sec.gov/Archives/edgar/data/1084384/000114420415020658/0001144204-15-020658-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420416091642/0001144204-16-091642-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420417017344/0001144204-17-017344-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420418018243/0001144204-18-018243-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420419014694/0001144204-19-014694-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000110465921035333/0001104659-21-035333-index.htm,https://www.sec.gov/Archives/edgar/data/1084384/000162828021012457/0001628280-21-012457-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,50589,- -,5533,8282,67631,198816,332001,4366312,1656546,1457900,2245697,6009576,1233268,1252315,1904160,369250,931189,13537899,6051709,4447000,8275000
32,Short-Term Investments,11821,- -,- -,- -,- -,- -,- -,442853,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,62410,- -,5533,8282,67631,198816,332001,4809165,1656546,1457900,2245697,6009576,1233268,1252315,1904160,369250,931189,13537899,6051709,4447000,8275000
34,Net Receivables,14172,- -,483662,156192,26106,7200,3625912,4438224,4574013,5071293,5600562,6441528,5123803,5976879,10877213,1384457,614670,2058284,15361594,8307000,12710000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,55777,- -,126454,108912,77520,1842078,169810,414111,2108176,2849135,2528226,1713305,3052136,2445813,2791616,2262387,1649012,1100145,2514605,5908000,9349000
37,Total Current Assets,132359,- -,615649,273386,171257,2048094,4127723,9661500,8338735,9378328,10374485,14164409,9409207,9675007,15572989,4016094,3194871,16696328,23927908,18662000,30334000
38,PP&E,211,- -,651781,203765,128057,86847,158234,3484224,6345113,7773862,8452588,13315687,13088271,19786122,19319202,13051375,8708778,4713710,4553250,6262000,6134000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3230786,3154971,3436731,3773226,3352264,3027422,- -,- -,91773911,10099000,11043000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,11462504,4461869,3910363,16253587,12784199,10503026,8670677,5076208,258630,- -,- -,39658325,15500000,12998000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,11462504,4461869,3910363,19484373,15939170,13939757,12443903,8428472,3286052,- -,- -,131432236,25599000,24041000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,330946,610486,975638,- -,- -,- -,- -,- -,3230208,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,2347137,654301,- -,7569210,9409356,- -,310356,3033277,- -,417199,1038306,1412408,1600335,5038865,1141640,685787,1127772,- -,749000
45,Total Non-Current Assets,211,- -,2998918,858066,128057,7656057,9567590,14946728,11117338,15048448,28547447,30647694,28066334,33642433,29348009,21376292,9850418,8629705,137113258,31861000,30924000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,132570,- -,3614567,1131452,299314,9704151,13695313,24608228,19456073,24426776,38921932,44812103,37475541,43317440,44920998,25392386,13045289,25326033,161041166,50523000,61258000
48,Accounts Payable,8944,- -,1618372,481145,195718,38922,51549,4857229,5809211,- -,- -,4490455,5139292,2586662,1795240,2574425,2316768,1978726,10337629,30374000,36034000
49,Short-Term Debt,- -,- -,1688869,549205,908780,1115042,1078844,7557310,1203938,1232125,1234095,1273105,4380581,3690647,14427791,5890680,4010813,66000,788187,3415000,8450000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288651,255577,570616,708002,127434,877366,2283999,2637000,4193000
51,Deferred Revenue,- -,- -,78937,161539,119888,107422,105105,93661,220058,132205,- -,132467,252551,142731,8874159,1324983,951791,242986,927780,- -,3634000
52,Other Current Liabilities,1784,- -,832761,953187,253376,4159625,6073814,21582764,2783823,9227359,8547813,3035758,4120536,4961303,4061652,5031712,6013620,5250130,7952380,16145000,19449000
53,Total Current Liabilities,10728,- -,4218939,2145076,1477762,5421011,7309312,34090964,10017030,10591689,9781908,8931785,13892960,11381343,29158842,14821800,13292992,7537842,20005976,49934000,67567000
54,Long-Term Debt,- -,- -,282051,891026,384648,2570300,5525221,- -,402425,19963088,468756,785218,3433095,5381960,354880,238829,4536710,617848,341998,415000,1425000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2434257,1066687,121309,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8415825,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2819063,2360452,1211529,4458809,1748810,212703,23000,7768000
58,Total Non-Current Liabilities,- -,- -,282051,891026,384648,2570300,5525221,- -,402425,19963088,468756,785218,3433095,8201023,5149589,2517045,9116828,2366658,8970526,438000,9193000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2148367,2103510,316024,10813,- -,- -,2837000,1125000
61,Total Liabilities,10728,- -,4500990,3036102,1862410,7991311,12834533,34090964,10419455,30554777,10250664,9717003,17326055,19582366,34308431,17338845,22409820,9904500,28976502,5656000,76760000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2143196,- -,- -,- -,24899000
63,Common Stock,1249164,- -,5984163,8174811,9366748,- -,- -,- -,- -,54880778,183825665,- -,223965907,248712321,264359674,269470165,280653362,321271437,450990827,547948000,552852000
64,Retained Earnings,-716541,- -,-4929899,-8789448,-10918242,-12132435,-16962100,-29019832,-45035192,-62335076,-154818436,-180128371,-203260307,-225391922,-250629296,-255635531,-287080234,-299543213,-312625383,- -,-584593000
65,Other Comprehensive Income/Loss,- -,- -,-1940687,-1290013,-11602,-10958,-119508,1437073,946834,1136897,-519020,-1143295,-732090,269869,-3127132,-5789975,-5086902,-6306691,-6300780,-5608000,-8660000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,13814595,- -,- -,52933209,- -,- -,216188899,- -,- -,- -,- -,- -,- -,- -,-543902000,- -
67,Total Stockholders Equity,121842,- -,-886423,-1904650,-1563096,1671202,733325,-9714311,8844851,-6317401,28488209,34917233,19973510,23590268,10603246,8044659,-9370578,15421533,132064664,-1562000,-15502000
68,Total Liabilities And Stockholders Equity,132570,- -,3614567,1131452,299314,9662513,13567858,24376653,19264306,24237376,38738873,44634236,37299565,43172634,44911677,25383504,13039242,25326033,161041166,4094000,61258000
69,Minority Interest,- -,- -,- -,- -,- -,41638,127455,231575,191767,189400,183059,177867,175976,144806,9321,8882,6047,- -,- -,46429000,- -
70,Total Liabilities & Equity,132570,- -,3614567,1131452,299314,9704151,13695313,24608228,19456073,24426776,38921932,44812103,37475541,43317440,44920998,25392386,13045289,25326033,161041166,50523000,61258000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1084384/000101738605000046/0001017386-05-000046-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084384/000114420409020778/v146257_10k.htm,https://www.sec.gov/Archives/edgar/data/1084384/000114420410017315/0001144204-10-017315-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420411018565/v216601_10k.htm,https://www.sec.gov/Archives/edgar/data/1084384/000114420412019020/0001144204-12-019020-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420413019750/0001144204-13-019750-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420414019632/v370409_10k.htm,https://www.sec.gov/Archives/edgar/data/1084384/000114420415020658/0001144204-15-020658-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420416091642/0001144204-16-091642-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420417017344/0001144204-17-017344-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420418018243/0001144204-18-018243-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420419014694/0001144204-19-014694-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000110465921035333/0001104659-21-035333-index.htm,https://www.sec.gov/Archives/edgar/data/1084384/000162828021012457/0001628280-21-012457-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-261456,-285159,-2064803,-3845814,-2128794,-1214193,-4829665,-12057732,-16015359,-17299884,-92483360,-25310735,-23131936,-22131615,-21861917,-5006235,-31444704,-12462979,-12974650,-226770000,-44661000
74,Depreciation and Amortization,1964,211,487685,265841,80208,56230,42326,2233454,2903244,3051461,5312469,5254708,5710396,6601246,8220219,6623985,4246787,4533109,5427029,12938,10795000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-225218,-8594,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1561378,5080783,6319314,6302141,8515391,3888275,3481908,3897437,4289033,6582286,11236,4321000
77,Change in Working Capital,58510,1419,-78701,1489358,-715126,-32245,982141,6282375,208304,1473504,-4446360,-2174983,1406581,-2888836,3878275,1586069,2721183,-2717620,-6476274,16392000,3686000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-628082,-238523,-1372719,1292883,-82763,-4464754,6566499,621532,-1446459,-13239269,4531,-3834000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-140229,272500,-3415032,-565040,2627745,80520,-349039,5110007,16140000,5079000
81,Other Working Capital,121631,- -,-1871690,-1306505,-3372917,-3372917000,10698,- -,-1678295,-1213361,592577,5232624,-4483753,-1706336,-13585853,-10805706,-10098121,9158486,3921932,-31272000,952000
82,Other Non-Cash Items,- -,67650,1450553,1356847,2072096,452190,2475137,92552,6625070,5883704,72428630,1340760,913546,3936128,3772213,2294108,16921466,3742297,5088,210344659,7418000
83,Cash Provided by Operating Activities,-200982,-215879,-205266,-733768,-691616,-738018,-1330061,-3449351,-6278741,-5329837,-14107838,-14570936,-8799272,-5967686,-2102935,8979835,-3657831,-2616160,-7661739,-17761,-18441000
84,CAPEX,- -,- -,-15538,-67825,-4500,-15020,-113731,-2154559,-2178478,-3869149,-3246057,-7721307,-2224923,-5898169,-7851460,-7709972,-1413160,-721823,-4124894,-7118,-7820000
85,Acquisitions Net,- -,- -,- -,- -,- -,-8863798,-1420000,140556,-1,- -,58253,-347758,36188,- -,-36465,- -,- -,- -,-7331584,860000,- -
86,Purchases of Investments,-11821,- -,- -,- -,- -,- -,- -,- -,- -,-1736756,- -,- -,-257519,-163542,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,13626,100953,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-23866,- -,- -,- -,-171804,-23266,-168654,-93,42,-448146,-1060784,- -,-100000,- -,2450000,- -,-500000,6246905,12169000
89,Cash Used for Investing Activites,-11821,- -,-39404,-54199,96453,-8878818,-1705535,-2037269,-2347133,-5605998,-3187762,-8517211,-3507038,-6061711,-7987925,-7709972,1036840,-721823,-11956478,-11095,4349000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-858437,-512732,-2492400,-5500000,-966809,-10081836,-81194,-280,-230000
91,Common Stock Issued,102500,277026,- -,- -,349970,7837896,944500,8498471,7400127,- -,- -,- -,- -,12225000,- -,- -,- -,21202239,6100002,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,231629,790716,314613,1909481,2179659,587520,-1207995,10899201,17899518,25894241,8339498,567886,13267448,2393303,4129179,4738687,6285852,28340280,23482000
95,Cash Used/Provided by Financing Activities,102500,277026,231629,790716,664583,9747377,3124159,9085991,6192132,10799201,17899518,25894241,7481061,12280154,10775048,-3106697,3162370,15859090,12304660,28340000,23252000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-10071,644,44622,434940,-276023,-62012,183879,957785,48941,-231711,-32343,301924,20560,-278639,58246,-65000,-308000
97,Net Change In Cash,-110303,61147,-13041,2749,59349,131185,133185,4034311,-2709766,-198646,787797,3763879,-4776308,19047,651845,-1534910,561939,12242468,-7255311,-581,8852000
98,Cash at the End of Period,50589,111736,5533,8282,67631,198816,332001,4366312,1656546,1457900,2245697,6009576,1233268,1252315,1904160,369250,931189,13737675,6482364,5902,14754000
99,Cash at the Beginning of Period,160892,50589,18574,5533,8282,67631,198816,332001,4366312,1656546,1457900,2245697,6009576,1233268,1252315,1904160,369250,1495207,13737675,6483,5902000
100,Free Cash Flow,-200982,-215879,-220804,-801593,-696116,-753038,-1443792,-5603910,-8457219,-9198986,-17353895,-22292243,-11024195,-11865855,-9954395,1269863,-5070991,-3337983,-11786633,-24879,-26261000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084384/000101738605000046/0001017386-05-000046-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084384/000114420409020778/v146257_10k.htm,https://www.sec.gov/Archives/edgar/data/1084384/000114420410017315/0001144204-10-017315-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420411018565/v216601_10k.htm,https://www.sec.gov/Archives/edgar/data/1084384/000114420412019020/0001144204-12-019020-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420413019750/0001144204-13-019750-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420414019632/v370409_10k.htm,https://www.sec.gov/Archives/edgar/data/1084384/000114420415020658/0001144204-15-020658-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420416091642/0001144204-16-091642-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420417017344/0001144204-17-017344-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420418018243/0001144204-18-018243-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000114420419014694/0001144204-19-014694-index.html,https://www.sec.gov/Archives/edgar/data/1084384/000110465921035333/0001104659-21-035333-index.htm,https://www.sec.gov/Archives/edgar/data/1084384/000162828021012457/0001628280-21-012457-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
