,https://roic.ai/company/SAFM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,12500000,13500000,14500000,15800000,15600000,18900000,21000000,25000000,29600000,34200000,36800000,40400000,43300000,46600000,52795000,28215000,30527000,40293000,59806000,66031000,51308000,59797000,105586000,63663000,85055000,72217000,77097000,96896000,133089000,148865000,153521000,213267000,221965000,202324000,184750000,262580000
11,COGS and Expenses,121600000,132100000,150400000,163600000,164100000,176100000,202000000,248300000,343300000,371700000,453900000,474300000,489500000,536100000,606499000,654908000,693688000,781713000,902143000,892701000,1074746000,1349451000,1789246000,1652898000,1715604000,2157465000,2289789000,2473951000,2386987000,2461233000,2515577000,2913951000,3206304000,3363447000,3554861000,4167575000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000,103000,41000,17000,27000,60000,106000,244000,1167000,2911000,- -,482000,16000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9019000,2708000,6413000,9201000,6136000,2577000,2136000,1708000,1886000,2066000,4156000,5207000,2534000
14,Depreciation and Amortization,4300000,4400000,4500000,4800000,5400000,6400000,7900000,11400000,15600000,18400000,19700000,21400000,23200000,24700000,26432000,25722000,24710000,24485000,26326000,26505000,33397000,36757000,41931000,48995000,44430000,51661000,59979000,62225000,64309000,74661000,84583000,100337000,110896000,135420000,156754000,168231000
15,EBITDA,34100000,23800000,21700000,28100000,19200000,17900000,16100000,30400000,40500000,36000000,16500000,23100000,47600000,41600000,17697000,70494000,71190000,112646000,175594000,140986000,7751000,157270000,-32153000,185640000,254393000,-136168000,155752000,268474000,446352000,410888000,378968000,526753000,143519000,203423000,145650000,767141000
16,EBITDA ratio,0.2258,0.1587,0.1309,0.1525,0.1092,0.0962,0.0766,0.1130,0.1090,0.0916,0.0363,0.0479,0.0913,0.0744,0.0292,0.0998,0.0957,0.1291,0.1669,0.1401,0.0074,0.1066,-0.0187,0.1037,0.1321,-0.0688,0.0653,0.1001,0.1609,0.1466,0.1346,0.1576,0.0444,0.0591,0.0409,0.1598
17,Operating Income,29400000,17900000,15400000,20700000,11700000,10000000,8100000,20800000,28200000,21200000,1200000,7500000,31900000,22900000,-588000,51094000,49977000,90522000,150154000,113484000,-26816000,125393000,-65663000,136610000,209841000,-188380000,96316000,205678000,381922000,335998000,294111000,425239000,29700000,67994000,-11594000,598871000
18,Operating Income ratio,0.1947,0.1193,0.0929,0.1123,0.0666,0.0537,0.0386,0.0773,0.0759,0.0540,0.0026,0.0156,0.0612,0.0410,-0.0010,0.0724,0.0672,0.1038,0.1427,0.1128,-0.0256,0.0850,-0.0381,0.0763,0.1090,-0.0952,0.0404,0.0767,0.1376,0.1199,0.1044,0.1272,0.0092,0.0198,-0.0033,0.1248
19,Total Other Income Expenses (Gains),400000,1500000,1800000,2600000,2100000,1500000,100000,-1800000,-3300000,-3600000,-4400000,-6500000,-7500000,-6000000,-7913000,-6322000,-3497000,-2361000,-886000,997000,1170000,-4880000,-8421000,-8984000,-2586000,-5862000,-9744000,-5565000,-2456000,-1907000,-1434000,-709000,857000,-4147000,-4717000,-2495000
20,Income Before Tax,29800000,19400000,17200000,23300000,13800000,11500000,8200000,19000000,24900000,17600000,-3200000,1000000,24400000,16900000,-8501000,44772000,46480000,88161000,149268000,114481000,-25646000,120513000,-74084000,127626000,207255000,-194242000,86572000,200113000,379466000,334091000,292677000,424530000,30557000,63847000,-16311000,596376000
21,Income Before Tax Ratio,0.1974,0.1293,0.1037,0.1264,0.0785,0.0618,0.0390,0.0706,0.0670,0.0448,-0.0070,0.0021,0.0468,0.0302,-0.0140,0.0634,0.0625,0.1011,0.1418,0.1138,-0.0245,0.0817,-0.0430,0.0713,0.1076,-0.0982,0.0363,0.0746,0.1368,0.1192,0.1039,0.1270,0.0094,0.0186,-0.0046,0.1243
22,Income Tax expense (Gain),14200000,8400000,6100000,8000000,4700000,3900000,2900000,7100000,9400000,6700000,-800000,400000,9100000,6400000,-3164000,16988000,17640000,34100000,57840000,43843000,-14145000,41680000,-30955000,45307000,72435000,-67165000,32628000,69496000,130418000,118090000,103716000,144785000,-30874000,10553000,-44585000,141287000
23,Net Income,15600000,11000000,11100000,15300000,9100000,7600000,5300000,11900000,15500000,10900000,-2400000,1300000,15300000,10500000,-5571000,27784000,28840000,54061000,91428000,70638000,-11501000,78833000,-43129000,82319000,134820000,-127077000,53944000,130617000,249048000,216001000,188961000,279745000,61431000,53294000,28274000,455089000
24,Net Income ratio,0.1033,0.0733,0.0669,0.0830,0.0518,0.0408,0.0252,0.0442,0.0417,0.0277,-0.0053,0.0027,0.0293,0.0188,-0.0092,0.0394,0.0388,0.0620,0.0869,0.0702,-0.0110,0.0535,-0.0250,0.0460,0.0700,-0.0642,0.0226,0.0487,0.0898,0.0770,0.0671,0.0837,0.0190,0.0155,0.0079,0.0948
25,EPS,0.82,0.56,0.54,0.75,0.45,0.37,0.26,0.59,0.76,0.53,-0.12,0.06,0.71,0.50,-0.27,1.36,1.45,2.78,4.62,3.53,-0.57,3.91,-2.13,4.05,6.07,-5.74,2.35,5.68,10.80,9.52,8.37,12.30,2.70,2.41,1.27,20.38
26,EPS Diluted,0.82,0.56,0.54,0.75,0.45,0.37,0.26,0.59,0.76,0.53,-0.12,0.06,0.71,0.50,-0.27,1.36,1.43,2.75,4.57,3.51,-0.57,3.88,-2.13,3.99,6.07,-5.74,2.35,5.68,10.80,9.52,8.37,12.30,2.70,2.41,1.27,20.38
27,Weighted Average Shares Outstanding,19014883,19633041,20545283,20480831,20362953,20716914,20374428,20273954,20394737,20437500,20000000,21666667,21553500,21102000,20589000,20394000,19800000,19462500,19789000,20014000,20070000,20140000,20269000,20317000,21625000,22138850,22280000,22363000,22441000,22689181,22575986,22743496,22752222,22113693,22262992,22021000
28,Weighted Average Shares Outstanding Diluted,19014883,19633041,20545283,20480831,20362953,20716914,20374428,20273954,20424570,20437500,20796054,21666667,21639000,21181500,20589000,20460000,20143500,19689000,19995000,20137000,20070000,20301000,20269000,20613000,21632000,22138850,22282000,22363000,22441000,22689181,22575986,22743496,22752222,22113693,22262992,22021000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812128/000081212896000005/0000812128-96-000005-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812128/000081212801500086/0000812128-01-500086-index.html,- -,https://www.sec.gov/Archives/edgar/data/812128/000095014403014051/g86497e10vk.htm,https://www.sec.gov/Archives/edgar/data/812128/000095014404012373/g92498e10vk.htm,https://www.sec.gov/Archives/edgar/data/812128/000095014405013085/g99004e10vk.htm,https://www.sec.gov/Archives/edgar/data/812128/000095014406011906/g04885e10vk.htm,https://www.sec.gov/Archives/edgar/data/812128/000095014407011259/0000950144-07-011259-index.html,https://www.sec.gov/Archives/edgar/data/812128/000095014408009437/0000950144-08-009437-index.html,https://www.sec.gov/Archives/edgar/data/812128/000095012309072714/0000950123-09-072714-index.html,https://www.sec.gov/Archives/edgar/data/812128/000095012310113344/0000950123-10-113344-index.html,https://www.sec.gov/Archives/edgar/data/812128/000119312511346606/0001193125-11-346606-index.html,- -,https://www.sec.gov/Archives/edgar/data/812128/000119312513475265/0001193125-13-475265-index.html,https://www.sec.gov/Archives/edgar/data/812128/000144530514005601/0001445305-14-005601-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212815000014/0000812128-15-000014-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212816000024/0000812128-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212817000011/0000812128-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212818000013/0000812128-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212819000017/0000812128-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212820000017/0000812128-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/812128/000081212821000014/0000812128-21-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11200000,23100000,27500000,25600000,25100000,19000000,7600000,4000000,4100000,400000,4900000,1500000,3600000,7100000,8643000,24175000,9542000,22224000,75910000,34616000,7396000,2623000,4261000,8194000,73419000,11075000,27802000,85563000,165610000,196659000,234111000,419285000,121193000,95417000,49061000,439339000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11200000,23100000,27500000,25600000,25100000,19000000,7600000,4000000,4100000,400000,4900000,1500000,3600000,7100000,8643000,24175000,9542000,22224000,75910000,34616000,7396000,2623000,4261000,8194000,73419000,11075000,27802000,85563000,165610000,196659000,234111000,419285000,121193000,95417000,49061000,439339000
34,Net Receivables,8300000,6700000,9200000,9600000,9200000,11200000,11700000,17000000,19000000,22600000,27700000,30900000,31000000,36600000,37038000,40187000,41073000,46195000,49240000,53725000,55332000,70586000,94546000,70028000,92467000,182533000,102489000,108980000,118296000,129338000,124348000,138868000,162000000,138835000,181523000,233340000
35,Inventory,12900000,13600000,15000000,15100000,15600000,16500000,18400000,26400000,29400000,33300000,39100000,44200000,42900000,47600000,50262000,52350000,57964000,61753000,75603000,84713000,96490000,119258000,137015000,140521000,153289000,211753000,235912000,205855000,190823000,198753000,220306000,252765000,240056000,289928000,290007000,350959000
36,Other Current Assets,900000,2500000,1500000,1600000,1600000,1700000,1800000,2800000,3300000,4700000,6700000,7700000,7700000,7900000,12091000,9452000,14885000,13001000,15669000,11599000,13179000,14734000,31741000,21294000,25793000,32597000,31584000,30345000,35977000,38040000,34559000,38620000,43240000,56931000,57544000,62632000
37,Total Current Assets,33300000,45900000,53200000,51900000,51500000,48400000,39500000,50200000,55800000,61000000,78400000,84300000,85200000,99200000,108034000,126164000,123464000,143173000,216422000,184653000,172397000,207201000,267563000,240037000,344968000,437958000,397787000,430743000,510706000,562790000,613324000,849538000,566489000,581111000,578135000,1086270000
38,PP&E,19800000,22300000,25000000,29200000,35800000,45400000,86200000,117600000,124800000,131300000,158000000,178200000,179100000,183100000,173155000,162186000,156483000,155224000,156713000,259326000,310310000,390690000,411330000,393128000,493727000,505505000,495313000,488466000,596125000,682334000,803991000,876808000,1087588000,1185860000,1265531000,1252572000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,200000,100000,100000,400000,400000,600000,1200000,1100000,900000,800000,2400000,1400000,1200000,667000,621000,563000,508000,1872000,1812000,2360000,2482000,2265000,3011000,2925000,5058000,3353000,5436000,4421000,6337000,5385000,6897000,5363000,7163000,5365000,6191000
45,Total Non-Current Assets,20100000,22500000,25100000,29300000,36200000,45800000,86800000,118800000,125900000,132200000,158800000,180600000,180500000,184300000,173822000,162807000,157046000,155732000,158585000,261138000,312670000,393172000,413595000,396139000,496652000,510563000,498666000,493902000,600546000,688671000,809376000,883705000,1092951000,1193023000,1270896000,1258763000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,53400000,68400000,78300000,81200000,87700000,94200000,126300000,169000000,181700000,193200000,237200000,264900000,265700000,283500000,281856000,288971000,280510000,298905000,375007000,445791000,485067000,600373000,681158000,636176000,841620000,948521000,896453000,924645000,1111252000,1251461000,1422700000,1733243000,1659440000,1774134000,1849031000,2345033000
48,Accounts Payable,- -,- -,- -,2100000,1200000,1800000,2000000,3400000,2800000,4200000,5000000,5600000,5900000,12500000,17507000,20309000,25258000,19033000,30384000,24468000,31514000,44978000,50433000,36878000,49437000,66761000,82755000,81418000,48700000,62816000,72774000,90904000,128936000,132741000,111463000,152421000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,3100000,3100000,4000000,4000000,4058000,3178000,3243000,4364000,4385000,4406000,4433000,455000,1219000,1022000,1048000,11106000,10757000,10799000,10000000,10000000,- -,- -,- -,- -,- -,12189000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6524000,- -,- -,- -,- -,- -,- -,- -,- -,21345000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,1100000,400000,300000,1600000,- -,- -,- -,- -,141672000,- -
52,Other Current Liabilities,6200000,3800000,8300000,1800000,2100000,3100000,4100000,4200000,7100000,9000000,9400000,9600000,16700000,15400000,15135000,25708000,26511000,37540000,31029000,48148000,23567000,33719000,27132000,39474000,56317000,35595000,40982000,68926000,88635000,86831000,75415000,107817000,69953000,82940000,-29028000,144453000
53,Total Current Liabilities,6200000,3800000,8300000,3900000,3300000,4900000,6100000,7600000,9900000,13400000,17500000,18300000,26600000,31900000,36700000,49195000,55012000,60937000,65798000,77022000,59514000,79152000,78784000,77374000,106802000,113662000,135594000,161543000,147635000,161247000,148189000,198721000,198889000,215681000,224107000,309063000
54,Long-Term Debt,2500000,2300000,2200000,2100000,2000000,1900000,29800000,60300000,56200000,54800000,90100000,118800000,95700000,104700000,107491000,77212000,49969000,21604000,10918000,6511000,77078000,96623000,225322000,105723000,64175000,273670000,150212000,29414000,10000000,- -,- -,- -,- -,55000000,25000000,16122000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5300000,5700000,1200000,4700000,5600000,5700000,6200000,7700000,9400000,10700000,11300000,11100000,13900000,15000000,15850000,15825000,17038000,16665000,16350000,13705000,16935000,16352000,20085000,22371000,24930000,50989000,56572000,53089000,45669000,52853000,75748000,91898000,62793000,74132000,141672000,156531000
57,Other Non-Current Liabilities,100000,- -,-100000,- -,-100000,- -,- -,- -,- -,- -,- -,-100000,- -,1100000,1800000,2400000,2600000,2600000,2600000,2900000,3200000,3700000,3000000,- -,- -,3300000,4000000,9000000,10000000,7500000,8501000,9762000,9865000,11646000,38979000,13078000
58,Total Non-Current Liabilities,7900000,8000000,3300000,6800000,7500000,7600000,36000000,68000000,65600000,65500000,101400000,129800000,109600000,120800000,125141000,95437000,69607000,40869000,29868000,23116000,97213000,116675000,248407000,128094000,89105000,327959000,210784000,91503000,65669000,60353000,84249000,101660000,72658000,140778000,205651000,185731000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40785000,28311000
61,Total Liabilities,14100000,11800000,11600000,10700000,10800000,12500000,42100000,75600000,75500000,78900000,118900000,148100000,136200000,152700000,161841000,144632000,124619000,101806000,95666000,100138000,156727000,195827000,327191000,205468000,195907000,441621000,346378000,253046000,213304000,221600000,232438000,300381000,271547000,356459000,429758000,494794000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13900000,13633000,13565000,13051000,13014000,19959000,20063000,20095000,20239000,20289000,20334000,22078000,22228000,22969000,23016000,23130000,22521000,22693000,22803000,22100000,22204000,22251000,22330000
64,Retained Earnings,30900000,40100000,50200000,54000000,60400000,65200000,67700000,76900000,89700000,97800000,92600000,91000000,103300000,111100000,102766000,127829000,142840000,182136000,254426000,316540000,291064000,359588000,304819000,375231000,496055000,353500000,391823000,506101000,724696000,895653000,1041714000,1275060000,1284524000,1309461000,1306602000,1722392000
65,Other Comprehensive Income/Loss,-25900000,-29300000,-32900000,-36400000,-41100000,-46300000,-53300000,-63200000,-78100000,-94900000,-113000000,-132500000,-153900000,-173200000,-195689000,-216801000,-233183000,-221010000,-242685000,-249586000,-263112000,-283328000,-311485000,-347459000,-389911000,-434030000,- -,-546578000,-588969000,-636196000,-701605000,-780276000,-873909000,-953473000,-1074567000,- -
66,Other Total Stockholders Equity,34300000,45800000,49400000,52900000,57600000,62800000,69800000,79700000,94600000,111400000,138700000,158300000,180100000,179000000,199305000,219746000,233183000,222959000,247641000,258636000,280293000,308047000,340344000,382602000,517491000,565202000,- -,689060000,739091000,747883000,827460000,915275000,955178000,1039483000,1164987000,- -
67,Total Stockholders Equity,39300000,56600000,66700000,70500000,76900000,81700000,84200000,93400000,106200000,114300000,118300000,116800000,129500000,130800000,120015000,144339000,155891000,197099000,279341000,345653000,328340000,404546000,353967000,430708000,645713000,506900000,550075000,671599000,897948000,1029861000,1190262000,1432862000,1387893000,1417675000,1419273000,1850239000
68,Total Liabilities And Stockholders Equity,53400000,68400000,78300000,81200000,87700000,94200000,126300000,169000000,181700000,193200000,237200000,264900000,265700000,283500000,281856000,288971000,280510000,298905000,375007000,445791000,485067000,600373000,681158000,636176000,841620000,948521000,896453000,924645000,1111252000,1251461000,1422700000,1733243000,1659440000,1774134000,1849031000,2345033000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,53400000,68400000,78300000,81200000,87700000,94200000,126300000,169000000,181700000,193200000,237200000,264900000,265700000,283500000,281856000,288971000,280510000,298905000,375007000,445791000,485067000,600373000,681158000,636176000,841620000,948521000,896453000,924645000,1111252000,1251461000,1422700000,1733243000,1659440000,1774134000,1849031000,2345033000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812128/000081212896000005/0000812128-96-000005-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812128/000081212801500086/0000812128-01-500086-index.html,- -,https://www.sec.gov/Archives/edgar/data/812128/000095014403014051/g86497e10vk.htm,https://www.sec.gov/Archives/edgar/data/812128/000095014404012373/g92498e10vk.htm,https://www.sec.gov/Archives/edgar/data/812128/000095014405013085/g99004e10vk.htm,https://www.sec.gov/Archives/edgar/data/812128/000095014406011906/g04885e10vk.htm,https://www.sec.gov/Archives/edgar/data/812128/000095014407011259/0000950144-07-011259-index.html,https://www.sec.gov/Archives/edgar/data/812128/000095014408009437/0000950144-08-009437-index.html,https://www.sec.gov/Archives/edgar/data/812128/000095012309072714/0000950123-09-072714-index.html,https://www.sec.gov/Archives/edgar/data/812128/000095012310113344/0000950123-10-113344-index.html,https://www.sec.gov/Archives/edgar/data/812128/000119312511346606/0001193125-11-346606-index.html,- -,https://www.sec.gov/Archives/edgar/data/812128/000119312513475265/0001193125-13-475265-index.html,https://www.sec.gov/Archives/edgar/data/812128/000144530514005601/0001445305-14-005601-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212815000014/0000812128-15-000014-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212816000024/0000812128-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212817000011/0000812128-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212818000013/0000812128-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212819000017/0000812128-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/812128/000081212820000017/0000812128-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/812128/000081212821000014/0000812128-21-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,15300000,9100000,7600000,5300000,11900000,15500000,10900000,-2400000,1300000,15300000,10500000,-5571000,27784000,28840000,54061000,91428000,70638000,-11501000,78833000,-43129000,82319000,134820000,-127077000,53944000,130617000,249048000,216001000,188961000,279745000,61431000,53294000,28274000,455089000
74,Depreciation and Amortization,- -,- -,- -,4800000,5400000,6400000,7900000,11400000,15600000,18400000,19700000,21400000,23200000,24700000,26432000,25722000,24710000,24485000,26326000,26505000,33397000,36757000,41931000,48995000,44430000,51661000,59979000,62225000,64309000,74661000,84583000,100337000,110896000,135420000,156754000,168231000
75,Deferred Income Tax,- -,- -,- -,400000,600000,100000,500000,1300000,1500000,1000000,200000,200000,2700000,600000,480000,-178000,1340000,-920000,500000,-3115000,3105000,-300000,-10451000,15305000,3665000,21462000,7995000,-16000,-9867000,4781000,28223000,16150000,-29105000,11339000,67540000,14859000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4781000,8111000,12396000,16068000,15813000,17376000,16371000,12552000,9875000,17553000
77,Change in Working Capital,- -,- -,- -,-1800000,200000,-4700000,-10100000,9200000,3300000,1700000,13300000,5100000,-7400000,8700000,4034000,5635000,-8517000,13784000,68388000,-42993000,5252000,15166000,60730000,-26116000,75503000,86130000,-62103000,7007000,93871000,38472000,63592000,185682000,-283217000,-2170000,-11402000,-32346000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5312000,-24088000,-1554000,-4413000,-11373000,-9316000,5071000,-11574000,-15130000,16936000,-7846000,-15768000,-76319000
79,Inventory,- -,- -,- -,-100000,-600000,-900000,-1800000,-8100000,-3000000,-3900000,-5800000,-5200000,1300000,-4800000,-2628000,-2088000,-5614000,-3789000,-13850000,-9110000,-11777000,-22768000,-17757000,-3506000,-12768000,-67464000,-15159000,30057000,15032000,-7930000,-21553000,-32459000,3109000,-43072000,2721000,-60952000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13555000,12559000,17324000,15994000,-1337000,-32718000,11615000,5109000,12013000,24077000,18517000,-14600000,39358000
81,Other Working Capital,- -,- -,- -,48000000,48200000,43500000,33400000,42600000,45900000,47600000,60900000,66000000,58600000,67300000,71334000,76969000,68452000,82236000,150624000,107631000,112883000,128049000,188779000,162663000,238166000,324296000,262193000,269200000,363071000,401543000,465135000,650817000,367600000,365430000,354028000,26559000
