,https://roic.ai/company/GTLS,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892553/000102140803006133/0001021408-03-006133-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312504053838/0001193125-04-053838-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312505065286/0001193125-05-065286-index.htm,- -,https://www.sec.gov/Archives/edgar/data/892553/000095015207002173/0000950152-07-002173-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000095015208001529/0000950152-08-001529-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312509037557/0001193125-09-037557-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312510040985/0001193125-10-040985-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312511049498/0001193125-11-049498-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000144530512000510/0001445305-12-000510-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255313000004/0000892553-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255314000010/0000892553-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255315000008/0000892553-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255316000049/0000892553-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255317000010/0000892553-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255318000039/0000892553-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255319000040/0000892553-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255320000034/0000892553-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255321000032/0000892553-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255322000061/0000892553-22-000061-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,300000,1900000,3500000,700000,200000,200000,4304000,22095000,2169000,2314000,4921000,11801000,7225000,18600000,14814000,15433000,18854000,92869000,122165000,211168000,165112000,257199000,141498000,137345000,103656000,123708000,281959000,122600000,118100000,119000000,125100000,122200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2003000,- -,32264000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,300000,1900000,3500000,700000,200000,200000,4304000,22095000,2169000,2314000,4921000,11801000,7225000,18600000,14814000,15433000,20857000,92869000,154429000,211168000,165112000,257199000,141498000,137345000,103656000,123708000,281959000,122600000,118100000,119000000,125100000,122200000
34,Net Receivables,- -,8300000,17300000,13200000,15200000,19900000,26600000,27324000,34156000,40247000,68818000,67332000,52818000,55354000,51179000,56272000,86276000,120862000,132487000,130203000,95761000,88131000,166692000,190689000,271257000,237258000,242797000,169498000,259700000,249300000,288700000,280200000,236300000
35,Inventory,- -,14300000,17700000,13200000,14800000,14700000,20900000,21727000,25617000,29803000,50578000,66987000,56490000,51914000,34788000,47777000,53132000,72857000,87073000,95390000,85570000,104435000,149822000,196501000,213004000,215725000,199302000,169683000,208900000,233100000,219400000,248400000,321500000
36,Other Current Assets,- -,-100000,- -,4900000,3600000,4100000,1800000,7332000,2981000,3892000,21640000,17591000,18671000,16966000,19160000,20526000,18223000,16059000,16618000,25003000,21905000,48418000,23916000,27736000,27837000,47965000,21423000,31837000,42800000,61200000,46500000,49300000,173500000
37,Total Current Assets,- -,22800000,36900000,34800000,34300000,38900000,49500000,60687000,84849000,76111000,143350000,156831000,139780000,131459000,123727000,139389000,173064000,230635000,329047000,405025000,414404000,406096000,597629000,556424000,649443000,604604000,587230000,652977000,634000000,661700000,673600000,703000000,853500000
38,PP&E,- -,10800000,12500000,12600000,12000000,11900000,11700000,17882000,27241000,40536000,74757000,63382000,62070000,56889000,45762000,41993000,64265000,85723000,99579000,102372000,111153000,116158000,137301000,169776000,224205000,257645000,266277000,251049000,297600000,361100000,404600000,414500000,416000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,15698000,31568000,177228000,173128000,168282000,77232000,76540000,75110000,236742000,247144000,248453000,261509000,264532000,275252000,288770000,398941000,398905000,405522000,218390000,217970000,468800000,520700000,844900000,865900000,994600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1131000,9990000,- -,- -,- -,- -,51281000,48472000,154063000,146623000,135699000,129542000,123773000,144286000,140553000,189463000,172142000,153666000,106714000,93443000,302500000,330400000,529100000,493100000,556100000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,16829000,41558000,177228000,173128000,168282000,77232000,127821000,123582000,390805000,393767000,384152000,391051000,388305000,419538000,429323000,588404000,571047000,559188000,325104000,311413000,771300000,851100000,1374000000,1359000000,1550700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,13400000,78900000,177400000
43,Tax Assets,- -,2400000,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-1600000,-200000,1600000,1700000,4100000,3500000,2627000,- -,- -,29235000,28148000,38848000,13714000,2327000,2116000,13672000,14750000,12976000,10979000,12641000,13047000,10222000,13237000,16935000,40626000,23365000,17643000,21800000,20800000,15800000,15100000,46200000
45,Total Non-Current Assets,- -,11600000,14100000,14200000,13700000,16000000,15200000,20509000,44070000,82094000,281220000,264658000,269200000,147835000,175910000,167691000,468742000,494240000,496707000,504402000,512099000,548743000,576846000,771417000,812187000,857459000,614746000,580105000,1090700000,1236000000,1807800000,1867500000,2190300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,34400000,51000000,49000000,48000000,54900000,64700000,81196000,128919000,158205000,424570000,421489000,408980000,279294000,299637000,307080000,641806000,724875000,825754000,909427000,926503000,954839000,1174475000,1327841000,1461630000,1462063000,1201976000,1233082000,1724700000,1897700000,2481400000,2570500000,3043800000
48,Accounts Payable,- -,3600000,7100000,5700000,4300000,6800000,7800000,8582000,8911000,11540000,25102000,36265000,25634000,23084000,22297000,26789000,61176000,93231000,125107000,45392000,38089000,54749000,84297000,100528000,101805000,114252000,97413000,79953000,113900000,125500000,125000000,140100000,- -
49,Short-Term Debt,- -,- -,- -,2100000,1800000,2000000,2000000,361000,558000,431000,19336000,25484000,12963000,262739000,3480000,3005000,2304000,750000,- -,- -,- -,6500000,11258000,3750000,200467000,4903000,6160000,6487000,58900000,11200000,22600000,226000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3563000,2005000,4800000,7788000,- -,- -,- -,- -,- -,11800000,46500000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89081000,102048000,82158000,71030000,74702000,110200000,130000000,127800000,118900000,- -
52,Other Current Liabilities,- -,16900000,29400000,11500000,8400000,14600000,23700000,39097000,38254000,40988000,48825000,49190000,44907000,48299000,35669000,46494000,41001000,45260000,49587000,148769000,105848000,109934000,169938000,80416000,94984000,86446000,87436000,100392000,104600000,99900000,102900000,149800000,693900000
53,Total Current Liabilities,- -,20500000,36500000,19300000,14500000,23400000,33500000,48040000,47723000,52959000,93263000,110939000,83504000,334122000,61446000,76288000,104481000,139241000,174694000,194161000,143937000,171183000,265493000,273775000,499304000,287759000,262039000,261534000,387600000,366600000,378300000,634800000,693900000
54,Long-Term Debt,- -,6800000,6700000,6000000,13000000,16100000,12600000,4469000,4195000,10894000,259336000,244386000,259120000,1161000,109081000,76406000,345000000,290000000,250000000,243175000,243175000,218425000,223224000,252021000,64688000,204099000,215634000,233711000,439200000,533200000,761000000,245200000,600800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,2000000,2100000,1000000,200000,591000,544000,1198000,- -,- -,- -,- -,- -,- -,56038000,55466000,53103000,41344000,42757000,39140000,43945000,46285000,47716000,46888000,5146000,4241000,62500000,76400000,52100000,60200000,- -
57,Other Non-Current Liabilities,- -,2400000,1900000,-100000,- -,- -,1800000,- -,- -,- -,16459000,11320000,17016000,25628000,38303000,38746000,19957000,20434000,19966000,26787000,19388000,24717000,28262000,55977000,31339000,36237000,43421000,34919000,30200000,32500000,57600000,51000000,123900000
58,Total Non-Current Liabilities,- -,9200000,8600000,7900000,15100000,17100000,14600000,5060000,4739000,12092000,275795000,255706000,276136000,26789000,147384000,115152000,420995000,365900000,323069000,311306000,305320000,282282000,295431000,354283000,143743000,287224000,264201000,272871000,531900000,642100000,870700000,356400000,724700000
59,Other Liabilities,- -,- -,- -,15900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34100000,28700000,- -
61,Total Liabilities,- -,29700000,45100000,27300000,29600000,40500000,46300000,53100000,52462000,65051000,369058000,366645000,359640000,360911000,208830000,191440000,525476000,505141000,497763000,505467000,449257000,453465000,560924000,628058000,643047000,574983000,526240000,534405000,919500000,1008700000,1249000000,991200000,1418600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,102000,162000,243000,244000,245000,249000,257000,53000,54000,80000,256000,282000,284000,285000,288000,296000,300000,304000,305000,305000,306000,300000,300000,400000,400000,- -
64,Retained Earnings,- -,- -,- -,1200000,-400000,-1900000,2300000,14321000,33508000,56352000,17702000,19857000,14699000,-116086000,31000,22631000,-506000,26389000,70545000,149469000,210480000,230640000,274716000,346011000,429187000,511051000,308091000,336328000,364300000,453900000,500300000,808400000,- -
65,Other Comprehensive Income/Loss,- -,15600000,17200000,-4400000,-6200000,-8600000,-10500000,- -,- -,- -,- -,- -,- -,-10799000,911000,2303000,-1000000,7522000,15432000,6569000,13104000,9811000,2993000,1641000,13322000,-8686000,-24904000,-35212000,-8100000,-29900000,-35900000,2400000,- -
66,Other Total Stockholders Equity,- -,- -,- -,24900000,25000000,24900000,26600000,13673000,42787000,36559000,37566000,34742000,34392000,45011000,89812000,90652000,117756000,185567000,241732000,247638000,251692000,258425000,333034000,348526000,368535000,377209000,387100000,395843000,445700000,460200000,762800000,761500000,- -
67,Total Stockholders Equity,- -,4700000,5900000,21700000,18400000,14400000,18400000,28096000,76457000,93154000,55512000,54844000,49340000,-81617000,90807000,115640000,116330000,219734000,327991000,403960000,475561000,499164000,611039000,696478000,811348000,879879000,670592000,697265000,802200000,884500000,1227600000,1572700000,1625200000
68,Total Liabilities And Stockholders Equity,- -,34400000,51000000,49000000,48000000,54900000,64700000,81196000,128919000,158205000,424570000,421489000,408980000,279294000,299637000,307080000,641806000,724875000,825754000,909427000,924818000,952629000,1171963000,1324536000,1454395000,1454862000,1196832000,1231670000,1721700000,1893200000,2476600000,2563900000,3043800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1685000,2210000,2512000,3305000,7235000,7201000,5144000,1412000,3000000,4500000,4800000,6600000,- -
70,Total Liabilities & Equity,- -,34400000,51000000,49000000,48000000,54900000,64700000,81196000,128919000,158205000,424570000,421489000,408980000,279294000,299637000,307080000,641806000,724875000,825754000,909427000,926503000,954839000,1174475000,1327841000,1461630000,1462063000,1201976000,1233082000,1724700000,1897700000,2481400000,2570500000,3043800000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892553/000102140803006133/0001021408-03-006133-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312504053838/0001193125-04-053838-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312505065286/0001193125-05-065286-index.htm,- -,https://www.sec.gov/Archives/edgar/data/892553/000095015207002173/0000950152-07-002173-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000095015208001529/0000950152-08-001529-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312509037557/0001193125-09-037557-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312510040985/0001193125-10-040985-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312511049498/0001193125-11-049498-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000144530512000510/0001445305-12-000510-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255313000004/0000892553-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255314000010/0000892553-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255315000008/0000892553-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255316000049/0000892553-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255317000010/0000892553-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255318000039/0000892553-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255319000040/0000892553-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255320000034/0000892553-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255321000032/0000892553-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255322000061/0000892553-22-000061-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3600000,3800000,4600000,6800000,800000,-1500000,7100000,15029000,22627000,28215000,-36280000,2155000,-5158000,-130785000,-7054000,22600000,-506000,26895000,44156000,78924000,61011000,20160000,44076000,71295000,83176000,81864000,-202960000,28237000,28000000,88000000,46400000,308100000,59100000
74,Depreciation and Amortization,500000,500000,1400000,-1900000,-2100000,-2700000,-2700000,2708000,3511000,7026000,16909000,17864000,18187000,11709000,9832000,8490000,4396000,22449000,20352000,21313000,21412000,23577000,27915000,32196000,40389000,43176000,45448000,37509000,41900000,50800000,78800000,85200000,- -
75,Deferred Income Tax,400000,100000,-600000,- -,-100000,-800000,-800000,-961000,-817000,943000,-5449000,2027000,-636000,10183000,5626000,2103000,-2343000,-7931000,-6557000,-5486000,-1751000,-9345000,-2491000,-4518000,-1607000,-248000,-24403000,-2583000,-29800000,5000000,-16200000,1000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3134000,3279000,4933000,5433000,7461000,9989000,9420000,11325000,10679000,11100000,4900000,9000000,8900000,- -
77,Change in Working Capital,1100000,- -,-1900000,15100000,4300000,-4300000,500000,-3353000,24479000,-13974000,26935000,-4195000,10384000,-258939000,264944000,820000,5482000,22811000,62959000,56511000,59603000,-35554000,97223000,-49487000,-132510000,166706000,8346000,66252000,-145043000,48700000,200000,-227100000,- -
78,Accounts Receivable,- -,- -,-9000000,1400000,-1900000,-4700000,-6700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2505000,15217000,-2614000,-33095000,3422000,-69287000,43079000,7195000,43618000,-37100000,25500000,23600000,-10100000,- -
79,Inventory,- -,- -,-3400000,2400000,-400000,3300000,-3800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2812000,-15366000,-11122000,-8296000,25221000,-13717000,-31628000,-15777000,-12679000,-8150000,11988000,25679000,-11700000,-14100000,9400000,-34900000,- -
80,Accounts Payable,- -,- -,-3500000,-400000,-2800000,3900000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12987000,-16567000,10505000,17889000,2936000,-5259000,11660000,-16293000,-11078000,-1500000,-10200000,-20900000,62800000,- -
81,Other Working Capital,2300000,2300000,400000,15500000,19800000,15500000,16000000,12647000,37126000,23152000,50087000,45892000,56276000,-202663000,62281000,63101000,68583000,91394000,154353000,210864000,270467000,234913000,332136000,282649000,150139000,316845000,325191000,391443000,246400000,295100000,295300000,68200000,- -
82,Other Non-Cash Items,400000,1800000,1900000,-16300000,-6700000,16100000,4700000,19439000,-27372000,8724000,-7397000,-3205000,-9504000,376722000,-248894000,1046000,11713000,-27826000,-38403000,-56584000,-56628000,34803000,-90498000,30694000,60226000,-182201000,264233000,30720000,140843000,-108600000,15700000,-3400000,-80400000
83,Cash Provided by Operating Activities,6000000,6200000,5400000,3700000,-3800000,6800000,8800000,32862000,22428000,30934000,-5282000,14646000,13273000,8890000,24454000,35059000,18742000,36398000,82507000,97812000,86926000,38574000,81658000,87641000,59663000,118717000,101989000,170814000,47000000,88800000,133900000,172700000,-21300000
84,CAPEX,-200000,-600000,-900000,-1800000,-1400000,-1300000,- -,-12024000,-7140000,-10006000,-7047000,-5581000,-8145000,-3028000,-2425000,-9379000,-5601000,-22253000,-19028000,-13968000,-13190000,-16939000,-22380000,-43685000,-72585000,-62135000,-58082000,-17785000,-35200000,-35600000,-36200000,-37900000,-52700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,- -,- -,- -,- -,- -,-356649000,-15927000,- -,-18828000,-18086000,-47865000,-37680000,-182450000,-2965000,-11943000,-24517000,-1351000,-446100000,-225800000,-603900000,265600000,-205100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32264000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,-50800000,-103900000
87,Sales/Maturities of Investments,- -,- -,- -,2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32264000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-3400000,1500000,-300000,-200000,-1300000,-2000000,-4394000,-27073000,-45270000,-85494000,-427000,-6494000,1116000,15255000,-3317000,- -,-484000,487000,-14584000,-14980000,-16350000,-21992000,-41897000,-72016000,-60542000,-37964000,-16730000,-33900000,97900000,-35500000,-29800000,-52200000
