,https://roic.ai/company/PFE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1665000000,2024000000,2252000000,2527000000,2914000000,3864000000,5489000000,5337000000,6184000000,9166000000,10020000000,10275000000,9906000000,10460000000,9782000000,15840000000,15079000000,23100000000,21574000000,9357000000,8669000000,10838000000,11266000000,11271000000,11399000000,12068000000,11194000000,11479000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1264900000,1384100000,1589000000,1773000000,1828000000,1654000000,2702000000,2741000000,2678000000,5837000000,6660000000,6039000000,6111000000,5302000000,4381000000,12403000000,8405000000,7769000000,7063000000,6166000000,5663000000,7513000000,6783000000,7578000000,7508000000,8283000000,8046000000,9059000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000000,2341000000,1477000000,1643000000,3637000000,1231000000,2133000000,1757000000,3368000000,2786000000,3121000000,3356000000,3219000000,5612000000,5182000000,7458000000,8972000000,101000000,70000000,8313000000,7248000000,2163000000,3050000000,2300000000,12186000000,2622000000,3606000000,8086000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5788400000,6152400000,6468000000,6820000000,9931000000,11191000000,17187000000,18450000000,24781000000,29741000000,39694000000,41896000000,46949000000,46849000000,43076000000,61670000000,60468000000,57728000000,61415000000,56244000000,57702000000,43804000000,38949000000,41141000000,49926000000,32803000000,35067000000,59693000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,3073200000,3472600000,3850000000,4137000000,4415000000,5343000000,9425000000,10415000000,10712000000,18287000000,18385000000,17090000000,16632000000,15734000000,13287000000,22780000000,19123000000,16938000000,14461000000,12397000000,11762000000,13766000000,13318000000,13865000000,13385000000,13967000000,13900000000,14882000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20876000000,21382000000,21464000000,42376000000,43947000000,45067000000,44672000000,42519000000,42069000000,48242000000,54449000000,55952000000,53411000000,58653000000,49577000000,49208000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,325700000,1243000000,1424000000,1294000000,813000000,763000000,1791000000,1722000000,1200000000,58656000000,57007000000,51560000000,24350000000,20498000000,17721000000,68015000000,57558000000,53833000000,46013000000,39385000000,35167000000,40358000000,52648000000,48740000000,35211000000,35369000000,28472000000,25146000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,325700000,1243000000,1424000000,1294000000,813000000,763000000,1791000000,1722000000,1200000000,58656000000,57007000000,51560000000,45226000000,41880000000,39185000000,110391000000,101505000000,98900000000,90685000000,81904000000,77236000000,88600000000,107097000000,104692000000,88622000000,94022000000,78049000000,74354000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2497000000,3892000000,4856000000,11478000000,13122000000,9748000000,9457000000,14149000000,16406000000,17518000000,15999000000,7116000000,7015000000,2767000000,20147000000,20262000000,16472000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4986000000,- -,- -,- -,1554000000,1544000000,1794000000,1812000000,1855000000,1924000000,2099000000,2383000000,3341000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1911200000,1861300000,2925000000,3085000000,3143000000,3277000000,5107000000,8566000000,9663000000,10091000000,8598000000,4522000000,2138000000,5949000000,4122000000,- -,4170000000,4979000000,5088000000,3596000000,3512000000,3497000000,3323000000,3227000000,2798000000,4450000000,4569000000,12734000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5310100000,6576900000,8199000000,8516000000,8371000000,9383000000,16323000000,20703000000,21575000000,87034000000,83990000000,75669000000,67888000000,68419000000,68072000000,151279000000,134546000000,130274000000,124383000000,115857000000,111572000000,123656000000,132666000000,130654000000,109496000000,134685000000,119163000000,121783000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11098500000,12729300000,14667000000,15336000000,18302000000,20574000000,33510000000,39153000000,46356000000,116775000000,123684000000,117565000000,114837000000,115268000000,111148000000,212949000000,195014000000,188002000000,185798000000,172101000000,169274000000,167460000000,171615000000,171795000000,159422000000,167488000000,154230000000,181476000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,524900000,715300000,913000000,765000000,971000000,951000000,1719000000,1579000000,1620000000,2601000000,2672000000,2226000000,2019000000,2270000000,1751000000,4370000000,4026000000,3836000000,4264000000,3234000000,3440000000,3620000000,4536000000,4656000000,4674000000,4220000000,4309000000,5578000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2220000000,2035500000,2235000000,2255000000,2729000000,5001000000,4289000000,6265000000,8669000000,8818000000,11266000000,11589000000,2434000000,5825000000,9320000000,5469000000,5623000000,4018000000,6424000000,6027000000,5141000000,10160000000,10688000000,9940000000,8836000000,16190000000,2703000000,2241000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1266000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3067000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2081000000,2436400000,2492000000,2285000000,3492000000,3233000000,5973000000,5796000000,8266000000,12238000000,12520000000,14633000000,16936000000,13740000000,15938000000,27386000000,18960000000,20215000000,17931000000,14105000000,13050000000,15619000000,15891000000,15831000000,18348000000,16894000000,18908000000,31785000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4825900000,5187200000,5640000000,5305000000,7192000000,9185000000,11981000000,13640000000,18555000000,23657000000,26458000000,28448000000,21389000000,21835000000,27009000000,37225000000,28609000000,28069000000,28619000000,23366000000,21631000000,29399000000,31115000000,30427000000,31858000000,37304000000,25920000000,42671000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,604200000,833000000,687000000,1123000000,527000000,525000000,1123000000,2609000000,3140000000,5755000000,7279000000,6347000000,5546000000,7314000000,7963000000,43193000000,38410000000,34931000000,31036000000,30462000000,31541000000,28818000000,31398000000,32666000000,32429000000,35955000000,35571000000,36195000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,211700000,166100000,253000000,156000000,197000000,301000000,380000000,452000000,364000000,13238000000,12632000000,10240000000,8015000000,7696000000,2959000000,17839000000,18648000000,19597000000,21593000000,25590000000,24981000000,26877000000,30753000000,3900000000,3700000000,5578000000,4063000000,349000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1094000000,989800000,1083000000,819000000,1576000000,1676000000,3950000000,4159000000,4347000000,8748000000,9037000000,6903000000,8529000000,13299000000,15477000000,24246000000,21082000000,22784000000,22872000000,16063000000,19499000000,17368000000,18509000000,33148000000,27677000000,25205000000,25202000000,24798000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1909900000,1988900000,2023000000,2098000000,2300000000,2502000000,5453000000,7220000000,7851000000,27741000000,28948000000,23490000000,22090000000,28309000000,26399000000,85278000000,78140000000,77312000000,75501000000,72115000000,76021000000,73063000000,80660000000,69714000000,63806000000,66738000000,64836000000,61342000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6735800000,7176100000,7663000000,7403000000,9492000000,11687000000,17434000000,20860000000,26406000000,51398000000,55406000000,51938000000,43479000000,50144000000,53408000000,122503000000,106749000000,105381000000,104120000000,95481000000,97652000000,102462000000,111775000000,100141000000,95664000000,104042000000,90756000000,104013000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219000000,193000000,169000000,141000000,93000000,73000000,61000000,52000000,45000000,39000000,33000000,29000000,26000000,24000000,21000000,19000000,17000000,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213000000,337000000,340000000,341000000,435000000,438000000,439000000,441000000,442000000,443000000,443000000,444000000,445000000,448000000,453000000,455000000,459000000,461000000,464000000,467000000,468000000,470000000,473000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,5944500000,6858900000,8017000000,9349000000,11439000000,13396000000,19599000000,24430000000,30243000000,29382000000,35492000000,37608000000,49669000000,49660000000,49142000000,40426000000,42716000000,46210000000,54240000000,69732000000,72176000000,71993000000,71774000000,85291000000,89554000000,97670000000,96770000000,103394000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1919700000,-1990800000,-2155000000,-1990000000,-2429000000,-2074000000,-4709000000,-5133000000,-5431000000,-7094000000,-8534000000,479000000,-469000000,2299000000,-4569000000,552000000,-3440000000,-4129000000,-5953000000,-3271000000,-7316000000,-9522000000,-11036000000,-9321000000,-11275000000,-11640000000,-14812000000,-5897000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,299100000,638500000,1092000000,574000000,- -,- -,849000000,- -,-5203000000,42435000000,40689000000,26932000000,21576000000,12516000000,12467000000,48532000000,48041000000,39619000000,32486000000,9360000000,5957000000,1764000000,-1679000000,-5147000000,-15358000000,-23372000000,-19190000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4323900000,5506600000,6954000000,7933000000,8810000000,8887000000,16076000000,18293000000,19950000000,65377000000,68278000000,65627000000,71358000000,65010000000,57556000000,90014000000,87813000000,82190000000,81260000000,76307000000,71301000000,64720000000,59544000000,71308000000,63407000000,63143000000,63238000000,77462000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,11059700000,12682700000,14617000000,15336000000,18302000000,20574000000,33510000000,39153000000,46356000000,116775000000,123684000000,117565000000,114837000000,115154000000,110964000000,212517000000,194562000000,187571000000,185380000000,171788000000,168953000000,167182000000,171319000000,171449000000,159071000000,167185000000,153994000000,181475000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,38800000,46600000,50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000000,184000000,432000000,452000000,431000000,418000000,313000000,321000000,278000000,296000000,346000000,351000000,303000000,236000000,1000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,11098500000,12729300000,14667000000,15336000000,18302000000,20574000000,33510000000,39153000000,46356000000,116775000000,123684000000,117565000000,114837000000,115268000000,111148000000,212949000000,195014000000,188002000000,185798000000,172101000000,169274000000,167460000000,171615000000,171795000000,159422000000,167488000000,154230000000,181476000000
