,https://roic.ai/company/SWKH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-4800000,-36700000,-2174153000,-789288000,-65550000,-5489000,-14679000,-15341000,-407000,-5639000,-1556000,37570000,-1230000,-800000,-1395000,3053000,11054000,-3706000,7250000,-37057000,6397000,22134000,16211000,37446000
16,EBITDA ratio,-2.4000,-2.6028,-18.2395,-9.0827,-0.8287,-0.0900,-0.3002,-0.3559,-0.0075,-0.0927,-0.0239,0.8294,-Infinity,-Infinity,-2.3250,0.4770,0.6353,-0.1580,0.3239,-0.9886,0.2461,0.7199,0.4416,0.6668
17,Operating Income,-6700000,-112400000,-977402000,-939624000,-101305000,-20547000,-21582000,-17858000,-271000,-7115000,-3239000,-8416000,-1759000,-1545000,-1603000,4700000,14125000,2596000,17892000,33385000,- -,14978000,9807000,31127000
18,Operating Income ratio,-3.3500,-7.9716,-8.1997,-10.8127,-1.2807,-0.3368,-0.4413,-0.4143,-0.0050,-0.1170,-0.0497,-0.1858,-Infinity,-Infinity,-2.6717,0.7344,0.8118,0.1107,0.7995,0.8906,- -,0.4871,0.2671,0.5543
19,Total Other Income Expenses (Gains),200000,-6300000,-2093498000,524000,905000,-353000,82000,58000,-1929000,-785000,-461000,43316000,1059000,445000,203000,-200000,-824000,-3686000,-7489000,-9381000,-656000,1864000,-6142000,1884000
20,Income Before Tax,- -,-118700000,-3070900000,-939100000,-100400000,-20900000,-21500000,-17800000,-2200000,-7900000,-3700000,34900000,-700000,-1100000,-1400000,4500000,13301000,-1090000,10403000,24004000,6237000,16842000,3665000,33011000
21,Income Before Tax Ratio,- -,-8.4184,-25.7626,-10.8067,-1.2693,-0.3426,-0.4397,-0.4130,-0.0407,-0.1299,-0.0567,0.7704,-Infinity,-Infinity,-2.3333,0.7031,0.7644,-0.0465,0.4648,0.6403,0.2400,0.5478,0.0998,0.5879
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,300000,300000,200000,200000,200000,- -,- -,- -,- -,- -,-9800000,-10303000,3273000,-21638000,-40104000,42000,-6986000,-1537000,7082000
23,Net Income,-6300000,-118700000,-3070900000,-942900000,-96100000,-21200000,-21800000,-18000000,-2400000,-8000000,-3700000,34900000,-700000,-1100000,-1400000,12900000,20765000,-7370000,28888000,3047000,6195000,23828000,5202000,25929000
24,Net Income ratio,-3.1500,-8.4184,-25.7626,-10.8504,-1.2149,-0.3475,-0.4458,-0.4176,-0.0444,-0.1316,-0.0567,0.7704,-Infinity,-Infinity,-2.3333,2.0156,1.1934,-0.3142,1.2908,0.0813,0.2384,0.7750,0.1417,0.4617
25,EPS,-186.00,-461.00,-3957.00,-686.10,-42.90,-8.80,-7.50,-5.80,-0.70,-2.20,-0.90,8.50,-0.20,-0.30,-0.30,3.10,3.20,-0.57,2.22,0.23,0.47,1.85,0.40,2.02
26,EPS Diluted,-186.00,-461.00,-3957.00,-686.10,-42.90,-8.80,-7.50,-5.80,-0.70,-2.20,-0.90,8.50,-0.20,-0.30,-0.30,3.10,3.20,-0.57,2.22,0.23,0.47,1.85,0.40,2.02
27,Weighted Average Shares Outstanding,33871,257720,776100,1374300,2240300,2403100,2895000,3081400,3458400,3708500,4121200,4121500,4123500,4124700,4124700,4134300,6485500,12986000,13015000,13036000,13051000,12906000,12852000,12852000
28,Weighted Average Shares Outstanding Diluted,33871,257720,776100,1374300,2240300,2403100,2895000,3081400,3458400,3708500,4121200,4123700,4123500,4124700,4124700,4144000,6491600,12986000,13018000,13040000,13054000,12911000,12862000,12862000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1089907/000101287000001774/0001012870-00-001774-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000101287001001496/0001012870-01-001496-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000108990702000004/0001089907-02-000004-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000108990703000003/0001089907-03-000003-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000108990704000006/0001089907-04-000006-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000119312505175547/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000119312506142567/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000119312507071020/0001193125-07-071020-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000119312508058966/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000119312509113176/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000114036110014452/0001140361-10-014452-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000143774911001837/swk_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1089907/000143774912003052/0001437749-12-003052-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000143774913003550/0001437749-13-003550-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000143774914005426/swkh20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000155278115000357/e00129_swkh-10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000155278116001431/0001552781-16-001431-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278117000140/0001552781-17-000140-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278118000138/0001552781-18-000138-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278119000124/0001552781-19-000124-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278120000237/0001552781-20-000237-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278121000167/0001552781-21-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1089907/000155278122000279/0001552781-22-000279-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9800000,18700000,76200000,25500000,22000000,25600000,13800000,6200000,5700000,3300000,2900000,38600000,39300000,38200000,24600000,7700000,58728000,47287000,32182000,30557000,20227000,11158000,3008000,42863000
32,Short-Term Investments,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1802000,1210000,1034000
33,Cash and Short-Term Investments,10000000,18700000,76200000,25500000,22000000,25600000,13800000,6200000,5700000,3300000,2900000,38600000,39300000,38200000,24600000,7700000,58728000,47287000,32182000,30557000,20227000,12960000,4218000,43897000
34,Net Receivables,800000,4700000,43400000,15900000,10300000,7900000,4500000,6100000,8800000,10200000,7600000,- -,- -,- -,200000,500000,1053000,1127000,1054000,1637000,2195000,2554000,1911000,1803000
35,Inventory,- -,36200000,300000,14700000,10500000,7300000,6400000,- -,- -,1000000,4100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,- -,- -,67900000,13600000,- -,6672000,12783000,5941000,3882000,3136000,- -,-6000,96000,1227000,857000,11286000,5286000,2621000,1856000,532000,1087000,542000,1727000
37,Total Current Assets,10900000,59600000,119900000,124000000,56400000,40800000,31372000,25083000,20441000,18382000,17736000,- -,39294000,38296000,26027000,9057000,71067000,53700000,35857000,34050000,22954000,16601000,6671000,47427000
38,PP&E,900000,8400000,40100000,19400000,22300000,15400000,10100000,1800000,1200000,2300000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1292000,5211000,5779000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8404000,8404000,8404000
40,Intangible Assets,- -,- -,- -,6300000,1500000,- -,300000,100000,- -,2200000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25113000,13617000,9964000
41,Intangible Assets,- -,- -,- -,6300000,1500000,- -,300000,100000,- -,2200000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33517000,22021000,18368000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,13544000,13893000,13274000,9606000,1856000,532000,466000,3732000,3610000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25780000,27491000,20539000
44,Other Non-Current Assets,200000,- -,- -,11000000,400000,500000,8628000,8717000,8659000,12518000,12464000,- -,6000,4000,6273000,38999000,103259000,113513000,163469000,173977000,192176000,176716000,208775000,186942000
45,Total Non-Current Assets,1100000,- -,- -,36700000,24200000,- -,19028000,10617000,9859000,17018000,16064000,- -,6000,4000,19273000,52543000,117152000,126787000,173075000,175833000,192708000,237771000,267230000,235238000
46,Other Assets,- -,10600000,860200000,- -,- -,29100000,- -,- -,- -,- -,- -,40100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12000000,70200000,980100000,160700000,80600000,69900000,50400000,35700000,30300000,35400000,33800000,40100000,39300000,38300000,45300000,61600000,188219000,180487000,208932000,209883000,215662000,254372000,273901000,282665000
48,Accounts Payable,300000,2800000,18000000,6300000,3900000,2200000,4800000,5100000,2700000,3100000,3600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3061000,- -,5087000
49,Short-Term Debt,- -,4200000,1456000,1363000,3469000,3427000,3427000,7400000,327000,3027000,7821000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11758000,8000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,17630000,14529000,15825000,15825000,12946000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1300000,14300000,61144000,86037000,51231000,- -,- -,- -,- -,- -,6833000,400000,- -,- -,- -,6300000,6152000,- -,- -,- -,- -,14500000,3652000,- -
53,Total Current Liabilities,1600000,21300000,80600000,93700000,58600000,5627000,25857000,27029000,18852000,21952000,31200000,400000,- -,- -,- -,6300000,6152000,- -,- -,- -,- -,17561000,15410000,5095000
54,Long-Term Debt,400000,400000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9639000,19400000,16833000,38471000,22725000,22684000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,700000,660000,1239000,641000,500000,100000,89000,63000,1000000,-9639000,422000,- -,- -,- -,- -,279000,17979000,10334000
58,Total Non-Current Liabilities,400000,400000,100000,100000,- -,- -,- -,660000,1239000,641000,- -,- -,89000,63000,1000000,5000000,- -,16833000,38471000,22725000,22684000,279000,17979000,10334000
59,Other Liabilities,- -,- -,- -,- -,- -,42673000,21343000,19131000,15887000,9689000,- -,- -,389000,363000,9100000,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2000000,21700000,80700000,93800000,58600000,48300000,47200000,45500000,33500000,31000000,31200000,400000,300000,300000,8100000,11300000,6152000,5346000,4627000,1931000,2605000,17840000,33389000,15429000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,100000,200000,200000,200000,200000,- -,- -,1000000,- -,- -,- -,- -,- -,- -,131000,13000,13000,13000,13000,13000,13000,13000
64,Retained Earnings,-7700000,-132600000,-3203500000,-4146400000,-4242500000,-4263700000,-4285400000,-4303400000,-4305800000,-4313900000,-4317500000,-4280900000,-4281600000,-4282600000,-4284100000,-4271200000,-4250428000,-4257798000,-4228910000,-4225863000,-4219455000,-4195627000,-4190425000,-4164496000
65,Other Comprehensive Income/Loss,-200000,-30000000,-44000000,-47000000,-8777000,-1503000,401000,517000,171000,638000,-684000,- -,- -,- -,- -,- -,- -,- -,-87000,213000,- -,-181000,- -,- -
66,Other Total Stockholders Equity,17900000,211000000,4146900000,4260000000,4273029000,4286535000,4287963000,4293083000,4302529000,4316668000,4320784000,4320600000,4320600000,4320600000,4321300000,4321500000,4432364000,4432926000,4433289000,4433589000,4432499000,4432327000,4430924000,4431719000
67,Total Stockholders Equity,10000000,48500000,899500000,66800000,21952000,21532000,3164000,-9794000,-3132000,4406000,2590000,39685000,39008000,38023000,37188000,50304000,182067000,175141000,204305000,207952000,213057000,236532000,240512000,267236000
68,Total Liabilities And Stockholders Equity,12000000,70200000,980200000,160600000,80552000,69832000,50364000,35706000,30368000,35406000,33790000,40085000,39308000,38323000,45288000,61604000,188219000,180487000,208932000,209883000,215662000,254372000,273901000,282665000
69,Minority Interest,- -,- -,-100000,100000,48000,68000,36000,-6000,-68000,-6000,10000,15000,-8000,-23000,12000,-4000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12000000,70200000,980100000,160700000,80600000,69900000,50400000,35700000,30300000,35400000,33800000,40100000,39300000,38300000,45300000,61600000,188219000,180487000,208932000,209883000,215662000,254372000,273901000,282665000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1089907/000101287000001774/0001012870-00-001774-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000101287001001496/0001012870-01-001496-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000108990702000004/0001089907-02-000004-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000108990703000003/0001089907-03-000003-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000108990704000006/0001089907-04-000006-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000119312505175547/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000119312506142567/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000119312507071020/0001193125-07-071020-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000119312508058966/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000119312509113176/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000114036110014452/0001140361-10-014452-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000143774911001837/swk_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1089907/000143774912003052/0001437749-12-003052-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000143774913003550/0001437749-13-003550-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000143774914005426/swkh20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000155278115000357/e00129_swkh-10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000155278116001431/0001552781-16-001431-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278117000140/0001552781-17-000140-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278118000138/0001552781-18-000138-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278119000124/0001552781-19-000124-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278120000237/0001552781-20-000237-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278121000167/0001552781-21-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1089907/000155278122000279/0001552781-22-000279-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6300000,-118700000,-3070900000,-942900000,-96100000,-21200000,-21800000,-18000000,-2400000,-8000000,-3700000,34900000,-700000,-1100000,-1400000,12900000,20765000,-7370000,28888000,3047000,6195000,23828000,5202000,25929000
74,Depreciation and Amortization,1500000,82000000,896747000,153612000,30550000,15411000,6821000,2459000,1586000,1303000,1775000,1692000,- -,2000,5000,2000,3000,10000,- -,- -,- -,4954000,12091000,4061000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9803000,-10303000,3273000,-21638000,15745000,31000,-7100000,-1711000,6952000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2212000,1626000,8000,81000,586000,254000,844000,640000,363000,300000,267000,530000,728000,1163000
77,Change in Working Capital,- -,29000000,1000000,-9000000,-32500000,37373000,-29658000,-7461000,3535000,-5159000,-9894000,13064000,39694000,-998000,-12269000,-23270000,62158000,-11215000,-17843000,-1807000,-11096000,-2153000,1211000,479000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1701000,2417000,- -,- -,-197000,-331000,-525000,-74000,-457000,-583000,-558000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94000,234000,498000,-76000,-106000,1158000,-1296000,-1734000,1527000,2159000
81,Other Working Capital,9300000,38300000,39300000,30300000,-2200000,35173000,5515000,-1946000,1589000,-3570000,-13464000,-400000,39294000,38296000,26027000,2757000,64915000,53700000,35857000,34050000,22954000,- -,- -,- -
82,Other Non-Cash Items,-100000,-18000000,2082406000,685847000,55872000,-44271000,31564000,6739000,-4382000,3423000,9189000,-53326000,-40312000,790000,11963000,21261000,-68342000,25871000,19873000,2173000,24229000,-1523000,1747000,-4289000
83,Cash Provided by Operating Activities,-4900000,-25700000,-90747000,-112441000,-42178000,-12687000,-13073000,-16263000,-1661000,-8433000,-418000,-2044000,-1310000,-1225000,-1115000,1344000,5125000,11209000,9643000,19458000,19626000,18536000,19268000,34295000
84,CAPEX,-900000,-8400000,-35637000,-16780000,-12252000,-1230000,-895000,-465000,-860000,-1951000,-1169000,-351000,-6000,- -,-4000,-4000,-1000,-50000,- -,- -,- -,- -,-3937000,-1078000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-421000,- -,- -,-918000,85000,- -,- -,- -,-13000000,- -,- -,- -,- -,- -,- -,-19719000,- -,- -
86,Purchases of Investments,- -,-36000000,- -,- -,-32540000,-8591000,-12515000,-10351000,- -,- -,- -,- -,- -,- -,-19500000,-3000000,-1730000,- -,- -,- -,- -,-159000,- -,- -
87,Sales/Maturities of Investments,100000,- -,34225000,40587000,36657000,11803000,22901000,16740000,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,1446000,438000,290000,263000,115000,1997000
88,Other Investing Activites,-100000,- -,23806000,25756000,10570000,-13000,352000,-932000,- -,74000,20000,36708000,1945000,169000,13000000,-17064000,-53899000,-18909000,-22498000,-12561000,-28420000,-7107000,-31344000,24842000
89,Cash Used for Investing Activites,-900000,-44400000,22394000,49563000,2435000,1969000,9422000,4992000,-860000,-2795000,-1064000,36357000,1939000,169000,-19504000,-20068000,-55630000,-18879000,-21052000,-12123000,-28130000,-26722000,-35166000,25761000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2425000,-3982000,- -,- -,- -,- -,-5000000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,11600000,66900000,128372000,11478000,33458000,14217000,824000,6333000,2945000,10392000,- -,- -,22000,- -,- -,- -,110154000,17000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-213000,- -,- -,-1357000,-883000,-2010000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,700000,8100000,-2210000,1508000,2592000,-42000,- -,-1927000,-931000,-453000,7045000,1339000,- -,- -,7000000,1804000,-3585000,-3575000,-3696000,-8960000,-469000,- -,9758000,-20201000
95,Cash Used/Provided by Financing Activities,12300000,75000000,126162000,12986000,36050000,14175000,824000,4406000,2014000,9939000,4620000,-2643000,22000,- -,7000000,1804000,101569000,-3771000,-3696000,-8960000,-1826000,-883000,7748000,-20201000
96,Effect of Forex Changes on Cash,- -,-100000,-302000,-834000,179000,213000,317000,-691000,10000,-123000,-456000,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6500000,4800000,57507000,-50726000,-3514000,3670000,-2510000,-7556000,-497000,-1413000,2682000,31620000,651000,-1056000,-13619000,-16920000,51064000,-11441000,-15105000,-1625000,-10330000,-9069000,-8150000,39855000
98,Cash at the End of Period,9800000,18700000,76202000,25476000,21962000,25632000,13772000,6216000,5719000,4306000,6988000,38608000,39259000,38203000,24584000,7664000,58728000,47287000,32182000,30557000,20227000,11158000,3008000,42863000
99,Cash at the Beginning of Period,3300000,13900000,18695000,76202000,25476000,21962000,16282000,13772000,6216000,5719000,4306000,6988000,38608000,39259000,38203000,24584000,7664000,58728000,47287000,32182000,30557000,20227000,11158000,3008000
100,Free Cash Flow,-5800000,-34100000,-126384000,-129221000,-54430000,-13917000,-13968000,-16728000,-2521000,-10384000,-1587000,-2395000,-1316000,-1225000,-1119000,1340000,5124000,11159000,9643000,19458000,19626000,18536000,15331000,33217000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1089907/000101287000001774/0001012870-00-001774-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000101287001001496/0001012870-01-001496-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000108990702000004/0001089907-02-000004-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000108990703000003/0001089907-03-000003-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000108990704000006/0001089907-04-000006-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000119312505175547/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000119312506142567/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000119312507071020/0001193125-07-071020-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000119312508058966/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000119312509113176/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000114036110014452/0001140361-10-014452-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000143774911001837/swk_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1089907/000143774912003052/0001437749-12-003052-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000143774913003550/0001437749-13-003550-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000143774914005426/swkh20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000155278115000357/e00129_swkh-10k.htm,https://www.sec.gov/Archives/edgar/data/1089907/000155278116001431/0001552781-16-001431-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278117000140/0001552781-17-000140-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278118000138/0001552781-18-000138-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278119000124/0001552781-19-000124-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278120000237/0001552781-20-000237-index.html,https://www.sec.gov/Archives/edgar/data/1089907/000155278121000167/0001552781-21-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1089907/000155278122000279/0001552781-22-000279-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
