,https://roic.ai/company/DKS,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
49,Short-Term Debt,- -,- -,- -,- -,213000,505000,635000,181000,152000,250000,606000,978000,995000,7426000,8513000,899000,537000,589000,646000,5202000,5263000,422970000,472670000,480318000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8687000,- -,95948000,148159000,101803000,128051000,128064000,164427000,107072000,111445000,99023000,150008000,13464000
51,Deferred Revenue,- -,- -,- -,- -,8697000,37037000,7966000,429000,17440000,19714000,102866000,66089000,18961000,12330000,30289000,38835000,151791000,6165000,45927000,13639000,13243000,159417000,173786000,317433000
52,Other Current Liabilities,- -,- -,- -,- -,86090000,72090000,182399000,217290000,260708000,376136000,212890000,297233000,382044000,409944000,454798000,400466000,351994000,507057000,595305000,563098000,596225000,492498000,645649000,633607000
53,Total Current Liabilities,- -,- -,- -,- -,220200000,228015000,402700000,471300000,565000000,761900000,615475000,795700000,848500000,940100000,1000800000,1002600000,1118833000,1191675000,1397415000,1425014000,1504639000,2076474000,2550198000,2712680000
54,Long-Term Debt,- -,- -,- -,- -,3400000,3411000,272600000,188400000,194000000,204900000,181258000,141300000,139800000,153700000,7800000,6500000,5913000,5324000,4679000,60084000,54781000,224100000,2677801000,4029876000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65957000,70713000,80130000,93321000,102938000,105998000,98808000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12330000,7413000,38617000,44494000,6454000,- -,10200000,11776000,9200000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,12100000,24124000,96100000,113300000,144700000,180300000,274209000,225100000,245700000,257570000,218530000,260870000,354603000,473375000,623775000,661142000,612984000,2587188000,185326000,197534000
58,Total Non-Current Liabilities,- -,- -,- -,- -,15500000,27535000,368700000,301700000,338700000,385200000,455467000,366400000,385500000,423600000,299700000,376700000,485140000,578474000,731392000,837424000,778349000,2820488000,2863127000,4227410000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2138000,- -,- -,- -,- -,- -,- -,- -,2876316000,2731978000,2579464000
61,Total Liabilities,- -,- -,- -,- -,235700000,255550000,771400000,773000000,903700000,1147100000,1070942000,1162100000,1234000000,1363700000,1300500000,1379300000,1603973000,1770149000,2128807000,2262438000,2282988000,4896962000,5413325000,6940090000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,200000,472000,500000,500000,500000,1100000,1124000,1100000,1200000,1200000,1200000,1200000,1181000,1118000,1103000,1030000,938000,836000,849000,756000
64,Retained Earnings,- -,- -,- -,- -,10200000,63044000,129900000,202800000,315500000,469000000,433880000,548400000,730500000,932900000,911700000,1187500000,1471182000,1737214000,1956066000,2205651000,2455192000,2645281000,3064702000,3956602000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-63800000,3717000,1996000,1923000,1800000,2012000,1502000,6973000,6741000,118000,112000,24000,-73000,-179000,-132000,-78000,-120000,-120000,-49000,-82000
66,Other Total Stockholders Equity,- -,- -,- -,- -,193899000,175748000,181271000,209570000,302750000,416408000,459076000,526754000,625140000,698527000,674312000,503455000,359935000,51034000,-27548000,-265102000,-551849000,-914399000,-725968000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,140499000,242981000,313667000,414793000,620550000,888520000,895582000,1083227000,1363581000,1632745000,1587324000,1692179000,1832225000,1789187000,1929489000,1941501000,1904161000,1731598000,2339534000,2101586000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,376199000,498531000,1085067000,1187793000,1524250000,2035620000,1966524000,2245327000,2597581000,2996445000,2887824000,3071479000,3436198000,3559336000,4058296000,4203939000,4187149000,6628560000,7752859000,9041676000
69,Minority Interest,- -,- -,- -,- -,1000,- -,-67000,7000,50000,-20000,- -,-27000,-81000,55000,-24000,21000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,376200000,498531000,1085000000,1187800000,1524300000,2035600000,1966524000,2245300000,2597500000,2996500000,2887800000,3071500000,3436198000,3559336000,4058296000,4203939000,4187149000,6628560000,7752859000,9041676000
71,SEC Link,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1089063/000095015203004703/0000950152-03-004703-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000119312504059174/0001193125-04-059174-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000095012805000095/0000950128-05-000095-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000095015206002436/j1821501e10vk.htm,https://www.sec.gov/Archives/edgar/data/1089063/000095015207002541/l24092ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1089063/000095015208002365/l29837ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1089063/000095015209002909/0000950152-09-002909-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000095012310025791/0000950123-10-025791-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000095012311026789/l41587e10vk.htm,https://www.sec.gov/Archives/edgar/data/1089063/000104746912002799/0001047469-12-002799-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000104746913003238/0001047469-13-003238-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906314000046/dks-20140201x10k.htm,https://www.sec.gov/Archives/edgar/data/1089063/000108906315000020/dks-10k_20150131.htm,https://www.sec.gov/Archives/edgar/data/1089063/000108906316000107/0001089063-16-000107-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906317000010/0001089063-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906318000029/0001089063-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906319000017/0001089063-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906320000014/0001089063-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906321000036/0001089063-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1089063/000108906322000031/0001089063-22-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6325000,11177000,8411000,23471000,38300000,52819000,68900000,73000000,112600000,155000000,-35094000,135400000,182100000,263900000,290700000,337600000,344198000,330391000,287396000,323445000,319864000,297462000,530251000,1519871000
74,Depreciation and Amortization,8121000,8662000,9425000,12082000,14420000,17554000,37621000,49861000,54929000,75052000,90732000,100948000,110394000,116581000,125096000,154928000,179431000,193594000,233834000,237651000,243830000,270448000,326014000,322551000
75,Deferred Income Tax,- -,- -,- -,1187000,-5019000,8476000,18124000,1559000,-1110000,-32696000,-45906000,9151000,18005000,25816000,-2362000,24563000,-6259000,9243000,-45036000,42453000,-5258000,-1160000,-46250000,16451000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21314000,24828000,23919000,32181000,27119000,26275000,29288000,33602000,36239000,41941000,43493000,50177000,52800000
77,Change in Working Capital,- -,- -,- -,- -,55100000,81579000,-8279000,14300000,162100000,3000000,126589000,-7689000,289100000,212500000,-333200000,22400000,114051000,-110536000,-22752000,-17192000,36688000,-284217000,875910000,-325595000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6823000,9265000,-3350000,-4328000,-9690000,1797000,-6412000,-4125000,-208000,16215000,400000,2308000,2011000
79,Inventory,- -,- -,- -,-39264000,-31912000,-20863000,-44813000,-77872000,-105766000,-127027000,29581000,-41005000,-1119000,-118102000,-81189000,-135879000,-158702000,-136420000,-84733000,-71751000,-94131000,-377579000,248707000,-344041000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132858000,-2251000,73950000,-13588000,11684000,81330000,34232000,59870000,124628000,125632000,94202000,199295000,37782000
81,Other Working Capital,- -,- -,- -,- -,55100000,136679000,128400000,142700000,304800000,307800000,434389000,426700000,715800000,928300000,595100000,617500000,731551000,621015000,598263000,581071000,617759000,333542000,1209452000,-66607000
82,Other Non-Cash Items,-14446000,-19839000,-17836000,-24733000,-41663000,-73928000,-8525000,30810000,-132303000,62478000,23490000,142205000,-234460000,-232295000,325869000,-162740000,-51718000,191534000,271939000,123714000,75690000,78586000,-183333000,30794000
83,Cash Provided by Operating Activities,- -,- -,- -,12007000,61138000,86500000,107841000,169530000,196216000,262834000,159811000,401329000,389967000,410421000,438284000,403870000,605978000,643514000,758983000,746310000,712755000,404612000,1552769000,1616872000
84,CAPEX,- -,- -,- -,-32219000,-29001000,-54350000,-104944000,-112002000,-190288000,-172366000,-216530000,-140269000,-159067000,-201807000,-219026000,-285668000,-349007000,-370028000,-421920000,-474347000,-198219000,-217461000,-224027000,-308261000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-351554000,- -,- -,-291370000,- -,- -,- -,- -,- -,- -,- -,- -,-118769000,-8957000,- -,40387000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-57942000,- -,- -,- -,- -,- -,- -,- -,-31986000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,4150000,57942000,1922000,- -,- -,- -,- -,- -,14140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,10254000,6417000,16805000,41726000,16362000,21097000,28440000,72336000,-108629000,-161135000,-213756000,-292368000,-339175000,-305020000,-372434000,-431555000,-476691000,-198219000,-169658000,-224164000,-343979000
89,Cash Used for Investing Activites,- -,- -,- -,-21965000,-22584000,-33395000,-414772000,-93718000,-169191000,-435296000,-144194000,-108629000,-161135000,-199616000,-324354000,-339175000,-305020000,-372434000,-550324000,-485648000,-198219000,-129271000,-224164000,-343979000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175671000,16462000,-995000,-145322000,-8984000,-1402725000,-1338637000,-2160188000,-2745331000,-1880642000,-2096301000,-1516626000,-15279000
91,Common Stock Issued,- -,- -,- -,- -,39360000,15902000,8250000,11089000,26776000,34766000,12494000,1199000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-386000,- -,- -,-1224000,-198774000,-255602000,-200000000,-357276000,-145738000,-284583000,-323352000,-402240000,- -,-1144633000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60460000,-306972000,-64432000,-61262000,-64715000,-67972000,-73099000,-89273000,-98312000,-107404000,-602964000
94,Other Financing Activites,- -,- -,- -,10655000,-75770000,13547000,223893000,-69223000,45577000,51927000,-3060000,32438000,75129000,40228000,147956000,100928000,1403074000,1386911000,2211033000,2778773000,1791173000,2277193000,1884087000,1475154000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,10655000,-36410000,29449000,232143000,-58134000,72353000,86693000,9048000,-142034000,91591000,-22451000,-503112000,-228090000,-260913000,-373717000,-162865000,-324240000,-502094000,-319660000,260057000,-287722000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000,-135000,108000,18000,-4000,-6000,-88000,-97000,-106000,47000,54000,-42000,- -,71000,-33000
97,Net Change In Cash,- -,- -,- -,697000,2144000,82554000,-74788000,17678000,99378000,-85635000,24530000,150774000,320441000,188350000,-389188000,-163483000,39948000,-102743000,45841000,-63524000,12400000,-44319000,1588733000,985138000
98,Cash at the End of Period,- -,- -,- -,8976000,11120000,93674000,18886000,36564000,135942000,50307000,74837000,225611000,546052000,734402000,345214000,181731000,221679000,118936000,164777000,101253000,113653000,69334000,1658067000,2643205000
99,Cash at the Beginning of Period,- -,- -,- -,8279000,8976000,11120000,93674000,18886000,36564000,135942000,50307000,74837000,225611000,546052000,734402000,345214000,181731000,221679000,118936000,164777000,101253000,113653000,69334000,1658067000
100,Free Cash Flow,- -,- -,- -,-20212000,32137000,32150000,2897000,57528000,5928000,90468000,-56719000,261060000,230900000,208614000,219258000,118202000,256971000,273486000,337063000,271963000,514536000,187151000,1328742000,1308611000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089063/000095015203004703/0000950152-03-004703-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000119312504059174/0001193125-04-059174-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000095012805000095/0000950128-05-000095-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000095015206002436/j1821501e10vk.htm,https://www.sec.gov/Archives/edgar/data/1089063/000095015207002541/l24092ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1089063/000095015208002365/l29837ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1089063/000095015209002909/0000950152-09-002909-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000095012310025791/0000950123-10-025791-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000095012311026789/l41587e10vk.htm,https://www.sec.gov/Archives/edgar/data/1089063/000104746912002799/0001047469-12-002799-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000104746913003238/0001047469-13-003238-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906314000046/dks-20140201x10k.htm,https://www.sec.gov/Archives/edgar/data/1089063/000108906315000020/dks-10k_20150131.htm,https://www.sec.gov/Archives/edgar/data/1089063/000108906316000107/0001089063-16-000107-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906317000010/0001089063-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906318000029/0001089063-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906319000017/0001089063-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906320000014/0001089063-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1089063/000108906321000036/0001089063-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1089063/000108906322000031/0001089063-22-000031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
