,https://roic.ai/company/SPGI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75624000,76867000,81643000,75000000,81000000,59000000,59000000,102000000,181000000,149000000,134000000,198000000,141000000,119000000
14,Depreciation and Amortization,43300000,51500000,65600000,66200000,68900000,66800000,72100000,74300000,139600000,230000000,231400000,238600000,293500000,299200000,308400000,362325000,420598000,408771000,403179000,392713000,385261000,389992000,401171000,448788000,435953000,417399000,187000000,141000000,137000000,134000000,157000000,181000000,180000000,206000000,204000000,206000000,178000000
15,EBITDA,327600000,347300000,364700000,445800000,155500000,369400000,330400000,217000000,205800000,575400000,617600000,1053400000,764800000,851000000,1006400000,1061545000,1035656000,1313836000,1533295000,1561031000,1745223000,1794815000,2023703000,1803598000,1672430000,1814652000,1662000000,1063000000,2015000000,323000000,1962000000,3428000000,2648000000,2858000000,3152000000,3575000000,4222000000
16,EBITDA ratio,0.2197,0.2203,0.2083,0.2452,0.0869,0.1905,0.1700,0.1058,0.0937,0.2084,0.2104,0.3426,0.2164,0.2282,0.2521,0.2480,0.2229,0.2744,0.3176,0.2973,0.2907,0.2869,0.2988,0.2838,0.2810,0.2942,0.2661,0.2389,0.4133,0.0639,0.3693,0.6055,0.4367,0.4567,0.4705,0.4804,0.5089
17,Operating Income,261800000,279000000,268200000,274400000,53300000,325100000,269600000,284100000,292700000,375700000,402700000,423000000,485000000,551600000,676000000,765660000,670128000,927582000,1137374000,1174690000,1365164000,1418454000,1663113000,1354810000,1255736000,1421059000,1422000000,1211000000,1405000000,113000000,1917000000,3369000000,2610000000,2790000000,3226000000,3617000000,4221000000
18,Operating Income ratio,0.1756,0.1769,0.1532,0.1509,0.0298,0.1677,0.1388,0.1386,0.1333,0.1361,0.1372,0.1376,0.1372,0.1479,0.1693,0.1789,0.1443,0.1937,0.2356,0.2237,0.2274,0.2268,0.2456,0.2132,0.2110,0.2304,0.2277,0.2721,0.2882,0.0224,0.3608,0.5951,0.4305,0.4458,0.4816,0.4860,0.5087
19,Total Other Income Expenses (Gains),22500000,16800000,30900000,105200000,33300000,-22500000,-11300000,-16800000,-226500000,-30300000,-16500000,391800000,-13700000,8900000,22000000,1682000,-55070000,-22517000,-7097000,-5785000,-5202000,-13631000,-40581000,-75624000,-76867000,-81643000,-75000000,-81000000,-59000000,-59000000,-102000000,-181000000,-149000000,-109000000,-296000000,-389000000,-57000000
20,Income Before Tax,284300000,295800000,299100000,379600000,86600000,302600000,258300000,267300000,66200000,345400000,386200000,814800000,471300000,560500000,698000000,767342000,615058000,905065000,1130277000,1168905000,1359962000,1404823000,1622532000,1279186000,1178869000,1339416000,1347000000,1130000000,1346000000,54000000,1815000000,3188000000,2461000000,2681000000,2930000000,3228000000,4164000000
21,Income Before Tax Ratio,0.1907,0.1876,0.1708,0.2088,0.0484,0.1561,0.1329,0.1304,0.0302,0.1251,0.1316,0.2650,0.1334,0.1503,0.1748,0.1792,0.1324,0.1890,0.2341,0.2226,0.2265,0.2246,0.2396,0.2013,0.1981,0.2171,0.2157,0.2539,0.2761,0.0107,0.3416,0.5632,0.4059,0.4284,0.4374,0.4338,0.5019
22,Income Tax expense (Gain),136900000,141800000,134300000,194100000,46800000,130100000,110300000,114100000,54800000,142300000,159100000,319100000,180600000,218600000,272200000,295426000,238027000,328305000,442466000,412495000,515656000,522592000,608973000,479695000,429108000,487547000,489000000,404000000,443000000,245000000,547000000,960000000,823000000,560000000,627000000,694000000,901000000
23,Net Income,147400000,154000000,164800000,185500000,39800000,172500000,148000000,28600000,11400000,203100000,227100000,495700000,290700000,333200000,425800000,403794000,377031000,576760000,687650000,755823000,844306000,882231000,1013559000,799491000,730502000,828063000,911000000,437000000,1376000000,-115000000,1156000000,2106000000,1496000000,1958000000,2123000000,2534000000,3024000000
24,Net Income ratio,0.0988,0.0977,0.0941,0.1020,0.0222,0.0890,0.0762,0.0139,0.0052,0.0736,0.0774,0.1612,0.0823,0.0894,0.1067,0.0943,0.0812,0.1205,0.1424,0.1440,0.1406,0.1410,0.1497,0.1258,0.1227,0.1342,0.1459,0.0982,0.2823,-0.0228,0.2176,0.3720,0.2467,0.3129,0.3169,0.3405,0.3645
25,EPS,0.36,0.38,0.41,0.48,0.10,0.45,0.38,0.07,0.03,0.51,0.57,1.24,0.73,0.84,1.08,1.04,0.97,1.50,1.80,1.99,2.25,2.47,3.01,2.53,2.34,2.68,3.05,1.57,5.01,-0.42,4.26,8.02,5.84,7.80,8.65,9.71,13.55
26,EPS Diluted,0.36,0.38,0.41,0.48,0.10,0.45,0.38,0.07,0.03,0.51,0.57,1.24,0.73,0.83,1.07,1.03,0.96,1.48,1.79,1.96,2.21,2.40,2.94,2.51,2.33,2.65,3.00,1.53,4.91,-0.42,4.21,7.94,5.78,7.73,8.60,9.66,13.50
27,Weighted Average Shares Outstanding,403835616,405263158,401951220,386458333,379047619,387640449,389473684,381333333,380000000,395992000,399008000,399988000,395510204,394319527,392442396,388263462,386698462,385792642,380969529,379810553,375247111,357178543,336210000,315559000,312223000,309379000,298000000,278600000,274500000,271500000,271600000,262800000,256300000,250900000,245400000,241000000,240900000
28,Weighted Average Shares Outstanding Diluted,403835616,405263158,401951220,386458333,379047619,387640449,389473684,381333333,380000000,395992000,399008000,399988000,399587629,399041916,397943925,392033010,392740625,389702703,384162011,385623980,382038914,367596250,344785000,318687000,313296000,312220000,304000000,284600000,279800000,271500000,274600000,265200000,258900000,253200000,246900000,242100000,241700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64040/000095012396001306/0000950123-96-001306-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64040/000095012305002243/0000950123-05-002243-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012306002219/0000950123-06-002219-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012307002897/0000950123-07-002897-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012308002305/0000950123-08-002305-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012309003645/0000950123-09-003645-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012310016328/0000950123-10-016328-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/0000950123-11-017079-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/0001193125-12-043165-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404013000005/0000064040-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404014000007/0000064040-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404015000004/0000064040-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404016000042/0000064040-16-000042-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404017000015/0000064040-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404018000061/0000064040-18-000061-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404019000059/0000064040-19-000059-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404020000055/0000064040-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404021000063/0000064040-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404022000055/0000064040-22-000055-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,10300000,3400000,4800000,10500000,6500000,3171000,53535000,58186000,695591000,680623000,748787000,353498000,396096000,471671000,1209927000,1525596000,944000000,760000000,1542000000,2497000000,1481000000,2392000000,2779000000,1917000000,2866000000,4108000000,6497000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24602000,22156000,29000000,1000000,18000000,3000000,6000000,8000000,12000000,18000000,28000000,9000000,11000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,10300000,3400000,4800000,10500000,6500000,3171000,53535000,58186000,695591000,680623000,748787000,353498000,396096000,471671000,1234529000,1547752000,973000000,761000000,1560000000,2500000000,1487000000,2400000000,2791000000,1935000000,2894000000,4117000000,6508000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,781000000,865000000,882000000,981900000,954900000,1052600000,1095118000,1038308000,991806000,956439000,1051438000,1114291000,1237321000,1189205000,1060858000,969662000,990573000,1045000000,954000000,979000000,932000000,991000000,1122000000,1319000000,1449000000,1577000000,1593000000,1650000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,213300000,238000000,273200000,290500000,284700000,295300000,388947000,402647000,360757000,301187000,300459000,335278000,322172000,350668000,369679000,301229000,275102000,263000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,121700000,126500000,191000000,187200000,178700000,199300000,314454000,318457000,263558000,302935000,415310000,392583000,344947000,397066000,400515000,430976000,481184000,398000000,2184000000,397000000,534000000,818000000,149000000,214000000,220000000,241000000,278000000,652000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1124100000,1239800000,1349600000,1464400000,1428800000,1553700000,1801690000,1812947000,1674307000,2256152000,2447830000,2590939000,2257938000,2333035000,2302723000,2936396000,3294611000,2679000000,3899000000,2936000000,3966000000,3296000000,3671000000,4324000000,3604000000,4712000000,5988000000,8810000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,345800000,336100000,311500000,273600000,364000000,430400000,431905000,454940000,431460000,467328000,513066000,526750000,542219000,660766000,621062000,579796000,548767000,500000000,368000000,249000000,206000000,270000000,271000000,275000000,270000000,996000000,778000000,667000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1671479000,1697621000,1703240000,1690507000,1886963000,2048000000,1438000000,1412000000,1387000000,2882000000,2949000000,2989000000,3535000000,3575000000,3735000000,3506000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,972900000,958400000,1306300000,1308300000,1259500000,1253100000,1697448000,1818446000,1805652000,1702977000,1953485000,2351971000,1161290000,1211670000,591130000,538735000,663882000,608000000,1081000000,1033000000,1004000000,1522000000,1506000000,1388000000,1524000000,1424000000,1352000000,1285000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,972900000,958400000,1306300000,1308300000,1259500000,1253100000,1697448000,1818446000,1805652000,1702977000,1953485000,2351971000,2832769000,2909291000,2294370000,2229242000,2550845000,2656000000,2519000000,2445000000,2391000000,4404000000,4455000000,4377000000,5059000000,4999000000,5087000000,4791000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79559000,24072000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,565700000,570100000,674800000,678200000,735800000,851600000,1000401000,1074858000,1120763000,967611000,948608000,926148000,409964000,454244000,782428000,705744000,652338000,592000000,266000000,431000000,208000000,213000000,272000000,449000000,525000000,641000000,684000000,758000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1884400000,1864600000,2292600000,2260100000,2359300000,2535100000,3129754000,3348244000,3357875000,3137916000,3415159000,3804869000,3784952000,4024301000,3777419000,3538854000,3751950000,3748000000,3153000000,3125000000,2805000000,4887000000,4998000000,5101000000,5854000000,6636000000,6549000000,6216000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3008500000,3104400000,3642200000,3724500000,3788100000,4088800000,4931444000,5161191000,5032182000,5394068000,5862989000,6395808000,6042890000,6357336000,6080142000,6475250000,7046561000,6427000000,7052000000,6061000000,6771000000,8183000000,8669000000,9425000000,9458000000,11348000000,12537000000,15026000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,176300000,215200000,241700000,285900000,318600000,340200000,313286000,339541000,303354000,306157000,318301000,336285000,372471000,388008000,337459000,301828000,396480000,347000000,249000000,219000000,191000000,206000000,183000000,195000000,211000000,190000000,233000000,205000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,105300000,71300000,24500000,77400000,75500000,181700000,227848000,222953000,119414000,25955000,4613000,2947000,2367000,22000,70022000,22000,- -,400000000,457000000,- -,- -,143000000,- -,399000000,- -,- -,100000000,96000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,90000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,719948000,853253000,983210000,1085440000,1099167000,1126593000,1205744000,1303000000,1229000000,1309000000,1323000000,1421000000,1509000000,1613000000,1641000000,1928000000,2168000000,2217000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,726400000,760000000,952500000,842900000,897400000,1003600000,1239651000,1313899000,1352523000,1661622000,925800000,1032341000,1109968000,1183390000,1024055000,1023511000,1078650000,1080000000,1732000000,844000000,2453000000,1138000000,919000000,1007000000,777000000,975000000,1086000000,1297000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1008000000,1046500000,1218700000,1206200000,1291500000,1525500000,1780785000,1876393000,1775291000,1993734000,1968662000,2224826000,2468016000,2656860000,2530703000,2451954000,2680874000,3130000000,3667000000,2372000000,3967000000,2908000000,2611000000,3214000000,2629000000,3093000000,3587000000,3815000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,657500000,557400000,556900000,607000000,452100000,354800000,817529000,833571000,458923000,389000,513000,339000,314000,1197425000,1197611000,1197791000,1197965000,798000000,799000000,799000000,799000000,3468000000,3564000000,3170000000,3662000000,3948000000,4654000000,4606000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159115000,147838000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,129800000,140500000,150300000,111000000,129300000,135400000,163231000,190334000,200114000,200485000,232081000,318015000,150713000,139173000,3406000,9965000,- -,- -,- -,205000000,56000000,23000000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,300100000,324900000,355200000,365700000,363400000,381600000,408855000,407008000,432032000,642409000,677220000,739480000,744229000,757228000,906971000,738525000,876331000,915000000,1746000000,1341000000,1410000000,1541000000,1793000000,2273000000,2483000000,3771000000,3725000000,1069000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1087400000,1022800000,1062400000,1083700000,944800000,871800000,1389615000,1430913000,1091069000,843283000,909814000,1057834000,895256000,2093826000,2267103000,2094119000,2074296000,1713000000,2545000000,2345000000,2265000000,5032000000,5357000000,5443000000,6145000000,7719000000,8379000000,5675000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,732000000,644000000,588000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2095400000,2069300000,2281100000,2289900000,2236300000,2397300000,3170400000,3307306000,2866360000,2837017000,2878476000,3282660000,3363272000,4750686000,4797806000,4546073000,4755170000,4843000000,6212000000,4717000000,6232000000,7940000000,7968000000,8657000000,8774000000,10812000000,11966000000,9490000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205800000,205839000,205839000,205853000,205854000,205855000,411709000,411709000,411709000,411709000,411709000,411709000,412000000,412000000,412000000,412000000,412000000,412000000,412000000,294000000,294000000,294000000,294000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,923100000,1030500000,1394900000,1542900000,1670100000,1926800000,2105145000,2292342000,2672086000,3153195000,3680852000,4199210000,4821118000,5551757000,6070793000,6522613000,7056628000,7667000000,6525000000,7384000000,6946000000,7636000000,9210000000,10025000000,11284000000,12205000000,13367000000,15017000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-442900000,-491200000,-524200000,-564600000,-550800000,-563300000,-614464000,-623790000,-640493000,-664098000,-682726000,-81000000,-115000000,-13000000,-444000000,-343000000,-367000000,-425000000,-517000000,-196000000,-514000000,-600000000,-773000000,-649000000,-742000000,-624000000,-637000000,-841000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,432900000,495800000,490400000,456300000,432500000,122200000,64524000,- -,-71624000,-137900000,-219468000,-1416771000,-2438209000,-4343816000,-4756166000,-4744035000,-4891041000,-6146000000,-5653000000,-6299000000,-6356000000,-7254000000,-8199000000,-9077000000,-10208000000,-11396000000,-12515000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,913100000,1035100000,1361100000,1434600000,1551800000,1691500000,1761044000,1853885000,2165822000,2557051000,2984513000,3113148000,2679618000,1606650000,1282336000,1847287000,2210296000,1508000000,767000000,1301000000,488000000,194000000,650000000,711000000,628000000,479000000,509000000,2032000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3008500000,3104400000,3642200000,3724500000,3788100000,4088800000,4931444000,5161191000,5032182000,5394068000,5862989000,6395808000,6042890000,6357336000,6080142000,6393360000,6965466000,6351000000,6979000000,6018000000,6720000000,8134000000,8618000000,9368000000,9402000000,11291000000,12475000000,11522000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81890000,81095000,76000000,73000000,43000000,51000000,49000000,51000000,57000000,56000000,57000000,62000000,3504000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3008500000,3104400000,3642200000,3724500000,3788100000,4088800000,4931444000,5161191000,5032182000,5394068000,5862989000,6395808000,6042890000,6357336000,6080142000,6475250000,7046561000,6427000000,7052000000,6061000000,6771000000,8183000000,8669000000,9425000000,9458000000,11348000000,12537000000,15026000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/64040/000095012396001306/0000950123-96-001306-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64040/000095012305002243/0000950123-05-002243-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012306002219/0000950123-06-002219-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012307002897/0000950123-07-002897-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012308002305/0000950123-08-002305-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012309003645/0000950123-09-003645-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012310016328/0000950123-10-016328-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/0000950123-11-017079-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/0001193125-12-043165-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404013000005/0000064040-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404014000007/0000064040-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404015000004/0000064040-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404016000042/0000064040-16-000042-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404017000015/0000064040-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404018000061/0000064040-18-000061-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404019000059/0000064040-19-000059-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404020000055/0000064040-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404021000063/0000064040-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404022000055/0000064040-22-000055-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,39800000,172500000,148000000,28600000,11400000,203100000,227100000,495700000,290700000,333200000,425800000,403794000,377031000,576760000,687650000,755823000,844306000,882231000,1013559000,799491000,730502000,828063000,911000000,437000000,1376000000,-115000000,1156000000,2106000000,1496000000,1958000000,2123000000,2534000000,3024000000
74,Depreciation and Amortization,- -,- -,- -,- -,68900000,66800000,72100000,74300000,139600000,230000000,231400000,238600000,293500000,299200000,308400000,362325000,420598000,408771000,403179000,392713000,385261000,389992000,401171000,448788000,435953000,417399000,187000000,141000000,137000000,134000000,157000000,181000000,180000000,206000000,204000000,206000000,178000000
75,Deferred Income Tax,- -,- -,- -,- -,5400000,84600000,54000000,- -,-39100000,39000000,18900000,- -,- -,- -,-8300000,34680000,7357000,64492000,-50017000,- -,- -,-86613000,-46615000,-17000,5688000,74406000,10000000,53000000,43000000,-245000000,280000000,79000000,- -,81000000,46000000,-31000000,13000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1934000,22268000,66485000,97000000,93000000,99000000,100000000,78000000,76000000,99000000,94000000,78000000,90000000,122000000
