,https://roic.ai/company/PFIN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24921473,4594028,4183028,5150000,5150000,5150000,5150000,5150000,11980000,12027000,3897000,4447000,4436000,4726000,4449000,4447000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,2900000,2800000,8300000,8000000,7626047,7301611,11543954,12335000,33519918,32616073,10897333,11103534,3121072,3866000,2300000,1950000,1752000,1502000,12437000,11110000,6606000,8533000,7800000,8259000,6226000,5592000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,2900000,2800000,8300000,8000000,7626047,7301611,11543954,12335000,33519918,32616073,35818806,15697562,7304100,9016000,7450000,7100000,6902000,6652000,24417000,23137000,10503000,12980000,12236000,12985000,10675000,10039000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1377000,- -,- -,- -,- -,3445000,5424000,1437000,1874000,1595000,3211000,1594000,- -,- -,1793000,872000,628000,216000,226000,349000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,100000,300000,100000,171103,102615,118528,121000,667259,808381,311721,214084,485133,262000,837000,778000,813000,643000,514000,303000,130000,110000,741000,502000,250000,77000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,9000000,8600000,19200000,19100000,18586353,17705321,26538687,25197000,43822338,40286063,43859717,34072832,26735557,26320000,21932000,20239000,22028000,19118000,35523000,33680000,19515000,22869000,23380000,27671000,23827000,21514000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35400000,31300000,32600000,48100000,54200000,54152817,46469522,59782556,58332000,90538073,86833547,90316990,83269667,70472485,69418000,48895000,46586000,55157000,53241000,73076000,70578000,54051000,55038000,55586000,61743000,53367000,58190000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,2700000,4000000,4800000,5600000,3177469,1981368,2860271,3302000,3355377,2927133,7691869,5042046,1961531,3514000,1673000,2229000,4843000,3006000,3160000,3556000,2398000,2443000,2755000,1843000,2199000,2920000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,1900000,200000,4000000,6900000,9296106,2313075,5902547,4526000,7062481,7058729,10559681,14305423,21515224,26783000,10402000,5648000,3253000,820000,14984000,10114000,13000,1928000,2549000,6527000,4204000,5765000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2100000,2800000,4100000,4700000,3955596,3459284,4573339,4347000,6768114,8580824,7350510,5849839,3768935,4137000,3142000,4401000,4332000,3520000,5482000,3961000,3752000,3520000,4579000,3587000,1879000,3393000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,6700000,7000000,12900000,17200000,16429171,7753727,13336157,12175000,17185972,18566686,25602060,25197308,27245690,34434000,15217000,12278000,12428000,7346000,23626000,17631000,6163000,7891000,9883000,11957000,8282000,12078000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,5300000,5200000,10200000,7300000,3862512,3548945,11591989,8724000,31847597,19572651,12059758,19744173,9028924,9050000,6973000,4861000,7363000,6903000,6493000,6000000,88000,94000,- -,3070000,3420000,2176000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,500000,700000,869000,939000,1031000,455000,337000,978000,1134000,- -,- -,- -,- -,- -,- -,- -,2720000,3077000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,342367,331071,319000,306000,292000,278000,262000,246000,228000,210000,1040000,168000,210000,127000,96000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,5300000,5500000,10700000,8000000,4731512,4487945,12622989,9179000,32184597,20550651,13193758,20086540,9359995,9369000,7279000,5153000,7641000,7165000,9459000,9305000,298000,1134000,168000,3280000,3547000,2272000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1039000,- -,- -,- -,- -,- -,- -,- -,3949000,3321000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,12000000,12500000,23600000,25200000,21160683,12241672,25959146,21354000,49370569,39117337,38795818,45283848,36605685,43803000,22496000,17431000,20069000,14511000,33085000,26936000,6461000,9025000,10051000,15237000,11829000,14350000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,3677593,3677593,3690367,3735000,3777367,3814367,3850367,3956431,3956431,3956000,3956000,3956000,4013000,4038000,4139000,4170000,4181000,4203000,4410000,4416000,4428000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,6200000,9200000,13200000,17700000,21560475,23373283,22997016,26360000,30398528,36969119,40850384,26756514,22458619,13999000,14680000,17235000,22646000,25871000,27951000,31495000,36061000,34455000,34588000,38867000,33756000,36046000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4800000,-5000000,-5300000,-6100000,-7200000,-8506651,-9901650,-11409203,-12840000,-11215631,-7620626,-8411447,-10010179,-11232252,-13060000,-13599000,-15091000,-15994000,-17553000,-19101000,-20585000,-1000000,-1000000,-1000000,-620000,-577000,-613000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,18100000,16200000,17400000,15000000,16260717,17078624,18545230,19723000,18207240,14553350,15231868,17283053,18684002,20720000,21362000,23055000,24423000,26374000,27002000,28562000,8348000,8355000,7537000,3843000,3931000,7794000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,19300000,20100000,24500000,29000000,32992134,34227850,33823410,36978000,41167504,47716210,51521172,37985819,33866800,25615000,26399000,29155000,35088000,38730000,39991000,43642000,47590000,46013000,45535000,46506000,41538000,43840000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35400000,31300000,32600000,48100000,54200000,54152817,46469522,59782556,58332000,90538073,86833547,90316990,83269667,70472485,69418000,48895000,46586000,55157000,53241000,73076000,70578000,54051000,55038000,55586000,61743000,53367000,58190000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35400000,31300000,32600000,48100000,54200000,54152817,46469522,59782556,58332000,90538073,86833547,90316990,83269667,70472485,69418000,48895000,46586000,55157000,53241000,73076000,70578000,54051000,55038000,55586000,61743000,53367000,58190000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/75340/000091205796005249/0000912057-96-005249-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75340/000104746903011332/0001047469-03-011332-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000104746904009971/0001047469-04-009971-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000104746905007988/0001047469-05-007988-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000110465906021386/0001104659-06-021386-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000110465907024924/0001104659-07-024924-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000104746908003855/0001047469-08-003855-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000104746909003490/0001047469-09-003490-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000104746910004276/0001047469-10-004276-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420411019026/0001144204-11-019026-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420412018388/0001144204-12-018388-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420413018620/0001144204-13-018620-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420414018584/0001144204-14-018584-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420415020040/0001144204-15-020040-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420416091206/0001144204-16-091206-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420417017217/0001144204-17-017217-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420418017894/0001144204-18-017894-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420419016851/0001144204-19-016851-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000110465920040353/0001104659-20-040353-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000110465921042284/0001104659-21-042284-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000141057822000641/0001410578-22-000641-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,1400000,- -,600000,1600000,200000,1000000,1000000,-1700000,1200000,1500000,2000000,3000000,3900000,4500000,3824940,1812808,-376267,3363000,4038563,6570591,3881265,-14093870,-4297895,-8460000,681000,2555000,5411000,3225000,2080000,3544000,6901000,-884000,856000,4911000,-4954000,2290000
74,Depreciation and Amortization,400000,500000,- -,600000,700000,800000,900000,900000,900000,800000,900000,800000,800000,1000000,1600000,1701233,1759734,1944242,2256000,2516717,1923566,2106196,2847257,2630770,2416000,1986000,1950000,2021000,1809000,2269000,3015000,2636000,2109000,2085000,2851000,3388000,2419000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-200000,- -,-1400000,700000,300000,- -,500000,-100000,200000,171000,18000,77000,-346000,-232000,215000,672000,-5161000,-2166000,4250000,- -,- -,-2243000,1588000,1458000,382000,-3946000,912000,253000,409000,-11000,-120000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208000,103000,201000,195000,378000,247000,129000,63000,118000,241000,158000,82000,5000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,-200000,1400000,-1000000,1900000,1237293,1873181,-1102762,1052288,8569763,-1548965,-7125585,3144314,-7508289,-7827238,3082000,2323000,6632000,6076000,-12850000,5340000,9106000,-4095000,-1955000,-3475000,2721000,3340000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373000,483000,658000,-401000,-2022000,1233000,-215000,498000,-1384000,482000,529000,1835000,10000
79,Inventory,- -,- -,- -,- -,- -,- -,-400000,2200000,-1300000,-600000,-1800000,3800000,-2300000,-2000000,-3600000,-2804489,6195765,518656,825000,-3375829,-2796634,-180350,1752904,450282,10297000,1316000,-158000,-5485000,1099000,1670000,223000,-316000,1913000,-901000,-1714000,4538000,-5671000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-409000,277000,- -,2614000,-1837000,-318000,408000,-372000,40000,317000,-1025000,352000,726000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,15600000,17000000,16000000,17900000,19137293,21010474,19907712,20960000,29529763,27980798,20855213,23999527,16491238,8664000,11746000,14069000,20701000,26777000,13927000,19267000,28373000,24278000,22323000,-318000,-1498000,24598000
82,Other Non-Cash Items,-1700000,-1900000,- -,-1200000,-2300000,-1000000,-300000,5000000,4400000,-7100000,-17300000,6100000,-5000000,1600000,-7600000,-5783510,3459326,5243831,-1353288,-9941775,-3323744,11357354,19820100,15360788,16975238,5935000,-1037000,-8688000,-9834000,15512000,-5837000,-15918000,6474000,1486000,-7368000,1821000,-12083000
