,https://roic.ai/company/EGP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-1000000,-800000,-1100000,-2000000,-8600000,-8400000,-7900000,-8400000,-10600000,-14200000,19588000,23666000,28669000,39724000,44699000,51415000,57601000,64811000,69091000,72631000,82279000,86880000,56203000,59768000,63024000,68682000,68142000,72184000,77514000,83040000,88381000,91167000,98846000,105442000,121541000,131424000,143503000
11,COGS and Expenses,-1000000,-800000,-1100000,-2000000,-8600000,-8400000,-7900000,-8400000,-10600000,-14200000,19588000,23666000,28669000,39724000,44699000,51415000,57601000,64811000,69091000,72631000,82279000,86880000,97321000,107142000,113283000,119824000,117553000,125177000,135399000,145837000,155783000,165514000,178954000,191836000,214815000,234792000,258581000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306000,293000,302000,336000,334000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27314000,30192000,32520000,35171000,34709000,34168000,33903000,34250000,33330000,33009000,32856000,33018000,32329000,31719000,30898000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,1900000,2000000,2400000,33100000,4500000,5613000,7759000,10409000,16574000,20178000,23821000,27413000,30818000,32397000,33451000,39306000,42217000,47884000,51091000,54004000,58350000,57451000,61696000,65789000,70314000,73290000,77935000,83874000,91704000,104724000,116359000,127099000
15,EBITDA,11900000,8300000,6700000,8900000,14000000,4900000,7700000,-1300000,39500000,11700000,13324000,20268000,31188000,45910000,58533000,60333000,61595000,54444000,52842000,56778000,61497000,71451000,104932000,115425000,113183000,111846000,114519000,128248000,132307000,152505000,154486000,206453000,199913000,213228000,258715000,256441000,315554000
16,EBITDA ratio,0.9225,0.9121,0.8701,0.8165,0.5469,0.3311,0.4400,-0.1287,1.9082,0.4301,0.4403,0.5097,0.5816,0.5983,0.6788,0.6150,0.5850,0.5145,0.4873,0.4951,0.4861,0.5348,0.6962,0.6847,0.6567,0.6460,0.6558,0.6888,0.6544,0.6937,0.6574,0.8159,0.7292,0.7098,0.7807,0.7064,0.7706
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10676000,16099000,24953000,37004000,41537000,46688000,47694000,40999000,39350000,42053000,44226000,46733000,53409000,61433000,59071000,53302000,56826000,60813000,66581000,73782000,79061000,87372000,95196000,108556000,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3528,0.4049,0.4654,0.4823,0.4817,0.4759,0.4530,0.3875,0.3629,0.3667,0.3496,0.3498,0.3543,0.3644,0.3427,0.3079,0.3254,0.3266,0.3293,0.3356,0.3364,0.3453,0.3472,0.3614,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,100000,- -,- -,- -,2300000,- -,- -,- -,- -,- -,- -,4311000,186000,- -,- -,- -,123000,2278000,125000,351000,-34547000,-33992000,-34915000,-34243000,-25309000,-30662000,8722000,-11607000,-19920000,6768000,-19840000,6744000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18755000,22834000,25898000,32338000,48473000,48399000,96094000,83589000,88636000,123340000,108391000,157638000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1083,0.1308,0.1391,0.1600,0.2205,0.2059,0.3797,0.3049,0.2951,0.3722,0.2986,0.3850
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,11900000,8300000,6700000,8900000,14000000,3000000,5700000,-3700000,6400000,7200000,7711000,12509000,20779000,29336000,38355000,36512000,34182000,23626000,20445000,23327000,22191000,29234000,29734000,34142000,26659000,18325000,22359000,32384000,32615000,47941000,47866000,95509000,83183000,88506000,121662000,108363000,157557000
24,Net Income ratio,0.9225,0.9121,0.8701,0.8165,0.5469,0.2027,0.3257,-0.3663,0.3092,0.2647,0.2548,0.3146,0.3875,0.3823,0.4448,0.3722,0.3246,0.2233,0.1885,0.2034,0.1754,0.2188,0.1973,0.2025,0.1547,0.1058,0.1280,0.1739,0.1613,0.2181,0.2037,0.3774,0.3034,0.2946,0.3671,0.2985,0.3848
25,EPS,2.93,2.07,1.67,2.32,3.71,0.79,1.52,-0.99,1.74,1.16,1.21,0.96,1.58,1.67,2.01,1.70,1.54,0.86,0.72,1.00,0.91,1.19,1.15,1.31,1.04,0.68,0.83,1.13,1.08,1.53,1.49,2.93,2.45,2.50,3.25,2.77,3.91
26,EPS Diluted,2.93,2.07,1.67,2.32,3.71,0.79,1.52,-0.99,1.71,1.15,1.21,0.96,1.56,1.66,1.99,1.68,1.51,0.84,0.70,0.98,0.89,1.17,1.14,1.30,1.04,0.68,0.83,1.13,1.08,1.52,1.49,2.93,2.44,2.49,3.24,2.76,3.90
27,Weighted Average Shares Outstanding,4061433,4009662,4011976,3836207,3773585,3797468,3750000,3737374,3678161,6206897,6339000,13015500,13176000,16283000,16046000,15623000,15697000,15868000,17819000,20771000,21567000,22372000,23562000,24503000,25590000,26752000,26897000,28577000,30162000,31341000,32091000,32563000,33996000,35439000,37442000,39185000,40255000
28,Weighted Average Shares Outstanding Diluted,4061433,4009662,4011976,3836207,3773585,3797468,3750000,3737374,3742690,6260870,6339000,13015500,13338000,16432000,17362000,15798000,16046000,16237000,18194000,21088000,21892000,22692000,23781000,24653000,25690000,26824000,26971000,28677000,30269000,31452000,32196000,32628000,34047000,35506000,37527000,39296000,40377000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49600/0000950152-98-004867-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/49600/000004960001000006/0000049600-01-000006-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960002000002/0000049600-02-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49600/000004960009000003/0000049600-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960010000002/0000049600-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960011000003/0000049600-11-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/49600/000004960013000008/0000049600-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960014000018/egp12-31x201310k.htm,https://www.sec.gov/Archives/edgar/data/49600/000004960015000008/egp1231201410k.htm,https://www.sec.gov/Archives/edgar/data/49600/000004960016000047/0000049600-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960017000006/0000049600-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960018000009/0000049600-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960019000007/0000049600-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960020000030/0000049600-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960021000027/0000049600-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/49600/000004960022000027/0000049600-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,438000,1298000,2784000,2657000,2861000,1767000,1383000,1786000,1208000,1915000,940000,724000,293000,1062000,137000,174000,1258000,8000,11000,48000,522000,16000,374000,224000,21000,4393000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,700000,73300000,88000000,139900000,10800000,900000,16500000,5700000,15700000,8068000,6452000,1663000,- -,- -,- -,- -,- -,- -,2725000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,700000,73300000,88000000,139900000,10826000,1338000,17798000,8484000,18357000,10929000,8219000,3046000,1786000,1208000,1915000,940000,724000,293000,3787000,137000,174000,1258000,8000,11000,48000,522000,16000,374000,224000,21000,4393000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25285000,28145000,24848000,28168000,28991000,31536000,34308000,36988000,41455000,45950000,51277000,66783000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5695000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61294000,7456000,8085000,7093000,7037000,7446000,6960000,7606000,11490000,8265000,18545000,22491000,16747000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65081000,32878000,36404000,33199000,35213000,36448000,38544000,42436000,48494000,50094000,64719000,73789000,93618000
38,PP&E,- -,- -,- -,- -,- -,4300000,3600000,- -,- -,- -,137725000,257082000,376693000,531415000,589469000,624535000,644039000,672694000,694268000,712444000,815414000,857790000,998797000,1092285000,1113437000,1117990000,1210788000,- -,- -,- -,- -,- -,- -,- -,2115000,2131000,1984000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000,990000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3046000,9654000,8799000,12603000,12649000,11509000,13447000,12472000,12426000,17630000,15147000,18900000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4036000,10644000,9789000,13593000,13639000,12499000,14437000,13462000,13416000,18620000,16137000,19890000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1663000,1375000,9256000,2618000,2595000,2630000,2666000,- -,2740000,2757000,2743000,2764000,7884000,8004000,7681000,8029000,7870000,7805000,7446000,7320000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25632000,25923000,1308371000,1421842000,1517853000,1607185000,1761210000,1883236000,2060325000,2452819000,2621300000,3092524000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1113437000,1150398000,1250112000,1320903000,1438199000,1539376000,1627688000,1783328000,1904727000,2081611000,2481359000,2647014000,3121718000
46,Other Assets,59700000,55000000,50000000,71100000,87700000,83800000,86500000,85500000,107500000,154900000,157955000,281455000,413127000,567548000,632151000,666205000,683782000,702341000,729267000,768664000,863538000,911787000,1055833000,1156205000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,59700000,55000000,50000000,71100000,87700000,83800000,86500000,85500000,107500000,154900000,157955000,281455000,413127000,567548000,632151000,666205000,683782000,702341000,729267000,768664000,863538000,911787000,1055833000,1156205000,1178518000,1183276000,1286516000,1354102000,1473412000,1575824000,1666232000,1825764000,1953221000,2131705000,2546078000,2720803000,3215336000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7777000,17214000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10576000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41800000,114300000,95000000,102000000,86058000,- -,- -,- -,- -,- -,- -,- -,692105000,- -,- -,- -,- -,- -,- -,14452000,20902000,15048000,25771000,5176000,4845000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9776000,9840000,12107000,15507000,15216000,16055000,14186000,12081000,10718000,2696000,3524000,4494000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7930000,10101000,8971000,10003000,9795000,9352000,12728000,13855000,14694000,16401000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,7000000,-33200000,-99600000,-75900000,-81900000,-64058000,- -,- -,- -,- -,- -,- -,- -,39317000,13192000,13991000,28914000,37104000,39439000,44181000,38249000,44065000,71515000,66253000,64397000,94339000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,7000000,8600000,14700000,19100000,20100000,22000000,- -,- -,- -,- -,- -,- -,- -,731422000,20969000,31205000,36844000,47205000,48410000,54184000,62496000,74319000,99291000,105879000,84267000,126161000
54,Long-Term Debt,1900000,1200000,300000,12300000,3400000,22600000,24200000,30300000,50500000,68300000,71562000,129078000,147150000,236816000,243665000,270709000,291072000,322300000,338272000,390105000,463725000,446506000,600804000,695692000,- -,735718000,832686000,813926000,893745000,933177000,1032237000,1101333000,1108282000,1105787000,1196791000,1324261000,1476708000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000,22000,50000,-16000,35000,-9000,28000,- -,- -,- -,- -,- -,- -,- -,- -,15083000,17016000,12156000,13757000,18622000,20610000,20069000,19490000,21924000,41079000,41757000,41007000
58,Total Non-Current Liabilities,1900000,1200000,300000,12300000,3400000,22600000,24200000,30300000,50500000,68300000,71600000,129100000,147200000,236800000,243700000,270700000,291100000,322300000,338272000,390105000,463725000,446506000,600804000,695692000,- -,750801000,849702000,826082000,907502000,951799000,1052847000,1121402000,1127772000,1127711000,1237870000,1366018000,1517715000
59,Other Liabilities,4700000,4100000,1400000,34100000,35400000,53000000,55900000,68800000,109200000,138200000,- -,- -,- -,- -,- -,- -,- -,666397000,698790000,805079000,960697000,937348000,1251940000,1438521000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150000,2098000,2277000,2132000,2350000,1988000,2863000,14189000,13366000,24930000
61,Total Liabilities,2800000,2900000,1100000,21800000,32000000,30400000,31700000,38500000,58700000,69900000,74146000,132988000,153376000,248821000,260499000,289116000,311333000,344097000,360518000,414974000,496972000,490842000,651136000,742829000,731422000,771770000,880907000,862926000,954707000,1000209000,1107031000,1183898000,1202091000,1227002000,1343749000,1450285000,1643876000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108535000,32326000,32326000,32326000,32326000,32326000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4232000,10549000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4000,4000,4000,4000
64,Retained Earnings,11100000,8200000,7100000,8000000,15500000,13100000,14100000,6400000,8100000,9700000,9657000,10997000,13633000,18076000,26654000,28185000,23753000,7109000,-15595000,-35207000,-57930000,-77015000,- -,- -,-144363000,-182253000,-216560000,-245249000,-278169000,-300852000,-328892000,-313655000,-317032000,-326193000,-316302000,-329667000,-318056000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19206000,-23562000,-32312000,-42836000,-51579000,-70120000,-92201000,58000,-30000,14000,311000,314000,-56000,-522000,-318000,- -,- -,-392000,1629000,-2357000,-3456000,1995000,5348000,6701000,2807000,-10752000,1302000
66,Other Total Stockholders Equity,45800000,43900000,41800000,41300000,40200000,40300000,40700000,40600000,40700000,75300000,89126000,150483000,278428000,343485000,396575000,419022000,440895000,240781000,350242000,354671000,390155000,463170000,370113000,411359000,589197000,591106000,- -,731950000,790535000,874335000,887207000,949318000,1061153000,1222547000,1514055000,1610053000,- -
67,Total Stockholders Equity,56900000,52100000,48900000,49300000,55700000,53400000,54800000,47000000,48800000,85000000,83809000,148467000,259751000,318727000,371652000,377089000,372449000,356485000,366945000,351806000,364864000,418797000,402385000,410840000,444519000,408856000,402829000,486312000,513998000,571129000,554862000,637661000,749472000,903059000,1200564000,1269638000,1570070000
68,Total Liabilities And Stockholders Equity,59700000,55000000,50000000,71100000,87700000,83800000,86500000,85500000,107500000,154900000,157955000,281455000,413127000,567548000,632151000,666205000,683782000,700582000,727463000,766780000,861836000,909639000,1053521000,1153669000,1175941000,1180626000,1283736000,1349238000,1468705000,1571338000,1661893000,1821559000,1951563000,2130061000,2544313000,2719923000,3213946000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1759000,1804000,1884000,1702000,2148000,2312000,2536000,2577000,2650000,2780000,4864000,4707000,4486000,4339000,4205000,1658000,1644000,1765000,880000,1390000
70,Total Liabilities & Equity,59700000,55000000,50000000,71100000,87700000,83800000,86500000,85500000,107500000,154900000,157955000,281455000,413127000,567548000,632151000,666205000,683782000,702341000,729267000,768664000,863538000,911787000,1055833000,1156205000,1178518000,1183276000,1286516000,1354102000,1473412000,1575824000,1666232000,1825764000,1953221000,2131705000,2546078000,2720803000,3215336000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49600/0000950152-98-004867-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/49600/000004960001000006/0000049600-01-000006-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960002000002/0000049600-02-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49600/000004960009000003/0000049600-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960010000002/0000049600-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960011000003/0000049600-11-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/49600/000004960013000008/0000049600-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960014000018/egp12-31x201310k.htm,https://www.sec.gov/Archives/edgar/data/49600/000004960015000008/egp1231201410k.htm,https://www.sec.gov/Archives/edgar/data/49600/000004960016000047/0000049600-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960017000006/0000049600-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960018000009/0000049600-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960019000007/0000049600-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960020000030/0000049600-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960021000027/0000049600-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/49600/000004960022000027/0000049600-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,3000000,5700000,-3700000,6400000,7200000,7711000,12509000,20779000,29336000,38355000,36512000,34182000,23626000,20445000,23327000,22191000,29234000,29734000,34142000,26659000,18325000,22359000,32384000,32615000,47941000,47866000,95509000,83183000,88506000,121662000,108363000,157557000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1900000,2000000,2400000,33100000,4500000,5613000,7759000,10409000,16574000,20178000,23821000,27413000,30818000,32397000,33451000,39306000,42217000,47884000,51091000,54004000,58350000,57451000,61696000,65789000,70314000,73290000,77935000,83874000,91704000,104724000,116359000,127099000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2220000,2265000,1827000,1998000,2452000,3497000,4229000,5146000,6733000,4590000,5521000,5283000,6838000,6579000,7511000
77,Change in Working Capital,- -,- -,- -,- -,- -,-1400000,800000,200000,200000,- -,-101000,-824000,-842000,-6480000,3427000,3766000,-3408000,1369000,-1522000,1307000,5329000,-624000,10245000,-827000,-1438000,-2056000,3810000,-517000,7277000,2782000,6146000,2853000,3299000,-6773000,956000,-23466000,1726000
78,Accounts Receivable,- -,- -,- -,- -,- -,-100000,400000,100000,- -,- -,800000,-100000,-3700000,-13400000,500000,-568000,-5004000,971000,-795000,-2559000,579000,-4765000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-600000,- -,- -,100000,- -,-900000,-700000,2900000,6900000,2900000,4334000,1596000,398000,-727000,3866000,4750000,4141000,- -,- -,- -,- -,- -,-1118000,8906000,2315000,6928000,5736000,8333000,-2682000,6514000,-18851000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000,776000,758000,6520000,-3373000,-3766000,3408000,-1369000,1522000,-1307000,-5329000,624000,3536000,-787000,1258000,- -,-231000,-1118000,8906000,2315000,6928000,5736000,8333000,-2682000,6514000,-18851000,13298000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,600000,-3900000,5500000,-34400000,-3300000,-3477000,-5448000,-6661000,-10037000,-15210000,-11083000,-7439000,-2027000,-678000,-561000,147000,-4256000,-3714000,-3061000,-460000,241000,475000,-5252000,-160000,-8782000,-2650000,-42023000,-20863000,-13989000,-38268000,-11550000,-37401000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,4100000,4600000,4400000,5300000,8400000,9746000,13996000,23685000,29393000,46750000,53016000,50748000,53786000,50642000,57524000,66973000,66571000,86369000,83610000,80592000,76858000,86547000,91808000,109750000,117401000,131385000,138864000,155014000,164731000,195912000,196285000,256492000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-6600000,- -,- -,-5192000,-21334000,-90910000,-107034000,-111812000,-64900000,-51161000,-58953000,-52201000,-49728000,-115961000,-110675000,-186679000,-146933000,-67256000,-56771000,-149788000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33301000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-2100000,-1500000,-1200000,-1900000,- -,- -,-16100000,- -,- -,- -,- -,- -,- -,-9187000,- -,- -,- -,-7534000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
