,https://roic.ai/company/NL,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,102300000,313000000,303200000,189100000,12500000,-28000000,-50800000,20300000,137300000,65300000,27600000,421000000,128900000,262762000,185931000,82067000,102302000,-44041000,58837000,47190000,1333000,57454000,-12770000,120096000,114834000,101318000,-93782000,37103000,-48911000,16326000,114230000,-52865000,30789000,17342000,63648000
16,EBITDA ratio,0.1191,0.3108,0.3029,0.2086,0.0149,-0.0313,-0.0631,0.0229,0.1341,0.0662,0.0330,0.4705,0.1419,0.2849,0.2226,0.0915,0.1015,-0.0594,0.3157,0.2482,0.0075,0.3471,-0.1100,0.8879,0.8271,1.2178,-1.0189,0.3573,-0.4487,0.1499,1.0196,-0.4472,0.2478,0.1514,0.4520
17,Operating Income,202300000,282900000,245200000,187500000,80200000,60700000,7200000,25800000,158200000,70200000,18700000,142300000,111800000,174692000,132527000,79862000,90821000,65950000,2615000,3875000,-10284000,38776000,-11573000,-14216000,8444000,-8059000,-68258000,2838000,268000,-983000,867000,-60666000,-1609000,2357000,10491000
18,Operating Income ratio,0.2354,0.2809,0.2450,0.2068,0.0954,0.0679,0.0089,0.0291,0.1545,0.0712,0.0223,0.1590,0.1231,0.1894,0.1587,0.0890,0.0901,0.0889,0.0140,0.0204,-0.0579,0.2343,-0.0997,-0.1051,0.0608,-0.0969,-0.7416,0.0273,0.0025,-0.0090,0.0077,-0.5132,-0.0130,0.0206,0.0745
19,Total Other Income Expenses (Gains),-16100000,-23400000,31500000,-33900000,-100300000,-104800000,-77700000,-40100000,-59900000,-44600000,-46400000,-32600000,-16600000,59069000,23805000,-29752000,-26570000,3203000,45566000,34563000,2866000,8876000,-10787000,125472000,98936000,85181000,-28196000,31795000,-51595000,14899000,111325000,6292000,30223000,11231000,50348000
20,Income Before Tax,186200000,259500000,276700000,153600000,-20100000,-44100000,-70500000,-14300000,98300000,25600000,-27700000,109700000,95200000,233761000,156332000,50110000,64251000,69153000,48181000,38438000,-7418000,47652000,-22360000,111256000,107380000,77122000,-96454000,34633000,-51327000,13916000,112192000,-54374000,28614000,13588000,60839000
21,Income Before Tax Ratio,0.2167,0.2577,0.2765,0.1694,-0.0239,-0.0494,-0.0875,-0.0161,0.0960,0.0260,-0.0331,0.1226,0.1048,0.2534,0.1872,0.0558,0.0637,0.0932,0.2586,0.2022,-0.0417,0.2879,-0.1926,0.8225,0.7734,0.9270,-1.0479,0.3335,-0.4709,0.1278,1.0014,-0.4600,0.2303,0.1186,0.4320
22,Income Tax expense (Gain),98300000,125300000,106400000,60100000,3900000,500000,12700000,9700000,12700000,14800000,2200000,19800000,-64600000,78420000,34925000,12036000,-1455000,-291510000,14615000,8860000,-8311000,14850000,-10347000,40479000,24725000,19933000,-41911000,5003000,-28611000,-2777000,-5634000,-15361000,579000,-2515000,7479000
23,Net Income,-19900000,155700000,170300000,93500000,-24000000,-76400000,-109800000,-24000000,85600000,10800000,-9500000,366700000,159800000,154609000,121407000,36810000,63662000,211067000,32888000,26110000,-1731000,33184000,-11755000,70381000,81657000,74536000,-55333000,28499000,-23909000,15325000,116100000,-41017000,25844000,14680000,51188000
24,Net Income ratio,-0.0232,0.1546,0.1701,0.1031,-0.0286,-0.0855,-0.1363,-0.0270,0.0836,0.0110,-0.0113,0.4099,0.1759,0.1676,0.1454,0.0410,0.0631,0.2846,0.1765,0.1373,-0.0097,0.2005,-0.1012,0.5203,0.5882,0.8959,-0.6012,0.2744,-0.2194,0.1407,1.0363,-0.3470,0.2080,0.1282,0.3635
25,EPS,-0.33,2.34,2.57,1.42,-0.40,-1.50,-2.16,-0.47,1.66,0.21,-0.19,7.13,3.09,3.07,2.44,0.76,1.33,4.35,0.68,0.54,-0.04,0.68,-0.24,1.40,1.68,1.53,-1.14,0.59,-0.49,0.31,2.38,-0.84,0.53,0.30,1.09
26,EPS Diluted,-0.33,2.34,2.57,1.42,-0.40,-1.50,-2.16,-0.47,1.66,0.21,-0.19,7.05,3.08,3.05,2.44,0.76,1.33,4.35,0.68,0.54,-0.04,0.68,-0.24,1.40,1.68,1.53,-1.14,0.59,-0.49,0.31,2.38,-0.84,0.53,0.30,1.09
27,Weighted Average Shares Outstanding,60460000,65972000,55758755,65845070,60000000,50933333,50833333,51022000,51512000,51350000,51152000,51460000,51774000,50415000,49732000,48530000,47721000,48333000,48541000,48568000,48590000,48596000,48600000,48600000,48658000,48667000,48700000,48700000,48700000,48700000,48700000,48700000,48700000,48800000,48803000
28,Weighted Average Shares Outstanding Diluted,60460000,65972000,55758755,65845070,60000000,50933333,50833333,51022000,51512000,51522000,51152000,52000000,51867000,50749000,49856000,48612000,47795000,48419000,48587000,48584000,48590000,48605000,48600000,48600000,48658000,48667000,48700000,48700000,48700000,48700000,48700000,48700000,48700000,48800000,48803000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72162/000007216295000004/0000072162-95-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72162/000005925509000047/0000059255-09-000047-index.html,https://www.sec.gov/Archives/edgar/data/72162/000005925510000029/0000059255-10-000029-index.html,https://www.sec.gov/Archives/edgar/data/72162/000005925511000068/nl201010k.htm,https://www.sec.gov/Archives/edgar/data/72162/000119312512097061/0001193125-12-097061-index.html,https://www.sec.gov/Archives/edgar/data/72162/000119312513103353/0001193125-13-103353-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459014000697/nl-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/72162/000156459015001611/nl-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/72162/000156459016014434/0001564590-16-014434-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459017003986/0001564590-17-003986-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459018005298/0001564590-18-005298-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459019007207/0001564590-19-007207-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459020010117/0001564590-20-010117-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459021012084/0001564590-21-012084-index.htm,https://www.sec.gov/Archives/edgar/data/72162/000155837022003144/0001558370-22-003144-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,164600000,138400000,165600000,435300000,125300000,87300000,106600000,131100000,141300000,114100000,106100000,163100000,151800000,120378000,116037000,58091000,67799000,99185000,76912000,52742000,41112000,16450000,24555000,15461000,11652000,77987000,52609000,72560000,96462000,93162000,98316000,116259000,129730000,137039000,147002000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3583000,9670000,6147000,9446000,9265000,9989000,5860000,5534000,5225000,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,18206000,- -
33,Cash and Short-Term Investments,164600000,138400000,165600000,435300000,125300000,87300000,106600000,131100000,141300000,114100000,106100000,163100000,151800000,120378000,119620000,67761000,73946000,108631000,86177000,62731000,46972000,21984000,29780000,15470000,11652000,77987000,52609000,72560000,96462000,93162000,98316000,116259000,129730000,155245000,147002000
34,Net Receivables,236600000,137300000,148300000,222900000,133800000,123000000,157800000,164100000,147400000,138500000,148700000,133800000,144500000,131754000,129419000,137065000,156875000,25968000,26683000,22376000,23492000,28663000,17053000,31663000,15160000,12049000,10632000,9256000,8977000,10586000,12437000,28232000,12510000,11455000,15609000
35,Inventory,191600000,119600000,134200000,207900000,196900000,216200000,194200000,185200000,251600000,232500000,192800000,228600000,191200000,205973000,231056000,209882000,266020000,28781000,22538000,21733000,24277000,22661000,16266000,18424000,19578000,11223000,13235000,16863000,15098000,14974000,15382000,17102000,18348000,18337000,25642000
36,Other Current Assets,11700000,3700000,138100000,18300000,339500000,209300000,8900000,6000000,10800000,15100000,6900000,20600000,18900000,95675000,78991000,71589000,70420000,18510000,13764000,14225000,12960000,14658000,13545000,16422000,11914000,11394000,7938000,9354000,4227000,4777000,4532000,5051000,4096000,-13873000,5395000
37,Total Current Assets,604500000,399000000,586200000,884400000,795500000,635800000,467500000,486400000,551100000,500200000,454500000,546100000,506400000,553780000,559086000,486297000,567261000,181890000,149162000,121065000,107701000,87966000,76644000,81979000,58304000,112653000,84414000,108033000,124764000,123499000,130667000,166644000,164684000,171164000,193648000
38,PP&E,542800000,344000000,380500000,577100000,738600000,746000000,378600000,407800000,459200000,466000000,411200000,382200000,348500000,324382000,329750000,378819000,435739000,75218000,68904000,70655000,73233000,68282000,64366000,60548000,51802000,34329000,34329000,33556000,34106000,33584000,32526000,32026000,31015000,28950000,29182000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32969000,54719000,44194000,44316000,44819000,47553000,27156000,27156000,27156000,27156000,27156000,27156000,27156000,27156000,27156000,27156000
40,Intangible Assets,32400000,4400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20772000,27240000,- -,- -,- -,1408000,- -,- -,154000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,32400000,4400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20772000,27240000,32969000,54719000,44194000,45724000,44819000,47553000,27310000,27156000,27156000,27156000,27156000,27156000,27156000,27156000,27156000,27156000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197839000,362517000,592676000,502790000,537200000,329850000,159955000,170077000,318224000,283305000,275232000,260580000,299238000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6682000,545000,4000,- -,- -,- -,- -,- -,- -,- -,19000,20000,11000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,124000000,94000000,545600000,505200000,296900000,90300000,360400000,268200000,261400000,255200000,232500000,226700000,201300000,242626000,262255000,246385000,254425000,268934000,239393000,304655000,289108000,219094000,18418000,3862000,10907000,3700000,2707000,2143000,3331000,30676000,43043000,38111000,59405000,60300000,46928000
45,Total Non-Current Assets,699200000,442400000,926100000,1082300000,1035500000,836300000,739000000,676000000,720600000,721200000,643700000,608900000,549800000,567008000,592005000,625204000,696846000,365469000,335541000,408279000,417060000,331570000,326347000,471746000,702938000,568129000,601411000,392725000,224559000,261493000,420949000,380598000,392808000,376986000,402504000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1303700000,841400000,1512300000,1966700000,1831000000,1472100000,1206500000,1162400000,1271700000,1221400000,1098200000,1155000000,1056200000,1120788000,1151091000,1111501000,1264107000,547359000,484703000,529344000,524761000,419536000,402991000,553725000,761242000,680782000,685825000,500758000,349323000,384992000,551616000,547242000,557492000,548150000,596152000
48,Accounts Payable,- -,- -,163600000,184600000,208000000,189600000,177300000,168300000,166000000,153900000,161700000,187700000,190400000,147877000,176223000,167574000,103180000,14649000,11079000,8944000,8769000,6802000,6664000,9179000,8184000,5363000,3006000,6115000,4557000,5026000,4116000,4831000,3438000,2647000,3408000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,42900000,82600000,117700000,91300000,101200000,57300000,70700000,47234000,1298000,288000,42000,171000,- -,- -,- -,- -,10000000,10000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33830000,- -
52,Other Current Liabilities,430900000,278500000,483400000,215800000,152200000,59200000,55200000,33700000,53800000,18700000,23400000,21100000,17100000,79379000,75617000,69177000,136443000,67598000,44742000,37651000,39187000,38615000,35209000,26055000,22622000,18422000,16064000,18512000,19451000,25717000,15468000,76492000,26370000,-8970000,27189000
53,Total Current Liabilities,430900000,278500000,647000000,400400000,360200000,248800000,232500000,244900000,302400000,290300000,276400000,310000000,264800000,297956000,299074000,238049000,239911000,82289000,55992000,46595000,47956000,45417000,41873000,45234000,40806000,24785000,19070000,24627000,24008000,30743000,19584000,81323000,29808000,27507000,30597000
54,Long-Term Debt,207400000,183300000,383900000,1130400000,1150300000,992000000,835200000,746800000,740300000,737100000,666800000,292800000,244300000,195363000,195465000,324608000,356451000,85000,1425000,- -,49730000,41980000,42540000,64530000,27285000,17480000,- -,- -,- -,500000,500000,500000,500000,500000,500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,98100000,120300000,205900000,257100000,232300000,145700000,139000000,178300000,157200000,151200000,132800000,196200000,108200000,145673000,143256000,143518000,198142000,45274000,107000000,130952000,91124000,49215000,55750000,115206000,192492000,188747000,178765000,104557000,37221000,39631000,56627000,38685000,38010000,35547000,45780000
57,Other Non-Current Liabilities,1087000000,113900000,136600000,138700000,144700000,229600000,262200000,283100000,278100000,246100000,244200000,203100000,163900000,131029000,119145000,131483000,181898000,73815000,54974000,57869000,75123000,82694000,77170000,64900000,74667000,61687000,118995000,120124000,122843000,119848000,121827000,123176000,161961000,149247000,134304000
58,Total Non-Current Liabilities,1392500000,417500000,726400000,1526200000,1527300000,1367300000,1236400000,1208200000,1175600000,1134400000,1043800000,692100000,516400000,472065000,457866000,599609000,736491000,119174000,163399000,188821000,215977000,173889000,175460000,244636000,294444000,267914000,297760000,224681000,160064000,159979000,178954000,162361000,200471000,185294000,180584000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1823400000,696000000,1373400000,1926600000,1887500000,1616100000,1468900000,1453100000,1478000000,1424700000,1320200000,1002100000,781200000,770021000,756940000,837658000,976402000,201463000,219391000,235416000,263933000,219306000,217333000,289870000,335250000,292699000,316830000,249308000,184072000,190722000,198538000,243684000,230279000,212801000,211181000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8400000,8355000,8355000,8355000,8355000,6054000,6070000,6073000,6073000,6074000,6076000,6078000,6082000,6083000,6084000,6085000,6086000,6088000,6089000,6090000,6094000,6098000,6100000
64,Retained Earnings,-519000000,-482800000,-340500000,-287900000,-339000000,-433300000,-543100000,-567000000,-481400000,-485900000,-495400000,-133400000,19200000,141073000,222722000,101554000,16023000,6734000,- -,1826000,-6525000,16909000,- -,56229000,113555000,163758000,84089000,112588000,88679000,104004000,220104000,225156000,251000000,257875000,297351000
65,Other Comprehensive Income/Loss,-605500000,-321100000,-342000000,-399400000,-418700000,-400200000,-387100000,-439000000,-486900000,-490900000,-465800000,-456500000,-438500000,-432255000,-436217000,-534436000,-635267000,-86490000,-149000000,-123000000,-98424000,-165000000,-143000000,-109000000,-5000000,-95000000,-35000000,-182000000,-245000000,-233000000,-192000000,-248000000,-252000000,-251189000,-240756000
66,Other Total Stockholders Equity,604800000,949300000,819800000,725900000,699400000,687200000,665400000,712900000,758900000,773300000,738900000,742200000,682000000,627315000,592083000,689854000,811803000,361194000,362612000,363613000,- -,330381000,311528000,299642000,300343000,299974000,300207000,300349000,300185000,300828000,301129000,300869000,299412000,299093000,299775000
67,Total Stockholders Equity,-519700000,145400000,137300000,38600000,-58300000,-146300000,-264800000,-293100000,-209400000,-203500000,-222300000,152300000,271100000,344488000,386943000,265327000,200914000,287492000,219682000,248512000,246462000,188364000,174604000,252949000,414980000,374815000,355380000,237022000,149950000,177920000,335322000,284115000,304506000,311877000,362470000
68,Total Liabilities And Stockholders Equity,1303700000,841400000,1510700000,1965200000,1829200000,1469800000,1204100000,1160000000,1268600000,1221200000,1097900000,1154400000,1052300000,1114509000,1143883000,1102985000,1177316000,488955000,439073000,483928000,510395000,407670000,391937000,542819000,750230000,667514000,672210000,486330000,334022000,368642000,533860000,527799000,534785000,524678000,573651000
69,Minority Interest,- -,- -,1600000,1500000,1800000,2300000,2400000,2400000,3100000,200000,300000,600000,3900000,6279000,7208000,8516000,86791000,58404000,45630000,45416000,14366000,11866000,11054000,10906000,11012000,13268000,13615000,14428000,15301000,16350000,17756000,19443000,22707000,23472000,22501000
70,Total Liabilities & Equity,1303700000,841400000,1512300000,1966700000,1831000000,1472100000,1206500000,1162400000,1271700000,1221400000,1098200000,1155000000,1056200000,1120788000,1151091000,1111501000,1264107000,547359000,484703000,529344000,524761000,419536000,402991000,553725000,761242000,680782000,685825000,500758000,349323000,384992000,551616000,547242000,557492000,548150000,596152000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72162/000007216295000004/0000072162-95-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72162/000005925509000047/0000059255-09-000047-index.html,https://www.sec.gov/Archives/edgar/data/72162/000005925510000029/0000059255-10-000029-index.html,https://www.sec.gov/Archives/edgar/data/72162/000005925511000068/nl201010k.htm,https://www.sec.gov/Archives/edgar/data/72162/000119312512097061/0001193125-12-097061-index.html,https://www.sec.gov/Archives/edgar/data/72162/000119312513103353/0001193125-13-103353-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459014000697/nl-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/72162/000156459015001611/nl-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/72162/000156459016014434/0001564590-16-014434-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459017003986/0001564590-17-003986-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459018005298/0001564590-18-005298-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459019007207/0001564590-19-007207-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459020010117/0001564590-20-010117-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459021012084/0001564590-21-012084-index.htm,https://www.sec.gov/Archives/edgar/data/72162/000155837022003144/0001558370-22-003144-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,155700000,170300000,93500000,-24000000,-76400000,-109800000,-24000000,85600000,10800000,-9500000,366700000,159800000,154609000,121407000,36810000,63662000,211067000,32888000,26110000,-1731000,33184000,-11755000,70381000,81657000,74536000,-55333000,28499000,-23909000,15325000,116100000,-41017000,25844000,14680000,51188000
74,Depreciation and Amortization,- -,32000000,26500000,35500000,32600000,47900000,46300000,34600000,39000000,39700000,34900000,34500000,33700000,29733000,29599000,33221000,40095000,36402000,11334000,12220000,11375000,9420000,8272000,7734000,6829000,5826000,3335000,3601000,3609000,3774000,3734000,3476000,3685000,3827000,3839000
75,Deferred Income Tax,- -,- -,-9800000,75400000,-14700000,-18900000,-700000,11900000,-29200000,2800000,-5600000,5000000,-86800000,40186000,3256000,1506000,33742000,-287814000,-10791000,8407000,-12604000,-4352000,-4703000,38420000,21002000,27433000,-41891000,4167000,-24030000,-4330000,-603000,-15178000,430000,-2530000,7453000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-181300000,544800000,-48700000,-48300000,-152000000,6500000,7200000,-38800000,-31800000,58000000,5500000,14224000,4188000,-11764000,79102000,-227749000,-6431000,-18700000,-14725000,-17196000,-7778000,1974000,-19247000,70370000,-22524000,18062000,17350000,-8000000,18327000,-25762000,49555000,8781000,-22712000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-476000,-1461000,1220000,246000,-1601000,-117000,- -,- -,1121000,- -
79,Inventory,- -,- -,- -,- -,6600000,-33800000,12200000,17800000,-57400000,8400000,22900000,-49800000,20700000,-23395000,-32698000,42249000,-26041000,50062000,-936000,2258000,-1813000,889000,5878000,-2482000,-439000,174000,-2240000,-3652000,1532000,-37000,-473000,-1846000,-1439000,-193000,-7479000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1550000,-3347000,2855000,-1245000,-172000,-1700000,61769000,-26365000,-13163000,- -
81,Other Working Capital,- -,120500000,-60800000,484000000,435300000,387000000,235000000,241500000,248700000,209900000,178100000,236100000,241600000,255824000,260012000,248248000,327350000,99601000,93170000,74470000,59745000,42549000,34771000,36745000,17498000,87868000,65344000,83406000,100756000,92756000,111083000,85321000,134876000,143657000,-355000
82,Other Non-Cash Items,- -,-187700000,121900000,-668100000,104700000,49100000,208900000,152800000,-31000000,2000000,101200000,-419100000,-3900000,-98997000,-28717000,38478000,-126073000,272391000,-32298000,964000,14914000,-20296000,17355000,-113091000,-42007000,-160165000,131318000,-30777000,55092000,20930000,-118920000,95557000,-52079000,-5735000,-22159000
83,Cash Provided by Operating Activities,- -,- -,127600000,81100000,49900000,-46600000,-7300000,181800000,71600000,16500000,89200000,45100000,108300000,139755000,129733000,98251000,90528000,4297000,-5298000,29001000,-2771000,760000,1391000,5418000,48234000,18000000,14905000,23552000,28112000,27699000,18638000,17076000,27435000,19023000,17609000
84,CAPEX,- -,- -,-83400000,-195300000,-195100000,-85200000,-48000000,-36900000,-64200000,-66900000,-28200000,-22400000,-35600000,-31089000,-53669000,-32600000,-35354000,-16209000,-10676000,-12148000,-13998000,-6897000,-2324000,-2132000,-3276000,-4564000,-3541000,-2858000,-4304000,-3206000,-2810000,-3118000,-3166000,-1740000,-4094000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,-10000000,383000,- -,- -,- -,-5000000,53000000,- -,- -,- -,- -,- -,- -,3000000,- -,- -
