,https://roic.ai/company/WERN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3972000,1779000,1536000,1448000,1837000,2269000,2538000,2875000,4158000,3308000,2737000,3326000,1634000,1211000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000,99000,47000,85000,288000,454000,881000,1974000,2577000,2243000,2695000,6854000,4215000,4423000
14,Depreciation and Amortization,- -,6400000,9100000,14100000,20000000,-28700000,-36700000,-37600000,-40200000,53722000,61195000,65010000,72634000,82549000,99955000,109107000,116043000,121702000,135168000,144535000,162462000,167516000,166994000,167435000,155315000,152242000,158634000,166957000,173019000,176984000,193209000,209728000,217639000,230151000,249527000,263286000,267700000
15,EBITDA,- -,15800000,26000000,34900000,46600000,-900000,-6900000,-5000000,-700000,113704000,120834000,130674000,148729000,174881000,196753000,186563000,192434000,220306000,253144000,288232000,329521000,334909000,304276000,284540000,254251000,288526000,333625000,340411000,315184000,339639000,396344000,339765000,364439000,456727000,478287000,492195000,618138000
16,EBITDA ratio,- -,0.2144,0.2754,0.2509,0.2435,-0.0036,-0.0226,-0.0155,-0.0019,0.2204,0.2098,0.2031,0.1926,0.2025,0.1870,0.1536,0.1515,0.1642,0.1737,0.1718,0.1671,0.1610,0.1469,0.1314,0.1526,0.1590,0.1666,0.1672,0.1553,0.1588,0.1893,0.1691,0.1722,0.1858,0.1941,0.2075,0.2261
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,60237000,61016000,66130000,77647000,95611000,102201000,82821000,79329000,99454000,117504000,141328000,164611000,164501000,136517000,112935000,96691000,134582000,173674000,171444000,139726000,160088000,200456000,126070000,143820000,224215000,225472000,227438000,309146000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1167,0.1059,0.1028,0.1006,0.1107,0.0971,0.0682,0.0624,0.0741,0.0806,0.0842,0.0835,0.0791,0.0659,0.0521,0.0580,0.0741,0.0867,0.0842,0.0689,0.0748,0.0958,0.0628,0.0679,0.0912,0.0915,0.0959,0.1131
19,Total Other Income Expenses (Gains),- -,-3200000,-16200000,-27700000,-42400000,-55900000,-60300000,-66500000,-69300000,-255000,-1377000,-466000,-1552000,-3279000,-5403000,-5365000,-2938000,-850000,472000,2369000,2448000,2892000,765000,4087000,2146000,1655000,1232000,1722000,1985000,1686000,705000,1390000,737000,-334000,-3566000,-2744000,36869000
20,Income Before Tax,- -,9400000,16900000,20800000,26600000,27800000,29800000,32600000,39500000,59982000,59639000,65664000,76095000,92332000,96798000,77456000,76391000,98604000,117976000,143697000,167059000,167393000,137282000,117022000,98837000,136237000,174906000,173166000,141711000,161774000,201161000,127460000,144557000,223881000,221906000,224694000,346015000
21,Income Before Tax Ratio,- -,0.1275,0.1790,0.1495,0.1390,0.1105,0.0977,0.1010,0.1078,0.1162,0.1035,0.1021,0.0986,0.1069,0.0920,0.0638,0.0601,0.0735,0.0809,0.0856,0.0847,0.0805,0.0663,0.0540,0.0593,0.0751,0.0873,0.0850,0.0698,0.0756,0.0961,0.0634,0.0683,0.0911,0.0901,0.0947,0.1265
22,Income Tax expense (Gain),- -,3700000,7900000,8700000,10500000,11000000,11800000,12900000,15600000,23320000,23259000,25109000,27717000,35086000,36787000,29433000,28647000,36977000,44249000,56387000,68525000,68750000,61925000,49442000,42253000,56198000,72149000,70132000,54926000,63124000,77447000,48331000,-58332000,55733000,54962000,55616000,84537000
23,Net Income,- -,5700000,9000000,12100000,16100000,16800000,18000000,19700000,23900000,36662000,36380000,40555000,48378000,57246000,60011000,48023000,47744000,61627000,73727000,87310000,98534000,98643000,75357000,67580000,56584000,80039000,102757000,103034000,86785000,98650000,123714000,79129000,202889000,168148000,166944000,169078000,261478000
24,Net Income ratio,- -,0.0773,0.0953,0.0870,0.0841,0.0668,0.0590,0.0610,0.0652,0.0710,0.0632,0.0630,0.0627,0.0663,0.0570,0.0395,0.0376,0.0459,0.0506,0.0520,0.0500,0.0474,0.0364,0.0312,0.0340,0.0441,0.0513,0.0506,0.0428,0.0461,0.0591,0.0394,0.0958,0.0684,0.0678,0.0713,0.0956
25,EPS,- -,0.10,0.14,0.17,0.22,0.23,0.25,0.28,0.41,0.46,0.46,0.51,0.61,0.72,0.76,0.61,0.61,0.78,0.92,1.10,1.24,1.27,1.03,0.94,0.79,1.10,1.41,1.41,1.19,1.37,1.72,1.10,2.80,2.39,2.41,2.49,3.85
26,EPS Diluted,- -,0.10,0.14,0.17,0.22,0.23,0.25,0.28,0.41,0.46,0.46,0.51,0.60,0.71,0.76,0.61,0.59,0.75,0.90,1.08,1.22,1.25,1.02,0.94,0.79,1.10,1.40,1.40,1.18,1.36,1.71,1.09,2.80,2.33,2.38,2.44,3.77
27,Weighted Average Shares Outstanding,- -,55882353,65217391,72023810,72522523,73684211,71428571,71376812,58578431,79069898,78660533,78900110,79591760,79443013,79008024,78433039,78933750,79705000,79828000,79224000,79393000,77653000,72858000,70574000,71672000,72644998,72787000,73246598,72713920,72038368,71998750,72166969,72409222,70441973,69244525,67931726,67931726
28,Weighted Average Shares Outstanding Diluted,- -,55882353,65217391,72023810,72522523,73684211,71428571,71376812,58578431,79069898,78660533,78900110,79929251,79848003,79383015,78759697,80183750,81521250,81668000,80868000,80701000,79101000,74114000,71658000,72075000,72807000,73225000,73453000,73428000,72738000,72556000,72393000,72558000,72057000,70026000,69427000,69427000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/0000793074-96-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/0000793074-99-000005-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/000079307405000033/0000793074-05-000033-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/000079307409000010/0000793074-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/793074/000079307410000013/0000793074-10-000013-index.html,https://www.sec.gov/Archives/edgar/data/793074/000119312511051228/0001193125-11-051228-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000119312512081560/0001193125-12-081560-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307413000009/0000793074-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307414000011/0000793074-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307415000008/0000793074-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307416000060/0000793074-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307417000016/0000793074-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307418000012/0000793074-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307419000014/0000793074-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307420000014/0000793074-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307421000016/0000793074-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307422000012/0000793074-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2100000,900000,4800000,3300000,4600000,11100000,12700000,6400000,- -,16227000,22136000,22294000,15913000,15368000,25485000,74366000,29885000,101409000,108807000,36583000,31613000,25090000,25090000,18430000,13966000,12412000,15428000,23678000,22604000,31833000,16962000,13626000,33930000,26418000,29334000,54196000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2100000,900000,4800000,3300000,4600000,11100000,12700000,6400000,- -,16227000,22136000,22294000,15913000,15368000,25485000,74366000,29885000,101409000,108807000,36583000,31613000,25090000,25090000,18430000,13966000,12412000,15428000,23678000,22604000,31833000,16962000,13626000,33930000,26418000,29334000,54196000
34,Net Receivables,- -,7600000,11400000,17200000,20200000,28400000,30700000,31900000,37400000,- -,57871000,67928000,93461000,94329000,138428000,139107000,129881000,152035000,161353000,198603000,260138000,250727000,228083000,228083000,191106000,200695000,227925000,219137000,242416000,310478000,288316000,298037000,342981000,364472000,375067000,341104000,484967000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5296000,7329000,8432000,9777000,9877000,9658000,10951000,10850000,10747000,10747000,12725000,16868000,30212000,23260000,15743000,17824000,16415000,12768000,11694000,10060000,9243000,12062000,11140000
36,Other Current Assets,- -,1800000,2800000,5900000,7300000,9700000,13000000,14300000,20400000,- -,26897000,26100000,30037000,35023000,29735000,34856000,23388000,27852000,32648000,34188000,59960000,67851000,65247000,65247000,62243000,66170000,70782000,61362000,67824000,75438000,70975000,45361000,31928000,48196000,55606000,74416000,67121000
37,Total Current Assets,- -,11500000,15100000,27900000,30800000,42700000,54800000,58900000,64200000,- -,100995000,116164000,145792000,145265000,188827000,206777000,236067000,219549000,305287000,351256000,367632000,361041000,329167000,329167000,284504000,297699000,341331000,319187000,349661000,426344000,407539000,373128000,400229000,456658000,466334000,456916000,617424000
38,PP&E,- -,49500000,79900000,108000000,148700000,196200000,192300000,200200000,241700000,- -,406684000,433047000,521846000,623931000,708052000,707798000,715483000,832267000,805687000,862998000,1002607000,1096340000,971941000,971941000,871902000,841055000,942136000,993843000,977518000,1013782000,1154470000,1362638000,1346863000,1487562000,1526276000,2405335000,1613243000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74618000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55315000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129933000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,200000,300000,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,12632000,12464000,11062000,10553000,11521000,15523000,20792000,20300000,20300000,16603000,12798000,18949000,21870000,26918000,40336000,51675000,57237000,60899000,139284000,151254000,-705575000,229324000
45,Total Non-Current Assets,- -,49700000,80200000,108000000,148700000,196200000,192300000,200300000,241700000,- -,406684000,433047000,521846000,623931000,708052000,720430000,727947000,843329000,816240000,874519000,1018130000,1117132000,992241000,992241000,888505000,853853000,961085000,1015713000,1004436000,1054118000,1206145000,1419875000,1407762000,1626846000,1677530000,1699760000,1972500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,61200000,95300000,135900000,179500000,238900000,247100000,259200000,305900000,- -,507679000,549211000,667638000,769196000,896879000,927207000,964014000,1062878000,1121527000,1225775000,1385762000,1478173000,1321408000,1321408000,1173009000,1151552000,1302416000,1334900000,1354097000,1480462000,1613684000,1793003000,1807991000,2083504000,2143864000,2156676000,2589924000
48,Accounts Payable,- -,- -,- -,- -,- -,8700000,7400000,13100000,21400000,- -,15719000,19025000,44167000,48146000,35686000,30710000,33188000,50546000,40903000,49618000,52387000,75821000,49652000,49652000,47056000,57708000,93486000,56397000,66678000,64827000,70643000,66618000,73802000,97781000,94634000,83263000,93987000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,- -,30000000,20000000,- -,- -,60000000,- -,- -,30000000,- -,- -,- -,20000000,- -,- -,- -,20000000,21539000,75000000,75000000,25000000,5000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17710000,15151000,15569000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237870000,- -
52,Other Current Liabilities,- -,17100000,14800000,20100000,25600000,20400000,26000000,28600000,29500000,- -,38472000,40040000,47624000,43761000,60520000,70709000,89069000,95327000,101572000,107948000,105530000,115089000,117337000,87337000,99685000,110732000,105339000,99796000,101053000,121703000,113059000,128243000,136836000,137579000,139206000,-72119000,170660000
53,Total Current Liabilities,- -,17100000,14800000,20100000,25600000,29100000,33400000,41700000,50900000,- -,54191000,59065000,91791000,91907000,121206000,101419000,152257000,165873000,142475000,157566000,217917000,190910000,166989000,166989000,146741000,168440000,198825000,176193000,167731000,186530000,183702000,214861000,232177000,310360000,308840000,274014000,269647000
54,Long-Term Debt,- -,18000000,12100000,11600000,27700000,52900000,33500000,11100000,16700000,- -,40000000,30000000,60000000,100000000,120000000,105000000,20000000,- -,- -,- -,- -,100000000,- -,- -,- -,- -,- -,70000000,40000000,75000000,75000000,160000000,75000000,50000000,225000000,25000000,422500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,8500000,14000000,21800000,29800000,36200000,40200000,46200000,48000000,- -,75700000,82500000,91400000,105900000,130600000,152403000,162907000,201561000,198640000,210739000,209868000,216413000,196966000,196966000,199358000,190507000,243000000,232531000,227237000,241606000,274301000,292769000,195187000,233450000,249669000,- -,253746000
57,Other Non-Current Liabilities,- -,1000000,-100000,-100000,- -,8600000,14800000,17600000,24400000,- -,28736000,29275000,29329000,30801000,30301000,32301000,38801000,47801000,71301000,84301000,95526000,100499000,124665000,124665000,122260000,123630000,135444000,141279000,146610000,143466000,145027000,130586000,120845000,224941000,249347000,43114000,280534000
58,Total Non-Current Liabilities,- -,27500000,26000000,33300000,57500000,97700000,88500000,74900000,89100000,- -,144436000,141775000,180729000,236701000,280901000,289704000,221708000,249362000,269941000,295040000,305394000,416912000,321631000,321631000,321618000,314137000,378444000,443810000,413847000,460072000,494328000,583355000,391032000,508391000,724016000,68114000,956780000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,755736000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,44600000,40800000,53400000,83100000,126800000,121900000,116600000,140000000,- -,198627000,200840000,272520000,328608000,402107000,391123000,373965000,415235000,412416000,452606000,523311000,607822000,488620000,488620000,468359000,482577000,577269000,620003000,581578000,646602000,678030000,798216000,623209000,818751000,1032856000,961636000,1226427000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000,387000,387000,483000,483000,483000,644000,644000,805000,805000,805000,805000,805000,805000,805000,805000,805000,805000,805000,805000,805000,805000,805000,805000,805000,- -,805000
64,Retained Earnings,- -,15500000,24500000,35900000,51000000,66600000,83300000,100300000,122400000,- -,214959000,251976000,296533000,349351000,404625000,447943000,490942000,547467000,614011000,691035000,777260000,862403000,923411000,923411000,778890000,728216000,779994000,758617000,830842000,915085000,1022966000,1084796000,1267871000,1413746000,1294608000,1438916000,1667104000
65,Other Comprehensive Income/Loss,- -,-10100000,-13600000,-22900000,-32400000,-47800000,-65700000,-82200000,-87500000,- -,-119524000,-146028000,-176253000,-205530000,-262557000,-313881000,-354122000,-216000,-837000,-861000,-259000,-207000,-169000,-169000,-5556000,-3420000,-5170000,-4156000,-4631000,-9375000,-13063000,-16917000,-15835000,-16073000,-14728000,-22833000,-20604000
66,Other Total Stockholders Equity,- -,11200000,43600000,69500000,77800000,93300000,107600000,124500000,131000000,- -,213359000,242036000,274451000,296284000,352221000,401539000,452585000,99748000,95132000,82190000,84645000,7350000,-91259000,-91259000,-69489000,-56626000,-50482000,-40369000,-54497000,-72655000,-75054000,-73897000,-68059000,-133725000,-169677000,- -,- -
67,Total Stockholders Equity,- -,16600000,54500000,82500000,96400000,112100000,125200000,142600000,165900000,- -,309052000,348371000,395118000,440588000,494772000,536084000,590049000,647643000,709111000,773169000,862451000,870351000,832788000,832788000,704650000,668975000,725147000,714897000,772519000,833860000,935654000,994787000,1184782000,1264753000,1111008000,1195040000,1327550000
68,Total Liabilities And Stockholders Equity,- -,61200000,95300000,135900000,179500000,238900000,247100000,259200000,305900000,- -,507679000,549211000,667638000,769196000,896879000,927207000,964014000,1062878000,1121527000,1225775000,1385762000,1478173000,1321408000,1321408000,1173009000,1151552000,1302416000,1334900000,1354097000,1480462000,1613684000,1793003000,1807991000,2083504000,2143864000,2156676000,2553977000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35947000
70,Total Liabilities & Equity,- -,61200000,95300000,135900000,179500000,238900000,247100000,259200000,305900000,- -,507679000,549211000,667638000,769196000,896879000,927207000,964014000,1062878000,1121527000,1225775000,1385762000,1478173000,1321408000,1321408000,1173009000,1151552000,1302416000,1334900000,1354097000,1480462000,1613684000,1793003000,1807991000,2083504000,2143864000,2156676000,2589924000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/793074/0000793074-96-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/0000793074-99-000005-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/000079307405000033/0000793074-05-000033-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/000079307409000010/0000793074-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/793074/000079307410000013/0000793074-10-000013-index.html,https://www.sec.gov/Archives/edgar/data/793074/000119312511051228/0001193125-11-051228-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000119312512081560/0001193125-12-081560-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307413000009/0000793074-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307414000011/0000793074-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307415000008/0000793074-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307416000060/0000793074-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307417000016/0000793074-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307418000012/0000793074-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307419000014/0000793074-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307420000014/0000793074-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307421000016/0000793074-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307422000012/0000793074-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,16800000,18000000,19700000,23900000,36662000,36380000,40555000,48378000,57246000,60011000,48023000,47744000,61627000,73727000,87310000,98534000,98643000,75357000,67580000,56584000,80039000,102757000,103034000,86785000,98650000,123714000,79129000,202889000,168148000,166944000,169078000,261478000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,-28700000,-36700000,-37600000,-40200000,53722000,61195000,65010000,72634000,82549000,99955000,109107000,116043000,121702000,135168000,144535000,162462000,167516000,166994000,167435000,155315000,152242000,158634000,166957000,173019000,176984000,193209000,209728000,217639000,230151000,249527000,263286000,267700000
75,Deferred Income Tax,- -,- -,- -,- -,- -,5800000,2200000,4800000,1200000,11800000,8700000,6500000,9500000,14700000,22200000,18751000,42529000,35891000,-5480000,12517000,-37380000,2234000,-8571000,-5685000,4908000,-11921000,57863000,-9068000,-8389000,5038000,38442000,44632000,-100948000,37694000,16401000,-10233000,29488000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1455000,1243000,1461000,2599000,4602000,4809000,6070000,4361000,2381000,4546000,7394000,8077000,8903000,10807000
77,Change in Working Capital,- -,- -,- -,- -,- -,-3200000,-2600000,8400000,7800000,-3900000,33504000,10295000,-3098000,-643000,14263000,37737000,-21548000,-30134000,109136000,30878000,-43975000,20416000,-7953000,- -,-24415000,-8504000,13247000,488000,38936000,57884000,-15977000,-65570000,9785000,-21754000,11196000,25408000,164875000
78,Accounts Receivable,- -,- -,- -,- -,- -,-8200000,-2300000,-4200000,-5500000,-7219000,-5349000,-10057000,-25533000,-868000,-32882000,3693000,2164000,-10535000,-20572000,-34310000,-53453000,7430000,19298000,27560000,5196000,-9524000,-28448000,7579000,-20514000,-35080000,15704000,-10349000,-42802000,-33753000,15081000,-18258000,-101007000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,3300000,-1300000,5800000,8200000,5816000,-2845000,3306000,25142000,3979000,-12460000,-4976000,2478000,17358000,-9643000,8715000,2769000,23434000,-26169000,-2968000,-445000,10839000,19381000,-20172000,2793000,-1497000,7256000,-5272000,5831000,7559000,-7537000,-2483000,14742000
81,Other Working Capital,- -,- -,- -,- -,- -,7800000,5200000,13600000,21400000,13300000,46804000,57099000,54001000,53358000,67621000,105358000,83810000,53676000,162812000,193690000,149715000,170131000,162178000,162178000,137763000,129259000,142506000,142994000,181930000,239814000,223837000,158267000,168052000,146298000,157494000,182902000,347777000
