,https://roic.ai/company/EXLS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,51800000,6200000,- -,24832323,30943883,127196461,173979769,171331705,205705000,248526000,278452000,344492000,366174000,419158000,465592000,531985000,599821000,618069000,670001000,719172000,693156000
68,Total Liabilities And Stockholders Equity,65100000,20300000,- -,50385579,62576311,165608942,210813707,211968692,249607000,305663000,377388000,435829000,463432000,573556000,650604000,706335000,824551000,1061686000,1183088000,1247857000,1282904000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,13000,20000,23000,25000,- -,- -,179000,193000,224000,250000,- -,- -,- -
70,Total Liabilities & Equity,65100000,20300000,- -,50385579,62576311,165608942,210813707,211968692,249620000,305683000,377411000,435854000,463432000,573556000,650783000,706528000,824775000,1061936000,1183088000,1247857000,1282904000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1297989/000119312507070775/0001193125-07-070775-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312508058929/0001193125-08-058929-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312509055465/0001193125-09-055465-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312510058425/0001193125-10-058425-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312511068676/0001193125-11-068676-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312512099147/0001193125-12-099147-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312513096263/0001193125-13-096263-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312514080551/0001193125-14-080551-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312515069666/0001193125-15-069666-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000162828016011841/0001628280-16-011841-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798917000002/0001297989-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798918000002/0001297989-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798919000002/0001297989-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798920000003/0001297989-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798921000004/0001297989-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798922000004/0001297989-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,5380296,7059548,14057796,27043586,14407667,15653000,26592000,34780000,41836000,48097000,32445000,51565000,61733000,48888000,56726000,67659000,89476000,114758000
74,Depreciation and Amortization,- -,- -,- -,4644271,6202111,11026455,14798435,16434211,11405000,15835000,22994000,25623000,24917000,28028000,31465000,34580000,38984000,48719000,79528000,77659000,75982000
75,Deferred Income Tax,- -,- -,- -,-101063,-1935264,-2653262,-3380393,-627052,-8400000,-2375000,-1705000,4727000,2484000,76000,2238000,-3384000,731000,-625000,-12345000,2697000,-20327000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,7233000,8549000,9483000,9416000,11832000,11011000,16047000,19770000,23041000,23901000,26070000,28235000,38621000
77,Change in Working Capital,- -,- -,- -,-1203369,4869781,61722165,34548883,-761561,24410060,-19596000,-29016000,38987000,42958000,34871000,20697000,22473000,53975000,36272000,-32931000,76291000,-305742000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-287000,-8443000,-5109000,-8086000,-5678000,3261000,-9087000,-18062000,-20482000,-10046000,-7093000,24696000,-37684000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1211000,-145000,-840000,3019000,-375000,-146000,44000,-2628000,1706000,-360000,134000,243000,-614000
81,Other Working Capital,- -,- -,- -,18429672,23299453,85021618,119570501,118808940,143219000,123623000,94607000,133594000,176552000,211423000,232120000,254593000,308568000,344840000,311909000,388200000,82458000
82,Other Non-Cash Items,- -,- -,- -,1162308,-3053233,-64365986,-49585381,4919738,-14606060,7501000,19699000,-54807000,-47496000,-39772000,-25321000,-34914000,-52479000,-72558000,40439000,-71385000,281095000
83,Cash Provided by Operating Activities,- -,- -,- -,9882443,13142943,19787168,23425130,34373003,35695000,36506000,56235000,65782000,82792000,66659000,96691000,100258000,113140000,92435000,168420000,202973000,184387000
84,CAPEX,- -,- -,- -,-12336918,-7126518,-10393973,-8712468,-14832610,-11416000,-19860000,-19468000,-18804000,-15916000,-27678000,-25585000,-25850000,-35154000,-40437000,-40138000,-42224000,-37248000
85,Acquisitions Net,- -,- -,- -,- -,- -,-1606543,- -,-2156121,-2081000,-42144000,-80983000,-37500000,-1183000,-58185000,-44270000,-28666000,-26300000,-231829000,-241000,-700000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-252561,- -,-3987000,-2424000,-8818000,-7351000,-1927000,-9134000,-129050000,-182471000,-402721000,-133434000,-187974000,-102462000,-96011000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,153000,3456000,3517000,8821000,1491000,6735000,125365000,182320000,241439000,128208000,176968000,126154000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,998443,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,916000,18989000
89,Cash Used for Investing Activites,- -,- -,- -,-12336918,-7126518,-12000516,-8965029,-15990288,-17331000,-60972000,-105752000,-54834000,-17535000,-88262000,-73540000,-54667000,-222736000,-277492000,-51385000,-18316000,-114270000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-114000,-88000,-31335000,-1640000,-1511000,-967000,-10720000,-25348000,-45366000,-155361000,-98583000,-121116000,-201000
91,Common Stock Issued,- -,- -,- -,12577603,12350,69987756,1641159,620066,21000,- -,21526000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-26060,- -,-6709470,-280417,-586764,-73000,-93000,-1624000,-331000,-21618000,-3322000,-14195000,-18203000,-43454000,-43109000,-41364000,-79949000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-117676,-103105,-10396611,599561,-274019,636000,3131000,36299000,11876000,7415000,57235000,34935000,10825000,68345000,396249000,46870000,111501000,-146678000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,12433867,-90755,52881675,1960303,-240717,470000,2950000,24866000,9905000,-15714000,52946000,10020000,-32726000,-20475000,197779000,-93077000,-89564000,-146879000
96,Effect of Forex Changes on Cash,- -,- -,- -,131452,-445158,457144,423227,-8177678,1207000,483000,-4138000,-209000,-4515000,-2909000,-4347000,-5033000,3711000,-2868000,-1045000,3382000,-4947000
97,Net Change In Cash,- -,- -,- -,10110844,5480512,61125471,16843631,9964320,20041000,-21033000,-28789000,20644000,45028000,28434000,28824000,7832000,-126360000,9854000,22913000,98475000,-81709000
98,Cash at the End of Period,- -,- -,- -,18760120,24240632,85366103,102209734,112174054,132215000,111182000,82393000,103037000,148065000,176499000,205323000,213155000,86795000,104131000,127044000,225519000,143810000
99,Cash at the Beginning of Period,- -,- -,- -,8649276,18760120,24240632,85366103,102209734,112174000,132215000,111182000,82393000,103037000,148065000,176499000,205323000,213155000,94277000,104131000,127044000,225519000
100,Free Cash Flow,- -,- -,- -,-2454475,6016425,9393195,14712662,19540393,24279000,16646000,36767000,46978000,66876000,38981000,71106000,74408000,77986000,51998000,128282000,160749000,147139000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1297989/000119312507070775/0001193125-07-070775-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312508058929/0001193125-08-058929-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312509055465/0001193125-09-055465-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312510058425/0001193125-10-058425-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312511068676/0001193125-11-068676-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312512099147/0001193125-12-099147-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312513096263/0001193125-13-096263-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312514080551/0001193125-14-080551-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000119312515069666/0001193125-15-069666-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000162828016011841/0001628280-16-011841-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798917000002/0001297989-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798918000002/0001297989-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798919000002/0001297989-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798920000003/0001297989-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798921000004/0001297989-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1297989/000129798922000004/0001297989-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
