,https://roic.ai/company/VRSK,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-13620000,-31643000,-37402000,-34264000,-52960000,-72380000,-75527000,-69826000,-19126000,-113900000,-110200000,-114400000,-128500000,-141100000,-125100000
20,Income Before Tax,258147000,278899000,264605000,406650000,460421000,519208000,538740000,590620000,717436000,653700000,691000000,719700000,568400000,897000000,875400000
21,Income Before Tax Ratio,0.3218,0.3121,0.2576,0.3572,0.3457,0.3384,0.3376,0.3381,0.3469,0.3276,0.3221,0.3005,0.2180,0.3222,0.2919
22,Income Tax expense (Gain),103184000,120671000,137991000,164098000,177663000,190066000,196426000,219755000,209859000,202200000,135900000,121000000,118500000,-184000000,209100000
23,Net Income,150374000,158228000,126614000,242552000,282758000,329142000,348380000,400042000,507577000,591200000,555100000,598700000,449900000,712000000,666300000
24,Net Income ratio,0.1875,0.1771,0.1233,0.2131,0.2123,0.2145,0.2183,0.2290,0.2454,0.2963,0.2588,0.2500,0.1726,0.2557,0.2222
25,EPS,0.87,0.86,0.72,1.36,1.70,1.98,2.07,2.41,3.07,3.51,3.36,3.63,2.75,4.38,4.10
26,EPS Diluted,0.83,0.82,0.70,1.30,1.63,1.92,2.02,2.37,3.01,3.45,3.29,3.56,2.70,4.31,4.03
27,Weighted Average Shares Outstanding,173216650,184925950,174767795,177733503,166015238,165890258,168031412,165823803,165090380,168248304,165168224,164808110,163535438,162610586,162610586
28,Weighted Average Shares Outstanding Diluted,180117150,192493650,182165661,186394962,173325110,171709518,172276360,169132423,168451343,171171572,168688868,168297836,166560115,165320709,165320709
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1442145/000095012310022607/0000950123-10-022607-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000095012311019814/y89886e10vk.htm,https://www.sec.gov/Archives/edgar/data/1442145/000119312512085286/0001193125-12-085286-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000119312513076934/0001193125-13-076934-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214514000008/vrsk10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1442145/000144214515000011/vrsk10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1442145/000144214516000057/0001442145-16-000057-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214517000010/0001442145-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214518000008/0001442145-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214519000012/0001442145-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214520000012/0001442145-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000143774921003789/0001437749-21-003789-index.htm,https://www.sec.gov/Archives/edgar/data/1442145/000143774922004083/0001437749-22-004083-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24049000,33185000,71527000,54974000,191603000,89819000,165801000,39359000,138348000,135100000,142300000,139500000,184600000,218000000,280300000
32,Short-Term Investments,28350000,5114000,5445000,5653000,5066000,4883000,3911000,3801000,3576000,3400000,3800000,- -,- -,- -,- -
33,Cash and Short-Term Investments,52399000,38299000,76972000,60627000,196669000,94702000,169712000,43160000,141924000,138500000,146100000,139500000,184600000,218000000,280300000
34,Net Receivables,91396000,96941000,106157000,151270000,190014000,224405000,225893000,286180000,368952000,313200000,374300000,390400000,467500000,432000000,483000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,38788000,33687000,42216000,28538000,66971000,71452000,79240000,55143000,93693000,49200000,77200000,114600000,92800000,144000000,139300000
37,Total Current Assets,182583000,168927000,225345000,240435000,453654000,390559000,474845000,384483000,604569000,500900000,597600000,644500000,744900000,794000000,902600000
38,PP&E,85436000,82587000,89165000,93409000,119411000,154084000,233373000,302273000,418168000,380300000,478300000,555900000,766700000,632000000,911300000
39,Goodwill,339891000,447372000,490829000,632668000,709944000,1247459000,1181681000,1207146000,3134826000,2578100000,3368700000,3361500000,3864300000,4108000000,4331200000
40,Intangible Assets,141160000,112713000,108526000,200229000,226424000,520935000,447618000,406476000,1376745000,1010800000,1345300000,1227800000,1398900000,1384000000,1225900000
41,Intangible Assets,481051000,560085000,599355000,832897000,936368000,1768394000,1629299000,1613622000,4511571000,3588900000,4714000000,4589300000,5263200000,5492000000,5557100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216200000
43,Tax Assets,55679000,108368000,66257000,21879000,10480000,- -,- -,- -,- -,15600000,15900000,11100000,9800000,- -,6600000
44,Other Non-Current Assets,25292000,8910000,16831000,28470000,21193000,47299000,166934000,44952000,81619000,145500000,214500000,99500000,270600000,- -,214300000
45,Total Non-Current Assets,647458000,759950000,771608000,976655000,1087452000,1969777000,2029606000,1960847000,5011358000,4130300000,5422700000,5255800000,6310300000,6124000000,6905500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,830041000,928877000,996953000,1217090000,1541106000,2360336000,2504451000,2345330000,5615927000,4631200000,6020300000,5900300000,7055200000,6918000000,7808100000
48,Accounts Payable,78234000,83381000,101401000,111995000,- -,- -,- -,87432000,245664000,90400000,68900000,77200000,80000000,406000000,117300000
49,Short-Term Debt,35171000,219398000,66660000,437717000,5554000,195263000,4448000,336058000,874811000,106800000,724400000,672800000,540000000,553000000,1012500000
50,Tax Payable,9178000,- -,1414000,- -,- -,- -,- -,- -,- -,- -,3100000,5200000,6800000,3800000,9000000
51,Deferred Revenue,- -,- -,- -,- -,176842000,200705000,226581000,252592000,356951000,330800000,384700000,383100000,440100000,9000000,501000000
52,Other Current Liabilities,242021000,202120000,132218000,171170000,167254000,189382000,200150000,95188000,1831000,93600000,159600000,191500000,431700000,462000000,212400000
53,Total Current Liabilities,355426000,504899000,300279000,720882000,349650000,585350000,431179000,771270000,1479257000,621600000,1337600000,1324600000,1491800000,1430000000,1843200000
54,Long-Term Debt,403159000,450356000,527509000,401826000,1100332000,1264409000,1265129000,1095848000,2290862000,2273100000,2276800000,2031000000,2648300000,514000000,2597500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,133761000,198604000,202540000,396430000,322200000,337800000,350600000,356000000,- -,470500000
57,Other Non-Current Liabilities,1274804000,983445000,204114000,208824000,189614000,121225000,61950000,64629000,77367000,81900000,142700000,123500000,298300000,64000000,54400000
58,Total Non-Current Liabilities,1677963000,1433801000,731623000,610650000,1289946000,1519395000,1525683000,1363017000,2764659000,2677200000,2757300000,2505100000,3302600000,578000000,3122400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4011000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,7016000,10758000,11084000,7128000,13900000,17000000,27300000,256400000,335000000,309200000
61,Total Liabilities,2033389000,1938700000,1031902000,1331532000,1639596000,2104745000,1956862000,2134287000,4243916000,3298800000,4094900000,3829700000,4794400000,4863000000,4965600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100000,100000,130000,135000,137000,137000,137000,137000,137000,100000,100000,100000,100000,- -,100000
64,Retained Earnings,-515756000,-243495000,51275000,293827000,576585000,905727000,1254107000,1654149000,2161726000,2752900000,3308000000,3942600000,4228400000,4762000000,5240400000
65,Other Comprehensive Income/Loss,-8699000,-82434000,-53628000,-55803000,-78287000,-89160000,-43488000,-80514000,-242052000,-650800000,-412300000,-591900000,-486900000,-375700000,-394600000
66,Other Total Stockholders Equity,-678993000,-683994000,-32726000,-352601000,-596925000,-561113000,-663167000,-1362729000,-547800000,-769800000,-970400000,-1280200000,-1480800000,- -,- -
67,Total Stockholders Equity,-1203348000,-1009823000,-34949000,-114442000,-98490000,255591000,547589000,211043000,1372011000,1332400000,1925400000,2070600000,2260800000,2698200000,2816500000
68,Total Liabilities And Stockholders Equity,830041000,928877000,996953000,1217090000,1541106000,2360336000,2504451000,2345330000,5615927000,4631200000,6020300000,5900300000,7055200000,7561200000,7782100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-643200000,26000000
70,Total Liabilities & Equity,830041000,928877000,996953000,1217090000,1541106000,2360336000,2504451000,2345330000,5615927000,4631200000,6020300000,5900300000,7055200000,6918000000,7808100000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1442145/000095012310022607/0000950123-10-022607-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000095012311019814/y89886e10vk.htm,https://www.sec.gov/Archives/edgar/data/1442145/000119312512085286/0001193125-12-085286-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000119312513076934/0001193125-13-076934-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214514000008/vrsk10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1442145/000144214515000011/vrsk10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1442145/000144214516000057/0001442145-16-000057-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214517000010/0001442145-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214518000008/0001442145-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214519000012/0001442145-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214520000012/0001442145-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000143774921003789/0001437749-21-003789-index.htm,https://www.sec.gov/Archives/edgar/data/1442145/000143774922004083/0001437749-22-004083-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,150374000,158228000,126614000,242552000,282758000,329142000,348380000,400042000,507577000,591200000,555100000,598700000,449900000,712000000,666300000
74,Depreciation and Amortization,65759000,64872000,71199000,68126000,78619000,104199000,134578000,143483000,215484000,224600000,237400000,296100000,323700000,358100000,383600000
75,Deferred Income Tax,-5698000,19895000,12190000,10294000,21321000,63261000,44140000,24491000,-4050000,14800000,-73600000,18300000,-29300000,31100000,49800000
76,Stock Based Compensation,8244000,9881000,12744000,21298000,22656000,37807000,36017000,35604000,44618000,44500000,31800000,38500000,42700000,47600000,55700000
77,Change in Working Capital,10798000,261038000,-405513000,584451000,-298795000,238457000,-430453000,-487901000,753988000,-619300000,59900000,-66800000,110900000,-273000000,-153200000
78,Accounts Receivable,3908000,3609000,-1990000,-24559000,-25926000,-6425000,2106000,-54515000,-14609000,-5700000,-45500000,-17400000,-70300000,1800000,-29700000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24300000,-80800000
81,Other Working Capital,-335972000,-74934000,-480447000,104004000,-194791000,43666000,-386787000,-874688000,-120700000,-740000000,-680100000,-746900000,-636000000,-909000000,26700000
82,Other Non-Cash Items,19044000,-266008000,509167000,-590689000,269162000,-304637000,374258000,373733000,-893930000,290300000,-67100000,49600000,58400000,192400000,153500000
83,Cash Provided by Operating Activities,248521000,247906000,326401000,336032000,375721000,468229000,506920000,489452000,623687000,546100000,743500000,934400000,956300000,1068200000,1155700000
84,CAPEX,-32941000,-30652000,-38694000,-38641000,-59829000,-74373000,-145976000,-146818000,-166138000,-156500000,-183500000,-231000000,-216800000,-246800000,-268400000
85,Acquisitions Net,-50658000,-18951000,-61350000,-205558000,-141281000,-806858000,-703000,115978000,-2941644000,640500000,-914900000,-153100000,-703700000,-285100000,-323800000
86,Purchases of Investments,-44101000,-361000,-575000,-516000,-1549000,-4034000,-5870000,-5203000,-266000,-300000,-300000,-100000,- -,-94800000,- -
87,Sales/Maturities of Investments,22872000,21724000,886000,743000,1730000,1932000,7484000,513000,101177000,9000000,400000,121900000,- -,- -,- -
88,Other Investing Activites,-6003000,-102226000,-85607000,283000,-3200000,-250000,-561000,-146818000,-165584000,-156000000,-190700000,-234100000,-224200000,-215900000,-268200000
89,Cash Used for Investing Activites,-110831000,-130466000,-185340000,-243689000,-204129000,-883583000,-145626000,-35530000,-3006317000,493200000,-1105500000,-265400000,-927900000,-595800000,-592000000
90,Debt Repayment,-136008000,-35287000,-163754000,- -,-555000000,-347224000,-190000000,- -,-340000000,-770000000,- -,-300000000,-250000000,-465000000,-450000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,720848000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-204770000,-392562000,-46740000,-420061000,-381776000,-162275000,-277411000,-778484000,-20456000,-326800000,-276300000,-438600000,-300000000,-348800000,-475000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-163500000,-175800000,-188200000
94,Other Financing Activites,128187000,320473000,107685000,311274000,901996000,823054000,182939000,199406000,2120621000,64000000,638800000,68800000,724400000,544400000,614300000
95,Cash Used/Provided by Financing Activities,-212591000,-107376000,-102809000,-108787000,-34780000,313555000,-284472000,-579078000,2481013000,-1032800000,362500000,-669800000,10900000,-445200000,-498900000
96,Effect of Forex Changes on Cash,-202000,-928000,90000,-109000,-183000,15000,-840000,-1286000,606000,-9700000,6700000,-2000000,6100000,6700000,-3300000
97,Net Change In Cash,-75103000,9136000,38342000,-16553000,136629000,-101784000,75982000,-126442000,98989000,-3200000,7200000,-2800000,45100000,34200000,61500000
98,Cash at the End of Period,24049000,33185000,71527000,54974000,191603000,89819000,165801000,39359000,138348000,135100000,142300000,139500000,184600000,218800000,280300000
99,Cash at the Beginning of Period,99152000,24049000,33185000,71527000,54974000,191603000,89819000,165801000,39359000,138300000,135100000,142300000,139500000,184600000,218800000
100,Free Cash Flow,215580000,217254000,287707000,297391000,315892000,393856000,360944000,342634000,457549000,389600000,560000000,703400000,739500000,821400000,887300000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1442145/000095012310022607/0000950123-10-022607-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000095012311019814/y89886e10vk.htm,https://www.sec.gov/Archives/edgar/data/1442145/000119312512085286/0001193125-12-085286-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000119312513076934/0001193125-13-076934-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214514000008/vrsk10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1442145/000144214515000011/vrsk10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1442145/000144214516000057/0001442145-16-000057-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214517000010/0001442145-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214518000008/0001442145-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214519000012/0001442145-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000144214520000012/0001442145-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1442145/000143774921003789/0001437749-21-003789-index.htm,https://www.sec.gov/Archives/edgar/data/1442145/000143774922004083/0001437749-22-004083-index.htm
102,false,,,,,,,,,,,,,,,
