,https://roic.ai/company/BRC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.21,0.20,0.23,0.22,0.35,0.35,0.12,0.39,1.27,1.92,0.64,0.72,0.61,0.86,1.02,0.59,0.60,0.46,1.06,1.64,2.07,2.00,2.41,1.33,1.55,2.04,-0.35,-3.02,-0.89,0.06,1.58,1.84,1.73,2.46,2.11,2.47
27,Weighted Average Shares Outstanding,43333333,43589744,44444444,43636364,42000000,42535211,41739130,42564103,42539683,43404255,43622047,43611111,44677419,45172414,45314976,45410000,45891803,44647826,47321860,48967000,49494000,53907000,54168000,52559000,52402000,52639000,52453000,51330000,51866000,51285000,50541000,51056000,51677000,52596000,52763000,52039000
28,Weighted Average Shares Outstanding Diluted,43333333,43589744,44444444,43636364,42000000,42535211,41739130,42564103,42539683,43404255,43736264,43611111,45040650,45433526,45757073,46179661,46656667,45138462,47766197,49859000,50385000,54741000,54873000,52866000,52946000,53133000,52453000,51330000,51866000,51357000,50769000,51956000,52524000,53323000,53231000,52409000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746598/000074659894000011/0000746598-94-000011-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012495003299/0000950124-95-003299-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746598/000095012400006248/0000950124-00-006248-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746598/000095013706010861/0000950137-06-010861-index.htm,https://www.sec.gov/Archives/edgar/data/746598/000095013707014815/0000950137-07-014815-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095013708012076/0000950137-08-012076-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012309046589/0000950123-09-046589-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012310087855/0000950123-10-087855-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012311087053/0000950123-11-087053-index.html,https://www.sec.gov/Archives/edgar/data/746598/000119312512406801/0001193125-12-406801-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659813000223/0000746598-13-000223-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659814000167/0000746598-14-000167-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659815000132/0000746598-15-000132-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659816000273/0000746598-16-000273-index.htm,https://www.sec.gov/Archives/edgar/data/746598/000074659817000082/0000746598-17-000082-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659818000086/0000746598-18-000086-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659819000128/0000746598-19-000128-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659820000097/0000746598-20-000097-index.htm,https://www.sec.gov/Archives/edgar/data/746598/000074659821000102/0000746598-21-000102-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25500000,24700000,20000000,23800000,31700000,29900000,28500000,42400000,66100000,89100000,49300000,65300000,65600000,75500000,60784000,62811000,75969000,76088000,70368000,72970000,113008000,142846000,258355000,188156000,314840000,389971000,305900000,91058000,81834000,114492000,141228000,133944000,181427000,279072000,217643000,147335000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,11500000,19200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,25500000,24700000,20000000,23800000,31700000,29900000,28500000,42400000,66100000,89100000,49300000,65300000,65600000,75500000,60784000,62811000,75969000,76088000,70368000,80070000,124508000,162046000,258355000,188156000,314840000,389971000,305900000,91058000,81834000,114492000,141228000,133944000,181427000,279072000,217643000,147335000
34,Net Receivables,13900000,16400000,21300000,22900000,25200000,26100000,30900000,30500000,32300000,42100000,53700000,65500000,63400000,73300000,82656000,71684000,76246000,80162000,105322000,123453000,187907000,239569000,262461000,191189000,221621000,228483000,199006000,169261000,177648000,157386000,147333000,149638000,161282000,158114000,146181000,170579000
35,Inventory,9000000,10800000,12000000,13900000,17700000,19700000,22000000,22700000,23700000,23100000,40700000,44600000,38400000,37500000,41220000,39207000,36718000,36564000,52931000,70735000,109917000,139778000,134619000,93808000,94672000,104186000,105524000,94707000,113275000,104507000,99427000,107024000,113071000,120037000,135662000,136107000
36,Other Current Assets,7600000,7700000,7700000,16500000,19400000,20400000,13200000,10000000,9700000,10200000,12400000,12600000,16700000,16900000,18523000,21291000,21093000,22343000,23302000,28114000,36825000,42020000,43650000,36274000,37839000,35647000,40424000,157464000,91085000,32197000,19436000,17208000,15559000,16056000,9962000,11083000
37,Total Current Assets,56000000,59600000,61000000,77100000,94000000,96100000,94600000,105600000,131800000,164500000,156100000,188000000,184100000,203200000,203183000,194993000,210026000,215157000,251923000,302372000,459157000,583413000,699085000,509427000,668972000,758287000,650854000,512490000,463842000,408582000,407424000,407814000,471339000,573279000,509448000,465104000
38,PP&E,32400000,36600000,47500000,48600000,52400000,59400000,71500000,67400000,64300000,58600000,65600000,62400000,67200000,67000000,80660000,84533000,80891000,79240000,86105000,98411000,139906000,174614000,170206000,151988000,145502000,139915000,130015000,122158000,134171000,111214000,102444000,98103000,97945000,110048000,156967000,163621000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,587642000,737450000,789107000,751173000,768600000,800343000,676791000,617236000,515004000,433199000,429871000,437697000,419815000,410987000,416034000,614137000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34200000,36000000,53500000,72900000,100835000,96041000,108053000,130667000,321776000,404016000,134111000,149761000,144791000,115754000,103546000,89961000,84119000,156851000,91014000,68888000,59806000,53076000,42588000,36123000,22334000,92334000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34200000,36000000,53500000,72900000,100835000,96041000,108053000,130667000,321776000,404016000,721753000,887211000,933898000,866927000,872146000,890304000,760910000,774087000,606018000,502087000,489677000,490773000,462403000,447110000,438368000,706471000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
