,https://roic.ai/company/IRM,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,12869000,22600000,37200000,67400000,129405000,158521000,114761000,158201000,167275000,134572000,213836000,254655000,295720000,283571000,306670000,290638000,316344000,322037000,353143000,345464000,452326000,522376000,639514000,658201000,669445000,696970000
15,EBITDA,13377000,14800000,29500000,63700000,110705000,140500000,222348000,309568000,331040000,332657000,436494000,476759000,520681000,845331000,625330000,1000233000,847942000,740738000,845147000,774273000,920314000,1093378000,1454970000,1411366000,1468594000,1748781000
16,EBITDA ratio,0.1031,0.0807,0.1091,0.1226,0.1122,0.1200,0.1686,0.2062,0.1821,0.1601,0.1857,0.1746,0.1704,0.2805,0.1999,0.3318,0.2822,0.2448,0.2711,0.2574,0.2621,0.2843,0.3443,0.3311,0.3541,0.3894
17,Operating Income,19748000,30000000,43100000,64300000,115121000,144982000,253230000,304893000,344496000,386784000,407187000,454718000,492530000,548544000,323553000,571199000,557027000,492394000,549277000,524527000,501606000,649109000,755508000,781338000,934785000,854172000
18,Operating Income ratio,0.1522,0.1635,0.1595,0.1238,0.1167,0.1238,0.1921,0.2031,0.1895,0.1861,0.1732,0.1666,0.1612,0.1820,0.1035,0.1895,0.1854,0.1627,0.1762,0.1744,0.1428,0.1688,0.1788,0.1833,0.2254,0.1902
19,Total Other Income Expenses (Gains),- -,-31800000,-50800000,-54800000,-130929000,-153113000,-133281000,-147904000,-177761000,-189766000,-182969000,-231694000,-267663000,-215711000,-222758000,-218299000,-258661000,-329376000,-325904000,-362461000,-354962000,-433004000,-397597000,-453196000,-562080000,-225157000
20,Income Before Tax,- -,-1800000,-7700000,9500000,-15808000,-8131000,119949000,156989000,166735000,197018000,224218000,223024000,224867000,332833000,100795000,352900000,298366000,163018000,223373000,162066000,146644000,216105000,357911000,328142000,372705000,629015000
21,Income Before Tax Ratio,- -,-0.0098,-0.0285,0.0183,-0.0160,-0.0069,0.0910,0.1046,0.0917,0.0948,0.0954,0.0817,0.0736,0.1104,0.0322,0.1171,0.0993,0.0539,0.0716,0.0539,0.0418,0.0562,0.0847,0.0770,0.0899,0.1400
22,Income Tax expense (Gain),- -,7400000,3300000,10600000,9125000,26036000,49295000,66730000,69574000,81484000,93795000,69010000,142924000,110527000,149787000,106488000,114873000,63057000,-97275000,37713000,44944000,25947000,36263000,59931000,29609000,176290000
23,Net Income,508000,-15200000,-11000000,-14300000,-27825000,-44057000,58292000,84637000,94191000,116601000,128863000,153094000,82037000,220877000,-53900000,395538000,171708000,97262000,326119000,123241000,104824000,183821000,363351000,267377000,342693000,450219000
24,Net Income ratio,0.0039,-0.0828,-0.0407,-0.0275,-0.0282,-0.0376,0.0442,0.0564,0.0518,0.0561,0.0548,0.0561,0.0269,0.0733,-0.0172,0.1312,0.0571,0.0321,0.1046,0.0410,0.0299,0.0478,0.0860,0.0627,0.0826,0.1002
25,EPS,-0.02,-0.20,-0.18,-0.12,-0.15,-0.24,0.31,0.44,0.49,0.57,0.65,0.77,0.41,1.09,-0.27,2.03,0.99,0.51,1.67,0.58,0.43,0.69,1.27,0.93,1.19,1.56
26,EPS Diluted,-0.02,-0.20,-0.18,-0.12,-0.15,-0.24,0.30,0.44,0.48,0.56,0.64,0.76,0.40,1.08,-0.27,2.02,0.98,0.51,1.66,0.58,0.42,0.69,1.27,0.93,1.19,1.55
27,Weighted Average Shares Outstanding,57757445,74539071,62388562,123793312,179296875,188248500,190464750,191850750,193624500,195988500,198116000,199938000,201279000,202812000,201991000,194777000,173604000,190994000,195278000,210764000,246178000,265898000,285913000,286971000,288183000,289457000
28,Weighted Average Shares Outstanding Diluted,57757445,74539071,62388562,123793312,179296875,188248500,193659750,195115500,196764000,198105000,200463000,202062000,203290000,204271000,201991000,195938000,174867000,192412000,196749000,212118000,247267000,266845000,286653000,287687000,288643000,290975000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1020569/000095010997002091/0000950109-97-002091-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000095010998002312/0000950109-98-002312-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1020569/000091205701504806/0000912057-01-504806-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000091205702010766/0000912057-02-010766-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746903009667/0001047469-03-009667-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746904007405/0001047469-04-007405-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746905006702/0001047469-05-006702-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000110465906017231/a06-2602_110k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000110465907015493/a07-5794_110k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000104746908002061/a2183111z10-k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000104746909002067/0001047469-09-002067-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746910001537/0001047469-10-001537-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746911001600/a2202093z10-k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000104746912001785/0001047469-12-001785-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746913002039/0001047469-13-002039-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746914001562/a2218353z10-k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000104746915001413/a2223186z10-k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056916000013/0001020569-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000102056917000010/0001020569-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000102056918000006/0001020569-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000102056919000018/0001020569-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000102056920000029/0001020569-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000102056921000067/0001020569-21-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056922000035/0001020569-22-000035-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1254000,1800000,2300000,3800000,6200000,21359000,56292000,74683000,31942000,53413000,45369000,125607000,278370000,446656000,258693000,179845000,243415000,120526000,125933000,128381000,236484000,925699000,165485000,193555000,205063000,255828000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1254000,1800000,2300000,3800000,6200000,21359000,56292000,74683000,31942000,53413000,45369000,125607000,278370000,446656000,258693000,179845000,243415000,120526000,125933000,128381000,236484000,925699000,165485000,193555000,205063000,255828000
34,Net Receivables,17828000,25200000,43100000,104100000,176442000,219050000,225416000,279800000,354434000,408564000,473366000,564049000,552830000,585376000,575827000,543467000,640512000,648712000,645824000,597574000,714060000,835742000,846889000,850701000,859344000,961419000
35,Inventory,611000,800000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,688000,4400000,5500000,35800000,54026000,68908000,85332000,117100000,114778000,92191000,160986000,132740000,145192000,179393000,220658000,191138000,140165000,164369000,145962000,131957000,161563000,188874000,195740000,192083000,205380000,224020000
37,Total Current Assets,20381000,32200000,52000000,143700000,236668000,309317000,367040000,471583000,501154000,554168000,679721000,822396000,976392000,1211425000,1055178000,914450000,1024092000,933607000,917719000,857912000,1112107000,1950315000,1208114000,1236339000,1269787000,1441267000
38,PP&E,113134000,160500000,229700000,403700000,832394000,952231000,1239188000,1492267000,1649796000,1781266000,2015235000,2335961000,2386754000,2568200000,2519112000,2407083000,2477727000,2578260000,2550727000,2497158000,3083326000,3417679000,4489557000,6492138000,6698945000,6982566000
39,Goodwill,- -,- -,- -,- -,- -,1529547000,- -,- -,- -,- -,2165129000,2574292000,2452304000,2534713000,2323964000,2254268000,2334759000,2463352000,2423783000,2360978000,3905021000,4070267000,4441030000,4485209000,4557609000,4463531000
40,Intangible Assets,- -,196800000,381500000,729200000,1525630000,- -,1544974000,1776279000,2040217000,2138641000,282756000,480403000,443729000,438812000,418713000,410149000,460023000,607654000,609859000,606100000,1269322000,1410748000,1506522000,1394671000,1326977000,1181043000
41,Intangible Assets,97544000,196800000,381500000,729200000,1525630000,1529547000,1544974000,1776279000,2040217000,2138641000,2447885000,3054695000,2896033000,2973525000,2742677000,2664417000,2794782000,3071006000,3033642000,2967078000,5174343000,5481015000,5947552000,5879880000,5884586000,5644574000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3761000,5200000,3300000,40600000,64404000,68811000,79453000,151970000,251220000,292065000,66680000,94869000,97675000,93684000,78832000,55308000,61738000,70132000,68254000,28439000,117024000,123393000,207024000,208459000,295949000,381624000
45,Total Non-Current Assets,214439000,362500000,614500000,1173500000,2422428000,2550589000,2863615000,3420516000,3941233000,4211972000,4529800000,5485525000,5380462000,5635409000,5340621000,5126808000,5334247000,5719398000,5652623000,5492675000,8374693000,9022087000,10644133000,12580477000,12879480000,13008764000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,234820000,394700000,666500000,1317200000,2659096000,2859906000,3230655000,3892099000,4442387000,4766140000,5209521000,6307921000,6356854000,6846834000,6395799000,6041258000,6358339000,6653005000,6570342000,6350587000,9486800000,10972402000,11852247000,13816816000,14149267000,14450031000
48,Accounts Payable,6757000,8800000,11700000,25800000,42531000,64596000,76115000,87006000,103415000,148234000,148461000,208672000,154614000,175231000,161200000,156381000,168120000,216456000,203014000,219590000,222197000,289137000,318765000,324708000,359863000,369145000
49,Short-Term Debt,7310000,1100000,3600000,9900000,40789000,35256000,69732000,115781000,39435000,25905000,63105000,33440000,35751000,40561000,96990000,73320000,92887000,52583000,52095000,88068000,172975000,146300000,126406000,612262000,443998000,569025000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29484000,4957000,- -,- -,- -,- -,- -,- -,96564000,115352000,131780000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,85894000,95188000,107857000,136470000,151137000,160148000,194344000,182759000,208062000,201427000,197181000,217133000,228724000,197142000,183112000,201128000,241590000,264823000,274036000,295785000,307470000
52,Other Current Liabilities,30247000,35200000,52800000,114600000,230733000,173263000,186927000,274101000,236143000,266720000,266933000,329221000,356473000,390860000,395317000,422148000,426813000,461338000,404485000,351061000,450257000,653146000,752684000,738503000,896049000,772940000
53,Total Current Liabilities,44314000,45100000,68100000,150300000,314053000,359009000,427962000,584745000,515463000,591996000,638647000,765677000,729597000,814714000,854934000,849030000,904953000,959101000,856736000,841831000,1046557000,1330173000,1462678000,1949509000,1995695000,2018580000
54,Long-Term Debt,209330000,277800000,514400000,603100000,1314342000,1460843000,1662365000,1974147000,2438587000,2503526000,2605711000,3232848000,3207464000,3211223000,2912465000,3280268000,3732116000,4119139000,4611436000,4757610000,6078206000,6896971000,8016417000,10004252000,10554153000,11133985000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90503000,95860000,97177000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3456000,8400000,15000000,16200000,38948000,47213000,78464000,146231000,206539000,225314000,- -,351226000,427324000,467067000,481640000,507358000,398549000,344468000,54658000,55002000,151295000,155728000,183836000,188128000,198377000,223934000
57,Other Non-Current Liabilities,3158000,4100000,5900000,16500000,24266000,41589000,54871000,45077000,50185000,69308000,406600000,153626000,186141000,118081000,87638000,53169000,160273000,172463000,177557000,167537000,274071000,290688000,303727000,210700000,264313000,216464000
58,Total Non-Current Liabilities,215944000,290300000,535300000,635800000,1377556000,1549645000,1795700000,2165455000,2695311000,2798148000,3012311000,3737700000,3820929000,3886874000,3577603000,3937972000,4290938000,4636070000,4843651000,4980149000,6503572000,7343387000,8503980000,10403080000,11016843000,11574383000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1951935000,2294837000,2431069000
61,Total Liabilities,260258000,335400000,603400000,786100000,1691609000,1908654000,2223662000,2750200000,3210774000,3390144000,3650958000,4503377000,4550526000,4701588000,4432537000,4787002000,5195891000,5595171000,5700387000,5821980000,7550129000,8673560000,9966658000,12352589000,13012538000,13592963000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,400000,553000,843000,850000,856000,1298000,1317000,1991000,2007000,2019000,2035000,2001000,1721000,1900000,1914000,2098000,2113000,2636000,2831000,2863000,2873000,2883000,2898000
64,Retained Earnings,- -,-8400000,-19400000,-31600000,-59383000,-103695000,-45403000,39234000,133425000,244524000,373387000,509875000,591912000,812789000,695707000,902567000,185558000,73920000,-659553000,-942218000,-1343311000,-1765966000,-2116367000,-2574896000,-2950339000,-3221152000
65,Other Comprehensive Income/Loss,-45020000,-54500000,-67500000,-93600000,-152545000,-238306000,-31038000,-8046000,20285000,18684000,33794000,74061000,-41215000,27661000,29482000,-2203000,20314000,-8660000,-75031000,-174917000,-212573000,-103989000,-265664000,-262581000,-255893000,-338347000
66,Other Total Stockholders Equity,19582000,122200000,150000000,655900000,1178862000,1292410000,1020452000,1034070000,1063560000,1105604000,1144101000,1209512000,1250064000,1298657000,1228655000,343603000,942199000,980164000,1588841000,1623863000,3489795000,4164562000,4263348000,4298566000,4340078000,4412553000
67,Total Stockholders Equity,-25438000,59300000,63100000,531100000,967487000,951252000,944861000,1066114000,1218568000,1370129000,1553273000,1795455000,1802780000,2141142000,1955845000,1245688000,1149971000,1047338000,856355000,508841000,1936547000,2297438000,1884180000,1463962000,1136729000,855952000
68,Total Liabilities And Stockholders Equity,234820000,394700000,666500000,1317200000,2659096000,2859906000,3168523000,3816314000,4429342000,4760273000,5204231000,6298832000,6353306000,6842730000,6388382000,6032690000,6345862000,6642509000,6556742000,6330821000,9486676000,10970998000,11850838000,13816551000,14149267000,14448915000
69,Minority Interest,- -,- -,- -,- -,- -,- -,62132000,75785000,13045000,5867000,5290000,9089000,3548000,4104000,7417000,8568000,12477000,10496000,13600000,19766000,124000,1404000,1409000,265000,- -,1116000
70,Total Liabilities & Equity,234820000,394700000,666500000,1317200000,2659096000,2859906000,3230655000,3892099000,4442387000,4766140000,5209521000,6307921000,6356854000,6846834000,6395799000,6041258000,6358339000,6653005000,6570342000,6350587000,9486800000,10972402000,11852247000,13816816000,14149267000,14450031000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1020569/000095010997002091/0000950109-97-002091-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000095010998002312/0000950109-98-002312-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1020569/000091205701504806/0000912057-01-504806-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000091205702010766/0000912057-02-010766-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746903009667/0001047469-03-009667-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746904007405/0001047469-04-007405-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746905006702/0001047469-05-006702-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000110465906017231/a06-2602_110k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000110465907015493/a07-5794_110k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000104746908002061/a2183111z10-k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000104746909002067/0001047469-09-002067-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746910001537/0001047469-10-001537-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746911001600/a2202093z10-k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000104746912001785/0001047469-12-001785-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746913002039/0001047469-13-002039-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000104746914001562/a2218353z10-k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000104746915001413/a2223186z10-k.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056916000013/0001020569-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000102056917000010/0001020569-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000102056918000006/0001020569-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000102056919000018/0001020569-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000102056920000029/0001020569-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/1020569/000102056921000067/0001020569-21-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056922000035/0001020569-22-000035-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,508000,-15200000,-11000000,-14300000,-27825000,-44057000,58292000,84637000,94191000,116601000,128863000,153094000,82037000,220877000,-53900000,395538000,171708000,97262000,326119000,123241000,104824000,183821000,363351000,268315000,343096000,452725000
74,Depreciation and Amortization,12869000,22600000,37200000,67400000,129405000,158521000,114761000,158201000,167275000,134572000,213836000,254655000,295720000,283571000,306670000,290638000,316344000,322037000,353143000,345464000,452326000,522376000,639514000,658201000,669445000,696970000
75,Deferred Income Tax,-128000,7200000,3300000,9000000,8350000,11774000,46089000,15688000,62165000,61485000,53139000,43813000,109109000,29723000,35674000,3389000,-77201000,-99432000,-270790000,-7473000,-50368000,-36370000,-10729000,-624000,-12986000,28703000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18703000,20378000,17250000,30360000,30354000,29624000,27585000,28976000,30019000,31167000,35654000,37674000,61001000
77,Change in Working Capital,13259000,-3200000,9500000,-70785000,27693000,-11230000,-52240000,98853000,-23519000,78902000,15645000,190076000,149916000,-196467000,-134824000,53719000,-144633000,86477000,-44902000,49469000,554592000,-874706000,-458606000,8756000,134350000,-131669000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21421000,20944000,-20799000,-17964000,-33181000,113000,17984000,-23206000,-89653000,- -,- -,- -,- -
79,Inventory,150000,-200000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8311000,-5752000,7069000,-706000,24168000,16870000,18017000,-50712000,34898000,- -,- -,- -,- -
81,Other Working Capital,-12900000,-16100000,-6600000,-77385000,-49692000,-60922000,-113162000,-14309000,-37828000,41074000,56719000,246795000,396711000,200244000,65420000,119139000,-25494000,60983000,16081000,65550000,620142000,-254564000,-713170000,- -,- -,- -
82,Other Non-Cash Items,-70000,9600000,1700000,64085000,19981000,45901000,88046000,-196470000,5252000,-102867000,-37201000,-156994000,-99753000,260504000,451142000,-145096000,136158000,70848000,79754000,3474000,-546455000,895828000,370852000,-3647000,-183922000,-348828000
83,Cash Provided by Operating Activities,26438000,21000000,40700000,55400000,157604000,160909000,254948000,160909000,305364000,288693000,374282000,484644000,537029000,616911000,625140000,615438000,432736000,507546000,472948000,541760000,543895000,720968000,935549000,966655000,987657000,758902000
84,CAPEX,-29111000,-137500000,-235100000,-310900000,-168706000,-197039000,-196997000,-197039000,-231966000,-204477000,-396221000,-386442000,-401253000,-323520000,-290868000,-230858000,-269555000,-317486000,-396371000,-345360000,-379369000,-418316000,-532541000,-748459000,-453253000,-624376000
85,Acquisitions Net,-61176000,- -,- -,- -,-140940000,-71397000,-49361000,-71397000,-384338000,-379890000,-81208000,-481526000,-56632000,-2033000,-129399000,-75246000,-127464000,-317100000,-128093000,-113558000,-261311000,-190469000,-1757538000,-77459000,-136831000,-68743000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5943000,- -,-1709000,-3114000,- -,-335000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-47666000,-19000000,-17900000,-200000,-17983000,-9700000,-1399000,-9700000,-10219000,-2267000,16658000,1333000,- -,-318919000,-303271000,154089000,-272736000,-320587000,-351885000,-309228000,-274680000,-408979000,-464340000,-653426000,51391000,-404570000
89,Cash Used for Investing Activites,-108842000,-156500000,-253000000,-311100000,-327629000,-278136000,-247757000,-278136000,-626523000,-586634000,-466714000,-866635000,-459594000,-324066000,-432670000,78508000,-400200000,-637687000,-479978000,-422786000,-535991000,-599448000,-2221878000,-730885000,-85440000,-473313000
90,Debt Repayment,-127853000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-737141000,-307271000,-2248429000,2205351000,4976616000,8718835000,10110981000,14542623000,12166048000,15349091000,-14537039000,-8607159000,-5166933000
91,Common Stock Issued,- -,93600000,- -,3600000,8180000,11145000,9522000,- -,- -,8426000,22245000,21843000,16145000,1064000,169000,698000,- -,- -,- -,- -,- -,575591000,84908000,- -,- -,- -
92,Common Stock Repurchased,-1450000,- -,- -,-41000000,-5449000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111563000,-984953000,-38052000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-602000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37893000,-172616000,-318845000,-206798000,-542298000,-406508000,-505871000,-439999000,-673635000,-704526000,-716290000,-718340000
94,Other Financing Activites,212841000,42500000,212900000,295300000,169679000,123756000,17576000,134901000,276569000,306628000,60489000,435162000,71223000,606385000,75324000,2641492000,-1820224000,-4751254000,-8156680000,-9812984000,-13911379000,-11761215000,-14209686000,15042592000,8436750000,5664467000
95,Cash Used/Provided by Financing Activities,82936000,136100000,212900000,257900000,172410000,134901000,27098000,134901000,276569000,315054000,82734000,457005000,87368000,-129692000,-381234000,-763808000,28230000,18564000,19857000,-108511000,125373000,540425000,550678000,-198973000,-886699000,-220806000
96,Effect of Forex Changes on Cash,- -,- -,- -,-100000,-15000,-2515000,644000,-2515000,1849000,1278000,1654000,5224000,-12040000,5133000,801000,-8986000,2804000,-11312000,-7420000,-8015000,-25174000,27270000,-24563000,-8727000,-4010000,-14018000
97,Net Change In Cash,532000,136100000,212900000,2100000,2370000,15159000,34933000,15159000,-42741000,18391000,-8044000,80238000,152763000,168286000,-187963000,-78848000,63570000,-122889000,5407000,2448000,108103000,689215000,-760214000,28070000,11508000,50765000
98,Cash at the End of Period,1254000,- -,- -,3800000,6200000,21359000,56292000,21359000,31942000,74683000,45369000,125607000,278370000,446656000,258693000,179845000,243415000,120526000,125933000,128381000,236484000,925699000,165485000,193555000,205063000,255828000
99,Cash at the Beginning of Period,722000,1300000,1800000,1700000,3830000,6200000,21359000,6200000,74683000,56292000,53413000,45369000,125607000,278370000,446656000,258693000,179845000,243415000,120526000,125933000,128381000,236484000,925699000,165485000,193555000,205063000
100,Free Cash Flow,-2673000,-116500000,-194400000,-255500000,-11102000,-36130000,57951000,-36130000,73398000,84216000,-21939000,98202000,135776000,293391000,334272000,384580000,163181000,190060000,76577000,196400000,164526000,302652000,403008000,218196000,534404000,134526000
