,https://roic.ai/company/ON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,45300000,- -,- -,- -,- -,- -,- -,- -,- -,5900000,142100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,286800000,1300000,- -,1300000,- -,- -,- -,- -,- -,- -,- -,34200000,31200000,- -,- -,- -,138900000,339100000,266200000,307800000,429000000,366300000
44,Other Non-Current Assets,103400000,135600000,138000000,61000000,23800000,32400000,46500000,47500000,44600000,60200000,60600000,76200000,58900000,64600000,91000000,106600000,70500000,98200000,105100000,256400000,410200000,520600000
45,Total Non-Current Assets,1224500000,809600000,696100000,638700000,573100000,548200000,715700000,892300000,1309000000,1245700000,1561200000,1755800000,1635000000,1546800000,2017200000,1978100000,4055300000,4261900000,4419800000,5405500000,5483900000,5844400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2023000000,1360400000,1203100000,1161400000,1110100000,1148500000,1416500000,1637600000,2354200000,2414300000,2919200000,3883500000,3328400000,3257000000,3823000000,3869600000,6924400000,7195100000,7587600000,8425500000,8668000000,9626000000
48,Accounts Payable,175000000,111500000,77400000,115700000,104400000,137300000,165700000,163500000,178200000,172900000,256900000,451800000,279500000,276800000,378200000,337700000,434000000,548000000,671700000,543600000,572900000,635100000
49,Short-Term Debt,5600000,12400000,9300000,11400000,20000000,73900000,27900000,30800000,107900000,205900000,136000000,370100000,353600000,181600000,209600000,543400000,553800000,248100000,138500000,736000000,531600000,160700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25500000,23600000
51,Deferred Revenue,- -,- -,70800000,66200000,96700000,97100000,123200000,120400000,114100000,98800000,149500000,172000000,134500000,140500000,165100000,112000000,109800000,- -,- -,- -,- -,- -
52,Other Current Liabilities,224500000,211000000,154500000,116900000,104000000,90000000,116200000,106200000,143800000,141400000,168500000,281600000,256700000,220300000,287900000,246200000,405000000,612800000,659100000,538800000,570000000,747600000
53,Total Current Liabilities,405100000,334900000,312000000,310200000,325100000,398300000,433000000,420900000,544000000,619000000,710900000,1275500000,1024300000,819200000,1040800000,1239300000,1502600000,1408900000,1469300000,1818400000,1674500000,1543400000
54,Long-Term Debt,1252700000,1374500000,1393900000,1291500000,1131800000,993100000,1148100000,1128600000,1061400000,727600000,752800000,836900000,658300000,760600000,983000000,850500000,3068500000,2703700000,2627600000,2876500000,2959700000,2913900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,2200000,- -,2300000,1200000,4200000,6900000,4700000,13800000,18200000,17500000,22900000,- -,- -,- -,288900000,55100000,54800000,60200000,57300000,43200000
57,Other Non-Current Liabilities,20800000,62700000,153000000,177900000,163300000,31400000,35800000,46800000,48100000,49300000,49300000,260100000,232200000,190400000,151800000,147900000,219400000,226400000,241800000,346300000,418400000,521100000
58,Total Non-Current Liabilities,1273500000,1437200000,1549100000,1469400000,1297400000,1025700000,1188100000,1182300000,1114200000,790700000,820300000,1114500000,913400000,951000000,1134800000,998400000,3576800000,2985200000,2924200000,3283000000,3435400000,3478200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1678600000,1772100000,1861100000,1779600000,1622500000,1424000000,1621100000,1603200000,1658200000,1409700000,1531200000,2390000000,1937700000,1770200000,2175600000,2237700000,5079400000,4394100000,4393500000,5101400000,5109900000,5021600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1700000,1700000,1800000,2200000,2500000,3100000,3300000,3400000,4600000,4700000,4900000,5000000,5100000,5200000,5200000,5300000,5400000,5500000,5600000,5700000,5700000,6000000
64,Retained Earnings,-393700000,-1225100000,-1367000000,-1533700000,-1657400000,-1556800000,-1284700000,-1051400000,-1431500000,-1504400000,-1213900000,-1202300000,-1292900000,-1142100000,-915600000,-709400000,-527300000,351500000,979600000,1191300000,1425500000,2435100000
65,Other Comprehensive Income/Loss,- -,-916400000,-800500000,-889700000,-963100000,1000000,-400000,-1000000,-54000000,-65000000,-59000000,-47000000,-41000000,-47000000,-42000000,-42000000,-50000000,-41000000,-38000000,-54000000,-57600000,-40600000
66,Other Total Stockholders Equity,729700000,1724000000,1503600000,1776600000,2080200000,1252400000,- -,1064900000,2159600000,2549700000,2634000000,2712500000,2689900000,2637900000,2578900000,2354300000,2395100000,2462800000,2224400000,2158700000,2164900000,2184900000
67,Total Stockholders Equity,337700000,-415800000,-662100000,-644600000,-537800000,-300300000,-225400000,15900000,678700000,985000000,1366000000,1468200000,1361100000,1454000000,1626500000,1608200000,1823200000,2778800000,3171600000,3301700000,3538500000,4585400000
68,Total Liabilities And Stockholders Equity,2016300000,1356300000,1199000000,1135000000,1084700000,1123700000,1395700000,1619100000,2336900000,2394700000,2897200000,3858200000,3298800000,3224200000,3802100000,3845900000,6902600000,7172900000,7565100000,8403100000,8648400000,9607000000
69,Minority Interest,6700000,4100000,4100000,26400000,25400000,24800000,20800000,18500000,17300000,19600000,22000000,25300000,29600000,32800000,20900000,23700000,21800000,22200000,22500000,22400000,19600000,19000000
70,Total Liabilities & Equity,2023000000,1360400000,1203100000,1161400000,1110100000,1148500000,1416500000,1637600000,2354200000,2414300000,2919200000,3883500000,3328400000,3257000000,3823000000,3869600000,6924400000,7195100000,7587600000,8425500000,8668000000,9626000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1097864/000095015301500189/0000950153-01-500189-index.html,https://www.sec.gov/Archives/edgar/data/1097864/000095015302000606/0000950153-02-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000095015303000532/0000950153-03-000532-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312504038086/0001193125-04-038086-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312505066747/0001193125-05-066747-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312506036587/0001193125-06-036587-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1097864/000119312508026462/0001193125-08-026462-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312509040877/0001193125-09-040877-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312510040363/0001193125-10-040363-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312511045204/0001193125-11-045204-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/0001193125-12-072371-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/0001193125-13-076823-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312514062363/0001193125-14-062363-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312515069358/0001193125-15-069358-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312516475009/0001193125-16-475009-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312517062207/0001193125-17-062207-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312518051397/0001193125-18-051397-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312519045025/0001193125-19-045025-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312520041751/0001193125-20-041751-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828021002219/0001628280-21-002219-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828022002416/0001628280-22-002416-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,71100000,-831400000,-141900000,-166700000,-123700000,100600000,272100000,242200000,-380100000,61000000,290500000,11600000,-90600000,150800000,189700000,206200000,182100000,810700000,627400000,211700000,234200000,1009600000
74,Depreciation and Amortization,158900000,171800000,141500000,136500000,109400000,100700000,84200000,96900000,142100000,155600000,166900000,229400000,243600000,211800000,268800000,357600000,364100000,481900000,508700000,593100000,625100000,596700000
75,Deferred Income Tax,-8300000,317100000,6400000,300000,3500000,-5700000,3500000,3200000,-6800000,700000,2600000,-4200000,-3100000,- -,-18800000,-9200000,-38100000,-348300000,69200000,11200000,-122600000,62400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,33200000,54200000,52500000,33500000,20500000,32300000,45800000,46900000,56100000,69800000,78300000,79400000,67700000,101300000
77,Change in Working Capital,9300000,-20900000,17500000,-600000,-9900000,65800000,56600000,176800000,48400000,97500000,205100000,-183100000,221900000,-126000000,-112800000,714300000,157800000,174200000,-496900000,308000000,687400000,-58900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95400000,-35400000,20500000,-11300000,28100000,-57900000,-2700000,4700000,- -,- -
79,Inventory,-33100000,23100000,8000000,-21000000,-32900000,10600000,-61900000,-7500000,40000000,44800000,-84000000,102100000,-7100000,-97600000,-59000000,-72500000,-7900000,-126900000,-185200000,34600000,-26300000,-122800000
80,Accounts Payable,47100000,- -,- -,- -,- -,- -,- -,- -,-69000000,9800000,26800000,-109700000,-161300000,6600000,-17300000,-32200000,42400000,51800000,44800000,-79900000,34200000,70700000
81,Other Working Capital,215900000,195000000,212500000,211900000,202000000,267800000,324400000,501200000,549600000,647100000,852200000,669100000,891000000,765000000,652200000,1366500000,1524300000,1698500000,1201600000,1509600000,2197000000,- -
82,Other Non-Cash Items,70300000,226100000,7100000,76200000,59100000,-68300000,-66600000,-202000000,557000000,-92100000,-165800000,458300000,-116300000,58400000,108600000,-845200000,-140800000,-94100000,487500000,-508700000,-607500000,70900000
83,Cash Provided by Operating Activities,301300000,-137300000,30600000,45700000,38400000,193100000,349800000,317100000,393800000,276900000,551800000,545500000,276000000,327300000,481300000,470600000,581200000,1094200000,1274200000,694700000,884300000,1782000000
84,CAPEX,-198800000,-117900000,-26500000,-59800000,-81800000,-47800000,-210900000,-140700000,-95000000,-58500000,-191100000,-315900000,-256300000,-156500000,-204300000,-272200000,-212900000,-395700000,-514800000,-634600000,-483600000,-492000000
85,Acquisitions Net,-1500000,-100000,- -,- -,- -,- -,- -,-147000000,183100000,-16700000,-91000000,-17900000,- -,- -,-423700000,-31300000,-2180000000,19200000,-87100000,-882800000,21500000,-392400000
86,Purchases of Investments,-255700000,- -,- -,- -,-302700000,-18200000,-35400000,-1500000,- -,-103800000,-136200000,-370800000,-273800000,-195700000,-18600000,-800000,- -,-1600000,- -,- -,- -,-48900000
87,Sales/Maturities of Investments,- -,20400000,- -,- -,223100000,99200000,37700000,- -,- -,52400000,45500000,122200000,377600000,224300000,116900000,8300000,- -,- -,- -,- -,- -,4200000
88,Other Investing Activites,-11900000,8300000,4500000,4600000,10800000,1600000,78400000,13100000,39600000,300000,37100000,158700000,19100000,9700000,-35900000,31500000,-41700000,13600000,53000000,-93500000,-91500000,14000000
89,Cash Used for Investing Activites,-467900000,-89300000,-22000000,-55200000,-150600000,34800000,-130200000,-276100000,127700000,-126300000,-335700000,-423700000,-133400000,-118200000,-565600000,-264500000,-2434600000,-364500000,-548900000,-1510900000,-453600000,-915100000
90,Debt Repayment,-288300000,- -,- -,- -,- -,- -,- -,- -,-430200000,-177700000,-286700000,-142300000,-275900000,-262600000,-134400000,-517800000,-328700000,-1840300000,-302000000,-595200000,-2023900000,-1270500000
91,Common Stock Issued,521700000,104300000,2600000,164000000,236000000,6300000,93600000,46800000,5100000,5500000,7000000,8100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-228400000,- -,- -,- -,- -,-300000,-300000000,-55200000,-2900000,-8600000,-15000000,-19300000,-55500000,-101000000,-121800000,-348200000,- -,-25000000,-315300000,-139000000,-65400000,- -
93,Dividends Paid,- -,- -,- -,- -,-4200000,-4200000,- -,- -,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,223800000,112400000,-9600000,-159600000,-200400000,-101400000,21900000,-27100000,92400000,97000000,175300000,56300000,31700000,189600000,347600000,766200000,2593400000,1054400000,12200000,1357300000,1845300000,701100000
95,Cash Used/Provided by Financing Activities,228800000,216700000,-7000000,4400000,31400000,-99600000,-184500000,-35500000,-337100000,-83800000,-119400000,-97200000,-299700000,-174000000,91400000,-99800000,2264700000,-810900000,-605100000,623100000,-244000000,-569400000
96,Effect of Forex Changes on Cash,-100000,800000,1000000,1300000,-100000,-700000,400000,300000,-300000,200000,900000,5000000,-8900000,-12500000,-4900000,-400000,-800000,2300000,300000,200000,600000,-1300000
97,Net Change In Cash,62100000,-9100000,2600000,-3800000,-80900000,127600000,35500000,5800000,184100000,67000000,97600000,29600000,-166000000,22600000,2200000,105900000,410500000,-78900000,120500000,-192900000,187300000,296200000
98,Cash at the End of Period,188900000,179800000,182400000,186600000,105700000,233300000,268800000,274600000,458700000,525700000,623300000,652900000,486900000,509500000,511700000,617600000,1028100000,949200000,1087100000,894200000,1081500000,1377700000
99,Cash at the Beginning of Period,126800000,188900000,179800000,190400000,186600000,105700000,233300000,268800000,274600000,458700000,525700000,623300000,652900000,486900000,509500000,511700000,617600000,1028100000,966600000,1087100000,894200000,1081500000
100,Free Cash Flow,102500000,-255200000,4100000,-14100000,-43400000,145300000,138900000,176400000,298800000,218400000,360700000,229600000,19700000,170800000,277000000,198400000,368300000,698500000,759400000,60100000,400700000,1290000000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1097864/000095015301500189/0000950153-01-500189-index.html,https://www.sec.gov/Archives/edgar/data/1097864/000095015302000606/0000950153-02-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000095015303000532/0000950153-03-000532-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312504038086/0001193125-04-038086-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312505066747/0001193125-05-066747-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312506036587/0001193125-06-036587-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1097864/000119312508026462/0001193125-08-026462-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312509040877/0001193125-09-040877-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312510040363/0001193125-10-040363-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312511045204/0001193125-11-045204-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312512072371/0001193125-12-072371-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/0001193125-13-076823-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312514062363/0001193125-14-062363-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312515069358/0001193125-15-069358-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312516475009/0001193125-16-475009-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312517062207/0001193125-17-062207-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312518051397/0001193125-18-051397-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312519045025/0001193125-19-045025-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000119312520041751/0001193125-20-041751-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828021002219/0001628280-21-002219-index.htm,https://www.sec.gov/Archives/edgar/data/1097864/000162828022002416/0001628280-22-002416-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
