,https://roic.ai/company/NUAN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,15500000,47700000,82800000,81200000,83000000,30900000,78450000,80786000,98975000,138168000,- -,223133000,381373000,563043000,826028000,887257000,1037529000,1221462000,1458309000,1760727000,1901153000,1838179000,1767990000,1798599000,1888065000,1601046000,1345747000,1239683000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3562000,1238000,3159000,2234000,1615000,2345000,2635000,4438000,6922000,9327000,13705000,4527000,547000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40103000,40993000,36703000,85286000,137767000,132675000,118564000,132732000,156889000,137253000,120095000,93968000,77733000
14,Depreciation and Amortization,400000,700000,2000000,2100000,1700000,2100000,24677000,29282000,13159000,15256000,13300000,18153000,38449000,49833000,99000000,134059000,157156000,170933000,187183000,208659000,221776000,230645000,231474000,234413000,210316000,158790000,116479000,93040000
15,EBITDA,-11100000,-10900000,-22400000,-21300000,-2100000,-400000,-28102000,12088000,19746000,9469000,- -,19548000,30706000,58320000,83486000,202351000,197084000,237653000,337771000,249746000,199431000,268737000,365945000,272287000,130834000,404101000,213091000,149455000
16,EBITDA ratio,-2.8462,-0.2922,-0.3993,-0.3698,-0.0265,-0.0127,-0.5729,0.1893,0.1852,0.0699,- -,0.0841,0.0790,0.0969,0.0961,0.2129,0.1761,0.1802,0.2045,0.1346,0.1037,0.1392,0.1878,0.1404,0.0638,0.2217,0.1441,0.1097
17,Operating Income,-11600000,-10400000,-26700000,-23600000,-3900000,700000,-29395000,-16931000,6603000,-6462000,- -,2032000,8370000,38977000,32614000,57575000,32917000,52551000,126186000,48482000,-21363000,54909000,138523000,51969000,-86944000,132672000,112588000,82719000
18,Operating Income ratio,-2.9744,-0.2788,-0.4759,-0.4097,-0.0493,0.0222,-0.5992,-0.2651,0.0619,-0.0477,- -,0.0087,0.0215,0.0647,0.0376,0.0606,0.0294,0.0398,0.0764,0.0261,-0.0111,0.0284,0.0711,0.0268,-0.0424,0.0728,0.0761,0.0607
19,Total Other Income Expenses (Gains),300000,-1100000,2300000,300000,500000,-3200000,-23384000,-263000,-16000,675000,- -,-637000,-15441000,-30490000,-48128000,-29386000,-33982000,-22534000,-60884000,-145162000,-133657000,-135381000,-136784000,-170984000,-129791000,-106928000,-102558000,-94683000
20,Income Before Tax,- -,- -,- -,- -,- -,-2500000,-52779000,-17194000,6587000,-5787000,- -,1395000,-7071000,8487000,-15514000,28189000,-1065000,30017000,65302000,-96680000,-155020000,-80472000,1739000,-119015000,-216735000,25744000,10030000,-11964000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-0.0791,-1.0759,-0.2693,0.0618,-0.0427,- -,0.0060,-0.0182,0.0141,-0.0179,0.0297,-0.0010,0.0228,0.0395,-0.0521,-0.0806,-0.0417,0.0009,-0.0614,-0.1056,0.0141,0.0068,-0.0088
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,200000,472000,-317000,254000,-269000,- -,6812000,15144000,22502000,14554000,40391000,18034000,-8221000,-141833000,18558000,-4677000,34538000,14197000,31981000,-56807000,-88594000,-18752000,5408000
23,Net Income,-11500000,-11600000,-24400000,-23400000,-3800000,-2700000,-53251000,-16877000,6333000,-5518000,- -,-5417000,-22887000,-14015000,-30068000,-12202000,-19099000,38238000,207135000,-115238000,-150343000,-115010000,-12458000,-150996000,-159928000,213810000,21396000,-26726000
24,Net Income ratio,-2.9487,-0.3110,-0.4349,-0.4063,-0.0480,-0.0854,-1.0855,-0.2643,0.0594,-0.0408,- -,-0.0233,-0.0589,-0.0233,-0.0346,-0.0128,-0.0171,0.0290,0.1254,-0.0621,-0.0782,-0.0596,-0.0064,-0.0779,-0.0780,0.1173,0.0145,-0.0196
25,EPS,-6.76,-4.28,-1.28,-1.20,-0.19,-0.11,-1.26,-0.34,0.09,-0.07,- -,-0.05,-0.14,-0.08,-0.14,-0.05,-0.07,0.13,0.67,-0.37,-0.47,-0.36,-0.04,-0.52,-0.55,0.75,0.08,-0.09
26,EPS Diluted,-6.76,-4.28,-1.28,-1.20,-0.19,-0.11,-1.26,-0.34,0.09,-0.07,- -,-0.05,-0.14,-0.08,-0.14,-0.05,-0.07,0.12,0.65,-0.37,-0.47,-0.36,-0.04,-0.52,-0.55,0.75,0.08,-0.09
27,Weighted Average Shares Outstanding,15087719,15125000,19062500,19450000,19728000,25630000,42107000,49693000,67010000,78398000,78398000,109540000,163873000,176424000,209801000,253644000,287412000,302277000,306371000,313587000,316936000,317028000,317028000,289348000,291318000,286347000,282644000,294589000
28,Weighted Average Shares Outstanding Diluted,15087719,15125000,19062500,19450000,19728000,25630000,42107000,49693000,72796000,78398000,78398000,109540000,163873000,176424000,209801000,253644000,287412000,315960000,320822000,313587000,316936000,317028000,317028000,289348000,291318000,286347000,282644000,294589000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1002517/000089161898001348/0000891618-98-001348-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1002517/000095013502001820/0000950135-02-001820-index.html,https://www.sec.gov/Archives/edgar/data/1002517/000095013503002062/0000950135-03-002062-index.html,https://www.sec.gov/Archives/edgar/data/1002517/000095013504001306/0000950135-04-001306-index.html,https://www.sec.gov/Archives/edgar/data/1002517/000095013505000086/0000950135-05-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095013505006971/0000950135-05-006971-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095013506007439/0000950135-06-007439-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095013507007235/0000950135-07-007235-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095013508007677/0000950135-08-007677-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095012309066247/0000950123-09-066247-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095012310109408/0000950123-10-109408-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095012311100969/0000950123-11-100969-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251712000006/0001002517-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251713000060/0001002517-13-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251714000049/0001002517-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251715000032/0001002517-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251716000088/0001002517-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251717000040/0001002517-17-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251718000064/0001002517-18-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251719000039/0001002517-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251720000058/0001002517-20-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251721000052/0001002517-21-000052-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,22400000,11400000,7700000,5300000,2571000,14324000,18853000,42584000,22963000,71687000,112334000,184335000,261540000,527038000,516630000,447224000,1129761000,808118000,547230000,479449000,481620000,592299000,315963000,560961000,301233000,187307000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,62000,- -,- -,- -,7373000,24127000,- -,2628000,56000,- -,5044000,31244000,- -,38728000,40974000,57237000,98840000,251981000,135579000,186555000,71114000,22168000
33,Cash and Short-Term Investments,- -,- -,22400000,11400000,7700000,5300000,2633000,14324000,18853000,42584000,30336000,95814000,112334000,186963000,261596000,527038000,521674000,478468000,1129761000,846846000,588204000,536686000,580460000,844280000,451542000,747516000,372347000,209475000
34,Net Receivables,- -,- -,10800000,12300000,13500000,7700000,8314000,14266000,17168000,42404000,36523000,69540000,130526000,209707000,217999000,208719000,224999000,280856000,381417000,382741000,428266000,373162000,380004000,395392000,378832000,308601000,200576000,162292000
35,Inventory,- -,- -,4500000,3100000,4800000,800000,806000,507000,1241000,427000,373000,313000,6795000,8013000,7152000,8525000,- -,11351000,11375000,14716000,12453000,8994000,11642000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,9700000,4100000,1300000,1300000,1610000,1614000,3167000,9264000,6256000,9235000,13666000,16933000,28536000,51545000,94969000,84252000,178753000,165224000,135577000,125092000,66484000,88269000,98257000,199096000,163062000,231778000
37,Total Current Assets,- -,- -,47400000,30900000,27300000,15100000,13363000,30711000,40429000,94679000,73488000,174902000,263321000,421616000,515283000,795827000,841642000,854927000,1701306000,1409527000,1164500000,1043934000,1038590000,1327941000,928631000,1255213000,735985000,603545000
38,PP&E,- -,- -,4200000,2500000,1000000,1500000,2954000,2406000,2846000,6977000,7985000,14333000,30700000,37618000,46485000,53468000,62083000,78218000,116134000,143465000,191411000,186007000,185169000,176548000,155894000,141316000,253704000,229326000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,699333000,1249642000,1655773000,1891003000,2077943000,2347880000,2955477000,3293198000,3410893000,3378334000,3508879000,3590608000,3504457000,3243464000,2133712000,2155270000
40,Intangible Assets,- -,- -,- -,- -,- -,13000000,92051000,108276000,96882000,297552000,290322000,550663000,220040000,391190000,585023000,706805000,685865000,731577000,906538000,953278000,915483000,796285000,762220000,664474000,549508000,356932000,213484000,128331000
41,Intangible Assets,- -,- -,- -,- -,- -,13000000,92051000,108276000,96882000,297552000,290322000,550663000,919373000,1640832000,2240796000,2597808000,2763808000,3079457000,3862015000,4246476000,4326376000,4174619000,4271099000,4255082000,4053965000,3600396000,2347196000,2283601000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28322000,- -,- -,- -,- -,32099000,27632000,29844000,21932000,17287000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45927000
44,Other Non-Current Assets,- -,- -,200000,200000,100000,400000,1112000,677000,3533000,2732000,20858000,17314000,21680000,72721000,43635000,52511000,73844000,82691000,119585000,159135000,137997000,148686000,138980000,142508000,141957000,351581000,256447000,224254000
45,Total Non-Current Assets,- -,- -,4400000,2700000,1100000,14900000,96117000,111359000,103261000,307261000,319165000,582310000,971753000,1751171000,2330916000,2703787000,2928057000,3240366000,4097734000,4549076000,4655784000,4541411000,4622880000,4603982000,4373748000,4110580000,2857347000,2783108000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,51800000,33600000,28400000,30000000,109480000,142070000,143690000,401940000,392653000,757212000,1235074000,2172787000,2846199000,3499614000,3769699000,4095293000,5799040000,5958603000,5820284000,5585345000,5661470000,5931923000,5302379000,5365793000,3593332000,3386653000
48,Accounts Payable,- -,- -,11400000,12800000,11100000,2200000,7945000,5320000,7085000,7244000,8018000,17347000,27768000,55659000,31517000,59574000,78616000,82703000,113196000,91016000,61760000,56581000,94599000,94604000,84516000,104865000,75122000,90120000
49,Short-Term Debt,- -,- -,- -,2800000,6000000,1600000,3400000,227000,3273000,904000,457000,27711000,3953000,7430000,7006000,6862000,7764000,6905000,380094000,246040000,4834000,4834000,- -,376121000,- -,1142870000,432209000,397521000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8016000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1375000,1790000,13672000,10529000,24120000,63269000,95862000,118902000,144395000,142340000,185605000,206610000,253753000,298225000,324709000,349173000,366042000,383793000,302872000,261323000,240742000
52,Other Current Liabilities,- -,- -,7200000,6900000,3700000,4300000,8502000,14471000,11439000,28554000,26544000,93594000,117058000,97792000,224339000,208394000,153752000,199857000,264863000,214425000,277190000,240260000,247127000,274761000,295855000,294469000,217488000,199966000
53,Total Current Liabilities,- -,- -,18600000,22500000,20800000,8100000,19847000,21393000,23587000,50374000,45548000,162772000,212048000,256743000,381764000,419225000,382472000,475070000,964763000,805234000,642009000,626384000,690899000,1111528000,764164000,1845076000,986142000,928349000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,3273000,- -,- -,27700000,35000,349990000,899921000,894184000,888611000,851014000,853020000,1735811000,2108091000,2127392000,2118821000,2433152000,2241283000,2185361000,793536000,1104464000,580215000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33904000,76598000,90382000,108481000,160823000,249879000,343452000,386960000,423929000,489177000,398834000,104309000,108317000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1264000,2123000,- -,19926000,26038000,46745000,56346000,63731000,72229000,160614000,162774000,156235000,162476000,115435000,131320000,49931000,54216000,70116000,12019000
57,Other Non-Current Liabilities,- -,- -,- -,200000,100000,- -,2172000,2870000,725000,47076000,15537000,79740000,76514000,111818000,98598000,98090000,98688000,111221000,101095000,83667000,62777000,68960000,103694000,92481000,96250000,100981000,184368000,122819000
58,Total Non-Current Liabilities,- -,- -,- -,200000,100000,- -,2172000,6143000,725000,48340000,45360000,79775000,446430000,1037777000,1039527000,1076951000,1090031000,1126852000,2106001000,2515355000,2596283000,2693709000,3039241000,2889013000,2820719000,1347567000,1463257000,823370000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135894000,109812000
61,Total Liabilities,- -,- -,18600000,22700000,20800000,8100000,22019000,27536000,24312000,98714000,90908000,242547000,658478000,1294520000,1421291000,1496176000,1472503000,1601922000,3070764000,3320589000,3238292000,3320093000,3730140000,4000541000,3584883000,3192643000,2449399000,1751719000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,4631000,4631000,4631000,4631000,4631000,4631000,4631000,4631000,4631000,4631000,4631000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,46000,63000,66000,105000,109000,160000,174000,196000,232000,281000,302000,312000,316000,319000,325000,314000,291000,294000,291000,290000,287000,319000
64,Retained Earnings,- -,- -,-53200000,-76600000,-80400000,-83100000,-136382000,-153259000,-146926000,-152444000,-161822000,-167239000,-190126000,-204141000,-235136000,-247338000,-281355000,-243117000,-161155000,-369404000,-530563000,-750389000,-429031000,-580027000,-740837000,-293612000,-272216000,-298942000
65,Other Comprehensive Income/Loss,- -,- -,-3200000,-3600000,-4500000,-2100000,-3476000,-4955000,-6571000,-9014000,-11933000,-2000000,2000000,15000000,13000000,8000000,9000000,2000000,-7000000,7000000,-24000000,-117000000,-116000000,-101000000,-123000000,-133000000,-118000000,-104649000
66,Other Total Stockholders Equity,- -,- -,89600000,91100000,92500000,107100000,227273000,272685000,268178000,459948000,470760000,679113000,759917000,1062581000,1642181000,2237864000,2564618000,2729545000,2891484000,3000099000,3136230000,3132327000,2476070000,2612115000,2581042000,2581328000,1533862000,- -
67,Total Stockholders Equity,- -,- -,33200000,10900000,7600000,21900000,87461000,114534000,119378000,303226000,301745000,514665000,576596000,878267000,1424908000,2003438000,2297196000,2493371000,2728276000,2638014000,2581992000,2265252000,1931330000,1931382000,1717496000,2155006000,1143933000,1634934000
68,Total Liabilities And Stockholders Equity,- -,- -,51800000,33600000,28400000,30000000,109480000,142070000,143690000,401940000,392653000,757212000,1235074000,2172787000,2846199000,3499614000,3769699000,4095293000,5799040000,5958603000,5820284000,5585345000,5661470000,5931923000,5302379000,5347649000,3593332000,3386653000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18144000,- -,- -
70,Total Liabilities & Equity,- -,- -,51800000,33600000,28400000,30000000,109480000,142070000,143690000,401940000,392653000,757212000,1235074000,2172787000,2846199000,3499614000,3769699000,4095293000,5799040000,5958603000,5820284000,5585345000,5661470000,5931923000,5302379000,5365793000,3593332000,3386653000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1002517/000089161898001348/0000891618-98-001348-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1002517/000095013502001820/0000950135-02-001820-index.html,https://www.sec.gov/Archives/edgar/data/1002517/000095013503002062/0000950135-03-002062-index.html,https://www.sec.gov/Archives/edgar/data/1002517/000095013504001306/0000950135-04-001306-index.html,https://www.sec.gov/Archives/edgar/data/1002517/000095013505000086/0000950135-05-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095013505006971/0000950135-05-006971-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095013506007439/0000950135-06-007439-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095013507007235/0000950135-07-007235-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095013508007677/0000950135-08-007677-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095012309066247/0000950123-09-066247-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095012310109408/0000950123-10-109408-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000095012311100969/0000950123-11-100969-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251712000006/0001002517-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251713000060/0001002517-13-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251714000049/0001002517-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251715000032/0001002517-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251716000088/0001002517-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251717000040/0001002517-17-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251718000064/0001002517-18-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251719000039/0001002517-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251720000058/0001002517-20-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1002517/000100251721000052/0001002517-21-000052-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-11500000,-11600000,-24400000,-23400000,-3800000,-2700000,-53251000,-16877000,6333000,-5518000,- -,-5417000,-22887000,-14015000,-30068000,-12202000,-19099000,38238000,207135000,-115238000,-150343000,-115010000,-12458000,-150996000,-159928000,213810000,21396000,-26726000
74,Depreciation and Amortization,400000,700000,2000000,2100000,1700000,2100000,24677000,29282000,13159000,15256000,13300000,18153000,38449000,49833000,99000000,134059000,157156000,170933000,187183000,208659000,221776000,230645000,231474000,234413000,210316000,158790000,116479000,93040000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,2962000,8811000,14068000,491000,25718000,3742000,-43890000,-151547000,-2472000,-22172000,16690000,-12014000,4855000,-87217000,-123763000,-39937000,-2911000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71407000,100139000,147296000,174581000,159325000,192964000,176776000,163828000,154272000,150785000,141212000,133294000,143376000
77,Change in Working Capital,-100000,28800000,- -,-20400000,-1900000,500000,-13484000,15802000,7524000,27463000,-16365000,-15810000,39143000,113600000,-31354000,243083000,82568000,-79313000,356686000,-132250000,-81802000,-104941000,-69859000,-131278000,-51946000,-754330000,339706000,-40923000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,- -,- -,- -,- -,33481000,-773000,-25530000,-55210000,25165000,-39502000,41657000,25450000,-6349000,19641000,1058000,42075000,-12114000
79,Inventory,-1100000,-2700000,-700000,1400000,-1700000,-200000,257000,418000,-456000,1503000,- -,646000,-1781000,-624000,1125000,-1368000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,- -,- -,26582000,4710000,-8193000,22645000,-26843000,-28617000,-3218000,38206000,-1207000,-14315000,22922000,-8173000,20558000
81,Other Working Capital,- -,28800000,28800000,8400000,6500000,7000000,-6484000,9318000,16842000,44305000,27940000,12130000,51273000,164873000,133519000,376602000,459170000,379857000,736543000,604293000,522491000,417550000,347691000,216413000,164467000,-589863000,-250157000,-9317000
82,Other Non-Cash Items,100000,-28400000,3500000,21700000,-5500000,-2400000,36512000,-17835000,-14673000,-32006000,8465000,16310000,-15569000,-57064000,158130000,-203376000,-28224000,124147000,-301039000,276986000,197724000,283417000,264824000,267601000,382416000,765638000,-316374000,81783000
83,Cash Provided by Operating Activities,-11100000,-10500000,-18900000,-20000000,-9500000,-2500000,-5546000,10372000,12343000,5195000,6300000,16198000,47947000,106422000,196199000,258689000,296282000,357411000,472999000,395010000,358147000,487577000,565795000,378867000,444426000,401357000,254564000,247639000
84,CAPEX,-800000,-3000000,-3100000,-300000,-300000,-1800000,-1048000,-943000,-2410000,-2898000,-3300000,-4598000,-8447000,-20157000,-54195000,-85387000,-41274000,-41622000,-62910000,-55588000,-60287000,-58039000,-54883000,-61835000,-48845000,-44185000,-61297000,-56514000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-10118000,-3606000,32568000,- -,-61287000,-392826000,-564295000,-392527000,-99120000,-203729000,-402290000,-884945000,-607653000,-253000000,-83278000,-172763000,-113769000,-110170000,386170000,-850000,-35540000
86,Purchases of Investments,-700000,-2700000,-3900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159000,-48499000,-10776000,-15156000,-39435000,-62639000,-148697000,-117640000,-332470000,-201995000,-349125000,-180005000,-78485000
87,Sales/Maturities of Investments,- -,- -,- -,5700000,2800000,100000,- -,- -,- -,- -,- -,21089000,24159000,5714000,2577000,56000,- -,11650000,31789000,8768000,64975000,83867000,82285000,173864000,323695000,303171000,313734000,127378000
88,Other Investing Activites,- -,-1400000,1400000,- -,-200000,8100000,1419000,406000,42000,-5560000,-25400000,214000,11131000,1023000,-1934000,-85387000,-63344000,-24438000,-56163000,-55588000,-60287000,-58039000,-54883000,-61835000,-48845000,-44185000,-60150000,-55782000
89,Cash Used for Investing Activites,-1500000,-7100000,-5600000,5400000,2300000,6400000,371000,-10655000,-5974000,24110000,-28700000,-44582000,-365983000,-577715000,-446079000,-184610000,-315572000,-425854000,-924475000,-693908000,-310951000,-206147000,-263001000,-334210000,-37315000,296031000,72729000,-42429000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6999000,-8460000,-18178000,-15130000,-425634000,-255038000,-261051000,-511844000,-634055000,-481172000,-300000000,-743642000,-230076000
91,Common Stock Issued,12400000,55800000,7200000,700000,300000,300000,815000,16862000,8276000,9929000,- -,80101000,30780000,28441000,341741000,215408000,41860000,36667000,27747000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-700000,- -,-1031000,-7000000,-2894000,6600000,-361000,-1566000,-5737000,-652000,-10546000,-22016000,- -,-199997000,-184388000,-26483000,-298279000,-699472000,-99077000,-136090000,-126938000,-169217000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,500000,-200000,-200000,2900000,3200000,-6000000,1800000,-3400000,-3194000,-12154000,-3900000,-3263000,329365000,518782000,-13950000,-8447000,-1504000,-12527000,1320415000,589365000,-25645000,218097000,906201000,800183000,-63086000,-25099000,326652000,-92664000
95,Cash Used/Provided by Financing Activities,12900000,55600000,7000000,3600000,3500000,-6400000,2615000,12431000,-1918000,-5119000,2700000,76477000,358579000,541486000,327139000,189416000,9880000,5962000,1133035000,-20657000,-307166000,-341233000,-305115000,67051000,-680348000,-452037000,-586207000,-322740000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-31000,-395000,78000,-455000,100000,631000,104000,1808000,-54000,2003000,-998000,-6925000,978000,-2088000,-918000,-7978000,4492000,-1029000,-3099000,-353000,-814000,3604000
97,Net Change In Cash,12900000,55600000,7000000,3600000,3500000,-2500000,-2591000,11753000,4529000,23731000,-19600000,48724000,40647000,72001000,77205000,265498000,-10408000,-69406000,682537000,-321643000,-260888000,-67781000,2171000,110679000,-276336000,244998000,-259728000,-113926000
