,https://roic.ai/company/EAF,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.2322,0.1110,0.2700,-0.0656,0.0486,0.1059,0.0812,-0.0550,-0.0033,0.0169,0.1156,0.0875,0.1842,0.2399,0.2633,0.1139,0.2209,0.1845,0.1918,0.1023,-0.1303,-0.1935,-0.3199,0.1592,0.5706,0.5740,0.5406,0.4326
17,Operating Income,157000000,222000000,267000000,-53000000,231000000,163000000,119000000,-10000000,40000000,52000000,112000000,112752000,123682000,230599000,328693000,98612000,159182000,166009000,156468000,-2570000,-255620000,-80812000,-92053000,35493000,1126051000,974045000,588609000,508074000
18,Operating Income ratio,0.2071,0.2464,0.2816,-0.0483,0.2439,0.1961,0.1534,-0.0153,0.0653,0.0730,0.1321,0.1272,0.1446,0.2295,0.2762,0.1496,0.1581,0.1257,0.1253,-0.0022,-0.2355,-0.1516,-0.2102,0.0644,0.5939,0.5439,0.4807,0.3775
19,Total Other Income Expenses (Gains),-20000000,-123000000,-54000000,-68000000,-229000000,-120000000,-86000000,-62000000,-66000000,-73000000,-48000000,-72440000,-54465000,-26189000,-66150000,-61918000,15525000,-22718000,-21981000,-37532000,-39172000,-36449000,-24368000,-32062000,-223243000,-131218000,-78564000,-51668000
20,Income Before Tax,137000000,99000000,213000000,-121000000,2000000,43000000,33000000,-72000000,-26000000,-21000000,64000000,40312000,69217000,204410000,262543000,36694000,174707000,143291000,134487000,-40102000,-294792000,-117261000,-116421000,3431000,902808000,842827000,510045000,456406000
21,Income Before Tax Ratio,0.1807,0.1099,0.2247,-0.1103,0.0021,0.0517,0.0425,-0.1101,-0.0424,-0.0295,0.0755,0.0455,0.0809,0.2034,0.2206,0.0557,0.1735,0.1085,0.1077,-0.0344,-0.2716,-0.2200,-0.2658,0.0062,0.4762,0.4706,0.4166,0.3391
22,Income Tax expense (Gain),37000000,74000000,68000000,39000000,32000000,1000000,10000000,15000000,-13000000,5000000,46000000,165813000,27085000,48327000,52228000,24144000,-361000,-9893000,16846000,-12843000,-9416000,4086000,-7552000,-10781000,48920000,98225000,75671000,68076000
23,Net Income,100000000,-12000000,152000000,-160000000,-37000000,42000000,10000000,-87000000,-18000000,-24000000,17000000,-125180000,91334000,153701000,210315000,12550000,175068000,153184000,117641000,-27259000,-285376000,-154200000,-235843000,7983000,854219000,744602000,434374000,388330000
24,Net Income ratio,0.1319,-0.0133,0.1603,-0.1459,-0.0391,0.0505,0.0129,-0.1330,-0.0294,-0.0337,0.0200,-0.1412,0.1068,0.1530,0.1767,0.0190,0.1739,0.1160,0.0942,-0.0234,-0.2629,-0.2893,-0.5385,0.0145,0.4506,0.4158,0.3548,0.2886
25,EPS,1.09,1.98,3.15,-3.49,-0.83,0.94,0.22,-1.75,-0.33,-0.36,0.18,-1.28,0.93,1.53,1.89,0.10,1.43,1.06,0.85,-0.20,-2.10,-0.51,-1.72,0.03,2.87,2.58,1.62,1.46
26,EPS Diluted,1.09,1.87,3.15,-3.49,-0.83,0.91,0.22,-1.75,-0.33,-0.36,0.17,-1.28,0.86,1.37,1.79,0.10,1.42,1.05,0.84,-0.20,-2.10,-0.51,-1.72,0.03,2.87,2.58,1.62,1.46
27,Weighted Average Shares Outstanding,45000000,45962000,48469000,45845272,44578313,44680851,45454545,49714286,54545455,66666667,94444444,97796875,98208602,100458170,111277778,119707000,122621000,145156000,138552000,135067000,136155000,302225920,302225923,302225923,297748327,289057356,267916483,266251097
28,Weighted Average Shares Outstanding Diluted,45000000,45962000,48469000,45845272,44578313,46153846,45454545,49714286,54545455,66666667,100000000,97796875,106202326,112190511,119039000,120733000,123453000,146402000,139700000,135415000,136155000,302225920,302225923,302225923,297753770,289074601,267930644,266317194
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/931148/000093244004000093/gti_mar04-10k.htm,https://www.sec.gov/Archives/edgar/data/931148/000093244005000115/gti_10k-march05.htm,- -,https://www.sec.gov/Archives/edgar/data/931148/000119312507057168/d10k.htm,https://www.sec.gov/Archives/edgar/data/931148/000119312508043866/d10k.htm,https://www.sec.gov/Archives/edgar/data/931148/000119312509040803/0001193125-09-040803-index.html,https://www.sec.gov/Archives/edgar/data/931148/000119312510037566/0001193125-10-037566-index.html,https://www.sec.gov/Archives/edgar/data/931148/000119312511045614/d10k.htm,https://www.sec.gov/Archives/edgar/data/931148/000119312512075483/0001193125-12-075483-index.html,https://www.sec.gov/Archives/edgar/data/931148/000093114813000030/0000931148-13-000030-index.html,https://www.sec.gov/Archives/edgar/data/931148/000093114814000040/a201310k.htm,https://www.sec.gov/Archives/edgar/data/931148/000093114815000007/a201410k.htm,https://www.sec.gov/Archives/edgar/data/931148/000093114816000108/0000931148-16-000108-index.html,https://www.sec.gov/Archives/edgar/data/931148/000093114817000007/0000931148-17-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/931148/000093114819000009/0000931148-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/931148/000093114820000024/0000931148-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/931148/000093114821000035/0000931148-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/931148/000093114822000027/0000931148-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,95000000,58000000,58000000,17000000,47000000,38000000,11000000,34000000,24000000,5968000,149517000,54741000,11664000,50181000,13096000,12429000,17317000,11888000,17550000,6927000,11610000,13365000,49880000,80935000,145442000,57514000
32,Short-Term Investments,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,95000000,58000000,58000000,20000000,47000000,38000000,11000000,34000000,24000000,5968000,149517000,54741000,11664000,50181000,13096000,12429000,17317000,11888000,17550000,6927000,11610000,13365000,49880000,80935000,145442000,57514000
34,Net Receivables,- -,- -,185000000,242000000,198000000,171000000,121000000,95000000,108000000,126000000,206000000,184580000,166528000,158486000,146986000,117620000,179755000,253151000,261654000,199566000,202756000,112902000,93552000,135468000,267528000,260941000,193313000,248408000
35,Inventory,- -,- -,176000000,206000000,264000000,204000000,175000000,177000000,173000000,204000000,225000000,255038000,239129000,285433000,290397000,245511000,340418000,444062000,513065000,490414000,382903000,295462000,156111000,185161000,305224000,326386000,277789000,301840000
36,Other Current Assets,- -,- -,27000000,60000000,58000000,25000000,18000000,12000000,21000000,24000000,25000000,14101000,14071000,10133000,14376000,15586000,12615000,22308000,30965000,73790000,41786000,11587000,69660000,20548000,15419000,14318000,12623000,20095000
37,Total Current Assets,- -,- -,483000000,566000000,578000000,420000000,361000000,322000000,313000000,388000000,480000000,459687000,569245000,508793000,463423000,428898000,545884000,731950000,823001000,775658000,644995000,426878000,330933000,354542000,638051000,682580000,629167000,627857000
38,PP&E,- -,- -,434000000,565000000,468000000,398000000,391000000,281000000,308000000,341000000,378000000,362197000,289753000,316454000,337370000,371991000,692474000,776884000,833907000,820985000,654040000,637533000,508855000,512841000,513705000,513020000,506217000,501473000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9822000,9683000,7166000,9037000,499238000,498681000,498261000,496810000,420129000,172059000,171117000,171117000,171117000,171117000,171117000,171117000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,17000000,20000000,23000000,20319000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108886000,- -,- -,72429000,61684000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,17000000,20000000,23000000,20319000,9822000,9683000,7166000,9037000,499238000,498681000,498261000,496810000,420129000,172059000,171117000,280003000,171117000,171117000,243546000,232801000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118925000,63315000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,171000000,176000000,153000000,12103000,6326000,7144000,1907000,11437000,6746000,7931000,6157000,10334000,16819000,15327000,19803000,30768000,71707000,55217000,32551000,26187000
44,Other Non-Current Assets,- -,- -,71000000,102000000,91000000,115000000,156000000,194000000,50000000,42000000,34000000,32514000,31055000,24627000,14338000,7930000,168841000,152920000,136589000,114061000,97822000,170218000,141568000,20949000,110911000,104230000,21231000,24000000
45,Total Non-Current Assets,- -,- -,505000000,667000000,559000000,513000000,547000000,475000000,546000000,579000000,588000000,427133000,336956000,357908000,479706000,463710000,1367299000,1436416000,1474914000,1442190000,1188810000,995137000,841343000,844561000,867440000,843584000,803545000,784461000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,988000000,1233000000,1137000000,933000000,908000000,797000000,859000000,967000000,1068000000,886820000,906201000,866701000,943129000,892608000,1913183000,2168366000,2297915000,2217848000,1833805000,1422015000,1172276000,1199103000,1505491000,1526164000,1432712000,1412318000
48,Accounts Payable,- -,- -,67000000,76000000,67000000,80000000,99000000,101000000,106000000,98000000,86000000,92192000,62094000,58975000,55132000,33928000,69930000,74280000,58797000,115212000,86409000,49478000,47663000,69110000,88097000,78697000,70989000,117112000
49,Short-Term Debt,- -,- -,54000000,128000000,82000000,82000000,30000000,7000000,18000000,1000000,1000000,405000,458000,1014000,9347000,1113000,25114000,14168000,8426000,1161000,188104000,4772000,8852000,16474000,106323000,141000,131000,127000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44330000,30923000,30687000,24506000,9039000,5256000,9737000,82255000,93033000,70472000,60925000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8478000,7594000,9599000,5534000,559000,- -,20784000,5380000,11776000,13056000,9840000
52,Other Current Liabilities,- -,- -,128000000,298000000,226000000,153000000,131000000,102000000,81000000,195000000,137000000,121816000,158039000,143695000,176144000,145288000,125599000,180327000,170567000,89903000,71854000,41307000,55892000,2067591000,127327000,129592000,113917000,107490000
53,Total Current Liabilities,- -,- -,249000000,502000000,375000000,315000000,260000000,210000000,205000000,294000000,224000000,214413000,220591000,203684000,240623000,180329000,220643000,277253000,245384000,215875000,351901000,96116000,112407000,2173959000,327127000,220206000,198093000,234569000
54,Long-Term Debt,- -,- -,581000000,604000000,722000000,640000000,705000000,631000000,713000000,502000000,672000000,703743000,665400000,426136000,50557000,1467000,275799000,387624000,535709000,541593000,341615000,362455000,356580000,322900000,2050311000,1812682000,1420000000,1029561000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,16000000,47000000,48000000,33000000,36000000,32000000,34000000,43000000,46000000,43669000,27000000,30171000,29087000,25486000,72287000,32245000,41966000,41684000,28197000,57430000,42906000,41746000,45825000,49773000,43428000,40674000
57,Other Non-Current Liabilities,- -,- -,138000000,313000000,266000000,224000000,209000000,231000000,258000000,225000000,149000000,107704000,103408000,94010000,118272000,108267000,114728000,131300000,125005000,97947000,107566000,95485000,82998000,69283000,158997000,134576000,100576000,84112000
58,Total Non-Current Liabilities,- -,- -,735000000,964000000,1036000000,897000000,950000000,894000000,1005000000,770000000,867000000,855116000,795808000,550317000,197916000,135220000,462814000,551169000,702680000,681224000,477378000,515370000,482484000,433929000,2255133000,1997031000,1564004000,1154347000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,984000000,1466000000,1411000000,1212000000,1210000000,1104000000,1210000000,1064000000,1091000000,1069529000,1016399000,754001000,438539000,315549000,683457000,828422000,948064000,897099000,829279000,611486000,594891000,2607888000,2582260000,2217237000,1762097000,1388916000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1023000,1026000,1052000,1226000,365000,508000,1499000,1509000,1519000,1528000,- -,- -,3022000,2905000,2705000,2672000,2633000
64,Retained Earnings,- -,- -,-384000000,-544000000,-566000000,-525000000,-515000000,-602000000,-620000000,-644000000,-627000000,-751487000,-660153000,-506666000,-296351000,-305202000,-130134000,-50757000,66884000,39625000,-245751000,-33551000,-269394000,-2283411000,-1893496000,-1451836000,-1070770000,-733199000
65,Other Comprehensive Income/Loss,- -,- -,-653000000,-724000000,-752000000,-673000000,-614000000,-650000000,-310000000,-292000000,-282000000,-318073000,-319619000,-278316000,-355960000,-305644000,-309565000,-261937000,-281647000,-293656000,-337320000,-10257000,-7558000,20289000,-5800000,-7361000,-19641000,-7444000
66,Other Total Stockholders Equity,- -,- -,1041000000,1035000000,1044000000,919000000,827000000,944000000,548000000,807000000,855000000,858960000,864826000,896630000,1155675000,1187540000,1668917000,1651139000,1563105000,1573261000,1586069000,854080000,854779000,851315000,819622000,765419000,758354000,761412000
67,Total Stockholders Equity,- -,- -,4000000,-233000000,-274000000,-279000000,-302000000,-307000000,-381000000,-128000000,-53000000,-209577000,-113920000,112700000,504590000,577059000,1229726000,1339944000,1349851000,1320749000,1004526000,810529000,577385000,-1408785000,-1076769000,-691073000,-329385000,23402000
68,Total Liabilities And Stockholders Equity,- -,- -,988000000,1233000000,1137000000,933000000,908000000,797000000,829000000,936000000,1038000000,859952000,902479000,866701000,943129000,892608000,1913183000,2168366000,2297915000,2217848000,1833805000,1422015000,1172276000,1199103000,1505491000,1526164000,1432712000,1412318000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,30000000,31000000,30000000,26868000,3722000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,988000000,1233000000,1137000000,933000000,908000000,797000000,859000000,967000000,1068000000,886820000,906201000,866701000,943129000,892608000,1913183000,2168366000,2297915000,2217848000,1833805000,1422015000,1172276000,1199103000,1505491000,1526164000,1432712000,1412318000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/931148/000093244004000093/gti_mar04-10k.htm,https://www.sec.gov/Archives/edgar/data/931148/000093244005000115/gti_10k-march05.htm,- -,https://www.sec.gov/Archives/edgar/data/931148/000119312507057168/d10k.htm,https://www.sec.gov/Archives/edgar/data/931148/000119312508043866/d10k.htm,https://www.sec.gov/Archives/edgar/data/931148/000119312509040803/0001193125-09-040803-index.html,https://www.sec.gov/Archives/edgar/data/931148/000119312510037566/0001193125-10-037566-index.html,https://www.sec.gov/Archives/edgar/data/931148/000119312511045614/d10k.htm,https://www.sec.gov/Archives/edgar/data/931148/000119312512075483/0001193125-12-075483-index.html,https://www.sec.gov/Archives/edgar/data/931148/000093114813000030/0000931148-13-000030-index.html,https://www.sec.gov/Archives/edgar/data/931148/000093114814000040/a201310k.htm,https://www.sec.gov/Archives/edgar/data/931148/000093114815000007/a201410k.htm,https://www.sec.gov/Archives/edgar/data/931148/000093114816000108/0000931148-16-000108-index.html,https://www.sec.gov/Archives/edgar/data/931148/000093114817000007/0000931148-17-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/931148/000093114819000009/0000931148-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/931148/000093114820000024/0000931148-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/931148/000093114821000035/0000931148-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/931148/000093114822000027/0000931148-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100000000,-12000000,152000000,-160000000,-37000000,42000000,10000000,-87000000,-18000000,-24000000,17000000,-125180000,91334000,153701000,210315000,12550000,175068000,153184000,117641000,-27259000,-285376000,-154200000,-235843000,7983000,854219000,744602000,434374000,388330000
74,Depreciation and Amortization,39000000,38000000,36000000,49000000,51000000,45000000,43000000,36000000,29000000,31000000,35000000,36926000,39124000,39005000,35427000,32737000,42664000,81953000,81660000,123397000,119708000,74079000,82891000,66443000,66413000,61819000,62963000,65716000
75,Deferred Income Tax,-4000000,-18000000,19000000,-38000000,-24000000,-26000000,-25000000,-9000000,-26000000,2000000,26000000,154819000,1457000,4213000,-6854000,-8846000,-28260000,-45053000,8130000,-22369000,-16003000,6292000,-12062000,-15695000,49400000,20896000,-849000,-3426000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4903000,6845000,7355000,8910000,9601000,8035000,5577000,15357000,- -,- -,- -,- -,- -,16631000
77,Change in Working Capital,32000000,- -,234000000,-170000000,139000000,-98000000,-4000000,11000000,-4000000,-14000000,162000000,-10726000,103380000,-43545000,-82309000,25769000,76672000,129456000,122920000,-17834000,-266689000,37668000,-112236000,-2037943000,2130341000,151450000,-31300000,-43369000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24299000,-24268000,-1115000,- -,- -,- -,- -,- -,- -,-29755000,- -,- -,- -,-28927000
79,Inventory,-15000000,-16000000,-29000000,5000000,-27000000,33000000,18000000,-20000000,11000000,- -,-6000000,-45430000,-5909000,-27277000,-29278000,69630000,-13641000,-111395000,-67314000,14324000,77875000,- -,53548000,-15649000,-126355000,-21549000,44633000,-28165000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19940000,- -,15029000,- -,-32759000,-38198000,-25849000,- -,15757000,36350000,15724000,-11551000,-12790000,66591000
81,Other Working Capital,- -,- -,234000000,64000000,203000000,105000000,101000000,112000000,108000000,94000000,256000000,245274000,348654000,305109000,222800000,248569000,325241000,454697000,577617000,559783000,293094000,330762000,218526000,-1819417000,310924000,462374000,431074000,-5193000
82,Other Non-Cash Items,7000000,122000000,-269000000,491000000,-158000000,117000000,70000000,66000000,-41000000,-20000000,-371000000,-47850000,-171114000,-22602000,87154000,101274000,-128577000,-251853000,-238552000,52867000,563686000,72242000,300065000,2015785000,-2263770000,-173451000,98458000,19158000
83,Cash Provided by Operating Activities,174000000,130000000,172000000,172000000,-29000000,80000000,94000000,17000000,-60000000,-25000000,-131000000,7989000,64181000,130772000,248636000,170329000,144922000,76597000,101400000,116837000,120903000,51438000,22815000,36573000,836603000,805316000,563646000,443040000
84,CAPEX,-34000000,-65000000,-107000000,-203000000,-52000000,-56000000,-52000000,-40000000,-50000000,-41000000,-59000000,-48071000,-46910000,-51476000,-71954000,-56220000,-86049000,-156616000,-127728000,-86344000,-84981000,-50743000,-27858000,-34664000,-68221000,-64103000,-36075000,-58257000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-241204000,-20510000,- -,- -,- -,- -,15889000,27254000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-59000000,-28000000,-20000000,-1000000,-2000000,- -,- -,- -,- -,- -,- -,-136467000,-6000000,-1109000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,39000000,37000000,28000000,2000000,- -,- -,- -,- -,- -,- -,1151000,- -,- -,491000,14412000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-22000000,-51000000,3000000,2000000,12000000,9000000,1000000,3000000,- -,19000000,3000000,-12310000,165448000,23800000,-73391000,-54110000,-79730000,-155868000,-119962000,-83801000,-78952000,-6659000,-26360000,-29453000,-67295000,-63884000,-35696000,-57860000
89,Cash Used for Investing Activites,-56000000,-116000000,-104000000,-221000000,-31000000,-39000000,-50000000,-39000000,-50000000,-22000000,-56000000,-60381000,118538000,-26525000,-209858000,-60110000,-321552000,-161966000,-119962000,-83801000,-78952000,-57402000,-10471000,-2199000,-67295000,-63884000,-35696000,-57860000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-330302000,-184491000,-40799000,-482679000,-587725000,-171725000,-293192000,-89000,-70758000,-115105000,-1156846000,-350140000,-896214000,-400142000
91,Common Stock Issued,- -,427000000,8000000,5000000,4000000,1000000,2000000,94000000,1000000,194000000,7000000,- -,462000,22994000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-92000000,- -,- -,- -,- -,- -,- -,- -,- -,-212000,- -,-21216000,- -,-1431000,-30940000,-103445000,-1825000,-894000,149969000,- -,- -,-225000000,-260868000,-30099000,-50000000
93,Dividends Paid,-84000000,-756000000,- -,- -,- -,-1000000,- -,- -,-1000000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1544265000,-98623000,-30875000,-10645000
94,Other Financing Activites,-21000000,311000000,-34000000,100000000,58000000,-80000000,-15000000,-79000000,79000000,-121000000,169000000,36184000,-39818000,-222881000,271303000,111616000,180470000,599080000,715282000,135905000,259009000,-152128000,62441000,82110000,2195067000,- -,493505000,-11005000
95,Cash Used/Provided by Financing Activities,-105000000,-18000000,-26000000,13000000,62000000,-80000000,-13000000,15000000,79000000,69000000,176000000,36184000,-39568000,-199887000,-80215000,-72875000,138240000,85461000,24112000,-37645000,-35077000,-2248000,-8317000,-32995000,-731044000,-709631000,-463683000,-471792000
96,Effect of Forex Changes on Cash,-7000000,-3000000,- -,-1000000,2000000,-2000000,-1000000,-2000000,4000000,1000000,1000000,-1308000,398000,864000,-1640000,1173000,1305000,-759000,-662000,-820000,-1212000,-2411000,656000,376000,-1749000,-746000,240000,-1316000
97,Net Change In Cash,-105000000,-18000000,-26000000,13000000,62000000,-41000000,30000000,-9000000,-27000000,23000000,-10000000,-17516000,143549000,-94776000,-43077000,38517000,-37085000,-667000,4888000,-5429000,5662000,-10623000,4683000,1755000,36515000,31055000,64507000,-87928000
98,Cash at the End of Period,- -,- -,- -,- -,- -,17000000,47000000,38000000,11000000,34000000,24000000,5968000,149517000,54741000,11664000,50181000,13096000,12429000,17317000,11888000,17550000,6977000,11610000,13365000,49880000,80935000,145442000,57514000
99,Cash at the Beginning of Period,54000000,60000000,53000000,95000000,54000000,58000000,17000000,47000000,38000000,11000000,34000000,23484000,5968000,149517000,54741000,11664000,50181000,13096000,12429000,17317000,11888000,17600000,6927000,11610000,13365000,49880000,80935000,145442000
100,Free Cash Flow,140000000,65000000,65000000,-31000000,-81000000,24000000,42000000,-23000000,-110000000,-66000000,-190000000,-40082000,17271000,79296000,176682000,114109000,58873000,-80019000,-26328000,30493000,35922000,695000,-5043000,1909000,768382000,741213000,527571000,384783000
