,https://roic.ai/company/DVN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1090012/000095013403003538/0000950134-03-003538-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095013404003010/0000950134-04-003010-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095013405004427/0000950134-05-004427-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095013406004215/d33154e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000095013407004377/d43782e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000095013408003698/d54280e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000095013409003904/0000950134-09-003904-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095012310017093/0000950123-10-017093-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000095012311018537/d78726e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090012/000119312512077085/0001193125-12-077085-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000119312513068817/0001193125-13-068817-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000119312514076267/d656849d10k.htm,https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/d859923d10k.htm,https://www.sec.gov/Archives/edgar/data/1090012/000119312516466687/0001193125-16-466687-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459017001607/0001564590-17-001607-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459018002582/0001564590-18-002582-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459019003382/0001564590-19-003382-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459020005182/0001564590-20-005182-index.html,https://www.sec.gov/Archives/edgar/data/1090012/000156459021006239/0001564590-21-006239-index.htm,https://www.sec.gov/Archives/edgar/data/1090012/000156459022005321/0001564590-22-005321-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167200000,228050000,193000000,292000000,1273000000,1152000000,1606000000,739000000,1364000000,379000000,646000000,2866000000,5555000000,4637000000,6066000000,1480000000,2310000000,1959000000,2673000000,2414000000,1464000000,2237000000,2111000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,967000000,680000000,574000000,372000000,- -,211000000,- -,1503000000,2343000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167200000,228050000,193000000,292000000,1273000000,2119000000,2286000000,1313000000,1736000000,379000000,857000000,2866000000,7058000000,6980000000,6066000000,1480000000,2310000000,1959000000,2673000000,2414000000,1464000000,2237000000,2111000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209400000,598248000,537000000,695000000,957000000,1320000000,1601000000,1393000000,1779000000,1746000000,1208000000,1202000000,1379000000,1364000000,1520000000,2481000000,1252000000,1356000000,1670000000,885000000,832000000,775000000,1626000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,47272000,41000000,26000000,72000000,- -,- -,- -,- -,195000000,- -,- -,- -,110000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27200000,60567000,310000000,51000000,62000000,144000000,319000000,506000000,399000000,364000000,927000000,1487000000,868000000,517000000,419000000,2537000000,464000000,457000000,448000000,1138000000,1555000000,248000000,512000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417200000,934137000,1081000000,1064000000,2364000000,3583000000,4206000000,3212000000,3914000000,2684000000,2992000000,5555000000,9305000000,8971000000,8005000000,6498000000,4026000000,3772000000,4791000000,4437000000,3851000000,3260000000,4249000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3155900000,4909536000,9028000000,10852000000,18334000000,19346000000,19132000000,24595000000,28079000000,22974000000,18767000000,19652000000,24774000000,27316000000,28447000000,36296000000,19068000000,16190000000,21171000000,13935000000,8836000000,5616000000,15243000000
