,https://roic.ai/company/GAIA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.11,0.19,0.23,0.32,0.38,-0.07,-0.32,0.08,0.23,0.34,-1.46,0.01,0.18,-1.08,-0.57,0.02,-0.41,-0.48,4.39,-1.54,-1.96,-1.00,0.03,0.19
27,Weighted Average Shares Outstanding,8181818,8785205,10858139,12395907,14107390,14594089,14684000,17140000,24349000,24962000,24452000,23306000,23226000,23126000,22703000,22972000,24228000,24510000,19850000,15160000,17259000,18160000,18921000,19318000
28,Weighted Average Shares Outstanding Diluted,8181818,9119108,11525120,12808631,14488783,14594089,14684000,17354000,24617000,25214000,24452000,23378000,23383000,23126000,22703000,23115000,24228000,24612000,19850000,15160000,17259000,18160000,19305000,19812000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1089872/000092735600000642/0000927356-00-000642-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000103605001000491/0001036050-01-000491-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000091205702012056/0000912057-02-012056-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000104746903008495/0001047469-03-008495-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465904007227/0001104659-04-007227-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465905009363/0001104659-05-009363-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465906017408/a06-1909_110k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000110465907019120/a07-6082_110k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000110465908017996/a08-2860_110k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000110465909017592/0001104659-09-017592-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465910014317/0001104659-10-014317-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000119312511064089/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000119312512117500/0001193125-12-117500-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000119312513112631/0001193125-13-112631-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000119312514123968/d630884d10k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000119312515091580/d879884d10k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000119312516505378/0001193125-16-505378-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459017002890/0001564590-17-002890-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459018003326/0001564590-18-003326-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459019006049/0001564590-19-006049-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459020006072/0001564590-20-006072-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459021010274/0001564590-21-010274-index.htm,https://www.sec.gov/Archives/edgar/data/1089872/000156459022007683/0001564590-22-007683-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1400000,3877465,8578668,22243647,11422435,8383934,10439000,15028000,104876000,66258000,31965000,48325000,28773000,14545000,9858000,32229000,15772000,13772000,54027000,32778000,29964000,11494000,12605000,10269000
32,Short-Term Investments,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3000000,3877465,8578668,22243647,11422435,8383934,10439000,15028000,104876000,66258000,31965000,48325000,28773000,14545000,9858000,32229000,15772000,13772000,54027000,32778000,29964000,11494000,12605000,10269000
34,Net Receivables,2600000,4326594,9570218,17833414,23405576,19909298,16914000,28067000,25324000,30157000,42074000,56445000,69345000,47280000,57597000,30066000,30266000,26999000,554000,1055000,1334000,2310000,2024000,2728000
35,Inventory,3400000,4555436,6361046,15447434,14768045,16629078,16503000,20792000,24313000,29839000,35736000,26872000,33218000,29205000,29840000,20275000,20154000,17303000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2100000,3325579,2932701,2269289,3611695,2929021,5104000,12382000,12334000,14812000,19457000,7590000,2341000,3303000,29113000,12682000,12580000,14843000,1303000,3082000,3192000,2443000,1746000,1986000
37,Total Current Assets,11100000,16085074,27442633,57793784,53207751,47851331,48960000,76269000,166847000,141066000,129232000,139232000,133677000,94333000,126408000,95252000,78772000,72917000,55884000,36915000,34490000,16247000,16375000,14983000
38,PP&E,1100000,3168183,10797501,13278545,9543231,10313835,7857000,9428000,7784000,9509000,27381000,28217000,27861000,23664000,23998000,22540000,23231000,25046000,13850000,10372000,10114000,7427000,10448000,9931000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,28879000,44410000,23180000,24166000,25861000,2673000,9405000,13999000,15448000,15448000,10609000,10609000,10609000,17289000,17289000,28870000
40,Intangible Assets,- -,1239507,2379861,7266714,7522495,9508837,9757000,17541000,37201000,37566000,880000,13006000,16409000,15145000,18698000,6366000,8514000,9983000,15907000,27043000,39197000,52975000,37976000,51319000
41,Intangible Assets,- -,1239507,2379861,7266714,7522495,9508837,9757000,17541000,66080000,81976000,24060000,37172000,42270000,17818000,28103000,20365000,23962000,25431000,26516000,37652000,49806000,70264000,55265000,80189000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14300000,- -,- -,- -,2000000,11000000,12000000,13000000,36000000,10000000,10000000
43,Tax Assets,- -,- -,- -,- -,2519244,3487820,2657000,7282000,5958000,4057000,6076000,4414000,3509000,12636000,14692000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4500000,6766921,7857314,9848010,18879645,20698406,19056000,45581000,4299000,4104000,15349000,3178000,480000,539000,661000,1845000,12667000,3148000,-54000,40000,-259000,-23766000,17929000,18573000
45,Total Non-Current Assets,5600000,11174611,21034676,30393269,38464615,44008898,39327000,79832000,84121000,99646000,72866000,72981000,74120000,68957000,67454000,44750000,59860000,55625000,51312000,60064000,72661000,89925000,93642000,118693000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16700000,27259685,48477309,88187053,91672366,91860229,88287000,156101000,250968000,240712000,202098000,212213000,207797000,163290000,193862000,140002000,138632000,128542000,107196000,96979000,107151000,106172000,110017000,133676000
48,Accounts Payable,6900000,7618344,8091569,8954607,11998087,12459035,12910000,25843000,18848000,23620000,26567000,33261000,27837000,21069000,26738000,11697000,18837000,19384000,2054000,2283000,5295000,6621000,4832000,9079000
49,Short-Term Debt,- -,95844,147649,211745,269290,54528,- -,- -,- -,- -,- -,- -,- -,- -,16231000,- -,- -,- -,- -,12500000,- -,- -,829000,860000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2434000,3316000,5029000,8025000,12376000,14847000
52,Other Current Liabilities,4300000,2459851,3934319,7224300,6996346,5806885,4562000,13210000,7852000,10631000,6885000,11061000,10834000,11047000,32021000,23015000,20236000,20365000,4618000,2065000,2698000,3973000,3286000,5023000
53,Total Current Liabilities,11200000,10174039,12173537,16390652,19263723,18320448,17472000,39053000,26700000,34251000,33452000,44322000,38671000,32116000,74990000,34712000,39073000,39749000,9106000,20164000,13022000,18619000,21323000,29809000
54,Long-Term Debt,300000,2109074,5770171,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,18433000,14202000,13343000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,- -,384968,517414,848653,735103,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,553000,663000,164000,206000,257000,309000
57,Other Non-Current Liabilities,- -,- -,- -,6238078,2016529,- -,- -,1663000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,400000,2109074,6155139,6755492,2865182,735103,- -,1663000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,553000,663000,12664000,18639000,14459000,13652000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,54529,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8643000,7952000
61,Total Liabilities,11600000,12283113,18328676,23146144,22128905,19055551,17472000,40716000,26700000,34251000,33452000,44322000,38671000,32116000,74990000,34712000,39073000,39749000,9659000,20827000,25686000,37258000,35782000,43461000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1084,1087,1398,1453,1460,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2000,2000,2000,2000,2000,2000
64,Retained Earnings,2300000,4017899,6666770,10722358,16170346,15198591,10561000,11180000,16824000,25348000,-10275000,-9979000,-5704000,-30779000,-43661000,-66413000,-76329000,-88035000,-969000,-24410000,-58203000,-76353000,-75834000,-72103000
65,Other Comprehensive Income/Loss,-600000,-1426000,-2641932,-4867244,-143865,453005,850000,264000,873000,991000,88000,85000,114000,113000,118000,-33000,-200000,-399000,- -,-13218000,-19046000,-23591000,- -,- -
66,Other Total Stockholders Equity,3400000,12383589,26122708,59184397,53343046,53831750,54933000,95840000,200906000,174046000,163652000,162532000,157610000,158773000,159614000,167875000,171315000,172371000,98504000,113778000,158712000,168856000,150067000,- -
67,Total Stockholders Equity,5100000,14976572,30148633,65040909,69370980,69484806,66346000,107286000,218606000,200388000,153468000,152641000,152023000,128110000,116074000,101432000,94789000,83940000,97537000,76152000,81465000,68914000,74235000,90215000
68,Total Liabilities And Stockholders Equity,16700000,27259685,48477309,88187053,91499885,88540357,83818000,148002000,245306000,234639000,186920000,196963000,190694000,160226000,191064000,136144000,133862000,123689000,107196000,96979000,107151000,106172000,110017000,133676000
69,Minority Interest,- -,- -,- -,- -,172481,3319872,4469000,8099000,5662000,6073000,15178000,15250000,17103000,3064000,2798000,3858000,4770000,4853000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16700000,27259685,48477309,88187053,91672366,91860229,88287000,156101000,250968000,240712000,202098000,212213000,207797000,163290000,193862000,140002000,138632000,128542000,107196000,96979000,107151000,106172000,110017000,133676000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1089872/000092735600000642/0000927356-00-000642-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000103605001000491/0001036050-01-000491-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000091205702012056/0000912057-02-012056-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000104746903008495/0001047469-03-008495-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465904007227/0001104659-04-007227-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465905009363/0001104659-05-009363-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465906017408/a06-1909_110k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000110465907019120/a07-6082_110k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000110465908017996/a08-2860_110k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000110465909017592/0001104659-09-017592-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465910014317/0001104659-10-014317-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000119312511064089/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000119312512117500/0001193125-12-117500-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000119312513112631/0001193125-13-112631-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000119312514123968/d630884d10k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000119312515091580/d879884d10k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000119312516505378/0001193125-16-505378-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459017002890/0001564590-17-002890-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459018003326/0001564590-18-003326-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459019006049/0001564590-19-006049-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459020006072/0001564590-20-006072-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459021010274/0001564590-21-010274-index.htm,https://www.sec.gov/Archives/edgar/data/1089872/000156459022007683/0001564590-22-007683-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,900000,1718345,2648871,4055588,5447988,-971755,-4638000,1336000,5644000,8524000,-35623000,296000,4275000,-24872000,-12882000,-22752000,-9916000,-11706000,87066000,-23272000,-33793000,-18150000,519000,3731000
74,Depreciation and Amortization,300000,1062992,1659850,2863929,2311318,3080769,4899000,4701000,7809000,12289000,8635000,7684000,7641000,6582000,9488000,3960000,4212000,5175000,3684000,4903000,6989000,9595000,12042000,13145000
75,Deferred Income Tax,- -,-53718,384968,32160,162088,94633,-564000,472000,3210000,-701000,-15358000,-400000,1857000,-11464000,-6120000,23861000,28000,- -,- -,- -,- -,- -,- -,-2011000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1879000,1609000,1540000,1013000,809000,839000,895000,674000,1833000,1650000,1812000,2338000,1710000
77,Change in Working Capital,-300000,6011035,9358061,26134036,-7459104,-4413145,1957117,5728000,102931000,-33332000,-11035000,-870000,96000,-32789000,-10799000,9122000,-20841000,-6531000,13610000,-30027000,4717000,-23840000,-2576000,4292000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12588000,-4151000,2186000,-1301000,-2072000,-3872000,3247000,-161000,-501000,-279000,-976000,130000,-682000
79,Inventory,-600000,-1161724,-1739231,-6716208,679389,-573744,304000,3143000,-5373000,-5546000,-3629000,13910000,-5508000,-3233000,-2637000,1097000,56000,2780000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6757000,-5650000,9927000,5661000,-4407000,5535000,-2458000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-100000,5911035,15269096,41403132,33944028,29530883,31488000,37216000,140147000,106815000,95780000,94910000,95006000,62217000,51418000,60540000,39699000,33168000,46778000,16751000,21468000,-2372000,-4948000,774000
82,Other Non-Cash Items,-100000,-13177091,-15785562,-39650497,564127,5922448,1470883,-5503000,-117850000,26665000,32967000,19545000,-20430000,66243000,35776000,-38124000,16709000,20323000,-120416000,25771000,-948000,28009000,-673000,- -
83,Cash Provided by Operating Activities,800000,-4438437,-1733812,-6564784,1026417,3712950,3125000,6734000,1744000,13445000,-20414000,28134000,-4952000,5240000,16476000,-23124000,-8969000,8156000,-15382000,-20792000,-21385000,-2574000,11650000,20867000
84,CAPEX,-1800000,-2212961,-8735390,-1232321,-3658356,-2861872,-1649000,-1589000,-3412000,-9536000,-28585000,-7536000,-8701000,-5827000,-3814000,-3386000,-5590000,-9335000,-6594000,-13011000,-18859000,-18700000,-13326000,-17340000
85,Acquisitions Net,- -,-2740703,-305773,-4457718,-672684,-3725583,- -,-38804000,-6998000,-17122000,-13892000,-1500000,- -,-8396000,-13546000,41167000,-5493000,- -,162127000,- -,- -,-1575000,- -,-6518000
86,Purchases of Investments,- -,- -,- -,- -,-9865192,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,500000,2548310,- -,- -,- -,- -,26000,- -,- -,3871000,- -,- -,- -,- -,- -,25096000,2646000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,200000,-180350,11959923,- -,2748292,-115000,- -,- -,668000,- -,-1381000,- -,- -,3430000,-4644000,-1286000,-5590000,-9335000,-6594000,-13011000,-18859000,-18700000,-176000,- -
89,Cash Used for Investing Activites,-1100000,-2585704,2918760,-5690039,-11447940,-6702455,-1623000,-40393000,-9742000,-22787000,-43858000,-9036000,-8701000,-10793000,-18190000,64977000,-8437000,-9335000,145533000,-13011000,-18859000,-20275000,-176000,-23858000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5373000,-18703000,- -,- -,- -,-3000000,- -,-12500000,-12500000,-21000000,-160000
91,Common Stock Issued,600000,9017190,15872,31576308,178041,129715,427000,38708000,97022000,3475000,49710000,269000,1036000,77000,- -,- -,1806000,160000,1041000,54000,37430000,287000,249000,815000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32907000,-18411000,-2810000,- -,-3334000,- -,- -,- -,- -,-76168000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6966000,- -,-583000,- -,-150000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-400000,474477,3500383,-5656506,-577730,-347571,-55000,- -,- -,- -,-1303000,-194000,- -,- -,16231000,-19190000,- -,-486000,1056000,12500000,12500000,16592000,10388000,- -
95,Cash Used/Provided by Financing Activities,200000,9491667,3516255,25919802,-399689,-217856,372000,38708000,97022000,-29432000,29996000,-2735000,-5930000,-8630000,-3055000,-19190000,1656000,-326000,-77071000,12554000,37430000,4379000,-10363000,655000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,168860,181000,-460000,824000,156000,-17000,-3000,31000,-45000,82000,-292000,-707000,-495000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-200000,2467526,4701203,13664979,-10821212,-3038501,2055000,4589000,89848000,-38618000,-34293000,16360000,-19552000,-14228000,-4687000,22371000,-16457000,-2000000,52761000,-21249000,-2814000,-18470000,1111000,-2336000
98,Cash at the End of Period,1400000,3877465,8578668,22243647,11422435,8383934,10439000,15028000,104876000,66258000,31965000,48325000,28773000,14545000,9858000,32229000,15772000,13772000,54027000,32778000,29964000,11494000,12605000,10269000
99,Cash at the Beginning of Period,1600000,1409939,3877465,8578668,22243647,11422435,8384000,10439000,15028000,104876000,66258000,31965000,48325000,28773000,14545000,9858000,32229000,15772000,1266000,54027000,32778000,29964000,11494000,12605000
100,Free Cash Flow,-1000000,-6651398,-10469202,-7797105,-2631939,851078,1476000,5145000,-1668000,3909000,-48999000,20598000,-13653000,-587000,12662000,-26510000,-14559000,-1179000,-21976000,-33803000,-40244000,-21274000,-1676000,3527000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1089872/000092735600000642/0000927356-00-000642-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000103605001000491/0001036050-01-000491-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000091205702012056/0000912057-02-012056-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000104746903008495/0001047469-03-008495-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465904007227/0001104659-04-007227-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465905009363/0001104659-05-009363-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465906017408/a06-1909_110k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000110465907019120/a07-6082_110k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000110465908017996/a08-2860_110k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000110465909017592/0001104659-09-017592-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000110465910014317/0001104659-10-014317-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000119312511064089/d10k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000119312512117500/0001193125-12-117500-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000119312513112631/0001193125-13-112631-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000119312514123968/d630884d10k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000119312515091580/d879884d10k.htm,https://www.sec.gov/Archives/edgar/data/1089872/000119312516505378/0001193125-16-505378-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459017002890/0001564590-17-002890-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459018003326/0001564590-18-003326-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459019006049/0001564590-19-006049-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459020006072/0001564590-20-006072-index.html,https://www.sec.gov/Archives/edgar/data/1089872/000156459021010274/0001564590-21-010274-index.htm,https://www.sec.gov/Archives/edgar/data/1089872/000156459022007683/0001564590-22-007683-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
