,https://roic.ai/company/RMBS,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),1000000,300000,400000,1300000,300000,1300000,4500000,5100000,-32667000,18376000,13302000,10926000,14326000,22915000,-11889000,-20692000,124252000,-541000,57127000,17252000,16451000,21731000,24049000,-151157000,15817000,63851000,87329000,3403000,3978000,4952000
23,Net Income,-6600000,-6300000,-6600000,-7000000,-4400000,2000000,6800000,8700000,-106127000,31271000,24704000,23221000,33559000,33677000,-13816000,-27664000,-195923000,-92186000,150917000,-43053000,-134336000,-33748000,26201000,211388000,6820000,-22862000,-157957000,-90419000,-43609000,18334000
24,Net Income ratio,-3.4737,-1.8529,-1.3200,-0.9459,-0.3894,0.0769,0.1794,0.2005,-1.4676,0.2669,0.2558,0.1965,0.2316,0.2142,-0.0707,-0.1537,-1.3750,-0.8158,0.4667,-0.1378,-0.5740,-0.1243,0.0884,0.7135,0.0203,-0.0582,-0.6832,-0.4036,-0.1796,0.0558
25,EPS,-0.56,-0.36,-0.32,-0.31,-0.20,0.02,0.07,0.09,-1.10,0.31,0.25,0.24,0.33,0.34,-0.13,-0.27,-1.87,-0.88,1.34,-0.39,-1.21,-0.30,0.23,1.84,0.06,-0.17,-1.46,-0.81,-0.39,0.16
26,EPS Diluted,-0.56,-0.36,-0.32,-0.31,-0.20,0.02,0.07,0.09,-1.10,0.29,0.24,0.22,0.30,0.32,-0.13,-0.27,-1.87,-0.88,1.30,-0.39,-1.21,-0.30,0.22,1.80,0.06,-0.17,-1.46,-0.81,-0.39,0.16
27,Weighted Average Shares Outstanding,11800000,17600000,20500000,22700000,22000000,86844000,90816000,93328000,96487000,99456000,99369000,97653000,101931000,99876000,103048000,104056000,104574000,105011000,112456000,110041000,110769000,112415000,114318000,114814000,110162000,110198000,108450000,110948000,113254000,109161000
28,Weighted Average Shares Outstanding Diluted,11800000,17600000,20500000,22700000,22000000,90000000,97504000,100208000,96487000,105966000,102100000,106544000,110050000,103993000,103048000,104056000,104574000,105011000,115884000,110041000,110769000,112415000,117624000,117484000,113140000,110198000,108450000,110948000,113254000,114534000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917273/000101287000006002/0001012870-00-006002-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917273/000119312505032047/0001193125-05-032047-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000119312506035902/0001193125-06-035902-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000119312507201474/0001193125-07-201474-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000089161808000135/0000891618-08-000135-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000089161809000056/0000891618-09-000056-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727310000014/0000917273-10-000014-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000095012311018714/0000950123-11-018714-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000104746912001391/0001047469-12-001391-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727313000009/0000917273-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727314000007/0000917273-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727315000005/0000917273-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727316000027/0000917273-16-000027-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727317000007/0000917273-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727318000007/0000917273-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727319000006/0000917273-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727320000005/0000917273-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727321000005/0000917273-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727322000010/0000917273-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1000000,700000,20600000,25800000,15000000,63093000,44195000,- -,42005000,48310000,42391000,73304000,119391000,116241000,289073000,215262000,162244000,148984000,338696000,154126000,143764000,135294000,225844000,115924000,102176000,136146000,107891000
32,Short-Term Investments,- -,- -,- -,13200000,- -,- -,- -,72200000,59127000,85700000,- -,24777000,89483000,118416000,351055000,321491000,229612000,171120000,296747000,127212000,54346000,48966000,145983000,143942000,36888000,103532000,161840000,305488000,366503000,377718000
33,Cash and Short-Term Investments,- -,- -,- -,14200000,700000,20600000,25800000,87200000,122220000,129895000,- -,66782000,137793000,160807000,424359000,440882000,345853000,460193000,512009000,289456000,203330000,387662000,300109000,287706000,172182000,329376000,277764000,407664000,502649000,485609000
34,Net Receivables,- -,- -,- -,1200000,700000,900000,1900000,1500000,68000,2368000,- -,10263000,1435000,954000,2594000,1920000,1503000,949000,2600000,1026000,529000,2251000,6001000,16408000,21099000,25892000,227476000,228405000,163800000,179673000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5633000,5159000,6772000,10086000,14466000,8482000
36,Other Current Assets,- -,- -,- -,800000,8700000,59300000,64100000,9800000,20649000,10984000,- -,18542000,17955000,8454000,15791000,19944000,8574000,8829000,13318000,10894000,11317000,8458000,8728000,11476000,17867000,11317000,15738000,18524000,15907000,10600000
37,Total Current Assets,- -,- -,- -,16200000,10100000,80800000,91800000,98500000,142937000,143247000,- -,95587000,157183000,170215000,442744000,462746000,355930000,469971000,527927000,301376000,215176000,398371000,314838000,315590000,216781000,371744000,527750000,664679000,696822000,684364000
38,PP&E,- -,- -,- -,1600000,2300000,4300000,4000000,4200000,6724000,15862000,- -,10965000,17578000,18898000,26019000,24587000,22290000,38966000,67770000,81105000,86905000,72642000,64023000,56616000,58442000,54303000,57028000,81734000,86401000,79747000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3315000,4454000,4454000,15554000,18154000,115148000,124969000,116899000,116899000,116899000,204794000,209661000,207178000,183465000,183222000,278810000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21765000,26965000,18697000,13441000,7244000,21660000,40986000,181955000,153173000,117172000,89371000,64266000,132388000,91722000,59936000,54900000,36487000,58420000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21765000,26965000,22012000,17895000,11698000,37214000,59140000,297103000,278142000,234071000,206270000,181165000,337182000,301383000,267114000,238365000,219709000,337230000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,44275000,- -,43557000,75295000,68626000,98193000,116209000,1857000,2034000,2974000,7531000,4458000,4797000,536000,162485000,168342000,159099000,4435000,4574000,4353000,4047000
44,Other Non-Current Assets,- -,- -,- -,500000,500000,2800000,15200000,13100000,69970000,34406000,- -,142977000,104903000,200815000,15649000,5910000,5115000,7684000,5361000,6539000,3131000,3498000,2612000,3648000,2749000,4543000,504828000,349634000,236591000,127258000
45,Total Non-Current Assets,- -,- -,- -,2100000,2800000,7100000,19200000,17300000,76694000,94543000,- -,197499000,219541000,315304000,161873000,164601000,40960000,85898000,135245000,392278000,372636000,315008000,273441000,403914000,566715000,519328000,833405000,674307000,547054000,548282000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,18300000,12900000,87900000,111000000,115800000,219631000,237790000,- -,293086000,376724000,485519000,604617000,627347000,396890000,555869000,663172000,693654000,587812000,713379000,588279000,719504000,783496000,891072000,1361155000,1338986000,1243876000,1232646000
48,Accounts Payable,- -,- -,- -,1100000,1200000,400000,500000,300000,1850000,1563000,- -,2776000,6880000,4374000,10429000,11283000,6374000,8972000,5952000,16567000,7918000,7001000,6962000,4096000,9793000,9614000,7392000,9549000,8993000,11279000
49,Short-Term Debt,- -,- -,- -,- -,800000,400000,100000,32300000,- -,- -,- -,- -,- -,- -,160000000,- -,- -,136032000,- -,- -,- -,164047000,- -,- -,- -,78451000,- -,- -,78451000,169679000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41333000,20607000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,14398000,- -,24180000,19271000,973000,6003000,2756000,1787000,320000,- -,- -,8113000,- -,4133000,5780000,16932000,18272000,19374000,11947000,10198000,24755000
52,Other Current Liabilities,- -,- -,- -,10700000,13100000,30200000,31600000,4100000,31337000,6414000,- -,8028000,10564000,15260000,42006000,42113000,27940000,40868000,49859000,48744000,38103000,41794000,23563000,18490000,24576000,26505000,42519000,64683000,-11778000,61554000
53,Total Current Liabilities,- -,- -,- -,11800000,15100000,31000000,32200000,36700000,33187000,22375000,- -,34984000,36715000,20607000,218438000,56152000,36101000,186192000,55811000,65311000,54134000,212842000,34658000,28366000,51301000,132842000,69285000,86179000,85864000,267267000
54,Long-Term Debt,- -,- -,- -,700000,500000,100000,- -,- -,- -,- -,- -,- -,- -,160000000,- -,160000000,136950000,112012000,121500000,133493000,147556000,109629000,115089000,120901000,126167000,135447000,141934000,148788000,156031000,29099000
