,https://roic.ai/company/NTGR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,Infinity,-0.0853,0.0399,0.0320,0.0950,0.1212,0.1203,0.1056,0.0610,0.0474,0.1011,0.1052,0.1016,0.0679,0.0221,0.0658,0.0866,0.0645,0.0408,0.0296,0.0564,0.0561
22,Income Tax expense (Gain),- -,- -,1333000,-3524000,12921000,20867000,27867000,30882000,27293000,23234000,40315000,32842000,42743000,37765000,21973000,36980000,39218000,71278000,25878000,3780000,12510000,16117000
23,Net Income,2654000,-19484000,8139000,13097000,23465000,33623000,41132000,45954000,18050000,9333000,50909000,91368000,86539000,55217000,8788000,48584000,75851000,19436000,-9162000,25791000,58293000,49387000
24,Net Income ratio,Infinity,-0.1012,0.0343,0.0438,0.0612,0.0748,0.0717,0.0631,0.0243,0.0136,0.0564,0.0774,0.0680,0.0403,0.0063,0.0374,0.0571,0.0138,-0.0087,0.0258,0.0464,0.0423
25,EPS,0.00,-0.66,-0.46,0.55,0.77,1.04,1.23,1.32,0.51,0.27,1.44,2.46,2.27,1.44,0.25,1.47,2.32,0.61,-0.08,0.83,1.95,1.63
26,EPS Diluted,0.00,-0.66,-0.46,0.49,0.72,0.99,1.19,1.28,0.51,0.27,1.41,2.41,2.23,1.42,0.24,1.44,2.25,0.59,-0.08,0.81,1.90,1.59
27,Weighted Average Shares Outstanding,20176923,29521212,21181000,23653000,30441000,32351000,33381000,34809000,35212000,34485000,35385000,37121000,38057000,38379000,35771000,33161000,32758000,32097000,31626000,30936000,29897000,30241000
28,Weighted Average Shares Outstanding Diluted,23845455,29521212,21181000,26800000,32626000,33939000,34553000,35839000,35619000,34848000,36124000,37932000,38747000,38948000,36445000,33788000,33728000,33044000,33137000,31965000,30640000,31002000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1122904/000089161804000673/0000891618-04-000673-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000095013405005246/f06397e10vk.htm,https://www.sec.gov/Archives/edgar/data/1122904/000095013406005293/f17650e10vk.htm,https://www.sec.gov/Archives/edgar/data/1122904/000095013407004560/f27350e10vk.htm,https://www.sec.gov/Archives/edgar/data/1122904/000119312508043473/d10k.htm,https://www.sec.gov/Archives/edgar/data/1122904/000119312509044252/0001193125-09-044252-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000119312510044798/0001193125-10-044798-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000119312511049921/d10k.htm,https://www.sec.gov/Archives/edgar/data/1122904/000119312512089327/0001193125-12-089327-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290413000009/0001122904-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290414000010/ntgr-20131231x10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1122904/000112290416000134/0001122904-16-000134-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290417000073/0001122904-17-000073-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290418000076/0001122904-18-000076-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290419000060/0001122904-19-000060-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000156459020005056/0001564590-20-005056-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000156459021006094/0001564590-21-006094-index.htm,https://www.sec.gov/Archives/edgar/data/1122904/000156459022005708/0001564590-22-005708-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,19880000,61215000,65052000,90002000,87736000,167495000,192839000,172202000,126173000,208898000,149032000,143009000,141234000,181945000,240468000,202870000,201047000,190208000,346460000,263772000
32,Short-Term Investments,- -,- -,- -,12390000,76663000,83180000,109729000,37848000,10170000,74898000,144564000,144797000,227845000,105145000,115895000,96321000,125514000,126926000,73317000,5499000,6858000,7744000
33,Cash and Short-Term Investments,- -,- -,19880000,73605000,141715000,173182000,197465000,205343000,203009000,247100000,270737000,353695000,376877000,248154000,257129000,278266000,365982000,329796000,274364000,195707000,353318000,271516000
34,Net Receivables,- -,- -,42492000,74866000,82203000,104269000,119601000,157765000,138275000,162853000,226731000,261307000,256014000,266484000,275689000,290642000,313839000,412798000,303667000,277168000,337052000,261158000
35,Inventory,- -,- -,24774000,39266000,53557000,51873000,77932000,83023000,112240000,90590000,127394000,163724000,174903000,224456000,222883000,213118000,247862000,245894000,243871000,235489000,172112000,315667000
36,Other Current Assets,- -,- -,3003000,13225000,18626000,21385000,29361000,33458000,35824000,34182000,43182000,55503000,56415000,61017000,67264000,39117000,35102000,27176000,35997000,35745000,30696000,34752000
37,Total Current Assets,- -,- -,90149000,200962000,296101000,350709000,424359000,479589000,489348000,534725000,668044000,834229000,864209000,800111000,822965000,821143000,962785000,1015664000,857899000,744109000,893178000,883093000
38,PP&E,- -,- -,3144000,3626000,3579000,4702000,6568000,11205000,20292000,16891000,17503000,15884000,19025000,27194000,29694000,22384000,19473000,20660000,20177000,46600000,45491000,36511000
39,Goodwill,- -,- -,- -,- -,- -,- -,3800000,41985000,61400000,64908000,74198000,85944000,100880000,155916000,81721000,81721000,85463000,85463000,80721000,80721000,80721000,80721000
40,Intangible Assets,- -,- -,558000,558000,558000,558000,975000,16319000,13311000,8298000,6241000,20956000,27621000,84118000,66230000,48947000,37899000,24988000,17146000,10104000,3899000,1856000
41,Intangible Assets,- -,- -,558000,558000,558000,558000,4775000,58304000,74711000,73206000,80439000,106900000,128501000,240034000,147951000,130668000,123362000,110451000,97867000,90825000,84620000,82577000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1322000,1322000,1322000,105000,- -,- -,- -,8147000,8395000,7575000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16856000,20235000,38696000,68445000,70859000,49468000,57557000,58930000,68323000,63795000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,328000,2202000,2011000,1858000,8299000,14335000,14357000,4656000,5034000,8059000,7824000,7977000,12321000,9876000,7202000,6032000,4980000
45,Total Non-Current Assets,- -,- -,3702000,4184000,4137000,5588000,13545000,71520000,96861000,98396000,112277000,137141000,170360000,293819000,225722000,229426000,221671000,192900000,185477000,211704000,212861000,195438000
46,Other Assets,112142000,62902000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,112142000,62902000,93851000,205146000,300238000,356297000,437904000,551109000,586209000,633121000,780321000,971370000,1034569000,1093930000,1048687000,1050569000,1184456000,1208564000,1043376000,955813000,1106039000,1078531000
48,Accounts Payable,- -,- -,10628000,24480000,52742000,38912000,39818000,55333000,60073000,69081000,89155000,117285000,87310000,114531000,106357000,90546000,112436000,111915000,139748000,80531000,90902000,73729000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13294000,9220000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2406000,- -,- -,- -,- -,- -,7318000,1528000
51,Deferred Revenue,- -,- -,5059000,2380000,2143000,4304000,8215000,7619000,21508000,22106000,27538000,40093000,27645000,24496000,30023000,29125000,35301000,55284000,11086000,6450000,13458000,16500000
52,Other Current Liabilities,73946000,44891000,60709000,43347000,60159000,77077000,95449000,105555000,94924000,104422000,138030000,151583000,145975000,161056000,167736000,196101000,208916000,257237000,233158000,211410000,247419000,241596000
53,Total Current Liabilities,73946000,44891000,76396000,70207000,115044000,120293000,143482000,168507000,176505000,195609000,254723000,308961000,260930000,300083000,304116000,315772000,356653000,424436000,383992000,298391000,365073000,341045000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25512000,18569000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,2626000,15000,17479000,19719000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,44779000,44078000,48052000,- -,- -,- -,- -,8453000,18731000,5880000,5443000,23652000,19028000,20064000,23006000,26087000,30984000,53643000,31832000,48729000,26070000,22102000
58,Total Non-Current Liabilities,44779000,44078000,48052000,- -,- -,- -,- -,11079000,18746000,23359000,25162000,23652000,19028000,20064000,23006000,26087000,30984000,53643000,31832000,48729000,51582000,40671000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34791000,34661000,27789000
61,Total Liabilities,118725000,88969000,124448000,70207000,115044000,120293000,143482000,179586000,195251000,218968000,279885000,332613000,279958000,320147000,327122000,341859000,387637000,478079000,415824000,347120000,416655000,381716000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,28000,31000,33000,33000,35000,34000,35000,36000,38000,38000,37000,35000,33000,33000,31000,32000,30000,30000,29000
64,Retained Earnings,- -,- -,-38410000,-25313000,-1848000,31775000,72907000,118966000,124787000,133838000,184011000,274453000,360142000,351776000,267348000,195627000,228541000,128168000,-166050000,-222723000,-193320000,-226591000
65,Other Comprehensive Income/Loss,- -,- -,-3335000,-5342000,-7936000,-11006000,-14688000,-19909000,-21707000,-26546000,-34052000,-43415000,-54626000,-71751000,38000,-104152000,2000000,-1000000,-95931000,-98325000,-35000,149000
66,Other Total Stockholders Equity,- -,- -,11148000,165566000,194947000,215202000,236170000,272431000,287844000,306826000,350441000,407681000,449057000,493721000,454144000,617202000,566245000,603286000,889501000,929711000,882709000,923228000
67,Total Stockholders Equity,-6583000,-26067000,-30597000,134939000,185194000,236004000,294422000,371523000,390958000,414153000,500436000,638757000,754611000,773783000,721565000,708710000,796819000,730485000,627552000,608693000,689384000,696815000
68,Total Liabilities And Stockholders Equity,112142000,62902000,93851000,205146000,300238000,356297000,437904000,551109000,586209000,633121000,780321000,971370000,1034569000,1093930000,1048687000,1050569000,1184456000,1208564000,1043376000,955813000,1106039000,1078531000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,112142000,62902000,93851000,205146000,300238000,356297000,437904000,551109000,586209000,633121000,780321000,971370000,1034569000,1093930000,1048687000,1050569000,1184456000,1208564000,1043376000,955813000,1106039000,1078531000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1122904/000089161804000673/0000891618-04-000673-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000095013405005246/f06397e10vk.htm,https://www.sec.gov/Archives/edgar/data/1122904/000095013406005293/f17650e10vk.htm,https://www.sec.gov/Archives/edgar/data/1122904/000095013407004560/f27350e10vk.htm,https://www.sec.gov/Archives/edgar/data/1122904/000119312508043473/d10k.htm,https://www.sec.gov/Archives/edgar/data/1122904/000119312509044252/0001193125-09-044252-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000119312510044798/0001193125-10-044798-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000119312511049921/d10k.htm,https://www.sec.gov/Archives/edgar/data/1122904/000119312512089327/0001193125-12-089327-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290413000009/0001122904-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290414000010/ntgr-20131231x10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1122904/000112290416000134/0001122904-16-000134-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290417000073/0001122904-17-000073-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290418000076/0001122904-18-000076-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290419000060/0001122904-19-000060-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000156459020005056/0001564590-20-005056-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000156459021006094/0001564590-21-006094-index.htm,https://www.sec.gov/Archives/edgar/data/1122904/000156459022005708/0001564590-22-005708-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,8139000,13097000,23465000,33623000,41132000,45954000,18050000,9333000,50909000,91368000,86539000,55217000,8788000,48584000,75851000,19436000,-9162000,25791000,58293000,49387000
74,Depreciation and Amortization,- -,- -,3017000,3780000,4281000,4133000,5243000,12685000,13261000,12360000,13439000,14735000,16775000,32854000,35590000,35850000,31993000,26094000,18851000,19406000,18931000,13906000
75,Deferred Income Tax,- -,- -,- -,-9056000,-2419000,-356000,-3252000,-1044000,-2029000,-4865000,-8435000,-1102000,-1424000,-7499000,-20742000,-2943000,-269000,21836000,2459000,-1379000,-9386000,4498000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,11024000,12201000,13762000,14372000,17462000,20014000,16825000,18949000,22147000,26461000,29137000,30505000,25995000
77,Change in Working Capital,- -,- -,2787000,117002000,50302000,49359000,50461000,30205000,1761000,26273000,74205000,111947000,78011000,-103251000,18821000,-13478000,100761000,-14904000,-117321000,-28189000,82387000,-100601000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24578000,-63878000,-34576000,5317000,-10470000,-9205000,-14952000,-23206000,-98959000,-43055000,26500000,-59885000,75894000
79,Inventory,- -,- -,6482000,-14492000,-14291000,1684000,-26059000,-1588000,-29135000,21650000,-36804000,-30039000,-10590000,-46679000,1573000,9765000,-34744000,1967000,-82160000,4504000,55505000,-147432000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,9008000,20074000,28131000,-30615000,36250000,-8236000,-14990000,21327000,-784000,45503000,-56614000,9744000,-16493000
81,Other Working Capital,- -,- -,13753000,130755000,181057000,230416000,280877000,311082000,312843000,339116000,413321000,525268000,603279000,500028000,518849000,505371000,606132000,591228000,473907000,445718000,528105000,-7338000
82,Other Non-Cash Items,- -,- -,1220000,-151223000,-18302000,-60123000,-70516000,-34427000,16484000,-6028000,-115968000,-134700000,-139230000,92119000,46493000,25553000,-112112000,12915000,-24499000,-31241000,420000,2236000
83,Cash Provided by Operating Activities,- -,- -,15163000,-26400000,57327000,26636000,23068000,53373000,47527000,48097000,26351000,96010000,55043000,86902000,108964000,110391000,115173000,87524000,-103211000,13525000,181150000,-4579000
84,CAPEX,- -,- -,-3224000,-2489000,-2546000,-4193000,-5918000,-9839000,-15390000,-3945000,-9990000,-8211000,-16162000,-18325000,-19338000,-14000000,-10972000,-13674000,-12251000,-14230000,-10296000,-9864000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-7600000,-57466000,-24635000,-3539000,-12000000,-37509000,-28625000,-147240000,-1050000,- -,-8807000,-737000,-14352000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-12377000,-451287000,-124471000,-173191000,-75670000,-10133000,-89827000,-188137000,-228871000,-369939000,-149574000,-145186000,-110316000,-144271000,-140956000,-82905000,-7101000,-6830000,-831000
87,Sales/Maturities of Investments,- -,- -,- -,- -,420494000,117873000,149036000,148765000,37700000,25000000,115000000,227669000,284418000,275406000,134827000,130273000,115291000,135549000,137682000,70790000,290000,710000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1372000,- -,-1400000,-275000,- -,- -,- -,- -,-71363000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-3224000,-14866000,-33339000,-10791000,-37673000,5790000,-12458000,-72311000,-95229000,-46922000,-130308000,-39733000,-30747000,5957000,-48759000,-19818000,-43189000,49459000,-16836000,-9985000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,4700000,102614000,13349000,9105000,8533000,13693000,2361000,1129000,1202000,1752000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-5911000,-13000,- -,- -,- -,-150000,-12229000,-282000,-738000,-926000,-850000,-63585000,-93218000,-120309000,-42938000,-119576000,-38065000,-82467000,-28890000,-82660000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-20000000,- -,- -,3806000,7053000,143000,2730000,22385000,32811000,16249000,10393000,13226000,44672000,35047000,14272000,182642000,8644000,20828000,14536000
95,Cash Used/Provided by Financing Activities,- -,- -,-1211000,82601000,13349000,9105000,12339000,20596000,-9725000,3577000,22849000,33637000,15399000,-53192000,-79992000,-75637000,-7891000,-105304000,144577000,-73823000,-8062000,-68124000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,10728000,41335000,37337000,24950000,-2266000,79759000,25344000,-20637000,-46029000,82725000,-59866000,-6023000,-1775000,40711000,58523000,-37598000,-1823000,-10839000,156252000,-82688000
98,Cash at the End of Period,- -,- -,19880000,61215000,65052000,90002000,87736000,167495000,192839000,172202000,126173000,208898000,149032000,143009000,141234000,181945000,240468000,202870000,201047000,190208000,346460000,263772000
99,Cash at the Beginning of Period,- -,- -,9152000,19880000,27715000,65052000,90002000,87736000,167495000,192839000,172202000,126173000,208898000,149032000,143009000,141234000,181945000,240468000,202870000,201047000,190208000,346460000
100,Free Cash Flow,- -,- -,11939000,-28889000,54781000,22443000,17150000,43534000,32137000,44152000,16361000,87799000,38881000,68577000,89626000,96391000,104201000,73850000,-115462000,-705000,170854000,-14443000
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1122904/000089161804000673/0000891618-04-000673-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000095013405005246/f06397e10vk.htm,https://www.sec.gov/Archives/edgar/data/1122904/000095013406005293/f17650e10vk.htm,https://www.sec.gov/Archives/edgar/data/1122904/000095013407004560/f27350e10vk.htm,https://www.sec.gov/Archives/edgar/data/1122904/000119312508043473/d10k.htm,https://www.sec.gov/Archives/edgar/data/1122904/000119312509044252/0001193125-09-044252-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000119312510044798/0001193125-10-044798-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000119312511049921/d10k.htm,https://www.sec.gov/Archives/edgar/data/1122904/000119312512089327/0001193125-12-089327-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290413000009/0001122904-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290414000010/ntgr-20131231x10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1122904/000112290416000134/0001122904-16-000134-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290417000073/0001122904-17-000073-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290418000076/0001122904-18-000076-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000112290419000060/0001122904-19-000060-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000156459020005056/0001564590-20-005056-index.html,https://www.sec.gov/Archives/edgar/data/1122904/000156459021006094/0001564590-21-006094-index.htm,https://www.sec.gov/Archives/edgar/data/1122904/000156459022005708/0001564590-22-005708-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
