,https://roic.ai/company/K,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,842100000,1041400000,1275600000,1461000000,1673000000,1819000000,2152800000,2371600000,2502700000,2704800000,2825500000,2710200000,2654100000,2792000000,2873700000,2551400000,3523600000,2227000000,2368000000,- -,2815300000,3059400000,3311000000,- -,3414000000,3390000000,3472000000,3902000000,3318000000,- -,4134000000,3360000000,3100000000,2931000000,2947000000,- -,2966000000
11,COGS and Expenses,2371700000,2693300000,3101800000,3554700000,3919200000,4295400000,4758700000,5127800000,5226500000,5399400000,5744400000,5581600000,5636900000,5797000000,5910800000,5878400000,7652100000,6796000000,7267000000,- -,8426900000,9140900000,9908000000,- -,10869000000,10574000000,11222000000,12635000000,11955000000,- -,13556000000,11619000000,11467000000,11841000000,12182000000,- -,12009000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308000000,295000000,233000000,261000000,235000000,- -,209000000,406000000,256000000,287000000,284000000,- -,281000000
14,Depreciation and Amortization,75400000,92700000,113100000,139700000,167600000,200200000,222800000,231500000,265200000,256100000,258800000,251500000,287300000,278000000,288000000,290600000,438600000,348400000,372800000,- -,391800000,352700000,372000000,- -,375000000,384000000,369000000,448000000,532000000,- -,503000000,517000000,481000000,516000000,484000000,- -,479000000
15,EBITDA,602800000,679300000,778800000,914400000,834600000,1014900000,1207000000,1050300000,1299300000,1386100000,1054800000,1111400000,1173800000,1061000000,824700000,1158300000,1234300000,1492400000,1541800000,- -,1816900000,1823300000,1919000000,- -,2316000000,2367000000,2336000000,2033000000,3366000000,- -,1530000000,1850000000,2403000000,2320000000,2049000000,- -,2334000000
16,EBITDA ratio,0.2057,0.2033,0.2053,0.2103,0.1794,0.1959,0.2086,0.1697,0.2064,0.2112,0.1506,0.1665,0.1719,0.1569,0.1181,0.1665,0.1394,0.1797,0.1750,- -,0.1785,0.1672,0.1630,- -,0.1806,0.1882,0.1770,0.1432,0.2276,- -,0.1049,0.1422,0.1869,0.1713,0.1509,- -,0.1695
17,Operating Income,558400000,647400000,691200000,794100000,732500000,886000000,1027900000,1062800000,1068900000,1162600000,1259300000,1095000000,1193200000,965000000,1073400000,1076300000,1167900000,1508100000,1544100000,- -,1750300000,1765800000,1868000000,- -,1953000000,2001000000,1976000000,1562000000,2837000000,- -,1024000000,1395000000,1946000000,1706000000,1401000000,- -,1761000000
18,Operating Income ratio,0.1906,0.1938,0.1822,0.1826,0.1575,0.1710,0.1776,0.1717,0.1698,0.1772,0.1798,0.1640,0.1747,0.1427,0.1537,0.1548,0.1319,0.1816,0.1752,- -,0.1720,0.1619,0.1586,- -,0.1523,0.1591,0.1497,0.1100,0.1918,- -,0.0702,0.1072,0.1514,0.1259,0.1032,- -,0.1279
19,Total Other Income Expenses (Gains),-31000000,-60800000,-25500000,-19400000,-65500000,-71300000,-43700000,7600000,-34800000,-32600000,-463300000,-235100000,-288700000,-182000000,-536700000,-208600000,-363800000,-364100000,-374100000,- -,-325200000,-294200000,-321000000,- -,-320000000,-317000000,-244000000,-237000000,-231000000,- -,-199000000,-468000000,-289000000,-377000000,-96000000,- -,-160000000
20,Income Before Tax,527400000,586600000,665700000,774700000,667000000,814700000,984200000,1070400000,1034100000,1130000000,796000000,859900000,904500000,783000000,536700000,867700000,804100000,1144000000,1170000000,- -,1425100000,1471600000,1547000000,- -,1633000000,1684000000,1732000000,1325000000,2606000000,- -,825000000,927000000,1657000000,1329000000,1305000000,- -,1601000000
21,Income Before Tax Ratio,0.1800,0.1756,0.1755,0.1781,0.1434,0.1572,0.1701,0.1729,0.1643,0.1722,0.1137,0.1288,0.1324,0.1158,0.0768,0.1248,0.0908,0.1378,0.1328,- -,0.1400,0.1349,0.1314,- -,0.1274,0.1339,0.1312,0.0933,0.1762,- -,0.0566,0.0712,0.1289,0.0981,0.0961,- -,0.1163
22,Income Tax expense (Gain),246300000,267700000,269800000,294300000,244900000,311900000,378200000,387600000,353400000,424600000,305700000,328900000,340500000,280000000,198400000,280000000,322100000,423000000,382000000,- -,444700000,466500000,444000000,- -,485000000,476000000,503000000,363000000,792000000,- -,186000000,233000000,412000000,181000000,321000000,- -,323000000
23,Net Income,281100000,318900000,395900000,480400000,422100000,502800000,606000000,431200000,680700000,705400000,490300000,531000000,546000000,503000000,338300000,587700000,473600000,721000000,787000000,- -,980400000,1004100000,1103000000,- -,1148000000,1212000000,1231000000,961000000,1807000000,- -,632000000,694000000,1254000000,1336000000,960000000,- -,1251000000
24,Net Income ratio,0.0959,0.0955,0.1044,0.1105,0.0907,0.0970,0.1047,0.0697,0.1081,0.1075,0.0700,0.0795,0.0799,0.0744,0.0484,0.0845,0.0535,0.0868,0.0893,- -,0.0963,0.0921,0.0937,- -,0.0895,0.0964,0.0933,0.0677,0.1222,- -,0.0433,0.0533,0.0976,0.0986,0.0707,- -,0.0908
25,EPS,0.57,0.65,0.80,0.98,0.97,1.04,1.26,0.90,1.47,1.57,1.12,1.25,1.32,1.23,0.83,1.45,1.17,1.77,1.93,- -,2.38,2.53,2.79,- -,3.01,3.17,3.40,2.68,4.98,- -,1.76,1.98,0.75,3.85,2.81,- -,3.65
26,EPS Diluted,0.57,0.65,0.80,0.98,0.97,1.04,1.26,0.90,1.47,1.57,1.12,1.25,1.32,1.23,0.83,1.45,1.16,1.75,1.92,- -,2.36,2.51,2.76,- -,2.99,3.16,3.38,2.67,4.94,- -,1.75,1.96,0.74,3.83,2.80,- -,3.63
27,Weighted Average Shares Outstanding,493157895,490615385,494875000,490204082,435154639,483461538,480952381,479111111,463061224,447873016,437767857,424800000,413636364,408943089,407590361,405310345,404786325,407288136,407823834,- -,411932773,396877470,395340502,- -,382000000,382000000,362000000,358000000,363000000,- -,358000000,350000000,345602717,347000000,341000000,- -,343000000
28,Weighted Average Shares Outstanding Diluted,493157895,490615385,494875000,490204082,435154639,483461538,480952381,479111111,463061224,450000000,438984375,424800000,418425197,408943089,407590361,405310345,408275862,411942857,409947917,- -,415423729,400039841,399637681,- -,385000000,384000000,364000000,360000000,365000000,- -,360000000,354000000,345602717,348000000,343000000,- -,345000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55067/000095012495000907/0000950124-95-000907-index.html,https://www.sec.gov/Archives/edgar/data/55067/000095012496001400/0000950124-96-001400-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55067/000095012401001250/0000950124-01-001250-index.html,https://www.sec.gov/Archives/edgar/data/55067/000095012402000980/0000950124-02-000980-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/55067/000095012406000896/k02193e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/55067/000095012408000801/k22969e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/55067/000095015209001670/0000950152-09-001670-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312510042654/0001193125-10-042654-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312512085976/0001193125-12-085976-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312513075288/0001193125-13-075288-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312514065068/d668818d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/55067/000119312515062865/d853014d10k.htm,https://www.sec.gov/Archives/edgar/data/55067/000162828017001510/0001628280-17-001510-index.html,https://www.sec.gov/Archives/edgar/data/55067/000162828018001872/0001628280-18-001872-index.html,https://www.sec.gov/Archives/edgar/data/55067/000162828019001864/0001628280-19-001864-index.html,https://www.sec.gov/Archives/edgar/data/55067/000162828020002113/0001628280-20-002113-index.html,undefined,https://www.sec.gov/Archives/edgar/data/55067/000162828021002660/0001628280-21-002660-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,266300000,221900000,243800000,173200000,136000000,150600000,204400000,231800000,101000000,141000000,- -,219100000,410600000,524000000,- -,255000000,334000000,460000000,281000000,273000000,- -,443000000,280000000,281000000,321000000,397000000,- -,435000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,266300000,221900000,243800000,173200000,136000000,150600000,204400000,231800000,101000000,141000000,- -,219100000,410600000,524000000,- -,255000000,334000000,460000000,281000000,273000000,- -,443000000,280000000,281000000,321000000,397000000,- -,826000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,564500000,590100000,592300000,587500000,693000000,678500000,685300000,762300000,741000000,755000000,- -,879100000,944800000,1026000000,- -,1143000000,1093000000,1188000000,1454000000,1424000000,- -,1276000000,1231000000,1389000000,1375000000,1576000000,- -,1537000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,396300000,376700000,424900000,434300000,451000000,503800000,443800000,574500000,603000000,650000000,- -,717000000,823900000,924000000,- -,897000000,910000000,1132000000,1365000000,1248000000,- -,1279000000,1238000000,1217000000,1330000000,1226000000,- -,1284000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,206400000,240100000,267600000,272700000,217000000,236300000,273300000,333400000,318000000,251000000,- -,381300000,247700000,243000000,- -,226000000,221000000,247000000,280000000,322000000,- -,342000000,191000000,149000000,131000000,232000000,- -,-165000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1433500000,1428800000,1528600000,1467700000,1497000000,1569200000,1606800000,1902000000,1763000000,1797000000,- -,2196500000,2427000000,2717000000,- -,2521000000,2558000000,3027000000,3380000000,3267000000,- -,3340000000,2940000000,3036000000,3157000000,3431000000,- -,3482000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,2892800000,2784800000,2932900000,2773300000,2889000000,2640900000,2526900000,2952800000,2840000000,2780000000,- -,2648400000,2815600000,2990000000,- -,2933000000,3010000000,3281000000,3782000000,3856000000,- -,3769000000,3569000000,3716000000,3731000000,4153000000,- -,4371000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3107000000,3098000000,- -,- -,3448300000,3515000000,- -,3637000000,3643000000,3623000000,5053000000,5051000000,- -,4971000000,5166000000,5504000000,6050000000,5861000000,- -,5799000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,- -,- -,- -,- -,335600000,407400000,- -,2026000000,2034000000,- -,4893500000,1419700000,1450000000,- -,1461000000,1458000000,1454000000,2359000000,2367000000,- -,2295000000,2369000000,2639000000,3361000000,2576000000,- -,2491000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,- -,- -,- -,- -,335600000,407400000,- -,5133000000,5132000000,- -,4893500000,4868000000,4965000000,- -,5098000000,5101000000,5077000000,7412000000,7418000000,- -,7266000000,7535000000,8143000000,9411000000,8437000000,- -,8290000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438000000,429000000,413000000,404000000,- -,391000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,986000000,1063000000,- -,- -,- -,647000000,- -,300000000,425000000,- -,523000000,928000000,- -,726000000,- -,355000000,730000000,596000000,- -,254000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,136900000,201000000,588500000,636600000,666000000,263000000,355200000,5513800000,-503000000,-541000000,- -,836100000,603400000,78000000,- -,94000000,106000000,516000000,87000000,5000000,- -,52000000,629000000,672000000,338000000,543000000,- -,1208000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3033800000,2985800000,3521400000,3409900000,3555000000,3239500000,3289500000,8466600000,8456000000,8434000000,- -,8378000000,8287000000,8680000000,- -,8425000000,8642000000,8874000000,11804000000,12207000000,- -,11813000000,12171000000,13315000000,14623000000,14133000000,- -,14514000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4467300000,4414600000,5050000000,4877600000,5052000000,4808700000,4896300000,10368600000,10219000000,10231000000,- -,10574500000,10714000000,11397000000,- -,10946000000,11200000000,11901000000,15184000000,15474000000,- -,15153000000,15111000000,16351000000,17780000000,17564000000,- -,17996000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,334500000,370800000,335200000,328000000,387000000,305300000,388200000,577500000,619000000,704000000,- -,883300000,910400000,1081000000,- -,1135000000,1077000000,1189000000,1402000000,1432000000,- -,1528000000,2014000000,2269000000,2427000000,2387000000,- -,2471000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,275700000,189900000,1153800000,579800000,622000000,521500000,1386300000,82300000,1197300000,898900000,- -,1194700000,1991300000,1955000000,- -,1388000000,45000000,995000000,1820000000,1028000000,- -,1435000000,1069000000,779000000,686000000,841000000,- -,846000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,33000000,66000000,46000000,69000000,- -,39000000,47000000,31000000,48000000,42000000,- -,58000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000,425000000,- -,523000000,928000000,- -,726000000,- -,363000000,730000000,596000000,- -,562000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,575000000,704700000,710000000,749500000,710000000,761000000,718100000,1547800000,1198700000,1163100000,- -,1084800000,1118500000,1008000000,- -,729000000,741000000,1129000000,778000000,447000000,- -,675000000,1391000000,1111000000,686000000,954000000,- -,1359000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1185200000,1265400000,2199000000,1657300000,1719000000,1587800000,2492600000,2207600000,3015000000,2766000000,- -,3162800000,4020200000,4044000000,- -,3552000000,2288000000,3313000000,4523000000,3835000000,- -,4364000000,4474000000,4522000000,4529000000,4778000000,- -,5238000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,719200000,717800000,726700000,1415400000,1615000000,1612800000,709200000,5619000000,4519000000,4265000000,- -,3702600000,3053000000,3270000000,- -,4068000000,4835000000,5037000000,6082000000,6330000000,- -,5935000000,6698000000,7836000000,8207000000,7195000000,- -,6746000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,198100000,- -,347700000,- -,- -,251300000,- -,- -,- -,- -,- -,945800000,619300000,- -,- -,- -,425000000,637000000,523000000,928000000,- -,726000000,525000000,363000000,730000000,596000000,- -,562000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,557300000,840500000,494200000,807400000,828000000,543600000,797000000,1670500000,1790000000,1757000000,- -,479600000,952500000,1557000000,- -,1878000000,1380000000,1152000000,1637000000,836000000,- -,1339000000,1488000000,1452000000,1713000000,2248000000,- -,1814000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1474600000,1558300000,1568600000,2222800000,2443000000,2407700000,1506200000,7289500000,6309000000,6022000000,- -,5128000000,4624800000,4827000000,- -,5946000000,6640000000,6826000000,8242000000,8094000000,- -,8000000000,8711000000,9651000000,10650000000,10039000000,- -,9122000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,547000000,- -,637000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2659800000,2823700000,3767600000,3880100000,4162000000,3995500000,3998800000,9497100000,9324000000,8788000000,- -,8290800000,8645000000,8871000000,- -,9498000000,8928000000,10139000000,12765000000,11929000000,- -,12364000000,13185000000,14173000000,15179000000,14817000000,- -,14360000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103800000,103800000,103800000,104000000,104000000,- -,104600000,104600000,105000000,- -,105000000,105000000,105000000,105000000,105000000,- -,105000000,105000000,105000000,105000000,105000000,- -,105000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,3801200000,3963000000,4150300000,1240400000,1368000000,1317200000,1501000000,1564700000,1873000000,2248000000,- -,3266100000,3630400000,4217000000,- -,4836000000,5481000000,6721000000,5615000000,6749000000,- -,6689000000,6571000000,7069000000,7652000000,7859000000,- -,8326000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1707700000,-1953000000,-2087200000,-2087200000,-2358000000,-2515800000,-2508300000,-2659200000,-853400000,-729200000,- -,-576100000,-1046200000,-827000000,- -,-2141000000,-1966000000,-2458000000,-931000000,-936000000,- -,-1213000000,-1575000000,-1457000000,-1500000000,-1448000000,- -,-1732000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1844300000,1880000000,1908000000,1801000000,1862200000,-228500000,-179600000,- -,-510900000,- -,-969000000,- -,-1352000000,-1348000000,-2608000000,-2370000000,-2373000000,- -,-2792000000,-3191000000,-3505000000,-3656000000,-3769000000,- -,-3587000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1807500000,1590900000,1282400000,997500000,890000000,813200000,897500000,871500000,895100000,1443200000,- -,2283700000,2069000000,2526000000,- -,1448000000,2272000000,1760000000,2419000000,3545000000,- -,2789000000,1910000000,2212000000,2601000000,2747000000,- -,3112000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4467300000,4414600000,5050000000,4877600000,5052000000,4808700000,4896300000,10368600000,10219100000,10231200000,- -,10574500000,10714000000,11397000000,- -,10946000000,11200000000,11899000000,15184000000,15474000000,- -,15153000000,15095000000,16385000000,17780000000,17564000000,- -,17472000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-200000,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,16000000,-34000000,- -,- -,- -,524000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4467300000,4414600000,5050000000,4877600000,5052000000,4808700000,4896300000,10368600000,10219000000,10231000000,- -,10574500000,10714000000,11397000000,- -,10946000000,11200000000,11901000000,15184000000,15474000000,- -,15153000000,15111000000,16351000000,17780000000,17564000000,- -,17996000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/55067/000095012495000907/0000950124-95-000907-index.html,https://www.sec.gov/Archives/edgar/data/55067/000095012496001400/0000950124-96-001400-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55067/000095012401001250/0000950124-01-001250-index.html,https://www.sec.gov/Archives/edgar/data/55067/000095012402000980/0000950124-02-000980-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/55067/000095012406000896/k02193e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/55067/000095012408000801/k22969e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/55067/000095015209001670/0000950152-09-001670-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312510042654/0001193125-10-042654-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312512085976/0001193125-12-085976-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312513075288/0001193125-13-075288-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312514065068/d668818d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/55067/000119312515062865/d853014d10k.htm,https://www.sec.gov/Archives/edgar/data/55067/000162828017001510/0001628280-17-001510-index.html,https://www.sec.gov/Archives/edgar/data/55067/000162828018001872/0001628280-18-001872-index.html,https://www.sec.gov/Archives/edgar/data/55067/000162828019001864/0001628280-19-001864-index.html,https://www.sec.gov/Archives/edgar/data/55067/000162828020002113/0001628280-20-002113-index.html,undefined,https://www.sec.gov/Archives/edgar/data/55067/000162828021002660/0001628280-21-002660-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,422100000,502800000,606000000,431200000,680700000,705400000,490300000,531000000,546000000,503000000,338300000,587700000,473600000,721000000,787000000,- -,980400000,1004100000,1103000000,- -,1148000000,1212000000,1231000000,961000000,1807000000,- -,632000000,694000000,1254000000,1336000000,960000000,- -,1251000000
74,Depreciation and Amortization,- -,- -,- -,- -,167600000,200200000,222800000,231500000,265200000,256100000,258800000,251500000,287300000,278000000,288000000,290600000,438600000,348400000,372800000,- -,391800000,352700000,372000000,- -,375000000,384000000,369000000,448000000,532000000,- -,503000000,517000000,481000000,516000000,484000000,- -,479000000
75,Deferred Income Tax,- -,- -,- -,- -,32000000,45600000,-5400000,9700000,8700000,24500000,-78700000,58000000,38500000,46000000,-60500000,-1400000,71500000,111200000,74800000,- -,-59200000,-43700000,-69000000,- -,157000000,-40000000,84000000,-159000000,317000000,- -,-254000000,-26000000,88000000,23000000,12000000,- -,69000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000000,66000000,59000000,56000000,- -,76000000
77,Change in Working Capital,- -,- -,- -,- -,-113300000,- -,- -,- -,- -,248300000,-84900000,-833800000,480800000,-32400000,203400000,-867200000,580200000,-946400000,283000000,- -,-242300000,-626900000,266200000,- -,296000000,1301000000,-17000000,-857000000,575000000,- -,-456000000,969000000,48000000,114000000,25000000,- -,-409000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,-75000000,-100000000,-65000000,-46000000,- -,131000000,21000000,-57000000,76000000,-145000000,- -,75000000
79,Inventory,- -,- -,- -,- -,-31800000,34300000,-41400000,-15300000,13300000,6800000,19600000,-35400000,- -,-15000000,-39100000,54500000,- -,-26400000,-48200000,- -,-24800000,-107000000,-88000000,- -,41000000,-13000000,-76000000,-80000000,116000000,- -,-30000000,7000000,80000000,-86000000,2000000,- -,-54000000
