,https://roic.ai/company/CHD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0307,0.0715,0.0731,0.0721,0.0439,0.0910,0.0865,0.0912,0.0942,0.0198,0.0336,0.0627,0.0673,0.0675,0.0989,0.0652,0.0683,0.0965,0.1107,0.0872,0.1007,0.1095,0.1193,0.1273,0.1556,0.1615,0.1799,0.1857,0.1871,0.1895,0.1872,0.2021,0.1834,0.1735,0.1775,0.1989,0.1988
22,Income Tax expense (Gain),2400000,6900000,9300000,8500000,8400000,15800000,15500000,17600000,18300000,3600000,6100000,11900000,14200000,15900000,26800000,18315000,26871000,34402000,35974000,38631000,52068000,74171000,95900000,113078000,148715000,147562000,185000000,192700000,203400000,211000000,225000000,246900000,-50700000,150900000,157800000,187900000,204200000
23,Net Income,4700000,12800000,14000000,16500000,8600000,23200000,26500000,29500000,26300000,6100000,10200000,21200000,24500000,30300000,45400000,33559000,46984000,66690000,80961000,88808000,122906000,138927000,169025000,195174000,243533000,270717000,309600000,349800000,394400000,413900000,410400000,459000000,743400000,568600000,615900000,785900000,827500000
24,Net Income ratio,0.0203,0.0465,0.0439,0.0476,0.0222,0.0541,0.0546,0.0571,0.0518,0.0124,0.0210,0.0402,0.0426,0.0443,0.0622,0.0422,0.0435,0.0637,0.0766,0.0607,0.0708,0.0714,0.0761,0.0806,0.0966,0.1046,0.1126,0.1197,0.1235,0.1255,0.1209,0.1314,0.1969,0.1371,0.1413,0.1605,0.1594
25,EPS,0.02,0.05,0.05,0.06,0.04,0.09,0.11,0.12,0.11,0.03,0.04,0.09,0.10,0.13,0.20,0.15,0.20,0.28,0.34,0.36,0.48,0.54,0.64,0.72,0.86,0.95,1.08,1.25,1.43,1.53,1.56,1.78,2.97,2.32,2.50,3.18,3.38
26,EPS Diluted,0.02,0.05,0.05,0.06,0.04,0.09,0.11,0.12,0.11,0.03,0.04,0.09,0.10,0.13,0.18,0.14,0.19,0.27,0.32,0.34,0.46,0.52,0.61,0.69,0.85,0.94,1.06,1.23,1.40,1.50,1.53,1.75,2.90,2.27,2.44,3.12,3.32
27,Weighted Average Shares Outstanding,234882559,255872064,262368816,260396118,245591490,262510254,244493138,242344581,242647907,236472000,234804000,234408000,233532000,232404000,232752000,229926000,233274000,237780000,241362000,247472000,255428000,259424000,263360000,271480000,281516000,284124000,286400000,280200000,277200000,270200000,262200000,257600000,250600000,245500000,246200000,246800000,244900000
28,Weighted Average Shares Outstanding Diluted,234882559,255872064,262368816,267433851,245591490,262510254,244493138,249171189,246439280,236472000,234804000,234408000,239652000,240300000,246258000,239598000,244914000,250854000,253194000,272264000,277156000,275784000,281248000,284464000,285908000,288804000,291600000,285400000,282400000,275000000,267200000,262100000,256100000,250700000,252100000,252200000,249600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313927/000095012395000782/0000950123-95-000782-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012396001450/0000950123-96-001450-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012397002608/0000950123-97-002608-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012398003168/0000950123-98-003168-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012399002800/0000950123-99-002800-index.html,- -,https://www.sec.gov/Archives/edgar/data/313927/000031392701000084/0000313927-01-000084-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012302003119/0000950123-02-003119-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/313927/000119312505047881/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312506052189/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312507039869/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312508039878/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312509036152/0001193125-09-036152-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312510038997/0001193125-10-038997-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312511045474/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312512077495/0001193125-12-077495-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312513071188/0001193125-13-071188-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312514062315/d638344d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459015000786/chd-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459016012917/0001564590-16-012917-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459017002326/0001564590-17-002326-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459018002984/0001564590-18-002984-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459019003587/0001564590-19-003587-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459020004956/0001564590-20-004956-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459021006669/0001564590-21-006669-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459022005528/0001564590-22-005528-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26000000,41800000,45700000,25900000,24600000,27000000,4700000,17500000,5600000,4700000,11400000,22900000,14900000,16200000,19800000,21573000,52446000,76302000,75634000,145540000,126678000,110476000,249809000,197999000,447143000,189202000,251400000,343000000,496900000,423000000,330000000,187800000,278900000,316700000,155700000,183100000,240600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,26000000,41800000,45700000,25900000,24600000,27000000,4700000,17500000,5600000,4700000,11400000,22900000,14900000,16200000,19800000,24563000,52446000,76302000,75634000,145540000,126678000,110476000,249809000,197999000,447143000,189202000,251400000,343000000,496900000,423000000,330000000,187800000,278900000,316700000,155700000,183100000,240600000
34,Net Receivables,20400000,29100000,31200000,39000000,38300000,42300000,48400000,45600000,45400000,44400000,44400000,41800000,49600000,72500000,64500000,64958000,106291000,100252000,107553000,167218000,189013000,231403000,249161000,211194000,222158000,231055000,264600000,303100000,330200000,322900000,276200000,287000000,345900000,345300000,356400000,398800000,405500000
35,Inventory,23600000,30800000,33100000,43200000,34900000,40300000,54700000,45600000,52700000,54700000,41300000,48900000,61300000,60300000,72700000,55165000,101214000,82674000,84176000,148898000,156149000,194900000,213651000,198893000,216870000,195401000,200700000,242200000,250500000,245900000,274000000,258200000,330700000,382800000,417400000,495400000,535400000
36,Other Current Assets,2800000,4000000,7600000,4600000,32000000,23700000,8800000,14900000,19800000,20500000,22100000,21900000,23600000,17800000,18800000,17841000,33256000,26208000,21859000,32140000,22598000,19291000,22732000,57035000,42094000,33823000,38500000,45500000,38200000,40700000,25800000,23800000,44700000,33400000,26900000,35100000,51900000
37,Total Current Assets,72800000,105700000,117600000,112700000,129800000,133300000,116600000,123600000,123500000,124300000,119200000,135500000,149400000,166800000,175800000,162527000,293207000,285436000,289222000,493796000,494438000,556070000,735353000,665121000,928265000,649481000,755200000,933800000,1115800000,1032500000,906000000,756800000,1000200000,1078200000,956400000,1112400000,1233400000
38,PP&E,68200000,100800000,107400000,111400000,102200000,103100000,113700000,120500000,122200000,138500000,144300000,138400000,142300000,161700000,182200000,168570000,231449000,240007000,258010000,332204000,326903000,340484000,350853000,383373000,455636000,468324000,506000000,586000000,594100000,616200000,609600000,588600000,607700000,598200000,573000000,612800000,652700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,686301000,688842000,845230000,838078000,857361000,868400000,1213800000,1222200000,1325000000,1354900000,1444100000,1958900000,1992900000,2079500000,2229600000,2274500000
40,Intangible Assets,4300000,8400000,8100000,7800000,4300000,4100000,4000000,4200000,3600000,3600000,3600000,3600000,22700000,27900000,83700000,83974000,264254000,330839000,378818000,985928000,1069740000,682594000,665168000,811319000,794891000,872460000,263500000,1254900000,1204300000,1272400000,1269500000,1431800000,2320500000,2274000000,2750000000,3110200000,3494300000
41,Intangible Assets,4300000,8400000,8100000,7800000,4300000,4100000,4000000,4200000,3600000,3600000,3600000,3600000,22700000,27900000,83700000,83974000,264254000,330839000,378818000,985928000,1069740000,1368895000,1354010000,1656549000,1632969000,1729821000,1131900000,2468700000,2426500000,2597400000,2624400000,2875900000,4279400000,4266900000,4829500000,5339800000,5768800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,10000000,10000000,10061000,12815000,9192000,12000000,23000000,24500000,24800000,8400000,8500000,9300000,8500000,9700000,9100000,9100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3600000,14800000,13100000,12100000,8600000,13000000,10700000,14000000,32400000,29200000,26100000,30500000,36600000,35000000,34600000,40561000,160175000,131959000,193567000,66070000,60036000,58705000,82274000,86334000,88761000,88376000,712500000,86600000,98800000,110400000,108500000,124300000,118200000,117400000,288800000,340400000,332500000
45,Total Non-Current Assets,76100000,124000000,128600000,131300000,115100000,120200000,128400000,138700000,158200000,171300000,174000000,172500000,201600000,224600000,300500000,293105000,655878000,702805000,830395000,1384202000,1467679000,1778084000,1797137000,2136317000,2190181000,2295713000,2362400000,3164300000,3143900000,3348800000,3350900000,3597300000,5014600000,4991000000,5701000000,6302100000,6763100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,148900000,229700000,246200000,244000000,244900000,253500000,245000000,262300000,281700000,295600000,293200000,308000000,351000000,391400000,476300000,455632000,949085000,988241000,1119617000,1877998000,1962117000,2334154000,2532490000,2801438000,3118446000,2945194000,3117600000,4098100000,4259700000,4381300000,4256900000,4354100000,6014800000,6069200000,6657400000,7414500000,7996500000
48,Accounts Payable,- -,- -,- -,- -,57400000,74500000,71600000,69700000,66800000,73000000,86800000,93400000,92100000,40200000,106100000,129268000,176176000,162907000,148958000,242024000,255438000,156554000,167495000,186998000,177778000,206278000,231800000,258900000,256700000,284100000,293900000,331600000,398900000,430200000,473300000,588100000,663800000
49,Short-Term Debt,1500000,1500000,1500000,1400000,1400000,1400000,- -,- -,2000000,25000000,5000000,- -,32700000,19200000,26300000,13863000,11580000,15945000,65897000,104036000,121282000,140411000,148706000,74739000,218949000,90000000,2600000,253800000,153800000,396600000,357200000,426800000,270900000,598300000,252900000,351400000,952200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1760000,15633000,1771000,1700000,39800000,2300000,1000000,7200000,6200000,5000000,2900000,7500000,12700000,3300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,29900000,38500000,44600000,49700000,1000000,8100000,7100000,6900000,- -,1800000,5300000,5400000,1400000,64800000,8200000,6007000,8260000,12315000,17199000,11479000,32990000,147439000,141587000,125384000,170305000,150814000,149200000,212900000,240700000,224600000,221600000,243500000,265200000,297800000,366100000,449100000,459200000
53,Total Current Liabilities,31400000,40000000,46100000,51100000,59800000,84000000,78700000,76600000,68800000,99800000,97100000,98800000,126200000,124200000,140600000,149138000,196016000,191167000,232054000,357539000,409710000,444404000,457788000,387121000,567032000,447092000,383600000,725600000,651200000,905300000,872700000,1001900000,935000000,1326300000,1092300000,1388600000,2075200000
54,Long-Term Debt,20800000,59200000,56800000,55600000,52200000,29600000,7800000,7700000,7600000,7500000,7500000,7500000,6800000,29600000,58100000,20136000,406564000,352488000,331149000,754706000,635261000,792925000,707311000,781402000,597347000,249673000,249700000,649400000,649500000,698600000,692800000,693400000,2103400000,1508800000,1810200000,1812500000,1610700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,22300000,25400000,26700000,24600000,20500000,18600000,17000000,16700000,22500000,20000000,19600000,20000000,20600000,21200000,20400000,17852000,27032000,57103000,61000000,108216000,124882000,134269000,162746000,171981000,201256000,254261000,292300000,470000000,476000000,484100000,484800000,512200000,561200000,576400000,579600000,707300000,745100000
57,Other Non-Current Liabilities,300000,300000,500000,700000,800000,2600000,2300000,2200000,13400000,14400000,15300000,16400000,18100000,21600000,27100000,30401000,35044000,39623000,56623000,97220000,95128000,98402000,124186000,129229000,151039000,123309000,151200000,192000000,183000000,191400000,183400000,168700000,197200000,203900000,507500000,485700000,332300000
58,Total Non-Current Liabilities,43400000,84900000,84000000,80900000,73500000,50800000,27100000,26600000,43500000,41900000,42400000,43900000,45500000,72400000,105600000,68389000,468640000,449214000,448772000,960142000,855271000,1025596000,994243000,1082612000,949642000,627243000,693200000,1311400000,1308500000,1374100000,1361000000,1374300000,2861800000,2289100000,2897300000,3005500000,2688100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,74800000,124900000,130100000,132000000,133300000,134800000,105800000,103200000,112300000,141700000,139500000,142700000,171700000,196600000,246200000,217527000,664656000,640381000,680826000,1317681000,1264981000,1470000000,1452031000,1469733000,1516674000,1074335000,1076800000,2037000000,1959700000,2279400000,2233700000,2376200000,3796800000,3615400000,3989600000,4394100000,4763300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46700000,46661000,46661000,46661000,46661000,69991000,69991000,69991000,69991000,73214000,73214000,73214000,146400000,146400000,146400000,146400000,146400000,292800000,292800000,292800000,292800000,292800000,292800000
64,Retained Earnings,62300000,70800000,80100000,91500000,94800000,111100000,130900000,152600000,170400000,167900000,169400000,182100000,197600000,218600000,253900000,276700000,312409000,367211000,435677000,510480000,618071000,740130000,891868000,1063928000,1275117000,1501795000,1714000000,1929300000,2168500000,2414900000,2650000000,2926000000,3479000000,3832600000,4237400000,4786000000,5366000000
65,Other Comprehensive Income/Loss,-32000000,-36700000,-44000000,-48200000,-52800000,-58500000,-64600000,-70700000,-74200000,-83900000,-95600000,-104700000,-116800000,-130000000,-157300000,-158469000,-169919000,-16919000,-13962000,-3110000,-454000,12153000,39128000,-20454000,10078000,16307000,2900000,2500000,200000,-34700000,-45900000,-63800000,-36400000,-53600000,-66700000,-77600000,-68200000
66,Other Total Stockholders Equity,43800000,70700000,80000000,68700000,69600000,66100000,72900000,77200000,73200000,69900000,79900000,87900000,98500000,106200000,86800000,73213000,95278000,-49307000,-29882000,-17331000,9270000,41563000,79278000,214825000,243174000,279373000,177300000,-17300000,-15200000,-424700000,-727300000,-1177100000,-1517400000,-1618000000,-1795700000,-1980800000,-2357400000
67,Total Stockholders Equity,74100000,104800000,116100000,112000000,111600000,118700000,139200000,159100000,169400000,153900000,153700000,165300000,179300000,194800000,230100000,238105000,284429000,347646000,438494000,560030000,696878000,863837000,1080265000,1331513000,1601583000,1870689000,2040600000,2060900000,2299900000,2101900000,2023200000,1977900000,2218000000,2453800000,2667800000,3020400000,3233200000
68,Total Liabilities And Stockholders Equity,148900000,229700000,246200000,244000000,244900000,253500000,245000000,262300000,281700000,295600000,293200000,308000000,351000000,391400000,476300000,455632000,949085000,988027000,1119320000,1877711000,1961859000,2333837000,2532296000,2801246000,3118257000,2945024000,3117400000,4097900000,4259600000,4381300000,4256900000,4354100000,6014800000,6069200000,6657400000,7414500000,7996500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000,297000,287000,258000,317000,194000,192000,189000,170000,200000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,148900000,229700000,246200000,244000000,244900000,253500000,245000000,262300000,281700000,295600000,293200000,308000000,351000000,391400000,476300000,455632000,949085000,988241000,1119617000,1877998000,1962117000,2334154000,2532490000,2801438000,3118446000,2945194000,3117600000,4098100000,4259700000,4381300000,4256900000,4354100000,6014800000,6069200000,6657400000,7414500000,7996500000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313927/000095012395000782/0000950123-95-000782-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012396001450/0000950123-96-001450-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012397002608/0000950123-97-002608-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012398003168/0000950123-98-003168-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012399002800/0000950123-99-002800-index.html,- -,https://www.sec.gov/Archives/edgar/data/313927/000031392701000084/0000313927-01-000084-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012302003119/0000950123-02-003119-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/313927/000119312505047881/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312506052189/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312507039869/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312508039878/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312509036152/0001193125-09-036152-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312510038997/0001193125-10-038997-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312511045474/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312512077495/0001193125-12-077495-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312513071188/0001193125-13-071188-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312514062315/d638344d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459015000786/chd-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459016012917/0001564590-16-012917-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459017002326/0001564590-17-002326-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459018002984/0001564590-18-002984-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459019003587/0001564590-19-003587-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459020004956/0001564590-20-004956-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459021006669/0001564590-21-006669-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459022005528/0001564590-22-005528-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,8600000,23200000,26500000,29500000,26300000,6100000,10200000,21200000,24500000,30300000,45400000,33559000,46984000,66690000,80961000,88808000,122906000,138927000,169025000,195174000,243533000,270717000,309600000,349800000,394400000,413900000,410400000,459000000,743400000,568600000,615900000,785900000,827500000
74,Depreciation and Amortization,- -,- -,- -,- -,10100000,10500000,11200000,11500000,10600000,11700000,13100000,13600000,14200000,16500000,19300000,23454000,27843000,27890000,30224000,39093000,44158000,51727000,56671000,71404000,85352000,71572000,77100000,85000000,90500000,91200000,101000000,107600000,125400000,141100000,176400000,189700000,219100000
75,Deferred Income Tax,- -,- -,- -,- -,-4100000,-2200000,-1600000,-300000,1500000,-3300000,-200000,-300000,2700000,-100000,1900000,-4067000,7295000,17817000,12490000,12863000,2390000,9025000,16519000,15155000,23145000,38853000,59400000,13200000,11100000,12700000,24000000,24900000,-237600000,11100000,5600000,25700000,20300000
